entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AverageNumberOfEmployees,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,OtherFinanceIncomeFromGroupEnterprises,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,ContractWorkInProgress,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard
30553128,2016-01-01,2016-12-31,ID_11,,http://regnskaber.virk.dk/82135503/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzJkLzdmL2FiL2QzZTItNDBjNC04OTE5LTAwYzE1MmEzYTcwMQ.pdf,http://regnskaber.virk.dk/82135503/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2FmL2YzLzRkL2IxMDktNGM2OS05N2RlLTc3MjcyMmVmZmFlMA.xml,true,"Svendborg, 5700","""Kogtvedlund"", Kogtvedparken 17",Til kapitalejerne i Lasses El ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-03-02,2018-03-02,2007-06-25,2018-03-23,35486178.0,30553128.0,35486178.0,mne31470,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Lasses El ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Pedersen,Lasse Christian Meyer,RevisionsFirmaet Edelbo,Lasses El ApS,"RevisionsFirmaet Edelbo, Statsautoriseret Revisionspartnerselskab",Svendborg,2016-01-01,2016-12-31,-245507.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-03-02,Svendborg,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25280428,indberetninger-20180424,2.5095785,30553128.0,,2018-04-10T10:12:30.788Z,2018-04-09T13:02:30.219Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-38-WC,2018-04-09T13:02:30.534Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30553128,2016-01-01,2016-12-31,ID_8,,http://regnskaber.virk.dk/82135503/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzJkLzdmL2FiL2QzZTItNDBjNC04OTE5LTAwYzE1MmEzYTcwMQ.pdf,http://regnskaber.virk.dk/82135503/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2FmL2YzLzRkL2IxMDktNGM2OS05N2RlLTc3MjcyMmVmZmFlMA.xml,true,"Svendborg, 5700","""Kogtvedlund"", Kogtvedparken 17",Til kapitalejerne i Lasses El ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-03-02,2018-03-02,2007-06-25,2018-03-23,35486178.0,30553128.0,35486178.0,mne31470,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Lasses El ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Pedersen,Lasse Christian Meyer,RevisionsFirmaet Edelbo,Lasses El ApS,"RevisionsFirmaet Edelbo, Statsautoriseret Revisionspartnerselskab",Svendborg,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-03-02,Svendborg,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25280428,indberetninger-20180424,2.5095785,30553128.0,,2018-04-10T10:12:30.788Z,2018-04-09T13:02:30.219Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-38-WC,2018-04-09T13:02:30.534Z,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30553128,2016-01-01,2016-12-31,ID_9,,http://regnskaber.virk.dk/82135503/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzJkLzdmL2FiL2QzZTItNDBjNC04OTE5LTAwYzE1MmEzYTcwMQ.pdf,http://regnskaber.virk.dk/82135503/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2FmL2YzLzRkL2IxMDktNGM2OS05N2RlLTc3MjcyMmVmZmFlMA.xml,true,"Svendborg, 5700","""Kogtvedlund"", Kogtvedparken 17",Til kapitalejerne i Lasses El ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-03-02,2018-03-02,2007-06-25,2018-03-23,35486178.0,30553128.0,35486178.0,mne31470,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Lasses El ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Pedersen,Lasse Christian Meyer,RevisionsFirmaet Edelbo,Lasses El ApS,"RevisionsFirmaet Edelbo, Statsautoriseret Revisionspartnerselskab",Svendborg,2016-01-01,2016-12-31,245507.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-03-02,Svendborg,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25280428,indberetninger-20180424,2.5095785,30553128.0,,2018-04-10T10:12:30.788Z,2018-04-09T13:02:30.219Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-38-WC,2018-04-09T13:02:30.534Z,,62818.0,1919579.0,2349763.0,78544.0,5002.0,27232.0,321056.0,367366.0,75549.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30553128,2016-12-31,2016-12-31,ID_5,,http://regnskaber.virk.dk/82135503/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzJkLzdmL2FiL2QzZTItNDBjNC04OTE5LTAwYzE1MmEzYTcwMQ.pdf,http://regnskaber.virk.dk/82135503/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2FmL2YzLzRkL2IxMDktNGM2OS05N2RlLTc3MjcyMmVmZmFlMA.xml,true,"Svendborg, 5700","""Kogtvedlund"", Kogtvedparken 17",Til kapitalejerne i Lasses El ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-03-02,2018-03-02,2007-06-25,2018-03-23,35486178.0,30553128.0,35486178.0,mne31470,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Lasses El ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Pedersen,Lasse Christian Meyer,RevisionsFirmaet Edelbo,Lasses El ApS,"RevisionsFirmaet Edelbo, Statsautoriseret Revisionspartnerselskab",Svendborg,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-03-02,Svendborg,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25280428,indberetninger-20180424,2.5095785,30553128.0,,2018-04-10T10:12:30.788Z,2018-04-09T13:02:30.219Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-38-WC,2018-04-09T13:02:30.534Z,,,,,,,,,,,3514375.0,42581.0,125000.0,3282678.0,1582871.0,231697.0,289803.0,3514375.0,1925648.0,231697.0,612993.0,31132.0,231697.0,5856.0,5856.0,289803.0,1457871.0,1103893.0,1925648.0,25000.0,2992875.0,2302946.0,74995.0,108767.0,616216.0,
30553128,2017-01-01,2017-12-31,ID_0,,http://regnskaber.virk.dk/82135503/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzJkLzdmL2FiL2QzZTItNDBjNC04OTE5LTAwYzE1MmEzYTcwMQ.pdf,http://regnskaber.virk.dk/82135503/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2FmL2YzLzRkL2IxMDktNGM2OS05N2RlLTc3MjcyMmVmZmFlMA.xml,true,"Svendborg, 5700","""Kogtvedlund"", Kogtvedparken 17",Til kapitalejerne i Lasses El ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-03-02,2018-03-02,2007-06-25,2018-03-23,35486178.0,30553128.0,35486178.0,mne31470,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Lasses El ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Pedersen,Lasse Christian Meyer,RevisionsFirmaet Edelbo,Lasses El ApS,"RevisionsFirmaet Edelbo, Statsautoriseret Revisionspartnerselskab",Svendborg,2016-01-01,2016-12-31,94539.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-03-02,Svendborg,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25280428,indberetninger-20180424,2.5095785,30553128.0,,2018-04-10T10:12:30.788Z,2018-04-09T13:02:30.219Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-38-WC,2018-04-09T13:02:30.534Z,,65429.0,1896975.0,2134630.0,78143.0,4816.0,23800.0,122699.0,172226.0,28160.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30553128,2017-01-01,2017-12-31,ID_1,,http://regnskaber.virk.dk/82135503/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzJkLzdmL2FiL2QzZTItNDBjNC04OTE5LTAwYzE1MmEzYTcwMQ.pdf,http://regnskaber.virk.dk/82135503/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2FmL2YzLzRkL2IxMDktNGM2OS05N2RlLTc3MjcyMmVmZmFlMA.xml,true,"Svendborg, 5700","""Kogtvedlund"", Kogtvedparken 17",Til kapitalejerne i Lasses El ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-03-02,2018-03-02,2007-06-25,2018-03-23,35486178.0,30553128.0,35486178.0,mne31470,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Lasses El ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Pedersen,Lasse Christian Meyer,RevisionsFirmaet Edelbo,Lasses El ApS,"RevisionsFirmaet Edelbo, Statsautoriseret Revisionspartnerselskab",Svendborg,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-03-02,Svendborg,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25280428,indberetninger-20180424,2.5095785,30553128.0,,2018-04-10T10:12:30.788Z,2018-04-09T13:02:30.219Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-38-WC,2018-04-09T13:02:30.534Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30553128,2017-01-01,2017-12-31,ID_10,,http://regnskaber.virk.dk/82135503/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzJkLzdmL2FiL2QzZTItNDBjNC04OTE5LTAwYzE1MmEzYTcwMQ.pdf,http://regnskaber.virk.dk/82135503/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2FmL2YzLzRkL2IxMDktNGM2OS05N2RlLTc3MjcyMmVmZmFlMA.xml,true,"Svendborg, 5700","""Kogtvedlund"", Kogtvedparken 17",Til kapitalejerne i Lasses El ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-03-02,2018-03-02,2007-06-25,2018-03-23,35486178.0,30553128.0,35486178.0,mne31470,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Lasses El ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Pedersen,Lasse Christian Meyer,RevisionsFirmaet Edelbo,Lasses El ApS,"RevisionsFirmaet Edelbo, Statsautoriseret Revisionspartnerselskab",Svendborg,2016-01-01,2016-12-31,-94539.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-03-02,Svendborg,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25280428,indberetninger-20180424,2.5095785,30553128.0,,2018-04-10T10:12:30.788Z,2018-04-09T13:02:30.219Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-38-WC,2018-04-09T13:02:30.534Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30553128,2017-01-01,2017-12-31,ID_2,,http://regnskaber.virk.dk/82135503/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzJkLzdmL2FiL2QzZTItNDBjNC04OTE5LTAwYzE1MmEzYTcwMQ.pdf,http://regnskaber.virk.dk/82135503/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2FmL2YzLzRkL2IxMDktNGM2OS05N2RlLTc3MjcyMmVmZmFlMA.xml,true,"Svendborg, 5700","""Kogtvedlund"", Kogtvedparken 17",Til kapitalejerne i Lasses El ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-03-02,2018-03-02,2007-06-25,2018-03-23,35486178.0,30553128.0,35486178.0,mne31470,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Lasses El ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Pedersen,Lasse Christian Meyer,RevisionsFirmaet Edelbo,Lasses El ApS,"RevisionsFirmaet Edelbo, Statsautoriseret Revisionspartnerselskab",Svendborg,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-03-02,Svendborg,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25280428,indberetninger-20180424,2.5095785,30553128.0,,2018-04-10T10:12:30.788Z,2018-04-09T13:02:30.219Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-38-WC,2018-04-09T13:02:30.534Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30553128,2017-01-01,2017-12-31,ID_3,,http://regnskaber.virk.dk/82135503/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzJkLzdmL2FiL2QzZTItNDBjNC04OTE5LTAwYzE1MmEzYTcwMQ.pdf,http://regnskaber.virk.dk/82135503/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2FmL2YzLzRkL2IxMDktNGM2OS05N2RlLTc3MjcyMmVmZmFlMA.xml,true,"Svendborg, 5700","""Kogtvedlund"", Kogtvedparken 17",Til kapitalejerne i Lasses El ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-03-02,2018-03-02,2007-06-25,2018-03-23,35486178.0,30553128.0,35486178.0,mne31470,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Lasses El ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Pedersen,Lasse Christian Meyer,RevisionsFirmaet Edelbo,Lasses El ApS,"RevisionsFirmaet Edelbo, Statsautoriseret Revisionspartnerselskab",Svendborg,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-03-02,Svendborg,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25280428,indberetninger-20180424,2.5095785,30553128.0,,2018-04-10T10:12:30.788Z,2018-04-09T13:02:30.219Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-38-WC,2018-04-09T13:02:30.534Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30553128,2017-01-01,2017-12-31,ID_4,,http://regnskaber.virk.dk/82135503/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzJkLzdmL2FiL2QzZTItNDBjNC04OTE5LTAwYzE1MmEzYTcwMQ.pdf,http://regnskaber.virk.dk/82135503/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2FmL2YzLzRkL2IxMDktNGM2OS05N2RlLTc3MjcyMmVmZmFlMA.xml,true,"Svendborg, 5700","""Kogtvedlund"", Kogtvedparken 17",Til kapitalejerne i Lasses El ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-03-02,2018-03-02,2007-06-25,2018-03-23,35486178.0,30553128.0,35486178.0,mne31470,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Lasses El ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Pedersen,Lasse Christian Meyer,RevisionsFirmaet Edelbo,Lasses El ApS,"RevisionsFirmaet Edelbo, Statsautoriseret Revisionspartnerselskab",Svendborg,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-03-02,Svendborg,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25280428,indberetninger-20180424,2.5095785,30553128.0,,2018-04-10T10:12:30.788Z,2018-04-09T13:02:30.219Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-38-WC,2018-04-09T13:02:30.534Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lasse Christian Meyer
