Year,ProfitLoss,GrossResult,GrossProfitLoss,Revenue,Assets,AverageNumberOfEmployees,CurrentAssets,Equity,Inventories,AddressOfReportingEntityPostCodeIdentifier
12,-150000.0,0.0,1014000.0,0.0,2485000.0,0.0,1151000.0,125000.0,149000.0,0.0
13,9516.0,0.0,1166583.0,0.0,2557011.0,0.0,1355472.0,125000.0,123334.0,0.0
14,-40224.0,0.0,1186714.0,0.0,2411831.0,0.0,1262795.0,125000.0,108898.0,4220.0
15,137514.0,0.0,1406886.0,0.0,2506549.0,0.0,1370815.0,125000.0,115840.0,4220.0
16,246507.0,0.0,1547008.0,0.0,3649713.0,5.0,1112681.0,125000.0,329206.0,4220.0
17,227000.0,0.0,1533000.0,0.0,3814000.0,0.0,1304000.0,2184000.0,468000.0,4220.0
18,-166000.0,0.0,1076000.0,0.0,3375000.0,0.0,1696000.0,2068000.0,773000.0,4220.0
19,-166000.0,0.0,1076000.0,0.0,3375000.0,0.0,1696000.0,2068000.0,773000.0,4220.0
19,-166000.0,0.0,1076000.0,0.0,3375000.0,0.0,1696000.0,2068000.0,773000.0,4220.0
19,-166000.0,0.0,1076000.0,0.0,3375000.0,0.0,1696000.0,2068000.0,773000.0,4220.0
