entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdministrativeExpenses,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,RestOfOtherFinanceExpenses,Revenue,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,ShorttermTaxReceivables,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermMortgageDebt,ShorttermReceivables,ShorttermTaxPayables
26735688,2014-09-01,2015-08-31,c3,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzg1LzI3LzNkLzBkODUtNDE4Mi1iMzkyLThjMjFjODA2ZjYxMQ.xhtml,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzNjLzI5L2YyL2U5NmMtNDNhMS1iMTdkLTgyNDJkYmQ3N2Q4Zg.pdf,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzLzEyLzRjL2MxL2Q1L2YyODAtNGExNy1iMDg1LWFmMTQzOTM5MGE4ZA.xml,true,0.0,0.0,0.0,0.0,Herning,7400.0,102.0,TranekÃ¦rvej,8464 Galten,BÃ¸geskovvej 5,26016.0,Regnskabsklasse B,2017-01-24,2017-01-24,35974.0,209329.0,109798.0,26735688.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Vistisen,Henrik Vistisen,Henrik Vistisen,0.0,VISTISEN EJENDOMME ApS,Anni Holm,Herning,2014-09-01,2015-08-31,2019.0,1386.0,73824.0,2016-08-31,2015-09-01,72438.0,345143.0,false,false,1424.0,-633.0,97212197.0,false,false,Ingen bistand,urn:ofk:oid:23423318,indberetninger-20180424,2.5949402000000004,26735688.0,,2018-03-27T12:38:17.606Z,2017-01-25T16:18:43.192Z,regnskab,0.0,,2016-08-31,2015-09-01,X17-AB-40-AL,2017-01-25T16:18:43.365Z,,,,,,,,,,,,,,,,,,,,,
26735688,2014-09-01,2015-08-31,c7,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzg1LzI3LzNkLzBkODUtNDE4Mi1iMzkyLThjMjFjODA2ZjYxMQ.xhtml,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzNjLzI5L2YyL2U5NmMtNDNhMS1iMTdkLTgyNDJkYmQ3N2Q4Zg.pdf,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzLzEyLzRjL2MxL2Q1L2YyODAtNGExNy1iMDg1LWFmMTQzOTM5MGE4ZA.xml,true,0.0,0.0,0.0,0.0,Herning,7400.0,102.0,TranekÃ¦rvej,8464 Galten,BÃ¸geskovvej 5,,Regnskabsklasse B,2017-01-24,2017-01-24,,,,26735688.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Vistisen,Henrik Vistisen,Henrik Vistisen,0.0,VISTISEN EJENDOMME ApS,Anni Holm,Herning,2014-09-01,2015-08-31,2019.0,,,2016-08-31,2015-09-01,,,false,false,1424.0,,97212197.0,false,false,Ingen bistand,urn:ofk:oid:23423318,indberetninger-20180424,2.5949402000000004,26735688.0,,2018-03-27T12:38:17.606Z,2017-01-25T16:18:43.192Z,regnskab,0.0,,2016-08-31,2015-09-01,X17-AB-40-AL,2017-01-25T16:18:43.365Z,,,,,,,,,,,,,,,,,,,,,
26735688,2015-08-31,2015-08-31,c9,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzg1LzI3LzNkLzBkODUtNDE4Mi1iMzkyLThjMjFjODA2ZjYxMQ.xhtml,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzNjLzI5L2YyL2U5NmMtNDNhMS1iMTdkLTgyNDJkYmQ3N2Q4Zg.pdf,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzLzEyLzRjL2MxL2Q1L2YyODAtNGExNy1iMDg1LWFmMTQzOTM5MGE4ZA.xml,true,0.0,0.0,0.0,0.0,Herning,7400.0,102.0,TranekÃ¦rvej,8464 Galten,BÃ¸geskovvej 5,,Regnskabsklasse B,2017-01-24,2017-01-24,,,,26735688.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Vistisen,Henrik Vistisen,Henrik Vistisen,0.0,VISTISEN EJENDOMME ApS,Anni Holm,Herning,2014-09-01,2015-08-31,,,,2016-08-31,2015-09-01,,,false,false,1424.0,,97212197.0,false,false,Ingen bistand,urn:ofk:oid:23423318,indberetninger-20180424,2.5949402000000004,26735688.0,,2018-03-27T12:38:17.606Z,2017-01-25T16:18:43.192Z,regnskab,0.0,,2016-08-31,2015-09-01,X17-AB-40-AL,2017-01-25T16:18:43.365Z,2882790.0,-17949.0,125000.0,64114.0,71947.0,10116.0,778750.0,2818676.0,2882790.0,2104040.0,1635333.0,1635333.0,2818676.0,378032.0,0.0,2818676.0,653750.0,468707.0,82370.0,82063.0,8305.0
26735688,2015-09-01,2016-08-31,c0,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzg1LzI3LzNkLzBkODUtNDE4Mi1iMzkyLThjMjFjODA2ZjYxMQ.xhtml,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzNjLzI5L2YyL2U5NmMtNDNhMS1iMTdkLTgyNDJkYmQ3N2Q4Zg.pdf,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzLzEyLzRjL2MxL2Q1L2YyODAtNGExNy1iMDg1LWFmMTQzOTM5MGE4ZA.xml,true,0.0,0.0,0.0,0.0,Herning,7400.0,102.0,TranekÃ¦rvej,8464 Galten,BÃ¸geskovvej 5,37504.0,Regnskabsklasse B,2017-01-24,2017-01-24,35974.0,196048.0,97448.0,26735688.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Vistisen,Henrik Vistisen,Henrik Vistisen,0.0,VISTISEN EJENDOMME ApS,Anni Holm,Herning,2014-09-01,2015-08-31,-11503.0,-14611.0,61474.0,2016-08-31,2015-09-01,76085.0,331000.0,false,false,1424.0,-3108.0,97212197.0,false,false,Ingen bistand,urn:ofk:oid:23423318,indberetninger-20180424,2.5949402000000004,26735688.0,,2018-03-27T12:38:17.606Z,2017-01-25T16:18:43.192Z,regnskab,0.0,,2016-08-31,2015-09-01,X17-AB-40-AL,2017-01-25T16:18:43.365Z,,,,,,,,,,,,,,,,,,,,,
26735688,2015-09-01,2016-08-31,c1,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzg1LzI3LzNkLzBkODUtNDE4Mi1iMzkyLThjMjFjODA2ZjYxMQ.xhtml,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzNjLzI5L2YyL2U5NmMtNDNhMS1iMTdkLTgyNDJkYmQ3N2Q4Zg.pdf,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzLzEyLzRjL2MxL2Q1L2YyODAtNGExNy1iMDg1LWFmMTQzOTM5MGE4ZA.xml,true,0.0,0.0,0.0,0.0,Herning,7400.0,102.0,TranekÃ¦rvej,8464 Galten,BÃ¸geskovvej 5,,Regnskabsklasse B,2017-01-24,2017-01-24,,,,26735688.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Vistisen,Henrik Vistisen,Henrik Vistisen,0.0,VISTISEN EJENDOMME ApS,Anni Holm,Herning,2014-09-01,2015-08-31,,,,2016-08-31,2015-09-01,,,false,false,1424.0,,97212197.0,false,false,Ingen bistand,urn:ofk:oid:23423318,indberetninger-20180424,2.5949402000000004,26735688.0,,2018-03-27T12:38:17.606Z,2017-01-25T16:18:43.192Z,regnskab,0.0,,2016-08-31,2015-09-01,X17-AB-40-AL,2017-01-25T16:18:43.365Z,,,,,,,,,,,,,,,,,,,,,
26735688,2015-09-01,2016-08-31,c2,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzg1LzI3LzNkLzBkODUtNDE4Mi1iMzkyLThjMjFjODA2ZjYxMQ.xhtml,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzNjLzI5L2YyL2U5NmMtNDNhMS1iMTdkLTgyNDJkYmQ3N2Q4Zg.pdf,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzLzEyLzRjL2MxL2Q1L2YyODAtNGExNy1iMDg1LWFmMTQzOTM5MGE4ZA.xml,true,0.0,0.0,0.0,0.0,Herning,7400.0,102.0,TranekÃ¦rvej,8464 Galten,BÃ¸geskovvej 5,,Regnskabsklasse B,2017-01-24,2017-01-24,,,,26735688.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Vistisen,Henrik Vistisen,Henrik Vistisen,0.0,VISTISEN EJENDOMME ApS,Anni Holm,Herning,2014-09-01,2015-08-31,,,,2016-08-31,2015-09-01,,,false,false,1424.0,,97212197.0,false,false,Ingen bistand,urn:ofk:oid:23423318,indberetninger-20180424,2.5949402000000004,26735688.0,,2018-03-27T12:38:17.606Z,2017-01-25T16:18:43.192Z,regnskab,0.0,,2016-08-31,2015-09-01,X17-AB-40-AL,2017-01-25T16:18:43.365Z,,,,,,,,,,,,,,,,,,,,,
26735688,2015-09-01,2016-08-31,c4,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzg1LzI3LzNkLzBkODUtNDE4Mi1iMzkyLThjMjFjODA2ZjYxMQ.xhtml,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzNjLzI5L2YyL2U5NmMtNDNhMS1iMTdkLTgyNDJkYmQ3N2Q4Zg.pdf,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzLzEyLzRjL2MxL2Q1L2YyODAtNGExNy1iMDg1LWFmMTQzOTM5MGE4ZA.xml,true,0.0,0.0,0.0,0.0,Herning,7400.0,102.0,TranekÃ¦rvej,8464 Galten,BÃ¸geskovvej 5,,Regnskabsklasse B,2017-01-24,2017-01-24,,,,26735688.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Vistisen,Henrik Vistisen,Henrik Vistisen,0.0,VISTISEN EJENDOMME ApS,Anni Holm,Herning,2014-09-01,2015-08-31,0.0,,,2016-08-31,2015-09-01,,,false,false,1424.0,,97212197.0,false,false,Ingen bistand,urn:ofk:oid:23423318,indberetninger-20180424,2.5949402000000004,26735688.0,,2018-03-27T12:38:17.606Z,2017-01-25T16:18:43.192Z,regnskab,0.0,,2016-08-31,2015-09-01,X17-AB-40-AL,2017-01-25T16:18:43.365Z,,,,,,,,,,,,,,,,,,,,,
26735688,2015-09-01,2016-08-31,c5,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzg1LzI3LzNkLzBkODUtNDE4Mi1iMzkyLThjMjFjODA2ZjYxMQ.xhtml,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzNjLzI5L2YyL2U5NmMtNDNhMS1iMTdkLTgyNDJkYmQ3N2Q4Zg.pdf,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzLzEyLzRjL2MxL2Q1L2YyODAtNGExNy1iMDg1LWFmMTQzOTM5MGE4ZA.xml,true,0.0,0.0,0.0,0.0,Herning,7400.0,102.0,TranekÃ¦rvej,8464 Galten,BÃ¸geskovvej 5,,Regnskabsklasse B,2017-01-24,2017-01-24,,,,26735688.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Vistisen,Henrik Vistisen,Henrik Vistisen,0.0,VISTISEN EJENDOMME ApS,Anni Holm,Herning,2014-09-01,2015-08-31,0.0,,,2016-08-31,2015-09-01,,,false,false,1424.0,,97212197.0,false,false,Ingen bistand,urn:ofk:oid:23423318,indberetninger-20180424,2.5949402000000004,26735688.0,,2018-03-27T12:38:17.606Z,2017-01-25T16:18:43.192Z,regnskab,0.0,,2016-08-31,2015-09-01,X17-AB-40-AL,2017-01-25T16:18:43.365Z,,,,,,,,,,,,,,,,,,,,,
26735688,2015-09-01,2016-08-31,c6,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzg1LzI3LzNkLzBkODUtNDE4Mi1iMzkyLThjMjFjODA2ZjYxMQ.xhtml,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzNjLzI5L2YyL2U5NmMtNDNhMS1iMTdkLTgyNDJkYmQ3N2Q4Zg.pdf,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzLzEyLzRjL2MxL2Q1L2YyODAtNGExNy1iMDg1LWFmMTQzOTM5MGE4ZA.xml,true,0.0,0.0,0.0,0.0,Herning,7400.0,102.0,TranekÃ¦rvej,8464 Galten,BÃ¸geskovvej 5,,Regnskabsklasse B,2017-01-24,2017-01-24,,,,26735688.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Vistisen,Henrik Vistisen,Henrik Vistisen,0.0,VISTISEN EJENDOMME ApS,Anni Holm,Herning,2014-09-01,2015-08-31,-11503.0,,,2016-08-31,2015-09-01,,,false,false,1424.0,,97212197.0,false,false,Ingen bistand,urn:ofk:oid:23423318,indberetninger-20180424,2.5949402000000004,26735688.0,,2018-03-27T12:38:17.606Z,2017-01-25T16:18:43.192Z,regnskab,0.0,,2016-08-31,2015-09-01,X17-AB-40-AL,2017-01-25T16:18:43.365Z,,,,,,,,,,,,,,,,,,,,,
26735688,2016-08-31,2016-08-31,c8,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzg1LzI3LzNkLzBkODUtNDE4Mi1iMzkyLThjMjFjODA2ZjYxMQ.xhtml,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzNjLzI5L2YyL2U5NmMtNDNhMS1iMTdkLTgyNDJkYmQ3N2Q4Zg.pdf,http://regnskaber.virk.dk/88653762/ZG9rdW1lbnRsYWdlcjovLzAzLzEyLzRjL2MxL2Q1L2YyODAtNGExNy1iMDg1LWFmMTQzOTM5MGE4ZA.xml,true,0.0,0.0,0.0,0.0,Herning,7400.0,102.0,TranekÃ¦rvej,8464 Galten,BÃ¸geskovvej 5,,Regnskabsklasse B,2017-01-24,2017-01-24,,,,26735688.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Vistisen,Henrik Vistisen,Henrik Vistisen,0.0,VISTISEN EJENDOMME ApS,Anni Holm,Herning,2014-09-01,2015-08-31,,,,2016-08-31,2015-09-01,,,false,false,1424.0,,97212197.0,false,false,Ingen bistand,urn:ofk:oid:23423318,indberetninger-20180424,2.5949402000000004,26735688.0,,2018-03-27T12:38:17.606Z,2017-01-25T16:18:43.192Z,regnskab,0.0,,2016-08-31,2015-09-01,X17-AB-40-AL,2017-01-25T16:18:43.365Z,2842162.0,-41373.0,125000.0,59460.0,78448.0,12061.0,767247.0,2782702.0,2842162.0,2074915.0,1549634.0,1549634.0,2782702.0,441246.0,8900.0,2782702.0,642247.0,525281.0,84035.0,100833.0,0.0
