entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfReport,DateOfGeneralMeeting,EmployeeBenefitsExpense,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherExternalExpenses,PlaceOfSignatureOfStatement,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,TaxExpense,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherShorttermInvestments,PayablesToGroupEnterprises,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,NameAndSurnameOfMemberOfExecutiveBoard
28849532,2013-05-01,2014-04-30,ctx27,,http://regnskaber.virk.dk/23594882/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzhmLzkwLzI4LzcxZTgtNDI1My04YjRlLTdkNjNkNDAzNTZiNg.pdf,http://regnskaber.virk.dk/23594882/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzc1LzhiLzM1LzE5OTUtNDdlYS04ZWVjLWU4MmNlNjBiZjcwYw.xml,3520 Farum,Kassemosevej 16a,2670 Greve,Ole Larsensvej 1,Regnskabsklasse B,2015-09-22,2015-09-22,0.0,28849532.0,33883889.0,Ãrsrapport,Per Eriksen,Lyngen Ejendomme Holding ApS,XBRL Takeoff,0.0,"Farum, den 22. september 2015",0.0,0.0,Hjemsted - FuresÃ¸ kommune,2015-04-30,2014-05-01,0.0,Ingen bistand,urn:ofk:oid:21451049,indberetninger-20180424,2.5097437,28849532.0,,2018-03-30T14:47:00.351Z,2015-09-23T10:35:42.957Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-85-TZ,2015-09-23T10:35:43.059Z,,,,,,,,,,,,,
28849532,2013-05-01,2014-04-30,ctx29,,http://regnskaber.virk.dk/23594882/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzhmLzkwLzI4LzcxZTgtNDI1My04YjRlLTdkNjNkNDAzNTZiNg.pdf,http://regnskaber.virk.dk/23594882/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzc1LzhiLzM1LzE5OTUtNDdlYS04ZWVjLWU4MmNlNjBiZjcwYw.xml,3520 Farum,Kassemosevej 16a,2670 Greve,Ole Larsensvej 1,Regnskabsklasse B,2015-09-22,2015-09-22,,28849532.0,33883889.0,Ãrsrapport,Per Eriksen,Lyngen Ejendomme Holding ApS,XBRL Takeoff,,"Farum, den 22. september 2015",0.0,,Hjemsted - FuresÃ¸ kommune,2015-04-30,2014-05-01,,Ingen bistand,urn:ofk:oid:21451049,indberetninger-20180424,2.5097437,28849532.0,,2018-03-30T14:47:00.351Z,2015-09-23T10:35:42.957Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-85-TZ,2015-09-23T10:35:43.059Z,,,,,,,,,,,,,
28849532,2013-05-01,2014-04-30,ctx31,,http://regnskaber.virk.dk/23594882/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzhmLzkwLzI4LzcxZTgtNDI1My04YjRlLTdkNjNkNDAzNTZiNg.pdf,http://regnskaber.virk.dk/23594882/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzc1LzhiLzM1LzE5OTUtNDdlYS04ZWVjLWU4MmNlNjBiZjcwYw.xml,3520 Farum,Kassemosevej 16a,2670 Greve,Ole Larsensvej 1,Regnskabsklasse B,2015-09-22,2015-09-22,,28849532.0,33883889.0,Ãrsrapport,Per Eriksen,Lyngen Ejendomme Holding ApS,XBRL Takeoff,,"Farum, den 22. september 2015",0.0,,Hjemsted - FuresÃ¸ kommune,2015-04-30,2014-05-01,,Ingen bistand,urn:ofk:oid:21451049,indberetninger-20180424,2.5097437,28849532.0,,2018-03-30T14:47:00.351Z,2015-09-23T10:35:42.957Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-85-TZ,2015-09-23T10:35:43.059Z,,,,,,,,,,,,,
28849532,2014-04-30,2014-04-30,ctx33,,http://regnskaber.virk.dk/23594882/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzhmLzkwLzI4LzcxZTgtNDI1My04YjRlLTdkNjNkNDAzNTZiNg.pdf,http://regnskaber.virk.dk/23594882/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzc1LzhiLzM1LzE5OTUtNDdlYS04ZWVjLWU4MmNlNjBiZjcwYw.xml,3520 Farum,Kassemosevej 16a,2670 Greve,Ole Larsensvej 1,Regnskabsklasse B,2015-09-22,2015-09-22,,28849532.0,33883889.0,Ãrsrapport,Per Eriksen,Lyngen Ejendomme Holding ApS,XBRL Takeoff,,"Farum, den 22. september 2015",,,Hjemsted - FuresÃ¸ kommune,2015-04-30,2014-05-01,,Ingen bistand,urn:ofk:oid:21451049,indberetninger-20180424,2.5097437,28849532.0,,2018-03-30T14:47:00.351Z,2015-09-23T10:35:42.957Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-85-TZ,2015-09-23T10:35:43.059Z,1512000.0,90000.0,0.0,96156.0,1512000.0,1415844.0,1512000.0,1512000.0,1512000.0,1415844.0,6156.0,1415844.0,
28849532,2014-05-01,2015-04-30,ctx23,,http://regnskaber.virk.dk/23594882/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzhmLzkwLzI4LzcxZTgtNDI1My04YjRlLTdkNjNkNDAzNTZiNg.pdf,http://regnskaber.virk.dk/23594882/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzc1LzhiLzM1LzE5OTUtNDdlYS04ZWVjLWU4MmNlNjBiZjcwYw.xml,3520 Farum,Kassemosevej 16a,2670 Greve,Ole Larsensvej 1,Regnskabsklasse B,2015-09-22,2015-09-22,0.0,28849532.0,33883889.0,Ãrsrapport,Per Eriksen,Lyngen Ejendomme Holding ApS,XBRL Takeoff,0.0,"Farum, den 22. september 2015",0.0,0.0,Hjemsted - FuresÃ¸ kommune,2015-04-30,2014-05-01,0.0,Ingen bistand,urn:ofk:oid:21451049,indberetninger-20180424,2.5097437,28849532.0,,2018-03-30T14:47:00.351Z,2015-09-23T10:35:42.957Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-85-TZ,2015-09-23T10:35:43.059Z,,,,,,,,,,,,,
28849532,2014-05-01,2015-04-30,ctx24,,http://regnskaber.virk.dk/23594882/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzhmLzkwLzI4LzcxZTgtNDI1My04YjRlLTdkNjNkNDAzNTZiNg.pdf,http://regnskaber.virk.dk/23594882/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzc1LzhiLzM1LzE5OTUtNDdlYS04ZWVjLWU4MmNlNjBiZjcwYw.xml,3520 Farum,Kassemosevej 16a,2670 Greve,Ole Larsensvej 1,Regnskabsklasse B,2015-09-22,2015-09-22,,28849532.0,33883889.0,Ãrsrapport,Per Eriksen,Lyngen Ejendomme Holding ApS,XBRL Takeoff,,"Farum, den 22. september 2015",,,Hjemsted - FuresÃ¸ kommune,2015-04-30,2014-05-01,,Ingen bistand,urn:ofk:oid:21451049,indberetninger-20180424,2.5097437,28849532.0,,2018-03-30T14:47:00.351Z,2015-09-23T10:35:42.957Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-85-TZ,2015-09-23T10:35:43.059Z,,,,,,,,,,,,,Per Eriksen
28849532,2014-05-01,2015-04-30,ctx25,,http://regnskaber.virk.dk/23594882/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzhmLzkwLzI4LzcxZTgtNDI1My04YjRlLTdkNjNkNDAzNTZiNg.pdf,http://regnskaber.virk.dk/23594882/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzc1LzhiLzM1LzE5OTUtNDdlYS04ZWVjLWU4MmNlNjBiZjcwYw.xml,3520 Farum,Kassemosevej 16a,2670 Greve,Ole Larsensvej 1,Regnskabsklasse B,2015-09-22,2015-09-22,,28849532.0,33883889.0,Ãrsrapport,Per Eriksen,Lyngen Ejendomme Holding ApS,XBRL Takeoff,,"Farum, den 22. september 2015",,,Hjemsted - FuresÃ¸ kommune,2015-04-30,2014-05-01,,Ingen bistand,urn:ofk:oid:21451049,indberetninger-20180424,2.5097437,28849532.0,,2018-03-30T14:47:00.351Z,2015-09-23T10:35:42.957Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-85-TZ,2015-09-23T10:35:43.059Z,,,,,,,,,,,,,Per Eriksen
28849532,2014-05-01,2015-04-30,ctx26,,http://regnskaber.virk.dk/23594882/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzhmLzkwLzI4LzcxZTgtNDI1My04YjRlLTdkNjNkNDAzNTZiNg.pdf,http://regnskaber.virk.dk/23594882/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzc1LzhiLzM1LzE5OTUtNDdlYS04ZWVjLWU4MmNlNjBiZjcwYw.xml,3520 Farum,Kassemosevej 16a,2670 Greve,Ole Larsensvej 1,Regnskabsklasse B,2015-09-22,2015-09-22,,28849532.0,33883889.0,Ãrsrapport,Per Eriksen,Lyngen Ejendomme Holding ApS,XBRL Takeoff,,"Farum, den 22. september 2015",,,Hjemsted - FuresÃ¸ kommune,2015-04-30,2014-05-01,,Ingen bistand,urn:ofk:oid:21451049,indberetninger-20180424,2.5097437,28849532.0,,2018-03-30T14:47:00.351Z,2015-09-23T10:35:42.957Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-85-TZ,2015-09-23T10:35:43.059Z,,,,,,,,,,,,,
28849532,2014-05-01,2015-04-30,ctx28,,http://regnskaber.virk.dk/23594882/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzhmLzkwLzI4LzcxZTgtNDI1My04YjRlLTdkNjNkNDAzNTZiNg.pdf,http://regnskaber.virk.dk/23594882/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzc1LzhiLzM1LzE5OTUtNDdlYS04ZWVjLWU4MmNlNjBiZjcwYw.xml,3520 Farum,Kassemosevej 16a,2670 Greve,Ole Larsensvej 1,Regnskabsklasse B,2015-09-22,2015-09-22,,28849532.0,33883889.0,Ãrsrapport,Per Eriksen,Lyngen Ejendomme Holding ApS,XBRL Takeoff,,"Farum, den 22. september 2015",0.0,,Hjemsted - FuresÃ¸ kommune,2015-04-30,2014-05-01,,Ingen bistand,urn:ofk:oid:21451049,indberetninger-20180424,2.5097437,28849532.0,,2018-03-30T14:47:00.351Z,2015-09-23T10:35:42.957Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-85-TZ,2015-09-23T10:35:43.059Z,,,,,,,,,,,,,
28849532,2014-05-01,2015-04-30,ctx30,,http://regnskaber.virk.dk/23594882/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzhmLzkwLzI4LzcxZTgtNDI1My04YjRlLTdkNjNkNDAzNTZiNg.pdf,http://regnskaber.virk.dk/23594882/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzc1LzhiLzM1LzE5OTUtNDdlYS04ZWVjLWU4MmNlNjBiZjcwYw.xml,3520 Farum,Kassemosevej 16a,2670 Greve,Ole Larsensvej 1,Regnskabsklasse B,2015-09-22,2015-09-22,,28849532.0,33883889.0,Ãrsrapport,Per Eriksen,Lyngen Ejendomme Holding ApS,XBRL Takeoff,,"Farum, den 22. september 2015",0.0,,Hjemsted - FuresÃ¸ kommune,2015-04-30,2014-05-01,,Ingen bistand,urn:ofk:oid:21451049,indberetninger-20180424,2.5097437,28849532.0,,2018-03-30T14:47:00.351Z,2015-09-23T10:35:42.957Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-85-TZ,2015-09-23T10:35:43.059Z,,,,,,,,,,,,,
