entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,DisclosureOfContingentLiabilities,DisclosureOfMortgagesAndCollaterals,FinanceExpensesArisingFromGroupEnterprises,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ReportingPeriodEndDate,ReportingPeriodStartDate,RestOfOtherFinanceExpenses,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,Provisions,ProvisionsForDeferredTax,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTaxReceivables,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm
32932541,2013-10-01,2014-09-30,c3,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzc1LzkzLzQ2LzNlNmUtNDE0Yy1hOThlLWRlMTg4M2UxNTA2Ng.xhtml,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzQ3L2UwLzE4LzUzYzMtNDI1My04MDk1LTQ5NGY4NDA1YzA3Yw.pdf,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2QyL2YzL2EwL2E0Y2YtNDUyZi1hNDFhLTM1YjYyODg4ZWI1MA.xml,Danmark,DK,Nyborg,5800.0,1.0,Kirkegade,Nyborg,5800.0,6.0,SkrÃ¦nten,5800 Nyborg,Kirkegade 1,Til den daglige ledelse i HOUSE OF DANPLACE ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-30,2016-03-30,Registreret revisor HD,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",226193.0,-187175.0,32932541.0,1013389612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik K. Andreasen,Troels StenstrÃ¸m Kristiansen,Troels StenstrÃ¸m Kristiansen,HOUSE OF DANPLACE ApS,Nyborg ErhvervsRevision ApS,18443.0,Nyborg,2013-10-01,2014-09-30,-397392.0,-399169.0,2015-09-30,2014-10-01,4244.0,2016-03-30,Nyborg,-1777.0,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22156590,indberetninger-20180424,2.5926023,32932541.0,,2018-03-29T07:54:51.094Z,2016-03-30T13:34:49.305Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AK-69-KL,2016-03-30T13:34:49.491Z,,,,,,,,,,,,,,,,,,,,,,,,,
32932541,2013-10-01,2014-09-30,c5,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzc1LzkzLzQ2LzNlNmUtNDE0Yy1hOThlLWRlMTg4M2UxNTA2Ng.xhtml,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzQ3L2UwLzE4LzUzYzMtNDI1My04MDk1LTQ5NGY4NDA1YzA3Yw.pdf,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2QyL2YzL2EwL2E0Y2YtNDUyZi1hNDFhLTM1YjYyODg4ZWI1MA.xml,Danmark,DK,Nyborg,5800.0,1.0,Kirkegade,Nyborg,5800.0,6.0,SkrÃ¦nten,5800 Nyborg,Kirkegade 1,Til den daglige ledelse i HOUSE OF DANPLACE ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-30,2016-03-30,Registreret revisor HD,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,32932541.0,1013389612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik K. Andreasen,Troels StenstrÃ¸m Kristiansen,Troels StenstrÃ¸m Kristiansen,HOUSE OF DANPLACE ApS,Nyborg ErhvervsRevision ApS,,Nyborg,2013-10-01,2014-09-30,0.0,,2015-09-30,2014-10-01,,2016-03-30,Nyborg,,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22156590,indberetninger-20180424,2.5926023,32932541.0,,2018-03-29T07:54:51.094Z,2016-03-30T13:34:49.305Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AK-69-KL,2016-03-30T13:34:49.491Z,,,,,,,,,,,,,,,,,,,,,,,,,
32932541,2013-10-01,2014-09-30,c7,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzc1LzkzLzQ2LzNlNmUtNDE0Yy1hOThlLWRlMTg4M2UxNTA2Ng.xhtml,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzQ3L2UwLzE4LzUzYzMtNDI1My04MDk1LTQ5NGY4NDA1YzA3Yw.pdf,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2QyL2YzL2EwL2E0Y2YtNDUyZi1hNDFhLTM1YjYyODg4ZWI1MA.xml,Danmark,DK,Nyborg,5800.0,1.0,Kirkegade,Nyborg,5800.0,6.0,SkrÃ¦nten,5800 Nyborg,Kirkegade 1,Til den daglige ledelse i HOUSE OF DANPLACE ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-30,2016-03-30,Registreret revisor HD,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,32932541.0,1013389612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik K. Andreasen,Troels StenstrÃ¸m Kristiansen,Troels StenstrÃ¸m Kristiansen,HOUSE OF DANPLACE ApS,Nyborg ErhvervsRevision ApS,,Nyborg,2013-10-01,2014-09-30,-93009.0,,2015-09-30,2014-10-01,,2016-03-30,Nyborg,,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22156590,indberetninger-20180424,2.5926023,32932541.0,,2018-03-29T07:54:51.094Z,2016-03-30T13:34:49.305Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AK-69-KL,2016-03-30T13:34:49.491Z,,,,,,,,,,,,,,,,,,,,,,,,,
32932541,2013-10-01,2014-09-30,c9,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzc1LzkzLzQ2LzNlNmUtNDE0Yy1hOThlLWRlMTg4M2UxNTA2Ng.xhtml,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzQ3L2UwLzE4LzUzYzMtNDI1My04MDk1LTQ5NGY4NDA1YzA3Yw.pdf,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2QyL2YzL2EwL2E0Y2YtNDUyZi1hNDFhLTM1YjYyODg4ZWI1MA.xml,Danmark,DK,Nyborg,5800.0,1.0,Kirkegade,Nyborg,5800.0,6.0,SkrÃ¦nten,5800 Nyborg,Kirkegade 1,Til den daglige ledelse i HOUSE OF DANPLACE ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-30,2016-03-30,Registreret revisor HD,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,32932541.0,1013389612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik K. Andreasen,Troels StenstrÃ¸m Kristiansen,Troels StenstrÃ¸m Kristiansen,HOUSE OF DANPLACE ApS,Nyborg ErhvervsRevision ApS,,Nyborg,2013-10-01,2014-09-30,-304383.0,,2015-09-30,2014-10-01,,2016-03-30,Nyborg,,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22156590,indberetninger-20180424,2.5926023,32932541.0,,2018-03-29T07:54:51.094Z,2016-03-30T13:34:49.305Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AK-69-KL,2016-03-30T13:34:49.491Z,,,,,,,,,,,,,,,,,,,,,,,,,
32932541,2014-09-30,2014-09-30,c11,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzc1LzkzLzQ2LzNlNmUtNDE0Yy1hOThlLWRlMTg4M2UxNTA2Ng.xhtml,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzQ3L2UwLzE4LzUzYzMtNDI1My04MDk1LTQ5NGY4NDA1YzA3Yw.pdf,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2QyL2YzL2EwL2E0Y2YtNDUyZi1hNDFhLTM1YjYyODg4ZWI1MA.xml,Danmark,DK,Nyborg,5800.0,1.0,Kirkegade,Nyborg,5800.0,6.0,SkrÃ¦nten,5800 Nyborg,Kirkegade 1,Til den daglige ledelse i HOUSE OF DANPLACE ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-30,2016-03-30,Registreret revisor HD,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,32932541.0,1013389612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik K. Andreasen,Troels StenstrÃ¸m Kristiansen,Troels StenstrÃ¸m Kristiansen,HOUSE OF DANPLACE ApS,Nyborg ErhvervsRevision ApS,,Nyborg,2013-10-01,2014-09-30,,,2015-09-30,2014-10-01,,2016-03-30,Nyborg,,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22156590,indberetninger-20180424,2.5926023,32932541.0,,2018-03-29T07:54:51.094Z,2016-03-30T13:34:49.305Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AK-69-KL,2016-03-30T13:34:49.491Z,7026183.0,135.0,5000000.0,5113827.0,7239.0,5448183.0,7026183.0,1578000.0,1912356.0,1835540.0,76816.0,1912356.0,1578000.0,0.0,0.0,0.0,448183.0,1578000.0,5113692.0,2480000.0,2584998.0,0.0,41455.0,,
32932541,2014-10-01,2015-09-30,c0,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzc1LzkzLzQ2LzNlNmUtNDE0Yy1hOThlLWRlMTg4M2UxNTA2Ng.xhtml,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzQ3L2UwLzE4LzUzYzMtNDI1My04MDk1LTQ5NGY4NDA1YzA3Yw.pdf,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2QyL2YzL2EwL2E0Y2YtNDUyZi1hNDFhLTM1YjYyODg4ZWI1MA.xml,Danmark,DK,Nyborg,5800.0,1.0,Kirkegade,Nyborg,5800.0,6.0,SkrÃ¦nten,5800 Nyborg,Kirkegade 1,Til den daglige ledelse i HOUSE OF DANPLACE ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-30,2016-03-30,Registreret revisor HD,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",6253.0,-1625893.0,32932541.0,1013389612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik K. Andreasen,Troels StenstrÃ¸m Kristiansen,Troels StenstrÃ¸m Kristiansen,HOUSE OF DANPLACE ApS,Nyborg ErhvervsRevision ApS,13231.0,Nyborg,2013-10-01,2014-09-30,-1853869.0,-1846630.0,2015-09-30,2014-10-01,227715.0,2016-03-30,Nyborg,7239.0,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22156590,indberetninger-20180424,2.5926023,32932541.0,,2018-03-29T07:54:51.094Z,2016-03-30T13:34:49.305Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AK-69-KL,2016-03-30T13:34:49.491Z,,,,,,,,,,,,,,,,,,,,,,,,,
32932541,2014-10-01,2015-09-30,c1,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzc1LzkzLzQ2LzNlNmUtNDE0Yy1hOThlLWRlMTg4M2UxNTA2Ng.xhtml,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzQ3L2UwLzE4LzUzYzMtNDI1My04MDk1LTQ5NGY4NDA1YzA3Yw.pdf,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2QyL2YzL2EwL2E0Y2YtNDUyZi1hNDFhLTM1YjYyODg4ZWI1MA.xml,Danmark,DK,Nyborg,5800.0,1.0,Kirkegade,Nyborg,5800.0,6.0,SkrÃ¦nten,5800 Nyborg,Kirkegade 1,Til den daglige ledelse i HOUSE OF DANPLACE ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-30,2016-03-30,Registreret revisor HD,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,32932541.0,1013389612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik K. Andreasen,Troels StenstrÃ¸m Kristiansen,Troels StenstrÃ¸m Kristiansen,HOUSE OF DANPLACE ApS,Nyborg ErhvervsRevision ApS,,Nyborg,2013-10-01,2014-09-30,,,2015-09-30,2014-10-01,,2016-03-30,Nyborg,,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22156590,indberetninger-20180424,2.5926023,32932541.0,,2018-03-29T07:54:51.094Z,2016-03-30T13:34:49.305Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AK-69-KL,2016-03-30T13:34:49.491Z,,,,,,,,,,,,,,,,,,,,,,,,30546792.0,Nyborg ErhvervsRevision ApS
32932541,2014-10-01,2015-09-30,c2,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzc1LzkzLzQ2LzNlNmUtNDE0Yy1hOThlLWRlMTg4M2UxNTA2Ng.xhtml,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzQ3L2UwLzE4LzUzYzMtNDI1My04MDk1LTQ5NGY4NDA1YzA3Yw.pdf,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2QyL2YzL2EwL2E0Y2YtNDUyZi1hNDFhLTM1YjYyODg4ZWI1MA.xml,Danmark,DK,Nyborg,5800.0,1.0,Kirkegade,Nyborg,5800.0,6.0,SkrÃ¦nten,5800 Nyborg,Kirkegade 1,Til den daglige ledelse i HOUSE OF DANPLACE ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-30,2016-03-30,Registreret revisor HD,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,32932541.0,1013389612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik K. Andreasen,Troels StenstrÃ¸m Kristiansen,Troels StenstrÃ¸m Kristiansen,HOUSE OF DANPLACE ApS,Nyborg ErhvervsRevision ApS,,Nyborg,2013-10-01,2014-09-30,,,2015-09-30,2014-10-01,,2016-03-30,Nyborg,,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22156590,indberetninger-20180424,2.5926023,32932541.0,,2018-03-29T07:54:51.094Z,2016-03-30T13:34:49.305Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AK-69-KL,2016-03-30T13:34:49.491Z,,,,,,,,,,,,,,,,,,,,,,,,,
32932541,2014-10-01,2015-09-30,c4,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzc1LzkzLzQ2LzNlNmUtNDE0Yy1hOThlLWRlMTg4M2UxNTA2Ng.xhtml,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzQ3L2UwLzE4LzUzYzMtNDI1My04MDk1LTQ5NGY4NDA1YzA3Yw.pdf,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2QyL2YzL2EwL2E0Y2YtNDUyZi1hNDFhLTM1YjYyODg4ZWI1MA.xml,Danmark,DK,Nyborg,5800.0,1.0,Kirkegade,Nyborg,5800.0,6.0,SkrÃ¦nten,5800 Nyborg,Kirkegade 1,Til den daglige ledelse i HOUSE OF DANPLACE ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-30,2016-03-30,Registreret revisor HD,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,32932541.0,1013389612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik K. Andreasen,Troels StenstrÃ¸m Kristiansen,Troels StenstrÃ¸m Kristiansen,HOUSE OF DANPLACE ApS,Nyborg ErhvervsRevision ApS,,Nyborg,2013-10-01,2014-09-30,0.0,,2015-09-30,2014-10-01,,2016-03-30,Nyborg,,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22156590,indberetninger-20180424,2.5926023,32932541.0,,2018-03-29T07:54:51.094Z,2016-03-30T13:34:49.305Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AK-69-KL,2016-03-30T13:34:49.491Z,,,,,,,,,,,,,,,,,,,,,,,,,
32932541,2014-10-01,2015-09-30,c6,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzc1LzkzLzQ2LzNlNmUtNDE0Yy1hOThlLWRlMTg4M2UxNTA2Ng.xhtml,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzQ3L2UwLzE4LzUzYzMtNDI1My04MDk1LTQ5NGY4NDA1YzA3Yw.pdf,http://regnskaber.virk.dk/14523923/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2QyL2YzL2EwL2E0Y2YtNDUyZi1hNDFhLTM1YjYyODg4ZWI1MA.xml,Danmark,DK,Nyborg,5800.0,1.0,Kirkegade,Nyborg,5800.0,6.0,SkrÃ¦nten,5800 Nyborg,Kirkegade 1,Til den daglige ledelse i HOUSE OF DANPLACE ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-30,2016-03-30,Registreret revisor HD,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,32932541.0,1013389612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik K. Andreasen,Troels StenstrÃ¸m Kristiansen,Troels StenstrÃ¸m Kristiansen,HOUSE OF DANPLACE ApS,Nyborg ErhvervsRevision ApS,,Nyborg,2013-10-01,2014-09-30,0.0,,2015-09-30,2014-10-01,,2016-03-30,Nyborg,,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22156590,indberetninger-20180424,2.5926023,32932541.0,,2018-03-29T07:54:51.094Z,2016-03-30T13:34:49.305Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AK-69-KL,2016-03-30T13:34:49.491Z,,,,,,,,,,,,,,,,,,,,,,,,,
