entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermInvestmentsInGroupEnterprises,LongtermReceivablesFromAssociates,NoncurrentAssets,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,NameAndSurnameOfMemberOfExecutiveBoard
34579946,2017-01-01,2017-12-31,ID_7,,http://regnskaber.virk.dk/64997543/ZG9rdW1lbnRsYWdlcjovLzAzL2E0Lzc2LzRhLzFiLzgwMTQtNDJkOC1hOWY3LWQ5OWQ4ZDdjYTk3MQ.pdf,http://regnskaber.virk.dk/64997543/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzRhLzRiLzE5LzdkNTMtNDIxMi1iODcyLTJjNjFhZWM0OWUxYQ.xml,true,"Storvorde, 9280",VandvÃ¦rksvej 2,Til den daglige ledelse i M. Hegelund Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-06-24,2019-06-24,2012-05-10,-5375.0,38914766.0,34579946.0,38914766.0,mne34546,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for M. Hegelund Holding ApS.,-9830.0,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Rummenhoff,Brian Jensen,RÃ©Vision+ Statautoriseret Revisionsaktieselskab,M. Hegelund Holding ApS,RÃ©Vision+ Statautoriseret Revisionsaktieselskab,9.0,0.0,Storvorde,2017-01-01,2017-12-31,-15214.0,-15214.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"0851, Aalborg",2018-12-31,2018-01-01,true,2019-06-24,Storvorde,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27579210,indberetninger-20180424,2.5097417999999996,34579946.0,AWuJr8wPIXJRhhXBLXEu,2019-06-24T13:32:22.832Z,2019-06-24T13:32:07.263Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-52-FN,2019-06-24T13:32:07.598Z,,,,,,,,,,,,,,,,,
34579946,2017-01-01,2017-12-31,ID_9,,http://regnskaber.virk.dk/64997543/ZG9rdW1lbnRsYWdlcjovLzAzL2E0Lzc2LzRhLzFiLzgwMTQtNDJkOC1hOWY3LWQ5OWQ4ZDdjYTk3MQ.pdf,http://regnskaber.virk.dk/64997543/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzRhLzRiLzE5LzdkNTMtNDIxMi1iODcyLTJjNjFhZWM0OWUxYQ.xml,true,"Storvorde, 9280",VandvÃ¦rksvej 2,Til den daglige ledelse i M. Hegelund Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-06-24,2019-06-24,2012-05-10,,38914766.0,34579946.0,38914766.0,mne34546,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for M. Hegelund Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Rummenhoff,Brian Jensen,RÃ©Vision+ Statautoriseret Revisionsaktieselskab,M. Hegelund Holding ApS,RÃ©Vision+ Statautoriseret Revisionsaktieselskab,,,Storvorde,2017-01-01,2017-12-31,-15214.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"0851, Aalborg",2018-12-31,2018-01-01,true,2019-06-24,Storvorde,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27579210,indberetninger-20180424,2.5097417999999996,34579946.0,AWuJr8wPIXJRhhXBLXEu,2019-06-24T13:32:22.832Z,2019-06-24T13:32:07.263Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-52-FN,2019-06-24T13:32:07.598Z,,,,,,,,,,,,,,,,,
34579946,2017-12-31,2017-12-31,ID_6,,http://regnskaber.virk.dk/64997543/ZG9rdW1lbnRsYWdlcjovLzAzL2E0Lzc2LzRhLzFiLzgwMTQtNDJkOC1hOWY3LWQ5OWQ4ZDdjYTk3MQ.pdf,http://regnskaber.virk.dk/64997543/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzRhLzRiLzE5LzdkNTMtNDIxMi1iODcyLTJjNjFhZWM0OWUxYQ.xml,true,"Storvorde, 9280",VandvÃ¦rksvej 2,Til den daglige ledelse i M. Hegelund Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-06-24,2019-06-24,2012-05-10,,38914766.0,34579946.0,38914766.0,mne34546,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for M. Hegelund Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Rummenhoff,Brian Jensen,RÃ©Vision+ Statautoriseret Revisionsaktieselskab,M. Hegelund Holding ApS,RÃ©Vision+ Statautoriseret Revisionsaktieselskab,,,Storvorde,2017-01-01,2017-12-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"0851, Aalborg",2018-12-31,2018-01-01,true,2019-06-24,Storvorde,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27579210,indberetninger-20180424,2.5097417999999996,34579946.0,AWuJr8wPIXJRhhXBLXEu,2019-06-24T13:32:22.832Z,2019-06-24T13:32:07.263Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-52-FN,2019-06-24T13:32:07.598Z,90080.0,1371.0,80000.0,1371.0,-44345.0,90080.0,134425.0,88709.0,78708.0,1.0,10000.0,88709.0,108715.0,-124345.0,134425.0,25710.0,
34579946,2018-01-01,2018-12-31,ID_0,,http://regnskaber.virk.dk/64997543/ZG9rdW1lbnRsYWdlcjovLzAzL2E0Lzc2LzRhLzFiLzgwMTQtNDJkOC1hOWY3LWQ5OWQ4ZDdjYTk3MQ.pdf,http://regnskaber.virk.dk/64997543/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzRhLzRiLzE5LzdkNTMtNDIxMi1iODcyLTJjNjFhZWM0OWUxYQ.xml,true,"Storvorde, 9280",VandvÃ¦rksvej 2,Til den daglige ledelse i M. Hegelund Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-06-24,2019-06-24,2012-05-10,-108110.0,38914766.0,34579946.0,38914766.0,mne34546,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for M. Hegelund Holding ApS.,-2740.0,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Rummenhoff,Brian Jensen,RÃ©Vision+ Statautoriseret Revisionsaktieselskab,M. Hegelund Holding ApS,RÃ©Vision+ Statautoriseret Revisionsaktieselskab,10.0,8860.0,Storvorde,2017-01-01,2017-12-31,-102000.0,-102000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"0851, Aalborg",2018-12-31,2018-01-01,true,2019-06-24,Storvorde,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27579210,indberetninger-20180424,2.5097417999999996,34579946.0,AWuJr8wPIXJRhhXBLXEu,2019-06-24T13:32:22.832Z,2019-06-24T13:32:07.263Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-52-FN,2019-06-24T13:32:07.598Z,,,,,,,,,,,,,,,,,
34579946,2018-01-01,2018-12-31,ID_1,,http://regnskaber.virk.dk/64997543/ZG9rdW1lbnRsYWdlcjovLzAzL2E0Lzc2LzRhLzFiLzgwMTQtNDJkOC1hOWY3LWQ5OWQ4ZDdjYTk3MQ.pdf,http://regnskaber.virk.dk/64997543/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzRhLzRiLzE5LzdkNTMtNDIxMi1iODcyLTJjNjFhZWM0OWUxYQ.xml,true,"Storvorde, 9280",VandvÃ¦rksvej 2,Til den daglige ledelse i M. Hegelund Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-06-24,2019-06-24,2012-05-10,,38914766.0,34579946.0,38914766.0,mne34546,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for M. Hegelund Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Rummenhoff,Brian Jensen,RÃ©Vision+ Statautoriseret Revisionsaktieselskab,M. Hegelund Holding ApS,RÃ©Vision+ Statautoriseret Revisionsaktieselskab,,,Storvorde,2017-01-01,2017-12-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"0851, Aalborg",2018-12-31,2018-01-01,true,2019-06-24,Storvorde,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27579210,indberetninger-20180424,2.5097417999999996,34579946.0,AWuJr8wPIXJRhhXBLXEu,2019-06-24T13:32:22.832Z,2019-06-24T13:32:07.263Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-52-FN,2019-06-24T13:32:07.598Z,,,,,,,,,,,,,,,,,
34579946,2018-01-01,2018-12-31,ID_2,,http://regnskaber.virk.dk/64997543/ZG9rdW1lbnRsYWdlcjovLzAzL2E0Lzc2LzRhLzFiLzgwMTQtNDJkOC1hOWY3LWQ5OWQ4ZDdjYTk3MQ.pdf,http://regnskaber.virk.dk/64997543/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzRhLzRiLzE5LzdkNTMtNDIxMi1iODcyLTJjNjFhZWM0OWUxYQ.xml,true,"Storvorde, 9280",VandvÃ¦rksvej 2,Til den daglige ledelse i M. Hegelund Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-06-24,2019-06-24,2012-05-10,,38914766.0,34579946.0,38914766.0,mne34546,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for M. Hegelund Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Rummenhoff,Brian Jensen,RÃ©Vision+ Statautoriseret Revisionsaktieselskab,M. Hegelund Holding ApS,RÃ©Vision+ Statautoriseret Revisionsaktieselskab,,,Storvorde,2017-01-01,2017-12-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"0851, Aalborg",2018-12-31,2018-01-01,true,2019-06-24,Storvorde,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27579210,indberetninger-20180424,2.5097417999999996,34579946.0,AWuJr8wPIXJRhhXBLXEu,2019-06-24T13:32:22.832Z,2019-06-24T13:32:07.263Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-52-FN,2019-06-24T13:32:07.598Z,,,,,,,,,,,,,,,,,
34579946,2018-01-01,2018-12-31,ID_3,,http://regnskaber.virk.dk/64997543/ZG9rdW1lbnRsYWdlcjovLzAzL2E0Lzc2LzRhLzFiLzgwMTQtNDJkOC1hOWY3LWQ5OWQ4ZDdjYTk3MQ.pdf,http://regnskaber.virk.dk/64997543/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzRhLzRiLzE5LzdkNTMtNDIxMi1iODcyLTJjNjFhZWM0OWUxYQ.xml,true,"Storvorde, 9280",VandvÃ¦rksvej 2,Til den daglige ledelse i M. Hegelund Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-06-24,2019-06-24,2012-05-10,,38914766.0,34579946.0,38914766.0,mne34546,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for M. Hegelund Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Rummenhoff,Brian Jensen,RÃ©Vision+ Statautoriseret Revisionsaktieselskab,M. Hegelund Holding ApS,RÃ©Vision+ Statautoriseret Revisionsaktieselskab,,,Storvorde,2017-01-01,2017-12-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"0851, Aalborg",2018-12-31,2018-01-01,true,2019-06-24,Storvorde,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27579210,indberetninger-20180424,2.5097417999999996,34579946.0,AWuJr8wPIXJRhhXBLXEu,2019-06-24T13:32:22.832Z,2019-06-24T13:32:07.263Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-52-FN,2019-06-24T13:32:07.598Z,,,,,,,,,,,,,,,,,Marianne Hegelund Thomsen
34579946,2018-01-01,2018-12-31,ID_4,,http://regnskaber.virk.dk/64997543/ZG9rdW1lbnRsYWdlcjovLzAzL2E0Lzc2LzRhLzFiLzgwMTQtNDJkOC1hOWY3LWQ5OWQ4ZDdjYTk3MQ.pdf,http://regnskaber.virk.dk/64997543/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzRhLzRiLzE5LzdkNTMtNDIxMi1iODcyLTJjNjFhZWM0OWUxYQ.xml,true,"Storvorde, 9280",VandvÃ¦rksvej 2,Til den daglige ledelse i M. Hegelund Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-06-24,2019-06-24,2012-05-10,,38914766.0,34579946.0,38914766.0,mne34546,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for M. Hegelund Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Rummenhoff,Brian Jensen,RÃ©Vision+ Statautoriseret Revisionsaktieselskab,M. Hegelund Holding ApS,RÃ©Vision+ Statautoriseret Revisionsaktieselskab,,,Storvorde,2017-01-01,2017-12-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"0851, Aalborg",2018-12-31,2018-01-01,true,2019-06-24,Storvorde,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27579210,indberetninger-20180424,2.5097417999999996,34579946.0,AWuJr8wPIXJRhhXBLXEu,2019-06-24T13:32:22.832Z,2019-06-24T13:32:07.263Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-52-FN,2019-06-24T13:32:07.598Z,,,,,,,,,,,,,,,,,
34579946,2018-01-01,2018-12-31,ID_8,,http://regnskaber.virk.dk/64997543/ZG9rdW1lbnRsYWdlcjovLzAzL2E0Lzc2LzRhLzFiLzgwMTQtNDJkOC1hOWY3LWQ5OWQ4ZDdjYTk3MQ.pdf,http://regnskaber.virk.dk/64997543/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzRhLzRiLzE5LzdkNTMtNDIxMi1iODcyLTJjNjFhZWM0OWUxYQ.xml,true,"Storvorde, 9280",VandvÃ¦rksvej 2,Til den daglige ledelse i M. Hegelund Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-06-24,2019-06-24,2012-05-10,,38914766.0,34579946.0,38914766.0,mne34546,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for M. Hegelund Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Rummenhoff,Brian Jensen,RÃ©Vision+ Statautoriseret Revisionsaktieselskab,M. Hegelund Holding ApS,RÃ©Vision+ Statautoriseret Revisionsaktieselskab,,,Storvorde,2017-01-01,2017-12-31,-102000.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"0851, Aalborg",2018-12-31,2018-01-01,true,2019-06-24,Storvorde,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27579210,indberetninger-20180424,2.5097417999999996,34579946.0,AWuJr8wPIXJRhhXBLXEu,2019-06-24T13:32:22.832Z,2019-06-24T13:32:07.263Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-52-FN,2019-06-24T13:32:07.598Z,,,,,,,,,,,,,,,,,
34579946,2018-12-31,2018-12-31,ID_5,,http://regnskaber.virk.dk/64997543/ZG9rdW1lbnRsYWdlcjovLzAzL2E0Lzc2LzRhLzFiLzgwMTQtNDJkOC1hOWY3LWQ5OWQ4ZDdjYTk3MQ.pdf,http://regnskaber.virk.dk/64997543/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzRhLzRiLzE5LzdkNTMtNDIxMi1iODcyLTJjNjFhZWM0OWUxYQ.xml,true,"Storvorde, 9280",VandvÃ¦rksvej 2,Til den daglige ledelse i M. Hegelund Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-06-24,2019-06-24,2012-05-10,,38914766.0,34579946.0,38914766.0,mne34546,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for M. Hegelund Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Rummenhoff,Brian Jensen,RÃ©Vision+ Statautoriseret Revisionsaktieselskab,M. Hegelund Holding ApS,RÃ©Vision+ Statautoriseret Revisionsaktieselskab,,,Storvorde,2017-01-01,2017-12-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"0851, Aalborg",2018-12-31,2018-01-01,true,2019-06-24,Storvorde,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27579210,indberetninger-20180424,2.5097417999999996,34579946.0,AWuJr8wPIXJRhhXBLXEu,2019-06-24T13:32:22.832Z,2019-06-24T13:32:07.263Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-52-FN,2019-06-24T13:32:07.598Z,344129.0,351.0,80000.0,351.0,-146345.0,344129.0,490474.0,343778.0,69403.0,6567.0,267809.0,343778.0,464764.0,-226345.0,490474.0,25710.0,
