entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,IdentificationNumberCvrOfReportingEntity,IdentificationNumberOfAuditor,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpense,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForInvestmentsInGroupEnterprises,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTradePayables,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm
32840493,2016-10-01,2017-09-30,c10,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2RmLzNhLzE2L2YzZWYtNDJmOS04MWNhLWU4YzlkNDQ4ZDVlNA.xhtml,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzL2YwL2EzLzUyL2VjL2RiMDQtNGNhZC05YWQxLWQyMjM3Zjc2N2Y4NQ.pdf,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzLzMxLzFlLzYwLzExL2FkZDQtNGNlNy1hMDYxLTI0Yjk1NGE4OTg5ZQ.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Ringsted,4100.0,12.0,Kastrupvej,4100  Ringsted,Brogade 50,Til den daglige ledelse i ACK ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-11-07,2019-02-20,Registreret revisor,32840493.0,mne12086,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Cathrine Nissen-Juul Klee,Anne Cathrine Nissen-Juul Klee,Sydbank,ACK ApS,Revisorteamet.dk,Ringsted,2016-10-01,2017-09-30,127000.0,2018-09-30,2017-10-01,false,false,2018-11-07,Ringsted,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26748719,indberetninger-20180424,2.5949402000000004,32840493.0,AWk0NcHrRYGX6_YTFbU0,2019-02-28T13:05:52.442Z,2019-02-28T13:05:31.509Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-DK-84-WQ,2019-02-28T13:05:31.704Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32840493,2016-10-01,2017-09-30,c12,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2RmLzNhLzE2L2YzZWYtNDJmOS04MWNhLWU4YzlkNDQ4ZDVlNA.xhtml,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzL2YwL2EzLzUyL2VjL2RiMDQtNGNhZC05YWQxLWQyMjM3Zjc2N2Y4NQ.pdf,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzLzMxLzFlLzYwLzExL2FkZDQtNGNlNy1hMDYxLTI0Yjk1NGE4OTg5ZQ.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Ringsted,4100.0,12.0,Kastrupvej,4100  Ringsted,Brogade 50,Til den daglige ledelse i ACK ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-11-07,2019-02-20,Registreret revisor,32840493.0,mne12086,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Cathrine Nissen-Juul Klee,Anne Cathrine Nissen-Juul Klee,Sydbank,ACK ApS,Revisorteamet.dk,Ringsted,2016-10-01,2017-09-30,-8673.0,2018-09-30,2017-10-01,false,false,2018-11-07,Ringsted,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26748719,indberetninger-20180424,2.5949402000000004,32840493.0,AWk0NcHrRYGX6_YTFbU0,2019-02-28T13:05:52.442Z,2019-02-28T13:05:31.509Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-DK-84-WQ,2019-02-28T13:05:31.704Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32840493,2016-10-01,2017-09-30,c4,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2RmLzNhLzE2L2YzZWYtNDJmOS04MWNhLWU4YzlkNDQ4ZDVlNA.xhtml,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzL2YwL2EzLzUyL2VjL2RiMDQtNGNhZC05YWQxLWQyMjM3Zjc2N2Y4NQ.pdf,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzLzMxLzFlLzYwLzExL2FkZDQtNGNlNy1hMDYxLTI0Yjk1NGE4OTg5ZQ.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Ringsted,4100.0,12.0,Kastrupvej,4100  Ringsted,Brogade 50,Til den daglige ledelse i ACK ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-11-07,2019-02-20,Registreret revisor,32840493.0,mne12086,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Cathrine Nissen-Juul Klee,Anne Cathrine Nissen-Juul Klee,Sydbank,ACK ApS,Revisorteamet.dk,Ringsted,2016-10-01,2017-09-30,-8673.0,2018-09-30,2017-10-01,false,false,2018-11-07,Ringsted,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26748719,indberetninger-20180424,2.5949402000000004,32840493.0,AWk0NcHrRYGX6_YTFbU0,2019-02-28T13:05:52.442Z,2019-02-28T13:05:31.509Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-DK-84-WQ,2019-02-28T13:05:31.704Z,45000.0,-187741.0,64731.0,288799.0,-8673.0,-232741.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
32840493,2016-10-01,2017-09-30,c6,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2RmLzNhLzE2L2YzZWYtNDJmOS04MWNhLWU4YzlkNDQ4ZDVlNA.xhtml,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzL2YwL2EzLzUyL2VjL2RiMDQtNGNhZC05YWQxLWQyMjM3Zjc2N2Y4NQ.pdf,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzLzMxLzFlLzYwLzExL2FkZDQtNGNlNy1hMDYxLTI0Yjk1NGE4OTg5ZQ.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Ringsted,4100.0,12.0,Kastrupvej,4100  Ringsted,Brogade 50,Til den daglige ledelse i ACK ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-11-07,2019-02-20,Registreret revisor,32840493.0,mne12086,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Cathrine Nissen-Juul Klee,Anne Cathrine Nissen-Juul Klee,Sydbank,ACK ApS,Revisorteamet.dk,Ringsted,2016-10-01,2017-09-30,0.0,2018-09-30,2017-10-01,false,false,2018-11-07,Ringsted,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26748719,indberetninger-20180424,2.5949402000000004,32840493.0,AWk0NcHrRYGX6_YTFbU0,2019-02-28T13:05:52.442Z,2019-02-28T13:05:31.509Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-DK-84-WQ,2019-02-28T13:05:31.704Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32840493,2016-10-01,2017-09-30,c8,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2RmLzNhLzE2L2YzZWYtNDJmOS04MWNhLWU4YzlkNDQ4ZDVlNA.xhtml,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzL2YwL2EzLzUyL2VjL2RiMDQtNGNhZC05YWQxLWQyMjM3Zjc2N2Y4NQ.pdf,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzLzMxLzFlLzYwLzExL2FkZDQtNGNlNy1hMDYxLTI0Yjk1NGE4OTg5ZQ.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Ringsted,4100.0,12.0,Kastrupvej,4100  Ringsted,Brogade 50,Til den daglige ledelse i ACK ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-11-07,2019-02-20,Registreret revisor,32840493.0,mne12086,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Cathrine Nissen-Juul Klee,Anne Cathrine Nissen-Juul Klee,Sydbank,ACK ApS,Revisorteamet.dk,Ringsted,2016-10-01,2017-09-30,-127000.0,2018-09-30,2017-10-01,false,false,2018-11-07,Ringsted,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26748719,indberetninger-20180424,2.5949402000000004,32840493.0,AWk0NcHrRYGX6_YTFbU0,2019-02-28T13:05:52.442Z,2019-02-28T13:05:31.509Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-DK-84-WQ,2019-02-28T13:05:31.704Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32840493,2017-09-30,2017-09-30,c14,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2RmLzNhLzE2L2YzZWYtNDJmOS04MWNhLWU4YzlkNDQ4ZDVlNA.xhtml,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzL2YwL2EzLzUyL2VjL2RiMDQtNGNhZC05YWQxLWQyMjM3Zjc2N2Y4NQ.pdf,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzLzMxLzFlLzYwLzExL2FkZDQtNGNlNy1hMDYxLTI0Yjk1NGE4OTg5ZQ.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Ringsted,4100.0,12.0,Kastrupvej,4100  Ringsted,Brogade 50,Til den daglige ledelse i ACK ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-11-07,2019-02-20,Registreret revisor,32840493.0,mne12086,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Cathrine Nissen-Juul Klee,Anne Cathrine Nissen-Juul Klee,Sydbank,ACK ApS,Revisorteamet.dk,Ringsted,2016-10-01,2017-09-30,,2018-09-30,2017-10-01,false,false,2018-11-07,Ringsted,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26748719,indberetninger-20180424,2.5949402000000004,32840493.0,AWk0NcHrRYGX6_YTFbU0,2019-02-28T13:05:52.442Z,2019-02-28T13:05:31.509Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-DK-84-WQ,2019-02-28T13:05:31.704Z,,,,,,,,7111384.0,41277.0,125000.0,6645551.0,5950706.0,465833.0,7111384.0,65002.0,0.0,0.0,465833.0,5172218.0,2.0,57250.0,465833.0,0.0,1095676.0,1095676.0,5825706.0,5172218.0,65002.0,1432056.0,1374806.0,65000.0,,
32840493,2017-10-01,2018-09-30,c0,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2RmLzNhLzE2L2YzZWYtNDJmOS04MWNhLWU4YzlkNDQ4ZDVlNA.xhtml,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzL2YwL2EzLzUyL2VjL2RiMDQtNGNhZC05YWQxLWQyMjM3Zjc2N2Y4NQ.pdf,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzLzMxLzFlLzYwLzExL2FkZDQtNGNlNy1hMDYxLTI0Yjk1NGE4OTg5ZQ.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Ringsted,4100.0,12.0,Kastrupvej,4100  Ringsted,Brogade 50,Til den daglige ledelse i ACK ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-11-07,2019-02-20,Registreret revisor,32840493.0,mne12086,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Cathrine Nissen-Juul Klee,Anne Cathrine Nissen-Juul Klee,Sydbank,ACK ApS,Revisorteamet.dk,Ringsted,2016-10-01,2017-09-30,-291905.0,2018-09-30,2017-10-01,false,false,2018-11-07,Ringsted,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26748719,indberetninger-20180424,2.5949402000000004,32840493.0,AWk0NcHrRYGX6_YTFbU0,2019-02-28T13:05:52.442Z,2019-02-28T13:05:31.509Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-DK-84-WQ,2019-02-28T13:05:31.704Z,85000.0,-415307.0,5281.0,213683.0,-291905.0,-500307.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
32840493,2017-10-01,2018-09-30,c1,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2RmLzNhLzE2L2YzZWYtNDJmOS04MWNhLWU4YzlkNDQ4ZDVlNA.xhtml,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzL2YwL2EzLzUyL2VjL2RiMDQtNGNhZC05YWQxLWQyMjM3Zjc2N2Y4NQ.pdf,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzLzMxLzFlLzYwLzExL2FkZDQtNGNlNy1hMDYxLTI0Yjk1NGE4OTg5ZQ.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Ringsted,4100.0,12.0,Kastrupvej,4100  Ringsted,Brogade 50,Til den daglige ledelse i ACK ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-11-07,2019-02-20,Registreret revisor,32840493.0,mne12086,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Cathrine Nissen-Juul Klee,Anne Cathrine Nissen-Juul Klee,Sydbank,ACK ApS,Revisorteamet.dk,Ringsted,2016-10-01,2017-09-30,,2018-09-30,2017-10-01,false,false,2018-11-07,Ringsted,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26748719,indberetninger-20180424,2.5949402000000004,32840493.0,AWk0NcHrRYGX6_YTFbU0,2019-02-28T13:05:52.442Z,2019-02-28T13:05:31.509Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-DK-84-WQ,2019-02-28T13:05:31.704Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31634466.0,REVISORTEAMET.DK ApS
32840493,2017-10-01,2018-09-30,c11,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2RmLzNhLzE2L2YzZWYtNDJmOS04MWNhLWU4YzlkNDQ4ZDVlNA.xhtml,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzL2YwL2EzLzUyL2VjL2RiMDQtNGNhZC05YWQxLWQyMjM3Zjc2N2Y4NQ.pdf,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzLzMxLzFlLzYwLzExL2FkZDQtNGNlNy1hMDYxLTI0Yjk1NGE4OTg5ZQ.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Ringsted,4100.0,12.0,Kastrupvej,4100  Ringsted,Brogade 50,Til den daglige ledelse i ACK ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-11-07,2019-02-20,Registreret revisor,32840493.0,mne12086,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Cathrine Nissen-Juul Klee,Anne Cathrine Nissen-Juul Klee,Sydbank,ACK ApS,Revisorteamet.dk,Ringsted,2016-10-01,2017-09-30,-397705.0,2018-09-30,2017-10-01,false,false,2018-11-07,Ringsted,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26748719,indberetninger-20180424,2.5949402000000004,32840493.0,AWk0NcHrRYGX6_YTFbU0,2019-02-28T13:05:52.442Z,2019-02-28T13:05:31.509Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-DK-84-WQ,2019-02-28T13:05:31.704Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32840493,2017-10-01,2018-09-30,c2,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2RmLzNhLzE2L2YzZWYtNDJmOS04MWNhLWU4YzlkNDQ4ZDVlNA.xhtml,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzL2YwL2EzLzUyL2VjL2RiMDQtNGNhZC05YWQxLWQyMjM3Zjc2N2Y4NQ.pdf,http://regnskaber.virk.dk/39404823/ZG9rdW1lbnRsYWdlcjovLzAzLzMxLzFlLzYwLzExL2FkZDQtNGNlNy1hMDYxLTI0Yjk1NGE4OTg5ZQ.xml,true,Danmark,DK,Ringsted,4100.0,50.0,Brogade,Ringsted,4100.0,12.0,Kastrupvej,4100  Ringsted,Brogade 50,Til den daglige ledelse i ACK ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-11-07,2019-02-20,Registreret revisor,32840493.0,mne12086,1014670609.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Hermanns,Anne Cathrine Nissen-Juul Klee,Anne Cathrine Nissen-Juul Klee,Sydbank,ACK ApS,Revisorteamet.dk,Ringsted,2016-10-01,2017-09-30,,2018-09-30,2017-10-01,false,false,2018-11-07,Ringsted,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26748719,indberetninger-20180424,2.5949402000000004,32840493.0,AWk0NcHrRYGX6_YTFbU0,2019-02-28T13:05:52.442Z,2019-02-28T13:05:31.509Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-DK-84-WQ,2019-02-28T13:05:31.704Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
