entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AdjustmentsForCurrentTaxOfPriorPeriod,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DepreciationOfPropertyPlantAndEquipment,DescriptionOfAuditor,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,InterestExpenseAssignedToGroupEnterprises,InterestIncomeFromGroupEnterprises,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherLongtermPayables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,NameOfAuditFirm,TypeOfAuditorAssistance
28708858,2017-01-01,2017-12-31,c174,,http://regnskaber.virk.dk/85880782/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzljL2MwL2VlLzI3YTQtNDU1MS1iYmRjLWE3NDQ5YzRlMDJjMw.pdf,http://regnskaber.virk.dk/85880782/ZG9rdW1lbnRsYWdlcjovLzAzLzkzL2U1L2VjLzE1LzVhNDQtNDE4Yi04OWVmLWJiNmQzOWMwY2Y3NQ.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Skanderborg,8660.0,119.0,Adelgade,8300 Odder,Ballevej 14,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejeren i MPK Ejendomme af 2005 ApS,-9508.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",204513.0,2019-02-08,2005-05-13,2019-02-25,437549.0,437549.0,Statsautoriseret revisor,1417495.0,20222670.0,28708858.0,20222670.0,mne24680,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for MPK Ejendomme af 2005 ApS.,Ãrsrapport,1406.0,32925.0,3545000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Peter Nellemann Rasmussen,Peter Nellemann Rasmussen,Sparekassen Kronjylland,MPK Ejendomme af 2005 ApS,BDO Statsautoriseret revisionsaktieselskab,128807.0,32925.0,127401.0,Odder,2017-01-01,2017-12-31,689059.0,884064.0,979946.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odder,2018-12-31,2018-01-01,true,2019-02-08,Aarhus,195005.0,urn:ofk:oid:26737092,indberetninger-20180424,2.5118417999999996,28708858.0,AWkt6r-ZRYGX6_YTFYaM,2019-02-27T07:46:27.449Z,2019-02-27T07:45:52.263Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AN-77-SE,2019-02-27T07:45:52.406Z,,,,,,,,,,,,,,,,,,,,,,,,,,
28708858,2017-01-01,2017-12-31,c195,,http://regnskaber.virk.dk/85880782/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzljL2MwL2VlLzI3YTQtNDU1MS1iYmRjLWE3NDQ5YzRlMDJjMw.pdf,http://regnskaber.virk.dk/85880782/ZG9rdW1lbnRsYWdlcjovLzAzLzkzL2U1L2VjLzE1LzVhNDQtNDE4Yi04OWVmLWJiNmQzOWMwY2Y3NQ.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Skanderborg,8660.0,119.0,Adelgade,8300 Odder,Ballevej 14,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejeren i MPK Ejendomme af 2005 ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-02-08,2005-05-13,2019-02-25,,437549.0,Statsautoriseret revisor,,20222670.0,28708858.0,20222670.0,mne24680,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for MPK Ejendomme af 2005 ApS.,Ãrsrapport,,,3545000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Peter Nellemann Rasmussen,Peter Nellemann Rasmussen,Sparekassen Kronjylland,MPK Ejendomme af 2005 ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Odder,2017-01-01,2017-12-31,689059.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odder,2018-12-31,2018-01-01,true,2019-02-08,Aarhus,,urn:ofk:oid:26737092,indberetninger-20180424,2.5118417999999996,28708858.0,AWkt6r-ZRYGX6_YTFYaM,2019-02-27T07:46:27.449Z,2019-02-27T07:45:52.263Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AN-77-SE,2019-02-27T07:45:52.406Z,,,,,,,,,,,,,,,,,,,,,,,,,,
28708858,2017-12-31,2017-12-31,c172,,http://regnskaber.virk.dk/85880782/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzljL2MwL2VlLzI3YTQtNDU1MS1iYmRjLWE3NDQ5YzRlMDJjMw.pdf,http://regnskaber.virk.dk/85880782/ZG9rdW1lbnRsYWdlcjovLzAzLzkzL2U1L2VjLzE1LzVhNDQtNDE4Yi04OWVmLWJiNmQzOWMwY2Y3NQ.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Skanderborg,8660.0,119.0,Adelgade,8300 Odder,Ballevej 14,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejeren i MPK Ejendomme af 2005 ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-02-08,2005-05-13,2019-02-25,,437549.0,Statsautoriseret revisor,,20222670.0,28708858.0,20222670.0,mne24680,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for MPK Ejendomme af 2005 ApS.,Ãrsrapport,,,3545000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Peter Nellemann Rasmussen,Peter Nellemann Rasmussen,Sparekassen Kronjylland,MPK Ejendomme af 2005 ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Odder,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odder,2018-12-31,2018-01-01,true,2019-02-08,Aarhus,,urn:ofk:oid:26737092,indberetninger-20180424,2.5118417999999996,28708858.0,AWkt6r-ZRYGX6_YTFYaM,2019-02-27T07:46:27.449Z,2019-02-27T07:45:52.263Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AN-77-SE,2019-02-27T07:45:52.406Z,8802132.0,721964.0,250000.0,2523758.0,6326018.0,8802132.0,5473720.0,4632997.0,4357997.0,6326018.0,275000.0,6326018.0,804654.0,804654.0,2273758.0,840723.0,218000.0,87990.0,1754150.0,1754150.0,204513.0,12000.0,,,,
28708858,2018-01-01,2018-01-01,c226,,http://regnskaber.virk.dk/85880782/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzljL2MwL2VlLzI3YTQtNDU1MS1iYmRjLWE3NDQ5YzRlMDJjMw.pdf,http://regnskaber.virk.dk/85880782/ZG9rdW1lbnRsYWdlcjovLzAzLzkzL2U1L2VjLzE1LzVhNDQtNDE4Yi04OWVmLWJiNmQzOWMwY2Y3NQ.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Skanderborg,8660.0,119.0,Adelgade,8300 Odder,Ballevej 14,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejeren i MPK Ejendomme af 2005 ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-02-08,2005-05-13,2019-02-25,,437549.0,Statsautoriseret revisor,,20222670.0,28708858.0,20222670.0,mne24680,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for MPK Ejendomme af 2005 ApS.,Ãrsrapport,,,3545000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Peter Nellemann Rasmussen,Peter Nellemann Rasmussen,Sparekassen Kronjylland,MPK Ejendomme af 2005 ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Odder,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odder,2018-12-31,2018-01-01,true,2019-02-08,Aarhus,,urn:ofk:oid:26737092,indberetninger-20180424,2.5118417999999996,28708858.0,AWkt6r-ZRYGX6_YTFYaM,2019-02-27T07:46:27.449Z,2019-02-27T07:45:52.263Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AN-77-SE,2019-02-27T07:45:52.406Z,,,,250000.0,,,,,,,,,,,,,,,,,,,,,,
28708858,2018-01-01,2018-01-01,c253,,http://regnskaber.virk.dk/85880782/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzljL2MwL2VlLzI3YTQtNDU1MS1iYmRjLWE3NDQ5YzRlMDJjMw.pdf,http://regnskaber.virk.dk/85880782/ZG9rdW1lbnRsYWdlcjovLzAzLzkzL2U1L2VjLzE1LzVhNDQtNDE4Yi04OWVmLWJiNmQzOWMwY2Y3NQ.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Skanderborg,8660.0,119.0,Adelgade,8300 Odder,Ballevej 14,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejeren i MPK Ejendomme af 2005 ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-02-08,2005-05-13,2019-02-25,,437549.0,Statsautoriseret revisor,,20222670.0,28708858.0,20222670.0,mne24680,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for MPK Ejendomme af 2005 ApS.,Ãrsrapport,,,3545000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Peter Nellemann Rasmussen,Peter Nellemann Rasmussen,Sparekassen Kronjylland,MPK Ejendomme af 2005 ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Odder,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odder,2018-12-31,2018-01-01,true,2019-02-08,Aarhus,,urn:ofk:oid:26737092,indberetninger-20180424,2.5118417999999996,28708858.0,AWkt6r-ZRYGX6_YTFYaM,2019-02-27T07:46:27.449Z,2019-02-27T07:45:52.263Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AN-77-SE,2019-02-27T07:45:52.406Z,,,,2273758.0,,,,,,,,,,,,,,,,,,,,,,
28708858,2018-01-01,2018-01-01,c444,,http://regnskaber.virk.dk/85880782/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzljL2MwL2VlLzI3YTQtNDU1MS1iYmRjLWE3NDQ5YzRlMDJjMw.pdf,http://regnskaber.virk.dk/85880782/ZG9rdW1lbnRsYWdlcjovLzAzLzkzL2U1L2VjLzE1LzVhNDQtNDE4Yi04OWVmLWJiNmQzOWMwY2Y3NQ.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Skanderborg,8660.0,119.0,Adelgade,8300 Odder,Ballevej 14,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejeren i MPK Ejendomme af 2005 ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-02-08,2005-05-13,2019-02-25,,437549.0,Statsautoriseret revisor,,20222670.0,28708858.0,20222670.0,mne24680,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for MPK Ejendomme af 2005 ApS.,Ãrsrapport,,,3545000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Peter Nellemann Rasmussen,Peter Nellemann Rasmussen,Sparekassen Kronjylland,MPK Ejendomme af 2005 ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Odder,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odder,2018-12-31,2018-01-01,true,2019-02-08,Aarhus,,urn:ofk:oid:26737092,indberetninger-20180424,2.5118417999999996,28708858.0,AWkt6r-ZRYGX6_YTFYaM,2019-02-27T07:46:27.449Z,2019-02-27T07:45:52.263Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AN-77-SE,2019-02-27T07:45:52.406Z,,,,,,,,,,,,,,,,,,,,,,,9162779.0,15488797.0,,
28708858,2018-01-01,2018-12-31,c173,,http://regnskaber.virk.dk/85880782/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzljL2MwL2VlLzI3YTQtNDU1MS1iYmRjLWE3NDQ5YzRlMDJjMw.pdf,http://regnskaber.virk.dk/85880782/ZG9rdW1lbnRsYWdlcjovLzAzLzkzL2U1L2VjLzE1LzVhNDQtNDE4Yi04OWVmLWJiNmQzOWMwY2Y3NQ.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Skanderborg,8660.0,119.0,Adelgade,8300 Odder,Ballevej 14,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejeren i MPK Ejendomme af 2005 ApS,-40905.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",255119.0,2019-02-08,2005-05-13,2019-02-25,437549.0,437549.0,Statsautoriseret revisor,1479699.0,20222670.0,28708858.0,20222670.0,mne24680,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for MPK Ejendomme af 2005 ApS.,Ãrsrapport,0.0,47626.0,3545000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Peter Nellemann Rasmussen,Peter Nellemann Rasmussen,Sparekassen Kronjylland,MPK Ejendomme af 2005 ApS,BDO Statsautoriseret revisionsaktieselskab,120860.0,47626.0,120860.0,Odder,2017-01-01,2017-12-31,754702.0,968916.0,1042150.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odder,2018-12-31,2018-01-01,true,2019-02-08,Aarhus,214214.0,urn:ofk:oid:26737092,indberetninger-20180424,2.5118417999999996,28708858.0,AWkt6r-ZRYGX6_YTFYaM,2019-02-27T07:46:27.449Z,2019-02-27T07:45:52.263Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AN-77-SE,2019-02-27T07:45:52.406Z,,,,,,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,RevisionspÃ¥tegning
28708858,2018-01-01,2018-12-31,c194,,http://regnskaber.virk.dk/85880782/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzljL2MwL2VlLzI3YTQtNDU1MS1iYmRjLWE3NDQ5YzRlMDJjMw.pdf,http://regnskaber.virk.dk/85880782/ZG9rdW1lbnRsYWdlcjovLzAzLzkzL2U1L2VjLzE1LzVhNDQtNDE4Yi04OWVmLWJiNmQzOWMwY2Y3NQ.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Skanderborg,8660.0,119.0,Adelgade,8300 Odder,Ballevej 14,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejeren i MPK Ejendomme af 2005 ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-02-08,2005-05-13,2019-02-25,,437549.0,Statsautoriseret revisor,,20222670.0,28708858.0,20222670.0,mne24680,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for MPK Ejendomme af 2005 ApS.,Ãrsrapport,,,3545000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Peter Nellemann Rasmussen,Peter Nellemann Rasmussen,Sparekassen Kronjylland,MPK Ejendomme af 2005 ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Odder,2017-01-01,2017-12-31,754702.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odder,2018-12-31,2018-01-01,true,2019-02-08,Aarhus,,urn:ofk:oid:26737092,indberetninger-20180424,2.5118417999999996,28708858.0,AWkt6r-ZRYGX6_YTFYaM,2019-02-27T07:46:27.449Z,2019-02-27T07:45:52.263Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AN-77-SE,2019-02-27T07:45:52.406Z,,,,,,,,,,,,,,,,,,,,,,,,,,
28708858,2018-01-01,2018-12-31,c254,,http://regnskaber.virk.dk/85880782/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzljL2MwL2VlLzI3YTQtNDU1MS1iYmRjLWE3NDQ5YzRlMDJjMw.pdf,http://regnskaber.virk.dk/85880782/ZG9rdW1lbnRsYWdlcjovLzAzLzkzL2U1L2VjLzE1LzVhNDQtNDE4Yi04OWVmLWJiNmQzOWMwY2Y3NQ.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Skanderborg,8660.0,119.0,Adelgade,8300 Odder,Ballevej 14,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejeren i MPK Ejendomme af 2005 ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-02-08,2005-05-13,2019-02-25,,437549.0,Statsautoriseret revisor,,20222670.0,28708858.0,20222670.0,mne24680,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for MPK Ejendomme af 2005 ApS.,Ãrsrapport,,,3545000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Peter Nellemann Rasmussen,Peter Nellemann Rasmussen,Sparekassen Kronjylland,MPK Ejendomme af 2005 ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Odder,2017-01-01,2017-12-31,754702.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odder,2018-12-31,2018-01-01,true,2019-02-08,Aarhus,,urn:ofk:oid:26737092,indberetninger-20180424,2.5118417999999996,28708858.0,AWkt6r-ZRYGX6_YTFYaM,2019-02-27T07:46:27.449Z,2019-02-27T07:45:52.263Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AN-77-SE,2019-02-27T07:45:52.406Z,,,,,,,,,,,,,,,,,,,,,,,,,,
28708858,2018-01-01,2018-12-31,c305,,http://regnskaber.virk.dk/85880782/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzljL2MwL2VlLzI3YTQtNDU1MS1iYmRjLWE3NDQ5YzRlMDJjMw.pdf,http://regnskaber.virk.dk/85880782/ZG9rdW1lbnRsYWdlcjovLzAzLzkzL2U1L2VjLzE1LzVhNDQtNDE4Yi04OWVmLWJiNmQzOWMwY2Y3NQ.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Skanderborg,8660.0,119.0,Adelgade,8300 Odder,Ballevej 14,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejeren i MPK Ejendomme af 2005 ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-02-08,2005-05-13,2019-02-25,,437549.0,Statsautoriseret revisor,,20222670.0,28708858.0,20222670.0,mne24680,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for MPK Ejendomme af 2005 ApS.,Ãrsrapport,,,3545000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Peter Nellemann Rasmussen,Peter Nellemann Rasmussen,Sparekassen Kronjylland,MPK Ejendomme af 2005 ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Odder,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odder,2018-12-31,2018-01-01,true,2019-02-08,Aarhus,,urn:ofk:oid:26737092,indberetninger-20180424,2.5118417999999996,28708858.0,AWkt6r-ZRYGX6_YTFYaM,2019-02-27T07:46:27.449Z,2019-02-27T07:45:52.263Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AN-77-SE,2019-02-27T07:45:52.406Z,,,,,,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,
