entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdministrativeExpenses,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DistributionCosts,FaxNumberOfReportingEntity,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,TaxExpense,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,NoncurrentDeferredTaxAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfSupervisoryBoard
21860506,2013-01-01,2013-12-31,c5,http://regnskaber.virk.dk/60506812/Y3ZyLmRrOi8vcGRmcy8yMTg2MDUwNjtBL1MyNTg0NjI7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/60506812/Y3ZyLmRrOi8veGJybHMvWC05OTc4NzNGMy0yMDE1MDEyMF8xMTQ5MTVfNDg3.xml,Herlev,2730.0,1A,HÃ¸rkÃ¦r,2000 Frederiksberg,Blytsvej 8,235238.0,Regnskabsklasse B,2015-01-07,2015-01-20,65811.0,70203047.0,1218295.0,21860506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Vollandt,Henrik Vollandt,Jyske Bank,DVU STATSAUTORISERET              REVISIONSAKTIESELSKAB,Henrik Volland,618.0,Herlev,2013-01-01,2013-12-31,679092.0,917864.0,917246.0,2014-12-31,2014-01-01,238772.0,70203028.0,Ingen bistand,urn:ofk:oid:20511681,indberetninger-20180424,2.5124211,21860506,,2018-03-30T08:54:33.124Z,2015-01-20T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-24.614,2015-01-20T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
21860506,2013-01-01,2013-12-31,c7,http://regnskaber.virk.dk/60506812/Y3ZyLmRrOi8vcGRmcy8yMTg2MDUwNjtBL1MyNTg0NjI7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/60506812/Y3ZyLmRrOi8veGJybHMvWC05OTc4NzNGMy0yMDE1MDEyMF8xMTQ5MTVfNDg3.xml,Herlev,2730.0,1A,HÃ¸rkÃ¦r,2000 Frederiksberg,Blytsvej 8,,Regnskabsklasse B,2015-01-07,2015-01-20,,70203047.0,,21860506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Vollandt,Henrik Vollandt,Jyske Bank,DVU STATSAUTORISERET              REVISIONSAKTIESELSKAB,Henrik Volland,,Herlev,2013-01-01,2013-12-31,670000.0,,,2014-12-31,2014-01-01,,70203028.0,Ingen bistand,urn:ofk:oid:20511681,indberetninger-20180424,2.5124211,21860506,,2018-03-30T08:54:33.124Z,2015-01-20T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-24.614,2015-01-20T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
21860506,2013-01-01,2013-12-31,c9,http://regnskaber.virk.dk/60506812/Y3ZyLmRrOi8vcGRmcy8yMTg2MDUwNjtBL1MyNTg0NjI7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/60506812/Y3ZyLmRrOi8veGJybHMvWC05OTc4NzNGMy0yMDE1MDEyMF8xMTQ5MTVfNDg3.xml,Herlev,2730.0,1A,HÃ¸rkÃ¦r,2000 Frederiksberg,Blytsvej 8,,Regnskabsklasse B,2015-01-07,2015-01-20,,70203047.0,,21860506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Vollandt,Henrik Vollandt,Jyske Bank,DVU STATSAUTORISERET              REVISIONSAKTIESELSKAB,Henrik Volland,,Herlev,2013-01-01,2013-12-31,9092.0,,,2014-12-31,2014-01-01,,70203028.0,Ingen bistand,urn:ofk:oid:20511681,indberetninger-20180424,2.5124211,21860506,,2018-03-30T08:54:33.124Z,2015-01-20T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-24.614,2015-01-20T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
21860506,2013-12-31,2013-12-31,c11,http://regnskaber.virk.dk/60506812/Y3ZyLmRrOi8vcGRmcy8yMTg2MDUwNjtBL1MyNTg0NjI7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/60506812/Y3ZyLmRrOi8veGJybHMvWC05OTc4NzNGMy0yMDE1MDEyMF8xMTQ5MTVfNDg3.xml,Herlev,2730.0,1A,HÃ¸rkÃ¦r,2000 Frederiksberg,Blytsvej 8,,Regnskabsklasse B,2015-01-07,2015-01-20,,70203047.0,,21860506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Vollandt,Henrik Vollandt,Jyske Bank,DVU STATSAUTORISERET              REVISIONSAKTIESELSKAB,Henrik Volland,,Herlev,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,,70203028.0,Ingen bistand,urn:ofk:oid:20511681,indberetninger-20180424,2.5124211,21860506,,2018-03-30T08:54:33.124Z,2015-01-20T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-24.614,2015-01-20T23:00:00.000Z,1527906.0,551362.0,500000.0,1498112.0,1200025.0,23334.0,1527906.0,327881.0,6460.0,29794.0,6460.0,228131.0,17625.0,23334.0,670000.0,30025.0,327881.0,946750.0,900000.0,98000.0,1750.0,29125.0,
21860506,2014-01-01,2014-12-31,c0,http://regnskaber.virk.dk/60506812/Y3ZyLmRrOi8vcGRmcy8yMTg2MDUwNjtBL1MyNTg0NjI7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/60506812/Y3ZyLmRrOi8veGJybHMvWC05OTc4NzNGMy0yMDE1MDEyMF8xMTQ5MTVfNDg3.xml,Herlev,2730.0,1A,HÃ¸rkÃ¦r,2000 Frederiksberg,Blytsvej 8,221566.0,Regnskabsklasse B,2015-01-07,2015-01-20,56390.0,70203047.0,1205791.0,21860506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Vollandt,Henrik Vollandt,Jyske Bank,DVU STATSAUTORISERET              REVISIONSAKTIESELSKAB,Henrik Volland,0.0,Herlev,2013-01-01,2013-12-31,698332.0,927835.0,927835.0,2014-12-31,2014-01-01,229503.0,70203028.0,Ingen bistand,urn:ofk:oid:20511681,indberetninger-20180424,2.5124211,21860506,,2018-03-30T08:54:33.124Z,2015-01-20T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-24.614,2015-01-20T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
21860506,2014-01-01,2014-12-31,c1,http://regnskaber.virk.dk/60506812/Y3ZyLmRrOi8vcGRmcy8yMTg2MDUwNjtBL1MyNTg0NjI7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/60506812/Y3ZyLmRrOi8veGJybHMvWC05OTc4NzNGMy0yMDE1MDEyMF8xMTQ5MTVfNDg3.xml,Herlev,2730.0,1A,HÃ¸rkÃ¦r,2000 Frederiksberg,Blytsvej 8,,Regnskabsklasse B,2015-01-07,2015-01-20,,70203047.0,,21860506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Vollandt,Henrik Vollandt,Jyske Bank,DVU STATSAUTORISERET              REVISIONSAKTIESELSKAB,Henrik Volland,,Herlev,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,,70203028.0,Ingen bistand,urn:ofk:oid:20511681,indberetninger-20180424,2.5124211,21860506,,2018-03-30T08:54:33.124Z,2015-01-20T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-24.614,2015-01-20T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
21860506,2014-01-01,2014-12-31,c2,http://regnskaber.virk.dk/60506812/Y3ZyLmRrOi8vcGRmcy8yMTg2MDUwNjtBL1MyNTg0NjI7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/60506812/Y3ZyLmRrOi8veGJybHMvWC05OTc4NzNGMy0yMDE1MDEyMF8xMTQ5MTVfNDg3.xml,Herlev,2730.0,1A,HÃ¸rkÃ¦r,2000 Frederiksberg,Blytsvej 8,,Regnskabsklasse B,2015-01-07,2015-01-20,,70203047.0,,21860506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Vollandt,Henrik Vollandt,Jyske Bank,DVU STATSAUTORISERET              REVISIONSAKTIESELSKAB,Henrik Volland,,Herlev,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,,70203028.0,Ingen bistand,urn:ofk:oid:20511681,indberetninger-20180424,2.5124211,21860506,,2018-03-30T08:54:33.124Z,2015-01-20T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-24.614,2015-01-20T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,Sanne Frederiksen
21860506,2014-01-01,2014-12-31,c3,http://regnskaber.virk.dk/60506812/Y3ZyLmRrOi8vcGRmcy8yMTg2MDUwNjtBL1MyNTg0NjI7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/60506812/Y3ZyLmRrOi8veGJybHMvWC05OTc4NzNGMy0yMDE1MDEyMF8xMTQ5MTVfNDg3.xml,Herlev,2730.0,1A,HÃ¸rkÃ¦r,2000 Frederiksberg,Blytsvej 8,,Regnskabsklasse B,2015-01-07,2015-01-20,,70203047.0,,21860506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Vollandt,Henrik Vollandt,Jyske Bank,DVU STATSAUTORISERET              REVISIONSAKTIESELSKAB,Henrik Volland,,Herlev,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,,70203028.0,Ingen bistand,urn:ofk:oid:20511681,indberetninger-20180424,2.5124211,21860506,,2018-03-30T08:54:33.124Z,2015-01-20T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-24.614,2015-01-20T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,Henrik Vollandt
21860506,2014-01-01,2014-12-31,c4,http://regnskaber.virk.dk/60506812/Y3ZyLmRrOi8vcGRmcy8yMTg2MDUwNjtBL1MyNTg0NjI7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/60506812/Y3ZyLmRrOi8veGJybHMvWC05OTc4NzNGMy0yMDE1MDEyMF8xMTQ5MTVfNDg3.xml,Herlev,2730.0,1A,HÃ¸rkÃ¦r,2000 Frederiksberg,Blytsvej 8,,Regnskabsklasse B,2015-01-07,2015-01-20,,70203047.0,,21860506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Vollandt,Henrik Vollandt,Jyske Bank,DVU STATSAUTORISERET              REVISIONSAKTIESELSKAB,Henrik Volland,,Herlev,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,,70203028.0,Ingen bistand,urn:ofk:oid:20511681,indberetninger-20180424,2.5124211,21860506,,2018-03-30T08:54:33.124Z,2015-01-20T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-24.614,2015-01-20T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,Bruno Sten Rosenkrans Jensen
21860506,2014-01-01,2014-12-31,c6,http://regnskaber.virk.dk/60506812/Y3ZyLmRrOi8vcGRmcy8yMTg2MDUwNjtBL1MyNTg0NjI7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/60506812/Y3ZyLmRrOi8veGJybHMvWC05OTc4NzNGMy0yMDE1MDEyMF8xMTQ5MTVfNDg3.xml,Herlev,2730.0,1A,HÃ¸rkÃ¦r,2000 Frederiksberg,Blytsvej 8,,Regnskabsklasse B,2015-01-07,2015-01-20,,70203047.0,,21860506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Vollandt,Henrik Vollandt,Jyske Bank,DVU STATSAUTORISERET              REVISIONSAKTIESELSKAB,Henrik Volland,,Herlev,2013-01-01,2013-12-31,690000.0,,,2014-12-31,2014-01-01,,70203028.0,Ingen bistand,urn:ofk:oid:20511681,indberetninger-20180424,2.5124211,21860506,,2018-03-30T08:54:33.124Z,2015-01-20T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-24.614,2015-01-20T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
