entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdministrativeExpenses,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DistributionCosts,FaxNumberOfReportingEntity,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,DividendPaid,NameAndSurnameOfMemberOfSupervisoryBoard
21860506,2016-01-01,2016-12-31,c5,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2M0LzAwLzNhL2Q5ZjktNGUxNi1iMTY5LTM4ZmU4ODQ3MDBkMw.xhtml,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjL2U3L2YwL2Q4LzY0NzAtNDliNy04NTkwLWMzYTIzN2U1ZmY5ZQ.pdf,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzRmLzQ5LzAyLzQ5MWEtNDk5OC1iMzBiLWVkOTMzZGE0YzQ0Mg.xml,true,Herlev,2730.0,"1, 3",LyskÃ¦r,2000.0,"Blytsvej 8, st. tv.",260704.0,Regnskabsklasse B,2018-01-04,2018-02-12,29232.0,70203047.0,1561323.0,21860506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Volland,Henrik Vollandt,Nykredit,DVU STATSAUTORISERET REVISIONSAKTIESELSKAB,Henrik Volland,Herlev,2016-01-01,2016-12-31,990183.0,1271387.0,1271387.0,2017-12-31,2017-01-01,false,false,281204.0,70203028.0,false,false,Ingen bistand,urn:ofk:oid:25048471,indberetninger-20180424,2.595548,21860506.0,,2018-04-03T20:11:04.779Z,2018-02-12T11:04:04.889Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AA-21-FV,2018-02-12T11:04:05.156Z,,,,,,,,,,,,,,,,,,,,,,,,,
21860506,2016-01-01,2016-12-31,c7,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2M0LzAwLzNhL2Q5ZjktNGUxNi1iMTY5LTM4ZmU4ODQ3MDBkMw.xhtml,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjL2U3L2YwL2Q4LzY0NzAtNDliNy04NTkwLWMzYTIzN2U1ZmY5ZQ.pdf,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzRmLzQ5LzAyLzQ5MWEtNDk5OC1iMzBiLWVkOTMzZGE0YzQ0Mg.xml,true,Herlev,2730.0,"1, 3",LyskÃ¦r,2000.0,"Blytsvej 8, st. tv.",,Regnskabsklasse B,2018-01-04,2018-02-12,,70203047.0,,21860506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Volland,Henrik Vollandt,Nykredit,DVU STATSAUTORISERET REVISIONSAKTIESELSKAB,Henrik Volland,Herlev,2016-01-01,2016-12-31,1000000.0,,,2017-12-31,2017-01-01,false,false,,70203028.0,false,false,Ingen bistand,urn:ofk:oid:25048471,indberetninger-20180424,2.595548,21860506.0,,2018-04-03T20:11:04.779Z,2018-02-12T11:04:04.889Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AA-21-FV,2018-02-12T11:04:05.156Z,,,,,,,,,,,,,,,,,,,,,,,,,
21860506,2016-01-01,2016-12-31,c9,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2M0LzAwLzNhL2Q5ZjktNGUxNi1iMTY5LTM4ZmU4ODQ3MDBkMw.xhtml,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjL2U3L2YwL2Q4LzY0NzAtNDliNy04NTkwLWMzYTIzN2U1ZmY5ZQ.pdf,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzRmLzQ5LzAyLzQ5MWEtNDk5OC1iMzBiLWVkOTMzZGE0YzQ0Mg.xml,true,Herlev,2730.0,"1, 3",LyskÃ¦r,2000.0,"Blytsvej 8, st. tv.",,Regnskabsklasse B,2018-01-04,2018-02-12,,70203047.0,,21860506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Volland,Henrik Vollandt,Nykredit,DVU STATSAUTORISERET REVISIONSAKTIESELSKAB,Henrik Volland,Herlev,2016-01-01,2016-12-31,-9817.0,,,2017-12-31,2017-01-01,false,false,,70203028.0,false,false,Ingen bistand,urn:ofk:oid:25048471,indberetninger-20180424,2.595548,21860506.0,,2018-04-03T20:11:04.779Z,2018-02-12T11:04:04.889Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AA-21-FV,2018-02-12T11:04:05.156Z,,,,,,,,,,,,,,,,,,,,,,,,,
21860506,2016-12-31,2016-12-31,c11,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2M0LzAwLzNhL2Q5ZjktNGUxNi1iMTY5LTM4ZmU4ODQ3MDBkMw.xhtml,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjL2U3L2YwL2Q4LzY0NzAtNDliNy04NTkwLWMzYTIzN2U1ZmY5ZQ.pdf,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzRmLzQ5LzAyLzQ5MWEtNDk5OC1iMzBiLWVkOTMzZGE0YzQ0Mg.xml,true,Herlev,2730.0,"1, 3",LyskÃ¦r,2000.0,"Blytsvej 8, st. tv.",,Regnskabsklasse B,2018-01-04,2018-02-12,,70203047.0,,21860506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Volland,Henrik Vollandt,Nykredit,DVU STATSAUTORISERET REVISIONSAKTIESELSKAB,Henrik Volland,Herlev,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,false,false,,70203028.0,false,false,Ingen bistand,urn:ofk:oid:25048471,indberetninger-20180424,2.595548,21860506.0,,2018-04-03T20:11:04.779Z,2018-02-12T11:04:04.889Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AA-21-FV,2018-02-12T11:04:05.156Z,1998634.0,516734.0,500000.0,1909234.0,1529476.0,89400.0,1998634.0,466305.0,89400.0,295430.0,17625.0,89400.0,1000000.0,2853.0,2853.0,29476.0,466305.0,1392500.0,1273000.0,165000.0,0.0,5875.0,101875.0,,
21860506,2017-01-01,2017-01-01,c12,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2M0LzAwLzNhL2Q5ZjktNGUxNi1iMTY5LTM4ZmU4ODQ3MDBkMw.xhtml,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjL2U3L2YwL2Q4LzY0NzAtNDliNy04NTkwLWMzYTIzN2U1ZmY5ZQ.pdf,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzRmLzQ5LzAyLzQ5MWEtNDk5OC1iMzBiLWVkOTMzZGE0YzQ0Mg.xml,true,Herlev,2730.0,"1, 3",LyskÃ¦r,2000.0,"Blytsvej 8, st. tv.",,Regnskabsklasse B,2018-01-04,2018-02-12,,70203047.0,,21860506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Volland,Henrik Vollandt,Nykredit,DVU STATSAUTORISERET REVISIONSAKTIESELSKAB,Henrik Volland,Herlev,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,false,false,,70203028.0,false,false,Ingen bistand,urn:ofk:oid:25048471,indberetninger-20180424,2.595548,21860506.0,,2018-04-03T20:11:04.779Z,2018-02-12T11:04:04.889Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AA-21-FV,2018-02-12T11:04:05.156Z,,,,,500000.0,,,,,,,,,,,,,,,,,,,,
21860506,2017-01-01,2017-01-01,c13,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2M0LzAwLzNhL2Q5ZjktNGUxNi1iMTY5LTM4ZmU4ODQ3MDBkMw.xhtml,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjL2U3L2YwL2Q4LzY0NzAtNDliNy04NTkwLWMzYTIzN2U1ZmY5ZQ.pdf,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzRmLzQ5LzAyLzQ5MWEtNDk5OC1iMzBiLWVkOTMzZGE0YzQ0Mg.xml,true,Herlev,2730.0,"1, 3",LyskÃ¦r,2000.0,"Blytsvej 8, st. tv.",,Regnskabsklasse B,2018-01-04,2018-02-12,,70203047.0,,21860506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Volland,Henrik Vollandt,Nykredit,DVU STATSAUTORISERET REVISIONSAKTIESELSKAB,Henrik Volland,Herlev,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,false,false,,70203028.0,false,false,Ingen bistand,urn:ofk:oid:25048471,indberetninger-20180424,2.595548,21860506.0,,2018-04-03T20:11:04.779Z,2018-02-12T11:04:04.889Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AA-21-FV,2018-02-12T11:04:05.156Z,,,,,29476.0,,,,,,,,,,,,,,,,,,,,
21860506,2017-01-01,2017-01-01,c14,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2M0LzAwLzNhL2Q5ZjktNGUxNi1iMTY5LTM4ZmU4ODQ3MDBkMw.xhtml,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjL2U3L2YwL2Q4LzY0NzAtNDliNy04NTkwLWMzYTIzN2U1ZmY5ZQ.pdf,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzRmLzQ5LzAyLzQ5MWEtNDk5OC1iMzBiLWVkOTMzZGE0YzQ0Mg.xml,true,Herlev,2730.0,"1, 3",LyskÃ¦r,2000.0,"Blytsvej 8, st. tv.",,Regnskabsklasse B,2018-01-04,2018-02-12,,70203047.0,,21860506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Volland,Henrik Vollandt,Nykredit,DVU STATSAUTORISERET REVISIONSAKTIESELSKAB,Henrik Volland,Herlev,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,false,false,,70203028.0,false,false,Ingen bistand,urn:ofk:oid:25048471,indberetninger-20180424,2.595548,21860506.0,,2018-04-03T20:11:04.779Z,2018-02-12T11:04:04.889Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AA-21-FV,2018-02-12T11:04:05.156Z,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,
21860506,2017-01-01,2017-01-01,c15,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2M0LzAwLzNhL2Q5ZjktNGUxNi1iMTY5LTM4ZmU4ODQ3MDBkMw.xhtml,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjL2U3L2YwL2Q4LzY0NzAtNDliNy04NTkwLWMzYTIzN2U1ZmY5ZQ.pdf,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzRmLzQ5LzAyLzQ5MWEtNDk5OC1iMzBiLWVkOTMzZGE0YzQ0Mg.xml,true,Herlev,2730.0,"1, 3",LyskÃ¦r,2000.0,"Blytsvej 8, st. tv.",,Regnskabsklasse B,2018-01-04,2018-02-12,,70203047.0,,21860506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Volland,Henrik Vollandt,Nykredit,DVU STATSAUTORISERET REVISIONSAKTIESELSKAB,Henrik Volland,Herlev,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,false,false,,70203028.0,false,false,Ingen bistand,urn:ofk:oid:25048471,indberetninger-20180424,2.595548,21860506.0,,2018-04-03T20:11:04.779Z,2018-02-12T11:04:04.889Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AA-21-FV,2018-02-12T11:04:05.156Z,,,,,1529476.0,,,,,,,,,,,,,,,,,,,,
21860506,2017-01-01,2017-12-31,c0,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2M0LzAwLzNhL2Q5ZjktNGUxNi1iMTY5LTM4ZmU4ODQ3MDBkMw.xhtml,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjL2U3L2YwL2Q4LzY0NzAtNDliNy04NTkwLWMzYTIzN2U1ZmY5ZQ.pdf,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzRmLzQ5LzAyLzQ5MWEtNDk5OC1iMzBiLWVkOTMzZGE0YzQ0Mg.xml,true,Herlev,2730.0,"1, 3",LyskÃ¦r,2000.0,"Blytsvej 8, st. tv.",239939.0,Regnskabsklasse B,2018-01-04,2018-02-12,25423.0,70203047.0,1282209.0,21860506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Volland,Henrik Vollandt,Nykredit,DVU STATSAUTORISERET REVISIONSAKTIESELSKAB,Henrik Volland,Herlev,2016-01-01,2016-12-31,792630.0,1016847.0,1016847.0,2017-12-31,2017-01-01,false,false,224217.0,70203028.0,false,false,Ingen bistand,urn:ofk:oid:25048471,indberetninger-20180424,2.595548,21860506.0,,2018-04-03T20:11:04.779Z,2018-02-12T11:04:04.889Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AA-21-FV,2018-02-12T11:04:05.156Z,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,
21860506,2017-01-01,2017-12-31,c1,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2M0LzAwLzNhL2Q5ZjktNGUxNi1iMTY5LTM4ZmU4ODQ3MDBkMw.xhtml,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjL2U3L2YwL2Q4LzY0NzAtNDliNy04NTkwLWMzYTIzN2U1ZmY5ZQ.pdf,http://regnskaber.virk.dk/60506812/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzRmLzQ5LzAyLzQ5MWEtNDk5OC1iMzBiLWVkOTMzZGE0YzQ0Mg.xml,true,Herlev,2730.0,"1, 3",LyskÃ¦r,2000.0,"Blytsvej 8, st. tv.",,Regnskabsklasse B,2018-01-04,2018-02-12,,70203047.0,,21860506.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Volland,Henrik Vollandt,Nykredit,DVU STATSAUTORISERET REVISIONSAKTIESELSKAB,Henrik Volland,Herlev,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,false,false,,70203028.0,false,false,Ingen bistand,urn:ofk:oid:25048471,indberetninger-20180424,2.595548,21860506.0,,2018-04-03T20:11:04.779Z,2018-02-12T11:04:04.889Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AA-21-FV,2018-02-12T11:04:05.156Z,,,,,,,,,,,,,,,,,,,,,,,,,
