entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTradeReceivables,NameOfAuditFirm,NameAndSurnameOfMemberOfSupervisoryBoard
27768563,2013-07-01,2014-06-30,c6,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2JmLzhmL2UwLzM3NDQtNGQ4Zi1hODY2LTIwZTYxMDdjYzk1OA.xhtml,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzUzLzcyLzcyLzUxLzNmNmEtNGYyNy1hMzQyLTkwNzYxMmQyNGU4Mw.pdf,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzVlLzJjLzk0LzIyZTgtNGI0OC1hYzBiLTJiYjgxNzI5OTc4Zg.xml,Danmark,DK,NÃ¦stved,14.0,KÃ¸bmagergade,4700 NÃ¦stved,NÃ¦stved,4700.0,15.0,Marinebuen,4700 NÃ¦stved,KÃ¸bmagergade 14,Til den daglige ledelse i Nord Clean ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-11-30,2015-11-30,0.0,Registreret revisor FSR â danske revisorer,0.0,-9814.0,12322143.0,27768563.0,1004583596.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Per F. Petersen,Nene Lieberkind Morning,Aase Lieberkind,Diba,NORD CLEAN ApS,Plan Revision,0.0,0.0,NÃ¦stved,2013-07-01,2014-06-30,-9814.0,-9814.0,-9814.0,2015-06-30,2014-07-01,2015-11-30,NÃ¦stved,0.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21749511,indberetninger-20180424,2.5955513,27768563.0,,2018-03-30T19:45:43.649Z,2015-12-07T10:21:36.924Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AH-01-WK,2015-12-07T10:21:37.085Z,,,,,,,,,,,,,,,,,,,,,,
27768563,2013-07-01,2014-06-30,c8,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2JmLzhmL2UwLzM3NDQtNGQ4Zi1hODY2LTIwZTYxMDdjYzk1OA.xhtml,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzUzLzcyLzcyLzUxLzNmNmEtNGYyNy1hMzQyLTkwNzYxMmQyNGU4Mw.pdf,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzVlLzJjLzk0LzIyZTgtNGI0OC1hYzBiLTJiYjgxNzI5OTc4Zg.xml,Danmark,DK,NÃ¦stved,14.0,KÃ¸bmagergade,4700 NÃ¦stved,NÃ¦stved,4700.0,15.0,Marinebuen,4700 NÃ¦stved,KÃ¸bmagergade 14,Til den daglige ledelse i Nord Clean ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-11-30,2015-11-30,,Registreret revisor FSR â danske revisorer,,,12322143.0,27768563.0,1004583596.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Per F. Petersen,Nene Lieberkind Morning,Aase Lieberkind,Diba,NORD CLEAN ApS,Plan Revision,,,NÃ¦stved,2013-07-01,2014-06-30,-9814.0,,,2015-06-30,2014-07-01,2015-11-30,NÃ¦stved,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21749511,indberetninger-20180424,2.5955513,27768563.0,,2018-03-30T19:45:43.649Z,2015-12-07T10:21:36.924Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AH-01-WK,2015-12-07T10:21:37.085Z,,,,,,,,,,,,,,,,,,,,,,
27768563,2014-06-30,2014-06-30,c10,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2JmLzhmL2UwLzM3NDQtNGQ4Zi1hODY2LTIwZTYxMDdjYzk1OA.xhtml,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzUzLzcyLzcyLzUxLzNmNmEtNGYyNy1hMzQyLTkwNzYxMmQyNGU4Mw.pdf,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzVlLzJjLzk0LzIyZTgtNGI0OC1hYzBiLTJiYjgxNzI5OTc4Zg.xml,Danmark,DK,NÃ¦stved,14.0,KÃ¸bmagergade,4700 NÃ¦stved,NÃ¦stved,4700.0,15.0,Marinebuen,4700 NÃ¦stved,KÃ¸bmagergade 14,Til den daglige ledelse i Nord Clean ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-11-30,2015-11-30,,Registreret revisor FSR â danske revisorer,,,12322143.0,27768563.0,1004583596.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Per F. Petersen,Nene Lieberkind Morning,Aase Lieberkind,Diba,NORD CLEAN ApS,Plan Revision,,,NÃ¦stved,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,2015-11-30,NÃ¦stved,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21749511,indberetninger-20180424,2.5955513,27768563.0,,2018-03-30T19:45:43.649Z,2015-12-07T10:21:36.924Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AH-01-WK,2015-12-07T10:21:37.085Z,21172.0,8971.0,125000.0,21172.0,21172.0,0.0,7500.0,21172.0,0.0,7500.0,0.0,0.0,4701.0,0.0,0.0,0.0,-103828.0,0.0,4701.0,0.0,,
27768563,2014-07-01,2015-06-30,c0,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2JmLzhmL2UwLzM3NDQtNGQ4Zi1hODY2LTIwZTYxMDdjYzk1OA.xhtml,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzUzLzcyLzcyLzUxLzNmNmEtNGYyNy1hMzQyLTkwNzYxMmQyNGU4Mw.pdf,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzVlLzJjLzk0LzIyZTgtNGI0OC1hYzBiLTJiYjgxNzI5OTc4Zg.xml,Danmark,DK,NÃ¦stved,14.0,KÃ¸bmagergade,4700 NÃ¦stved,NÃ¦stved,4700.0,15.0,Marinebuen,4700 NÃ¦stved,KÃ¸bmagergade 14,Til den daglige ledelse i Nord Clean ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-11-30,2015-11-30,0.0,Registreret revisor FSR â danske revisorer,0.0,-4000.0,12322143.0,27768563.0,1004583596.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Per F. Petersen,Nene Lieberkind Morning,Aase Lieberkind,Diba,NORD CLEAN ApS,Plan Revision,0.0,0.0,NÃ¦stved,2013-07-01,2014-06-30,-4000.0,-4000.0,-4000.0,2015-06-30,2014-07-01,2015-11-30,NÃ¦stved,0.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21749511,indberetninger-20180424,2.5955513,27768563.0,,2018-03-30T19:45:43.649Z,2015-12-07T10:21:36.924Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AH-01-WK,2015-12-07T10:21:37.085Z,,,,,,,,,,,,,,,,,,,,,,
27768563,2014-07-01,2015-06-30,c1,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2JmLzhmL2UwLzM3NDQtNGQ4Zi1hODY2LTIwZTYxMDdjYzk1OA.xhtml,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzUzLzcyLzcyLzUxLzNmNmEtNGYyNy1hMzQyLTkwNzYxMmQyNGU4Mw.pdf,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzVlLzJjLzk0LzIyZTgtNGI0OC1hYzBiLTJiYjgxNzI5OTc4Zg.xml,Danmark,DK,NÃ¦stved,14.0,KÃ¸bmagergade,4700 NÃ¦stved,NÃ¦stved,4700.0,15.0,Marinebuen,4700 NÃ¦stved,KÃ¸bmagergade 14,Til den daglige ledelse i Nord Clean ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-11-30,2015-11-30,,Registreret revisor FSR â danske revisorer,,,12322143.0,27768563.0,1004583596.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Per F. Petersen,Nene Lieberkind Morning,Aase Lieberkind,Diba,NORD CLEAN ApS,Plan Revision,,,NÃ¦stved,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,2015-11-30,NÃ¦stved,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21749511,indberetninger-20180424,2.5955513,27768563.0,,2018-03-30T19:45:43.649Z,2015-12-07T10:21:36.924Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AH-01-WK,2015-12-07T10:21:37.085Z,,,,,,,,,,,,,,,,,,,,,PLAN REVISION V/PER PETERSEN,
27768563,2014-07-01,2015-06-30,c2,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2JmLzhmL2UwLzM3NDQtNGQ4Zi1hODY2LTIwZTYxMDdjYzk1OA.xhtml,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzUzLzcyLzcyLzUxLzNmNmEtNGYyNy1hMzQyLTkwNzYxMmQyNGU4Mw.pdf,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzVlLzJjLzk0LzIyZTgtNGI0OC1hYzBiLTJiYjgxNzI5OTc4Zg.xml,Danmark,DK,NÃ¦stved,14.0,KÃ¸bmagergade,4700 NÃ¦stved,NÃ¦stved,4700.0,15.0,Marinebuen,4700 NÃ¦stved,KÃ¸bmagergade 14,Til den daglige ledelse i Nord Clean ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-11-30,2015-11-30,,Registreret revisor FSR â danske revisorer,,,12322143.0,27768563.0,1004583596.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Per F. Petersen,Nene Lieberkind Morning,Aase Lieberkind,Diba,NORD CLEAN ApS,Plan Revision,,,NÃ¦stved,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,2015-11-30,NÃ¦stved,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21749511,indberetninger-20180424,2.5955513,27768563.0,,2018-03-30T19:45:43.649Z,2015-12-07T10:21:36.924Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AH-01-WK,2015-12-07T10:21:37.085Z,,,,,,,,,,,,,,,,,,,,,,
27768563,2014-07-01,2015-06-30,c3,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2JmLzhmL2UwLzM3NDQtNGQ4Zi1hODY2LTIwZTYxMDdjYzk1OA.xhtml,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzUzLzcyLzcyLzUxLzNmNmEtNGYyNy1hMzQyLTkwNzYxMmQyNGU4Mw.pdf,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzVlLzJjLzk0LzIyZTgtNGI0OC1hYzBiLTJiYjgxNzI5OTc4Zg.xml,Danmark,DK,NÃ¦stved,14.0,KÃ¸bmagergade,4700 NÃ¦stved,NÃ¦stved,4700.0,15.0,Marinebuen,4700 NÃ¦stved,KÃ¸bmagergade 14,Til den daglige ledelse i Nord Clean ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-11-30,2015-11-30,,Registreret revisor FSR â danske revisorer,,,12322143.0,27768563.0,1004583596.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Per F. Petersen,Nene Lieberkind Morning,Aase Lieberkind,Diba,NORD CLEAN ApS,Plan Revision,,,NÃ¦stved,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,2015-11-30,NÃ¦stved,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21749511,indberetninger-20180424,2.5955513,27768563.0,,2018-03-30T19:45:43.649Z,2015-12-07T10:21:36.924Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AH-01-WK,2015-12-07T10:21:37.085Z,,,,,,,,,,,,,,,,,,,,,,Aase Lieberkind
27768563,2014-07-01,2015-06-30,c4,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2JmLzhmL2UwLzM3NDQtNGQ4Zi1hODY2LTIwZTYxMDdjYzk1OA.xhtml,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzUzLzcyLzcyLzUxLzNmNmEtNGYyNy1hMzQyLTkwNzYxMmQyNGU4Mw.pdf,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzVlLzJjLzk0LzIyZTgtNGI0OC1hYzBiLTJiYjgxNzI5OTc4Zg.xml,Danmark,DK,NÃ¦stved,14.0,KÃ¸bmagergade,4700 NÃ¦stved,NÃ¦stved,4700.0,15.0,Marinebuen,4700 NÃ¦stved,KÃ¸bmagergade 14,Til den daglige ledelse i Nord Clean ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-11-30,2015-11-30,,Registreret revisor FSR â danske revisorer,,,12322143.0,27768563.0,1004583596.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Per F. Petersen,Nene Lieberkind Morning,Aase Lieberkind,Diba,NORD CLEAN ApS,Plan Revision,,,NÃ¦stved,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,2015-11-30,NÃ¦stved,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21749511,indberetninger-20180424,2.5955513,27768563.0,,2018-03-30T19:45:43.649Z,2015-12-07T10:21:36.924Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AH-01-WK,2015-12-07T10:21:37.085Z,,,,,,,,,,,,,,,,,,,,,,Loraine Nene Morning
27768563,2014-07-01,2015-06-30,c5,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2JmLzhmL2UwLzM3NDQtNGQ4Zi1hODY2LTIwZTYxMDdjYzk1OA.xhtml,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzUzLzcyLzcyLzUxLzNmNmEtNGYyNy1hMzQyLTkwNzYxMmQyNGU4Mw.pdf,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzVlLzJjLzk0LzIyZTgtNGI0OC1hYzBiLTJiYjgxNzI5OTc4Zg.xml,Danmark,DK,NÃ¦stved,14.0,KÃ¸bmagergade,4700 NÃ¦stved,NÃ¦stved,4700.0,15.0,Marinebuen,4700 NÃ¦stved,KÃ¸bmagergade 14,Til den daglige ledelse i Nord Clean ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-11-30,2015-11-30,,Registreret revisor FSR â danske revisorer,,,12322143.0,27768563.0,1004583596.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Per F. Petersen,Nene Lieberkind Morning,Aase Lieberkind,Diba,NORD CLEAN ApS,Plan Revision,,,NÃ¦stved,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,2015-11-30,NÃ¦stved,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21749511,indberetninger-20180424,2.5955513,27768563.0,,2018-03-30T19:45:43.649Z,2015-12-07T10:21:36.924Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AH-01-WK,2015-12-07T10:21:37.085Z,,,,,,,,,,,,,,,,,,,,,,Christian Morning
27768563,2014-07-01,2015-06-30,c7,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2JmLzhmL2UwLzM3NDQtNGQ4Zi1hODY2LTIwZTYxMDdjYzk1OA.xhtml,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzUzLzcyLzcyLzUxLzNmNmEtNGYyNy1hMzQyLTkwNzYxMmQyNGU4Mw.pdf,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzVlLzJjLzk0LzIyZTgtNGI0OC1hYzBiLTJiYjgxNzI5OTc4Zg.xml,Danmark,DK,NÃ¦stved,14.0,KÃ¸bmagergade,4700 NÃ¦stved,NÃ¦stved,4700.0,15.0,Marinebuen,4700 NÃ¦stved,KÃ¸bmagergade 14,Til den daglige ledelse i Nord Clean ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-11-30,2015-11-30,,Registreret revisor FSR â danske revisorer,,,12322143.0,27768563.0,1004583596.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Per F. Petersen,Nene Lieberkind Morning,Aase Lieberkind,Diba,NORD CLEAN ApS,Plan Revision,,,NÃ¦stved,2013-07-01,2014-06-30,-4000.0,,,2015-06-30,2014-07-01,2015-11-30,NÃ¦stved,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21749511,indberetninger-20180424,2.5955513,27768563.0,,2018-03-30T19:45:43.649Z,2015-12-07T10:21:36.924Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AH-01-WK,2015-12-07T10:21:37.085Z,,,,,,,,,,,,,,,,,,,,,,
