entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AdjustmentsForCurrentTaxOfPriorPeriod,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,DisclosureOfContingentAssets,EmailOfReportingEntity,EmployeeBenefitsExpense,FaxNumberOfReportingEntity,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherEmployeeExpense,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PostemploymentBenefitExpense,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,TelephoneNumberOfReportingEntity,WagesAndSalaries,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermReceivables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,ShorttermTradeReceivables,NameOfAuditFirm,TypeOfAuditorAssistance
21296287,2017-01-01,2017-12-31,c174,,http://regnskaber.virk.dk/78269212/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzA2LzNjL2Q1L2JiM2UtNGM4Yy05ZGY4LWYzMWUxZWJlZTAyMg.pdf,http://regnskaber.virk.dk/78269212/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzdkLzBmL2ExLzE3MjUtNDIwNi04YTI5LTAwOGIxMTliYWZmYg.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,Odense C,5100.0,Fisketorvet 8-10,5230 Odense M,Campusvej 55,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i Unisats ApS,1061.0,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",8998.0,2019-04-26,1998-12-01,2019-05-07,7018.0,Statsautoriseret revisor,Ingen.,press@forlag.sdu.dk,420528.0,+45 66 15 81 26,473298.0,20222670.0,21296287.0,20222670.0,mne31412,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Unisats ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Bechsgaard JÃ¸rgensen,Martin LindÃ¸ Westergaard,Martin LindÃ¸ Westergaard,Danske Bank A/S,Unisats ApS,BDO Statsautoriseret revisionsaktieselskab,0.0,1347.0,0.0,Odense,0.0,2017-01-01,2017-12-31,34346.0,44405.0,45752.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense,2018-12-31,2018-01-01,true,2019-04-26,Odense,5738.0,10059.0,+45 66 15 79 99,414790.0,urn:ofk:oid:27378634,indberetninger-20180424,2.5124266,21296287.0,AWsdPivoRYGX6_YTIW6J,2019-06-03T12:09:13.039Z,2019-06-03T12:09:01.678Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-24-JW,2019-06-03T12:09:01.919Z,,,,,,,,,,,,,,,,,,,,
21296287,2017-01-01,2017-12-31,c195,,http://regnskaber.virk.dk/78269212/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzA2LzNjL2Q1L2JiM2UtNGM4Yy05ZGY4LWYzMWUxZWJlZTAyMg.pdf,http://regnskaber.virk.dk/78269212/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzdkLzBmL2ExLzE3MjUtNDIwNi04YTI5LTAwOGIxMTliYWZmYg.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,Odense C,5100.0,Fisketorvet 8-10,5230 Odense M,Campusvej 55,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i Unisats ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-04-26,1998-12-01,2019-05-07,,Statsautoriseret revisor,Ingen.,press@forlag.sdu.dk,,+45 66 15 81 26,,20222670.0,21296287.0,20222670.0,mne31412,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Unisats ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Bechsgaard JÃ¸rgensen,Martin LindÃ¸ Westergaard,Martin LindÃ¸ Westergaard,Danske Bank A/S,Unisats ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Odense,,2017-01-01,2017-12-31,34346.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense,2018-12-31,2018-01-01,true,2019-04-26,Odense,,,+45 66 15 79 99,,urn:ofk:oid:27378634,indberetninger-20180424,2.5124266,21296287.0,AWsdPivoRYGX6_YTIW6J,2019-06-03T12:09:13.039Z,2019-06-03T12:09:01.678Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-24-JW,2019-06-03T12:09:01.919Z,,,,,,,,,,,,,,,,,,,,
21296287,2017-12-31,2017-12-31,c172,,http://regnskaber.virk.dk/78269212/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzA2LzNjL2Q1L2JiM2UtNGM4Yy05ZGY4LWYzMWUxZWJlZTAyMg.pdf,http://regnskaber.virk.dk/78269212/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzdkLzBmL2ExLzE3MjUtNDIwNi04YTI5LTAwOGIxMTliYWZmYg.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,Odense C,5100.0,Fisketorvet 8-10,5230 Odense M,Campusvej 55,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i Unisats ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-04-26,1998-12-01,2019-05-07,,Statsautoriseret revisor,Ingen.,press@forlag.sdu.dk,,+45 66 15 81 26,,20222670.0,21296287.0,20222670.0,mne31412,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Unisats ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Bechsgaard JÃ¸rgensen,Martin LindÃ¸ Westergaard,Martin LindÃ¸ Westergaard,Danske Bank A/S,Unisats ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Odense,,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense,2018-12-31,2018-01-01,true,2019-04-26,Odense,,,+45 66 15 79 99,,urn:ofk:oid:27378634,indberetninger-20180424,2.5124266,21296287.0,AWsdPivoRYGX6_YTIW6J,2019-06-03T12:09:13.039Z,2019-06-03T12:09:01.678Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-24-JW,2019-06-03T12:09:01.919Z,717170.0,616225.0,125000.0,604844.0,5850.0,717170.0,111039.0,5850.0,15000.0,5850.0,1287.0,1287.0,479844.0,111039.0,95095.0,0.0,32001.0,48094.0,,
21296287,2018-01-01,2018-01-01,c226,,http://regnskaber.virk.dk/78269212/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzA2LzNjL2Q1L2JiM2UtNGM4Yy05ZGY4LWYzMWUxZWJlZTAyMg.pdf,http://regnskaber.virk.dk/78269212/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzdkLzBmL2ExLzE3MjUtNDIwNi04YTI5LTAwOGIxMTliYWZmYg.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,Odense C,5100.0,Fisketorvet 8-10,5230 Odense M,Campusvej 55,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i Unisats ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-04-26,1998-12-01,2019-05-07,,Statsautoriseret revisor,Ingen.,press@forlag.sdu.dk,,+45 66 15 81 26,,20222670.0,21296287.0,20222670.0,mne31412,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Unisats ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Bechsgaard JÃ¸rgensen,Martin LindÃ¸ Westergaard,Martin LindÃ¸ Westergaard,Danske Bank A/S,Unisats ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Odense,,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense,2018-12-31,2018-01-01,true,2019-04-26,Odense,,,+45 66 15 79 99,,urn:ofk:oid:27378634,indberetninger-20180424,2.5124266,21296287.0,AWsdPivoRYGX6_YTIW6J,2019-06-03T12:09:13.039Z,2019-06-03T12:09:01.678Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-24-JW,2019-06-03T12:09:01.919Z,,,,125000.0,,,,,,,,,,,,,,,,
21296287,2018-01-01,2018-01-01,c253,,http://regnskaber.virk.dk/78269212/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzA2LzNjL2Q1L2JiM2UtNGM4Yy05ZGY4LWYzMWUxZWJlZTAyMg.pdf,http://regnskaber.virk.dk/78269212/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzdkLzBmL2ExLzE3MjUtNDIwNi04YTI5LTAwOGIxMTliYWZmYg.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,Odense C,5100.0,Fisketorvet 8-10,5230 Odense M,Campusvej 55,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i Unisats ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-04-26,1998-12-01,2019-05-07,,Statsautoriseret revisor,Ingen.,press@forlag.sdu.dk,,+45 66 15 81 26,,20222670.0,21296287.0,20222670.0,mne31412,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Unisats ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Bechsgaard JÃ¸rgensen,Martin LindÃ¸ Westergaard,Martin LindÃ¸ Westergaard,Danske Bank A/S,Unisats ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Odense,,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense,2018-12-31,2018-01-01,true,2019-04-26,Odense,,,+45 66 15 79 99,,urn:ofk:oid:27378634,indberetninger-20180424,2.5124266,21296287.0,AWsdPivoRYGX6_YTIW6J,2019-06-03T12:09:13.039Z,2019-06-03T12:09:01.678Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-24-JW,2019-06-03T12:09:01.919Z,,,,479845.0,,,,,,,,,,,,,,,,
21296287,2018-01-01,2018-12-31,c173,,http://regnskaber.virk.dk/78269212/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzA2LzNjL2Q1L2JiM2UtNGM4Yy05ZGY4LWYzMWUxZWJlZTAyMg.pdf,http://regnskaber.virk.dk/78269212/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzdkLzBmL2ExLzE3MjUtNDIwNi04YTI5LTAwOGIxMTliYWZmYg.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,Odense C,5100.0,Fisketorvet 8-10,5230 Odense M,Campusvej 55,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i Unisats ApS,-1287.0,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2596.0,2019-04-26,1998-12-01,2019-05-07,7902.0,Statsautoriseret revisor,Ingen.,press@forlag.sdu.dk,488421.0,+45 66 15 81 26,502330.0,20222670.0,21296287.0,20222670.0,mne31412,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Unisats ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Bechsgaard JÃ¸rgensen,Martin LindÃ¸ Westergaard,Martin LindÃ¸ Westergaard,Danske Bank A/S,Unisats ApS,BDO Statsautoriseret revisionsaktieselskab,8200.0,0.0,32.0,Odense,14700.0,2017-01-01,2017-12-31,4730.0,6039.0,6007.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense,2018-12-31,2018-01-01,true,2019-04-26,Odense,5336.0,1309.0,+45 66 15 79 99,460185.0,urn:ofk:oid:27378634,indberetninger-20180424,2.5124266,21296287.0,AWsdPivoRYGX6_YTIW6J,2019-06-03T12:09:13.039Z,2019-06-03T12:09:01.678Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-24-JW,2019-06-03T12:09:01.919Z,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,RevisionspÃ¥tegning
21296287,2018-01-01,2018-12-31,c194,,http://regnskaber.virk.dk/78269212/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzA2LzNjL2Q1L2JiM2UtNGM4Yy05ZGY4LWYzMWUxZWJlZTAyMg.pdf,http://regnskaber.virk.dk/78269212/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzdkLzBmL2ExLzE3MjUtNDIwNi04YTI5LTAwOGIxMTliYWZmYg.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,Odense C,5100.0,Fisketorvet 8-10,5230 Odense M,Campusvej 55,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i Unisats ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-04-26,1998-12-01,2019-05-07,,Statsautoriseret revisor,Ingen.,press@forlag.sdu.dk,,+45 66 15 81 26,,20222670.0,21296287.0,20222670.0,mne31412,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Unisats ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Bechsgaard JÃ¸rgensen,Martin LindÃ¸ Westergaard,Martin LindÃ¸ Westergaard,Danske Bank A/S,Unisats ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Odense,,2017-01-01,2017-12-31,4730.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense,2018-12-31,2018-01-01,true,2019-04-26,Odense,,,+45 66 15 79 99,,urn:ofk:oid:27378634,indberetninger-20180424,2.5124266,21296287.0,AWsdPivoRYGX6_YTIW6J,2019-06-03T12:09:13.039Z,2019-06-03T12:09:01.678Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-24-JW,2019-06-03T12:09:01.919Z,,,,,,,,,,,,,,,,,,,,
21296287,2018-01-01,2018-12-31,c254,,http://regnskaber.virk.dk/78269212/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzA2LzNjL2Q1L2JiM2UtNGM4Yy05ZGY4LWYzMWUxZWJlZTAyMg.pdf,http://regnskaber.virk.dk/78269212/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzdkLzBmL2ExLzE3MjUtNDIwNi04YTI5LTAwOGIxMTliYWZmYg.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,Odense C,5100.0,Fisketorvet 8-10,5230 Odense M,Campusvej 55,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i Unisats ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-04-26,1998-12-01,2019-05-07,,Statsautoriseret revisor,Ingen.,press@forlag.sdu.dk,,+45 66 15 81 26,,20222670.0,21296287.0,20222670.0,mne31412,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Unisats ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Bechsgaard JÃ¸rgensen,Martin LindÃ¸ Westergaard,Martin LindÃ¸ Westergaard,Danske Bank A/S,Unisats ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Odense,,2017-01-01,2017-12-31,4730.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense,2018-12-31,2018-01-01,true,2019-04-26,Odense,,,+45 66 15 79 99,,urn:ofk:oid:27378634,indberetninger-20180424,2.5124266,21296287.0,AWsdPivoRYGX6_YTIW6J,2019-06-03T12:09:13.039Z,2019-06-03T12:09:01.678Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-24-JW,2019-06-03T12:09:01.919Z,,,,,,,,,,,,,,,,,,,,
21296287,2018-01-01,2018-12-31,c305,,http://regnskaber.virk.dk/78269212/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzA2LzNjL2Q1L2JiM2UtNGM4Yy05ZGY4LWYzMWUxZWJlZTAyMg.pdf,http://regnskaber.virk.dk/78269212/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzdkLzBmL2ExLzE3MjUtNDIwNi04YTI5LTAwOGIxMTliYWZmYg.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,Odense C,5100.0,Fisketorvet 8-10,5230 Odense M,Campusvej 55,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i Unisats ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-04-26,1998-12-01,2019-05-07,,Statsautoriseret revisor,Ingen.,press@forlag.sdu.dk,,+45 66 15 81 26,,20222670.0,21296287.0,20222670.0,mne31412,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Unisats ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Bechsgaard JÃ¸rgensen,Martin LindÃ¸ Westergaard,Martin LindÃ¸ Westergaard,Danske Bank A/S,Unisats ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Odense,,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense,2018-12-31,2018-01-01,true,2019-04-26,Odense,,,+45 66 15 79 99,,urn:ofk:oid:27378634,indberetninger-20180424,2.5124266,21296287.0,AWsdPivoRYGX6_YTIW6J,2019-06-03T12:09:13.039Z,2019-06-03T12:09:01.678Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-24-JW,2019-06-03T12:09:01.919Z,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,
21296287,2018-01-01,2018-12-31,c607,,http://regnskaber.virk.dk/78269212/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzA2LzNjL2Q1L2JiM2UtNGM4Yy05ZGY4LWYzMWUxZWJlZTAyMg.pdf,http://regnskaber.virk.dk/78269212/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzdkLzBmL2ExLzE3MjUtNDIwNi04YTI5LTAwOGIxMTliYWZmYg.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,Odense C,5100.0,Fisketorvet 8-10,5230 Odense M,Campusvej 55,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i Unisats ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-04-26,1998-12-01,2019-05-07,,Statsautoriseret revisor,Ingen.,press@forlag.sdu.dk,,+45 66 15 81 26,,20222670.0,21296287.0,20222670.0,mne31412,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Unisats ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Bechsgaard JÃ¸rgensen,Martin LindÃ¸ Westergaard,Martin LindÃ¸ Westergaard,Danske Bank A/S,Unisats ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Odense,,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense,2018-12-31,2018-01-01,true,2019-04-26,Odense,,,+45 66 15 79 99,,urn:ofk:oid:27378634,indberetninger-20180424,2.5124266,21296287.0,AWsdPivoRYGX6_YTIW6J,2019-06-03T12:09:13.039Z,2019-06-03T12:09:01.678Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-24-JW,2019-06-03T12:09:01.919Z,,,,,,,,,,,,,,,,,,,,
