entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,EmailOfReportingEntity,HomepageOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContractWorkInProgress,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermTaxPayables,NoncurrentAssets,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PrepaymentsForGoods,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,RawMaterialsAndConsumables,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
30690583,2016-10-01,2017-09-30,ID_12,,http://regnskaber.virk.dk/38509603/ZG9rdW1lbnRsYWdlcjovLzAzLzM0LzVhLzhkL2MzLzU2YTMtNDlmNi1hOGQyLTFlMjNmNTI5MTYxNQ.pdf,http://regnskaber.virk.dk/38509603/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzc4L2NmLzFiLzNlM2ItNGNlMS1iNjRjLWZkMzYwZTkxZGRlYg.xml,true,"HolbÃ¦k, 4300",Gl. Ringstedvej 61,Til kapitalejerne i Lodbyg Entreprise ApS,13.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-12-17,2018-12-17,2018-12-17,lodbyg@lodbyg.dk,www.lodbyg.dk,33771177.0,30690583.0,33771177.0,mne28752,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Lodbyg Entreprise ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Vibeke Hundevad,Leif Hansen,Revision & RÃ¥dgivningsgruppen,Lodbyg Entreprise ApS,"Revision & RÃ¥dgivningsgruppen, Registreret revisionspartnerselskab",HolbÃ¦k,2016-10-01,2017-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"316, HolbÃ¦k",2018-09-30,2017-10-01,false,2018-12-17,HolbÃ¦k,32501259.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26481906,indberetninger-20180424,2.5118406,30690583.0,AWfFqShRet7j816Dxe5L,2018-12-19T08:51:44.373Z,2018-12-19T08:50:53.689Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-EQ-18-AM,2018-12-19T08:50:54.088Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30690583,2016-10-01,2017-09-30,ID_13,,http://regnskaber.virk.dk/38509603/ZG9rdW1lbnRsYWdlcjovLzAzLzM0LzVhLzhkL2MzLzU2YTMtNDlmNi1hOGQyLTFlMjNmNTI5MTYxNQ.pdf,http://regnskaber.virk.dk/38509603/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzc4L2NmLzFiLzNlM2ItNGNlMS1iNjRjLWZkMzYwZTkxZGRlYg.xml,true,"HolbÃ¦k, 4300",Gl. Ringstedvej 61,Til kapitalejerne i Lodbyg Entreprise ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-12-17,2018-12-17,2018-12-17,lodbyg@lodbyg.dk,www.lodbyg.dk,33771177.0,30690583.0,33771177.0,mne28752,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Lodbyg Entreprise ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Vibeke Hundevad,Leif Hansen,Revision & RÃ¥dgivningsgruppen,Lodbyg Entreprise ApS,"Revision & RÃ¥dgivningsgruppen, Registreret revisionspartnerselskab",HolbÃ¦k,2016-10-01,2017-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"316, HolbÃ¦k",2018-09-30,2017-10-01,false,2018-12-17,HolbÃ¦k,32501259.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26481906,indberetninger-20180424,2.5118406,30690583.0,AWfFqShRet7j816Dxe5L,2018-12-19T08:51:44.373Z,2018-12-19T08:50:53.689Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-EQ-18-AM,2018-12-19T08:50:54.088Z,83228.0,6032572.0,9916698.0,296106.0,20386.0,2761292.0,3525178.0,3800898.0,763886.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30690583,2016-10-01,2017-09-30,ID_15,,http://regnskaber.virk.dk/38509603/ZG9rdW1lbnRsYWdlcjovLzAzLzM0LzVhLzhkL2MzLzU2YTMtNDlmNi1hOGQyLTFlMjNmNTI5MTYxNQ.pdf,http://regnskaber.virk.dk/38509603/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzc4L2NmLzFiLzNlM2ItNGNlMS1iNjRjLWZkMzYwZTkxZGRlYg.xml,true,"HolbÃ¦k, 4300",Gl. Ringstedvej 61,Til kapitalejerne i Lodbyg Entreprise ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-12-17,2018-12-17,2018-12-17,lodbyg@lodbyg.dk,www.lodbyg.dk,33771177.0,30690583.0,33771177.0,mne28752,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Lodbyg Entreprise ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Vibeke Hundevad,Leif Hansen,Revision & RÃ¥dgivningsgruppen,Lodbyg Entreprise ApS,"Revision & RÃ¥dgivningsgruppen, Registreret revisionspartnerselskab",HolbÃ¦k,2016-10-01,2017-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"316, HolbÃ¦k",2018-09-30,2017-10-01,false,2018-12-17,HolbÃ¦k,32501259.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26481906,indberetninger-20180424,2.5118406,30690583.0,AWfFqShRet7j816Dxe5L,2018-12-19T08:51:44.373Z,2018-12-19T08:50:53.689Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-EQ-18-AM,2018-12-19T08:50:54.088Z,,,,,,-2761292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30690583,2016-10-01,2017-09-30,ID_17,,http://regnskaber.virk.dk/38509603/ZG9rdW1lbnRsYWdlcjovLzAzLzM0LzVhLzhkL2MzLzU2YTMtNDlmNi1hOGQyLTFlMjNmNTI5MTYxNQ.pdf,http://regnskaber.virk.dk/38509603/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzc4L2NmLzFiLzNlM2ItNGNlMS1iNjRjLWZkMzYwZTkxZGRlYg.xml,true,"HolbÃ¦k, 4300",Gl. Ringstedvej 61,Til kapitalejerne i Lodbyg Entreprise ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-12-17,2018-12-17,2018-12-17,lodbyg@lodbyg.dk,www.lodbyg.dk,33771177.0,30690583.0,33771177.0,mne28752,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Lodbyg Entreprise ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Vibeke Hundevad,Leif Hansen,Revision & RÃ¥dgivningsgruppen,Lodbyg Entreprise ApS,"Revision & RÃ¥dgivningsgruppen, Registreret revisionspartnerselskab",HolbÃ¦k,2016-10-01,2017-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"316, HolbÃ¦k",2018-09-30,2017-10-01,false,2018-12-17,HolbÃ¦k,32501259.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26481906,indberetninger-20180424,2.5118406,30690583.0,AWfFqShRet7j816Dxe5L,2018-12-19T08:51:44.373Z,2018-12-19T08:50:53.689Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-EQ-18-AM,2018-12-19T08:50:54.088Z,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30690583,2017-09-30,2017-09-30,ID_10,,http://regnskaber.virk.dk/38509603/ZG9rdW1lbnRsYWdlcjovLzAzLzM0LzVhLzhkL2MzLzU2YTMtNDlmNi1hOGQyLTFlMjNmNTI5MTYxNQ.pdf,http://regnskaber.virk.dk/38509603/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzc4L2NmLzFiLzNlM2ItNGNlMS1iNjRjLWZkMzYwZTkxZGRlYg.xml,true,"HolbÃ¦k, 4300",Gl. Ringstedvej 61,Til kapitalejerne i Lodbyg Entreprise ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-12-17,2018-12-17,2018-12-17,lodbyg@lodbyg.dk,www.lodbyg.dk,33771177.0,30690583.0,33771177.0,mne28752,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Lodbyg Entreprise ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Vibeke Hundevad,Leif Hansen,Revision & RÃ¥dgivningsgruppen,Lodbyg Entreprise ApS,"Revision & RÃ¥dgivningsgruppen, Registreret revisionspartnerselskab",HolbÃ¦k,2016-10-01,2017-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"316, HolbÃ¦k",2018-09-30,2017-10-01,false,2018-12-17,HolbÃ¦k,32501259.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26481906,indberetninger-20180424,2.5118406,30690583.0,AWfFqShRet7j816Dxe5L,2018-12-19T08:51:44.373Z,2018-12-19T08:50:53.689Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-EQ-18-AM,2018-12-19T08:50:54.088Z,,,,,,,,,,15576895.0,1885970.0,842438.0,250000.0,15335597.0,19183.0,73070.0,6338955.0,79087.0,198204.0,162211.0,15576895.0,9237940.0,627730.0,627730.0,241298.0,63250.0,3577910.0,717751.0,30000.0,241298.0,2761292.0,168204.0,3327663.0,63250.0,8610210.0,200000.0,13188173.0,0.0,12385.0,4832300.0,11523346.0,,,
30690583,2017-10-01,2018-09-30,ID_0,,http://regnskaber.virk.dk/38509603/ZG9rdW1lbnRsYWdlcjovLzAzLzM0LzVhLzhkL2MzLzU2YTMtNDlmNi1hOGQyLTFlMjNmNTI5MTYxNQ.pdf,http://regnskaber.virk.dk/38509603/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzc4L2NmLzFiLzNlM2ItNGNlMS1iNjRjLWZkMzYwZTkxZGRlYg.xml,true,"HolbÃ¦k, 4300",Gl. Ringstedvej 61,Til kapitalejerne i Lodbyg Entreprise ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-12-17,2018-12-17,2018-12-17,lodbyg@lodbyg.dk,www.lodbyg.dk,33771177.0,30690583.0,33771177.0,mne28752,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Lodbyg Entreprise ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Vibeke Hundevad,Leif Hansen,Revision & RÃ¥dgivningsgruppen,Lodbyg Entreprise ApS,"Revision & RÃ¥dgivningsgruppen, Registreret revisionspartnerselskab",HolbÃ¦k,2016-10-01,2017-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"316, HolbÃ¦k",2018-09-30,2017-10-01,false,2018-12-17,HolbÃ¦k,32501259.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26481906,indberetninger-20180424,2.5118406,30690583.0,AWfFqShRet7j816Dxe5L,2018-12-19T08:51:44.373Z,2018-12-19T08:50:53.689Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-EQ-18-AM,2018-12-19T08:50:54.088Z,70993.0,7264950.0,13678933.0,455800.0,2571.0,4581144.0,5889761.0,6342990.0,1308617.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30690583,2017-10-01,2018-09-30,ID_1,,http://regnskaber.virk.dk/38509603/ZG9rdW1lbnRsYWdlcjovLzAzLzM0LzVhLzhkL2MzLzU2YTMtNDlmNi1hOGQyLTFlMjNmNTI5MTYxNQ.pdf,http://regnskaber.virk.dk/38509603/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzc4L2NmLzFiLzNlM2ItNGNlMS1iNjRjLWZkMzYwZTkxZGRlYg.xml,true,"HolbÃ¦k, 4300",Gl. Ringstedvej 61,Til kapitalejerne i Lodbyg Entreprise ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-12-17,2018-12-17,2018-12-17,lodbyg@lodbyg.dk,www.lodbyg.dk,33771177.0,30690583.0,33771177.0,mne28752,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Lodbyg Entreprise ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Vibeke Hundevad,Leif Hansen,Revision & RÃ¥dgivningsgruppen,Lodbyg Entreprise ApS,"Revision & RÃ¥dgivningsgruppen, Registreret revisionspartnerselskab",HolbÃ¦k,2016-10-01,2017-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"316, HolbÃ¦k",2018-09-30,2017-10-01,false,2018-12-17,HolbÃ¦k,32501259.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26481906,indberetninger-20180424,2.5118406,30690583.0,AWfFqShRet7j816Dxe5L,2018-12-19T08:51:44.373Z,2018-12-19T08:50:53.689Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-EQ-18-AM,2018-12-19T08:50:54.088Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30690583,2017-10-01,2018-09-30,ID_11,,http://regnskaber.virk.dk/38509603/ZG9rdW1lbnRsYWdlcjovLzAzLzM0LzVhLzhkL2MzLzU2YTMtNDlmNi1hOGQyLTFlMjNmNTI5MTYxNQ.pdf,http://regnskaber.virk.dk/38509603/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzc4L2NmLzFiLzNlM2ItNGNlMS1iNjRjLWZkMzYwZTkxZGRlYg.xml,true,"HolbÃ¦k, 4300",Gl. Ringstedvej 61,Til kapitalejerne i Lodbyg Entreprise ApS,15.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-12-17,2018-12-17,2018-12-17,lodbyg@lodbyg.dk,www.lodbyg.dk,33771177.0,30690583.0,33771177.0,mne28752,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Lodbyg Entreprise ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Vibeke Hundevad,Leif Hansen,Revision & RÃ¥dgivningsgruppen,Lodbyg Entreprise ApS,"Revision & RÃ¥dgivningsgruppen, Registreret revisionspartnerselskab",HolbÃ¦k,2016-10-01,2017-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"316, HolbÃ¦k",2018-09-30,2017-10-01,false,2018-12-17,HolbÃ¦k,32501259.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26481906,indberetninger-20180424,2.5118406,30690583.0,AWfFqShRet7j816Dxe5L,2018-12-19T08:51:44.373Z,2018-12-19T08:50:53.689Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-EQ-18-AM,2018-12-19T08:50:54.088Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30690583,2017-10-01,2018-09-30,ID_14,,http://regnskaber.virk.dk/38509603/ZG9rdW1lbnRsYWdlcjovLzAzLzM0LzVhLzhkL2MzLzU2YTMtNDlmNi1hOGQyLTFlMjNmNTI5MTYxNQ.pdf,http://regnskaber.virk.dk/38509603/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzc4L2NmLzFiLzNlM2ItNGNlMS1iNjRjLWZkMzYwZTkxZGRlYg.xml,true,"HolbÃ¦k, 4300",Gl. Ringstedvej 61,Til kapitalejerne i Lodbyg Entreprise ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-12-17,2018-12-17,2018-12-17,lodbyg@lodbyg.dk,www.lodbyg.dk,33771177.0,30690583.0,33771177.0,mne28752,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Lodbyg Entreprise ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Vibeke Hundevad,Leif Hansen,Revision & RÃ¥dgivningsgruppen,Lodbyg Entreprise ApS,"Revision & RÃ¥dgivningsgruppen, Registreret revisionspartnerselskab",HolbÃ¦k,2016-10-01,2017-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"316, HolbÃ¦k",2018-09-30,2017-10-01,false,2018-12-17,HolbÃ¦k,32501259.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26481906,indberetninger-20180424,2.5118406,30690583.0,AWfFqShRet7j816Dxe5L,2018-12-19T08:51:44.373Z,2018-12-19T08:50:53.689Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-EQ-18-AM,2018-12-19T08:50:54.088Z,,,,,,-2500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30690583,2017-10-01,2018-09-30,ID_16,,http://regnskaber.virk.dk/38509603/ZG9rdW1lbnRsYWdlcjovLzAzLzM0LzVhLzhkL2MzLzU2YTMtNDlmNi1hOGQyLTFlMjNmNTI5MTYxNQ.pdf,http://regnskaber.virk.dk/38509603/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzc4L2NmLzFiLzNlM2ItNGNlMS1iNjRjLWZkMzYwZTkxZGRlYg.xml,true,"HolbÃ¦k, 4300",Gl. Ringstedvej 61,Til kapitalejerne i Lodbyg Entreprise ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-12-17,2018-12-17,2018-12-17,lodbyg@lodbyg.dk,www.lodbyg.dk,33771177.0,30690583.0,33771177.0,mne28752,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Lodbyg Entreprise ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Vibeke Hundevad,Leif Hansen,Revision & RÃ¥dgivningsgruppen,Lodbyg Entreprise ApS,"Revision & RÃ¥dgivningsgruppen, Registreret revisionspartnerselskab",HolbÃ¦k,2016-10-01,2017-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"316, HolbÃ¦k",2018-09-30,2017-10-01,false,2018-12-17,HolbÃ¦k,32501259.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26481906,indberetninger-20180424,2.5118406,30690583.0,AWfFqShRet7j816Dxe5L,2018-12-19T08:51:44.373Z,2018-12-19T08:50:53.689Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-EQ-18-AM,2018-12-19T08:50:54.088Z,,,,,,-2081144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
