entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdjustmentsForCurrentTaxOfPriorPeriod,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherExternalExpenses,OtherFinanceExpenses,PlaceOfSignatureOfStatement,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,TaxExpenseOnOrdinaryActivities,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,InvestmentsGross
30587316,2013-01-01,2013-12-31,c1,,http://regnskaber.virk.dk/61378503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q4LzllLzA1Lzk3LzZhNWQtNDAwMC05YTBjLTdiNzUxNTYzMDU1OQ.pdf,http://regnskaber.virk.dk/61378503/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2U3L2M1LzNlL2QwYTktNGQ4NS04ZGUzLWM0NzU4NzdlMjU1Yg.xml,2000 Frederiksberg,StÃ¦gers AllÃ© 20,2000 Frederiksberg,StÃ¦gers AllÃ© 20,-37514.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",2015-05-27,2007-04-01,2015-05-29,Andre eksterne omkostninger,30587316.0,30587316.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Asunto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lui Kastrup,Lui Kastrup,Asunto ApS,Asunto ApS,-1000.0,-17150.0,Frederiksberg,-55664.0,-18150.0,-1000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederiksberg,2014-12-31,2014-01-01,-37514.0,Ingen bistand,urn:ofk:oid:5442443,indberetninger-20180424,2.5118417999999996,30587316.0,,2018-03-30T12:42:56.964Z,2015-06-03T21:23:09.626Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-11-SX,2015-06-03T21:23:09.678Z,,,,,,,,,,,,,,
30587316,2013-01-01,2013-12-31,c30,,http://regnskaber.virk.dk/61378503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q4LzllLzA1Lzk3LzZhNWQtNDAwMC05YTBjLTdiNzUxNTYzMDU1OQ.pdf,http://regnskaber.virk.dk/61378503/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2U3L2M1LzNlL2QwYTktNGQ4NS04ZGUzLWM0NzU4NzdlMjU1Yg.xml,2000 Frederiksberg,StÃ¦gers AllÃ© 20,2000 Frederiksberg,StÃ¦gers AllÃ© 20,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",2015-05-27,2007-04-01,2015-05-29,Andre eksterne omkostninger,30587316.0,30587316.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Asunto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lui Kastrup,Lui Kastrup,Asunto ApS,Asunto ApS,,,Frederiksberg,-55664.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederiksberg,2014-12-31,2014-01-01,,Ingen bistand,urn:ofk:oid:5442443,indberetninger-20180424,2.5118417999999996,30587316.0,,2018-03-30T12:42:56.964Z,2015-06-03T21:23:09.626Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-11-SX,2015-06-03T21:23:09.678Z,,,,,,,,,,,,,,
30587316,2013-12-31,2013-12-31,c4,,http://regnskaber.virk.dk/61378503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q4LzllLzA1Lzk3LzZhNWQtNDAwMC05YTBjLTdiNzUxNTYzMDU1OQ.pdf,http://regnskaber.virk.dk/61378503/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2U3L2M1LzNlL2QwYTktNGQ4NS04ZGUzLWM0NzU4NzdlMjU1Yg.xml,2000 Frederiksberg,StÃ¦gers AllÃ© 20,2000 Frederiksberg,StÃ¦gers AllÃ© 20,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",2015-05-27,2007-04-01,2015-05-29,Andre eksterne omkostninger,30587316.0,30587316.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Asunto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lui Kastrup,Lui Kastrup,Asunto ApS,Asunto ApS,,,Frederiksberg,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederiksberg,2014-12-31,2014-01-01,,Ingen bistand,urn:ofk:oid:5442443,indberetninger-20180424,2.5118417999999996,30587316.0,,2018-03-30T12:42:56.964Z,2015-06-03T21:23:09.626Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-11-SX,2015-06-03T21:23:09.678Z,1373968.0,1218.0,125000.0,1218.0,-646970.0,1373968.0,2020938.0,1372750.0,1372750.0,1372750.0,2020938.0,-771970.0,2020938.0,
30587316,2014-01-01,2014-01-01,c116,,http://regnskaber.virk.dk/61378503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q4LzllLzA1Lzk3LzZhNWQtNDAwMC05YTBjLTdiNzUxNTYzMDU1OQ.pdf,http://regnskaber.virk.dk/61378503/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2U3L2M1LzNlL2QwYTktNGQ4NS04ZGUzLWM0NzU4NzdlMjU1Yg.xml,2000 Frederiksberg,StÃ¦gers AllÃ© 20,2000 Frederiksberg,StÃ¦gers AllÃ© 20,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",2015-05-27,2007-04-01,2015-05-29,Andre eksterne omkostninger,30587316.0,30587316.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Asunto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lui Kastrup,Lui Kastrup,Asunto ApS,Asunto ApS,,,Frederiksberg,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederiksberg,2014-12-31,2014-01-01,,Ingen bistand,urn:ofk:oid:5442443,indberetninger-20180424,2.5118417999999996,30587316.0,,2018-03-30T12:42:56.964Z,2015-06-03T21:23:09.626Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-11-SX,2015-06-03T21:23:09.678Z,,,,,,,,,,,,,,1372750.0
30587316,2014-01-01,2014-01-01,c137,,http://regnskaber.virk.dk/61378503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q4LzllLzA1Lzk3LzZhNWQtNDAwMC05YTBjLTdiNzUxNTYzMDU1OQ.pdf,http://regnskaber.virk.dk/61378503/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2U3L2M1LzNlL2QwYTktNGQ4NS04ZGUzLWM0NzU4NzdlMjU1Yg.xml,2000 Frederiksberg,StÃ¦gers AllÃ© 20,2000 Frederiksberg,StÃ¦gers AllÃ© 20,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",2015-05-27,2007-04-01,2015-05-29,Andre eksterne omkostninger,30587316.0,30587316.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Asunto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lui Kastrup,Lui Kastrup,Asunto ApS,Asunto ApS,,,Frederiksberg,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederiksberg,2014-12-31,2014-01-01,,Ingen bistand,urn:ofk:oid:5442443,indberetninger-20180424,2.5118417999999996,30587316.0,,2018-03-30T12:42:56.964Z,2015-06-03T21:23:09.626Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-11-SX,2015-06-03T21:23:09.678Z,,,,,125000.0,,,,,,,,,
30587316,2014-01-01,2014-01-01,c158,,http://regnskaber.virk.dk/61378503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q4LzllLzA1Lzk3LzZhNWQtNDAwMC05YTBjLTdiNzUxNTYzMDU1OQ.pdf,http://regnskaber.virk.dk/61378503/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2U3L2M1LzNlL2QwYTktNGQ4NS04ZGUzLWM0NzU4NzdlMjU1Yg.xml,2000 Frederiksberg,StÃ¦gers AllÃ© 20,2000 Frederiksberg,StÃ¦gers AllÃ© 20,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",2015-05-27,2007-04-01,2015-05-29,Andre eksterne omkostninger,30587316.0,30587316.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Asunto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lui Kastrup,Lui Kastrup,Asunto ApS,Asunto ApS,,,Frederiksberg,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederiksberg,2014-12-31,2014-01-01,,Ingen bistand,urn:ofk:oid:5442443,indberetninger-20180424,2.5118417999999996,30587316.0,,2018-03-30T12:42:56.964Z,2015-06-03T21:23:09.626Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-11-SX,2015-06-03T21:23:09.678Z,,,,,-771970.0,,,,,,,,,
30587316,2014-01-01,2014-12-31,c0,,http://regnskaber.virk.dk/61378503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q4LzllLzA1Lzk3LzZhNWQtNDAwMC05YTBjLTdiNzUxNTYzMDU1OQ.pdf,http://regnskaber.virk.dk/61378503/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2U3L2M1LzNlL2QwYTktNGQ4NS04ZGUzLWM0NzU4NzdlMjU1Yg.xml,2000 Frederiksberg,StÃ¦gers AllÃ© 20,2000 Frederiksberg,StÃ¦gers AllÃ© 20,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",2015-05-27,2007-04-01,2015-05-29,Andre eksterne omkostninger,30587316.0,30587316.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Asunto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lui Kastrup,Lui Kastrup,Asunto ApS,Asunto ApS,-250.0,0.0,Frederiksberg,-250.0,-250.0,-250.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederiksberg,2014-12-31,2014-01-01,0.0,Ingen bistand,urn:ofk:oid:5442443,indberetninger-20180424,2.5118417999999996,30587316.0,,2018-03-30T12:42:56.964Z,2015-06-03T21:23:09.626Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-11-SX,2015-06-03T21:23:09.678Z,,,,,,,,,,,,,,
30587316,2014-01-01,2014-12-31,c159,,http://regnskaber.virk.dk/61378503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q4LzllLzA1Lzk3LzZhNWQtNDAwMC05YTBjLTdiNzUxNTYzMDU1OQ.pdf,http://regnskaber.virk.dk/61378503/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2U3L2M1LzNlL2QwYTktNGQ4NS04ZGUzLWM0NzU4NzdlMjU1Yg.xml,2000 Frederiksberg,StÃ¦gers AllÃ© 20,2000 Frederiksberg,StÃ¦gers AllÃ© 20,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",2015-05-27,2007-04-01,2015-05-29,Andre eksterne omkostninger,30587316.0,30587316.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Asunto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lui Kastrup,Lui Kastrup,Asunto ApS,Asunto ApS,,,Frederiksberg,-250.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederiksberg,2014-12-31,2014-01-01,,Ingen bistand,urn:ofk:oid:5442443,indberetninger-20180424,2.5118417999999996,30587316.0,,2018-03-30T12:42:56.964Z,2015-06-03T21:23:09.626Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-11-SX,2015-06-03T21:23:09.678Z,,,,,,,,,,,,,,
30587316,2014-01-01,2014-12-31,c199,,http://regnskaber.virk.dk/61378503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q4LzllLzA1Lzk3LzZhNWQtNDAwMC05YTBjLTdiNzUxNTYzMDU1OQ.pdf,http://regnskaber.virk.dk/61378503/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2U3L2M1LzNlL2QwYTktNGQ4NS04ZGUzLWM0NzU4NzdlMjU1Yg.xml,2000 Frederiksberg,StÃ¦gers AllÃ© 20,2000 Frederiksberg,StÃ¦gers AllÃ© 20,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",2015-05-27,2007-04-01,2015-05-29,Andre eksterne omkostninger,30587316.0,30587316.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Asunto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lui Kastrup,Lui Kastrup,Asunto ApS,Asunto ApS,,,Frederiksberg,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederiksberg,2014-12-31,2014-01-01,,Ingen bistand,urn:ofk:oid:5442443,indberetninger-20180424,2.5118417999999996,30587316.0,,2018-03-30T12:42:56.964Z,2015-06-03T21:23:09.626Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-11-SX,2015-06-03T21:23:09.678Z,,,,,,,,,,,,,,
30587316,2014-01-01,2014-12-31,c29,,http://regnskaber.virk.dk/61378503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q4LzllLzA1Lzk3LzZhNWQtNDAwMC05YTBjLTdiNzUxNTYzMDU1OQ.pdf,http://regnskaber.virk.dk/61378503/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2U3L2M1LzNlL2QwYTktNGQ4NS04ZGUzLWM0NzU4NzdlMjU1Yg.xml,2000 Frederiksberg,StÃ¦gers AllÃ© 20,2000 Frederiksberg,StÃ¦gers AllÃ© 20,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",2015-05-27,2007-04-01,2015-05-29,Andre eksterne omkostninger,30587316.0,30587316.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Asunto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lui Kastrup,Lui Kastrup,Asunto ApS,Asunto ApS,,,Frederiksberg,-250.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederiksberg,2014-12-31,2014-01-01,,Ingen bistand,urn:ofk:oid:5442443,indberetninger-20180424,2.5118417999999996,30587316.0,,2018-03-30T12:42:56.964Z,2015-06-03T21:23:09.626Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-11-SX,2015-06-03T21:23:09.678Z,,,,,,,,,,,,,,
