entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccumulatedImpairmentLossesAndDepreciationOfInvestments,AdditionsToInvestments,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,DescriptionOfAuditor,DisposalsOfInvestments,FaxNumberOfReportingEntity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnClassesOfIssuedShares,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,ProfitLoss,ProfitLossRelatedToInvestments,RegisteredOfficeOfReportingEntity,RelatedEntityLegalForm,RelatedEntityName,RelatedEntityRegisteredOffice,ReportingPeriodEndDate,ReportingPeriodStartDate,ShareHeldByEntityOrConsolidatedEnterprisesInRelatedEntity,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TitleOfMemberOfSupervisoryBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,CurrentTaxExpense,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprises,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,OtherInterestIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,TaxExpenseOnOrdinaryActivities,Assets,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTaxReceivables,AccumulatedRevaluationsOfInvestments,InvestmentsGross,NameAndSurnameOfMemberOfSupervisoryBoard
52482518,2013-01-01,2013-12-31,c183,http://regnskaber.virk.dk/81528425/Y3ZyLmRrOi8vcGRmcy81MjQ4MjUxODtBL1M2MDYxMzsyMDE0MDEwMTsyMDE0MTIzMTtSO1I.pdf,http://regnskaber.virk.dk/81528425/Y3ZyLmRrOi8veGJybHMvWC1EMzEwMTJEMi0yMDE1MDMyNl8xNjMyNDhfMjkz.xml,0.0,0.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,SÃ¸borg,2860.0,10.0,Transformervej,2860 SÃ¸borg,Transformervej 10,Regnskabsklasse B,2015-03-09,2015-03-09,2015-03-09,statsautoriseret revisor,0.0,44501199.0,52482518.0,52482518.0,Aktiekapitalen bestÃ¥r af 30.000 stk. a-aktier med en nominiel vÃ¦rdi Ã¡ kr. 500.,Ãrsrapport,Robert Christensen,Dennis Wager,Peter Hellerung Christiansen,Danske Bank,Ejendomsselskabet Transformervej 10 A/S,Ejendomsselskabet Transformervej 10 A/S,"SÃ¸borg, den",-7798000.0,20000.0,Gladsaxe,A/S,Handelsselskabet Transformervej 10 A/S,SÃ¸borg,2014-12-31,2014-01-01,100.0,2015-03-09,"KÃ¸benhavn, den",44501100.0,formand,RevisionspÃ¥tegning,urn:ofk:oid:18790016,indberetninger-20180424,2.5124211,52482518.0,,2018-03-30T20:12:52.384Z,2015-03-26T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-16.689,2015-03-26T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52482518,2013-01-01,2013-12-31,c195,http://regnskaber.virk.dk/81528425/Y3ZyLmRrOi8vcGRmcy81MjQ4MjUxODtBL1M2MDYxMzsyMDE0MDEwMTsyMDE0MTIzMTtSO1I.pdf,http://regnskaber.virk.dk/81528425/Y3ZyLmRrOi8veGJybHMvWC1EMzEwMTJEMi0yMDE1MDMyNl8xNjMyNDhfMjkz.xml,0.0,0.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,SÃ¸borg,2860.0,10.0,Transformervej,2860 SÃ¸borg,Transformervej 10,Regnskabsklasse B,2015-03-09,2015-03-09,2015-03-09,statsautoriseret revisor,0.0,44501199.0,52482518.0,52482518.0,Aktiekapitalen bestÃ¥r af 30.000 stk. a-aktier med en nominiel vÃ¦rdi Ã¡ kr. 500.,Ãrsrapport,Robert Christensen,Dennis Wager,Peter Hellerung Christiansen,Danske Bank,Ejendomsselskabet Transformervej 10 A/S,Ejendomsselskabet Transformervej 10 A/S,"SÃ¸borg, den",-50000.0,20000.0,Gladsaxe,A/S,Handelsselskabet Transformervej 10 A/S,SÃ¸borg,2014-12-31,2014-01-01,100.0,2015-03-09,"KÃ¸benhavn, den",44501100.0,formand,RevisionspÃ¥tegning,urn:ofk:oid:18790016,indberetninger-20180424,2.5124211,52482518.0,,2018-03-30T20:12:52.384Z,2015-03-26T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-16.689,2015-03-26T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52482518,2013-01-01,2013-12-31,c4,http://regnskaber.virk.dk/81528425/Y3ZyLmRrOi8vcGRmcy81MjQ4MjUxODtBL1M2MDYxMzsyMDE0MDEwMTsyMDE0MTIzMTtSO1I.pdf,http://regnskaber.virk.dk/81528425/Y3ZyLmRrOi8veGJybHMvWC1EMzEwMTJEMi0yMDE1MDMyNl8xNjMyNDhfMjkz.xml,0.0,0.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,SÃ¸borg,2860.0,10.0,Transformervej,2860 SÃ¸borg,Transformervej 10,Regnskabsklasse B,2015-03-09,2015-03-09,2015-03-09,statsautoriseret revisor,0.0,44501199.0,52482518.0,52482518.0,Aktiekapitalen bestÃ¥r af 30.000 stk. a-aktier med en nominiel vÃ¦rdi Ã¡ kr. 500.,Ãrsrapport,Robert Christensen,Dennis Wager,Peter Hellerung Christiansen,Danske Bank,Ejendomsselskabet Transformervej 10 A/S,Ejendomsselskabet Transformervej 10 A/S,"SÃ¸borg, den",-7848000.0,20000.0,Gladsaxe,A/S,Handelsselskabet Transformervej 10 A/S,SÃ¸borg,2014-12-31,2014-01-01,100.0,2015-03-09,"KÃ¸benhavn, den",44501100.0,formand,RevisionspÃ¥tegning,urn:ofk:oid:18790016,indberetninger-20180424,2.5124211,52482518.0,,2018-03-30T20:12:52.384Z,2015-03-26T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-16.689,2015-03-26T23:00:00.000Z,-17000.0,-10000.0,-7798000.0,57000.0,0.0,57000.0,0.0,-7865000.0,-17000.0,,,,,,,,,,,,,,,,,,,,
52482518,2013-12-31,2013-12-31,c5,http://regnskaber.virk.dk/81528425/Y3ZyLmRrOi8vcGRmcy81MjQ4MjUxODtBL1M2MDYxMzsyMDE0MDEwMTsyMDE0MTIzMTtSO1I.pdf,http://regnskaber.virk.dk/81528425/Y3ZyLmRrOi8veGJybHMvWC1EMzEwMTJEMi0yMDE1MDMyNl8xNjMyNDhfMjkz.xml,0.0,0.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,SÃ¸borg,2860.0,10.0,Transformervej,2860 SÃ¸borg,Transformervej 10,Regnskabsklasse B,2015-03-09,2015-03-09,2015-03-09,statsautoriseret revisor,0.0,44501199.0,52482518.0,52482518.0,Aktiekapitalen bestÃ¥r af 30.000 stk. a-aktier med en nominiel vÃ¦rdi Ã¡ kr. 500.,Ãrsrapport,Robert Christensen,Dennis Wager,Peter Hellerung Christiansen,Danske Bank,Ejendomsselskabet Transformervej 10 A/S,Ejendomsselskabet Transformervej 10 A/S,"SÃ¸borg, den",,20000.0,Gladsaxe,A/S,Handelsselskabet Transformervej 10 A/S,SÃ¸borg,2014-12-31,2014-01-01,100.0,2015-03-09,"KÃ¸benhavn, den",44501100.0,formand,RevisionspÃ¥tegning,urn:ofk:oid:18790016,indberetninger-20180424,2.5124211,52482518.0,,2018-03-30T20:12:52.384Z,2015-03-26T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-16.689,2015-03-26T23:00:00.000Z,,,,,,,,,,19250000.0,15000000.0,20000.0,16612000.0,19250000.0,2638000.0,19230000.0,19230000.0,19230000.0,10000.0,3000.0,3822000.0,-2210000.0,2638000.0,2628000.0,20000.0,17000.0,,,
52482518,2014-01-01,2014-01-01,c261,http://regnskaber.virk.dk/81528425/Y3ZyLmRrOi8vcGRmcy81MjQ4MjUxODtBL1M2MDYxMzsyMDE0MDEwMTsyMDE0MTIzMTtSO1I.pdf,http://regnskaber.virk.dk/81528425/Y3ZyLmRrOi8veGJybHMvWC1EMzEwMTJEMi0yMDE1MDMyNl8xNjMyNDhfMjkz.xml,0.0,0.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,SÃ¸borg,2860.0,10.0,Transformervej,2860 SÃ¸borg,Transformervej 10,Regnskabsklasse B,2015-03-09,2015-03-09,2015-03-09,statsautoriseret revisor,0.0,44501199.0,52482518.0,52482518.0,Aktiekapitalen bestÃ¥r af 30.000 stk. a-aktier med en nominiel vÃ¦rdi Ã¡ kr. 500.,Ãrsrapport,Robert Christensen,Dennis Wager,Peter Hellerung Christiansen,Danske Bank,Ejendomsselskabet Transformervej 10 A/S,Ejendomsselskabet Transformervej 10 A/S,"SÃ¸borg, den",,20000.0,Gladsaxe,A/S,Handelsselskabet Transformervej 10 A/S,SÃ¸borg,2014-12-31,2014-01-01,100.0,2015-03-09,"KÃ¸benhavn, den",44501100.0,formand,RevisionspÃ¥tegning,urn:ofk:oid:18790016,indberetninger-20180424,2.5124211,52482518.0,,2018-03-30T20:12:52.384Z,2015-03-26T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-16.689,2015-03-26T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,3822000.0,15408000.0,
52482518,2014-01-01,2014-01-01,c312,http://regnskaber.virk.dk/81528425/Y3ZyLmRrOi8vcGRmcy81MjQ4MjUxODtBL1M2MDYxMzsyMDE0MDEwMTsyMDE0MTIzMTtSO1I.pdf,http://regnskaber.virk.dk/81528425/Y3ZyLmRrOi8veGJybHMvWC1EMzEwMTJEMi0yMDE1MDMyNl8xNjMyNDhfMjkz.xml,0.0,0.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,SÃ¸borg,2860.0,10.0,Transformervej,2860 SÃ¸borg,Transformervej 10,Regnskabsklasse B,2015-03-09,2015-03-09,2015-03-09,statsautoriseret revisor,0.0,44501199.0,52482518.0,52482518.0,Aktiekapitalen bestÃ¥r af 30.000 stk. a-aktier med en nominiel vÃ¦rdi Ã¡ kr. 500.,Ãrsrapport,Robert Christensen,Dennis Wager,Peter Hellerung Christiansen,Danske Bank,Ejendomsselskabet Transformervej 10 A/S,Ejendomsselskabet Transformervej 10 A/S,"SÃ¸borg, den",,20000.0,Gladsaxe,A/S,Handelsselskabet Transformervej 10 A/S,SÃ¸borg,2014-12-31,2014-01-01,100.0,2015-03-09,"KÃ¸benhavn, den",44501100.0,formand,RevisionspÃ¥tegning,urn:ofk:oid:18790016,indberetninger-20180424,2.5124211,52482518.0,,2018-03-30T20:12:52.384Z,2015-03-26T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-16.689,2015-03-26T23:00:00.000Z,,,,,,,,,,,,,15000000.0,,,,,,,,,,,,,,,,
52482518,2014-01-01,2014-01-01,c339,http://regnskaber.virk.dk/81528425/Y3ZyLmRrOi8vcGRmcy81MjQ4MjUxODtBL1M2MDYxMzsyMDE0MDEwMTsyMDE0MTIzMTtSO1I.pdf,http://regnskaber.virk.dk/81528425/Y3ZyLmRrOi8veGJybHMvWC1EMzEwMTJEMi0yMDE1MDMyNl8xNjMyNDhfMjkz.xml,0.0,0.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,SÃ¸borg,2860.0,10.0,Transformervej,2860 SÃ¸borg,Transformervej 10,Regnskabsklasse B,2015-03-09,2015-03-09,2015-03-09,statsautoriseret revisor,0.0,44501199.0,52482518.0,52482518.0,Aktiekapitalen bestÃ¥r af 30.000 stk. a-aktier med en nominiel vÃ¦rdi Ã¡ kr. 500.,Ãrsrapport,Robert Christensen,Dennis Wager,Peter Hellerung Christiansen,Danske Bank,Ejendomsselskabet Transformervej 10 A/S,Ejendomsselskabet Transformervej 10 A/S,"SÃ¸borg, den",,20000.0,Gladsaxe,A/S,Handelsselskabet Transformervej 10 A/S,SÃ¸borg,2014-12-31,2014-01-01,100.0,2015-03-09,"KÃ¸benhavn, den",44501100.0,formand,RevisionspÃ¥tegning,urn:ofk:oid:18790016,indberetninger-20180424,2.5124211,52482518.0,,2018-03-30T20:12:52.384Z,2015-03-26T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-16.689,2015-03-26T23:00:00.000Z,,,,,,,,,,,,,3822000.0,,,,,,,,,,,,,,,,
52482518,2014-01-01,2014-01-01,c351,http://regnskaber.virk.dk/81528425/Y3ZyLmRrOi8vcGRmcy81MjQ4MjUxODtBL1M2MDYxMzsyMDE0MDEwMTsyMDE0MTIzMTtSO1I.pdf,http://regnskaber.virk.dk/81528425/Y3ZyLmRrOi8veGJybHMvWC1EMzEwMTJEMi0yMDE1MDMyNl8xNjMyNDhfMjkz.xml,0.0,0.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,SÃ¸borg,2860.0,10.0,Transformervej,2860 SÃ¸borg,Transformervej 10,Regnskabsklasse B,2015-03-09,2015-03-09,2015-03-09,statsautoriseret revisor,0.0,44501199.0,52482518.0,52482518.0,Aktiekapitalen bestÃ¥r af 30.000 stk. a-aktier med en nominiel vÃ¦rdi Ã¡ kr. 500.,Ãrsrapport,Robert Christensen,Dennis Wager,Peter Hellerung Christiansen,Danske Bank,Ejendomsselskabet Transformervej 10 A/S,Ejendomsselskabet Transformervej 10 A/S,"SÃ¸borg, den",,20000.0,Gladsaxe,A/S,Handelsselskabet Transformervej 10 A/S,SÃ¸borg,2014-12-31,2014-01-01,100.0,2015-03-09,"KÃ¸benhavn, den",44501100.0,formand,RevisionspÃ¥tegning,urn:ofk:oid:18790016,indberetninger-20180424,2.5124211,52482518.0,,2018-03-30T20:12:52.384Z,2015-03-26T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-16.689,2015-03-26T23:00:00.000Z,,,,,,,,,,,,,-2210000.0,,,,,,,,,,,,,,,,
52482518,2014-01-01,2014-12-31,c1,http://regnskaber.virk.dk/81528425/Y3ZyLmRrOi8vcGRmcy81MjQ4MjUxODtBL1M2MDYxMzsyMDE0MDEwMTsyMDE0MTIzMTtSO1I.pdf,http://regnskaber.virk.dk/81528425/Y3ZyLmRrOi8veGJybHMvWC1EMzEwMTJEMi0yMDE1MDMyNl8xNjMyNDhfMjkz.xml,0.0,0.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,SÃ¸borg,2860.0,10.0,Transformervej,2860 SÃ¸borg,Transformervej 10,Regnskabsklasse B,2015-03-09,2015-03-09,2015-03-09,statsautoriseret revisor,0.0,44501199.0,52482518.0,52482518.0,Aktiekapitalen bestÃ¥r af 30.000 stk. a-aktier med en nominiel vÃ¦rdi Ã¡ kr. 500.,Ãrsrapport,Robert Christensen,Dennis Wager,Peter Hellerung Christiansen,Danske Bank,Ejendomsselskabet Transformervej 10 A/S,Ejendomsselskabet Transformervej 10 A/S,"SÃ¸borg, den",-30000.0,20000.0,Gladsaxe,A/S,Handelsselskabet Transformervej 10 A/S,SÃ¸borg,2014-12-31,2014-01-01,100.0,2015-03-09,"KÃ¸benhavn, den",44501100.0,formand,RevisionspÃ¥tegning,urn:ofk:oid:18790016,indberetninger-20180424,2.5124211,52482518.0,,2018-03-30T20:12:52.384Z,2015-03-26T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-16.689,2015-03-26T23:00:00.000Z,-17000.0,-10000.0,20000.0,58000.0,1000.0,58000.0,1000.0,-47000.0,-17000.0,,,,,,,,,,,,,,,,,,,,
52482518,2014-01-01,2014-12-31,c106,http://regnskaber.virk.dk/81528425/Y3ZyLmRrOi8vcGRmcy81MjQ4MjUxODtBL1M2MDYxMzsyMDE0MDEwMTsyMDE0MTIzMTtSO1I.pdf,http://regnskaber.virk.dk/81528425/Y3ZyLmRrOi8veGJybHMvWC1EMzEwMTJEMi0yMDE1MDMyNl8xNjMyNDhfMjkz.xml,0.0,0.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,SÃ¸borg,2860.0,10.0,Transformervej,2860 SÃ¸borg,Transformervej 10,Regnskabsklasse B,2015-03-09,2015-03-09,2015-03-09,statsautoriseret revisor,0.0,44501199.0,52482518.0,52482518.0,Aktiekapitalen bestÃ¥r af 30.000 stk. a-aktier med en nominiel vÃ¦rdi Ã¡ kr. 500.,Ãrsrapport,Robert Christensen,Dennis Wager,Peter Hellerung Christiansen,Danske Bank,Ejendomsselskabet Transformervej 10 A/S,Ejendomsselskabet Transformervej 10 A/S,"SÃ¸borg, den",,20000.0,Gladsaxe,A/S,Handelsselskabet Transformervej 10 A/S,SÃ¸borg,2014-12-31,2014-01-01,100.0,2015-03-09,"KÃ¸benhavn, den",44501100.0,formand,RevisionspÃ¥tegning,urn:ofk:oid:18790016,indberetninger-20180424,2.5124211,52482518.0,,2018-03-30T20:12:52.384Z,2015-03-26T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-16.689,2015-03-26T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
