entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfReportingEntity,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,InvestmentProperty,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToBanks,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermDebtToBanks,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromOwnersAndManagement,ShorttermTaxReceivables,ShorttermTradePayables
entity identifier,2011-01-01,2011-12-31,ID_11,http://regnskaber.virk.dk/15358403/Y3ZyLmRrOi8vcGRmcy8zMDQ4NTM1MTtBcFMzOTgyMjk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/15358403/Y3ZyLmRrOi8veGJybHMvWC1GQzYxQ0RDRi0yMDEzMDIxOV8xMDQ3MTNfNTc2.xml,"Hedensted, 8722",Bredalvej 61C,"Vejle, 7100",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2007-03-28,2013-02-19,30485351.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Questus ApS.,Ãrsrapport,SÃ¸ren Kahr,Thomas Madsen,Thomas Madsen,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Questus ApS,"ReviPartner, Vejle",96600.0,"Hedensted, 766",2012-12-31,2012-01-01,2013-01-28,Vejle,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",urn:ofk:oid:18355855,indberetninger-20180424,2.5116591,30485351.0,,2018-04-01T16:40:29.032Z,2013-02-19T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-98.642,2013-02-19T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_13,http://regnskaber.virk.dk/15358403/Y3ZyLmRrOi8vcGRmcy8zMDQ4NTM1MTtBcFMzOTgyMjk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/15358403/Y3ZyLmRrOi8veGJybHMvWC1GQzYxQ0RDRi0yMDEzMDIxOV8xMDQ3MTNfNTc2.xml,"Hedensted, 8722",Bredalvej 61C,"Vejle, 7100",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2007-03-28,2013-02-19,30485351.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Questus ApS.,Ãrsrapport,SÃ¸ren Kahr,Thomas Madsen,Thomas Madsen,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Questus ApS,"ReviPartner, Vejle",-216693.0,"Hedensted, 766",2012-12-31,2012-01-01,2013-01-28,Vejle,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",urn:ofk:oid:18355855,indberetninger-20180424,2.5116591,30485351.0,,2018-04-01T16:40:29.032Z,2013-02-19T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-98.642,2013-02-19T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_15,http://regnskaber.virk.dk/15358403/Y3ZyLmRrOi8vcGRmcy8zMDQ4NTM1MTtBcFMzOTgyMjk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/15358403/Y3ZyLmRrOi8veGJybHMvWC1GQzYxQ0RDRi0yMDEzMDIxOV8xMDQ3MTNfNTc2.xml,"Hedensted, 8722",Bredalvej 61C,"Vejle, 7100",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2007-03-28,2013-02-19,30485351.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Questus ApS.,Ãrsrapport,SÃ¸ren Kahr,Thomas Madsen,Thomas Madsen,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Questus ApS,"ReviPartner, Vejle",-120093.0,"Hedensted, 766",2012-12-31,2012-01-01,2013-01-28,Vejle,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",urn:ofk:oid:18355855,indberetninger-20180424,2.5116591,30485351.0,,2018-04-01T16:40:29.032Z,2013-02-19T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-98.642,2013-02-19T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_9,http://regnskaber.virk.dk/15358403/Y3ZyLmRrOi8vcGRmcy8zMDQ4NTM1MTtBcFMzOTgyMjk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/15358403/Y3ZyLmRrOi8veGJybHMvWC1GQzYxQ0RDRi0yMDEzMDIxOV8xMDQ3MTNfNTc2.xml,"Hedensted, 8722",Bredalvej 61C,"Vejle, 7100",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2007-03-28,2013-02-19,30485351.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Questus ApS.,Ãrsrapport,SÃ¸ren Kahr,Thomas Madsen,Thomas Madsen,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Questus ApS,"ReviPartner, Vejle",120093.0,"Hedensted, 766",2012-12-31,2012-01-01,2013-01-28,Vejle,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",urn:ofk:oid:18355855,indberetninger-20180424,2.5116591,30485351.0,,2018-04-01T16:40:29.032Z,2013-02-19T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-98.642,2013-02-19T23:00:00.000Z,4404.0,0.0,-75653.0,241505.0,-10442.0,159814.0,-71249.0,-39721.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-12-31,2011-12-31,ID_17,http://regnskaber.virk.dk/15358403/Y3ZyLmRrOi8vcGRmcy8zMDQ4NTM1MTtBcFMzOTgyMjk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/15358403/Y3ZyLmRrOi8veGJybHMvWC1GQzYxQ0RDRi0yMDEzMDIxOV8xMDQ3MTNfNTc2.xml,"Hedensted, 8722",Bredalvej 61C,"Vejle, 7100",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2007-03-28,2013-02-19,30485351.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Questus ApS.,Ãrsrapport,SÃ¸ren Kahr,Thomas Madsen,Thomas Madsen,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Questus ApS,"ReviPartner, Vejle",,"Hedensted, 766",2012-12-31,2012-01-01,2013-01-28,Vejle,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",urn:ofk:oid:18355855,indberetninger-20180424,2.5116591,30485351.0,,2018-04-01T16:40:29.032Z,2013-02-19T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-98.642,2013-02-19T23:00:00.000Z,,,,,,,,,11608077.0,3060112.0,-125000.0,3084447.0,-2634106.0,23630.0,8500000.0,-11608077.0,-8420371.0,-5080218.0,-8080218.0,-3000000.0,8523630.0,-193032.0,4335.0,8523630.0,-96600.0,-553600.0,-553600.0,-2412506.0,0.0,-127121.0,-340153.0,24335.0,0.0,20000.0,-20000.0
entity identifier,2012-01-01,2012-12-31,ID_0,http://regnskaber.virk.dk/15358403/Y3ZyLmRrOi8vcGRmcy8zMDQ4NTM1MTtBcFMzOTgyMjk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/15358403/Y3ZyLmRrOi8veGJybHMvWC1GQzYxQ0RDRi0yMDEzMDIxOV8xMDQ3MTNfNTc2.xml,"Hedensted, 8722",Bredalvej 61C,"Vejle, 7100",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2007-03-28,2013-02-19,30485351.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Questus ApS.,Ãrsrapport,SÃ¸ren Kahr,Thomas Madsen,Thomas Madsen,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Questus ApS,"ReviPartner, Vejle",,"Hedensted, 766",2012-12-31,2012-01-01,2013-01-28,Vejle,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",urn:ofk:oid:18355855,indberetninger-20180424,2.5116591,30485351.0,,2018-04-01T16:40:29.032Z,2013-02-19T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-98.642,2013-02-19T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_1,http://regnskaber.virk.dk/15358403/Y3ZyLmRrOi8vcGRmcy8zMDQ4NTM1MTtBcFMzOTgyMjk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/15358403/Y3ZyLmRrOi8veGJybHMvWC1GQzYxQ0RDRi0yMDEzMDIxOV8xMDQ3MTNfNTc2.xml,"Hedensted, 8722",Bredalvej 61C,"Vejle, 7100",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2007-03-28,2013-02-19,30485351.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Questus ApS.,Ãrsrapport,SÃ¸ren Kahr,Thomas Madsen,Thomas Madsen,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Questus ApS,"ReviPartner, Vejle",,"Hedensted, 766",2012-12-31,2012-01-01,2013-01-28,Vejle,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",urn:ofk:oid:18355855,indberetninger-20180424,2.5116591,30485351.0,,2018-04-01T16:40:29.032Z,2013-02-19T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-98.642,2013-02-19T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_10,http://regnskaber.virk.dk/15358403/Y3ZyLmRrOi8vcGRmcy8zMDQ4NTM1MTtBcFMzOTgyMjk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/15358403/Y3ZyLmRrOi8veGJybHMvWC1GQzYxQ0RDRi0yMDEzMDIxOV8xMDQ3MTNfNTc2.xml,"Hedensted, 8722",Bredalvej 61C,"Vejle, 7100",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2007-03-28,2013-02-19,30485351.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Questus ApS.,Ãrsrapport,SÃ¸ren Kahr,Thomas Madsen,Thomas Madsen,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Questus ApS,"ReviPartner, Vejle",96600.0,"Hedensted, 766",2012-12-31,2012-01-01,2013-01-28,Vejle,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",urn:ofk:oid:18355855,indberetninger-20180424,2.5116591,30485351.0,,2018-04-01T16:40:29.032Z,2013-02-19T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-98.642,2013-02-19T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_12,http://regnskaber.virk.dk/15358403/Y3ZyLmRrOi8vcGRmcy8zMDQ4NTM1MTtBcFMzOTgyMjk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/15358403/Y3ZyLmRrOi8veGJybHMvWC1GQzYxQ0RDRi0yMDEzMDIxOV8xMDQ3MTNfNTc2.xml,"Hedensted, 8722",Bredalvej 61C,"Vejle, 7100",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2007-03-28,2013-02-19,30485351.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Questus ApS.,Ãrsrapport,SÃ¸ren Kahr,Thomas Madsen,Thomas Madsen,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Questus ApS,"ReviPartner, Vejle",-103526.0,"Hedensted, 766",2012-12-31,2012-01-01,2013-01-28,Vejle,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",urn:ofk:oid:18355855,indberetninger-20180424,2.5116591,30485351.0,,2018-04-01T16:40:29.032Z,2013-02-19T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-98.642,2013-02-19T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_14,http://regnskaber.virk.dk/15358403/Y3ZyLmRrOi8vcGRmcy8zMDQ4NTM1MTtBcFMzOTgyMjk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/15358403/Y3ZyLmRrOi8veGJybHMvWC1GQzYxQ0RDRi0yMDEzMDIxOV8xMDQ3MTNfNTc2.xml,"Hedensted, 8722",Bredalvej 61C,"Vejle, 7100",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2007-03-28,2013-02-19,30485351.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Questus ApS.,Ãrsrapport,SÃ¸ren Kahr,Thomas Madsen,Thomas Madsen,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Questus ApS,"ReviPartner, Vejle",-6926.0,"Hedensted, 766",2012-12-31,2012-01-01,2013-01-28,Vejle,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",urn:ofk:oid:18355855,indberetninger-20180424,2.5116591,30485351.0,,2018-04-01T16:40:29.032Z,2013-02-19T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-98.642,2013-02-19T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
