entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AdditionsToInvestments,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfEquity,Equity,ExtraordinaryDividendPaid,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecognisedButNotOwnedAssets,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,Dividend,GrossProfitLoss,IncomeFromOtherLongtermInvestmentsAndReceivables,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ValueAdjustmentsOfEquity,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermTradePayables,InvestmentsGross,AddressOfAuditorCountry,EmailOfAuditor,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberOfAuditor,NameAndSurnameOfAuditor,NameOfAuditFirm,TelephoneNumberOfAuditor
31607485,2017-01-01,2017-01-01,c704,,http://regnskaber.virk.dk/58470613/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzcyL2VjLzIzLzgyYmYtNDQ0YS1iZmVhLTIwYWQyMDZkOGJlMA.pdf,http://regnskaber.virk.dk/58470613/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzI3L2FiL2I4Lzc0NWMtNDNlMy04NGFmLTMxMWQ1OTg5MTYyMw.xml,54311.0,Charlottenlund,2920.0,"37, 3. th",JÃ¦gersborg Alle,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-06-19,2019-06-19,2019-06-19,Egenkapital,125000.0,500000.0,31607485.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for VC1943 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Tue HÃ¸ilund-Carlsen,Tue HÃ¸ilund-Carlsen,VC1943 ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Charlottenlund,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-06-19,KÃ¸benhavn,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27572551,indberetninger-20180424,2.5118406,31607485.0,AWuEzqSCjptzAuyFiuCa,2019-06-23T14:48:12.145Z,2019-06-23T14:47:42.833Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-40-XY,2019-06-23T14:47:43.025Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31607485,2017-01-01,2017-01-01,c725,,http://regnskaber.virk.dk/58470613/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzcyL2VjLzIzLzgyYmYtNDQ0YS1iZmVhLTIwYWQyMDZkOGJlMA.pdf,http://regnskaber.virk.dk/58470613/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzI3L2FiL2I4Lzc0NWMtNDNlMy04NGFmLTMxMWQ1OTg5MTYyMw.xml,54311.0,Charlottenlund,2920.0,"37, 3. th",JÃ¦gersborg Alle,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-06-19,2019-06-19,2019-06-19,Egenkapital,619000.0,500000.0,31607485.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for VC1943 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Tue HÃ¸ilund-Carlsen,Tue HÃ¸ilund-Carlsen,VC1943 ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Charlottenlund,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-06-19,KÃ¸benhavn,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27572551,indberetninger-20180424,2.5118406,31607485.0,AWuEzqSCjptzAuyFiuCa,2019-06-23T14:48:12.145Z,2019-06-23T14:47:42.833Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-40-XY,2019-06-23T14:47:43.025Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31607485,2017-01-01,2017-12-31,c106,,http://regnskaber.virk.dk/58470613/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzcyL2VjLzIzLzgyYmYtNDQ0YS1iZmVhLTIwYWQyMDZkOGJlMA.pdf,http://regnskaber.virk.dk/58470613/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzI3L2FiL2I4Lzc0NWMtNDNlMy04NGFmLTMxMWQ1OTg5MTYyMw.xml,54311.0,Charlottenlund,2920.0,"37, 3. th",JÃ¦gersborg Alle,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-06-19,2019-06-19,2019-06-19,Egenkapital,,500000.0,31607485.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for VC1943 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Tue HÃ¸ilund-Carlsen,Tue HÃ¸ilund-Carlsen,VC1943 ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Charlottenlund,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-06-19,KÃ¸benhavn,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27572551,indberetninger-20180424,2.5118406,31607485.0,AWuEzqSCjptzAuyFiuCa,2019-06-23T14:48:12.145Z,2019-06-23T14:47:42.833Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-40-XY,2019-06-23T14:47:43.025Z,80000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31607485,2017-01-01,2017-12-31,c120,,http://regnskaber.virk.dk/58470613/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzcyL2VjLzIzLzgyYmYtNDQ0YS1iZmVhLTIwYWQyMDZkOGJlMA.pdf,http://regnskaber.virk.dk/58470613/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzI3L2FiL2I4Lzc0NWMtNDNlMy04NGFmLTMxMWQ1OTg5MTYyMw.xml,54311.0,Charlottenlund,2920.0,"37, 3. th",JÃ¦gersborg Alle,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-06-19,2019-06-19,2019-06-19,Egenkapital,,500000.0,31607485.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for VC1943 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Tue HÃ¸ilund-Carlsen,Tue HÃ¸ilund-Carlsen,VC1943 ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Charlottenlund,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-06-19,KÃ¸benhavn,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27572551,indberetninger-20180424,2.5118406,31607485.0,AWuEzqSCjptzAuyFiuCa,2019-06-23T14:48:12.145Z,2019-06-23T14:47:42.833Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-40-XY,2019-06-23T14:47:43.025Z,902000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31607485,2017-01-01,2017-12-31,c2003,,http://regnskaber.virk.dk/58470613/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzcyL2VjLzIzLzgyYmYtNDQ0YS1iZmVhLTIwYWQyMDZkOGJlMA.pdf,http://regnskaber.virk.dk/58470613/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzI3L2FiL2I4Lzc0NWMtNDNlMy04NGFmLTMxMWQ1OTg5MTYyMw.xml,54311.0,Charlottenlund,2920.0,"37, 3. th",JÃ¦gersborg Alle,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-06-19,2019-06-19,2019-06-19,Egenkapital,,500000.0,31607485.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for VC1943 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Tue HÃ¸ilund-Carlsen,Tue HÃ¸ilund-Carlsen,VC1943 ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Charlottenlund,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-06-19,KÃ¸benhavn,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27572551,indberetninger-20180424,2.5118406,31607485.0,AWuEzqSCjptzAuyFiuCa,2019-06-23T14:48:12.145Z,2019-06-23T14:47:42.833Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-40-XY,2019-06-23T14:47:43.025Z,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31607485,2017-01-01,2017-12-31,c3,,http://regnskaber.virk.dk/58470613/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzcyL2VjLzIzLzgyYmYtNDQ0YS1iZmVhLTIwYWQyMDZkOGJlMA.pdf,http://regnskaber.virk.dk/58470613/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzI3L2FiL2I4Lzc0NWMtNDNlMy04NGFmLTMxMWQ1OTg5MTYyMw.xml,54311.0,Charlottenlund,2920.0,"37, 3. th",JÃ¦gersborg Alle,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-06-19,2019-06-19,2019-06-19,Egenkapital,,500000.0,31607485.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for VC1943 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Tue HÃ¸ilund-Carlsen,Tue HÃ¸ilund-Carlsen,VC1943 ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Charlottenlund,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-06-19,KÃ¸benhavn,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27572551,indberetninger-20180424,2.5118406,31607485.0,AWuEzqSCjptzAuyFiuCa,2019-06-23T14:48:12.145Z,2019-06-23T14:47:42.833Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-40-XY,2019-06-23T14:47:43.025Z,982000.0,,-15000.0,1039000.0,42000.0,982000.0,-15000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31607485,2017-01-01,2017-12-31,c411,,http://regnskaber.virk.dk/58470613/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzcyL2VjLzIzLzgyYmYtNDQ0YS1iZmVhLTIwYWQyMDZkOGJlMA.pdf,http://regnskaber.virk.dk/58470613/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzI3L2FiL2I4Lzc0NWMtNDNlMy04NGFmLTMxMWQ1OTg5MTYyMw.xml,54311.0,Charlottenlund,2920.0,"37, 3. th",JÃ¦gersborg Alle,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-06-19,2019-06-19,2019-06-19,Egenkapital,,500000.0,31607485.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for VC1943 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Tue HÃ¸ilund-Carlsen,Tue HÃ¸ilund-Carlsen,VC1943 ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Charlottenlund,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-06-19,KÃ¸benhavn,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27572551,indberetninger-20180424,2.5118406,31607485.0,AWuEzqSCjptzAuyFiuCa,2019-06-23T14:48:12.145Z,2019-06-23T14:47:42.833Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-40-XY,2019-06-23T14:47:43.025Z,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31607485,2017-01-01,2017-12-31,c726,,http://regnskaber.virk.dk/58470613/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzcyL2VjLzIzLzgyYmYtNDQ0YS1iZmVhLTIwYWQyMDZkOGJlMA.pdf,http://regnskaber.virk.dk/58470613/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzI3L2FiL2I4Lzc0NWMtNDNlMy04NGFmLTMxMWQ1OTg5MTYyMw.xml,54311.0,Charlottenlund,2920.0,"37, 3. th",JÃ¦gersborg Alle,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-06-19,2019-06-19,2019-06-19,Egenkapital,,500000.0,31607485.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for VC1943 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Tue HÃ¸ilund-Carlsen,Tue HÃ¸ilund-Carlsen,VC1943 ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Charlottenlund,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-06-19,KÃ¸benhavn,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27572551,indberetninger-20180424,2.5118406,31607485.0,AWuEzqSCjptzAuyFiuCa,2019-06-23T14:48:12.145Z,2019-06-23T14:47:42.833Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-40-XY,2019-06-23T14:47:43.025Z,943000.0,,,,,,,-41000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
31607485,2017-12-31,2017-12-31,c4,,http://regnskaber.virk.dk/58470613/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzcyL2VjLzIzLzgyYmYtNDQ0YS1iZmVhLTIwYWQyMDZkOGJlMA.pdf,http://regnskaber.virk.dk/58470613/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzI3L2FiL2I4Lzc0NWMtNDNlMy04NGFmLTMxMWQ1OTg5MTYyMw.xml,54311.0,Charlottenlund,2920.0,"37, 3. th",JÃ¦gersborg Alle,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-06-19,2019-06-19,2019-06-19,Egenkapital,1246000.0,500000.0,31607485.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for VC1943 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Tue HÃ¸ilund-Carlsen,Tue HÃ¸ilund-Carlsen,VC1943 ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Charlottenlund,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-06-19,KÃ¸benhavn,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27572551,indberetninger-20180424,2.5118406,31607485.0,AWuEzqSCjptzAuyFiuCa,2019-06-23T14:48:12.145Z,2019-06-23T14:47:42.833Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-40-XY,2019-06-23T14:47:43.025Z,,,,,,,,,1972000.0,42000.0,125000.0,42000.0,1972000.0,726000.0,1930000.0,1930000.0,1930000.0,717000.0,80000.0,1041000.0,726000.0,9000.0,,,,,,,,,,,,,
31607485,2017-12-31,2017-12-31,c706,,http://regnskaber.virk.dk/58470613/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzcyL2VjLzIzLzgyYmYtNDQ0YS1iZmVhLTIwYWQyMDZkOGJlMA.pdf,http://regnskaber.virk.dk/58470613/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzI3L2FiL2I4Lzc0NWMtNDNlMy04NGFmLTMxMWQ1OTg5MTYyMw.xml,54311.0,Charlottenlund,2920.0,"37, 3. th",JÃ¦gersborg Alle,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-06-19,2019-06-19,2019-06-19,Egenkapital,125000.0,500000.0,31607485.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for VC1943 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Tue HÃ¸ilund-Carlsen,Tue HÃ¸ilund-Carlsen,VC1943 ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Charlottenlund,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-06-19,KÃ¸benhavn,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27572551,indberetninger-20180424,2.5118406,31607485.0,AWuEzqSCjptzAuyFiuCa,2019-06-23T14:48:12.145Z,2019-06-23T14:47:42.833Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-40-XY,2019-06-23T14:47:43.025Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
