entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DividendPaid,ExternalExpenses,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermInvestments,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermTaxPayables,ShorttermTradePayables,NameOfAuditFirm,TypeOfAuditorAssistance
33044194,2017-07-01,2018-06-30,c175,,http://regnskaber.virk.dk/49144033/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2E5LzA0L2UwL2MzZjgtNDRjYy05MjcxLWFlZjJhMGM4M2JmMQ.pdf,http://regnskaber.virk.dk/49144033/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzNjLzgyL2Q1L2M5MDYtNGM3OS05ZjEzLWM5YWVhMjE5NGZiOA.xml,true,Kolding,6000.0,"8A, 7. sal",Kolding Ãpark,Kolding,6000.0,8H,Kolding Ãpark,6000 Kolding,GrÃ¸nholtparken 24,DK-6000 Kolding,"Kolding Ãpark 8A, 7. sal",Til kapitalejeren i Meier-LindstrÃ¸m ApS,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,44000.0,2019-07-03,2010-06-24,2019-07-03,Statsautoriseret revisor,-85000.0,38000.0,20222670.0,33044194.0,20222670.0,mne27707,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Meier-LindstrÃ¸m ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Wiese,Jens Meier-LindstrÃ¸m,Jens Meier-LindstrÃ¸m,Danske Bank,Meier-LindstrÃ¸m ApS,BDO Statsautoriseret revisionsaktieselskab,0.0,237000.0,Kolding,2017-07-01,2018-06-30,155000.0,199000.0,-38000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2019-06-30,2018-07-01,true,2019-07-03,Kolding,44000.0,urn:ofk:oid:27651164,indberetninger-20180424,2.5097342,33044194.0,AWu8YwQPIXJRhhXBLtDR,2019-07-04T09:49:19.056Z,2019-07-04T09:48:53.579Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BS-89-FY,2019-07-04T09:48:53.700Z,,,,,,,,,,,,,,,
33044194,2017-07-01,2018-06-30,c214,,http://regnskaber.virk.dk/49144033/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2E5LzA0L2UwL2MzZjgtNDRjYy05MjcxLWFlZjJhMGM4M2JmMQ.pdf,http://regnskaber.virk.dk/49144033/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzNjLzgyL2Q1L2M5MDYtNGM3OS05ZjEzLWM5YWVhMjE5NGZiOA.xml,true,Kolding,6000.0,"8A, 7. sal",Kolding Ãpark,Kolding,6000.0,8H,Kolding Ãpark,6000 Kolding,GrÃ¸nholtparken 24,DK-6000 Kolding,"Kolding Ãpark 8A, 7. sal",Til kapitalejeren i Meier-LindstrÃ¸m ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2019-07-03,2010-06-24,2019-07-03,Statsautoriseret revisor,-85000.0,,20222670.0,33044194.0,20222670.0,mne27707,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Meier-LindstrÃ¸m ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Wiese,Jens Meier-LindstrÃ¸m,Jens Meier-LindstrÃ¸m,Danske Bank,Meier-LindstrÃ¸m ApS,BDO Statsautoriseret revisionsaktieselskab,,,Kolding,2017-07-01,2018-06-30,70000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2019-06-30,2018-07-01,true,2019-07-03,Kolding,,urn:ofk:oid:27651164,indberetninger-20180424,2.5097342,33044194.0,AWu8YwQPIXJRhhXBLtDR,2019-07-04T09:49:19.056Z,2019-07-04T09:48:53.579Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BS-89-FY,2019-07-04T09:48:53.700Z,,,,,,,,,,,,,,,
33044194,2017-07-01,2018-06-30,c219,,http://regnskaber.virk.dk/49144033/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2E5LzA0L2UwL2MzZjgtNDRjYy05MjcxLWFlZjJhMGM4M2JmMQ.pdf,http://regnskaber.virk.dk/49144033/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzNjLzgyL2Q1L2M5MDYtNGM3OS05ZjEzLWM5YWVhMjE5NGZiOA.xml,true,Kolding,6000.0,"8A, 7. sal",Kolding Ãpark,Kolding,6000.0,8H,Kolding Ãpark,6000 Kolding,GrÃ¸nholtparken 24,DK-6000 Kolding,"Kolding Ãpark 8A, 7. sal",Til kapitalejeren i Meier-LindstrÃ¸m ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2019-07-03,2010-06-24,2019-07-03,Statsautoriseret revisor,-85000.0,,20222670.0,33044194.0,20222670.0,mne27707,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Meier-LindstrÃ¸m ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Wiese,Jens Meier-LindstrÃ¸m,Jens Meier-LindstrÃ¸m,Danske Bank,Meier-LindstrÃ¸m ApS,BDO Statsautoriseret revisionsaktieselskab,,,Kolding,2017-07-01,2018-06-30,85000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2019-06-30,2018-07-01,true,2019-07-03,Kolding,,urn:ofk:oid:27651164,indberetninger-20180424,2.5097342,33044194.0,AWu8YwQPIXJRhhXBLtDR,2019-07-04T09:49:19.056Z,2019-07-04T09:48:53.579Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BS-89-FY,2019-07-04T09:48:53.700Z,,,,,,,,,,,,,,,
33044194,2018-06-30,2018-06-30,c173,,http://regnskaber.virk.dk/49144033/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2E5LzA0L2UwL2MzZjgtNDRjYy05MjcxLWFlZjJhMGM4M2JmMQ.pdf,http://regnskaber.virk.dk/49144033/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzNjLzgyL2Q1L2M5MDYtNGM3OS05ZjEzLWM5YWVhMjE5NGZiOA.xml,true,Kolding,6000.0,"8A, 7. sal",Kolding Ãpark,Kolding,6000.0,8H,Kolding Ãpark,6000 Kolding,GrÃ¸nholtparken 24,DK-6000 Kolding,"Kolding Ãpark 8A, 7. sal",Til kapitalejeren i Meier-LindstrÃ¸m ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2019-07-03,2010-06-24,2019-07-03,Statsautoriseret revisor,-85000.0,,20222670.0,33044194.0,20222670.0,mne27707,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Meier-LindstrÃ¸m ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Wiese,Jens Meier-LindstrÃ¸m,Jens Meier-LindstrÃ¸m,Danske Bank,Meier-LindstrÃ¸m ApS,BDO Statsautoriseret revisionsaktieselskab,,,Kolding,2017-07-01,2018-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2019-06-30,2018-07-01,true,2019-07-03,Kolding,,urn:ofk:oid:27651164,indberetninger-20180424,2.5097342,33044194.0,AWu8YwQPIXJRhhXBLtDR,2019-07-04T09:49:19.056Z,2019-07-04T09:48:53.579Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BS-89-FY,2019-07-04T09:48:53.700Z,5545000.0,520000.0,80000.0,5435000.0,5545000.0,110000.0,5025000.0,85000.0,5270000.0,5025000.0,110000.0,104000.0,6000.0,,
33044194,2018-07-01,2018-07-01,c231,,http://regnskaber.virk.dk/49144033/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2E5LzA0L2UwL2MzZjgtNDRjYy05MjcxLWFlZjJhMGM4M2JmMQ.pdf,http://regnskaber.virk.dk/49144033/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzNjLzgyL2Q1L2M5MDYtNGM3OS05ZjEzLWM5YWVhMjE5NGZiOA.xml,true,Kolding,6000.0,"8A, 7. sal",Kolding Ãpark,Kolding,6000.0,8H,Kolding Ãpark,6000 Kolding,GrÃ¸nholtparken 24,DK-6000 Kolding,"Kolding Ãpark 8A, 7. sal",Til kapitalejeren i Meier-LindstrÃ¸m ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2019-07-03,2010-06-24,2019-07-03,Statsautoriseret revisor,-85000.0,,20222670.0,33044194.0,20222670.0,mne27707,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Meier-LindstrÃ¸m ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Wiese,Jens Meier-LindstrÃ¸m,Jens Meier-LindstrÃ¸m,Danske Bank,Meier-LindstrÃ¸m ApS,BDO Statsautoriseret revisionsaktieselskab,,,Kolding,2017-07-01,2018-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2019-06-30,2018-07-01,true,2019-07-03,Kolding,,urn:ofk:oid:27651164,indberetninger-20180424,2.5097342,33044194.0,AWu8YwQPIXJRhhXBLtDR,2019-07-04T09:49:19.056Z,2019-07-04T09:48:53.579Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BS-89-FY,2019-07-04T09:48:53.700Z,,,,80000.0,,,,,,,,,,,
33044194,2018-07-01,2018-07-01,c249,,http://regnskaber.virk.dk/49144033/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2E5LzA0L2UwL2MzZjgtNDRjYy05MjcxLWFlZjJhMGM4M2JmMQ.pdf,http://regnskaber.virk.dk/49144033/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzNjLzgyL2Q1L2M5MDYtNGM3OS05ZjEzLWM5YWVhMjE5NGZiOA.xml,true,Kolding,6000.0,"8A, 7. sal",Kolding Ãpark,Kolding,6000.0,8H,Kolding Ãpark,6000 Kolding,GrÃ¸nholtparken 24,DK-6000 Kolding,"Kolding Ãpark 8A, 7. sal",Til kapitalejeren i Meier-LindstrÃ¸m ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2019-07-03,2010-06-24,2019-07-03,Statsautoriseret revisor,-85000.0,,20222670.0,33044194.0,20222670.0,mne27707,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Meier-LindstrÃ¸m ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Wiese,Jens Meier-LindstrÃ¸m,Jens Meier-LindstrÃ¸m,Danske Bank,Meier-LindstrÃ¸m ApS,BDO Statsautoriseret revisionsaktieselskab,,,Kolding,2017-07-01,2018-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2019-06-30,2018-07-01,true,2019-07-03,Kolding,,urn:ofk:oid:27651164,indberetninger-20180424,2.5097342,33044194.0,AWu8YwQPIXJRhhXBLtDR,2019-07-04T09:49:19.056Z,2019-07-04T09:48:53.579Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BS-89-FY,2019-07-04T09:48:53.700Z,,,,5270281.0,,,,,,,,,,,
33044194,2018-07-01,2018-07-01,c255,,http://regnskaber.virk.dk/49144033/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2E5LzA0L2UwL2MzZjgtNDRjYy05MjcxLWFlZjJhMGM4M2JmMQ.pdf,http://regnskaber.virk.dk/49144033/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzNjLzgyL2Q1L2M5MDYtNGM3OS05ZjEzLWM5YWVhMjE5NGZiOA.xml,true,Kolding,6000.0,"8A, 7. sal",Kolding Ãpark,Kolding,6000.0,8H,Kolding Ãpark,6000 Kolding,GrÃ¸nholtparken 24,DK-6000 Kolding,"Kolding Ãpark 8A, 7. sal",Til kapitalejeren i Meier-LindstrÃ¸m ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2019-07-03,2010-06-24,2019-07-03,Statsautoriseret revisor,-85000.0,,20222670.0,33044194.0,20222670.0,mne27707,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Meier-LindstrÃ¸m ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Wiese,Jens Meier-LindstrÃ¸m,Jens Meier-LindstrÃ¸m,Danske Bank,Meier-LindstrÃ¸m ApS,BDO Statsautoriseret revisionsaktieselskab,,,Kolding,2017-07-01,2018-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2019-06-30,2018-07-01,true,2019-07-03,Kolding,,urn:ofk:oid:27651164,indberetninger-20180424,2.5097342,33044194.0,AWu8YwQPIXJRhhXBLtDR,2019-07-04T09:49:19.056Z,2019-07-04T09:48:53.579Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BS-89-FY,2019-07-04T09:48:53.700Z,,,,85000.0,,,,,,,,,,,
33044194,2018-07-01,2019-06-30,c174,,http://regnskaber.virk.dk/49144033/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2E5LzA0L2UwL2MzZjgtNDRjYy05MjcxLWFlZjJhMGM4M2JmMQ.pdf,http://regnskaber.virk.dk/49144033/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzNjLzgyL2Q1L2M5MDYtNGM3OS05ZjEzLWM5YWVhMjE5NGZiOA.xml,true,Kolding,6000.0,"8A, 7. sal",Kolding Ãpark,Kolding,6000.0,8H,Kolding Ãpark,6000 Kolding,GrÃ¸nholtparken 24,DK-6000 Kolding,"Kolding Ãpark 8A, 7. sal",Til kapitalejeren i Meier-LindstrÃ¸m ApS,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,100386.0,2019-07-03,2010-06-24,2019-07-03,Statsautoriseret revisor,-85000.0,38296.0,20222670.0,33044194.0,20222670.0,mne27707,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Meier-LindstrÃ¸m ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Wiese,Jens Meier-LindstrÃ¸m,Jens Meier-LindstrÃ¸m,Danske Bank,Meier-LindstrÃ¸m ApS,BDO Statsautoriseret revisionsaktieselskab,2567.0,494612.0,Kolding,2017-07-01,2018-06-30,353363.0,453749.0,-38296.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2019-06-30,2018-07-01,true,2019-07-03,Kolding,100386.0,urn:ofk:oid:27651164,indberetninger-20180424,2.5097342,33044194.0,AWu8YwQPIXJRhhXBLtDR,2019-07-04T09:49:19.056Z,2019-07-04T09:48:53.579Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BS-89-FY,2019-07-04T09:48:53.700Z,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,Andre erklÃ¦ringer uden sikkerhed
33044194,2018-07-01,2019-06-30,c213,,http://regnskaber.virk.dk/49144033/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2E5LzA0L2UwL2MzZjgtNDRjYy05MjcxLWFlZjJhMGM4M2JmMQ.pdf,http://regnskaber.virk.dk/49144033/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzNjLzgyL2Q1L2M5MDYtNGM3OS05ZjEzLWM5YWVhMjE5NGZiOA.xml,true,Kolding,6000.0,"8A, 7. sal",Kolding Ãpark,Kolding,6000.0,8H,Kolding Ãpark,6000 Kolding,GrÃ¸nholtparken 24,DK-6000 Kolding,"Kolding Ãpark 8A, 7. sal",Til kapitalejeren i Meier-LindstrÃ¸m ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2019-07-03,2010-06-24,2019-07-03,Statsautoriseret revisor,-85000.0,,20222670.0,33044194.0,20222670.0,mne27707,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Meier-LindstrÃ¸m ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Wiese,Jens Meier-LindstrÃ¸m,Jens Meier-LindstrÃ¸m,Danske Bank,Meier-LindstrÃ¸m ApS,BDO Statsautoriseret revisionsaktieselskab,,,Kolding,2017-07-01,2018-06-30,245363.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2019-06-30,2018-07-01,true,2019-07-03,Kolding,,urn:ofk:oid:27651164,indberetninger-20180424,2.5097342,33044194.0,AWu8YwQPIXJRhhXBLtDR,2019-07-04T09:49:19.056Z,2019-07-04T09:48:53.579Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BS-89-FY,2019-07-04T09:48:53.700Z,,,,,,,,,,,,,,,
33044194,2018-07-01,2019-06-30,c217,,http://regnskaber.virk.dk/49144033/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2E5LzA0L2UwL2MzZjgtNDRjYy05MjcxLWFlZjJhMGM4M2JmMQ.pdf,http://regnskaber.virk.dk/49144033/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzNjLzgyL2Q1L2M5MDYtNGM3OS05ZjEzLWM5YWVhMjE5NGZiOA.xml,true,Kolding,6000.0,"8A, 7. sal",Kolding Ãpark,Kolding,6000.0,8H,Kolding Ãpark,6000 Kolding,GrÃ¸nholtparken 24,DK-6000 Kolding,"Kolding Ãpark 8A, 7. sal",Til kapitalejeren i Meier-LindstrÃ¸m ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2019-07-03,2010-06-24,2019-07-03,Statsautoriseret revisor,-85000.0,,20222670.0,33044194.0,20222670.0,mne27707,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Meier-LindstrÃ¸m ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Wiese,Jens Meier-LindstrÃ¸m,Jens Meier-LindstrÃ¸m,Danske Bank,Meier-LindstrÃ¸m ApS,BDO Statsautoriseret revisionsaktieselskab,,,Kolding,2017-07-01,2018-06-30,108000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2019-06-30,2018-07-01,true,2019-07-03,Kolding,,urn:ofk:oid:27651164,indberetninger-20180424,2.5097342,33044194.0,AWu8YwQPIXJRhhXBLtDR,2019-07-04T09:49:19.056Z,2019-07-04T09:48:53.579Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BS-89-FY,2019-07-04T09:48:53.700Z,,,,,,,,,,,,,,,
