entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialCountry,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdministrativeExpenses,ClassOfReportingEntity,CostOfProduction,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DistributionCosts,EmailOfReportingEntity,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherFinanceIncomeFromGroupEnterprises,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermTaxPayables,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromOwnersAndManagement,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard,TitleOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
74006612,2014-01-01,2014-12-31,c5,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0LzQ0Lzg0LzA3LzBiMzYtNDMyYi1iYmEwLTAxMzc5ODJkYjUzNg.xhtml,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2Y0LzNhL2ZhL2ViNWEtNGNmOS1iNTFkLTQwZmU0ZWEwNGYwZA.pdf,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzAxLzU1LzJiLzY5NmMtNDg1Ni1iZTZlLTFlN2Q1Njk3NmI4MQ.xml,true,Danmark,BirkerÃ¸d,3460.0,28.0,Hovedgaden,BirkerÃ¸d,3460.0,9.0,PrÃ¦stevangen,3460  BirkerÃ¸d,PrÃ¦stevangen 9,607.0,Regnskabsklasse B,-72276.0,2016-05-11,2016-05-11,7013.0,nf@filcotech.dk,54057.0,74006612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Niels Filstrup,Jyske Bank,FILCOTECH CONSULT ApS,Niels Filstrup,120.0,507.0,0.0,BirkerÃ¸d,2014-01-01,2014-12-31,39414.0,46317.0,46437.0,2015-12-31,2015-01-01,false,false,Revision er fravalgt for det kommende regnskabsÃ¥r,6903.0,23706116.0,false,false,Ingen bistand,urn:ofk:oid:22344710,indberetninger-20180424,2.59278,74006612,,2018-03-28T18:30:10.126Z,2016-05-11T12:48:58.704Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-65-EZ,2016-05-11T12:48:59.014Z,,,,,,,,,,,,,,,,,,,,
74006612,2014-01-01,2014-12-31,c7,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0LzQ0Lzg0LzA3LzBiMzYtNDMyYi1iYmEwLTAxMzc5ODJkYjUzNg.xhtml,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2Y0LzNhL2ZhL2ViNWEtNGNmOS1iNTFkLTQwZmU0ZWEwNGYwZA.pdf,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzAxLzU1LzJiLzY5NmMtNDg1Ni1iZTZlLTFlN2Q1Njk3NmI4MQ.xml,true,Danmark,BirkerÃ¸d,3460.0,28.0,Hovedgaden,BirkerÃ¸d,3460.0,9.0,PrÃ¦stevangen,3460  BirkerÃ¸d,PrÃ¦stevangen 9,,Regnskabsklasse B,,2016-05-11,2016-05-11,,nf@filcotech.dk,,74006612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Niels Filstrup,Jyske Bank,FILCOTECH CONSULT ApS,Niels Filstrup,,507.0,0.0,BirkerÃ¸d,2014-01-01,2014-12-31,39414.0,,,2015-12-31,2015-01-01,false,false,Revision er fravalgt for det kommende regnskabsÃ¥r,,23706116.0,false,false,Ingen bistand,urn:ofk:oid:22344710,indberetninger-20180424,2.59278,74006612,,2018-03-28T18:30:10.126Z,2016-05-11T12:48:58.704Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-65-EZ,2016-05-11T12:48:59.014Z,,,,,,,,,,,,,,,,,,,,
74006612,2014-12-31,2014-12-31,c9,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0LzQ0Lzg0LzA3LzBiMzYtNDMyYi1iYmEwLTAxMzc5ODJkYjUzNg.xhtml,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2Y0LzNhL2ZhL2ViNWEtNGNmOS1iNTFkLTQwZmU0ZWEwNGYwZA.pdf,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzAxLzU1LzJiLzY5NmMtNDg1Ni1iZTZlLTFlN2Q1Njk3NmI4MQ.xml,true,Danmark,BirkerÃ¸d,3460.0,28.0,Hovedgaden,BirkerÃ¸d,3460.0,9.0,PrÃ¦stevangen,3460  BirkerÃ¸d,PrÃ¦stevangen 9,,Regnskabsklasse B,,2016-05-11,2016-05-11,,nf@filcotech.dk,,74006612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Niels Filstrup,Jyske Bank,FILCOTECH CONSULT ApS,Niels Filstrup,,507.0,0.0,BirkerÃ¸d,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,Revision er fravalgt for det kommende regnskabsÃ¥r,,23706116.0,false,false,Ingen bistand,urn:ofk:oid:22344710,indberetninger-20180424,2.59278,74006612,,2018-03-28T18:30:10.126Z,2016-05-11T12:48:58.704Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-65-EZ,2016-05-11T12:48:59.014Z,158462.0,73703.0,112500.0,158462.0,151914.0,158462.0,6548.0,6903.0,6903.0,-355.0,1790.0,39414.0,-355.0,84759.0,71041.0,11928.0,,,,
74006612,2015-01-01,2015-12-31,c0,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0LzQ0Lzg0LzA3LzBiMzYtNDMyYi1iYmEwLTAxMzc5ODJkYjUzNg.xhtml,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2Y0LzNhL2ZhL2ViNWEtNGNmOS1iNTFkLTQwZmU0ZWEwNGYwZA.pdf,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzAxLzU1LzJiLzY5NmMtNDg1Ni1iZTZlLTFlN2Q1Njk3NmI4MQ.xml,true,Danmark,BirkerÃ¸d,3460.0,28.0,Hovedgaden,BirkerÃ¸d,3460.0,9.0,PrÃ¦stevangen,3460  BirkerÃ¸d,PrÃ¦stevangen 9,125.0,Regnskabsklasse B,-2764.0,2016-05-11,2016-05-11,0.0,nf@filcotech.dk,2743.0,74006612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Niels Filstrup,Jyske Bank,FILCOTECH CONSULT ApS,Niels Filstrup,120.0,507.0,0.0,BirkerÃ¸d,2014-01-01,2014-12-31,2253.0,3005.0,2618.0,2015-12-31,2015-01-01,false,false,Revision er fravalgt for det kommende regnskabsÃ¥r,752.0,23706116.0,false,false,Ingen bistand,urn:ofk:oid:22344710,indberetninger-20180424,2.59278,74006612,,2018-03-28T18:30:10.126Z,2016-05-11T12:48:58.704Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-65-EZ,2016-05-11T12:48:59.014Z,,,,,,,,,,,,,,,,,,,,
74006612,2015-01-01,2015-12-31,c1,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0LzQ0Lzg0LzA3LzBiMzYtNDMyYi1iYmEwLTAxMzc5ODJkYjUzNg.xhtml,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2Y0LzNhL2ZhL2ViNWEtNGNmOS1iNTFkLTQwZmU0ZWEwNGYwZA.pdf,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzAxLzU1LzJiLzY5NmMtNDg1Ni1iZTZlLTFlN2Q1Njk3NmI4MQ.xml,true,Danmark,BirkerÃ¸d,3460.0,28.0,Hovedgaden,BirkerÃ¸d,3460.0,9.0,PrÃ¦stevangen,3460  BirkerÃ¸d,PrÃ¦stevangen 9,,Regnskabsklasse B,,2016-05-11,2016-05-11,,nf@filcotech.dk,,74006612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Niels Filstrup,Jyske Bank,FILCOTECH CONSULT ApS,Niels Filstrup,,507.0,0.0,BirkerÃ¸d,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,Revision er fravalgt for det kommende regnskabsÃ¥r,,23706116.0,false,false,Ingen bistand,urn:ofk:oid:22344710,indberetninger-20180424,2.59278,74006612,,2018-03-28T18:30:10.126Z,2016-05-11T12:48:58.704Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-65-EZ,2016-05-11T12:48:59.014Z,,,,,,,,,,,,,,,,,Niels Filstrup,Hr.,,
74006612,2015-01-01,2015-12-31,c2,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0LzQ0Lzg0LzA3LzBiMzYtNDMyYi1iYmEwLTAxMzc5ODJkYjUzNg.xhtml,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2Y0LzNhL2ZhL2ViNWEtNGNmOS1iNTFkLTQwZmU0ZWEwNGYwZA.pdf,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzAxLzU1LzJiLzY5NmMtNDg1Ni1iZTZlLTFlN2Q1Njk3NmI4MQ.xml,true,Danmark,BirkerÃ¸d,3460.0,28.0,Hovedgaden,BirkerÃ¸d,3460.0,9.0,PrÃ¦stevangen,3460  BirkerÃ¸d,PrÃ¦stevangen 9,,Regnskabsklasse B,,2016-05-11,2016-05-11,,nf@filcotech.dk,,74006612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Niels Filstrup,Jyske Bank,FILCOTECH CONSULT ApS,Niels Filstrup,,507.0,0.0,BirkerÃ¸d,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,Revision er fravalgt for det kommende regnskabsÃ¥r,,23706116.0,false,false,Ingen bistand,urn:ofk:oid:22344710,indberetninger-20180424,2.59278,74006612,,2018-03-28T18:30:10.126Z,2016-05-11T12:48:58.704Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-65-EZ,2016-05-11T12:48:59.014Z,,,,,,,,,,,,,,,,,Mary Romana Elizabeth Filstrup,Fr.,,
74006612,2015-01-01,2015-12-31,c3,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0LzQ0Lzg0LzA3LzBiMzYtNDMyYi1iYmEwLTAxMzc5ODJkYjUzNg.xhtml,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2Y0LzNhL2ZhL2ViNWEtNGNmOS1iNTFkLTQwZmU0ZWEwNGYwZA.pdf,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzAxLzU1LzJiLzY5NmMtNDg1Ni1iZTZlLTFlN2Q1Njk3NmI4MQ.xml,true,Danmark,BirkerÃ¸d,3460.0,28.0,Hovedgaden,BirkerÃ¸d,3460.0,9.0,PrÃ¦stevangen,3460  BirkerÃ¸d,PrÃ¦stevangen 9,,Regnskabsklasse B,,2016-05-11,2016-05-11,,nf@filcotech.dk,,74006612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Niels Filstrup,Jyske Bank,FILCOTECH CONSULT ApS,Niels Filstrup,,507.0,0.0,BirkerÃ¸d,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,Revision er fravalgt for det kommende regnskabsÃ¥r,,23706116.0,false,false,Ingen bistand,urn:ofk:oid:22344710,indberetninger-20180424,2.59278,74006612,,2018-03-28T18:30:10.126Z,2016-05-11T12:48:58.704Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-65-EZ,2016-05-11T12:48:59.014Z,,,,,,,,,,,,,,,,,,,Niels Filstrup,Hr.
74006612,2015-01-01,2015-12-31,c4,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0LzQ0Lzg0LzA3LzBiMzYtNDMyYi1iYmEwLTAxMzc5ODJkYjUzNg.xhtml,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2Y0LzNhL2ZhL2ViNWEtNGNmOS1iNTFkLTQwZmU0ZWEwNGYwZA.pdf,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzAxLzU1LzJiLzY5NmMtNDg1Ni1iZTZlLTFlN2Q1Njk3NmI4MQ.xml,true,Danmark,BirkerÃ¸d,3460.0,28.0,Hovedgaden,BirkerÃ¸d,3460.0,9.0,PrÃ¦stevangen,3460  BirkerÃ¸d,PrÃ¦stevangen 9,,Regnskabsklasse B,,2016-05-11,2016-05-11,,nf@filcotech.dk,,74006612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Niels Filstrup,Jyske Bank,FILCOTECH CONSULT ApS,Niels Filstrup,,507.0,0.0,BirkerÃ¸d,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,Revision er fravalgt for det kommende regnskabsÃ¥r,,23706116.0,false,false,Ingen bistand,urn:ofk:oid:22344710,indberetninger-20180424,2.59278,74006612,,2018-03-28T18:30:10.126Z,2016-05-11T12:48:58.704Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-65-EZ,2016-05-11T12:48:59.014Z,,,,,,,,,,,,,,,,,,,Mary Romana Elizabeth Filstrup,Fr.
74006612,2015-01-01,2015-12-31,c6,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0LzQ0Lzg0LzA3LzBiMzYtNDMyYi1iYmEwLTAxMzc5ODJkYjUzNg.xhtml,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2Y0LzNhL2ZhL2ViNWEtNGNmOS1iNTFkLTQwZmU0ZWEwNGYwZA.pdf,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzAxLzU1LzJiLzY5NmMtNDg1Ni1iZTZlLTFlN2Q1Njk3NmI4MQ.xml,true,Danmark,BirkerÃ¸d,3460.0,28.0,Hovedgaden,BirkerÃ¸d,3460.0,9.0,PrÃ¦stevangen,3460  BirkerÃ¸d,PrÃ¦stevangen 9,,Regnskabsklasse B,,2016-05-11,2016-05-11,,nf@filcotech.dk,,74006612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Niels Filstrup,Jyske Bank,FILCOTECH CONSULT ApS,Niels Filstrup,,507.0,0.0,BirkerÃ¸d,2014-01-01,2014-12-31,2253.0,,,2015-12-31,2015-01-01,false,false,Revision er fravalgt for det kommende regnskabsÃ¥r,,23706116.0,false,false,Ingen bistand,urn:ofk:oid:22344710,indberetninger-20180424,2.59278,74006612,,2018-03-28T18:30:10.126Z,2016-05-11T12:48:58.704Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-65-EZ,2016-05-11T12:48:59.014Z,,,,,,,,,,,,,,,,,,,,
74006612,2015-12-31,2015-12-31,c8,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0LzQ0Lzg0LzA3LzBiMzYtNDMyYi1iYmEwLTAxMzc5ODJkYjUzNg.xhtml,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2Y0LzNhL2ZhL2ViNWEtNGNmOS1iNTFkLTQwZmU0ZWEwNGYwZA.pdf,http://regnskaber.virk.dk/21660047/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzAxLzU1LzJiLzY5NmMtNDg1Ni1iZTZlLTFlN2Q1Njk3NmI4MQ.xml,true,Danmark,BirkerÃ¸d,3460.0,28.0,Hovedgaden,BirkerÃ¸d,3460.0,9.0,PrÃ¦stevangen,3460  BirkerÃ¸d,PrÃ¦stevangen 9,,Regnskabsklasse B,,2016-05-11,2016-05-11,,nf@filcotech.dk,,74006612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Niels Filstrup,Jyske Bank,FILCOTECH CONSULT ApS,Niels Filstrup,,507.0,0.0,BirkerÃ¸d,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,Revision er fravalgt for det kommende regnskabsÃ¥r,,23706116.0,false,false,Ingen bistand,urn:ofk:oid:22344710,indberetninger-20180424,2.59278,74006612,,2018-03-28T18:30:10.126Z,2016-05-11T12:48:58.704Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-65-EZ,2016-05-11T12:48:59.014Z,159551.0,203315.0,151914.0,159551.0,154167.0,159551.0,5384.0,2253.0,2253.0,3131.0,2745.0,2253.0,3131.0,-43764.0,-45227.0,-1282.0,,,,
