entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialInstitutionPostcodeAndTown,AddressOfFinancialInstitutionStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AuditorsReportOnFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,DateOfGeneralMeeting,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossResult,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherShorttermInvestments,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables
entity identifier,2010-05-01,2011-04-30,ID_11,http://regnskaber.virk.dk/22149433/Y3ZyLmRrOi8vcGRmcy8zMzQ5NDEyMjtBcFM0ODkyNTE7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/22149433/Y3ZyLmRrOi8veGJybHMvWC05QkY4QzE0OC0yMDEyMTAwMV8xNzAxNTdfODU1.xml,"Thisted, 7700",Jernbanegade 19,"Thisted, 7700",Spangbergsvej 43,"7700, Thisted",Jernbanegade 18,Til kapitalejerne i EMILO ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2012-10-01,Registreret revisor,15728000.0,33494122.0,15728000.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2011 - 30. april 2012 for EMILO ApS.,"Vi har revideret Ã¥rsregnskabet for EMILO ApS for regnskabsÃ¥ret 1. maj 2011 - 30. april 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bertel Langgaard Jensen,Erik HoumÃ¸ller,Erik HoumÃ¸ller,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",Vestjysk Bank,EMILO ApS,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",100000.0,"Thisted, 787",2012-04-30,2011-05-01,2012-10-01,Thisted,urn:ofk:oid:14036905,indberetninger-20180424,2.5097342,33494122.0,,2018-04-02T02:50:10.604Z,2012-10-05T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-216.963,2012-10-05T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-05-01,2011-04-30,ID_13,http://regnskaber.virk.dk/22149433/Y3ZyLmRrOi8vcGRmcy8zMzQ5NDEyMjtBcFM0ODkyNTE7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/22149433/Y3ZyLmRrOi8veGJybHMvWC05QkY4QzE0OC0yMDEyMTAwMV8xNzAxNTdfODU1.xml,"Thisted, 7700",Jernbanegade 19,"Thisted, 7700",Spangbergsvej 43,"7700, Thisted",Jernbanegade 18,Til kapitalejerne i EMILO ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2012-10-01,Registreret revisor,15728000.0,33494122.0,15728000.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2011 - 30. april 2012 for EMILO ApS.,"Vi har revideret Ã¥rsregnskabet for EMILO ApS for regnskabsÃ¥ret 1. maj 2011 - 30. april 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bertel Langgaard Jensen,Erik HoumÃ¸ller,Erik HoumÃ¸ller,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",Vestjysk Bank,EMILO ApS,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",0.0,"Thisted, 787",2012-04-30,2011-05-01,2012-10-01,Thisted,urn:ofk:oid:14036905,indberetninger-20180424,2.5097342,33494122.0,,2018-04-02T02:50:10.604Z,2012-10-05T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-216.963,2012-10-05T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-05-01,2011-04-30,ID_15,http://regnskaber.virk.dk/22149433/Y3ZyLmRrOi8vcGRmcy8zMzQ5NDEyMjtBcFM0ODkyNTE7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/22149433/Y3ZyLmRrOi8veGJybHMvWC05QkY4QzE0OC0yMDEyMTAwMV8xNzAxNTdfODU1.xml,"Thisted, 7700",Jernbanegade 19,"Thisted, 7700",Spangbergsvej 43,"7700, Thisted",Jernbanegade 18,Til kapitalejerne i EMILO ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2012-10-01,Registreret revisor,15728000.0,33494122.0,15728000.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2011 - 30. april 2012 for EMILO ApS.,"Vi har revideret Ã¥rsregnskabet for EMILO ApS for regnskabsÃ¥ret 1. maj 2011 - 30. april 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bertel Langgaard Jensen,Erik HoumÃ¸ller,Erik HoumÃ¸ller,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",Vestjysk Bank,EMILO ApS,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",122210.0,"Thisted, 787",2012-04-30,2011-05-01,2012-10-01,Thisted,urn:ofk:oid:14036905,indberetninger-20180424,2.5097342,33494122.0,,2018-04-02T02:50:10.604Z,2012-10-05T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-216.963,2012-10-05T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-05-01,2011-04-30,ID_17,http://regnskaber.virk.dk/22149433/Y3ZyLmRrOi8vcGRmcy8zMzQ5NDEyMjtBcFM0ODkyNTE7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/22149433/Y3ZyLmRrOi8veGJybHMvWC05QkY4QzE0OC0yMDEyMTAwMV8xNzAxNTdfODU1.xml,"Thisted, 7700",Jernbanegade 19,"Thisted, 7700",Spangbergsvej 43,"7700, Thisted",Jernbanegade 18,Til kapitalejerne i EMILO ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2012-10-01,Registreret revisor,15728000.0,33494122.0,15728000.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2011 - 30. april 2012 for EMILO ApS.,"Vi har revideret Ã¥rsregnskabet for EMILO ApS for regnskabsÃ¥ret 1. maj 2011 - 30. april 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bertel Langgaard Jensen,Erik HoumÃ¸ller,Erik HoumÃ¸ller,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",Vestjysk Bank,EMILO ApS,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",222210.0,"Thisted, 787",2012-04-30,2011-05-01,2012-10-01,Thisted,urn:ofk:oid:14036905,indberetninger-20180424,2.5097342,33494122.0,,2018-04-02T02:50:10.604Z,2012-10-05T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-216.963,2012-10-05T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-05-01,2011-04-30,ID_9,http://regnskaber.virk.dk/22149433/Y3ZyLmRrOi8vcGRmcy8zMzQ5NDEyMjtBcFM0ODkyNTE7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/22149433/Y3ZyLmRrOi8veGJybHMvWC05QkY4QzE0OC0yMDEyMTAwMV8xNzAxNTdfODU1.xml,"Thisted, 7700",Jernbanegade 19,"Thisted, 7700",Spangbergsvej 43,"7700, Thisted",Jernbanegade 18,Til kapitalejerne i EMILO ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2012-10-01,Registreret revisor,15728000.0,33494122.0,15728000.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2011 - 30. april 2012 for EMILO ApS.,"Vi har revideret Ã¥rsregnskabet for EMILO ApS for regnskabsÃ¥ret 1. maj 2011 - 30. april 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bertel Langgaard Jensen,Erik HoumÃ¸ller,Erik HoumÃ¸ller,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",Vestjysk Bank,EMILO ApS,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",-222210.0,"Thisted, 787",2012-04-30,2011-05-01,2012-10-01,Thisted,urn:ofk:oid:14036905,indberetninger-20180424,2.5097342,33494122.0,,2018-04-02T02:50:10.604Z,2012-10-05T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-216.963,2012-10-05T22:00:00.000Z,25189.0,-220008.0,25189.0,-819.0,-31774.0,-227412.0,25189.0,5202.0,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-04-30,2011-04-30,ID_19,http://regnskaber.virk.dk/22149433/Y3ZyLmRrOi8vcGRmcy8zMzQ5NDEyMjtBcFM0ODkyNTE7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/22149433/Y3ZyLmRrOi8veGJybHMvWC05QkY4QzE0OC0yMDEyMTAwMV8xNzAxNTdfODU1.xml,"Thisted, 7700",Jernbanegade 19,"Thisted, 7700",Spangbergsvej 43,"7700, Thisted",Jernbanegade 18,Til kapitalejerne i EMILO ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2012-10-01,Registreret revisor,15728000.0,33494122.0,15728000.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2011 - 30. april 2012 for EMILO ApS.,"Vi har revideret Ã¥rsregnskabet for EMILO ApS for regnskabsÃ¥ret 1. maj 2011 - 30. april 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bertel Langgaard Jensen,Erik HoumÃ¸ller,Erik HoumÃ¸ller,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",Vestjysk Bank,EMILO ApS,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",,"Thisted, 787",2012-04-30,2011-05-01,2012-10-01,Thisted,urn:ofk:oid:14036905,indberetninger-20180424,2.5097342,33494122.0,,2018-04-02T02:50:10.604Z,2012-10-05T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-216.963,2012-10-05T22:00:00.000Z,,,,,,,,,3004769.0,513294.0,-80000.0,1451487.0,473.0,-2980548.0,-3004769.0,-24221.0,1553282.0,1553282.0,1553282.0,893886.0,2404.0,-100000.0,0.0,-2800548.0,893886.0,-24221.0,44307.0,39459.0,-5553.0,1971.0,-18668.0
entity identifier,2011-05-01,2012-04-30,ID_0,http://regnskaber.virk.dk/22149433/Y3ZyLmRrOi8vcGRmcy8zMzQ5NDEyMjtBcFM0ODkyNTE7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/22149433/Y3ZyLmRrOi8veGJybHMvWC05QkY4QzE0OC0yMDEyMTAwMV8xNzAxNTdfODU1.xml,"Thisted, 7700",Jernbanegade 19,"Thisted, 7700",Spangbergsvej 43,"7700, Thisted",Jernbanegade 18,Til kapitalejerne i EMILO ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2012-10-01,Registreret revisor,15728000.0,33494122.0,15728000.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2011 - 30. april 2012 for EMILO ApS.,"Vi har revideret Ã¥rsregnskabet for EMILO ApS for regnskabsÃ¥ret 1. maj 2011 - 30. april 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bertel Langgaard Jensen,Erik HoumÃ¸ller,Erik HoumÃ¸ller,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",Vestjysk Bank,EMILO ApS,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",,"Thisted, 787",2012-04-30,2011-05-01,2012-10-01,Thisted,urn:ofk:oid:14036905,indberetninger-20180424,2.5097342,33494122.0,,2018-04-02T02:50:10.604Z,2012-10-05T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-216.963,2012-10-05T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-05-01,2012-04-30,ID_1,http://regnskaber.virk.dk/22149433/Y3ZyLmRrOi8vcGRmcy8zMzQ5NDEyMjtBcFM0ODkyNTE7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/22149433/Y3ZyLmRrOi8veGJybHMvWC05QkY4QzE0OC0yMDEyMTAwMV8xNzAxNTdfODU1.xml,"Thisted, 7700",Jernbanegade 19,"Thisted, 7700",Spangbergsvej 43,"7700, Thisted",Jernbanegade 18,Til kapitalejerne i EMILO ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2012-10-01,Registreret revisor,15728000.0,33494122.0,15728000.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2011 - 30. april 2012 for EMILO ApS.,"Vi har revideret Ã¥rsregnskabet for EMILO ApS for regnskabsÃ¥ret 1. maj 2011 - 30. april 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bertel Langgaard Jensen,Erik HoumÃ¸ller,Erik HoumÃ¸ller,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",Vestjysk Bank,EMILO ApS,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",,"Thisted, 787",2012-04-30,2011-05-01,2012-10-01,Thisted,urn:ofk:oid:14036905,indberetninger-20180424,2.5097342,33494122.0,,2018-04-02T02:50:10.604Z,2012-10-05T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-216.963,2012-10-05T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-05-01,2012-04-30,ID_10,http://regnskaber.virk.dk/22149433/Y3ZyLmRrOi8vcGRmcy8zMzQ5NDEyMjtBcFM0ODkyNTE7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/22149433/Y3ZyLmRrOi8veGJybHMvWC05QkY4QzE0OC0yMDEyMTAwMV8xNzAxNTdfODU1.xml,"Thisted, 7700",Jernbanegade 19,"Thisted, 7700",Spangbergsvej 43,"7700, Thisted",Jernbanegade 18,Til kapitalejerne i EMILO ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2012-10-01,Registreret revisor,15728000.0,33494122.0,15728000.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2011 - 30. april 2012 for EMILO ApS.,"Vi har revideret Ã¥rsregnskabet for EMILO ApS for regnskabsÃ¥ret 1. maj 2011 - 30. april 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bertel Langgaard Jensen,Erik HoumÃ¸ller,Erik HoumÃ¸ller,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",Vestjysk Bank,EMILO ApS,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",100000.0,"Thisted, 787",2012-04-30,2011-05-01,2012-10-01,Thisted,urn:ofk:oid:14036905,indberetninger-20180424,2.5097342,33494122.0,,2018-04-02T02:50:10.604Z,2012-10-05T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-216.963,2012-10-05T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-05-01,2012-04-30,ID_12,http://regnskaber.virk.dk/22149433/Y3ZyLmRrOi8vcGRmcy8zMzQ5NDEyMjtBcFM0ODkyNTE7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/22149433/Y3ZyLmRrOi8veGJybHMvWC05QkY4QzE0OC0yMDEyMTAwMV8xNzAxNTdfODU1.xml,"Thisted, 7700",Jernbanegade 19,"Thisted, 7700",Spangbergsvej 43,"7700, Thisted",Jernbanegade 18,Til kapitalejerne i EMILO ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2012-10-01,Registreret revisor,15728000.0,33494122.0,15728000.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2011 - 30. april 2012 for EMILO ApS.,"Vi har revideret Ã¥rsregnskabet for EMILO ApS for regnskabsÃ¥ret 1. maj 2011 - 30. april 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bertel Langgaard Jensen,Erik HoumÃ¸ller,Erik HoumÃ¸ller,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",Vestjysk Bank,EMILO ApS,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",67007.0,"Thisted, 787",2012-04-30,2011-05-01,2012-10-01,Thisted,urn:ofk:oid:14036905,indberetninger-20180424,2.5097342,33494122.0,,2018-04-02T02:50:10.604Z,2012-10-05T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-216.963,2012-10-05T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
