entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,DescriptionOfAuditor,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,AverageNumberOfEmployees,EmployeeBenefitsExpense,GrossProfitLoss,InterestExpenseAssignedToGroupEnterprises,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,PostemploymentBenefitExpense,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,OtherShorttermReceivables,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTradePayables,ShorttermTradeReceivables
32063632,2015-07-01,2015-07-01,c720,,http://regnskaber.virk.dk/23636023/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzcyLzQ5L2Y5LzE5ZGEtNDE3Mi05MmMzLTEwZmY5M2ZiNTZjNQ.pdf,http://regnskaber.virk.dk/23636023/ZG9rdW1lbnRsYWdlcjovLzAzLzg1L2ZhLzMyLzY4LzhmZjktNGEzYi1iZGZhLTlmZjRjNTIwZmVjOQ.xml,Danmark,Aabenraa,6200.0,3.0,NÃ¸rreport,Tinglev,6360.0,21.0,Mads Clausens Vej,"6200, Aabenraa","NÃ¸rreport, 3",kapitalejerne,Regnskabsklasse B,2017-10-24,2017-10-24,2017-11-22,Statsaut. revisor,265000.0,18061635.0,32063632.0,18061635.0,Ãrsrapport,Michael Johansen,Bastiaan Josephus Barenbrug,Bastiaan Josephus Barenbrug,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Barenbrug Danmark ApS,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Tinglev,2015-07-01,2016-06-30,2017-06-30,2016-07-01,2017-10-24,Aabenraa,RevisionspÃ¥tegning,urn:ofk:oid:24732257,indberetninger-20180424,2.5118417999999996,32063632.0,,2018-03-27T19:33:14.170Z,2017-11-24T10:00:44.045Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-98-SV,2017-11-24T10:00:45.162Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32063632,2015-07-01,2015-07-01,c741,,http://regnskaber.virk.dk/23636023/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzcyLzQ5L2Y5LzE5ZGEtNDE3Mi05MmMzLTEwZmY5M2ZiNTZjNQ.pdf,http://regnskaber.virk.dk/23636023/ZG9rdW1lbnRsYWdlcjovLzAzLzg1L2ZhLzMyLzY4LzhmZjktNGEzYi1iZGZhLTlmZjRjNTIwZmVjOQ.xml,Danmark,Aabenraa,6200.0,3.0,NÃ¸rreport,Tinglev,6360.0,21.0,Mads Clausens Vej,"6200, Aabenraa","NÃ¸rreport, 3",kapitalejerne,Regnskabsklasse B,2017-10-24,2017-10-24,2017-11-22,Statsaut. revisor,5107926.0,18061635.0,32063632.0,18061635.0,Ãrsrapport,Michael Johansen,Bastiaan Josephus Barenbrug,Bastiaan Josephus Barenbrug,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Barenbrug Danmark ApS,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Tinglev,2015-07-01,2016-06-30,2017-06-30,2016-07-01,2017-10-24,Aabenraa,RevisionspÃ¥tegning,urn:ofk:oid:24732257,indberetninger-20180424,2.5118417999999996,32063632.0,,2018-03-27T19:33:14.170Z,2017-11-24T10:00:44.045Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-98-SV,2017-11-24T10:00:45.162Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32063632,2015-07-01,2016-06-30,c123,,http://regnskaber.virk.dk/23636023/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzcyLzQ5L2Y5LzE5ZGEtNDE3Mi05MmMzLTEwZmY5M2ZiNTZjNQ.pdf,http://regnskaber.virk.dk/23636023/ZG9rdW1lbnRsYWdlcjovLzAzLzg1L2ZhLzMyLzY4LzhmZjktNGEzYi1iZGZhLTlmZjRjNTIwZmVjOQ.xml,Danmark,Aabenraa,6200.0,3.0,NÃ¸rreport,Tinglev,6360.0,21.0,Mads Clausens Vej,"6200, Aabenraa","NÃ¸rreport, 3",kapitalejerne,Regnskabsklasse B,2017-10-24,2017-10-24,2017-11-22,Statsaut. revisor,,18061635.0,32063632.0,18061635.0,Ãrsrapport,Michael Johansen,Bastiaan Josephus Barenbrug,Bastiaan Josephus Barenbrug,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Barenbrug Danmark ApS,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Tinglev,2015-07-01,2016-06-30,2017-06-30,2016-07-01,2017-10-24,Aabenraa,RevisionspÃ¥tegning,urn:ofk:oid:24732257,indberetninger-20180424,2.5118417999999996,32063632.0,,2018-03-27T19:33:14.170Z,2017-11-24T10:00:44.045Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-98-SV,2017-11-24T10:00:45.162Z,837535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32063632,2015-07-01,2016-06-30,c3,,http://regnskaber.virk.dk/23636023/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzcyLzQ5L2Y5LzE5ZGEtNDE3Mi05MmMzLTEwZmY5M2ZiNTZjNQ.pdf,http://regnskaber.virk.dk/23636023/ZG9rdW1lbnRsYWdlcjovLzAzLzg1L2ZhLzMyLzY4LzhmZjktNGEzYi1iZGZhLTlmZjRjNTIwZmVjOQ.xml,Danmark,Aabenraa,6200.0,3.0,NÃ¸rreport,Tinglev,6360.0,21.0,Mads Clausens Vej,"6200, Aabenraa","NÃ¸rreport, 3",kapitalejerne,Regnskabsklasse B,2017-10-24,2017-10-24,2017-11-22,Statsaut. revisor,,18061635.0,32063632.0,18061635.0,Ãrsrapport,Michael Johansen,Bastiaan Josephus Barenbrug,Bastiaan Josephus Barenbrug,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Barenbrug Danmark ApS,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Tinglev,2015-07-01,2016-06-30,2017-06-30,2016-07-01,2017-10-24,Aabenraa,RevisionspÃ¥tegning,urn:ofk:oid:24732257,indberetninger-20180424,2.5118417999999996,32063632.0,,2018-03-27T19:33:14.170Z,2017-11-24T10:00:44.045Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-98-SV,2017-11-24T10:00:45.162Z,837535.0,10.0,5052116.0,6538225.0,339886.0,399368.0,30.0,59482.0,350423.0,1086771.0,1486109.0,65023.0,249236.0,4636670.0,,,,,,,,,,,,,,,,,,,,
32063632,2015-07-01,2016-06-30,c742,,http://regnskaber.virk.dk/23636023/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzcyLzQ5L2Y5LzE5ZGEtNDE3Mi05MmMzLTEwZmY5M2ZiNTZjNQ.pdf,http://regnskaber.virk.dk/23636023/ZG9rdW1lbnRsYWdlcjovLzAzLzg1L2ZhLzMyLzY4LzhmZjktNGEzYi1iZGZhLTlmZjRjNTIwZmVjOQ.xml,Danmark,Aabenraa,6200.0,3.0,NÃ¸rreport,Tinglev,6360.0,21.0,Mads Clausens Vej,"6200, Aabenraa","NÃ¸rreport, 3",kapitalejerne,Regnskabsklasse B,2017-10-24,2017-10-24,2017-11-22,Statsaut. revisor,,18061635.0,32063632.0,18061635.0,Ãrsrapport,Michael Johansen,Bastiaan Josephus Barenbrug,Bastiaan Josephus Barenbrug,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Barenbrug Danmark ApS,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Tinglev,2015-07-01,2016-06-30,2017-06-30,2016-07-01,2017-10-24,Aabenraa,RevisionspÃ¥tegning,urn:ofk:oid:24732257,indberetninger-20180424,2.5118417999999996,32063632.0,,2018-03-27T19:33:14.170Z,2017-11-24T10:00:44.045Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-98-SV,2017-11-24T10:00:45.162Z,837535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32063632,2016-06-30,2016-06-30,c4,,http://regnskaber.virk.dk/23636023/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzcyLzQ5L2Y5LzE5ZGEtNDE3Mi05MmMzLTEwZmY5M2ZiNTZjNQ.pdf,http://regnskaber.virk.dk/23636023/ZG9rdW1lbnRsYWdlcjovLzAzLzg1L2ZhLzMyLzY4LzhmZjktNGEzYi1iZGZhLTlmZjRjNTIwZmVjOQ.xml,Danmark,Aabenraa,6200.0,3.0,NÃ¸rreport,Tinglev,6360.0,21.0,Mads Clausens Vej,"6200, Aabenraa","NÃ¸rreport, 3",kapitalejerne,Regnskabsklasse B,2017-10-24,2017-10-24,2017-11-22,Statsaut. revisor,6210461.0,18061635.0,32063632.0,18061635.0,Ãrsrapport,Michael Johansen,Bastiaan Josephus Barenbrug,Bastiaan Josephus Barenbrug,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Barenbrug Danmark ApS,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Tinglev,2015-07-01,2016-06-30,2017-06-30,2016-07-01,2017-10-24,Aabenraa,RevisionspÃ¥tegning,urn:ofk:oid:24732257,indberetninger-20180424,2.5118417999999996,32063632.0,,2018-03-27T19:33:14.170Z,2017-11-24T10:00:44.045Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-98-SV,2017-11-24T10:00:45.162Z,,,,,,,,,,,,,,,38011828.0,0.0,265000.0,38011828.0,2026907.0,67072.0,591111.0,38011828.0,31801367.0,1043640.0,4894605.0,591111.0,5945461.0,302222.0,31801367.0,29669769.0,37420717.0,26063583.0,785736.0,4368550.0
32063632,2016-06-30,2016-06-30,c722,,http://regnskaber.virk.dk/23636023/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzcyLzQ5L2Y5LzE5ZGEtNDE3Mi05MmMzLTEwZmY5M2ZiNTZjNQ.pdf,http://regnskaber.virk.dk/23636023/ZG9rdW1lbnRsYWdlcjovLzAzLzg1L2ZhLzMyLzY4LzhmZjktNGEzYi1iZGZhLTlmZjRjNTIwZmVjOQ.xml,Danmark,Aabenraa,6200.0,3.0,NÃ¸rreport,Tinglev,6360.0,21.0,Mads Clausens Vej,"6200, Aabenraa","NÃ¸rreport, 3",kapitalejerne,Regnskabsklasse B,2017-10-24,2017-10-24,2017-11-22,Statsaut. revisor,265000.0,18061635.0,32063632.0,18061635.0,Ãrsrapport,Michael Johansen,Bastiaan Josephus Barenbrug,Bastiaan Josephus Barenbrug,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Barenbrug Danmark ApS,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Tinglev,2015-07-01,2016-06-30,2017-06-30,2016-07-01,2017-10-24,Aabenraa,RevisionspÃ¥tegning,urn:ofk:oid:24732257,indberetninger-20180424,2.5118417999999996,32063632.0,,2018-03-27T19:33:14.170Z,2017-11-24T10:00:44.045Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-98-SV,2017-11-24T10:00:45.162Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32063632,2016-06-30,2016-06-30,c743,,http://regnskaber.virk.dk/23636023/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzcyLzQ5L2Y5LzE5ZGEtNDE3Mi05MmMzLTEwZmY5M2ZiNTZjNQ.pdf,http://regnskaber.virk.dk/23636023/ZG9rdW1lbnRsYWdlcjovLzAzLzg1L2ZhLzMyLzY4LzhmZjktNGEzYi1iZGZhLTlmZjRjNTIwZmVjOQ.xml,Danmark,Aabenraa,6200.0,3.0,NÃ¸rreport,Tinglev,6360.0,21.0,Mads Clausens Vej,"6200, Aabenraa","NÃ¸rreport, 3",kapitalejerne,Regnskabsklasse B,2017-10-24,2017-10-24,2017-11-22,Statsaut. revisor,5945461.0,18061635.0,32063632.0,18061635.0,Ãrsrapport,Michael Johansen,Bastiaan Josephus Barenbrug,Bastiaan Josephus Barenbrug,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Barenbrug Danmark ApS,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Tinglev,2015-07-01,2016-06-30,2017-06-30,2016-07-01,2017-10-24,Aabenraa,RevisionspÃ¥tegning,urn:ofk:oid:24732257,indberetninger-20180424,2.5118417999999996,32063632.0,,2018-03-27T19:33:14.170Z,2017-11-24T10:00:44.045Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-98-SV,2017-11-24T10:00:45.162Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32063632,2016-07-01,2016-07-01,c181,,http://regnskaber.virk.dk/23636023/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzcyLzQ5L2Y5LzE5ZGEtNDE3Mi05MmMzLTEwZmY5M2ZiNTZjNQ.pdf,http://regnskaber.virk.dk/23636023/ZG9rdW1lbnRsYWdlcjovLzAzLzg1L2ZhLzMyLzY4LzhmZjktNGEzYi1iZGZhLTlmZjRjNTIwZmVjOQ.xml,Danmark,Aabenraa,6200.0,3.0,NÃ¸rreport,Tinglev,6360.0,21.0,Mads Clausens Vej,"6200, Aabenraa","NÃ¸rreport, 3",kapitalejerne,Regnskabsklasse B,2017-10-24,2017-10-24,2017-11-22,Statsaut. revisor,265000.0,18061635.0,32063632.0,18061635.0,Ãrsrapport,Michael Johansen,Bastiaan Josephus Barenbrug,Bastiaan Josephus Barenbrug,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Barenbrug Danmark ApS,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Tinglev,2015-07-01,2016-06-30,2017-06-30,2016-07-01,2017-10-24,Aabenraa,RevisionspÃ¥tegning,urn:ofk:oid:24732257,indberetninger-20180424,2.5118417999999996,32063632.0,,2018-03-27T19:33:14.170Z,2017-11-24T10:00:44.045Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-98-SV,2017-11-24T10:00:45.162Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32063632,2016-07-01,2016-07-01,c199,,http://regnskaber.virk.dk/23636023/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzcyLzQ5L2Y5LzE5ZGEtNDE3Mi05MmMzLTEwZmY5M2ZiNTZjNQ.pdf,http://regnskaber.virk.dk/23636023/ZG9rdW1lbnRsYWdlcjovLzAzLzg1L2ZhLzMyLzY4LzhmZjktNGEzYi1iZGZhLTlmZjRjNTIwZmVjOQ.xml,Danmark,Aabenraa,6200.0,3.0,NÃ¸rreport,Tinglev,6360.0,21.0,Mads Clausens Vej,"6200, Aabenraa","NÃ¸rreport, 3",kapitalejerne,Regnskabsklasse B,2017-10-24,2017-10-24,2017-11-22,Statsaut. revisor,5945461.0,18061635.0,32063632.0,18061635.0,Ãrsrapport,Michael Johansen,Bastiaan Josephus Barenbrug,Bastiaan Josephus Barenbrug,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Barenbrug Danmark ApS,"SÃ¸nderjyllands Revision, Statsautoriseret revisionsaktieselskab",Tinglev,2015-07-01,2016-06-30,2017-06-30,2016-07-01,2017-10-24,Aabenraa,RevisionspÃ¥tegning,urn:ofk:oid:24732257,indberetninger-20180424,2.5118417999999996,32063632.0,,2018-03-27T19:33:14.170Z,2017-11-24T10:00:44.045Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-98-SV,2017-11-24T10:00:45.162Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
