entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AdministrativeExpenses,CostOfProduction,GainsLossesFromCurrentValueAdjustmentsOfInvestmentAssets,GrossResult,ImpairmentOfFinancialAssets,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Revenue,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,InvestmentProperty,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,PropertyPlantAndEquipmentInProgressAndPrepaymentsForPropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
34450307,2016-01-01,2016-12-31,ID_13,,http://regnskaber.virk.dk/70305443/ZG9rdW1lbnRsYWdlcjovLzAzLzMwLzAwLzJjL2I1LzJlZmItNGY0OC04NzA3LTY2NDE1M2M5ZmNmMw.pdf,http://regnskaber.virk.dk/70305443/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzkyL2U5Lzk1L2Y0YjctNDhiNy04YmY5LTNjYWEzYWI0YmNiNw.xml,true,"KÃ¸benhavn K, 1260",Bredgade 30,Til kapitalejerne i Jeudan XI ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-04-18,2018-04-18,2018-04-18,33963556.0,34450307.0,33963556.0,mne6746,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Jeudan XI ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Zenssus Hansen,Morten Aagaard,Deloitte,Jeudan XI ApS,Jeudan A/S,KÃ¸benhavn,2016-01-01,2016-12-31,-2970000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-04-18,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:25333204,indberetninger-20180424,2.5124211,34450307.0,AWLeSOojx8uVRSOdf1s8,2018-04-19T14:22:48.063Z,2018-04-19T14:22:22.407Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-37-DC,2018-04-19T14:22:22.674Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34450307,2016-01-01,2016-12-31,ID_9,,http://regnskaber.virk.dk/70305443/ZG9rdW1lbnRsYWdlcjovLzAzLzMwLzAwLzJjL2I1LzJlZmItNGY0OC04NzA3LTY2NDE1M2M5ZmNmMw.pdf,http://regnskaber.virk.dk/70305443/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzkyL2U5Lzk1L2Y0YjctNDhiNy04YmY5LTNjYWEzYWI0YmNiNw.xml,true,"KÃ¸benhavn K, 1260",Bredgade 30,Til kapitalejerne i Jeudan XI ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-04-18,2018-04-18,2018-04-18,33963556.0,34450307.0,33963556.0,mne6746,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Jeudan XI ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Zenssus Hansen,Morten Aagaard,Deloitte,Jeudan XI ApS,Jeudan A/S,KÃ¸benhavn,2016-01-01,2016-12-31,2970000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-04-18,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:25333204,indberetninger-20180424,2.5124211,34450307.0,AWLeSOojx8uVRSOdf1s8,2018-04-19T14:22:48.063Z,2018-04-19T14:22:22.407Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-37-DC,2018-04-19T14:22:22.674Z,607000.0,3054000.0,980000.0,11831000.0,6713000.0,2097000.0,397000.0,3791000.0,9524000.0,14885000.0,821000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34450307,2016-12-31,2016-12-31,ID_11,,http://regnskaber.virk.dk/70305443/ZG9rdW1lbnRsYWdlcjovLzAzLzMwLzAwLzJjL2I1LzJlZmItNGY0OC04NzA3LTY2NDE1M2M5ZmNmMw.pdf,http://regnskaber.virk.dk/70305443/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzkyL2U5Lzk1L2Y0YjctNDhiNy04YmY5LTNjYWEzYWI0YmNiNw.xml,true,"KÃ¸benhavn K, 1260",Bredgade 30,Til kapitalejerne i Jeudan XI ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-04-18,2018-04-18,2018-04-18,33963556.0,34450307.0,33963556.0,mne6746,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Jeudan XI ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Zenssus Hansen,Morten Aagaard,Deloitte,Jeudan XI ApS,Jeudan A/S,KÃ¸benhavn,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-04-18,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:25333204,indberetninger-20180424,2.5124211,34450307.0,AWLeSOojx8uVRSOdf1s8,2018-04-19T14:22:48.063Z,2018-04-19T14:22:22.407Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-37-DC,2018-04-19T14:22:22.674Z,,,,,,,,,,,,299259000.0,24000.0,100000.0,24109000.0,40000.0,79123000.0,275150000.0,299259000.0,212619000.0,203104000.0,203104000.0,275150000.0,54000.0,298000.0,275150000.0,0.0,7517000.0,7517000.0,79023000.0,588000.0,9515000.0,1542000.0,6988000.0,24085000.0,23734000.0,132000.0,211000.0,13000.0,,,
34450307,2017-01-01,2017-12-31,ID_0,,http://regnskaber.virk.dk/70305443/ZG9rdW1lbnRsYWdlcjovLzAzLzMwLzAwLzJjL2I1LzJlZmItNGY0OC04NzA3LTY2NDE1M2M5ZmNmMw.pdf,http://regnskaber.virk.dk/70305443/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzkyL2U5Lzk1L2Y0YjctNDhiNy04YmY5LTNjYWEzYWI0YmNiNw.xml,true,"KÃ¸benhavn K, 1260",Bredgade 30,Til kapitalejerne i Jeudan XI ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-04-18,2018-04-18,2018-04-18,33963556.0,34450307.0,33963556.0,mne6746,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Jeudan XI ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Zenssus Hansen,Morten Aagaard,Deloitte,Jeudan XI ApS,Jeudan A/S,KÃ¸benhavn,2016-01-01,2016-12-31,50822000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-04-18,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:25333204,indberetninger-20180424,2.5124211,34450307.0,AWLeSOojx8uVRSOdf1s8,2018-04-19T14:22:48.063Z,2018-04-19T14:22:22.407Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-37-DC,2018-04-19T14:22:22.674Z,609000.0,2890000.0,55280000.0,12015000.0,-550000.0,2591000.0,565000.0,65210000.0,9380000.0,14905000.0,14388000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34450307,2017-01-01,2017-12-31,ID_1,,http://regnskaber.virk.dk/70305443/ZG9rdW1lbnRsYWdlcjovLzAzLzMwLzAwLzJjL2I1LzJlZmItNGY0OC04NzA3LTY2NDE1M2M5ZmNmMw.pdf,http://regnskaber.virk.dk/70305443/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzkyL2U5Lzk1L2Y0YjctNDhiNy04YmY5LTNjYWEzYWI0YmNiNw.xml,true,"KÃ¸benhavn K, 1260",Bredgade 30,Til kapitalejerne i Jeudan XI ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-04-18,2018-04-18,2018-04-18,33963556.0,34450307.0,33963556.0,mne6746,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Jeudan XI ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Zenssus Hansen,Morten Aagaard,Deloitte,Jeudan XI ApS,Jeudan A/S,KÃ¸benhavn,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-04-18,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:25333204,indberetninger-20180424,2.5124211,34450307.0,AWLeSOojx8uVRSOdf1s8,2018-04-19T14:22:48.063Z,2018-04-19T14:22:22.407Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-37-DC,2018-04-19T14:22:22.674Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34450307,2017-01-01,2017-12-31,ID_12,,http://regnskaber.virk.dk/70305443/ZG9rdW1lbnRsYWdlcjovLzAzLzMwLzAwLzJjL2I1LzJlZmItNGY0OC04NzA3LTY2NDE1M2M5ZmNmMw.pdf,http://regnskaber.virk.dk/70305443/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzkyL2U5Lzk1L2Y0YjctNDhiNy04YmY5LTNjYWEzYWI0YmNiNw.xml,true,"KÃ¸benhavn K, 1260",Bredgade 30,Til kapitalejerne i Jeudan XI ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-04-18,2018-04-18,2018-04-18,33963556.0,34450307.0,33963556.0,mne6746,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Jeudan XI ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Zenssus Hansen,Morten Aagaard,Deloitte,Jeudan XI ApS,Jeudan A/S,KÃ¸benhavn,2016-01-01,2016-12-31,-50822000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-04-18,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:25333204,indberetninger-20180424,2.5124211,34450307.0,AWLeSOojx8uVRSOdf1s8,2018-04-19T14:22:48.063Z,2018-04-19T14:22:22.407Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-37-DC,2018-04-19T14:22:22.674Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34450307,2017-01-01,2017-12-31,ID_2,,http://regnskaber.virk.dk/70305443/ZG9rdW1lbnRsYWdlcjovLzAzLzMwLzAwLzJjL2I1LzJlZmItNGY0OC04NzA3LTY2NDE1M2M5ZmNmMw.pdf,http://regnskaber.virk.dk/70305443/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzkyL2U5Lzk1L2Y0YjctNDhiNy04YmY5LTNjYWEzYWI0YmNiNw.xml,true,"KÃ¸benhavn K, 1260",Bredgade 30,Til kapitalejerne i Jeudan XI ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-04-18,2018-04-18,2018-04-18,33963556.0,34450307.0,33963556.0,mne6746,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Jeudan XI ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Zenssus Hansen,Morten Aagaard,Deloitte,Jeudan XI ApS,Jeudan A/S,KÃ¸benhavn,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-04-18,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:25333204,indberetninger-20180424,2.5124211,34450307.0,AWLeSOojx8uVRSOdf1s8,2018-04-19T14:22:48.063Z,2018-04-19T14:22:22.407Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-37-DC,2018-04-19T14:22:22.674Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34450307,2017-01-01,2017-12-31,ID_3,,http://regnskaber.virk.dk/70305443/ZG9rdW1lbnRsYWdlcjovLzAzLzMwLzAwLzJjL2I1LzJlZmItNGY0OC04NzA3LTY2NDE1M2M5ZmNmMw.pdf,http://regnskaber.virk.dk/70305443/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzkyL2U5Lzk1L2Y0YjctNDhiNy04YmY5LTNjYWEzYWI0YmNiNw.xml,true,"KÃ¸benhavn K, 1260",Bredgade 30,Til kapitalejerne i Jeudan XI ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-04-18,2018-04-18,2018-04-18,33963556.0,34450307.0,33963556.0,mne6746,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Jeudan XI ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Zenssus Hansen,Morten Aagaard,Deloitte,Jeudan XI ApS,Jeudan A/S,KÃ¸benhavn,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-04-18,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:25333204,indberetninger-20180424,2.5124211,34450307.0,AWLeSOojx8uVRSOdf1s8,2018-04-19T14:22:48.063Z,2018-04-19T14:22:22.407Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-37-DC,2018-04-19T14:22:22.674Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morten Aagaard,,
34450307,2017-01-01,2017-12-31,ID_4,,http://regnskaber.virk.dk/70305443/ZG9rdW1lbnRsYWdlcjovLzAzLzMwLzAwLzJjL2I1LzJlZmItNGY0OC04NzA3LTY2NDE1M2M5ZmNmMw.pdf,http://regnskaber.virk.dk/70305443/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzkyL2U5Lzk1L2Y0YjctNDhiNy04YmY5LTNjYWEzYWI0YmNiNw.xml,true,"KÃ¸benhavn K, 1260",Bredgade 30,Til kapitalejerne i Jeudan XI ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-04-18,2018-04-18,2018-04-18,33963556.0,34450307.0,33963556.0,mne6746,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Jeudan XI ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Zenssus Hansen,Morten Aagaard,Deloitte,Jeudan XI ApS,Jeudan A/S,KÃ¸benhavn,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-04-18,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:25333204,indberetninger-20180424,2.5124211,34450307.0,AWLeSOojx8uVRSOdf1s8,2018-04-19T14:22:48.063Z,2018-04-19T14:22:22.407Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-37-DC,2018-04-19T14:22:22.674Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34450307,2017-01-01,2017-12-31,ID_5,,http://regnskaber.virk.dk/70305443/ZG9rdW1lbnRsYWdlcjovLzAzLzMwLzAwLzJjL2I1LzJlZmItNGY0OC04NzA3LTY2NDE1M2M5ZmNmMw.pdf,http://regnskaber.virk.dk/70305443/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzkyL2U5Lzk1L2Y0YjctNDhiNy04YmY5LTNjYWEzYWI0YmNiNw.xml,true,"KÃ¸benhavn K, 1260",Bredgade 30,Til kapitalejerne i Jeudan XI ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-04-18,2018-04-18,2018-04-18,33963556.0,34450307.0,33963556.0,mne6746,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Jeudan XI ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Zenssus Hansen,Morten Aagaard,Deloitte,Jeudan XI ApS,Jeudan A/S,KÃ¸benhavn,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-04-18,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:25333204,indberetninger-20180424,2.5124211,34450307.0,AWLeSOojx8uVRSOdf1s8,2018-04-19T14:22:48.063Z,2018-04-19T14:22:22.407Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-37-DC,2018-04-19T14:22:22.674Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
