entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialInstitutionPostcodeAndTown,AddressOfFinancialInstitutionStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfGeneralMeeting,DisclosureOfEmployeeBenefitsExpense,DisclosureOfInventories,EmailOfReportingEntity,IdentificationNumberCvrOfFinancialInstitution,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnReceivablesFromOwnersAndManagement,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermTaxPayables,OtherShorttermInvestments,ProposedDividend,RetainedEarnings,ShorttermDebtToBanks,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromOwnersAndManagement,ShorttermTaxPayables,ShorttermTradePayables
entity identifier,2010-07-01,2011-06-30,ID_10,http://regnskaber.virk.dk/03027402/Y3ZyLmRrOi8vcGRmcy8yMDQ3MjAzMDtBcFMyNDAzNjk7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/03027402/Y3ZyLmRrOi8veGJybHMvWC04NENGOTA0QS0yMDEyMTIxMF8xNzQ2NDRfMTMw.xml,"6400, SÃ¸nderborg",Kastanie AllÃ© 8,"6400, SÃ¸nderborg",Peter Kaads Vej 5  Vollerup,"6310, Broager","Spar Es, Skeldebro 32",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2012-12-02,. Personaleomkostninger,. Varebeholdninger,0.0,66328511.0,20472030.0,33758405.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-07-2011 - 30-06-2012 for Ib Skovby Holding ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Ib Skovby,Ib Skovby,Broager Sparekasse,Ib Skovby Holding ApS,Momichma ApS,97.0,"SÃ¸nderborg, 540",2012-06-30,2011-07-01,74 43 70 39,DirektÃ¸r,urn:ofk:oid:13223510,indberetninger-20180424,2.5117220000000002,20472030.0,,2018-04-02T12:06:49.176Z,2012-12-10T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-264.761,2012-12-10T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-07-01,2011-06-30,ID_12,http://regnskaber.virk.dk/03027402/Y3ZyLmRrOi8vcGRmcy8yMDQ3MjAzMDtBcFMyNDAzNjk7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/03027402/Y3ZyLmRrOi8veGJybHMvWC04NENGOTA0QS0yMDEyMTIxMF8xNzQ2NDRfMTMw.xml,"6400, SÃ¸nderborg",Kastanie AllÃ© 8,"6400, SÃ¸nderborg",Peter Kaads Vej 5  Vollerup,"6310, Broager","Spar Es, Skeldebro 32",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2012-12-02,. Personaleomkostninger,. Varebeholdninger,0.0,66328511.0,20472030.0,33758405.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-07-2011 - 30-06-2012 for Ib Skovby Holding ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Ib Skovby,Ib Skovby,Broager Sparekasse,Ib Skovby Holding ApS,Momichma ApS,-41.0,"SÃ¸nderborg, 540",2012-06-30,2011-07-01,74 43 70 39,DirektÃ¸r,urn:ofk:oid:13223510,indberetninger-20180424,2.5117220000000002,20472030.0,,2018-04-02T12:06:49.176Z,2012-12-10T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-264.761,2012-12-10T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-07-01,2011-06-30,ID_14,http://regnskaber.virk.dk/03027402/Y3ZyLmRrOi8vcGRmcy8yMDQ3MjAzMDtBcFMyNDAzNjk7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/03027402/Y3ZyLmRrOi8veGJybHMvWC04NENGOTA0QS0yMDEyMTIxMF8xNzQ2NDRfMTMw.xml,"6400, SÃ¸nderborg",Kastanie AllÃ© 8,"6400, SÃ¸nderborg",Peter Kaads Vej 5  Vollerup,"6310, Broager","Spar Es, Skeldebro 32",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2012-12-02,. Personaleomkostninger,. Varebeholdninger,0.0,66328511.0,20472030.0,33758405.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-07-2011 - 30-06-2012 for Ib Skovby Holding ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Ib Skovby,Ib Skovby,Broager Sparekasse,Ib Skovby Holding ApS,Momichma ApS,56.0,"SÃ¸nderborg, 540",2012-06-30,2011-07-01,74 43 70 39,DirektÃ¸r,urn:ofk:oid:13223510,indberetninger-20180424,2.5117220000000002,20472030.0,,2018-04-02T12:06:49.176Z,2012-12-10T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-264.761,2012-12-10T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-07-01,2011-06-30,ID_8,http://regnskaber.virk.dk/03027402/Y3ZyLmRrOi8vcGRmcy8yMDQ3MjAzMDtBcFMyNDAzNjk7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/03027402/Y3ZyLmRrOi8veGJybHMvWC04NENGOTA0QS0yMDEyMTIxMF8xNzQ2NDRfMTMw.xml,"6400, SÃ¸nderborg",Kastanie AllÃ© 8,"6400, SÃ¸nderborg",Peter Kaads Vej 5  Vollerup,"6310, Broager","Spar Es, Skeldebro 32",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2012-12-02,. Personaleomkostninger,. Varebeholdninger,0.0,66328511.0,20472030.0,33758405.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-07-2011 - 30-06-2012 for Ib Skovby Holding ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Ib Skovby,Ib Skovby,Broager Sparekasse,Ib Skovby Holding ApS,Momichma ApS,-56.0,"SÃ¸nderborg, 540",2012-06-30,2011-07-01,74 43 70 39,DirektÃ¸r,urn:ofk:oid:13223510,indberetninger-20180424,2.5117220000000002,20472030.0,,2018-04-02T12:06:49.176Z,2012-12-10T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-264.761,2012-12-10T23:00:00.000Z,12.0,-88.0,-76.0,12.0,20.0,,,,,,,,,,,,,,,,,,,
entity identifier,2011-06-30,2011-06-30,ID_16,http://regnskaber.virk.dk/03027402/Y3ZyLmRrOi8vcGRmcy8yMDQ3MjAzMDtBcFMyNDAzNjk7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/03027402/Y3ZyLmRrOi8veGJybHMvWC04NENGOTA0QS0yMDEyMTIxMF8xNzQ2NDRfMTMw.xml,"6400, SÃ¸nderborg",Kastanie AllÃ© 8,"6400, SÃ¸nderborg",Peter Kaads Vej 5  Vollerup,"6310, Broager","Spar Es, Skeldebro 32",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2012-12-02,. Personaleomkostninger,. Varebeholdninger,0.0,66328511.0,20472030.0,33758405.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-07-2011 - 30-06-2012 for Ib Skovby Holding ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Ib Skovby,Ib Skovby,Broager Sparekasse,Ib Skovby Holding ApS,Momichma ApS,,"SÃ¸nderborg, 540",2012-06-30,2011-07-01,74 43 70 39,DirektÃ¸r,urn:ofk:oid:13223510,indberetninger-20180424,2.5117220000000002,20472030.0,,2018-04-02T12:06:49.176Z,2012-12-10T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-264.761,2012-12-10T23:00:00.000Z,,,,,,2220.0,0.0,-125.0,2220.0,-2111.0,-2220.0,-109.0,-15.0,-15.0,2220.0,-97.0,-1986.0,36.0,2220.0,-94.0,0.0,0.0,-23.0,-10.0
entity identifier,2011-07-01,2012-06-30,ID_0,http://regnskaber.virk.dk/03027402/Y3ZyLmRrOi8vcGRmcy8yMDQ3MjAzMDtBcFMyNDAzNjk7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/03027402/Y3ZyLmRrOi8veGJybHMvWC04NENGOTA0QS0yMDEyMTIxMF8xNzQ2NDRfMTMw.xml,"6400, SÃ¸nderborg",Kastanie AllÃ© 8,"6400, SÃ¸nderborg",Peter Kaads Vej 5  Vollerup,"6310, Broager","Spar Es, Skeldebro 32",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2012-12-02,. Personaleomkostninger,. Varebeholdninger,0.0,66328511.0,20472030.0,33758405.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-07-2011 - 30-06-2012 for Ib Skovby Holding ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Ib Skovby,Ib Skovby,Broager Sparekasse,Ib Skovby Holding ApS,Momichma ApS,,"SÃ¸nderborg, 540",2012-06-30,2011-07-01,74 43 70 39,DirektÃ¸r,urn:ofk:oid:13223510,indberetninger-20180424,2.5117220000000002,20472030.0,,2018-04-02T12:06:49.176Z,2012-12-10T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-264.761,2012-12-10T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_1,http://regnskaber.virk.dk/03027402/Y3ZyLmRrOi8vcGRmcy8yMDQ3MjAzMDtBcFMyNDAzNjk7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/03027402/Y3ZyLmRrOi8veGJybHMvWC04NENGOTA0QS0yMDEyMTIxMF8xNzQ2NDRfMTMw.xml,"6400, SÃ¸nderborg",Kastanie AllÃ© 8,"6400, SÃ¸nderborg",Peter Kaads Vej 5  Vollerup,"6310, Broager","Spar Es, Skeldebro 32",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2012-12-02,. Personaleomkostninger,. Varebeholdninger,0.0,66328511.0,20472030.0,33758405.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-07-2011 - 30-06-2012 for Ib Skovby Holding ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Ib Skovby,Ib Skovby,Broager Sparekasse,Ib Skovby Holding ApS,Momichma ApS,,"SÃ¸nderborg, 540",2012-06-30,2011-07-01,74 43 70 39,DirektÃ¸r,urn:ofk:oid:13223510,indberetninger-20180424,2.5117220000000002,20472030.0,,2018-04-02T12:06:49.176Z,2012-12-10T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-264.761,2012-12-10T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_11,http://regnskaber.virk.dk/03027402/Y3ZyLmRrOi8vcGRmcy8yMDQ3MjAzMDtBcFMyNDAzNjk7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/03027402/Y3ZyLmRrOi8veGJybHMvWC04NENGOTA0QS0yMDEyMTIxMF8xNzQ2NDRfMTMw.xml,"6400, SÃ¸nderborg",Kastanie AllÃ© 8,"6400, SÃ¸nderborg",Peter Kaads Vej 5  Vollerup,"6310, Broager","Spar Es, Skeldebro 32",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2012-12-02,. Personaleomkostninger,. Varebeholdninger,0.0,66328511.0,20472030.0,33758405.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-07-2011 - 30-06-2012 for Ib Skovby Holding ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Ib Skovby,Ib Skovby,Broager Sparekasse,Ib Skovby Holding ApS,Momichma ApS,33576.0,"SÃ¸nderborg, 540",2012-06-30,2011-07-01,74 43 70 39,DirektÃ¸r,urn:ofk:oid:13223510,indberetninger-20180424,2.5117220000000002,20472030.0,,2018-04-02T12:06:49.176Z,2012-12-10T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-264.761,2012-12-10T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_13,http://regnskaber.virk.dk/03027402/Y3ZyLmRrOi8vcGRmcy8yMDQ3MjAzMDtBcFMyNDAzNjk7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/03027402/Y3ZyLmRrOi8veGJybHMvWC04NENGOTA0QS0yMDEyMTIxMF8xNzQ2NDRfMTMw.xml,"6400, SÃ¸nderborg",Kastanie AllÃ© 8,"6400, SÃ¸nderborg",Peter Kaads Vej 5  Vollerup,"6310, Broager","Spar Es, Skeldebro 32",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2012-12-02,. Personaleomkostninger,. Varebeholdninger,0.0,66328511.0,20472030.0,33758405.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-07-2011 - 30-06-2012 for Ib Skovby Holding ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Ib Skovby,Ib Skovby,Broager Sparekasse,Ib Skovby Holding ApS,Momichma ApS,130176.0,"SÃ¸nderborg, 540",2012-06-30,2011-07-01,74 43 70 39,DirektÃ¸r,urn:ofk:oid:13223510,indberetninger-20180424,2.5117220000000002,20472030.0,,2018-04-02T12:06:49.176Z,2012-12-10T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-264.761,2012-12-10T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_17,http://regnskaber.virk.dk/03027402/Y3ZyLmRrOi8vcGRmcy8yMDQ3MjAzMDtBcFMyNDAzNjk7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/03027402/Y3ZyLmRrOi8veGJybHMvWC04NENGOTA0QS0yMDEyMTIxMF8xNzQ2NDRfMTMw.xml,"6400, SÃ¸nderborg",Kastanie AllÃ© 8,"6400, SÃ¸nderborg",Peter Kaads Vej 5  Vollerup,"6310, Broager","Spar Es, Skeldebro 32",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2012-12-02,. Personaleomkostninger,. Varebeholdninger,0.0,66328511.0,20472030.0,33758405.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-07-2011 - 30-06-2012 for Ib Skovby Holding ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Ib Skovby,Ib Skovby,Broager Sparekasse,Ib Skovby Holding ApS,Momichma ApS,,"SÃ¸nderborg, 540",2012-06-30,2011-07-01,74 43 70 39,DirektÃ¸r,urn:ofk:oid:13223510,indberetninger-20180424,2.5117220000000002,20472030.0,,2018-04-02T12:06:49.176Z,2012-12-10T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-264.761,2012-12-10T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
