entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,DescriptionOfAuditor,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecognisedButNotOwnedAssets,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfAuditor,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,GrossProfitLoss,ImpairmentOfFinancialAssets,IncomeFromInvestmentsInAssociates,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermTradePayables
28506856,2017-01-01,2017-01-01,c704,,http://regnskaber.virk.dk/65860582/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzE3Lzk5L2U5LzE5ZGEtNDNiNi1hODgyLTY2NTAwZDk1YmRmMg.pdf,http://regnskaber.virk.dk/65860582/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzI5Lzk2LzAxLzQzMzctNGFkMC1hY2U4LThlMGU4MGEzM2Y4MA.xml,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,FarsÃ¸,9640.0,106.0,Svingelbjergvej,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-06-25,2019-06-25,2019-06-26,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration mv.,125000.0,32285201.0,28506856.0,32285201.0,mne32783,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for Lerkenfeldt Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Kaj Kromann Laschewski,Mikkel Kragh Kjeldsen,Mikkel Kragh Kjeldsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Lerkenfeldt Invest ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",FarsÃ¸,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-06-25,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27605638,indberetninger-20180424,2.5117154,28506856.0,AWuTb8HrIXJRhhXBLcp_,2019-06-26T10:58:43.752Z,2019-06-26T10:58:22.715Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-13-TC,2019-06-26T10:58:22.866Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
28506856,2017-01-01,2017-01-01,c725,,http://regnskaber.virk.dk/65860582/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzE3Lzk5L2U5LzE5ZGEtNDNiNi1hODgyLTY2NTAwZDk1YmRmMg.pdf,http://regnskaber.virk.dk/65860582/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzI5Lzk2LzAxLzQzMzctNGFkMC1hY2U4LThlMGU4MGEzM2Y4MA.xml,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,FarsÃ¸,9640.0,106.0,Svingelbjergvej,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-06-25,2019-06-25,2019-06-26,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration mv.,-19725505.0,32285201.0,28506856.0,32285201.0,mne32783,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for Lerkenfeldt Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Kaj Kromann Laschewski,Mikkel Kragh Kjeldsen,Mikkel Kragh Kjeldsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Lerkenfeldt Invest ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",FarsÃ¸,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-06-25,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27605638,indberetninger-20180424,2.5117154,28506856.0,AWuTb8HrIXJRhhXBLcp_,2019-06-26T10:58:43.752Z,2019-06-26T10:58:22.715Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-13-TC,2019-06-26T10:58:22.866Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
28506856,2017-01-01,2017-12-31,c120,,http://regnskaber.virk.dk/65860582/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzE3Lzk5L2U5LzE5ZGEtNDNiNi1hODgyLTY2NTAwZDk1YmRmMg.pdf,http://regnskaber.virk.dk/65860582/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzI5Lzk2LzAxLzQzMzctNGFkMC1hY2U4LThlMGU4MGEzM2Y4MA.xml,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,FarsÃ¸,9640.0,106.0,Svingelbjergvej,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-06-25,2019-06-25,2019-06-26,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration mv.,,32285201.0,28506856.0,32285201.0,mne32783,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for Lerkenfeldt Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Kaj Kromann Laschewski,Mikkel Kragh Kjeldsen,Mikkel Kragh Kjeldsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Lerkenfeldt Invest ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",FarsÃ¸,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-06-25,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27605638,indberetninger-20180424,2.5117154,28506856.0,AWuTb8HrIXJRhhXBLcp_,2019-06-26T10:58:43.752Z,2019-06-26T10:58:22.715Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-13-TC,2019-06-26T10:58:22.866Z,-1512254.0,,,,,,,,,,,,,,,,,,,,,,,,,,
28506856,2017-01-01,2017-12-31,c3,,http://regnskaber.virk.dk/65860582/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzE3Lzk5L2U5LzE5ZGEtNDNiNi1hODgyLTY2NTAwZDk1YmRmMg.pdf,http://regnskaber.virk.dk/65860582/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzI5Lzk2LzAxLzQzMzctNGFkMC1hY2U4LThlMGU4MGEzM2Y4MA.xml,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,FarsÃ¸,9640.0,106.0,Svingelbjergvej,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-06-25,2019-06-25,2019-06-26,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration mv.,,32285201.0,28506856.0,32285201.0,mne32783,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for Lerkenfeldt Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Kaj Kromann Laschewski,Mikkel Kragh Kjeldsen,Mikkel Kragh Kjeldsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Lerkenfeldt Invest ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",FarsÃ¸,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-06-25,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27605638,indberetninger-20180424,2.5117154,28506856.0,AWuTb8HrIXJRhhXBLcp_,2019-06-26T10:58:43.752Z,2019-06-26T10:58:22.715Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-13-TC,2019-06-26T10:58:22.866Z,-1512254.0,-3287.0,149906.0,4265.0,1377492.0,14166.0,1377492.0,-1512254.0,-3287.0,,,,,,,,,,,,,,,,,,
28506856,2017-01-01,2017-12-31,c726,,http://regnskaber.virk.dk/65860582/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzE3Lzk5L2U5LzE5ZGEtNDNiNi1hODgyLTY2NTAwZDk1YmRmMg.pdf,http://regnskaber.virk.dk/65860582/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzI5Lzk2LzAxLzQzMzctNGFkMC1hY2U4LThlMGU4MGEzM2Y4MA.xml,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,FarsÃ¸,9640.0,106.0,Svingelbjergvej,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-06-25,2019-06-25,2019-06-26,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration mv.,,32285201.0,28506856.0,32285201.0,mne32783,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for Lerkenfeldt Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Kaj Kromann Laschewski,Mikkel Kragh Kjeldsen,Mikkel Kragh Kjeldsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Lerkenfeldt Invest ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",FarsÃ¸,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-06-25,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27605638,indberetninger-20180424,2.5117154,28506856.0,AWuTb8HrIXJRhhXBLcp_,2019-06-26T10:58:43.752Z,2019-06-26T10:58:22.715Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-13-TC,2019-06-26T10:58:22.866Z,-1512254.0,,,,,,,,,,,,,,,,,,,,,,,,,,
28506856,2017-12-31,2017-12-31,c4,,http://regnskaber.virk.dk/65860582/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzE3Lzk5L2U5LzE5ZGEtNDNiNi1hODgyLTY2NTAwZDk1YmRmMg.pdf,http://regnskaber.virk.dk/65860582/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzI5Lzk2LzAxLzQzMzctNGFkMC1hY2U4LThlMGU4MGEzM2Y4MA.xml,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,FarsÃ¸,9640.0,106.0,Svingelbjergvej,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-06-25,2019-06-25,2019-06-26,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration mv.,-21112759.0,32285201.0,28506856.0,32285201.0,mne32783,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for Lerkenfeldt Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Kaj Kromann Laschewski,Mikkel Kragh Kjeldsen,Mikkel Kragh Kjeldsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Lerkenfeldt Invest ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",FarsÃ¸,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-06-25,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27605638,indberetninger-20180424,2.5117154,28506856.0,AWuTb8HrIXJRhhXBLcp_,2019-06-26T10:58:43.752Z,2019-06-26T10:58:22.715Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-13-TC,2019-06-26T10:58:22.866Z,,,,,,,,,,5086275.0,87.0,125000.0,312828.0,5086275.0,26199034.0,4773447.0,4759334.0,4773447.0,14113.0,9255795.0,195338.0,-21237759.0,16923739.0,26199034.0,312741.0,117403.0,19500.0
28506856,2017-12-31,2017-12-31,c706,,http://regnskaber.virk.dk/65860582/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzE3Lzk5L2U5LzE5ZGEtNDNiNi1hODgyLTY2NTAwZDk1YmRmMg.pdf,http://regnskaber.virk.dk/65860582/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzI5Lzk2LzAxLzQzMzctNGFkMC1hY2U4LThlMGU4MGEzM2Y4MA.xml,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,FarsÃ¸,9640.0,106.0,Svingelbjergvej,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-06-25,2019-06-25,2019-06-26,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration mv.,125000.0,32285201.0,28506856.0,32285201.0,mne32783,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for Lerkenfeldt Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Kaj Kromann Laschewski,Mikkel Kragh Kjeldsen,Mikkel Kragh Kjeldsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Lerkenfeldt Invest ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",FarsÃ¸,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-06-25,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27605638,indberetninger-20180424,2.5117154,28506856.0,AWuTb8HrIXJRhhXBLcp_,2019-06-26T10:58:43.752Z,2019-06-26T10:58:22.715Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-13-TC,2019-06-26T10:58:22.866Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
28506856,2017-12-31,2017-12-31,c727,,http://regnskaber.virk.dk/65860582/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzE3Lzk5L2U5LzE5ZGEtNDNiNi1hODgyLTY2NTAwZDk1YmRmMg.pdf,http://regnskaber.virk.dk/65860582/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzI5Lzk2LzAxLzQzMzctNGFkMC1hY2U4LThlMGU4MGEzM2Y4MA.xml,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,FarsÃ¸,9640.0,106.0,Svingelbjergvej,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-06-25,2019-06-25,2019-06-26,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration mv.,-21237759.0,32285201.0,28506856.0,32285201.0,mne32783,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for Lerkenfeldt Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Kaj Kromann Laschewski,Mikkel Kragh Kjeldsen,Mikkel Kragh Kjeldsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Lerkenfeldt Invest ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",FarsÃ¸,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-06-25,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27605638,indberetninger-20180424,2.5117154,28506856.0,AWuTb8HrIXJRhhXBLcp_,2019-06-26T10:58:43.752Z,2019-06-26T10:58:22.715Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-13-TC,2019-06-26T10:58:22.866Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
28506856,2018-01-01,2018-01-01,c177,,http://regnskaber.virk.dk/65860582/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzE3Lzk5L2U5LzE5ZGEtNDNiNi1hODgyLTY2NTAwZDk1YmRmMg.pdf,http://regnskaber.virk.dk/65860582/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzI5Lzk2LzAxLzQzMzctNGFkMC1hY2U4LThlMGU4MGEzM2Y4MA.xml,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,FarsÃ¸,9640.0,106.0,Svingelbjergvej,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-06-25,2019-06-25,2019-06-26,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration mv.,125000.0,32285201.0,28506856.0,32285201.0,mne32783,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for Lerkenfeldt Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Kaj Kromann Laschewski,Mikkel Kragh Kjeldsen,Mikkel Kragh Kjeldsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Lerkenfeldt Invest ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",FarsÃ¸,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-06-25,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27605638,indberetninger-20180424,2.5117154,28506856.0,AWuTb8HrIXJRhhXBLcp_,2019-06-26T10:58:43.752Z,2019-06-26T10:58:22.715Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-13-TC,2019-06-26T10:58:22.866Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
28506856,2018-01-01,2018-01-01,c195,,http://regnskaber.virk.dk/65860582/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzE3Lzk5L2U5LzE5ZGEtNDNiNi1hODgyLTY2NTAwZDk1YmRmMg.pdf,http://regnskaber.virk.dk/65860582/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzI5Lzk2LzAxLzQzMzctNGFkMC1hY2U4LThlMGU4MGEzM2Y4MA.xml,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,FarsÃ¸,9640.0,106.0,Svingelbjergvej,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-06-25,2019-06-25,2019-06-26,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration mv.,-21237759.0,32285201.0,28506856.0,32285201.0,mne32783,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for Lerkenfeldt Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Kaj Kromann Laschewski,Mikkel Kragh Kjeldsen,Mikkel Kragh Kjeldsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Lerkenfeldt Invest ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",FarsÃ¸,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-06-25,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27605638,indberetninger-20180424,2.5117154,28506856.0,AWuTb8HrIXJRhhXBLcp_,2019-06-26T10:58:43.752Z,2019-06-26T10:58:22.715Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-13-TC,2019-06-26T10:58:22.866Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
