entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AdditionsToPropertyPlantAndEquipment,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,Adjustments,AmortisationOfIntangibleAssets,AverageNumberOfEmployees,CashFlowFromOperatingActivitiesBeforeFinancialItems,CashFlowFromOrdinaryOperatingActivities,CashFlowsFromUsedInFinancingActivities,CashFlowsFromUsedInInvestingActivities,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DecreaseIncreaseInInventories,DecreaseIncreaseInReceivables,DecreaseIncreaseInTradePayables,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DepreciationOfPropertyPlantAndEquipment,DescriptionOfAuditor,DescriptionOfClassOfIssuedShares,DisposalsOfPropertyPlantAndEquipment,DividendPaidCashFlow,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IncomeTaxesPaidRefundClassifiedAsOperatingActivities,InformationOnTypeOfSubmittedReport,InterestPaidClassifiedAsOperatingActivities,InterestReceivedClassifiedAsOperatingActivities,InvestmentInPropertyPlantAndEquipment,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,NetIncreaseDecreaseInCashAndCashEquivalents,NominalValueOfIssuedShares,NumberOfIssuedShares,OtherAdjustmentsForDecreaseIncreaseInWorkingCapital,OtherAdjustmentsOfFinanceExpenses,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,OtherOperatingExpenses,ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,RaisingOfDebtToCreditInstitutions,RegisteredOfficeOfReportingEntity,RepaymentOfDebtToCreditInstitutions,ReportingPeriodEndDate,ReportingPeriodStartDate,ReturnOnEquity,ReversalsOfImpairmentLossesAndDepreciationOfDisposedPropertyPlantAndEquipment,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TitleOfMemberOfSupervisoryBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,LongtermLiabilitiesOtherThanProvisions,Assets,CashAndCashEquivalents,CashAndCashEquivalentsConcerningCashflowStatement,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,Goodwill,IntangibleAssets,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermLeaseCommitments,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPayablesToAssociates,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndAmortisationOfIntangibleAssets,IntangibleAssetsGross,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,PlaceOfSignatureOfStatement,CashFlowsFromUsedInOperatingActivities,NameAndSurnameOfMemberOfSupervisoryBoard
25776380,2015-01-01,2015-12-31,c13,,http://regnskaber.virk.dk/08367752/ZG9rdW1lbnRsYWdlcjovLzAzL2U0LzRkLzM2LzdiLzZlYTctNDBhNi1hOGQyLWNkZDlmOGRkMmNiOQ.pdf,http://regnskaber.virk.dk/08367752/ZG9rdW1lbnRsYWdlcjovLzAzL2ZlL2UyL2UyLzU5LzVkNmMtNGQwZi04ODc1LTA4OTc2MDliMzc5Mw.xml,158809.0,Danmark,Hadsund,9560.0,11.0,Havnevej,Hadsund,9560.0,11.0,Havnevej,9200 Aalborg SV,Voergaardvej 2,3373753.0,-238333.0,10.0,7100614.0,6697982.0,349411.0,-1148440.0,"Regnskabsklasse C, mellemstor virksomhed",2017-01-30,2017-04-06,178535.0,-3870744.0,-28134.0,1744001.0,-1284838.0,Statsaut. revisor,Aktiekapital,-259955.0,0.0,5664170.0,12444515.0,32895468.0,25776380.0,0.0,Ãrsrapport,-402633.0,1.0,1813000.0,Brian Nielsen,Keld Jensen,Keld O. Jensen,Beierholm,Timberman Denmark A/S,Beierholm,-2504761.0,1000.0,4387.0,4040612.0,108345.0,498189.0,1.0,326971.0,54882.0,664658.0,3406592.0,4483274.0,4981462.0,-1813098.0,895381.0,Mariagerfjord,-545970.0,2016-12-31,2016-01-01,41.1,192424.0,2017-01-30,Hadsund,1076682.0,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:23701886,indberetninger-20180424,2.509602,25776380,,2018-03-27T11:42:49.576Z,2017-04-06T17:27:44.931Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-92-JT,2017-04-06T17:27:45.123Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25776380,2015-01-01,2015-12-31,c56,,http://regnskaber.virk.dk/08367752/ZG9rdW1lbnRsYWdlcjovLzAzL2U0LzRkLzM2LzdiLzZlYTctNDBhNi1hOGQyLWNkZDlmOGRkMmNiOQ.pdf,http://regnskaber.virk.dk/08367752/ZG9rdW1lbnRsYWdlcjovLzAzL2ZlL2UyL2UyLzU5LzVkNmMtNGQwZi04ODc1LTA4OTc2MDliMzc5Mw.xml,158809.0,Danmark,Hadsund,9560.0,11.0,Havnevej,Hadsund,9560.0,11.0,Havnevej,9200 Aalborg SV,Voergaardvej 2,,-238333.0,,,,,,"Regnskabsklasse C, mellemstor virksomhed",2017-01-30,2017-04-06,,,,,-1284838.0,Statsaut. revisor,Aktiekapital,-259955.0,,,,32895468.0,25776380.0,,Ãrsrapport,,,,Brian Nielsen,Keld Jensen,Keld O. Jensen,Beierholm,Timberman Denmark A/S,Beierholm,,1000.0,4387.0,,,,,,,,3000000.0,,,,,Mariagerfjord,,2016-12-31,2016-01-01,,192424.0,2017-01-30,Hadsund,,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:23701886,indberetninger-20180424,2.509602,25776380,,2018-03-27T11:42:49.576Z,2017-04-06T17:27:44.931Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-92-JT,2017-04-06T17:27:45.123Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25776380,2015-01-01,2015-12-31,c69,,http://regnskaber.virk.dk/08367752/ZG9rdW1lbnRsYWdlcjovLzAzL2U0LzRkLzM2LzdiLzZlYTctNDBhNi1hOGQyLWNkZDlmOGRkMmNiOQ.pdf,http://regnskaber.virk.dk/08367752/ZG9rdW1lbnRsYWdlcjovLzAzL2ZlL2UyL2UyLzU5LzVkNmMtNGQwZi04ODc1LTA4OTc2MDliMzc5Mw.xml,158809.0,Danmark,Hadsund,9560.0,11.0,Havnevej,Hadsund,9560.0,11.0,Havnevej,9200 Aalborg SV,Voergaardvej 2,,-238333.0,,,,,,"Regnskabsklasse C, mellemstor virksomhed",2017-01-30,2017-04-06,,,,,-1284838.0,Statsaut. revisor,Aktiekapital,-259955.0,,,,32895468.0,25776380.0,,Ãrsrapport,,,,Brian Nielsen,Keld Jensen,Keld O. Jensen,Beierholm,Timberman Denmark A/S,Beierholm,,1000.0,4387.0,,,,,,,,406592.0,,,,,Mariagerfjord,,2016-12-31,2016-01-01,,192424.0,2017-01-30,Hadsund,,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:23701886,indberetninger-20180424,2.509602,25776380,,2018-03-27T11:42:49.576Z,2017-04-06T17:27:44.931Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-92-JT,2017-04-06T17:27:45.123Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25776380,2015-12-31,2015-12-31,c236,,http://regnskaber.virk.dk/08367752/ZG9rdW1lbnRsYWdlcjovLzAzL2U0LzRkLzM2LzdiLzZlYTctNDBhNi1hOGQyLWNkZDlmOGRkMmNiOQ.pdf,http://regnskaber.virk.dk/08367752/ZG9rdW1lbnRsYWdlcjovLzAzL2ZlL2UyL2UyLzU5LzVkNmMtNGQwZi04ODc1LTA4OTc2MDliMzc5Mw.xml,158809.0,Danmark,Hadsund,9560.0,11.0,Havnevej,Hadsund,9560.0,11.0,Havnevej,9200 Aalborg SV,Voergaardvej 2,,-238333.0,,,,,,"Regnskabsklasse C, mellemstor virksomhed",2017-01-30,2017-04-06,,,,,-1284838.0,Statsaut. revisor,Aktiekapital,-259955.0,,,,32895468.0,25776380.0,,Ãrsrapport,,,,Brian Nielsen,Keld Jensen,Keld O. Jensen,Beierholm,Timberman Denmark A/S,Beierholm,,1000.0,4387.0,,,,,,,,,,,,,Mariagerfjord,,2016-12-31,2016-01-01,,192424.0,2017-01-30,Hadsund,,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:23701886,indberetninger-20180424,2.509602,25776380,,2018-03-27T11:42:49.576Z,2017-04-06T17:27:44.931Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-92-JT,2017-04-06T17:27:45.123Z,2480668.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25776380,2015-12-31,2015-12-31,c70,,http://regnskaber.virk.dk/08367752/ZG9rdW1lbnRsYWdlcjovLzAzL2U0LzRkLzM2LzdiLzZlYTctNDBhNi1hOGQyLWNkZDlmOGRkMmNiOQ.pdf,http://regnskaber.virk.dk/08367752/ZG9rdW1lbnRsYWdlcjovLzAzL2ZlL2UyL2UyLzU5LzVkNmMtNGQwZi04ODc1LTA4OTc2MDliMzc5Mw.xml,158809.0,Danmark,Hadsund,9560.0,11.0,Havnevej,Hadsund,9560.0,11.0,Havnevej,9200 Aalborg SV,Voergaardvej 2,,-238333.0,,,,,,"Regnskabsklasse C, mellemstor virksomhed",2017-01-30,2017-04-06,,,,,-1284838.0,Statsaut. revisor,Aktiekapital,-259955.0,,,,32895468.0,25776380.0,,Ãrsrapport,,,,Brian Nielsen,Keld Jensen,Keld O. Jensen,Beierholm,Timberman Denmark A/S,Beierholm,,1000.0,4387.0,,,,,,,,,,,,,Mariagerfjord,,2016-12-31,2016-01-01,,192424.0,2017-01-30,Hadsund,,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:23701886,indberetninger-20180424,2.509602,25776380,,2018-03-27T11:42:49.576Z,2017-04-06T17:27:44.931Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-92-JT,2017-04-06T17:27:45.123Z,577870.0,30173198.0,83219.0,-2504761.0,4387000.0,26331879.0,135177.0,9991229.0,2269230.0,1526108.0,1526108.0,16765344.0,30173198.0,19719127.0,45981.0,577870.0,16765344.0,3841319.0,45981.0,4014492.0,562087.0,2269230.0,3000000.0,462842.0,462842.0,2604229.0,2587980.0,19141257.0,2657946.0,0.0,7445520.0,9483316.0,102014.0,2333305.0,8786052.0,,,,,,,
25776380,2016-01-01,2016-01-01,c154,,http://regnskaber.virk.dk/08367752/ZG9rdW1lbnRsYWdlcjovLzAzL2U0LzRkLzM2LzdiLzZlYTctNDBhNi1hOGQyLWNkZDlmOGRkMmNiOQ.pdf,http://regnskaber.virk.dk/08367752/ZG9rdW1lbnRsYWdlcjovLzAzL2ZlL2UyL2UyLzU5LzVkNmMtNGQwZi04ODc1LTA4OTc2MDliMzc5Mw.xml,158809.0,Danmark,Hadsund,9560.0,11.0,Havnevej,Hadsund,9560.0,11.0,Havnevej,9200 Aalborg SV,Voergaardvej 2,,-238333.0,,,,,,"Regnskabsklasse C, mellemstor virksomhed",2017-01-30,2017-04-06,,,,,-1284838.0,Statsaut. revisor,Aktiekapital,-259955.0,,,,32895468.0,25776380.0,,Ãrsrapport,,,,Brian Nielsen,Keld Jensen,Keld O. Jensen,Beierholm,Timberman Denmark A/S,Beierholm,,1000.0,4387.0,,,,,,,,,,,,,Mariagerfjord,,2016-12-31,2016-01-01,,192424.0,2017-01-30,Hadsund,,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:23701886,indberetninger-20180424,2.509602,25776380,,2018-03-27T11:42:49.576Z,2017-04-06T17:27:44.931Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-92-JT,2017-04-06T17:27:45.123Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5548892.0,7075000.0,,,,,
25776380,2016-01-01,2016-01-01,c206,,http://regnskaber.virk.dk/08367752/ZG9rdW1lbnRsYWdlcjovLzAzL2U0LzRkLzM2LzdiLzZlYTctNDBhNi1hOGQyLWNkZDlmOGRkMmNiOQ.pdf,http://regnskaber.virk.dk/08367752/ZG9rdW1lbnRsYWdlcjovLzAzL2ZlL2UyL2UyLzU5LzVkNmMtNGQwZi04ODc1LTA4OTc2MDliMzc5Mw.xml,158809.0,Danmark,Hadsund,9560.0,11.0,Havnevej,Hadsund,9560.0,11.0,Havnevej,9200 Aalborg SV,Voergaardvej 2,,-238333.0,,,,,,"Regnskabsklasse C, mellemstor virksomhed",2017-01-30,2017-04-06,,,,,-1284838.0,Statsaut. revisor,Aktiekapital,-259955.0,,,,32895468.0,25776380.0,,Ãrsrapport,,,,Brian Nielsen,Keld Jensen,Keld O. Jensen,Beierholm,Timberman Denmark A/S,Beierholm,,1000.0,4387.0,,,,,,,,,,,,,Mariagerfjord,,2016-12-31,2016-01-01,,192424.0,2017-01-30,Hadsund,,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:23701886,indberetninger-20180424,2.509602,25776380,,2018-03-27T11:42:49.576Z,2017-04-06T17:27:44.931Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-92-JT,2017-04-06T17:27:45.123Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5127427.0,7396657.0,,,
25776380,2016-01-01,2016-12-31,c1,,http://regnskaber.virk.dk/08367752/ZG9rdW1lbnRsYWdlcjovLzAzL2U0LzRkLzM2LzdiLzZlYTctNDBhNi1hOGQyLWNkZDlmOGRkMmNiOQ.pdf,http://regnskaber.virk.dk/08367752/ZG9rdW1lbnRsYWdlcjovLzAzL2ZlL2UyL2UyLzU5LzVkNmMtNGQwZi04ODc1LTA4OTc2MDliMzc5Mw.xml,158809.0,Danmark,Hadsund,9560.0,11.0,Havnevej,Hadsund,9560.0,11.0,Havnevej,9200 Aalborg SV,Voergaardvej 2,3666167.0,-238333.0,11.0,6325905.0,4709630.0,-3216028.0,-110271.0,"Regnskabsklasse C, mellemstor virksomhed",2017-01-30,2017-04-06,-4961646.0,644928.0,3336140.0,1523171.0,-1284838.0,Statsaut. revisor,Aktiekapital,-259955.0,-3000000.0,6444472.0,16541831.0,32895468.0,25776380.0,-1302152.0,Ãrsrapport,-314753.0,630.0,159000.0,Brian Nielsen,Keld Jensen,Keld O. Jensen,Beierholm,Timberman Denmark A/S,Beierholm,-1121430.0,1000.0,4387.0,-2790876.0,0.0,314752.0,3582.0,261123.0,18994.0,48538.0,6431192.0,8244024.0,8555194.0,-158809.0,0.0,Mariagerfjord,-216028.0,2016-12-31,2016-01-01,54.9,192424.0,2017-01-30,Hadsund,1812832.0,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:23701886,indberetninger-20180424,2.509602,25776380,,2018-03-27T11:42:49.576Z,2017-04-06T17:27:44.931Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-92-JT,2017-04-06T17:27:45.123Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hadsund,,
25776380,2016-01-01,2016-12-31,c15,,http://regnskaber.virk.dk/08367752/ZG9rdW1lbnRsYWdlcjovLzAzL2U0LzRkLzM2LzdiLzZlYTctNDBhNi1hOGQyLWNkZDlmOGRkMmNiOQ.pdf,http://regnskaber.virk.dk/08367752/ZG9rdW1lbnRsYWdlcjovLzAzL2ZlL2UyL2UyLzU5LzVkNmMtNGQwZi04ODc1LTA4OTc2MDliMzc5Mw.xml,158809.0,Danmark,Hadsund,9560.0,11.0,Havnevej,Hadsund,9560.0,11.0,Havnevej,9200 Aalborg SV,Voergaardvej 2,,-238333.0,12.0,,,-208000.0,-994000.0,"Regnskabsklasse C, mellemstor virksomhed",2017-01-30,2017-04-06,,,,,-1284838.0,Statsaut. revisor,Aktiekapital,-259955.0,,,,32895468.0,25776380.0,,Ãrsrapport,,,1064000.0,Brian Nielsen,Keld Jensen,Keld O. Jensen,Beierholm,Timberman Denmark A/S,Beierholm,,1000.0,4387.0,,,,,,,,2052000.0,,3470000.0,,,Mariagerfjord,,2016-12-31,2016-01-01,36.9,192424.0,2017-01-30,Hadsund,,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:23701886,indberetninger-20180424,2.509602,25776380,,2018-03-27T11:42:49.576Z,2017-04-06T17:27:44.931Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-92-JT,2017-04-06T17:27:45.123Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5664000.0,
25776380,2016-01-01,2016-12-31,c179,,http://regnskaber.virk.dk/08367752/ZG9rdW1lbnRsYWdlcjovLzAzL2U0LzRkLzM2LzdiLzZlYTctNDBhNi1hOGQyLWNkZDlmOGRkMmNiOQ.pdf,http://regnskaber.virk.dk/08367752/ZG9rdW1lbnRsYWdlcjovLzAzL2ZlL2UyL2UyLzU5LzVkNmMtNGQwZi04ODc1LTA4OTc2MDliMzc5Mw.xml,158809.0,Danmark,Hadsund,9560.0,11.0,Havnevej,Hadsund,9560.0,11.0,Havnevej,9200 Aalborg SV,Voergaardvej 2,,-238333.0,,,,,,"Regnskabsklasse C, mellemstor virksomhed",2017-01-30,2017-04-06,,,,,-1284838.0,Statsaut. revisor,Aktiekapital,-259955.0,,,,32895468.0,25776380.0,,Ãrsrapport,,,,Brian Nielsen,Keld Jensen,Keld O. Jensen,Beierholm,Timberman Denmark A/S,Beierholm,,1000.0,4387.0,,,,,,,,,,,,,Mariagerfjord,,2016-12-31,2016-01-01,,192424.0,2017-01-30,Hadsund,,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:23701886,indberetninger-20180424,2.509602,25776380,,2018-03-27T11:42:49.576Z,2017-04-06T17:27:44.931Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-92-JT,2017-04-06T17:27:45.123Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
