entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,DateOfAuditorsReportOnAuditedFinancialStatements,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditorAppointedToPerformAudit,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditorAppointedToPerformAudit,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirmAppointedToPerformAudit,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfCompilationOfAuditorsReportOnAuditedFinancialStatements,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
entity identifier,2011-05-01,2012-04-30,ID_12,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8vcGRmcy8xNzAxNTAwMTtBL1MyMTMwODA7MjAxMjA1MDE7MjAxMzA0MzA7UjtS.pdf,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8veGJybHMvWC02Q0U0QjkzNi0yMDEzMTAwN18xMTU5NDNfNjUy.xml,"Give, 7323",Snevolden 3,"7190, Billund",Aastvej 10B,Til kapitalejerne i Jysk Plastteknik A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-09-30,1993-05-18,2013-09-30,0.0,Statsautoriseret revisor,458922.0,-440757.0,17015001.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2012 - 30. april 2013 for Jysk Plastteknik A/S.,"Vi har revideret Ã¥rsregnskabet for Jysk Plastteknik A/S for regnskabsÃ¥ret 1. maj 2012 - 30. april 2013 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet aflÃ¦gges efter Ã¥rsregnskabsloven.",Ãrsrapport,Svend Aage Stolten,Carsten Schnedler Johansen,Carsten Schnedler Johansen,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",Jysk Plastteknik A/S,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",499.0,-2414.0,Billund,13279.0,16250.0,18165.0,2013-04-30,2012-05-01,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",-2971.0,Bestyrelsesmedlem,urn:ofk:oid:19301180,indberetninger-20180424,2.5124211,17015001.0,,2018-04-01T13:41:15.179Z,2013-10-07T22:00:00.000Z,regnskab,0.0,,2013-04-30,2012-05-01,13-223.742,2013-10-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,
entity identifier,2011-05-01,2012-04-30,ID_14,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8vcGRmcy8xNzAxNTAwMTtBL1MyMTMwODA7MjAxMjA1MDE7MjAxMzA0MzA7UjtS.pdf,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8veGJybHMvWC02Q0U0QjkzNi0yMDEzMTAwN18xMTU5NDNfNjUy.xml,"Give, 7323",Snevolden 3,"7190, Billund",Aastvej 10B,Til kapitalejerne i Jysk Plastteknik A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-09-30,1993-05-18,2013-09-30,,Statsautoriseret revisor,,,17015001.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2012 - 30. april 2013 for Jysk Plastteknik A/S.,"Vi har revideret Ã¥rsregnskabet for Jysk Plastteknik A/S for regnskabsÃ¥ret 1. maj 2012 - 30. april 2013 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet aflÃ¦gges efter Ã¥rsregnskabsloven.",Ãrsrapport,Svend Aage Stolten,Carsten Schnedler Johansen,Carsten Schnedler Johansen,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",Jysk Plastteknik A/S,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",,,Billund,-13279.0,,,2013-04-30,2012-05-01,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",,Bestyrelsesmedlem,urn:ofk:oid:19301180,indberetninger-20180424,2.5124211,17015001.0,,2018-04-01T13:41:15.179Z,2013-10-07T22:00:00.000Z,regnskab,0.0,,2013-04-30,2012-05-01,13-223.742,2013-10-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,
entity identifier,2011-05-01,2012-04-30,ID_16,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8vcGRmcy8xNzAxNTAwMTtBL1MyMTMwODA7MjAxMjA1MDE7MjAxMzA0MzA7UjtS.pdf,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8veGJybHMvWC02Q0U0QjkzNi0yMDEzMTAwN18xMTU5NDNfNjUy.xml,"Give, 7323",Snevolden 3,"7190, Billund",Aastvej 10B,Til kapitalejerne i Jysk Plastteknik A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-09-30,1993-05-18,2013-09-30,,Statsautoriseret revisor,,,17015001.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2012 - 30. april 2013 for Jysk Plastteknik A/S.,"Vi har revideret Ã¥rsregnskabet for Jysk Plastteknik A/S for regnskabsÃ¥ret 1. maj 2012 - 30. april 2013 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet aflÃ¦gges efter Ã¥rsregnskabsloven.",Ãrsrapport,Svend Aage Stolten,Carsten Schnedler Johansen,Carsten Schnedler Johansen,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",Jysk Plastteknik A/S,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",,,Billund,-13279.0,,,2013-04-30,2012-05-01,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",,Bestyrelsesmedlem,urn:ofk:oid:19301180,indberetninger-20180424,2.5124211,17015001.0,,2018-04-01T13:41:15.179Z,2013-10-07T22:00:00.000Z,regnskab,0.0,,2013-04-30,2012-05-01,13-223.742,2013-10-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,
entity identifier,2012-04-30,2012-04-30,ID_18,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8vcGRmcy8xNzAxNTAwMTtBL1MyMTMwODA7MjAxMjA1MDE7MjAxMzA0MzA7UjtS.pdf,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8veGJybHMvWC02Q0U0QjkzNi0yMDEzMTAwN18xMTU5NDNfNjUy.xml,"Give, 7323",Snevolden 3,"7190, Billund",Aastvej 10B,Til kapitalejerne i Jysk Plastteknik A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-09-30,1993-05-18,2013-09-30,,Statsautoriseret revisor,,,17015001.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2012 - 30. april 2013 for Jysk Plastteknik A/S.,"Vi har revideret Ã¥rsregnskabet for Jysk Plastteknik A/S for regnskabsÃ¥ret 1. maj 2012 - 30. april 2013 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet aflÃ¦gges efter Ã¥rsregnskabsloven.",Ãrsrapport,Svend Aage Stolten,Carsten Schnedler Johansen,Carsten Schnedler Johansen,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",Jysk Plastteknik A/S,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",,,Billund,,,,2013-04-30,2012-05-01,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",,Bestyrelsesmedlem,urn:ofk:oid:19301180,indberetninger-20180424,2.5124211,17015001.0,,2018-04-01T13:41:15.179Z,2013-10-07T22:00:00.000Z,regnskab,0.0,,2013-04-30,2012-05-01,13-223.742,2013-10-07T22:00:00.000Z,685601.0,260163.0,-500000.0,685601.0,13900.0,12343.0,-488536.0,-685601.0,-197065.0,216260.0,11464.0,-197065.0,-5787.0,19000.0,-41906.0,163935.0,,
entity identifier,2012-05-01,2013-04-30,ID_0,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8vcGRmcy8xNzAxNTAwMTtBL1MyMTMwODA7MjAxMjA1MDE7MjAxMzA0MzA7UjtS.pdf,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8veGJybHMvWC02Q0U0QjkzNi0yMDEzMTAwN18xMTU5NDNfNjUy.xml,"Give, 7323",Snevolden 3,"7190, Billund",Aastvej 10B,Til kapitalejerne i Jysk Plastteknik A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-09-30,1993-05-18,2013-09-30,,Statsautoriseret revisor,,,17015001.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2012 - 30. april 2013 for Jysk Plastteknik A/S.,"Vi har revideret Ã¥rsregnskabet for Jysk Plastteknik A/S for regnskabsÃ¥ret 1. maj 2012 - 30. april 2013 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet aflÃ¦gges efter Ã¥rsregnskabsloven.",Ãrsrapport,Svend Aage Stolten,Carsten Schnedler Johansen,Carsten Schnedler Johansen,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",Jysk Plastteknik A/S,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",,,Billund,,,,2013-04-30,2012-05-01,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",,Bestyrelsesmedlem,urn:ofk:oid:19301180,indberetninger-20180424,2.5124211,17015001.0,,2018-04-01T13:41:15.179Z,2013-10-07T22:00:00.000Z,regnskab,0.0,,2013-04-30,2012-05-01,13-223.742,2013-10-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,
entity identifier,2012-05-01,2013-04-30,ID_1,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8vcGRmcy8xNzAxNTAwMTtBL1MyMTMwODA7MjAxMjA1MDE7MjAxMzA0MzA7UjtS.pdf,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8veGJybHMvWC02Q0U0QjkzNi0yMDEzMTAwN18xMTU5NDNfNjUy.xml,"Give, 7323",Snevolden 3,"7190, Billund",Aastvej 10B,Til kapitalejerne i Jysk Plastteknik A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-09-30,1993-05-18,2013-09-30,,Statsautoriseret revisor,,,17015001.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2012 - 30. april 2013 for Jysk Plastteknik A/S.,"Vi har revideret Ã¥rsregnskabet for Jysk Plastteknik A/S for regnskabsÃ¥ret 1. maj 2012 - 30. april 2013 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet aflÃ¦gges efter Ã¥rsregnskabsloven.",Ãrsrapport,Svend Aage Stolten,Carsten Schnedler Johansen,Carsten Schnedler Johansen,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",Jysk Plastteknik A/S,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",,,Billund,,,,2013-04-30,2012-05-01,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",,Bestyrelsesmedlem,urn:ofk:oid:19301180,indberetninger-20180424,2.5124211,17015001.0,,2018-04-01T13:41:15.179Z,2013-10-07T22:00:00.000Z,regnskab,0.0,,2013-04-30,2012-05-01,13-223.742,2013-10-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,
entity identifier,2012-05-01,2013-04-30,ID_10,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8vcGRmcy8xNzAxNTAwMTtBL1MyMTMwODA7MjAxMjA1MDE7MjAxMzA0MzA7UjtS.pdf,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8veGJybHMvWC02Q0U0QjkzNi0yMDEzMTAwN18xMTU5NDNfNjUy.xml,"Give, 7323",Snevolden 3,"7190, Billund",Aastvej 10B,Til kapitalejerne i Jysk Plastteknik A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-09-30,1993-05-18,2013-09-30,,Statsautoriseret revisor,,,17015001.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2012 - 30. april 2013 for Jysk Plastteknik A/S.,"Vi har revideret Ã¥rsregnskabet for Jysk Plastteknik A/S for regnskabsÃ¥ret 1. maj 2012 - 30. april 2013 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet aflÃ¦gges efter Ã¥rsregnskabsloven.",Ãrsrapport,Svend Aage Stolten,Carsten Schnedler Johansen,Carsten Schnedler Johansen,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",Jysk Plastteknik A/S,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",,,Billund,,,,2013-04-30,2012-05-01,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",,Bestyrelsesmedlem,urn:ofk:oid:19301180,indberetninger-20180424,2.5124211,17015001.0,,2018-04-01T13:41:15.179Z,2013-10-07T22:00:00.000Z,regnskab,0.0,,2013-04-30,2012-05-01,13-223.742,2013-10-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,
entity identifier,2012-05-01,2013-04-30,ID_11,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8vcGRmcy8xNzAxNTAwMTtBL1MyMTMwODA7MjAxMjA1MDE7MjAxMzA0MzA7UjtS.pdf,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8veGJybHMvWC02Q0U0QjkzNi0yMDEzMTAwN18xMTU5NDNfNjUy.xml,"Give, 7323",Snevolden 3,"7190, Billund",Aastvej 10B,Til kapitalejerne i Jysk Plastteknik A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-09-30,1993-05-18,2013-09-30,-2500.0,Statsautoriseret revisor,597629.0,-507094.0,17015001.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2012 - 30. april 2013 for Jysk Plastteknik A/S.,"Vi har revideret Ã¥rsregnskabet for Jysk Plastteknik A/S for regnskabsÃ¥ret 1. maj 2012 - 30. april 2013 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet aflÃ¦gges efter Ã¥rsregnskabsloven.",Ãrsrapport,Svend Aage Stolten,Carsten Schnedler Johansen,Carsten Schnedler Johansen,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",Jysk Plastteknik A/S,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",748.0,0.0,Billund,67879.0,88783.0,88035.0,2013-04-30,2012-05-01,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",-20904.0,Bestyrelsesmedlem,urn:ofk:oid:19301180,indberetninger-20180424,2.5124211,17015001.0,,2018-04-01T13:41:15.179Z,2013-10-07T22:00:00.000Z,regnskab,0.0,,2013-04-30,2012-05-01,13-223.742,2013-10-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,
entity identifier,2012-05-01,2013-04-30,ID_13,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8vcGRmcy8xNzAxNTAwMTtBL1MyMTMwODA7MjAxMjA1MDE7MjAxMzA0MzA7UjtS.pdf,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8veGJybHMvWC02Q0U0QjkzNi0yMDEzMTAwN18xMTU5NDNfNjUy.xml,"Give, 7323",Snevolden 3,"7190, Billund",Aastvej 10B,Til kapitalejerne i Jysk Plastteknik A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-09-30,1993-05-18,2013-09-30,,Statsautoriseret revisor,,,17015001.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2012 - 30. april 2013 for Jysk Plastteknik A/S.,"Vi har revideret Ã¥rsregnskabet for Jysk Plastteknik A/S for regnskabsÃ¥ret 1. maj 2012 - 30. april 2013 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet aflÃ¦gges efter Ã¥rsregnskabsloven.",Ãrsrapport,Svend Aage Stolten,Carsten Schnedler Johansen,Carsten Schnedler Johansen,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",Jysk Plastteknik A/S,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",,,Billund,-67879.0,,,2013-04-30,2012-05-01,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",,Bestyrelsesmedlem,urn:ofk:oid:19301180,indberetninger-20180424,2.5124211,17015001.0,,2018-04-01T13:41:15.179Z,2013-10-07T22:00:00.000Z,regnskab,0.0,,2013-04-30,2012-05-01,13-223.742,2013-10-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,
entity identifier,2012-05-01,2013-04-30,ID_15,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8vcGRmcy8xNzAxNTAwMTtBL1MyMTMwODA7MjAxMjA1MDE7MjAxMzA0MzA7UjtS.pdf,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8veGJybHMvWC02Q0U0QjkzNi0yMDEzMTAwN18xMTU5NDNfNjUy.xml,"Give, 7323",Snevolden 3,"7190, Billund",Aastvej 10B,Til kapitalejerne i Jysk Plastteknik A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-09-30,1993-05-18,2013-09-30,,Statsautoriseret revisor,,,17015001.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2012 - 30. april 2013 for Jysk Plastteknik A/S.,"Vi har revideret Ã¥rsregnskabet for Jysk Plastteknik A/S for regnskabsÃ¥ret 1. maj 2012 - 30. april 2013 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet aflÃ¦gges efter Ã¥rsregnskabsloven.",Ãrsrapport,Svend Aage Stolten,Carsten Schnedler Johansen,Carsten Schnedler Johansen,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",Jysk Plastteknik A/S,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",,,Billund,-67879.0,,,2013-04-30,2012-05-01,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",,Bestyrelsesmedlem,urn:ofk:oid:19301180,indberetninger-20180424,2.5124211,17015001.0,,2018-04-01T13:41:15.179Z,2013-10-07T22:00:00.000Z,regnskab,0.0,,2013-04-30,2012-05-01,13-223.742,2013-10-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,
