entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,DateOfAuditorsReportOnAuditedFinancialStatements,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditorAppointedToPerformAudit,IdentificationNumberCvrOfReportingEntity,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditorAppointedToPerformAudit,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirmAppointedToPerformAudit,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfCompilationOfAuditorsReportOnAuditedFinancialStatements,ReportingPeriodEndDate,ReportingPeriodStartDate,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
entity identifier,2011-05-01,2012-04-30,ID_0,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8vcGRmcy8xNzAxNTAwMTtBL1MyMTMwODA7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8veGJybHMvWC0yMEM5NUEzOC0yMDEyMTAwNF8xNDI1MDlfMTIx.xml,"7323, Give",Snevolden 3,"7190, Billund",Aastvej 10B,Til kapitalejerne i Jysk Plastteknik A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2012-09-21,1993-05-18,2012-09-21,Statsautorisert revisor,17015001.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2011 - 30. april 2012 for Jysk Plastteknik A/S.,"Vi har revideret Ã¥rsregnskabet for Jysk Plastteknik A/S for regnskabsÃ¥ret 1. maj 2011 - 30. april 2012 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet aflÃ¦gges efter Ã¥rsregnskabsloven.",Ãrsrapport,Svend Aage Stolten,Carsten Schnedler Johansen,Carsten Schnedler Johansen,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",Jysk Plastteknik A/S,"Statsautoriseret Revisionsanpartsselskab, Centerrevision Billund",Billund,2012-04-30,2011-05-01,Bestyrelsesmedlem,urn:ofk:oid:19301173,indberetninger-20180424,2.5097342,17015001.0,,2018-04-02T03:03:54.359Z,2012-10-05T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-216.655,2012-10-05T22:00:00.000Z,,
entity identifier,2011-05-01,2012-04-30,ID_1,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8vcGRmcy8xNzAxNTAwMTtBL1MyMTMwODA7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8veGJybHMvWC0yMEM5NUEzOC0yMDEyMTAwNF8xNDI1MDlfMTIx.xml,"7323, Give",Snevolden 3,"7190, Billund",Aastvej 10B,Til kapitalejerne i Jysk Plastteknik A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2012-09-21,1993-05-18,2012-09-21,Statsautorisert revisor,17015001.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2011 - 30. april 2012 for Jysk Plastteknik A/S.,"Vi har revideret Ã¥rsregnskabet for Jysk Plastteknik A/S for regnskabsÃ¥ret 1. maj 2011 - 30. april 2012 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet aflÃ¦gges efter Ã¥rsregnskabsloven.",Ãrsrapport,Svend Aage Stolten,Carsten Schnedler Johansen,Carsten Schnedler Johansen,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",Jysk Plastteknik A/S,"Statsautoriseret Revisionsanpartsselskab, Centerrevision Billund",Billund,2012-04-30,2011-05-01,Bestyrelsesmedlem,urn:ofk:oid:19301173,indberetninger-20180424,2.5097342,17015001.0,,2018-04-02T03:03:54.359Z,2012-10-05T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-216.655,2012-10-05T22:00:00.000Z,,
entity identifier,2011-05-01,2012-04-30,ID_2,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8vcGRmcy8xNzAxNTAwMTtBL1MyMTMwODA7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8veGJybHMvWC0yMEM5NUEzOC0yMDEyMTAwNF8xNDI1MDlfMTIx.xml,"7323, Give",Snevolden 3,"7190, Billund",Aastvej 10B,Til kapitalejerne i Jysk Plastteknik A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2012-09-21,1993-05-18,2012-09-21,Statsautorisert revisor,17015001.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2011 - 30. april 2012 for Jysk Plastteknik A/S.,"Vi har revideret Ã¥rsregnskabet for Jysk Plastteknik A/S for regnskabsÃ¥ret 1. maj 2011 - 30. april 2012 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet aflÃ¦gges efter Ã¥rsregnskabsloven.",Ãrsrapport,Svend Aage Stolten,Carsten Schnedler Johansen,Carsten Schnedler Johansen,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",Jysk Plastteknik A/S,"Statsautoriseret Revisionsanpartsselskab, Centerrevision Billund",Billund,2012-04-30,2011-05-01,Bestyrelsesmedlem,urn:ofk:oid:19301173,indberetninger-20180424,2.5097342,17015001.0,,2018-04-02T03:03:54.359Z,2012-10-05T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-216.655,2012-10-05T22:00:00.000Z,Carsten Schnedler Johansen,Bestyrelsesmedlem
entity identifier,2011-05-01,2012-04-30,ID_3,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8vcGRmcy8xNzAxNTAwMTtBL1MyMTMwODA7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8veGJybHMvWC0yMEM5NUEzOC0yMDEyMTAwNF8xNDI1MDlfMTIx.xml,"7323, Give",Snevolden 3,"7190, Billund",Aastvej 10B,Til kapitalejerne i Jysk Plastteknik A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2012-09-21,1993-05-18,2012-09-21,Statsautorisert revisor,17015001.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2011 - 30. april 2012 for Jysk Plastteknik A/S.,"Vi har revideret Ã¥rsregnskabet for Jysk Plastteknik A/S for regnskabsÃ¥ret 1. maj 2011 - 30. april 2012 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet aflÃ¦gges efter Ã¥rsregnskabsloven.",Ãrsrapport,Svend Aage Stolten,Carsten Schnedler Johansen,Carsten Schnedler Johansen,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",Jysk Plastteknik A/S,"Statsautoriseret Revisionsanpartsselskab, Centerrevision Billund",Billund,2012-04-30,2011-05-01,Bestyrelsesmedlem,urn:ofk:oid:19301173,indberetninger-20180424,2.5097342,17015001.0,,2018-04-02T03:03:54.359Z,2012-10-05T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-216.655,2012-10-05T22:00:00.000Z,,
entity identifier,2011-05-01,2012-04-30,ID_4,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8vcGRmcy8xNzAxNTAwMTtBL1MyMTMwODA7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8veGJybHMvWC0yMEM5NUEzOC0yMDEyMTAwNF8xNDI1MDlfMTIx.xml,"7323, Give",Snevolden 3,"7190, Billund",Aastvej 10B,Til kapitalejerne i Jysk Plastteknik A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2012-09-21,1993-05-18,2012-09-21,Statsautorisert revisor,17015001.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2011 - 30. april 2012 for Jysk Plastteknik A/S.,"Vi har revideret Ã¥rsregnskabet for Jysk Plastteknik A/S for regnskabsÃ¥ret 1. maj 2011 - 30. april 2012 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet aflÃ¦gges efter Ã¥rsregnskabsloven.",Ãrsrapport,Svend Aage Stolten,Carsten Schnedler Johansen,Carsten Schnedler Johansen,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",Jysk Plastteknik A/S,"Statsautoriseret Revisionsanpartsselskab, Centerrevision Billund",Billund,2012-04-30,2011-05-01,Bestyrelsesmedlem,urn:ofk:oid:19301173,indberetninger-20180424,2.5097342,17015001.0,,2018-04-02T03:03:54.359Z,2012-10-05T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-216.655,2012-10-05T22:00:00.000Z,,
entity identifier,2011-05-01,2012-04-30,ID_5,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8vcGRmcy8xNzAxNTAwMTtBL1MyMTMwODA7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8veGJybHMvWC0yMEM5NUEzOC0yMDEyMTAwNF8xNDI1MDlfMTIx.xml,"7323, Give",Snevolden 3,"7190, Billund",Aastvej 10B,Til kapitalejerne i Jysk Plastteknik A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2012-09-21,1993-05-18,2012-09-21,Statsautorisert revisor,17015001.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2011 - 30. april 2012 for Jysk Plastteknik A/S.,"Vi har revideret Ã¥rsregnskabet for Jysk Plastteknik A/S for regnskabsÃ¥ret 1. maj 2011 - 30. april 2012 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet aflÃ¦gges efter Ã¥rsregnskabsloven.",Ãrsrapport,Svend Aage Stolten,Carsten Schnedler Johansen,Carsten Schnedler Johansen,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",Jysk Plastteknik A/S,"Statsautoriseret Revisionsanpartsselskab, Centerrevision Billund",Billund,2012-04-30,2011-05-01,Bestyrelsesmedlem,urn:ofk:oid:19301173,indberetninger-20180424,2.5097342,17015001.0,,2018-04-02T03:03:54.359Z,2012-10-05T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-216.655,2012-10-05T22:00:00.000Z,Kirsten HÃ¸jgaard Johansen,Bestyrelsesmedlem
entity identifier,2011-05-01,2012-04-30,ID_6,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8vcGRmcy8xNzAxNTAwMTtBL1MyMTMwODA7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8veGJybHMvWC0yMEM5NUEzOC0yMDEyMTAwNF8xNDI1MDlfMTIx.xml,"7323, Give",Snevolden 3,"7190, Billund",Aastvej 10B,Til kapitalejerne i Jysk Plastteknik A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2012-09-21,1993-05-18,2012-09-21,Statsautorisert revisor,17015001.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2011 - 30. april 2012 for Jysk Plastteknik A/S.,"Vi har revideret Ã¥rsregnskabet for Jysk Plastteknik A/S for regnskabsÃ¥ret 1. maj 2011 - 30. april 2012 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet aflÃ¦gges efter Ã¥rsregnskabsloven.",Ãrsrapport,Svend Aage Stolten,Carsten Schnedler Johansen,Carsten Schnedler Johansen,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",Jysk Plastteknik A/S,"Statsautoriseret Revisionsanpartsselskab, Centerrevision Billund",Billund,2012-04-30,2011-05-01,Bestyrelsesmedlem,urn:ofk:oid:19301173,indberetninger-20180424,2.5097342,17015001.0,,2018-04-02T03:03:54.359Z,2012-10-05T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-216.655,2012-10-05T22:00:00.000Z,SÃ¸ren Tonnesen,Bestyrelsesmedlem
entity identifier,2011-05-01,2012-04-30,ID_7,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8vcGRmcy8xNzAxNTAwMTtBL1MyMTMwODA7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8veGJybHMvWC0yMEM5NUEzOC0yMDEyMTAwNF8xNDI1MDlfMTIx.xml,"7323, Give",Snevolden 3,"7190, Billund",Aastvej 10B,Til kapitalejerne i Jysk Plastteknik A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2012-09-21,1993-05-18,2012-09-21,Statsautorisert revisor,17015001.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2011 - 30. april 2012 for Jysk Plastteknik A/S.,"Vi har revideret Ã¥rsregnskabet for Jysk Plastteknik A/S for regnskabsÃ¥ret 1. maj 2011 - 30. april 2012 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet aflÃ¦gges efter Ã¥rsregnskabsloven.",Ãrsrapport,Svend Aage Stolten,Carsten Schnedler Johansen,Carsten Schnedler Johansen,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",Jysk Plastteknik A/S,"Statsautoriseret Revisionsanpartsselskab, Centerrevision Billund",Billund,2012-04-30,2011-05-01,Bestyrelsesmedlem,urn:ofk:oid:19301173,indberetninger-20180424,2.5097342,17015001.0,,2018-04-02T03:03:54.359Z,2012-10-05T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-216.655,2012-10-05T22:00:00.000Z,,
entity identifier,2011-05-01,2012-04-30,ID_8,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8vcGRmcy8xNzAxNTAwMTtBL1MyMTMwODA7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8veGJybHMvWC0yMEM5NUEzOC0yMDEyMTAwNF8xNDI1MDlfMTIx.xml,"7323, Give",Snevolden 3,"7190, Billund",Aastvej 10B,Til kapitalejerne i Jysk Plastteknik A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2012-09-21,1993-05-18,2012-09-21,Statsautorisert revisor,17015001.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2011 - 30. april 2012 for Jysk Plastteknik A/S.,"Vi har revideret Ã¥rsregnskabet for Jysk Plastteknik A/S for regnskabsÃ¥ret 1. maj 2011 - 30. april 2012 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet aflÃ¦gges efter Ã¥rsregnskabsloven.",Ãrsrapport,Svend Aage Stolten,Carsten Schnedler Johansen,Carsten Schnedler Johansen,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",Jysk Plastteknik A/S,"Statsautoriseret Revisionsanpartsselskab, Centerrevision Billund",Billund,2012-04-30,2011-05-01,Bestyrelsesmedlem,urn:ofk:oid:19301173,indberetninger-20180424,2.5097342,17015001.0,,2018-04-02T03:03:54.359Z,2012-10-05T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-216.655,2012-10-05T22:00:00.000Z,,
entity identifier,2011-05-01,2012-04-30,ID_9,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8vcGRmcy8xNzAxNTAwMTtBL1MyMTMwODA7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/10051071/Y3ZyLmRrOi8veGJybHMvWC0yMEM5NUEzOC0yMDEyMTAwNF8xNDI1MDlfMTIx.xml,"7323, Give",Snevolden 3,"7190, Billund",Aastvej 10B,Til kapitalejerne i Jysk Plastteknik A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2012-09-21,1993-05-18,2012-09-21,Statsautorisert revisor,17015001.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2011 - 30. april 2012 for Jysk Plastteknik A/S.,"Vi har revideret Ã¥rsregnskabet for Jysk Plastteknik A/S for regnskabsÃ¥ret 1. maj 2011 - 30. april 2012 omfattende anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet aflÃ¦gges efter Ã¥rsregnskabsloven.",Ãrsrapport,Svend Aage Stolten,Carsten Schnedler Johansen,Carsten Schnedler Johansen,"Centerrevision Billund, Statsautoriseret Revisionsanpartsselskab",Jysk Plastteknik A/S,"Statsautoriseret Revisionsanpartsselskab, Centerrevision Billund",Billund,2012-04-30,2011-05-01,Bestyrelsesmedlem,urn:ofk:oid:19301173,indberetninger-20180424,2.5097342,17015001.0,,2018-04-02T03:03:54.359Z,2012-10-05T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-216.655,2012-10-05T22:00:00.000Z,,
