entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherShorttermPayables,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromAssociates,NameAndSurnameOfMemberOfExecutiveBoard,AdditionsToDisposalsOfEquityThroughMergersAndBusinessCombinations,AdjustmentsOfCollateralsBySaleOfInvestments,AdjustmentsOfHedgingInstruments,AdjustmentsOfHedgingInstrumentsAtFairValue,BonusShares,CashPaymentsConcerningFormationOfEntity,ChangesInEquityOfTax,ContributionFromGroup,CostRelatedToIncreaseOfCapital,DecreaseOfCapital,DissolutionOfPreviousYearsRevaluations,DistributedDividendsFromAssociates,DistributedDividendsFromGroupEnterprises,Dividend,DividendPaid,DividendsFromTreasuryShares,EquityTransfersToReserves,ExtraordinaryDividendPaid,IncreaseDecreaseOfEquityByDivisionAndSaleOfOtherCompany,IncreaseDecreaseOfEquityThroughChangesInAccountingPolicies,IncreaseDecreaseOfEquityThroughCorrectionsOfErrors,IncreaseDecreaseOfInvestmentsThroughNetExchangeDifferencesEquity,IncreaseDecreaseOfReservesThroughApplicationOfUnitingOfInterestsMethodEquity,IncreaseOfCapital,OtherAdjustmentsOfEquity,ProfitLlossFromGroupEnterprises,ProfitLossFromAssociates,PurchaseOfMinorityShares,PurchaseOfTreasuryShares,ReceivablesShareCapitalPaid,Revaluations,ReversedRevaluationsDuringReportingPeriod,SaleOfMinorityShares,SalesOfTreasuryShares,TransferToCoverageOfLosses,TransferredFromSharePremium,ValueAdjustmentsOfEquity
33248385,2016-01-01,2016-12-31,ID_16,,http://regnskaber.virk.dk/58384233/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5L2Q0L2RhLzA2LzExNGItNDhkZC05ZTQ0LWY0NDJjYmExOGIzNA.pdf,http://regnskaber.virk.dk/58384233/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzQ3LzZjL2EyLzE4NGItNGYxZS1hZjZhLTI5ZWY5NTgyYzc1YQ.xml,true,"4200, Slagelse",Nytorv 8,Til kapitalejerne i DHL Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2018-04-05,2018-04-05,2010-10-15,2018-04-24,-7500.0,21696382.0,33248385.0,21696382.0,mne9158,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for DHL Holding ApS.,Ãrsrapport,SÃ¸ren Dalsgaard,Dennis Hougaard Laustsen,"DALSGAARD, STAHL & WÃLDIKE",DHL Holding ApS,"DALSGAARD, STAHL & WÃLDIKE, Statsautoriseret revisionsanpartsselskab",38139.0,Borup,2016-01-01,2016-12-31,32289.0,30639.0,-7500.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"259, KÃ¸ge",2017-12-31,2017-01-01,true,2018-04-05,Slagelse,-1650.0,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25705186,indberetninger-20180424,2.5118417999999996,33248385.0,AWPKfI5W0wkEsASktY7I,2018-06-04T11:10:06.286Z,2018-06-04T11:09:09.633Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-99-LW,2018-06-04T11:09:10.067Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33248385,2016-01-01,2016-12-31,ID_18,,http://regnskaber.virk.dk/58384233/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5L2Q0L2RhLzA2LzExNGItNDhkZC05ZTQ0LWY0NDJjYmExOGIzNA.pdf,http://regnskaber.virk.dk/58384233/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzQ3LzZjL2EyLzE4NGItNGYxZS1hZjZhLTI5ZWY5NTgyYzc1YQ.xml,true,"4200, Slagelse",Nytorv 8,Til kapitalejerne i DHL Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2018-04-05,2018-04-05,2010-10-15,2018-04-24,,21696382.0,33248385.0,21696382.0,mne9158,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for DHL Holding ApS.,Ãrsrapport,SÃ¸ren Dalsgaard,Dennis Hougaard Laustsen,"DALSGAARD, STAHL & WÃLDIKE",DHL Holding ApS,"DALSGAARD, STAHL & WÃLDIKE, Statsautoriseret revisionsanpartsselskab",,Borup,2016-01-01,2016-12-31,-38139.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"259, KÃ¸ge",2017-12-31,2017-01-01,true,2018-04-05,Slagelse,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25705186,indberetninger-20180424,2.5118417999999996,33248385.0,AWPKfI5W0wkEsASktY7I,2018-06-04T11:10:06.286Z,2018-06-04T11:09:09.633Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-99-LW,2018-06-04T11:09:10.067Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33248385,2016-01-01,2016-12-31,ID_20,,http://regnskaber.virk.dk/58384233/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5L2Q0L2RhLzA2LzExNGItNDhkZC05ZTQ0LWY0NDJjYmExOGIzNA.pdf,http://regnskaber.virk.dk/58384233/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzQ3LzZjL2EyLzE4NGItNGYxZS1hZjZhLTI5ZWY5NTgyYzc1YQ.xml,true,"4200, Slagelse",Nytorv 8,Til kapitalejerne i DHL Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2018-04-05,2018-04-05,2010-10-15,2018-04-24,,21696382.0,33248385.0,21696382.0,mne9158,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for DHL Holding ApS.,Ãrsrapport,SÃ¸ren Dalsgaard,Dennis Hougaard Laustsen,"DALSGAARD, STAHL & WÃLDIKE",DHL Holding ApS,"DALSGAARD, STAHL & WÃLDIKE, Statsautoriseret revisionsanpartsselskab",,Borup,2016-01-01,2016-12-31,5850.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"259, KÃ¸ge",2017-12-31,2017-01-01,true,2018-04-05,Slagelse,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25705186,indberetninger-20180424,2.5118417999999996,33248385.0,AWPKfI5W0wkEsASktY7I,2018-06-04T11:10:06.286Z,2018-06-04T11:09:09.633Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-99-LW,2018-06-04T11:09:10.067Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33248385,2016-12-31,2016-12-31,ID_9,,http://regnskaber.virk.dk/58384233/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5L2Q0L2RhLzA2LzExNGItNDhkZC05ZTQ0LWY0NDJjYmExOGIzNA.pdf,http://regnskaber.virk.dk/58384233/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzQ3LzZjL2EyLzE4NGItNGYxZS1hZjZhLTI5ZWY5NTgyYzc1YQ.xml,true,"4200, Slagelse",Nytorv 8,Til kapitalejerne i DHL Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2018-04-05,2018-04-05,2010-10-15,2018-04-24,,21696382.0,33248385.0,21696382.0,mne9158,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for DHL Holding ApS.,Ãrsrapport,SÃ¸ren Dalsgaard,Dennis Hougaard Laustsen,"DALSGAARD, STAHL & WÃLDIKE",DHL Holding ApS,"DALSGAARD, STAHL & WÃLDIKE, Statsautoriseret revisionsanpartsselskab",,Borup,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"259, KÃ¸ge",2017-12-31,2017-01-01,true,2018-04-05,Slagelse,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25705186,indberetninger-20180424,2.5118417999999996,33248385.0,AWPKfI5W0wkEsASktY7I,2018-06-04T11:10:06.286Z,2018-06-04T11:09:09.633Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-99-LW,2018-06-04T11:09:10.067Z,418654.0,80000.0,35219.0,17328.0,408654.0,418654.0,10000.0,383435.0,383435.0,383435.0,10000.0,106648.0,222006.0,10000.0,35219.0,17891.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33248385,2017-01-01,2017-01-01,ID_13,,http://regnskaber.virk.dk/58384233/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5L2Q0L2RhLzA2LzExNGItNDhkZC05ZTQ0LWY0NDJjYmExOGIzNA.pdf,http://regnskaber.virk.dk/58384233/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzQ3LzZjL2EyLzE4NGItNGYxZS1hZjZhLTI5ZWY5NTgyYzc1YQ.xml,true,"4200, Slagelse",Nytorv 8,Til kapitalejerne i DHL Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2018-04-05,2018-04-05,2010-10-15,2018-04-24,,21696382.0,33248385.0,21696382.0,mne9158,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for DHL Holding ApS.,Ãrsrapport,SÃ¸ren Dalsgaard,Dennis Hougaard Laustsen,"DALSGAARD, STAHL & WÃLDIKE",DHL Holding ApS,"DALSGAARD, STAHL & WÃLDIKE, Statsautoriseret revisionsanpartsselskab",,Borup,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"259, KÃ¸ge",2017-12-31,2017-01-01,true,2018-04-05,Slagelse,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25705186,indberetninger-20180424,2.5118417999999996,33248385.0,AWPKfI5W0wkEsASktY7I,2018-06-04T11:10:06.286Z,2018-06-04T11:09:09.633Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-99-LW,2018-06-04T11:09:10.067Z,,,,,-80000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33248385,2017-01-01,2017-01-01,ID_14,,http://regnskaber.virk.dk/58384233/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5L2Q0L2RhLzA2LzExNGItNDhkZC05ZTQ0LWY0NDJjYmExOGIzNA.pdf,http://regnskaber.virk.dk/58384233/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzQ3LzZjL2EyLzE4NGItNGYxZS1hZjZhLTI5ZWY5NTgyYzc1YQ.xml,true,"4200, Slagelse",Nytorv 8,Til kapitalejerne i DHL Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2018-04-05,2018-04-05,2010-10-15,2018-04-24,,21696382.0,33248385.0,21696382.0,mne9158,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for DHL Holding ApS.,Ãrsrapport,SÃ¸ren Dalsgaard,Dennis Hougaard Laustsen,"DALSGAARD, STAHL & WÃLDIKE",DHL Holding ApS,"DALSGAARD, STAHL & WÃLDIKE, Statsautoriseret revisionsanpartsselskab",,Borup,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"259, KÃ¸ge",2017-12-31,2017-01-01,true,2018-04-05,Slagelse,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25705186,indberetninger-20180424,2.5118417999999996,33248385.0,AWPKfI5W0wkEsASktY7I,2018-06-04T11:10:06.286Z,2018-06-04T11:09:09.633Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-99-LW,2018-06-04T11:09:10.067Z,,,,,-106648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33248385,2017-01-01,2017-01-01,ID_15,,http://regnskaber.virk.dk/58384233/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5L2Q0L2RhLzA2LzExNGItNDhkZC05ZTQ0LWY0NDJjYmExOGIzNA.pdf,http://regnskaber.virk.dk/58384233/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzQ3LzZjL2EyLzE4NGItNGYxZS1hZjZhLTI5ZWY5NTgyYzc1YQ.xml,true,"4200, Slagelse",Nytorv 8,Til kapitalejerne i DHL Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2018-04-05,2018-04-05,2010-10-15,2018-04-24,,21696382.0,33248385.0,21696382.0,mne9158,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for DHL Holding ApS.,Ãrsrapport,SÃ¸ren Dalsgaard,Dennis Hougaard Laustsen,"DALSGAARD, STAHL & WÃLDIKE",DHL Holding ApS,"DALSGAARD, STAHL & WÃLDIKE, Statsautoriseret revisionsanpartsselskab",,Borup,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"259, KÃ¸ge",2017-12-31,2017-01-01,true,2018-04-05,Slagelse,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25705186,indberetninger-20180424,2.5118417999999996,33248385.0,AWPKfI5W0wkEsASktY7I,2018-06-04T11:10:06.286Z,2018-06-04T11:09:09.633Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-99-LW,2018-06-04T11:09:10.067Z,,,,,-222006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33248385,2017-01-01,2017-12-31,ID_0,,http://regnskaber.virk.dk/58384233/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5L2Q0L2RhLzA2LzExNGItNDhkZC05ZTQ0LWY0NDJjYmExOGIzNA.pdf,http://regnskaber.virk.dk/58384233/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzQ3LzZjL2EyLzE4NGItNGYxZS1hZjZhLTI5ZWY5NTgyYzc1YQ.xml,true,"4200, Slagelse",Nytorv 8,Til kapitalejerne i DHL Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2018-04-05,2018-04-05,2010-10-15,2018-04-24,0.0,21696382.0,33248385.0,21696382.0,mne9158,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for DHL Holding ApS.,Ãrsrapport,SÃ¸ren Dalsgaard,Dennis Hougaard Laustsen,"DALSGAARD, STAHL & WÃLDIKE",DHL Holding ApS,"DALSGAARD, STAHL & WÃLDIKE, Statsautoriseret revisionsanpartsselskab",21093.0,Borup,2016-01-01,2016-12-31,21093.0,21093.0,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"259, KÃ¸ge",2017-12-31,2017-01-01,true,2018-04-05,Slagelse,0.0,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25705186,indberetninger-20180424,2.5118417999999996,33248385.0,AWPKfI5W0wkEsASktY7I,2018-06-04T11:10:06.286Z,2018-06-04T11:09:09.633Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-99-LW,2018-06-04T11:09:10.067Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33248385,2017-01-01,2017-12-31,ID_1,,http://regnskaber.virk.dk/58384233/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5L2Q0L2RhLzA2LzExNGItNDhkZC05ZTQ0LWY0NDJjYmExOGIzNA.pdf,http://regnskaber.virk.dk/58384233/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzQ3LzZjL2EyLzE4NGItNGYxZS1hZjZhLTI5ZWY5NTgyYzc1YQ.xml,true,"4200, Slagelse",Nytorv 8,Til kapitalejerne i DHL Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2018-04-05,2018-04-05,2010-10-15,2018-04-24,,21696382.0,33248385.0,21696382.0,mne9158,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for DHL Holding ApS.,Ãrsrapport,SÃ¸ren Dalsgaard,Dennis Hougaard Laustsen,"DALSGAARD, STAHL & WÃLDIKE",DHL Holding ApS,"DALSGAARD, STAHL & WÃLDIKE, Statsautoriseret revisionsanpartsselskab",,Borup,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"259, KÃ¸ge",2017-12-31,2017-01-01,true,2018-04-05,Slagelse,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25705186,indberetninger-20180424,2.5118417999999996,33248385.0,AWPKfI5W0wkEsASktY7I,2018-06-04T11:10:06.286Z,2018-06-04T11:09:09.633Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-99-LW,2018-06-04T11:09:10.067Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33248385,2017-01-01,2017-12-31,ID_17,,http://regnskaber.virk.dk/58384233/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5L2Q0L2RhLzA2LzExNGItNDhkZC05ZTQ0LWY0NDJjYmExOGIzNA.pdf,http://regnskaber.virk.dk/58384233/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzQ3LzZjL2EyLzE4NGItNGYxZS1hZjZhLTI5ZWY5NTgyYzc1YQ.xml,true,"4200, Slagelse",Nytorv 8,Til kapitalejerne i DHL Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2018-04-05,2018-04-05,2010-10-15,2018-04-24,,21696382.0,33248385.0,21696382.0,mne9158,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for DHL Holding ApS.,Ãrsrapport,SÃ¸ren Dalsgaard,Dennis Hougaard Laustsen,"DALSGAARD, STAHL & WÃLDIKE",DHL Holding ApS,"DALSGAARD, STAHL & WÃLDIKE, Statsautoriseret revisionsanpartsselskab",,Borup,2016-01-01,2016-12-31,-21093.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"259, KÃ¸ge",2017-12-31,2017-01-01,true,2018-04-05,Slagelse,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25705186,indberetninger-20180424,2.5118417999999996,33248385.0,AWPKfI5W0wkEsASktY7I,2018-06-04T11:10:06.286Z,2018-06-04T11:09:09.633Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-99-LW,2018-06-04T11:09:10.067Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
