entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,Equity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,GrossProfitLoss,InterestExpenseAssignedToGroupEnterprises,OtherFinanceExpenses,OtherInterestExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,ConvertibleProfitYieldingOrDividendYieldingLongtermDebtInstruments,CurrentAssets,CurrentDeferredTaxAssets,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermPayablesToGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard
34609039,2014-01-01,2014-01-01,c720,,http://regnskaber.virk.dk/93090643/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzAyL2JlL2NiLzdkODItNDQ3YS1iNWIwLTAyOWNhNmVjZWIxYg.pdf,http://regnskaber.virk.dk/93090643/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzEyLzZmL2EyLzA2MjUtNDA0ZS04MjcxLWZmYTlkNWNmYzY3ZA.xml,", KÃ¸benhavn K",1123.0,2.0,"Gothersgade 21,","1264, KÃ¸benhavn K","Store Kongensgade, 68",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-23,2016-06-23,2012-07-01,2016-06-27,Andre eksterne omkostninger omfatter omkostninger til administration.,80000.0,34609039.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Vesterbrogade 129 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bo Holm Hansen,Vesterbrogade 129 ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸benhavn K,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,2016-06-23,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22792140,indberetninger-20180424,2.5124211,34609039.0,,2018-03-29T15:23:24.707Z,2016-06-30T06:14:48.610Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-72-TM,2016-06-30T06:14:48.753Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34609039,2014-01-01,2014-01-01,c741,,http://regnskaber.virk.dk/93090643/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzAyL2JlL2NiLzdkODItNDQ3YS1iNWIwLTAyOWNhNmVjZWIxYg.pdf,http://regnskaber.virk.dk/93090643/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzEyLzZmL2EyLzA2MjUtNDA0ZS04MjcxLWZmYTlkNWNmYzY3ZA.xml,", KÃ¸benhavn K",1123.0,2.0,"Gothersgade 21,","1264, KÃ¸benhavn K","Store Kongensgade, 68",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-23,2016-06-23,2012-07-01,2016-06-27,Andre eksterne omkostninger omfatter omkostninger til administration.,-1000.0,34609039.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Vesterbrogade 129 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bo Holm Hansen,Vesterbrogade 129 ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸benhavn K,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,2016-06-23,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22792140,indberetninger-20180424,2.5124211,34609039.0,,2018-03-29T15:23:24.707Z,2016-06-30T06:14:48.610Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-72-TM,2016-06-30T06:14:48.753Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34609039,2014-01-01,2014-12-31,c123,,http://regnskaber.virk.dk/93090643/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzAyL2JlL2NiLzdkODItNDQ3YS1iNWIwLTAyOWNhNmVjZWIxYg.pdf,http://regnskaber.virk.dk/93090643/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzEyLzZmL2EyLzA2MjUtNDA0ZS04MjcxLWZmYTlkNWNmYzY3ZA.xml,", KÃ¸benhavn K",1123.0,2.0,"Gothersgade 21,","1264, KÃ¸benhavn K","Store Kongensgade, 68",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-23,2016-06-23,2012-07-01,2016-06-27,Andre eksterne omkostninger omfatter omkostninger til administration.,,34609039.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Vesterbrogade 129 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bo Holm Hansen,Vesterbrogade 129 ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸benhavn K,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,2016-06-23,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22792140,indberetninger-20180424,2.5124211,34609039.0,,2018-03-29T15:23:24.707Z,2016-06-30T06:14:48.610Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-72-TM,2016-06-30T06:14:48.753Z,-564000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
34609039,2014-01-01,2014-12-31,c3,,http://regnskaber.virk.dk/93090643/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzAyL2JlL2NiLzdkODItNDQ3YS1iNWIwLTAyOWNhNmVjZWIxYg.pdf,http://regnskaber.virk.dk/93090643/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzEyLzZmL2EyLzA2MjUtNDA0ZS04MjcxLWZmYTlkNWNmYzY3ZA.xml,", KÃ¸benhavn K",1123.0,2.0,"Gothersgade 21,","1264, KÃ¸benhavn K","Store Kongensgade, 68",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-23,2016-06-23,2012-07-01,2016-06-27,Andre eksterne omkostninger omfatter omkostninger til administration.,,34609039.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Vesterbrogade 129 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bo Holm Hansen,Vesterbrogade 129 ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸benhavn K,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,2016-06-23,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22792140,indberetninger-20180424,2.5124211,34609039.0,,2018-03-29T15:23:24.707Z,2016-06-30T06:14:48.610Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-72-TM,2016-06-30T06:14:48.753Z,-564000.0,56000.0,-10000.0,663000.0,663000.0,0.0,-729000.0,-66000.0,-165000.0,,,,,,,,,,,,,,,,,,,
34609039,2014-01-01,2014-12-31,c742,,http://regnskaber.virk.dk/93090643/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzAyL2JlL2NiLzdkODItNDQ3YS1iNWIwLTAyOWNhNmVjZWIxYg.pdf,http://regnskaber.virk.dk/93090643/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzEyLzZmL2EyLzA2MjUtNDA0ZS04MjcxLWZmYTlkNWNmYzY3ZA.xml,", KÃ¸benhavn K",1123.0,2.0,"Gothersgade 21,","1264, KÃ¸benhavn K","Store Kongensgade, 68",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-23,2016-06-23,2012-07-01,2016-06-27,Andre eksterne omkostninger omfatter omkostninger til administration.,,34609039.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Vesterbrogade 129 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bo Holm Hansen,Vesterbrogade 129 ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸benhavn K,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,2016-06-23,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22792140,indberetninger-20180424,2.5124211,34609039.0,,2018-03-29T15:23:24.707Z,2016-06-30T06:14:48.610Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-72-TM,2016-06-30T06:14:48.753Z,-564000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
34609039,2014-12-31,2014-12-31,c4,,http://regnskaber.virk.dk/93090643/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzAyL2JlL2NiLzdkODItNDQ3YS1iNWIwLTAyOWNhNmVjZWIxYg.pdf,http://regnskaber.virk.dk/93090643/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzEyLzZmL2EyLzA2MjUtNDA0ZS04MjcxLWZmYTlkNWNmYzY3ZA.xml,", KÃ¸benhavn K",1123.0,2.0,"Gothersgade 21,","1264, KÃ¸benhavn K","Store Kongensgade, 68",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-23,2016-06-23,2012-07-01,2016-06-27,Andre eksterne omkostninger omfatter omkostninger til administration.,-485000.0,34609039.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Vesterbrogade 129 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bo Holm Hansen,Vesterbrogade 129 ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸benhavn K,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,2016-06-23,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22792140,indberetninger-20180424,2.5124211,34609039.0,,2018-03-29T15:23:24.707Z,2016-06-30T06:14:48.610Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-72-TM,2016-06-30T06:14:48.753Z,,,,,,,,,,3688000.0,74000.0,80000.0,3500000.0,239000.0,165000.0,3449000.0,3688000.0,4173000.0,4163000.0,663000.0,3449000.0,0.0,3449000.0,-565000.0,10000.0,165000.0,10000.0,
34609039,2014-12-31,2014-12-31,c722,,http://regnskaber.virk.dk/93090643/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzAyL2JlL2NiLzdkODItNDQ3YS1iNWIwLTAyOWNhNmVjZWIxYg.pdf,http://regnskaber.virk.dk/93090643/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzEyLzZmL2EyLzA2MjUtNDA0ZS04MjcxLWZmYTlkNWNmYzY3ZA.xml,", KÃ¸benhavn K",1123.0,2.0,"Gothersgade 21,","1264, KÃ¸benhavn K","Store Kongensgade, 68",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-23,2016-06-23,2012-07-01,2016-06-27,Andre eksterne omkostninger omfatter omkostninger til administration.,80000.0,34609039.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Vesterbrogade 129 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bo Holm Hansen,Vesterbrogade 129 ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸benhavn K,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,2016-06-23,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22792140,indberetninger-20180424,2.5124211,34609039.0,,2018-03-29T15:23:24.707Z,2016-06-30T06:14:48.610Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-72-TM,2016-06-30T06:14:48.753Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34609039,2014-12-31,2014-12-31,c743,,http://regnskaber.virk.dk/93090643/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzAyL2JlL2NiLzdkODItNDQ3YS1iNWIwLTAyOWNhNmVjZWIxYg.pdf,http://regnskaber.virk.dk/93090643/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzEyLzZmL2EyLzA2MjUtNDA0ZS04MjcxLWZmYTlkNWNmYzY3ZA.xml,", KÃ¸benhavn K",1123.0,2.0,"Gothersgade 21,","1264, KÃ¸benhavn K","Store Kongensgade, 68",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-23,2016-06-23,2012-07-01,2016-06-27,Andre eksterne omkostninger omfatter omkostninger til administration.,-565000.0,34609039.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Vesterbrogade 129 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bo Holm Hansen,Vesterbrogade 129 ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸benhavn K,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,2016-06-23,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22792140,indberetninger-20180424,2.5124211,34609039.0,,2018-03-29T15:23:24.707Z,2016-06-30T06:14:48.610Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-72-TM,2016-06-30T06:14:48.753Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34609039,2015-01-01,2015-01-01,c181,,http://regnskaber.virk.dk/93090643/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzAyL2JlL2NiLzdkODItNDQ3YS1iNWIwLTAyOWNhNmVjZWIxYg.pdf,http://regnskaber.virk.dk/93090643/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzEyLzZmL2EyLzA2MjUtNDA0ZS04MjcxLWZmYTlkNWNmYzY3ZA.xml,", KÃ¸benhavn K",1123.0,2.0,"Gothersgade 21,","1264, KÃ¸benhavn K","Store Kongensgade, 68",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-23,2016-06-23,2012-07-01,2016-06-27,Andre eksterne omkostninger omfatter omkostninger til administration.,80000.0,34609039.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Vesterbrogade 129 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bo Holm Hansen,Vesterbrogade 129 ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸benhavn K,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,2016-06-23,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22792140,indberetninger-20180424,2.5124211,34609039.0,,2018-03-29T15:23:24.707Z,2016-06-30T06:14:48.610Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-72-TM,2016-06-30T06:14:48.753Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34609039,2015-01-01,2015-01-01,c199,,http://regnskaber.virk.dk/93090643/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzAyL2JlL2NiLzdkODItNDQ3YS1iNWIwLTAyOWNhNmVjZWIxYg.pdf,http://regnskaber.virk.dk/93090643/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzEyLzZmL2EyLzA2MjUtNDA0ZS04MjcxLWZmYTlkNWNmYzY3ZA.xml,", KÃ¸benhavn K",1123.0,2.0,"Gothersgade 21,","1264, KÃ¸benhavn K","Store Kongensgade, 68",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-23,2016-06-23,2012-07-01,2016-06-27,Andre eksterne omkostninger omfatter omkostninger til administration.,-565363.0,34609039.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Vesterbrogade 129 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bo Holm Hansen,Vesterbrogade 129 ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸benhavn K,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,2016-06-23,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22792140,indberetninger-20180424,2.5124211,34609039.0,,2018-03-29T15:23:24.707Z,2016-06-30T06:14:48.610Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-72-TM,2016-06-30T06:14:48.753Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
