entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,ProfitLoss,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,TypeOfBasisForModifiedOpinionOnAuditedFinancialStatements,TypeOfModifiedOpinionOnAuditedFinancialStatements,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossResult,OtherFinanceExpenses,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables,NameOfAuditFirm
33254458,2014-01-01,2014-12-31,c110,,http://regnskaber.virk.dk/85445233/ZG9rdW1lbnRsYWdlcjovLzAzL2U4LzdhLzMzLzg2L2Y0MmQtNDMxMy1hNTQwLWM5MTZkZWNhMjMwZA.pdf,http://regnskaber.virk.dk/85445233/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2FkLzAyLzE0L2NkZTEtNDdmZi1iNGViLWQzYjNhNzZkODE3OQ.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1203 KÃ¸benhavn K,"c/o Strand House ApS, Nybrogade 18",DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2016-12-16,2010-10-05,2016-12-16,Statsautoriseret revisor,20222670.0,33254458.0,20222670.0,Ãrsrapport,Morten Kenhof,Maria Christodoulou,Maria Christodoulou,OPTOIL K/S,BDO Statsautoriseret revisionsaktieselskab,KÃ¸benhavn,23036.0,KÃ¸benhavn,2015-12-31,2015-01-01,2016-12-16,KÃ¸benhavn,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:23521256,indberetninger-20180424,2.5124266,33254458.0,,2018-03-27T18:08:50.195Z,2017-02-27T08:10:50.855Z,regnskab,0.0,,2015-12-31,2015-01-01,X17-AA-92-GG,2017-02-27T08:10:51.138Z,,,,,,,,,,,,,,,,,
33254458,2014-01-01,2014-12-31,c90,,http://regnskaber.virk.dk/85445233/ZG9rdW1lbnRsYWdlcjovLzAzL2U4LzdhLzMzLzg2L2Y0MmQtNDMxMy1hNTQwLWM5MTZkZWNhMjMwZA.pdf,http://regnskaber.virk.dk/85445233/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2FkLzAyLzE0L2NkZTEtNDdmZi1iNGViLWQzYjNhNzZkODE3OQ.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1203 KÃ¸benhavn K,"c/o Strand House ApS, Nybrogade 18",DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2016-12-16,2010-10-05,2016-12-16,Statsautoriseret revisor,20222670.0,33254458.0,20222670.0,Ãrsrapport,Morten Kenhof,Maria Christodoulou,Maria Christodoulou,OPTOIL K/S,BDO Statsautoriseret revisionsaktieselskab,KÃ¸benhavn,23036.0,KÃ¸benhavn,2015-12-31,2015-01-01,2016-12-16,KÃ¸benhavn,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:23521256,indberetninger-20180424,2.5124266,33254458.0,,2018-03-27T18:08:50.195Z,2017-02-27T08:10:50.855Z,regnskab,0.0,,2015-12-31,2015-01-01,X17-AA-92-GG,2017-02-27T08:10:51.138Z,399311.0,376275.0,,,,,,,,,,,,,,,
33254458,2014-12-31,2014-12-31,c112,,http://regnskaber.virk.dk/85445233/ZG9rdW1lbnRsYWdlcjovLzAzL2U4LzdhLzMzLzg2L2Y0MmQtNDMxMy1hNTQwLWM5MTZkZWNhMjMwZA.pdf,http://regnskaber.virk.dk/85445233/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2FkLzAyLzE0L2NkZTEtNDdmZi1iNGViLWQzYjNhNzZkODE3OQ.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1203 KÃ¸benhavn K,"c/o Strand House ApS, Nybrogade 18",DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2016-12-16,2010-10-05,2016-12-16,Statsautoriseret revisor,20222670.0,33254458.0,20222670.0,Ãrsrapport,Morten Kenhof,Maria Christodoulou,Maria Christodoulou,OPTOIL K/S,BDO Statsautoriseret revisionsaktieselskab,KÃ¸benhavn,,KÃ¸benhavn,2015-12-31,2015-01-01,2016-12-16,KÃ¸benhavn,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:23521256,indberetninger-20180424,2.5124266,33254458.0,,2018-03-27T18:08:50.195Z,2017-02-27T08:10:50.855Z,regnskab,0.0,,2015-12-31,2015-01-01,X17-AA-92-GG,2017-02-27T08:10:51.138Z,,,7472474.0,7471236.0,1238.0,7472474.0,-96419.0,7472474.0,7568893.0,7830.0,1238.0,-97657.0,7568893.0,1238.0,7561063.0,0.0,
33254458,2015-01-01,2015-01-01,c252,,http://regnskaber.virk.dk/85445233/ZG9rdW1lbnRsYWdlcjovLzAzL2U4LzdhLzMzLzg2L2Y0MmQtNDMxMy1hNTQwLWM5MTZkZWNhMjMwZA.pdf,http://regnskaber.virk.dk/85445233/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2FkLzAyLzE0L2NkZTEtNDdmZi1iNGViLWQzYjNhNzZkODE3OQ.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1203 KÃ¸benhavn K,"c/o Strand House ApS, Nybrogade 18",DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2016-12-16,2010-10-05,2016-12-16,Statsautoriseret revisor,20222670.0,33254458.0,20222670.0,Ãrsrapport,Morten Kenhof,Maria Christodoulou,Maria Christodoulou,OPTOIL K/S,BDO Statsautoriseret revisionsaktieselskab,KÃ¸benhavn,,KÃ¸benhavn,2015-12-31,2015-01-01,2016-12-16,KÃ¸benhavn,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:23521256,indberetninger-20180424,2.5124266,33254458.0,,2018-03-27T18:08:50.195Z,2017-02-27T08:10:50.855Z,regnskab,0.0,,2015-12-31,2015-01-01,X17-AA-92-GG,2017-02-27T08:10:51.138Z,,,,,,,1238.0,,,,,,,,,,
33254458,2015-01-01,2015-01-01,c273,,http://regnskaber.virk.dk/85445233/ZG9rdW1lbnRsYWdlcjovLzAzL2U4LzdhLzMzLzg2L2Y0MmQtNDMxMy1hNTQwLWM5MTZkZWNhMjMwZA.pdf,http://regnskaber.virk.dk/85445233/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2FkLzAyLzE0L2NkZTEtNDdmZi1iNGViLWQzYjNhNzZkODE3OQ.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1203 KÃ¸benhavn K,"c/o Strand House ApS, Nybrogade 18",DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2016-12-16,2010-10-05,2016-12-16,Statsautoriseret revisor,20222670.0,33254458.0,20222670.0,Ãrsrapport,Morten Kenhof,Maria Christodoulou,Maria Christodoulou,OPTOIL K/S,BDO Statsautoriseret revisionsaktieselskab,KÃ¸benhavn,,KÃ¸benhavn,2015-12-31,2015-01-01,2016-12-16,KÃ¸benhavn,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:23521256,indberetninger-20180424,2.5124266,33254458.0,,2018-03-27T18:08:50.195Z,2017-02-27T08:10:50.855Z,regnskab,0.0,,2015-12-31,2015-01-01,X17-AA-92-GG,2017-02-27T08:10:51.138Z,,,,,,,-97657.0,,,,,,,,,,
33254458,2015-01-01,2015-12-31,c0,,http://regnskaber.virk.dk/85445233/ZG9rdW1lbnRsYWdlcjovLzAzL2U4LzdhLzMzLzg2L2Y0MmQtNDMxMy1hNTQwLWM5MTZkZWNhMjMwZA.pdf,http://regnskaber.virk.dk/85445233/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2FkLzAyLzE0L2NkZTEtNDdmZi1iNGViLWQzYjNhNzZkODE3OQ.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1203 KÃ¸benhavn K,"c/o Strand House ApS, Nybrogade 18",DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2016-12-16,2010-10-05,2016-12-16,Statsautoriseret revisor,20222670.0,33254458.0,20222670.0,Ãrsrapport,Morten Kenhof,Maria Christodoulou,Maria Christodoulou,OPTOIL K/S,BDO Statsautoriseret revisionsaktieselskab,KÃ¸benhavn,-907590.0,KÃ¸benhavn,2015-12-31,2015-01-01,2016-12-16,KÃ¸benhavn,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:23521256,indberetninger-20180424,2.5124266,33254458.0,,2018-03-27T18:08:50.195Z,2017-02-27T08:10:50.855Z,regnskab,0.0,,2015-12-31,2015-01-01,X17-AA-92-GG,2017-02-27T08:10:51.138Z,-441735.0,465855.0,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab
33254458,2015-01-01,2015-12-31,c1,,http://regnskaber.virk.dk/85445233/ZG9rdW1lbnRsYWdlcjovLzAzL2U4LzdhLzMzLzg2L2Y0MmQtNDMxMy1hNTQwLWM5MTZkZWNhMjMwZA.pdf,http://regnskaber.virk.dk/85445233/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2FkLzAyLzE0L2NkZTEtNDdmZi1iNGViLWQzYjNhNzZkODE3OQ.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1203 KÃ¸benhavn K,"c/o Strand House ApS, Nybrogade 18",DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2016-12-16,2010-10-05,2016-12-16,Statsautoriseret revisor,20222670.0,33254458.0,20222670.0,Ãrsrapport,Morten Kenhof,Maria Christodoulou,Maria Christodoulou,OPTOIL K/S,BDO Statsautoriseret revisionsaktieselskab,KÃ¸benhavn,,KÃ¸benhavn,2015-12-31,2015-01-01,2016-12-16,KÃ¸benhavn,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:23521256,indberetninger-20180424,2.5124266,33254458.0,,2018-03-27T18:08:50.195Z,2017-02-27T08:10:50.855Z,regnskab,0.0,,2015-12-31,2015-01-01,X17-AA-92-GG,2017-02-27T08:10:51.138Z,,,,,,,,,,,,,,,,,
33254458,2015-01-01,2015-12-31,c109,,http://regnskaber.virk.dk/85445233/ZG9rdW1lbnRsYWdlcjovLzAzL2U4LzdhLzMzLzg2L2Y0MmQtNDMxMy1hNTQwLWM5MTZkZWNhMjMwZA.pdf,http://regnskaber.virk.dk/85445233/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2FkLzAyLzE0L2NkZTEtNDdmZi1iNGViLWQzYjNhNzZkODE3OQ.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1203 KÃ¸benhavn K,"c/o Strand House ApS, Nybrogade 18",DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2016-12-16,2010-10-05,2016-12-16,Statsautoriseret revisor,20222670.0,33254458.0,20222670.0,Ãrsrapport,Morten Kenhof,Maria Christodoulou,Maria Christodoulou,OPTOIL K/S,BDO Statsautoriseret revisionsaktieselskab,KÃ¸benhavn,-907590.0,KÃ¸benhavn,2015-12-31,2015-01-01,2016-12-16,KÃ¸benhavn,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:23521256,indberetninger-20180424,2.5124266,33254458.0,,2018-03-27T18:08:50.195Z,2017-02-27T08:10:50.855Z,regnskab,0.0,,2015-12-31,2015-01-01,X17-AA-92-GG,2017-02-27T08:10:51.138Z,,,,,,,,,,,,,,,,,
33254458,2015-01-01,2015-12-31,c274,,http://regnskaber.virk.dk/85445233/ZG9rdW1lbnRsYWdlcjovLzAzL2U4LzdhLzMzLzg2L2Y0MmQtNDMxMy1hNTQwLWM5MTZkZWNhMjMwZA.pdf,http://regnskaber.virk.dk/85445233/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2FkLzAyLzE0L2NkZTEtNDdmZi1iNGViLWQzYjNhNzZkODE3OQ.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1203 KÃ¸benhavn K,"c/o Strand House ApS, Nybrogade 18",DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2016-12-16,2010-10-05,2016-12-16,Statsautoriseret revisor,20222670.0,33254458.0,20222670.0,Ãrsrapport,Morten Kenhof,Maria Christodoulou,Maria Christodoulou,OPTOIL K/S,BDO Statsautoriseret revisionsaktieselskab,KÃ¸benhavn,-907590.0,KÃ¸benhavn,2015-12-31,2015-01-01,2016-12-16,KÃ¸benhavn,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:23521256,indberetninger-20180424,2.5124266,33254458.0,,2018-03-27T18:08:50.195Z,2017-02-27T08:10:50.855Z,regnskab,0.0,,2015-12-31,2015-01-01,X17-AA-92-GG,2017-02-27T08:10:51.138Z,,,,,,,,,,,,,,,,,
33254458,2015-01-01,2015-12-31,c40,,http://regnskaber.virk.dk/85445233/ZG9rdW1lbnRsYWdlcjovLzAzL2U4LzdhLzMzLzg2L2Y0MmQtNDMxMy1hNTQwLWM5MTZkZWNhMjMwZA.pdf,http://regnskaber.virk.dk/85445233/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2FkLzAyLzE0L2NkZTEtNDdmZi1iNGViLWQzYjNhNzZkODE3OQ.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1203 KÃ¸benhavn K,"c/o Strand House ApS, Nybrogade 18",DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2016-12-16,2010-10-05,2016-12-16,Statsautoriseret revisor,20222670.0,33254458.0,20222670.0,Ãrsrapport,Morten Kenhof,Maria Christodoulou,Maria Christodoulou,OPTOIL K/S,BDO Statsautoriseret revisionsaktieselskab,KÃ¸benhavn,,KÃ¸benhavn,2015-12-31,2015-01-01,2016-12-16,KÃ¸benhavn,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:23521256,indberetninger-20180424,2.5124266,33254458.0,,2018-03-27T18:08:50.195Z,2017-02-27T08:10:50.855Z,regnskab,0.0,,2015-12-31,2015-01-01,X17-AA-92-GG,2017-02-27T08:10:51.138Z,,,,,,,,,,,,,,,,,
