entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfGeneralMeeting,FaxNumberOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,OtherTaxExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,InvestmentProperty,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToAssociates,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables
entity identifier,2010-07-01,2011-06-30,ID_10,http://regnskaber.virk.dk/11948364/Y3ZyLmRrOi8vcGRmcy80NjM4NDkxMTtBcFM2MjMwMjsyMDExMDcwMTsyMDEyMDYzMDtSO1I.pdf,http://regnskaber.virk.dk/11948364/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEyMTExOV8wOTU3MzlfMTk1.xml,"5250, Odense SV",Lindholmvej 1A,"5250, Odense SV",Lindholmvej 1A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2012-11-13,6596 3386,10092159.0,46384911.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Hjil ApS.,Ãrsrapport,John  Hansen,Leif Vesterlund,Inger Vesterlund,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Hjil ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",108675.0,2012-06-30,2011-07-01,2012-11-13,Bellinge,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",6596 3305,DirektÃ¸r,urn:ofk:oid:16118327,indberetninger-20180424,2.5097437,46384911.0,,2018-04-02T06:59:06.657Z,2012-11-19T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-268.569,2012-11-19T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-07-01,2011-06-30,ID_12,http://regnskaber.virk.dk/11948364/Y3ZyLmRrOi8vcGRmcy80NjM4NDkxMTtBcFM2MjMwMjsyMDExMDcwMTsyMDEyMDYzMDtSO1I.pdf,http://regnskaber.virk.dk/11948364/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEyMTExOV8wOTU3MzlfMTk1.xml,"5250, Odense SV",Lindholmvej 1A,"5250, Odense SV",Lindholmvej 1A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2012-11-13,6596 3386,10092159.0,46384911.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Hjil ApS.,Ãrsrapport,John  Hansen,Leif Vesterlund,Inger Vesterlund,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Hjil ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",-59769.0,2012-06-30,2011-07-01,2012-11-13,Bellinge,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",6596 3305,DirektÃ¸r,urn:ofk:oid:16118327,indberetninger-20180424,2.5097437,46384911.0,,2018-04-02T06:59:06.657Z,2012-11-19T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-268.569,2012-11-19T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-07-01,2011-06-30,ID_14,http://regnskaber.virk.dk/11948364/Y3ZyLmRrOi8vcGRmcy80NjM4NDkxMTtBcFM2MjMwMjsyMDExMDcwMTsyMDEyMDYzMDtSO1I.pdf,http://regnskaber.virk.dk/11948364/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEyMTExOV8wOTU3MzlfMTk1.xml,"5250, Odense SV",Lindholmvej 1A,"5250, Odense SV",Lindholmvej 1A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2012-11-13,6596 3386,10092159.0,46384911.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Hjil ApS.,Ãrsrapport,John  Hansen,Leif Vesterlund,Inger Vesterlund,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Hjil ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",48906.0,2012-06-30,2011-07-01,2012-11-13,Bellinge,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",6596 3305,DirektÃ¸r,urn:ofk:oid:16118327,indberetninger-20180424,2.5097437,46384911.0,,2018-04-02T06:59:06.657Z,2012-11-19T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-268.569,2012-11-19T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-07-01,2011-06-30,ID_8,http://regnskaber.virk.dk/11948364/Y3ZyLmRrOi8vcGRmcy80NjM4NDkxMTtBcFM2MjMwMjsyMDExMDcwMTsyMDEyMDYzMDtSO1I.pdf,http://regnskaber.virk.dk/11948364/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEyMTExOV8wOTU3MzlfMTk1.xml,"5250, Odense SV",Lindholmvej 1A,"5250, Odense SV",Lindholmvej 1A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2012-11-13,6596 3386,10092159.0,46384911.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Hjil ApS.,Ãrsrapport,John  Hansen,Leif Vesterlund,Inger Vesterlund,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Hjil ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",-48906.0,2012-06-30,2011-07-01,2012-11-13,Bellinge,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",6596 3305,DirektÃ¸r,urn:ofk:oid:16118327,indberetninger-20180424,2.5097437,46384911.0,,2018-04-02T06:59:06.657Z,2012-11-19T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-268.569,2012-11-19T23:00:00.000Z,-73139.0,33443.0,-17141.0,7931.0,-56837.0,-73139.0,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-06-30,2011-06-30,ID_16,http://regnskaber.virk.dk/11948364/Y3ZyLmRrOi8vcGRmcy80NjM4NDkxMTtBcFM2MjMwMjsyMDExMDcwMTsyMDEyMDYzMDtSO1I.pdf,http://regnskaber.virk.dk/11948364/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEyMTExOV8wOTU3MzlfMTk1.xml,"5250, Odense SV",Lindholmvej 1A,"5250, Odense SV",Lindholmvej 1A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2012-11-13,6596 3386,10092159.0,46384911.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Hjil ApS.,Ãrsrapport,John  Hansen,Leif Vesterlund,Inger Vesterlund,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Hjil ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",,2012-06-30,2011-07-01,2012-11-13,Bellinge,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",6596 3305,DirektÃ¸r,urn:ofk:oid:16118327,indberetninger-20180424,2.5097437,46384911.0,,2018-04-02T06:59:06.657Z,2012-11-19T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-268.569,2012-11-19T23:00:00.000Z,,,,,,,1441450.0,19719.0,-135000.0,26902.0,7183.0,-1259181.0,1100000.0,-1441450.0,-179188.0,314548.0,1414548.0,314548.0,-11304.0,1100000.0,-108675.0,-3081.0,-3081.0,-1015506.0,-179188.0,-160458.0,7183.0,-7426.0,0.0
entity identifier,2011-07-01,2012-06-30,ID_0,http://regnskaber.virk.dk/11948364/Y3ZyLmRrOi8vcGRmcy80NjM4NDkxMTtBcFM2MjMwMjsyMDExMDcwMTsyMDEyMDYzMDtSO1I.pdf,http://regnskaber.virk.dk/11948364/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEyMTExOV8wOTU3MzlfMTk1.xml,"5250, Odense SV",Lindholmvej 1A,"5250, Odense SV",Lindholmvej 1A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2012-11-13,6596 3386,10092159.0,46384911.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Hjil ApS.,Ãrsrapport,John  Hansen,Leif Vesterlund,Inger Vesterlund,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Hjil ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",,2012-06-30,2011-07-01,2012-11-13,Bellinge,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",6596 3305,DirektÃ¸r,urn:ofk:oid:16118327,indberetninger-20180424,2.5097437,46384911.0,,2018-04-02T06:59:06.657Z,2012-11-19T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-268.569,2012-11-19T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_1,http://regnskaber.virk.dk/11948364/Y3ZyLmRrOi8vcGRmcy80NjM4NDkxMTtBcFM2MjMwMjsyMDExMDcwMTsyMDEyMDYzMDtSO1I.pdf,http://regnskaber.virk.dk/11948364/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEyMTExOV8wOTU3MzlfMTk1.xml,"5250, Odense SV",Lindholmvej 1A,"5250, Odense SV",Lindholmvej 1A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2012-11-13,6596 3386,10092159.0,46384911.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Hjil ApS.,Ãrsrapport,John  Hansen,Leif Vesterlund,Inger Vesterlund,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Hjil ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",,2012-06-30,2011-07-01,2012-11-13,Bellinge,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",6596 3305,DirektÃ¸r,urn:ofk:oid:16118327,indberetninger-20180424,2.5097437,46384911.0,,2018-04-02T06:59:06.657Z,2012-11-19T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-268.569,2012-11-19T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_11,http://regnskaber.virk.dk/11948364/Y3ZyLmRrOi8vcGRmcy80NjM4NDkxMTtBcFM2MjMwMjsyMDExMDcwMTsyMDEyMDYzMDtSO1I.pdf,http://regnskaber.virk.dk/11948364/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEyMTExOV8wOTU3MzlfMTk1.xml,"5250, Odense SV",Lindholmvej 1A,"5250, Odense SV",Lindholmvej 1A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2012-11-13,6596 3386,10092159.0,46384911.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Hjil ApS.,Ãrsrapport,John  Hansen,Leif Vesterlund,Inger Vesterlund,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Hjil ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",-112798.0,2012-06-30,2011-07-01,2012-11-13,Bellinge,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",6596 3305,DirektÃ¸r,urn:ofk:oid:16118327,indberetninger-20180424,2.5097437,46384911.0,,2018-04-02T06:59:06.657Z,2012-11-19T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-268.569,2012-11-19T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_13,http://regnskaber.virk.dk/11948364/Y3ZyLmRrOi8vcGRmcy80NjM4NDkxMTtBcFM2MjMwMjsyMDExMDcwMTsyMDEyMDYzMDtSO1I.pdf,http://regnskaber.virk.dk/11948364/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEyMTExOV8wOTU3MzlfMTk1.xml,"5250, Odense SV",Lindholmvej 1A,"5250, Odense SV",Lindholmvej 1A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2012-11-13,6596 3386,10092159.0,46384911.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Hjil ApS.,Ãrsrapport,John  Hansen,Leif Vesterlund,Inger Vesterlund,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Hjil ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",-4123.0,2012-06-30,2011-07-01,2012-11-13,Bellinge,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",6596 3305,DirektÃ¸r,urn:ofk:oid:16118327,indberetninger-20180424,2.5097437,46384911.0,,2018-04-02T06:59:06.657Z,2012-11-19T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-268.569,2012-11-19T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_17,http://regnskaber.virk.dk/11948364/Y3ZyLmRrOi8vcGRmcy80NjM4NDkxMTtBcFM2MjMwMjsyMDExMDcwMTsyMDEyMDYzMDtSO1I.pdf,http://regnskaber.virk.dk/11948364/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEyMTExOV8wOTU3MzlfMTk1.xml,"5250, Odense SV",Lindholmvej 1A,"5250, Odense SV",Lindholmvej 1A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2012-11-13,6596 3386,10092159.0,46384911.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Hjil ApS.,Ãrsrapport,John  Hansen,Leif Vesterlund,Inger Vesterlund,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Hjil ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",,2012-06-30,2011-07-01,2012-11-13,Bellinge,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",6596 3305,DirektÃ¸r,urn:ofk:oid:16118327,indberetninger-20180424,2.5097437,46384911.0,,2018-04-02T06:59:06.657Z,2012-11-19T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-268.569,2012-11-19T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
