entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,AverageNumberOfEmployees,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,DisclosureOfContingentLiabilities,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberOfAuditor,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherOperatingExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContractWorkInProgress,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDeferredIncome,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables,DividendPaid
10279585,2016-10-01,2017-09-30,c3,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzFjL2EyLzhhL2M3NzEtNGU2YS05YmI3LTkzZDg2MDc0N2JkNw.xhtml,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzLzZiL2U4L2E2L2M3LzA2NTMtNDFkZi1iNGRmLTEzMWViOWMzOTgzNQ.pdf,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Q4Lzk0LzkyLzQzMjctNGZlYi1hZjE1LTA1Y2JkZDUzOTI4ZA.xml,true,Store Fuglede,4480.0,2.0,SÃ¸ndervang,4281 GÃ¸rlev,Kalundborgvej 4,Til ledelsen i TÃ¸mrermester Bernow Jespersen & SÃ¸n Aps,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,10.0,Regnskabsklasse B,2019-03-04,2019-03-04,61951.0,"Registreret revisor, FSR-danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Forpligtelser i henhold til leasingkontrakter frem til udlÃ¸b udgÃ¸r kr. 128.631.</p>",2847339.0,3417522.0,94431468.0,10279585.0,mne1020,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Per Ole Nielsen,Roan Jespersen,Roan Bernow Jespersen,"Dansk Center Revision, registreret revisionsvirksomhed",TÃMRERMESTER BERNOW JESPERSEN & SÃN ApS,Dansk Center Revision,1093.0,0.0,47506.0,Bjerge,2016-10-01,2017-09-30,352432.0,459633.0,460726.0,2018-09-30,2017-10-01,true,false,2019-03-04,GÃ¸rlev,107201.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26769680,indberetninger-20180424,2.5949402000000004,10279585.0,AWlJEmn9RYGX6_YTFijg,2019-03-04T14:19:51.652Z,2019-03-04T14:18:56.773Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AP-45-WX,2019-03-04T14:18:56.959Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10279585,2016-10-01,2017-09-30,c5,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzFjL2EyLzhhL2M3NzEtNGU2YS05YmI3LTkzZDg2MDc0N2JkNw.xhtml,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzLzZiL2U4L2E2L2M3LzA2NTMtNDFkZi1iNGRmLTEzMWViOWMzOTgzNQ.pdf,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Q4Lzk0LzkyLzQzMjctNGZlYi1hZjE1LTA1Y2JkZDUzOTI4ZA.xml,true,Store Fuglede,4480.0,2.0,SÃ¸ndervang,4281 GÃ¸rlev,Kalundborgvej 4,Til ledelsen i TÃ¸mrermester Bernow Jespersen & SÃ¸n Aps,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,10.0,Regnskabsklasse B,2019-03-04,2019-03-04,,"Registreret revisor, FSR-danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Forpligtelser i henhold til leasingkontrakter frem til udlÃ¸b udgÃ¸r kr. 128.631.</p>",,,94431468.0,10279585.0,mne1020,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Per Ole Nielsen,Roan Jespersen,Roan Bernow Jespersen,"Dansk Center Revision, registreret revisionsvirksomhed",TÃMRERMESTER BERNOW JESPERSEN & SÃN ApS,Dansk Center Revision,,,,Bjerge,2016-10-01,2017-09-30,40000.0,,,2018-09-30,2017-10-01,true,false,2019-03-04,GÃ¸rlev,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26769680,indberetninger-20180424,2.5949402000000004,10279585.0,AWlJEmn9RYGX6_YTFijg,2019-03-04T14:19:51.652Z,2019-03-04T14:18:56.773Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AP-45-WX,2019-03-04T14:18:56.959Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10279585,2016-10-01,2017-09-30,c7,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzFjL2EyLzhhL2M3NzEtNGU2YS05YmI3LTkzZDg2MDc0N2JkNw.xhtml,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzLzZiL2U4L2E2L2M3LzA2NTMtNDFkZi1iNGRmLTEzMWViOWMzOTgzNQ.pdf,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Q4Lzk0LzkyLzQzMjctNGZlYi1hZjE1LTA1Y2JkZDUzOTI4ZA.xml,true,Store Fuglede,4480.0,2.0,SÃ¸ndervang,4281 GÃ¸rlev,Kalundborgvej 4,Til ledelsen i TÃ¸mrermester Bernow Jespersen & SÃ¸n Aps,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,10.0,Regnskabsklasse B,2019-03-04,2019-03-04,,"Registreret revisor, FSR-danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Forpligtelser i henhold til leasingkontrakter frem til udlÃ¸b udgÃ¸r kr. 128.631.</p>",,,94431468.0,10279585.0,mne1020,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Per Ole Nielsen,Roan Jespersen,Roan Bernow Jespersen,"Dansk Center Revision, registreret revisionsvirksomhed",TÃMRERMESTER BERNOW JESPERSEN & SÃN ApS,Dansk Center Revision,,,,Bjerge,2016-10-01,2017-09-30,312432.0,,,2018-09-30,2017-10-01,true,false,2019-03-04,GÃ¸rlev,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26769680,indberetninger-20180424,2.5949402000000004,10279585.0,AWlJEmn9RYGX6_YTFijg,2019-03-04T14:19:51.652Z,2019-03-04T14:18:56.773Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AP-45-WX,2019-03-04T14:18:56.959Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10279585,2017-09-30,2017-09-30,c9,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzFjL2EyLzhhL2M3NzEtNGU2YS05YmI3LTkzZDg2MDc0N2JkNw.xhtml,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzLzZiL2U4L2E2L2M3LzA2NTMtNDFkZi1iNGRmLTEzMWViOWMzOTgzNQ.pdf,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Q4Lzk0LzkyLzQzMjctNGZlYi1hZjE1LTA1Y2JkZDUzOTI4ZA.xml,true,Store Fuglede,4480.0,2.0,SÃ¸ndervang,4281 GÃ¸rlev,Kalundborgvej 4,Til ledelsen i TÃ¸mrermester Bernow Jespersen & SÃ¸n Aps,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,10.0,Regnskabsklasse B,2019-03-04,2019-03-04,,"Registreret revisor, FSR-danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Forpligtelser i henhold til leasingkontrakter frem til udlÃ¸b udgÃ¸r kr. 128.631.</p>",,,94431468.0,10279585.0,mne1020,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Per Ole Nielsen,Roan Jespersen,Roan Bernow Jespersen,"Dansk Center Revision, registreret revisionsvirksomhed",TÃMRERMESTER BERNOW JESPERSEN & SÃN ApS,Dansk Center Revision,,,,Bjerge,2016-10-01,2017-09-30,,,,2018-09-30,2017-10-01,true,false,2019-03-04,GÃ¸rlev,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26769680,indberetninger-20180424,2.5949402000000004,10279585.0,AWlJEmn9RYGX6_YTFijg,2019-03-04T14:19:51.652Z,2019-03-04T14:18:56.773Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AP-45-WX,2019-03-04T14:18:56.959Z,3800882.0,609120.0,147613.0,125000.0,2533513.0,47643.0,2850506.0,358876.0,25000.0,908493.0,3800882.0,924485.0,1267369.0,4.0,628570.0,32530.0,1267369.0,40000.0,25891.0,25891.0,25000.0,2685506.0,7150.0,4.0,924485.0,38832.0,1899389.0,249933.0,1671603.0,
10279585,2017-10-01,2017-10-01,c10,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzFjL2EyLzhhL2M3NzEtNGU2YS05YmI3LTkzZDg2MDc0N2JkNw.xhtml,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzLzZiL2U4L2E2L2M3LzA2NTMtNDFkZi1iNGRmLTEzMWViOWMzOTgzNQ.pdf,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Q4Lzk0LzkyLzQzMjctNGZlYi1hZjE1LTA1Y2JkZDUzOTI4ZA.xml,true,Store Fuglede,4480.0,2.0,SÃ¸ndervang,4281 GÃ¸rlev,Kalundborgvej 4,Til ledelsen i TÃ¸mrermester Bernow Jespersen & SÃ¸n Aps,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,10.0,Regnskabsklasse B,2019-03-04,2019-03-04,,"Registreret revisor, FSR-danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Forpligtelser i henhold til leasingkontrakter frem til udlÃ¸b udgÃ¸r kr. 128.631.</p>",,,94431468.0,10279585.0,mne1020,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Per Ole Nielsen,Roan Jespersen,Roan Bernow Jespersen,"Dansk Center Revision, registreret revisionsvirksomhed",TÃMRERMESTER BERNOW JESPERSEN & SÃN ApS,Dansk Center Revision,,,,Bjerge,2016-10-01,2017-09-30,,,,2018-09-30,2017-10-01,true,false,2019-03-04,GÃ¸rlev,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26769680,indberetninger-20180424,2.5949402000000004,10279585.0,AWlJEmn9RYGX6_YTFijg,2019-03-04T14:19:51.652Z,2019-03-04T14:18:56.773Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AP-45-WX,2019-03-04T14:18:56.959Z,,,,,,,125000.0,,,,,,,,,,,,,,,,,,,,,,,
10279585,2017-10-01,2017-10-01,c11,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzFjL2EyLzhhL2M3NzEtNGU2YS05YmI3LTkzZDg2MDc0N2JkNw.xhtml,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzLzZiL2U4L2E2L2M3LzA2NTMtNDFkZi1iNGRmLTEzMWViOWMzOTgzNQ.pdf,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Q4Lzk0LzkyLzQzMjctNGZlYi1hZjE1LTA1Y2JkZDUzOTI4ZA.xml,true,Store Fuglede,4480.0,2.0,SÃ¸ndervang,4281 GÃ¸rlev,Kalundborgvej 4,Til ledelsen i TÃ¸mrermester Bernow Jespersen & SÃ¸n Aps,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,10.0,Regnskabsklasse B,2019-03-04,2019-03-04,,"Registreret revisor, FSR-danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Forpligtelser i henhold til leasingkontrakter frem til udlÃ¸b udgÃ¸r kr. 128.631.</p>",,,94431468.0,10279585.0,mne1020,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Per Ole Nielsen,Roan Jespersen,Roan Bernow Jespersen,"Dansk Center Revision, registreret revisionsvirksomhed",TÃMRERMESTER BERNOW JESPERSEN & SÃN ApS,Dansk Center Revision,,,,Bjerge,2016-10-01,2017-09-30,,,,2018-09-30,2017-10-01,true,false,2019-03-04,GÃ¸rlev,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26769680,indberetninger-20180424,2.5949402000000004,10279585.0,AWlJEmn9RYGX6_YTFijg,2019-03-04T14:19:51.652Z,2019-03-04T14:18:56.773Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AP-45-WX,2019-03-04T14:18:56.959Z,,,,,,,2685506.0,,,,,,,,,,,,,,,,,,,,,,,
10279585,2017-10-01,2017-10-01,c12,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzFjL2EyLzhhL2M3NzEtNGU2YS05YmI3LTkzZDg2MDc0N2JkNw.xhtml,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzLzZiL2U4L2E2L2M3LzA2NTMtNDFkZi1iNGRmLTEzMWViOWMzOTgzNQ.pdf,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Q4Lzk0LzkyLzQzMjctNGZlYi1hZjE1LTA1Y2JkZDUzOTI4ZA.xml,true,Store Fuglede,4480.0,2.0,SÃ¸ndervang,4281 GÃ¸rlev,Kalundborgvej 4,Til ledelsen i TÃ¸mrermester Bernow Jespersen & SÃ¸n Aps,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,10.0,Regnskabsklasse B,2019-03-04,2019-03-04,,"Registreret revisor, FSR-danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Forpligtelser i henhold til leasingkontrakter frem til udlÃ¸b udgÃ¸r kr. 128.631.</p>",,,94431468.0,10279585.0,mne1020,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Per Ole Nielsen,Roan Jespersen,Roan Bernow Jespersen,"Dansk Center Revision, registreret revisionsvirksomhed",TÃMRERMESTER BERNOW JESPERSEN & SÃN ApS,Dansk Center Revision,,,,Bjerge,2016-10-01,2017-09-30,,,,2018-09-30,2017-10-01,true,false,2019-03-04,GÃ¸rlev,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26769680,indberetninger-20180424,2.5949402000000004,10279585.0,AWlJEmn9RYGX6_YTFijg,2019-03-04T14:19:51.652Z,2019-03-04T14:18:56.773Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AP-45-WX,2019-03-04T14:18:56.959Z,,,,,,,40000.0,,,,,,,,,,,,,,,,,,,,,,,
10279585,2017-10-01,2017-10-01,c13,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzFjL2EyLzhhL2M3NzEtNGU2YS05YmI3LTkzZDg2MDc0N2JkNw.xhtml,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzLzZiL2U4L2E2L2M3LzA2NTMtNDFkZi1iNGRmLTEzMWViOWMzOTgzNQ.pdf,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Q4Lzk0LzkyLzQzMjctNGZlYi1hZjE1LTA1Y2JkZDUzOTI4ZA.xml,true,Store Fuglede,4480.0,2.0,SÃ¸ndervang,4281 GÃ¸rlev,Kalundborgvej 4,Til ledelsen i TÃ¸mrermester Bernow Jespersen & SÃ¸n Aps,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,10.0,Regnskabsklasse B,2019-03-04,2019-03-04,,"Registreret revisor, FSR-danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Forpligtelser i henhold til leasingkontrakter frem til udlÃ¸b udgÃ¸r kr. 128.631.</p>",,,94431468.0,10279585.0,mne1020,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Per Ole Nielsen,Roan Jespersen,Roan Bernow Jespersen,"Dansk Center Revision, registreret revisionsvirksomhed",TÃMRERMESTER BERNOW JESPERSEN & SÃN ApS,Dansk Center Revision,,,,Bjerge,2016-10-01,2017-09-30,,,,2018-09-30,2017-10-01,true,false,2019-03-04,GÃ¸rlev,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26769680,indberetninger-20180424,2.5949402000000004,10279585.0,AWlJEmn9RYGX6_YTFijg,2019-03-04T14:19:51.652Z,2019-03-04T14:18:56.773Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AP-45-WX,2019-03-04T14:18:56.959Z,,,,,,,2850506.0,,,,,,,,,,,,,,,,,,,,,,,
10279585,2017-10-01,2018-09-30,c0,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzFjL2EyLzhhL2M3NzEtNGU2YS05YmI3LTkzZDg2MDc0N2JkNw.xhtml,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzLzZiL2U4L2E2L2M3LzA2NTMtNDFkZi1iNGRmLTEzMWViOWMzOTgzNQ.pdf,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Q4Lzk0LzkyLzQzMjctNGZlYi1hZjE1LTA1Y2JkZDUzOTI4ZA.xml,true,Store Fuglede,4480.0,2.0,SÃ¸ndervang,4281 GÃ¸rlev,Kalundborgvej 4,Til ledelsen i TÃ¸mrermester Bernow Jespersen & SÃ¸n Aps,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,10.0,Regnskabsklasse B,2019-03-04,2019-03-04,106394.0,"Registreret revisor, FSR-danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Forpligtelser i henhold til leasingkontrakter frem til udlÃ¸b udgÃ¸r kr. 128.631.</p>",2964628.0,3429262.0,94431468.0,10279585.0,mne1020,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Per Ole Nielsen,Roan Jespersen,Roan Bernow Jespersen,"Dansk Center Revision, registreret revisionsvirksomhed",TÃMRERMESTER BERNOW JESPERSEN & SÃN ApS,Dansk Center Revision,1648.0,826.0,49296.0,Bjerge,2016-10-01,2017-09-30,232954.0,308122.0,308944.0,2018-09-30,2017-10-01,true,false,2019-03-04,GÃ¸rlev,75168.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26769680,indberetninger-20180424,2.5949402000000004,10279585.0,AWlJEmn9RYGX6_YTFijg,2019-03-04T14:19:51.652Z,2019-03-04T14:18:56.773Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AP-45-WX,2019-03-04T14:18:56.959Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0
10279585,2017-10-01,2018-09-30,c1,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzFjL2EyLzhhL2M3NzEtNGU2YS05YmI3LTkzZDg2MDc0N2JkNw.xhtml,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzLzZiL2U4L2E2L2M3LzA2NTMtNDFkZi1iNGRmLTEzMWViOWMzOTgzNQ.pdf,http://regnskaber.virk.dk/58597201/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Q4Lzk0LzkyLzQzMjctNGZlYi1hZjE1LTA1Y2JkZDUzOTI4ZA.xml,true,Store Fuglede,4480.0,2.0,SÃ¸ndervang,4281 GÃ¸rlev,Kalundborgvej 4,Til ledelsen i TÃ¸mrermester Bernow Jespersen & SÃ¸n Aps,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,10.0,Regnskabsklasse B,2019-03-04,2019-03-04,,"Registreret revisor, FSR-danske revisorer","<p xmlns=""http://www.w3.org/1999/xhtml"">Forpligtelser i henhold til leasingkontrakter frem til udlÃ¸b udgÃ¸r kr. 128.631.</p>",,,94431468.0,10279585.0,mne1020,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Per Ole Nielsen,Roan Jespersen,Roan Bernow Jespersen,"Dansk Center Revision, registreret revisionsvirksomhed",TÃMRERMESTER BERNOW JESPERSEN & SÃN ApS,Dansk Center Revision,,,,Bjerge,2016-10-01,2017-09-30,,,,2018-09-30,2017-10-01,true,false,2019-03-04,GÃ¸rlev,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26769680,indberetninger-20180424,2.5949402000000004,10279585.0,AWlJEmn9RYGX6_YTFijg,2019-03-04T14:19:51.652Z,2019-03-04T14:18:56.773Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AP-45-WX,2019-03-04T14:18:56.959Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
