entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,FinanceExpensesArisingFromGroupEnterprises,GrossProfitLoss,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RestOfOtherFinanceExpenses,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToBanks,LongtermLiabilitiesOtherThanProvisions,NoncurrentAssets,OtherProvisions,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PlantAndMachinery,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,RetainedEarnings,ShorttermDebtToBanks,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
28680872,2015-01-01,2015-12-31,ID_13,,http://regnskaber.virk.dk/27808682/ZG9rdW1lbnRsYWdlcjovLzAzLzRkL2JlLzAzLzViLzMxYTAtNDMwNS1hOWJhLWViNDFmZmM1OGMxZA.pdf,http://regnskaber.virk.dk/27808682/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZmLzE2LzYwLzE2MjMtNDk1YS05MGYyLTk3ZTAyMWZkODdhNg.xml,true,"Horsens, 8700",Erhvervsbyvej 13,Til kapitalejerne i BÃ¥nlev Biogas A/S,11.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-03-08,2017-03-08,2005-04-08,2017-03-27,36563877.0,28680872.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for BÃ¥nlev Biogas A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Langdahl,LMO Erhvervsrevision,Nordea Bank Danmark A/S,BÃ¥nlev Biogas A/S,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SpÃ¸rring,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Ãrhus, 751",2016-12-31,2016-01-01,false,2017-03-08,Horsens,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23713482,indberetninger-20180424,2.5124211,28680872.0,,2018-03-27T12:38:42.745Z,2017-04-10T11:54:51.892Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-09-DP,2017-04-10T11:54:52.076Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28680872,2015-01-01,2015-12-31,ID_14,,http://regnskaber.virk.dk/27808682/ZG9rdW1lbnRsYWdlcjovLzAzLzRkL2JlLzAzLzViLzMxYTAtNDMwNS1hOWJhLWViNDFmZmM1OGMxZA.pdf,http://regnskaber.virk.dk/27808682/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZmLzE2LzYwLzE2MjMtNDk1YS05MGYyLTk3ZTAyMWZkODdhNg.xml,true,"Horsens, 8700",Erhvervsbyvej 13,Til kapitalejerne i BÃ¥nlev Biogas A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-03-08,2017-03-08,2005-04-08,2017-03-27,36563877.0,28680872.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for BÃ¥nlev Biogas A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Langdahl,LMO Erhvervsrevision,Nordea Bank Danmark A/S,BÃ¥nlev Biogas A/S,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SpÃ¸rring,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Ãrhus, 751",2016-12-31,2016-01-01,false,2017-03-08,Horsens,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23713482,indberetninger-20180424,2.5124211,28680872.0,,2018-03-27T12:38:42.745Z,2017-04-10T11:54:51.892Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-09-DP,2017-04-10T11:54:52.076Z,4657513.0,5583410.0,46823.0,12758197.0,61482.0,2045875.0,2045875.0,2517274.0,486058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28680872,2015-01-01,2015-12-31,ID_16,,http://regnskaber.virk.dk/27808682/ZG9rdW1lbnRsYWdlcjovLzAzLzRkL2JlLzAzLzViLzMxYTAtNDMwNS1hOWJhLWViNDFmZmM1OGMxZA.pdf,http://regnskaber.virk.dk/27808682/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZmLzE2LzYwLzE2MjMtNDk1YS05MGYyLTk3ZTAyMWZkODdhNg.xml,true,"Horsens, 8700",Erhvervsbyvej 13,Til kapitalejerne i BÃ¥nlev Biogas A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-03-08,2017-03-08,2005-04-08,2017-03-27,36563877.0,28680872.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for BÃ¥nlev Biogas A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Langdahl,LMO Erhvervsrevision,Nordea Bank Danmark A/S,BÃ¥nlev Biogas A/S,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SpÃ¸rring,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Ãrhus, 751",2016-12-31,2016-01-01,false,2017-03-08,Horsens,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23713482,indberetninger-20180424,2.5124211,28680872.0,,2018-03-27T12:38:42.745Z,2017-04-10T11:54:51.892Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-09-DP,2017-04-10T11:54:52.076Z,,,,,,-591543.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28680872,2015-01-01,2015-12-31,ID_18,,http://regnskaber.virk.dk/27808682/ZG9rdW1lbnRsYWdlcjovLzAzLzRkL2JlLzAzLzViLzMxYTAtNDMwNS1hOWJhLWViNDFmZmM1OGMxZA.pdf,http://regnskaber.virk.dk/27808682/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZmLzE2LzYwLzE2MjMtNDk1YS05MGYyLTk3ZTAyMWZkODdhNg.xml,true,"Horsens, 8700",Erhvervsbyvej 13,Til kapitalejerne i BÃ¥nlev Biogas A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-03-08,2017-03-08,2005-04-08,2017-03-27,36563877.0,28680872.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for BÃ¥nlev Biogas A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Langdahl,LMO Erhvervsrevision,Nordea Bank Danmark A/S,BÃ¥nlev Biogas A/S,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SpÃ¸rring,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Ãrhus, 751",2016-12-31,2016-01-01,false,2017-03-08,Horsens,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23713482,indberetninger-20180424,2.5124211,28680872.0,,2018-03-27T12:38:42.745Z,2017-04-10T11:54:51.892Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-09-DP,2017-04-10T11:54:52.076Z,,,,,,-1454332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28680872,2015-12-31,2015-12-31,ID_11,,http://regnskaber.virk.dk/27808682/ZG9rdW1lbnRsYWdlcjovLzAzLzRkL2JlLzAzLzViLzMxYTAtNDMwNS1hOWJhLWViNDFmZmM1OGMxZA.pdf,http://regnskaber.virk.dk/27808682/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZmLzE2LzYwLzE2MjMtNDk1YS05MGYyLTk3ZTAyMWZkODdhNg.xml,true,"Horsens, 8700",Erhvervsbyvej 13,Til kapitalejerne i BÃ¥nlev Biogas A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-03-08,2017-03-08,2005-04-08,2017-03-27,36563877.0,28680872.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for BÃ¥nlev Biogas A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Langdahl,LMO Erhvervsrevision,Nordea Bank Danmark A/S,BÃ¥nlev Biogas A/S,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SpÃ¸rring,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Ãrhus, 751",2016-12-31,2016-01-01,false,2017-03-08,Horsens,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23713482,indberetninger-20180424,2.5124211,28680872.0,,2018-03-27T12:38:42.745Z,2017-04-10T11:54:51.892Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-09-DP,2017-04-10T11:54:52.076Z,,,,,,,,,,42034953.0,1883.0,10000000.0,3923771.0,30303503.0,15367523.0,6480884.0,42034953.0,7466450.0,170812.0,170812.0,38111182.0,4265000.0,88582.0,854884.0,868342.0,16262775.0,38111182.0,591543.0,4265000.0,19711960.0,2175159.0,88582.0,7295638.0,367101.0,2177932.0,3833306.0,262.0,1720562.0,2964702.0,,,
28680872,2016-01-01,2016-12-31,ID_0,,http://regnskaber.virk.dk/27808682/ZG9rdW1lbnRsYWdlcjovLzAzLzRkL2JlLzAzLzViLzMxYTAtNDMwNS1hOWJhLWViNDFmZmM1OGMxZA.pdf,http://regnskaber.virk.dk/27808682/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZmLzE2LzYwLzE2MjMtNDk1YS05MGYyLTk3ZTAyMWZkODdhNg.xml,true,"Horsens, 8700",Erhvervsbyvej 13,Til kapitalejerne i BÃ¥nlev Biogas A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-03-08,2017-03-08,2005-04-08,2017-03-27,36563877.0,28680872.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for BÃ¥nlev Biogas A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Langdahl,LMO Erhvervsrevision,Nordea Bank Danmark A/S,BÃ¥nlev Biogas A/S,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SpÃ¸rring,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Ãrhus, 751",2016-12-31,2016-01-01,false,2017-03-08,Horsens,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23713482,indberetninger-20180424,2.5124211,28680872.0,,2018-03-27T12:38:42.745Z,2017-04-10T11:54:51.892Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-09-DP,2017-04-10T11:54:52.076Z,4553864.0,5527116.0,38232.0,12102074.0,62549.0,1941979.0,1941979.0,2021094.0,103432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28680872,2016-01-01,2016-12-31,ID_1,,http://regnskaber.virk.dk/27808682/ZG9rdW1lbnRsYWdlcjovLzAzLzRkL2JlLzAzLzViLzMxYTAtNDMwNS1hOWJhLWViNDFmZmM1OGMxZA.pdf,http://regnskaber.virk.dk/27808682/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZmLzE2LzYwLzE2MjMtNDk1YS05MGYyLTk3ZTAyMWZkODdhNg.xml,true,"Horsens, 8700",Erhvervsbyvej 13,Til kapitalejerne i BÃ¥nlev Biogas A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-03-08,2017-03-08,2005-04-08,2017-03-27,36563877.0,28680872.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for BÃ¥nlev Biogas A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Langdahl,LMO Erhvervsrevision,Nordea Bank Danmark A/S,BÃ¥nlev Biogas A/S,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SpÃ¸rring,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Ãrhus, 751",2016-12-31,2016-01-01,false,2017-03-08,Horsens,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23713482,indberetninger-20180424,2.5124211,28680872.0,,2018-03-27T12:38:42.745Z,2017-04-10T11:54:51.892Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-09-DP,2017-04-10T11:54:52.076Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28680872,2016-01-01,2016-12-31,ID_12,,http://regnskaber.virk.dk/27808682/ZG9rdW1lbnRsYWdlcjovLzAzLzRkL2JlLzAzLzViLzMxYTAtNDMwNS1hOWJhLWViNDFmZmM1OGMxZA.pdf,http://regnskaber.virk.dk/27808682/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZmLzE2LzYwLzE2MjMtNDk1YS05MGYyLTk3ZTAyMWZkODdhNg.xml,true,"Horsens, 8700",Erhvervsbyvej 13,Til kapitalejerne i BÃ¥nlev Biogas A/S,12.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-03-08,2017-03-08,2005-04-08,2017-03-27,36563877.0,28680872.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for BÃ¥nlev Biogas A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Langdahl,LMO Erhvervsrevision,Nordea Bank Danmark A/S,BÃ¥nlev Biogas A/S,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SpÃ¸rring,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Ãrhus, 751",2016-12-31,2016-01-01,false,2017-03-08,Horsens,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23713482,indberetninger-20180424,2.5124211,28680872.0,,2018-03-27T12:38:42.745Z,2017-04-10T11:54:51.892Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-09-DP,2017-04-10T11:54:52.076Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28680872,2016-01-01,2016-12-31,ID_15,,http://regnskaber.virk.dk/27808682/ZG9rdW1lbnRsYWdlcjovLzAzLzRkL2JlLzAzLzViLzMxYTAtNDMwNS1hOWJhLWViNDFmZmM1OGMxZA.pdf,http://regnskaber.virk.dk/27808682/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZmLzE2LzYwLzE2MjMtNDk1YS05MGYyLTk3ZTAyMWZkODdhNg.xml,true,"Horsens, 8700",Erhvervsbyvej 13,Til kapitalejerne i BÃ¥nlev Biogas A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-03-08,2017-03-08,2005-04-08,2017-03-27,36563877.0,28680872.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for BÃ¥nlev Biogas A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Langdahl,LMO Erhvervsrevision,Nordea Bank Danmark A/S,BÃ¥nlev Biogas A/S,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SpÃ¸rring,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Ãrhus, 751",2016-12-31,2016-01-01,false,2017-03-08,Horsens,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23713482,indberetninger-20180424,2.5124211,28680872.0,,2018-03-27T12:38:42.745Z,2017-04-10T11:54:51.892Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-09-DP,2017-04-10T11:54:52.076Z,,,,,,-591543.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28680872,2016-01-01,2016-12-31,ID_17,,http://regnskaber.virk.dk/27808682/ZG9rdW1lbnRsYWdlcjovLzAzLzRkL2JlLzAzLzViLzMxYTAtNDMwNS1hOWJhLWViNDFmZmM1OGMxZA.pdf,http://regnskaber.virk.dk/27808682/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZmLzE2LzYwLzE2MjMtNDk1YS05MGYyLTk3ZTAyMWZkODdhNg.xml,true,"Horsens, 8700",Erhvervsbyvej 13,Til kapitalejerne i BÃ¥nlev Biogas A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-03-08,2017-03-08,2005-04-08,2017-03-27,36563877.0,28680872.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for BÃ¥nlev Biogas A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Langdahl,LMO Erhvervsrevision,Nordea Bank Danmark A/S,BÃ¥nlev Biogas A/S,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SpÃ¸rring,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Ãrhus, 751",2016-12-31,2016-01-01,false,2017-03-08,Horsens,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23713482,indberetninger-20180424,2.5124211,28680872.0,,2018-03-27T12:38:42.745Z,2017-04-10T11:54:51.892Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-09-DP,2017-04-10T11:54:52.076Z,,,,,,-1350436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
