entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialInstitutionPostcodeAndTown,AddressOfFinancialInstitutionStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,DateOfAuditorsReportOnAuditedFinancialStatements,DateOfGeneralMeeting,DescriptionOfAuditorAppointedToPerformAudit,DisclosureOfOtherFinanceIncome,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfCompilationOfAuditorsReportOnAuditedFinancialStatements,ProfitLoss,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToBanks,LongtermInvestmentsAndReceivables,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherLongtermReceivables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermDebtToBanks,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermTaxPayables,ShorttermTaxReceivables,IdentificationNumberCvrOfAuditFirmAppointedToPerformAudit,NameAndSurnameOfAuditorAppointedToPerformAudit,NameOfAuditFirmAppointedToPerformAudit
entity identifier,2011-01-01,2011-12-31,ID_11,http://regnskaber.virk.dk/32568013/Y3ZyLmRrOi8vcGRmcy8zMTA4NjUyMztBcFM0MTkzMDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/32568013/Y3ZyLmRrOi8veGJybHMvWC01RDg1RDkxMS0yMDEzMDUyOF8xMjUxNTZfOTU5.xml,"SÃ¸nderborg, 6400",Perlegade 9,"6270, TÃ¸nder",Popsensgade 12,"Aabenraa, 6200",NÃ¦stmark 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-05-13,2013-05-13,Registreret revisor,Note  - Finansielle indtÃ¦gter,31086523.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for CHH Invest ApS.,Ãrsrapport,Claus Henrich Hansen,Claus Heinrich Hansen,Nordea,CHH Invest ApS,"Intension, Registreret revisionsaktieselskab",Aabenraa,371181.0,"580, Aabenraa",2012-12-31,2012-01-01,DirektÃ¸r,urn:ofk:oid:19091483,indberetninger-20180424,2.5124327999999996,31086523.0,,2018-04-01T22:25:58.005Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-117.666,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_13,http://regnskaber.virk.dk/32568013/Y3ZyLmRrOi8vcGRmcy8zMTA4NjUyMztBcFM0MTkzMDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/32568013/Y3ZyLmRrOi8veGJybHMvWC01RDg1RDkxMS0yMDEzMDUyOF8xMjUxNTZfOTU5.xml,"SÃ¸nderborg, 6400",Perlegade 9,"6270, TÃ¸nder",Popsensgade 12,"Aabenraa, 6200",NÃ¦stmark 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-05-13,2013-05-13,Registreret revisor,Note  - Finansielle indtÃ¦gter,31086523.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for CHH Invest ApS.,Ãrsrapport,Claus Henrich Hansen,Claus Heinrich Hansen,Nordea,CHH Invest ApS,"Intension, Registreret revisionsaktieselskab",Aabenraa,371181.0,"580, Aabenraa",2012-12-31,2012-01-01,DirektÃ¸r,urn:ofk:oid:19091483,indberetninger-20180424,2.5124327999999996,31086523.0,,2018-04-01T22:25:58.005Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-117.666,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_9,http://regnskaber.virk.dk/32568013/Y3ZyLmRrOi8vcGRmcy8zMTA4NjUyMztBcFM0MTkzMDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/32568013/Y3ZyLmRrOi8veGJybHMvWC01RDg1RDkxMS0yMDEzMDUyOF8xMjUxNTZfOTU5.xml,"SÃ¸nderborg, 6400",Perlegade 9,"6270, TÃ¸nder",Popsensgade 12,"Aabenraa, 6200",NÃ¦stmark 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-05-13,2013-05-13,Registreret revisor,Note  - Finansielle indtÃ¦gter,31086523.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for CHH Invest ApS.,Ãrsrapport,Claus Henrich Hansen,Claus Heinrich Hansen,Nordea,CHH Invest ApS,"Intension, Registreret revisionsaktieselskab",Aabenraa,-371181.0,"580, Aabenraa",2012-12-31,2012-01-01,DirektÃ¸r,urn:ofk:oid:19091483,indberetninger-20180424,2.5124327999999996,31086523.0,,2018-04-01T22:25:58.005Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-117.666,2013-05-28T22:00:00.000Z,-828520.0,402486.0,-426034.0,-828520.0,54853.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-12-31,2011-12-31,ID_15,http://regnskaber.virk.dk/32568013/Y3ZyLmRrOi8vcGRmcy8zMTA4NjUyMztBcFM0MTkzMDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/32568013/Y3ZyLmRrOi8veGJybHMvWC01RDg1RDkxMS0yMDEzMDUyOF8xMjUxNTZfOTU5.xml,"SÃ¸nderborg, 6400",Perlegade 9,"6270, TÃ¸nder",Popsensgade 12,"Aabenraa, 6200",NÃ¦stmark 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-05-13,2013-05-13,Registreret revisor,Note  - Finansielle indtÃ¦gter,31086523.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for CHH Invest ApS.,Ãrsrapport,Claus Henrich Hansen,Claus Heinrich Hansen,Nordea,CHH Invest ApS,"Intension, Registreret revisionsaktieselskab",Aabenraa,,"580, Aabenraa",2012-12-31,2012-01-01,DirektÃ¸r,urn:ofk:oid:19091483,indberetninger-20180424,2.5124327999999996,31086523.0,,2018-04-01T22:25:58.005Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-117.666,2013-05-28T22:00:00.000Z,,,,,,12827269.0,35439.0,-125000.0,167937.0,83585.0,-3058667.0,11015509.0,-12827267.0,-9484152.0,-1126205.0,1643823.0,-8830414.0,-7704209.0,12659332.0,1643823.0,11015509.0,-284448.0,-284448.0,-2933667.0,-3108.0,0.0,-653738.0,-348000.0,-288570.0,132498.0,26945.0,0.0,21968.0,,,
entity identifier,2012-01-01,2012-12-31,ID_0,http://regnskaber.virk.dk/32568013/Y3ZyLmRrOi8vcGRmcy8zMTA4NjUyMztBcFM0MTkzMDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/32568013/Y3ZyLmRrOi8veGJybHMvWC01RDg1RDkxMS0yMDEzMDUyOF8xMjUxNTZfOTU5.xml,"SÃ¸nderborg, 6400",Perlegade 9,"6270, TÃ¸nder",Popsensgade 12,"Aabenraa, 6200",NÃ¦stmark 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-05-13,2013-05-13,Registreret revisor,Note  - Finansielle indtÃ¦gter,31086523.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for CHH Invest ApS.,Ãrsrapport,Claus Henrich Hansen,Claus Heinrich Hansen,Nordea,CHH Invest ApS,"Intension, Registreret revisionsaktieselskab",Aabenraa,,"580, Aabenraa",2012-12-31,2012-01-01,DirektÃ¸r,urn:ofk:oid:19091483,indberetninger-20180424,2.5124327999999996,31086523.0,,2018-04-01T22:25:58.005Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-117.666,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_1,http://regnskaber.virk.dk/32568013/Y3ZyLmRrOi8vcGRmcy8zMTA4NjUyMztBcFM0MTkzMDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/32568013/Y3ZyLmRrOi8veGJybHMvWC01RDg1RDkxMS0yMDEzMDUyOF8xMjUxNTZfOTU5.xml,"SÃ¸nderborg, 6400",Perlegade 9,"6270, TÃ¸nder",Popsensgade 12,"Aabenraa, 6200",NÃ¦stmark 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-05-13,2013-05-13,Registreret revisor,Note  - Finansielle indtÃ¦gter,31086523.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for CHH Invest ApS.,Ãrsrapport,Claus Henrich Hansen,Claus Heinrich Hansen,Nordea,CHH Invest ApS,"Intension, Registreret revisionsaktieselskab",Aabenraa,,"580, Aabenraa",2012-12-31,2012-01-01,DirektÃ¸r,urn:ofk:oid:19091483,indberetninger-20180424,2.5124327999999996,31086523.0,,2018-04-01T22:25:58.005Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-117.666,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_10,http://regnskaber.virk.dk/32568013/Y3ZyLmRrOi8vcGRmcy8zMTA4NjUyMztBcFM0MTkzMDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/32568013/Y3ZyLmRrOi8veGJybHMvWC01RDg1RDkxMS0yMDEzMDUyOF8xMjUxNTZfOTU5.xml,"SÃ¸nderborg, 6400",Perlegade 9,"6270, TÃ¸nder",Popsensgade 12,"Aabenraa, 6200",NÃ¦stmark 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-05-13,2013-05-13,Registreret revisor,Note  - Finansielle indtÃ¦gter,31086523.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for CHH Invest ApS.,Ãrsrapport,Claus Henrich Hansen,Claus Heinrich Hansen,Nordea,CHH Invest ApS,"Intension, Registreret revisionsaktieselskab",Aabenraa,491668.0,"580, Aabenraa",2012-12-31,2012-01-01,DirektÃ¸r,urn:ofk:oid:19091483,indberetninger-20180424,2.5124327999999996,31086523.0,,2018-04-01T22:25:58.005Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-117.666,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_12,http://regnskaber.virk.dk/32568013/Y3ZyLmRrOi8vcGRmcy8zMTA4NjUyMztBcFM0MTkzMDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/32568013/Y3ZyLmRrOi8veGJybHMvWC01RDg1RDkxMS0yMDEzMDUyOF8xMjUxNTZfOTU5.xml,"SÃ¸nderborg, 6400",Perlegade 9,"6270, TÃ¸nder",Popsensgade 12,"Aabenraa, 6200",NÃ¦stmark 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-05-13,2013-05-13,Registreret revisor,Note  - Finansielle indtÃ¦gter,31086523.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for CHH Invest ApS.,Ãrsrapport,Claus Henrich Hansen,Claus Heinrich Hansen,Nordea,CHH Invest ApS,"Intension, Registreret revisionsaktieselskab",Aabenraa,491668.0,"580, Aabenraa",2012-12-31,2012-01-01,DirektÃ¸r,urn:ofk:oid:19091483,indberetninger-20180424,2.5124327999999996,31086523.0,,2018-04-01T22:25:58.005Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-117.666,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_16,http://regnskaber.virk.dk/32568013/Y3ZyLmRrOi8vcGRmcy8zMTA4NjUyMztBcFM0MTkzMDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/32568013/Y3ZyLmRrOi8veGJybHMvWC01RDg1RDkxMS0yMDEzMDUyOF8xMjUxNTZfOTU5.xml,"SÃ¸nderborg, 6400",Perlegade 9,"6270, TÃ¸nder",Popsensgade 12,"Aabenraa, 6200",NÃ¦stmark 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-05-13,2013-05-13,Registreret revisor,Note  - Finansielle indtÃ¦gter,31086523.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for CHH Invest ApS.,Ãrsrapport,Claus Henrich Hansen,Claus Heinrich Hansen,Nordea,CHH Invest ApS,"Intension, Registreret revisionsaktieselskab",Aabenraa,,"580, Aabenraa",2012-12-31,2012-01-01,DirektÃ¸r,urn:ofk:oid:19091483,indberetninger-20180424,2.5124327999999996,31086523.0,,2018-04-01T22:25:58.005Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-117.666,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_17,http://regnskaber.virk.dk/32568013/Y3ZyLmRrOi8vcGRmcy8zMTA4NjUyMztBcFM0MTkzMDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/32568013/Y3ZyLmRrOi8veGJybHMvWC01RDg1RDkxMS0yMDEzMDUyOF8xMjUxNTZfOTU5.xml,"SÃ¸nderborg, 6400",Perlegade 9,"6270, TÃ¸nder",Popsensgade 12,"Aabenraa, 6200",NÃ¦stmark 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-05-13,2013-05-13,Registreret revisor,Note  - Finansielle indtÃ¦gter,31086523.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for CHH Invest ApS.,Ãrsrapport,Claus Henrich Hansen,Claus Heinrich Hansen,Nordea,CHH Invest ApS,"Intension, Registreret revisionsaktieselskab",Aabenraa,,"580, Aabenraa",2012-12-31,2012-01-01,DirektÃ¸r,urn:ofk:oid:19091483,indberetninger-20180424,2.5124327999999996,31086523.0,,2018-04-01T22:25:58.005Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-117.666,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
