entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AdditionsToPropertyPlantAndEquipment,AddressOfAuditorCountry,AddressOfAuditorPostcodeAndTown,AddressOfAuditorStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,Equity,IdentificationNumberCvrOfReportingEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfLawFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,AdjustmentsOfHedgingInstrumentsAtFairValue,AdjustmentsForDeferredTax,CurrentTaxExpense,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,GrossProfitLoss,InterestExpenseAssignedToGroupEnterprises,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,PropertyCost,Revenue,TaxExpense,TaxExpenseOnOrdinaryActivities,LongtermLiabilitiesOtherThanProvisions,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,InvestmentProperty,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermMortgageDebt,LongtermPayablesToGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermDebtToOtherCreditInstitutions,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,PropertyPlantAndEquipmentGross,NameAndSurnameOfAuditor,NameOfAuditFirm,NameAndSurnameOfMemberOfSupervisoryBoard,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,LongtermLiabilitiesOtherThanProvisionsDueInOneYear
30568982,2011-01-01,2011-01-01,c244,http://regnskaber.virk.dk/28986503/Y3ZyLmRrOi8vcGRmcy8zMDU2ODk4MjtBcFM0MDAzMDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/28986503/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODUzMThfODg1.xml,1481845.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2007-04-25,2013-05-28,Statsaut. revisor,72000.0,30568982.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 4 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:18430304,indberetninger-20180424,2.5118417999999996,30568982.0,,2018-04-02T00:36:48.434Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-108.245,2013-05-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30568982,2011-01-01,2011-01-01,c289,http://regnskaber.virk.dk/28986503/Y3ZyLmRrOi8vcGRmcy8zMDU2ODk4MjtBcFM0MDAzMDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/28986503/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODUzMThfODg1.xml,1481845.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2007-04-25,2013-05-28,Statsaut. revisor,6428687.0,30568982.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 4 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:18430304,indberetninger-20180424,2.5118417999999996,30568982.0,,2018-04-02T00:36:48.434Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-108.245,2013-05-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30568982,2011-01-01,2011-12-31,c180,http://regnskaber.virk.dk/28986503/Y3ZyLmRrOi8vcGRmcy8zMDU2ODk4MjtBcFM0MDAzMDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/28986503/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODUzMThfODg1.xml,1481845.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2007-04-25,2013-05-28,Statsaut. revisor,,30568982.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 4 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:18430304,indberetninger-20180424,2.5118417999999996,30568982.0,,2018-04-02T00:36:48.434Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-108.245,2013-05-30T22:00:00.000Z,-585146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30568982,2011-01-01,2011-12-31,c290,http://regnskaber.virk.dk/28986503/Y3ZyLmRrOi8vcGRmcy8zMDU2ODk4MjtBcFM0MDAzMDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/28986503/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODUzMThfODg1.xml,1481845.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2007-04-25,2013-05-28,Statsaut. revisor,,30568982.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 4 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:18430304,indberetninger-20180424,2.5118417999999996,30568982.0,,2018-04-02T00:36:48.434Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-108.245,2013-05-30T22:00:00.000Z,-585146.0,403535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30568982,2011-01-01,2011-12-31,c4,http://regnskaber.virk.dk/28986503/Y3ZyLmRrOi8vcGRmcy8zMDU2ODk4MjtBcFM0MDAzMDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/28986503/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODUzMThfODg1.xml,1481845.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2007-04-25,2013-05-28,Statsaut. revisor,,30568982.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 4 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:18430304,indberetninger-20180424,2.5118417999999996,30568982.0,,2018-04-02T00:36:48.434Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-108.245,2013-05-30T22:00:00.000Z,-585146.0,,-60006.0,-12659.0,-861068.0,984561.0,194228.0,-330873.0,-784000.0,2696.0,589772.0,-657811.0,-276179.0,1591613.0,72665.0,-72665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30568982,2011-12-31,2011-12-31,c363,http://regnskaber.virk.dk/28986503/Y3ZyLmRrOi8vcGRmcy8zMDU2ODk4MjtBcFM0MDAzMDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/28986503/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODUzMThfODg1.xml,1481845.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2007-04-25,2013-05-28,Statsaut. revisor,,30568982.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 4 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:18430304,indberetninger-20180424,2.5118417999999996,30568982.0,,2018-04-02T00:36:48.434Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-108.245,2013-05-30T22:00:00.000Z,,,,,,,,,,,,,,,,,17011236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30568982,2011-12-31,2011-12-31,c442,http://regnskaber.virk.dk/28986503/Y3ZyLmRrOi8vcGRmcy8zMDU2ODk4MjtBcFM0MDAzMDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/28986503/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODUzMThfODg1.xml,1481845.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2007-04-25,2013-05-28,Statsaut. revisor,,30568982.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 4 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:18430304,indberetninger-20180424,2.5118417999999996,30568982.0,,2018-04-02T00:36:48.434Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-108.245,2013-05-30T22:00:00.000Z,,,,,,,,,,,,,,,,,1181247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30568982,2011-12-31,2011-12-31,c5,http://regnskaber.virk.dk/28986503/Y3ZyLmRrOi8vcGRmcy8zMDU2ODk4MjtBcFM0MDAzMDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/28986503/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODUzMThfODg1.xml,1481845.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2007-04-25,2013-05-28,Statsaut. revisor,5834642.0,30568982.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 4 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:18430304,indberetninger-20180424,2.5118417999999996,30568982.0,,2018-04-02T00:36:48.434Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-108.245,2013-05-30T22:00:00.000Z,,,,,,,,,,,,,,,,,17980250.0,24985165.0,344041.0,72000.0,611727.0,97884.0,0.0,24373438.0,24985165.0,19150523.0,16799003.0,1181247.0,24373438.0,74158.0,19469.0,24373438.0,5762642.0,159.0,572573.0,1170273.0,212233.0,94660.0,267686.0,0.0,109735.0,216490.0,40598.0,,,,,,
30568982,2012-01-01,2012-01-01,c208,http://regnskaber.virk.dk/28986503/Y3ZyLmRrOi8vcGRmcy8zMDU2ODk4MjtBcFM0MDAzMDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/28986503/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODUzMThfODg1.xml,1481845.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2007-04-25,2013-05-28,Statsaut. revisor,,30568982.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 4 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:18430304,indberetninger-20180424,2.5118417999999996,30568982.0,,2018-04-02T00:36:48.434Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-108.245,2013-05-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27000837.0,,,,,
30568982,2012-01-01,2012-12-31,c1,http://regnskaber.virk.dk/28986503/Y3ZyLmRrOi8vcGRmcy8zMDU2ODk4MjtBcFM0MDAzMDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/28986503/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODUzMThfODg1.xml,1481845.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2007-04-25,2013-05-28,Statsaut. revisor,,30568982.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 4 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:18430304,indberetninger-20180424,2.5118417999999996,30568982.0,,2018-04-02T00:36:48.434Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-108.245,2013-05-30T22:00:00.000Z,-2426043.0,,-86923.0,-18730.0,-2770324.0,966059.0,48346.0,-330142.0,-729196.0,1765.0,680850.0,-2531696.0,-276337.0,1572538.0,105653.0,-105653.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Nielsen,Beierholm,,,
