entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AdjustmentsForCurrentTaxOfPriorPeriod,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DividendPaid,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermInvestments,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables,NameOfAuditFirm,TypeOfAuditorAssistance
34594317,2017-01-01,2017-12-31,c174,,http://regnskaber.virk.dk/71349543/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzNlLzVkLzUxLzBkZTUtNDI3Zi1hNDQ3LTRjNmM2NmIyOTk1OA.pdf,http://regnskaber.virk.dk/71349543/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzZmLzhmLzI5LzQ1NjEtNDIzNS04MGQ4LWFlMTAzM2EwZjM1MA.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,6933 KibÃ¦k,Sdr. Ommevej 23,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i Enghuset Skarrild ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",45540.0,2019-01-28,2012-06-15,2019-01-28,Statsautoriseret revisor,-105800.0,20222670.0,34594317.0,20222670.0,mne36183,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Enghuset Skarrild ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kristian Frost Vingum,Peter Ausum Nielsen,Peter Ausum Nielsen,Enghuset Skarrild ApS,BDO Statsautoriseret revisionsaktieselskab,36.0,225418.0,KibÃ¦k,2017-01-01,2017-12-31,161548.0,207088.0,-18294.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KibÃ¦k,2018-12-31,2018-01-01,false,2019-01-28,Vejle,45540.0,urn:ofk:oid:26636509,indberetninger-20180424,2.5124316,34594317.0,AWi33hNtet7j816D38O2,2019-02-04T09:37:17.643Z,2019-02-04T09:36:50.284Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-98-HU,2019-02-04T09:36:50.506Z,,,,,,,,,,,,,,,,,,
34594317,2017-01-01,2017-12-31,c177,,http://regnskaber.virk.dk/71349543/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzNlLzVkLzUxLzBkZTUtNDI3Zi1hNDQ3LTRjNmM2NmIyOTk1OA.pdf,http://regnskaber.virk.dk/71349543/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzZmLzhmLzI5LzQ1NjEtNDIzNS04MGQ4LWFlMTAzM2EwZjM1MA.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,6933 KibÃ¦k,Sdr. Ommevej 23,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i Enghuset Skarrild ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-01-28,2012-06-15,2019-01-28,Statsautoriseret revisor,-105800.0,20222670.0,34594317.0,20222670.0,mne36183,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Enghuset Skarrild ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kristian Frost Vingum,Peter Ausum Nielsen,Peter Ausum Nielsen,Enghuset Skarrild ApS,BDO Statsautoriseret revisionsaktieselskab,,,KibÃ¦k,2017-01-01,2017-12-31,105800.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KibÃ¦k,2018-12-31,2018-01-01,false,2019-01-28,Vejle,,urn:ofk:oid:26636509,indberetninger-20180424,2.5124316,34594317.0,AWi33hNtet7j816D38O2,2019-02-04T09:37:17.643Z,2019-02-04T09:36:50.284Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-98-HU,2019-02-04T09:36:50.506Z,,,,,,,,,,,,,,,,,,
34594317,2017-01-01,2017-12-31,c195,,http://regnskaber.virk.dk/71349543/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzNlLzVkLzUxLzBkZTUtNDI3Zi1hNDQ3LTRjNmM2NmIyOTk1OA.pdf,http://regnskaber.virk.dk/71349543/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzZmLzhmLzI5LzQ1NjEtNDIzNS04MGQ4LWFlMTAzM2EwZjM1MA.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,6933 KibÃ¦k,Sdr. Ommevej 23,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i Enghuset Skarrild ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-01-28,2012-06-15,2019-01-28,Statsautoriseret revisor,-105800.0,20222670.0,34594317.0,20222670.0,mne36183,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Enghuset Skarrild ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kristian Frost Vingum,Peter Ausum Nielsen,Peter Ausum Nielsen,Enghuset Skarrild ApS,BDO Statsautoriseret revisionsaktieselskab,,,KibÃ¦k,2017-01-01,2017-12-31,55748.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KibÃ¦k,2018-12-31,2018-01-01,false,2019-01-28,Vejle,,urn:ofk:oid:26636509,indberetninger-20180424,2.5124316,34594317.0,AWi33hNtet7j816D38O2,2019-02-04T09:37:17.643Z,2019-02-04T09:36:50.284Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-98-HU,2019-02-04T09:36:50.506Z,,,,,,,,,,,,,,,,,,
34594317,2017-12-31,2017-12-31,c172,,http://regnskaber.virk.dk/71349543/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzNlLzVkLzUxLzBkZTUtNDI3Zi1hNDQ3LTRjNmM2NmIyOTk1OA.pdf,http://regnskaber.virk.dk/71349543/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzZmLzhmLzI5LzQ1NjEtNDIzNS04MGQ4LWFlMTAzM2EwZjM1MA.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,6933 KibÃ¦k,Sdr. Ommevej 23,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i Enghuset Skarrild ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-01-28,2012-06-15,2019-01-28,Statsautoriseret revisor,-105800.0,20222670.0,34594317.0,20222670.0,mne36183,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Enghuset Skarrild ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kristian Frost Vingum,Peter Ausum Nielsen,Peter Ausum Nielsen,Enghuset Skarrild ApS,BDO Statsautoriseret revisionsaktieselskab,,,KibÃ¦k,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KibÃ¦k,2018-12-31,2018-01-01,false,2019-01-28,Vejle,,urn:ofk:oid:26636509,indberetninger-20180424,2.5124316,34594317.0,AWi33hNtet7j816D38O2,2019-02-04T09:37:17.643Z,2019-02-04T09:36:50.284Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-98-HU,2019-02-04T09:36:50.506Z,4771137.0,1141367.0,80000.0,0.0,4727812.0,4771137.0,43325.0,2733775.0,895995.0,105800.0,4542012.0,2733775.0,43325.0,895995.0,37325.0,0.0,,
34594317,2018-01-01,2018-01-01,c226,,http://regnskaber.virk.dk/71349543/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzNlLzVkLzUxLzBkZTUtNDI3Zi1hNDQ3LTRjNmM2NmIyOTk1OA.pdf,http://regnskaber.virk.dk/71349543/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzZmLzhmLzI5LzQ1NjEtNDIzNS04MGQ4LWFlMTAzM2EwZjM1MA.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,6933 KibÃ¦k,Sdr. Ommevej 23,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i Enghuset Skarrild ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-01-28,2012-06-15,2019-01-28,Statsautoriseret revisor,-105800.0,20222670.0,34594317.0,20222670.0,mne36183,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Enghuset Skarrild ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kristian Frost Vingum,Peter Ausum Nielsen,Peter Ausum Nielsen,Enghuset Skarrild ApS,BDO Statsautoriseret revisionsaktieselskab,,,KibÃ¦k,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KibÃ¦k,2018-12-31,2018-01-01,false,2019-01-28,Vejle,,urn:ofk:oid:26636509,indberetninger-20180424,2.5124316,34594317.0,AWi33hNtet7j816D38O2,2019-02-04T09:37:17.643Z,2019-02-04T09:36:50.284Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-98-HU,2019-02-04T09:36:50.506Z,,,,,80000.0,,,,,,,,,,,,,
34594317,2018-01-01,2018-01-01,c253,,http://regnskaber.virk.dk/71349543/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzNlLzVkLzUxLzBkZTUtNDI3Zi1hNDQ3LTRjNmM2NmIyOTk1OA.pdf,http://regnskaber.virk.dk/71349543/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzZmLzhmLzI5LzQ1NjEtNDIzNS04MGQ4LWFlMTAzM2EwZjM1MA.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,6933 KibÃ¦k,Sdr. Ommevej 23,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i Enghuset Skarrild ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-01-28,2012-06-15,2019-01-28,Statsautoriseret revisor,-105800.0,20222670.0,34594317.0,20222670.0,mne36183,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Enghuset Skarrild ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kristian Frost Vingum,Peter Ausum Nielsen,Peter Ausum Nielsen,Enghuset Skarrild ApS,BDO Statsautoriseret revisionsaktieselskab,,,KibÃ¦k,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KibÃ¦k,2018-12-31,2018-01-01,false,2019-01-28,Vejle,,urn:ofk:oid:26636509,indberetninger-20180424,2.5124316,34594317.0,AWi33hNtet7j816D38O2,2019-02-04T09:37:17.643Z,2019-02-04T09:36:50.284Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-98-HU,2019-02-04T09:36:50.506Z,,,,,4542011.0,,,,,,,,,,,,,
34594317,2018-01-01,2018-01-01,c257,,http://regnskaber.virk.dk/71349543/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzNlLzVkLzUxLzBkZTUtNDI3Zi1hNDQ3LTRjNmM2NmIyOTk1OA.pdf,http://regnskaber.virk.dk/71349543/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzZmLzhmLzI5LzQ1NjEtNDIzNS04MGQ4LWFlMTAzM2EwZjM1MA.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,6933 KibÃ¦k,Sdr. Ommevej 23,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i Enghuset Skarrild ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-01-28,2012-06-15,2019-01-28,Statsautoriseret revisor,-105800.0,20222670.0,34594317.0,20222670.0,mne36183,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Enghuset Skarrild ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kristian Frost Vingum,Peter Ausum Nielsen,Peter Ausum Nielsen,Enghuset Skarrild ApS,BDO Statsautoriseret revisionsaktieselskab,,,KibÃ¦k,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KibÃ¦k,2018-12-31,2018-01-01,false,2019-01-28,Vejle,,urn:ofk:oid:26636509,indberetninger-20180424,2.5124316,34594317.0,AWi33hNtet7j816D38O2,2019-02-04T09:37:17.643Z,2019-02-04T09:36:50.284Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-98-HU,2019-02-04T09:36:50.506Z,,,,,105800.0,,,,,,,,,,,,,
34594317,2018-01-01,2018-12-31,c173,,http://regnskaber.virk.dk/71349543/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzNlLzVkLzUxLzBkZTUtNDI3Zi1hNDQ3LTRjNmM2NmIyOTk1OA.pdf,http://regnskaber.virk.dk/71349543/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzZmLzhmLzI5LzQ1NjEtNDIzNS04MGQ4LWFlMTAzM2EwZjM1MA.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,6933 KibÃ¦k,Sdr. Ommevej 23,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i Enghuset Skarrild ApS,-32500.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",0.0,2019-01-28,2012-06-15,2019-01-28,Statsautoriseret revisor,-105800.0,20222670.0,34594317.0,20222670.0,mne36183,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Enghuset Skarrild ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kristian Frost Vingum,Peter Ausum Nielsen,Peter Ausum Nielsen,Enghuset Skarrild ApS,BDO Statsautoriseret revisionsaktieselskab,215911.0,95620.0,KibÃ¦k,2017-01-01,2017-12-31,-116993.0,-149493.0,-29202.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KibÃ¦k,2018-12-31,2018-01-01,false,2019-01-28,Vejle,-32500.0,urn:ofk:oid:26636509,indberetninger-20180424,2.5124316,34594317.0,AWi33hNtet7j816D38O2,2019-02-04T09:37:17.643Z,2019-02-04T09:36:50.284Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-98-HU,2019-02-04T09:36:50.506Z,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,RevisionspÃ¥tegning
34594317,2018-01-01,2018-12-31,c176,,http://regnskaber.virk.dk/71349543/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzNlLzVkLzUxLzBkZTUtNDI3Zi1hNDQ3LTRjNmM2NmIyOTk1OA.pdf,http://regnskaber.virk.dk/71349543/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzZmLzhmLzI5LzQ1NjEtNDIzNS04MGQ4LWFlMTAzM2EwZjM1MA.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,6933 KibÃ¦k,Sdr. Ommevej 23,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i Enghuset Skarrild ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-01-28,2012-06-15,2019-01-28,Statsautoriseret revisor,-105800.0,20222670.0,34594317.0,20222670.0,mne36183,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Enghuset Skarrild ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kristian Frost Vingum,Peter Ausum Nielsen,Peter Ausum Nielsen,Enghuset Skarrild ApS,BDO Statsautoriseret revisionsaktieselskab,,,KibÃ¦k,2017-01-01,2017-12-31,108000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KibÃ¦k,2018-12-31,2018-01-01,false,2019-01-28,Vejle,,urn:ofk:oid:26636509,indberetninger-20180424,2.5124316,34594317.0,AWi33hNtet7j816D38O2,2019-02-04T09:37:17.643Z,2019-02-04T09:36:50.284Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-98-HU,2019-02-04T09:36:50.506Z,,,,,,,,,,,,,,,,,,
34594317,2018-01-01,2018-12-31,c194,,http://regnskaber.virk.dk/71349543/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzNlLzVkLzUxLzBkZTUtNDI3Zi1hNDQ3LTRjNmM2NmIyOTk1OA.pdf,http://regnskaber.virk.dk/71349543/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzZmLzhmLzI5LzQ1NjEtNDIzNS04MGQ4LWFlMTAzM2EwZjM1MA.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,6933 KibÃ¦k,Sdr. Ommevej 23,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i Enghuset Skarrild ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-01-28,2012-06-15,2019-01-28,Statsautoriseret revisor,-105800.0,20222670.0,34594317.0,20222670.0,mne36183,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Enghuset Skarrild ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kristian Frost Vingum,Peter Ausum Nielsen,Peter Ausum Nielsen,Enghuset Skarrild ApS,BDO Statsautoriseret revisionsaktieselskab,,,KibÃ¦k,2017-01-01,2017-12-31,-224993.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KibÃ¦k,2018-12-31,2018-01-01,false,2019-01-28,Vejle,,urn:ofk:oid:26636509,indberetninger-20180424,2.5124316,34594317.0,AWi33hNtet7j816D38O2,2019-02-04T09:37:17.643Z,2019-02-04T09:36:50.284Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-98-HU,2019-02-04T09:36:50.506Z,,,,,,,,,,,,,,,,,,
