entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,GrossResult,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,NameOfAuditFirm
34803870,2013-07-01,2014-06-30,c3,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2ZhLzZhLzQ5L2ZjMDItNGQ4NS04ZmU4LTU4OTMxYzQ2ZTE2Nw.xhtml,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzL2EwL2IwLzExL2JiLzEyYzctNDA3MS1hYjUyLTYzYWNhOTM4YjdjNw.pdf,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzLzRkLzE3LzZkLzc4LzQ4NDYtNDk5NC05MjY2LWRjOGRjNzU3NTA4Yg.xml,Danmark,DK,Svendborg,13.0,BlÃ¥byvej,Svendborg,5700.0,42.0,MosestrÃ¦de,5700 Svendborg,BlÃ¥byvej 13,Til kapitalejerne i SM Holding Svendborg ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-09-24,2015-09-28,Registreret revisor,-4000.0,26306175.0,34803870.0,1008757646.0,13775.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Finn Kehlet Schou HD,SÃ¸ren Meyer,SÃ¸ren Meyer,SM HOLDING SVENDBORG ApS,Finn Schou,0.0,Svendborg,2013-07-01,2014-06-30,10755.0,9775.0,-4000.0,2015-06-30,2014-07-01,2015-09-24,Svendborg,"Generalforsamlingen har besluttet, at Ã¥rsregnskabet ikke skal revideres for det kommende regnskabsÃ¥r.",-980.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21469139,indberetninger-20180424,2.595548,34803870.0,,2018-03-30T15:34:59.833Z,2015-09-30T05:52:42.450Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-88-SC,2015-09-30T05:52:42.576Z,,,,,,,,,,,,,,,,,,,
34803870,2013-07-01,2014-06-30,c5,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2ZhLzZhLzQ5L2ZjMDItNGQ4NS04ZmU4LTU4OTMxYzQ2ZTE2Nw.xhtml,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzL2EwL2IwLzExL2JiLzEyYzctNDA3MS1hYjUyLTYzYWNhOTM4YjdjNw.pdf,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzLzRkLzE3LzZkLzc4LzQ4NDYtNDk5NC05MjY2LWRjOGRjNzU3NTA4Yg.xml,Danmark,DK,Svendborg,13.0,BlÃ¥byvej,Svendborg,5700.0,42.0,MosestrÃ¦de,5700 Svendborg,BlÃ¥byvej 13,Til kapitalejerne i SM Holding Svendborg ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-09-24,2015-09-28,Registreret revisor,,26306175.0,34803870.0,1008757646.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Finn Kehlet Schou HD,SÃ¸ren Meyer,SÃ¸ren Meyer,SM HOLDING SVENDBORG ApS,Finn Schou,,Svendborg,2013-07-01,2014-06-30,13775.0,,,2015-06-30,2014-07-01,2015-09-24,Svendborg,"Generalforsamlingen har besluttet, at Ã¥rsregnskabet ikke skal revideres for det kommende regnskabsÃ¥r.",,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21469139,indberetninger-20180424,2.595548,34803870.0,,2018-03-30T15:34:59.833Z,2015-09-30T05:52:42.450Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-88-SC,2015-09-30T05:52:42.576Z,,,,,,,,,,,,,,,,,,,
34803870,2013-07-01,2014-06-30,c7,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2ZhLzZhLzQ5L2ZjMDItNGQ4NS04ZmU4LTU4OTMxYzQ2ZTE2Nw.xhtml,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzL2EwL2IwLzExL2JiLzEyYzctNDA3MS1hYjUyLTYzYWNhOTM4YjdjNw.pdf,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzLzRkLzE3LzZkLzc4LzQ4NDYtNDk5NC05MjY2LWRjOGRjNzU3NTA4Yg.xml,Danmark,DK,Svendborg,13.0,BlÃ¥byvej,Svendborg,5700.0,42.0,MosestrÃ¦de,5700 Svendborg,BlÃ¥byvej 13,Til kapitalejerne i SM Holding Svendborg ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-09-24,2015-09-28,Registreret revisor,,26306175.0,34803870.0,1008757646.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Finn Kehlet Schou HD,SÃ¸ren Meyer,SÃ¸ren Meyer,SM HOLDING SVENDBORG ApS,Finn Schou,,Svendborg,2013-07-01,2014-06-30,-3020.0,,,2015-06-30,2014-07-01,2015-09-24,Svendborg,"Generalforsamlingen har besluttet, at Ã¥rsregnskabet ikke skal revideres for det kommende regnskabsÃ¥r.",,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21469139,indberetninger-20180424,2.595548,34803870.0,,2018-03-30T15:34:59.833Z,2015-09-30T05:52:42.450Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-88-SC,2015-09-30T05:52:42.576Z,,,,,,,,,,,,,,,,,,,
34803870,2014-06-30,2014-06-30,c9,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2ZhLzZhLzQ5L2ZjMDItNGQ4NS04ZmU4LTU4OTMxYzQ2ZTE2Nw.xhtml,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzL2EwL2IwLzExL2JiLzEyYzctNDA3MS1hYjUyLTYzYWNhOTM4YjdjNw.pdf,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzLzRkLzE3LzZkLzc4LzQ4NDYtNDk5NC05MjY2LWRjOGRjNzU3NTA4Yg.xml,Danmark,DK,Svendborg,13.0,BlÃ¥byvej,Svendborg,5700.0,42.0,MosestrÃ¦de,5700 Svendborg,BlÃ¥byvej 13,Til kapitalejerne i SM Holding Svendborg ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-09-24,2015-09-28,Registreret revisor,,26306175.0,34803870.0,1008757646.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Finn Kehlet Schou HD,SÃ¸ren Meyer,SÃ¸ren Meyer,SM HOLDING SVENDBORG ApS,Finn Schou,,Svendborg,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,2015-09-24,Svendborg,"Generalforsamlingen har besluttet, at Ã¥rsregnskabet ikke skal revideres for det kommende regnskabsÃ¥r.",,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21469139,indberetninger-20180424,2.595548,34803870.0,,2018-03-30T15:34:59.833Z,2015-09-30T05:52:42.450Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-88-SC,2015-09-30T05:52:42.576Z,328883.0,0.0,80000.0,980.0,980.0,319258.0,328883.0,9625.0,327903.0,327903.0,327903.0,247903.0,-8645.0,9625.0,5625.0,980.0,0.0,4000.0,
34803870,2014-07-01,2015-06-30,c0,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2ZhLzZhLzQ5L2ZjMDItNGQ4NS04ZmU4LTU4OTMxYzQ2ZTE2Nw.xhtml,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzL2EwL2IwLzExL2JiLzEyYzctNDA3MS1hYjUyLTYzYWNhOTM4YjdjNw.pdf,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzLzRkLzE3LzZkLzc4LzQ4NDYtNDk5NC05MjY2LWRjOGRjNzU3NTA4Yg.xml,Danmark,DK,Svendborg,13.0,BlÃ¥byvej,Svendborg,5700.0,42.0,MosestrÃ¦de,5700 Svendborg,BlÃ¥byvej 13,Til kapitalejerne i SM Holding Svendborg ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-09-24,2015-09-28,Registreret revisor,-5025.0,26306175.0,34803870.0,1008757646.0,129081.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Finn Kehlet Schou HD,SÃ¸ren Meyer,SÃ¸ren Meyer,SM HOLDING SVENDBORG ApS,Finn Schou,1662.0,Svendborg,2013-07-01,2014-06-30,123905.0,122394.0,-5025.0,2015-06-30,2014-07-01,2015-09-24,Svendborg,"Generalforsamlingen har besluttet, at Ã¥rsregnskabet ikke skal revideres for det kommende regnskabsÃ¥r.",-1511.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21469139,indberetninger-20180424,2.595548,34803870.0,,2018-03-30T15:34:59.833Z,2015-09-30T05:52:42.450Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-88-SC,2015-09-30T05:52:42.576Z,,,,,,,,,,,,,,,,,,,
34803870,2014-07-01,2015-06-30,c1,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2ZhLzZhLzQ5L2ZjMDItNGQ4NS04ZmU4LTU4OTMxYzQ2ZTE2Nw.xhtml,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzL2EwL2IwLzExL2JiLzEyYzctNDA3MS1hYjUyLTYzYWNhOTM4YjdjNw.pdf,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzLzRkLzE3LzZkLzc4LzQ4NDYtNDk5NC05MjY2LWRjOGRjNzU3NTA4Yg.xml,Danmark,DK,Svendborg,13.0,BlÃ¥byvej,Svendborg,5700.0,42.0,MosestrÃ¦de,5700 Svendborg,BlÃ¥byvej 13,Til kapitalejerne i SM Holding Svendborg ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-09-24,2015-09-28,Registreret revisor,,26306175.0,34803870.0,1008757646.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Finn Kehlet Schou HD,SÃ¸ren Meyer,SÃ¸ren Meyer,SM HOLDING SVENDBORG ApS,Finn Schou,,Svendborg,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,2015-09-24,Svendborg,"Generalforsamlingen har besluttet, at Ã¥rsregnskabet ikke skal revideres for det kommende regnskabsÃ¥r.",,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21469139,indberetninger-20180424,2.595548,34803870.0,,2018-03-30T15:34:59.833Z,2015-09-30T05:52:42.450Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-88-SC,2015-09-30T05:52:42.576Z,,,,,,,,,,,,,,,,,,,FKS Revision
34803870,2014-07-01,2015-06-30,c2,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2ZhLzZhLzQ5L2ZjMDItNGQ4NS04ZmU4LTU4OTMxYzQ2ZTE2Nw.xhtml,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzL2EwL2IwLzExL2JiLzEyYzctNDA3MS1hYjUyLTYzYWNhOTM4YjdjNw.pdf,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzLzRkLzE3LzZkLzc4LzQ4NDYtNDk5NC05MjY2LWRjOGRjNzU3NTA4Yg.xml,Danmark,DK,Svendborg,13.0,BlÃ¥byvej,Svendborg,5700.0,42.0,MosestrÃ¦de,5700 Svendborg,BlÃ¥byvej 13,Til kapitalejerne i SM Holding Svendborg ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-09-24,2015-09-28,Registreret revisor,,26306175.0,34803870.0,1008757646.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Finn Kehlet Schou HD,SÃ¸ren Meyer,SÃ¸ren Meyer,SM HOLDING SVENDBORG ApS,Finn Schou,,Svendborg,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,2015-09-24,Svendborg,"Generalforsamlingen har besluttet, at Ã¥rsregnskabet ikke skal revideres for det kommende regnskabsÃ¥r.",,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21469139,indberetninger-20180424,2.595548,34803870.0,,2018-03-30T15:34:59.833Z,2015-09-30T05:52:42.450Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-88-SC,2015-09-30T05:52:42.576Z,,,,,,,,,,,,,,,,,,,
34803870,2014-07-01,2015-06-30,c4,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2ZhLzZhLzQ5L2ZjMDItNGQ4NS04ZmU4LTU4OTMxYzQ2ZTE2Nw.xhtml,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzL2EwL2IwLzExL2JiLzEyYzctNDA3MS1hYjUyLTYzYWNhOTM4YjdjNw.pdf,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzLzRkLzE3LzZkLzc4LzQ4NDYtNDk5NC05MjY2LWRjOGRjNzU3NTA4Yg.xml,Danmark,DK,Svendborg,13.0,BlÃ¥byvej,Svendborg,5700.0,42.0,MosestrÃ¦de,5700 Svendborg,BlÃ¥byvej 13,Til kapitalejerne i SM Holding Svendborg ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-09-24,2015-09-28,Registreret revisor,,26306175.0,34803870.0,1008757646.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Finn Kehlet Schou HD,SÃ¸ren Meyer,SÃ¸ren Meyer,SM HOLDING SVENDBORG ApS,Finn Schou,,Svendborg,2013-07-01,2014-06-30,-70919.0,,,2015-06-30,2014-07-01,2015-09-24,Svendborg,"Generalforsamlingen har besluttet, at Ã¥rsregnskabet ikke skal revideres for det kommende regnskabsÃ¥r.",,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21469139,indberetninger-20180424,2.595548,34803870.0,,2018-03-30T15:34:59.833Z,2015-09-30T05:52:42.450Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-88-SC,2015-09-30T05:52:42.576Z,,,,,,,,,,,,,,,,,,,
34803870,2014-07-01,2015-06-30,c6,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2ZhLzZhLzQ5L2ZjMDItNGQ4NS04ZmU4LTU4OTMxYzQ2ZTE2Nw.xhtml,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzL2EwL2IwLzExL2JiLzEyYzctNDA3MS1hYjUyLTYzYWNhOTM4YjdjNw.pdf,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzLzRkLzE3LzZkLzc4LzQ4NDYtNDk5NC05MjY2LWRjOGRjNzU3NTA4Yg.xml,Danmark,DK,Svendborg,13.0,BlÃ¥byvej,Svendborg,5700.0,42.0,MosestrÃ¦de,5700 Svendborg,BlÃ¥byvej 13,Til kapitalejerne i SM Holding Svendborg ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-09-24,2015-09-28,Registreret revisor,,26306175.0,34803870.0,1008757646.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Finn Kehlet Schou HD,SÃ¸ren Meyer,SÃ¸ren Meyer,SM HOLDING SVENDBORG ApS,Finn Schou,,Svendborg,2013-07-01,2014-06-30,194824.0,,,2015-06-30,2014-07-01,2015-09-24,Svendborg,"Generalforsamlingen har besluttet, at Ã¥rsregnskabet ikke skal revideres for det kommende regnskabsÃ¥r.",,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21469139,indberetninger-20180424,2.595548,34803870.0,,2018-03-30T15:34:59.833Z,2015-09-30T05:52:42.450Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-88-SC,2015-09-30T05:52:42.576Z,,,,,,,,,,,,,,,,,,,
34803870,2015-06-30,2015-06-30,c8,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2ZhLzZhLzQ5L2ZjMDItNGQ4NS04ZmU4LTU4OTMxYzQ2ZTE2Nw.xhtml,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzL2EwL2IwLzExL2JiLzEyYzctNDA3MS1hYjUyLTYzYWNhOTM4YjdjNw.pdf,http://regnskaber.virk.dk/07830843/ZG9rdW1lbnRsYWdlcjovLzAzLzRkLzE3LzZkLzc4LzQ4NDYtNDk5NC05MjY2LWRjOGRjNzU3NTA4Yg.xml,Danmark,DK,Svendborg,13.0,BlÃ¥byvej,Svendborg,5700.0,42.0,MosestrÃ¦de,5700 Svendborg,BlÃ¥byvej 13,Til kapitalejerne i SM Holding Svendborg ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-09-24,2015-09-28,Registreret revisor,,26306175.0,34803870.0,1008757646.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Finn Kehlet Schou HD,SÃ¸ren Meyer,SÃ¸ren Meyer,SM HOLDING SVENDBORG ApS,Finn Schou,,Svendborg,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,2015-09-24,Svendborg,"Generalforsamlingen har besluttet, at Ã¥rsregnskabet ikke skal revideres for det kommende regnskabsÃ¥r.",,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21469139,indberetninger-20180424,2.595548,34803870.0,,2018-03-30T15:34:59.833Z,2015-09-30T05:52:42.450Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AG-88-SC,2015-09-30T05:52:42.576Z,759788.0,313.0,80000.0,2804.0,0.0,443163.0,759788.0,316625.0,756984.0,756984.0,756984.0,176984.0,186179.0,316625.0,312625.0,2491.0,2491.0,4000.0,
