entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherShorttermReceivables,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AcquiredOtherSimilarRights,Assets,ContributedCapital,CurrentAssets,Equity,IntangibleAssets,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfSupervisoryBoard
29619883,2014-01-01,2014-12-31,c5,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzI0LzU3LzJlLzljYzMtNGJjYS1iZjhkLTY0ODBmYWYzN2YwOA.xhtml,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzU3L2I1L2Y2LzM4ZjQtNGM5ZC1iN2M0LWZiMzI1MGQ0NjNhOQ.pdf,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzRlL2UzL2VjL2IxMDItNGQ0OC04ODIyLWJhYzRlYzhhZGY3NA.xml,true,KÃ¸benhavn K,1165.0,7.0,NÃ¸rregade,2450 KÃ¸benhavn SV,Oscar Pettifords Vej 25 st th,Regnskabsklasse B,2016-05-31,2016-05-31,1526762.0,1191743.0,29619883.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peder Ries Borchert,Kim Ries Skovby,VIDENSBANKEN A/S,Peder Borchert,34402.0,73204.0,KÃ¸benhavn K,2014-01-01,2014-12-31,-369421.0,-369421.0,-335019.0,2015-12-31,2015-01-01,false,false,Selskabet har fravalgt revision det kommende Ã¥r,false,false,Ingen bistand,urn:ofk:oid:22773912,indberetninger-20180424,2.5949402000000004,29619883.0,,2018-03-29T14:27:29.938Z,2016-06-24T13:30:55.702Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-40-HN,2016-06-24T13:30:55.833Z,,,,,,,,,,,,,,,,,,,,,
29619883,2014-01-01,2014-12-31,c7,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzI0LzU3LzJlLzljYzMtNGJjYS1iZjhkLTY0ODBmYWYzN2YwOA.xhtml,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzU3L2I1L2Y2LzM4ZjQtNGM5ZC1iN2M0LWZiMzI1MGQ0NjNhOQ.pdf,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzRlL2UzL2VjL2IxMDItNGQ0OC04ODIyLWJhYzRlYzhhZGY3NA.xml,true,KÃ¸benhavn K,1165.0,7.0,NÃ¸rregade,2450 KÃ¸benhavn SV,Oscar Pettifords Vej 25 st th,Regnskabsklasse B,2016-05-31,2016-05-31,,,29619883.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peder Ries Borchert,Kim Ries Skovby,VIDENSBANKEN A/S,Peder Borchert,,73204.0,KÃ¸benhavn K,2014-01-01,2014-12-31,-369421.0,,,2015-12-31,2015-01-01,false,false,Selskabet har fravalgt revision det kommende Ã¥r,false,false,Ingen bistand,urn:ofk:oid:22773912,indberetninger-20180424,2.5949402000000004,29619883.0,,2018-03-29T14:27:29.938Z,2016-06-24T13:30:55.702Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-40-HN,2016-06-24T13:30:55.833Z,,,,,,,,,,,,,,,,,,,,,
29619883,2014-12-31,2014-12-31,c9,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzI0LzU3LzJlLzljYzMtNGJjYS1iZjhkLTY0ODBmYWYzN2YwOA.xhtml,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzU3L2I1L2Y2LzM4ZjQtNGM5ZC1iN2M0LWZiMzI1MGQ0NjNhOQ.pdf,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzRlL2UzL2VjL2IxMDItNGQ0OC04ODIyLWJhYzRlYzhhZGY3NA.xml,true,KÃ¸benhavn K,1165.0,7.0,NÃ¸rregade,2450 KÃ¸benhavn SV,Oscar Pettifords Vej 25 st th,Regnskabsklasse B,2016-05-31,2016-05-31,,,29619883.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peder Ries Borchert,Kim Ries Skovby,VIDENSBANKEN A/S,Peder Borchert,,73204.0,KÃ¸benhavn K,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,Selskabet har fravalgt revision det kommende Ã¥r,false,false,Ingen bistand,urn:ofk:oid:22773912,indberetninger-20180424,2.5949402000000004,29619883.0,,2018-03-29T14:27:29.938Z,2016-06-24T13:30:55.702Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-40-HN,2016-06-24T13:30:55.833Z,153667.0,4354575.0,625000.0,2598204.0,617348.0,153667.0,935000.0,4354575.0,3737227.0,667704.0,1756371.0,667704.0,973839.0,935000.0,-7652.0,233866.0,3737227.0,2529522.0,2598204.0,2525000.0,
29619883,2015-01-01,2015-12-31,c0,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzI0LzU3LzJlLzljYzMtNGJjYS1iZjhkLTY0ODBmYWYzN2YwOA.xhtml,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzU3L2I1L2Y2LzM4ZjQtNGM5ZC1iN2M0LWZiMzI1MGQ0NjNhOQ.pdf,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzRlL2UzL2VjL2IxMDItNGQ0OC04ODIyLWJhYzRlYzhhZGY3NA.xml,true,KÃ¸benhavn K,1165.0,7.0,NÃ¸rregade,2450 KÃ¸benhavn SV,Oscar Pettifords Vej 25 st th,Regnskabsklasse B,2016-05-31,2016-05-31,1540223.0,1235230.0,29619883.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peder Ries Borchert,Kim Ries Skovby,VIDENSBANKEN A/S,Peder Borchert,254710.0,73204.0,KÃ¸benhavn K,2014-01-01,2014-12-31,-559703.0,-559703.0,-304993.0,2015-12-31,2015-01-01,false,false,Selskabet har fravalgt revision det kommende Ã¥r,false,false,Ingen bistand,urn:ofk:oid:22773912,indberetninger-20180424,2.5949402000000004,29619883.0,,2018-03-29T14:27:29.938Z,2016-06-24T13:30:55.702Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-40-HN,2016-06-24T13:30:55.833Z,,,,,,,,,,,,,,,,,,,,,
29619883,2015-01-01,2015-12-31,c1,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzI0LzU3LzJlLzljYzMtNGJjYS1iZjhkLTY0ODBmYWYzN2YwOA.xhtml,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzU3L2I1L2Y2LzM4ZjQtNGM5ZC1iN2M0LWZiMzI1MGQ0NjNhOQ.pdf,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzRlL2UzL2VjL2IxMDItNGQ0OC04ODIyLWJhYzRlYzhhZGY3NA.xml,true,KÃ¸benhavn K,1165.0,7.0,NÃ¸rregade,2450 KÃ¸benhavn SV,Oscar Pettifords Vej 25 st th,Regnskabsklasse B,2016-05-31,2016-05-31,,,29619883.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peder Ries Borchert,Kim Ries Skovby,VIDENSBANKEN A/S,Peder Borchert,,73204.0,KÃ¸benhavn K,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,Selskabet har fravalgt revision det kommende Ã¥r,false,false,Ingen bistand,urn:ofk:oid:22773912,indberetninger-20180424,2.5949402000000004,29619883.0,,2018-03-29T14:27:29.938Z,2016-06-24T13:30:55.702Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-40-HN,2016-06-24T13:30:55.833Z,,,,,,,,,,,,,,,,,,,,,
29619883,2015-01-01,2015-12-31,c2,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzI0LzU3LzJlLzljYzMtNGJjYS1iZjhkLTY0ODBmYWYzN2YwOA.xhtml,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzU3L2I1L2Y2LzM4ZjQtNGM5ZC1iN2M0LWZiMzI1MGQ0NjNhOQ.pdf,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzRlL2UzL2VjL2IxMDItNGQ0OC04ODIyLWJhYzRlYzhhZGY3NA.xml,true,KÃ¸benhavn K,1165.0,7.0,NÃ¸rregade,2450 KÃ¸benhavn SV,Oscar Pettifords Vej 25 st th,Regnskabsklasse B,2016-05-31,2016-05-31,,,29619883.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peder Ries Borchert,Kim Ries Skovby,VIDENSBANKEN A/S,Peder Borchert,,73204.0,KÃ¸benhavn K,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,Selskabet har fravalgt revision det kommende Ã¥r,false,false,Ingen bistand,urn:ofk:oid:22773912,indberetninger-20180424,2.5949402000000004,29619883.0,,2018-03-29T14:27:29.938Z,2016-06-24T13:30:55.702Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-40-HN,2016-06-24T13:30:55.833Z,,,,,,,,,,,,,,,,,,,,,Kim Ries Skovby
29619883,2015-01-01,2015-12-31,c3,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzI0LzU3LzJlLzljYzMtNGJjYS1iZjhkLTY0ODBmYWYzN2YwOA.xhtml,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzU3L2I1L2Y2LzM4ZjQtNGM5ZC1iN2M0LWZiMzI1MGQ0NjNhOQ.pdf,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzRlL2UzL2VjL2IxMDItNGQ0OC04ODIyLWJhYzRlYzhhZGY3NA.xml,true,KÃ¸benhavn K,1165.0,7.0,NÃ¸rregade,2450 KÃ¸benhavn SV,Oscar Pettifords Vej 25 st th,Regnskabsklasse B,2016-05-31,2016-05-31,,,29619883.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peder Ries Borchert,Kim Ries Skovby,VIDENSBANKEN A/S,Peder Borchert,,73204.0,KÃ¸benhavn K,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,Selskabet har fravalgt revision det kommende Ã¥r,false,false,Ingen bistand,urn:ofk:oid:22773912,indberetninger-20180424,2.5949402000000004,29619883.0,,2018-03-29T14:27:29.938Z,2016-06-24T13:30:55.702Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-40-HN,2016-06-24T13:30:55.833Z,,,,,,,,,,,,,,,,,,,,,Casper Bender Petersen
29619883,2015-01-01,2015-12-31,c4,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzI0LzU3LzJlLzljYzMtNGJjYS1iZjhkLTY0ODBmYWYzN2YwOA.xhtml,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzU3L2I1L2Y2LzM4ZjQtNGM5ZC1iN2M0LWZiMzI1MGQ0NjNhOQ.pdf,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzRlL2UzL2VjL2IxMDItNGQ0OC04ODIyLWJhYzRlYzhhZGY3NA.xml,true,KÃ¸benhavn K,1165.0,7.0,NÃ¸rregade,2450 KÃ¸benhavn SV,Oscar Pettifords Vej 25 st th,Regnskabsklasse B,2016-05-31,2016-05-31,,,29619883.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peder Ries Borchert,Kim Ries Skovby,VIDENSBANKEN A/S,Peder Borchert,,73204.0,KÃ¸benhavn K,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,Selskabet har fravalgt revision det kommende Ã¥r,false,false,Ingen bistand,urn:ofk:oid:22773912,indberetninger-20180424,2.5949402000000004,29619883.0,,2018-03-29T14:27:29.938Z,2016-06-24T13:30:55.702Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-40-HN,2016-06-24T13:30:55.833Z,,,,,,,,,,,,,,,,,,,,,Peder Ries Borchert
29619883,2015-01-01,2015-12-31,c6,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzI0LzU3LzJlLzljYzMtNGJjYS1iZjhkLTY0ODBmYWYzN2YwOA.xhtml,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzU3L2I1L2Y2LzM4ZjQtNGM5ZC1iN2M0LWZiMzI1MGQ0NjNhOQ.pdf,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzRlL2UzL2VjL2IxMDItNGQ0OC04ODIyLWJhYzRlYzhhZGY3NA.xml,true,KÃ¸benhavn K,1165.0,7.0,NÃ¸rregade,2450 KÃ¸benhavn SV,Oscar Pettifords Vej 25 st th,Regnskabsklasse B,2016-05-31,2016-05-31,,,29619883.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peder Ries Borchert,Kim Ries Skovby,VIDENSBANKEN A/S,Peder Borchert,,73204.0,KÃ¸benhavn K,2014-01-01,2014-12-31,-559703.0,,,2015-12-31,2015-01-01,false,false,Selskabet har fravalgt revision det kommende Ã¥r,false,false,Ingen bistand,urn:ofk:oid:22773912,indberetninger-20180424,2.5949402000000004,29619883.0,,2018-03-29T14:27:29.938Z,2016-06-24T13:30:55.702Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-40-HN,2016-06-24T13:30:55.833Z,,,,,,,,,,,,,,,,,,,,,
29619883,2015-12-31,2015-12-31,c8,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzI0LzU3LzJlLzljYzMtNGJjYS1iZjhkLTY0ODBmYWYzN2YwOA.xhtml,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzU3L2I1L2Y2LzM4ZjQtNGM5ZC1iN2M0LWZiMzI1MGQ0NjNhOQ.pdf,http://regnskaber.virk.dk/38891692/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzRlL2UzL2VjL2IxMDItNGQ0OC04ODIyLWJhYzRlYzhhZGY3NA.xml,true,KÃ¸benhavn K,1165.0,7.0,NÃ¸rregade,2450 KÃ¸benhavn SV,Oscar Pettifords Vej 25 st th,Regnskabsklasse B,2016-05-31,2016-05-31,,,29619883.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peder Ries Borchert,Kim Ries Skovby,VIDENSBANKEN A/S,Peder Borchert,,73204.0,KÃ¸benhavn K,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,Selskabet har fravalgt revision det kommende Ã¥r,false,false,Ingen bistand,urn:ofk:oid:22773912,indberetninger-20180424,2.5949402000000004,29619883.0,,2018-03-29T14:27:29.938Z,2016-06-24T13:30:55.702Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-40-HN,2016-06-24T13:30:55.833Z,153667.0,5003329.0,625000.0,3914662.0,57645.0,153667.0,935000.0,5003329.0,4945684.0,0.0,1088667.0,0.0,797228.0,935000.0,-567355.0,588902.0,4945684.0,3559554.0,3914662.0,3914662.0,
