entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfReportingEntity,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,NameAndSurnameOfMemberOfExecutiveBoard
33381182,2012-01-01,2012-12-31,ID_11,http://regnskaber.virk.dk/28118333/Y3ZyLmRrOi8vcGRmcy8zMzM4MTE4MjtBcFM0ODYxOTk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/28118333/Y3ZyLmRrOi8veGJybHMvWC1EQTY4MjM1NS0yMDE0MDYxOF8yMTUxMjdfMzM3.xml,"Odense SV, 5250",HvidkÃ¦rvej 23A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2013 - 31-12-2013.","Selskabets ledelse Ã¸nsker ikke, at Ã¥rsrapporten for det kommende regnskabsÃ¥r skal revideres, idet selskabet opfylder de lovgivningsmÃ¦ssige betingelser for fravalget.",2011-01-05,2014-05-30,33381182.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2013 - 31-12-2013 for Resource2U ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen JÃ¦ger,Resource2U ApS,KS Administration A/S,"Middelfart, den 30-05-2014",-15334.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Middelfart, 410",2013-12-31,2013-01-01,2014-05-14,Kolding,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:13946620,indberetninger-20180424,2.5118437,33381182,,2018-04-01T06:17:30.581Z,2014-06-18T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-145.843,2014-06-18T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
33381182,2012-01-01,2012-12-31,ID_7,http://regnskaber.virk.dk/28118333/Y3ZyLmRrOi8vcGRmcy8zMzM4MTE4MjtBcFM0ODYxOTk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/28118333/Y3ZyLmRrOi8veGJybHMvWC1EQTY4MjM1NS0yMDE0MDYxOF8yMTUxMjdfMzM3.xml,"Odense SV, 5250",HvidkÃ¦rvej 23A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2013 - 31-12-2013.","Selskabets ledelse Ã¸nsker ikke, at Ã¥rsrapporten for det kommende regnskabsÃ¥r skal revideres, idet selskabet opfylder de lovgivningsmÃ¦ssige betingelser for fravalget.",2011-01-05,2014-05-30,33381182.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2013 - 31-12-2013 for Resource2U ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen JÃ¦ger,Resource2U ApS,KS Administration A/S,"Middelfart, den 30-05-2014",15334.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Middelfart, 410",2013-12-31,2013-01-01,2014-05-14,Kolding,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:13946620,indberetninger-20180424,2.5118437,33381182,,2018-04-01T06:17:30.581Z,2014-06-18T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-145.843,2014-06-18T22:00:00.000Z,17057.0,330.0,3807.0,20534.0,17057.0,5200.0,,,,,,,,,,,,,,,,
33381182,2012-01-01,2012-12-31,ID_9,http://regnskaber.virk.dk/28118333/Y3ZyLmRrOi8vcGRmcy8zMzM4MTE4MjtBcFM0ODYxOTk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/28118333/Y3ZyLmRrOi8veGJybHMvWC1EQTY4MjM1NS0yMDE0MDYxOF8yMTUxMjdfMzM3.xml,"Odense SV, 5250",HvidkÃ¦rvej 23A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2013 - 31-12-2013.","Selskabets ledelse Ã¸nsker ikke, at Ã¥rsrapporten for det kommende regnskabsÃ¥r skal revideres, idet selskabet opfylder de lovgivningsmÃ¦ssige betingelser for fravalget.",2011-01-05,2014-05-30,33381182.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2013 - 31-12-2013 for Resource2U ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen JÃ¦ger,Resource2U ApS,KS Administration A/S,"Middelfart, den 30-05-2014",-15334.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Middelfart, 410",2013-12-31,2013-01-01,2014-05-14,Kolding,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:13946620,indberetninger-20180424,2.5118437,33381182,,2018-04-01T06:17:30.581Z,2014-06-18T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-145.843,2014-06-18T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
33381182,2012-12-31,2012-12-31,ID_13,http://regnskaber.virk.dk/28118333/Y3ZyLmRrOi8vcGRmcy8zMzM4MTE4MjtBcFM0ODYxOTk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/28118333/Y3ZyLmRrOi8veGJybHMvWC1EQTY4MjM1NS0yMDE0MDYxOF8yMTUxMjdfMzM3.xml,"Odense SV, 5250",HvidkÃ¦rvej 23A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2013 - 31-12-2013.","Selskabets ledelse Ã¸nsker ikke, at Ã¥rsrapporten for det kommende regnskabsÃ¥r skal revideres, idet selskabet opfylder de lovgivningsmÃ¦ssige betingelser for fravalget.",2011-01-05,2014-05-30,33381182.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2013 - 31-12-2013 for Resource2U ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen JÃ¦ger,Resource2U ApS,KS Administration A/S,"Middelfart, den 30-05-2014",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Middelfart, 410",2013-12-31,2013-01-01,2014-05-14,Kolding,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:13946620,indberetninger-20180424,2.5118437,33381182,,2018-04-01T06:17:30.581Z,2014-06-18T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-145.843,2014-06-18T22:00:00.000Z,,,,,,,151091.0,32577.0,80000.0,151091.0,0.0,131891.0,151091.0,19200.0,14000.0,2000.0,51891.0,19200.0,118514.0,116514.0,5200.0,
33381182,2013-01-01,2013-12-31,ID_0,http://regnskaber.virk.dk/28118333/Y3ZyLmRrOi8vcGRmcy8zMzM4MTE4MjtBcFM0ODYxOTk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/28118333/Y3ZyLmRrOi8veGJybHMvWC1EQTY4MjM1NS0yMDE0MDYxOF8yMTUxMjdfMzM3.xml,"Odense SV, 5250",HvidkÃ¦rvej 23A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2013 - 31-12-2013.","Selskabets ledelse Ã¸nsker ikke, at Ã¥rsrapporten for det kommende regnskabsÃ¥r skal revideres, idet selskabet opfylder de lovgivningsmÃ¦ssige betingelser for fravalget.",2011-01-05,2014-05-30,33381182.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2013 - 31-12-2013 for Resource2U ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen JÃ¦ger,Resource2U ApS,KS Administration A/S,"Middelfart, den 30-05-2014",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Middelfart, 410",2013-12-31,2013-01-01,2014-05-14,Kolding,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:13946620,indberetninger-20180424,2.5118437,33381182,,2018-04-01T06:17:30.581Z,2014-06-18T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-145.843,2014-06-18T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
33381182,2013-01-01,2013-12-31,ID_1,http://regnskaber.virk.dk/28118333/Y3ZyLmRrOi8vcGRmcy8zMzM4MTE4MjtBcFM0ODYxOTk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/28118333/Y3ZyLmRrOi8veGJybHMvWC1EQTY4MjM1NS0yMDE0MDYxOF8yMTUxMjdfMzM3.xml,"Odense SV, 5250",HvidkÃ¦rvej 23A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2013 - 31-12-2013.","Selskabets ledelse Ã¸nsker ikke, at Ã¥rsrapporten for det kommende regnskabsÃ¥r skal revideres, idet selskabet opfylder de lovgivningsmÃ¦ssige betingelser for fravalget.",2011-01-05,2014-05-30,33381182.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2013 - 31-12-2013 for Resource2U ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen JÃ¦ger,Resource2U ApS,KS Administration A/S,"Middelfart, den 30-05-2014",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Middelfart, 410",2013-12-31,2013-01-01,2014-05-14,Kolding,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:13946620,indberetninger-20180424,2.5118437,33381182,,2018-04-01T06:17:30.581Z,2014-06-18T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-145.843,2014-06-18T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
33381182,2013-01-01,2013-12-31,ID_10,http://regnskaber.virk.dk/28118333/Y3ZyLmRrOi8vcGRmcy8zMzM4MTE4MjtBcFM0ODYxOTk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/28118333/Y3ZyLmRrOi8veGJybHMvWC1EQTY4MjM1NS0yMDE0MDYxOF8yMTUxMjdfMzM3.xml,"Odense SV, 5250",HvidkÃ¦rvej 23A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2013 - 31-12-2013.","Selskabets ledelse Ã¸nsker ikke, at Ã¥rsrapporten for det kommende regnskabsÃ¥r skal revideres, idet selskabet opfylder de lovgivningsmÃ¦ssige betingelser for fravalget.",2011-01-05,2014-05-30,33381182.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2013 - 31-12-2013 for Resource2U ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen JÃ¦ger,Resource2U ApS,KS Administration A/S,"Middelfart, den 30-05-2014",3586.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Middelfart, 410",2013-12-31,2013-01-01,2014-05-14,Kolding,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:13946620,indberetninger-20180424,2.5118437,33381182,,2018-04-01T06:17:30.581Z,2014-06-18T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-145.843,2014-06-18T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
33381182,2013-01-01,2013-12-31,ID_14,http://regnskaber.virk.dk/28118333/Y3ZyLmRrOi8vcGRmcy8zMzM4MTE4MjtBcFM0ODYxOTk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/28118333/Y3ZyLmRrOi8veGJybHMvWC1EQTY4MjM1NS0yMDE0MDYxOF8yMTUxMjdfMzM3.xml,"Odense SV, 5250",HvidkÃ¦rvej 23A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2013 - 31-12-2013.","Selskabets ledelse Ã¸nsker ikke, at Ã¥rsrapporten for det kommende regnskabsÃ¥r skal revideres, idet selskabet opfylder de lovgivningsmÃ¦ssige betingelser for fravalget.",2011-01-05,2014-05-30,33381182.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2013 - 31-12-2013 for Resource2U ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen JÃ¦ger,Resource2U ApS,KS Administration A/S,"Middelfart, den 30-05-2014",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Middelfart, 410",2013-12-31,2013-01-01,2014-05-14,Kolding,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:13946620,indberetninger-20180424,2.5118437,33381182,,2018-04-01T06:17:30.581Z,2014-06-18T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-145.843,2014-06-18T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
33381182,2013-01-01,2013-12-31,ID_15,http://regnskaber.virk.dk/28118333/Y3ZyLmRrOi8vcGRmcy8zMzM4MTE4MjtBcFM0ODYxOTk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/28118333/Y3ZyLmRrOi8veGJybHMvWC1EQTY4MjM1NS0yMDE0MDYxOF8yMTUxMjdfMzM3.xml,"Odense SV, 5250",HvidkÃ¦rvej 23A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2013 - 31-12-2013.","Selskabets ledelse Ã¸nsker ikke, at Ã¥rsrapporten for det kommende regnskabsÃ¥r skal revideres, idet selskabet opfylder de lovgivningsmÃ¦ssige betingelser for fravalget.",2011-01-05,2014-05-30,33381182.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2013 - 31-12-2013 for Resource2U ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen JÃ¦ger,Resource2U ApS,KS Administration A/S,"Middelfart, den 30-05-2014",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Middelfart, 410",2013-12-31,2013-01-01,2014-05-14,Kolding,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:13946620,indberetninger-20180424,2.5118437,33381182,,2018-04-01T06:17:30.581Z,2014-06-18T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-145.843,2014-06-18T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
33381182,2013-01-01,2013-12-31,ID_16,http://regnskaber.virk.dk/28118333/Y3ZyLmRrOi8vcGRmcy8zMzM4MTE4MjtBcFM0ODYxOTk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/28118333/Y3ZyLmRrOi8veGJybHMvWC1EQTY4MjM1NS0yMDE0MDYxOF8yMTUxMjdfMzM3.xml,"Odense SV, 5250",HvidkÃ¦rvej 23A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2013 - 31-12-2013.","Selskabets ledelse Ã¸nsker ikke, at Ã¥rsrapporten for det kommende regnskabsÃ¥r skal revideres, idet selskabet opfylder de lovgivningsmÃ¦ssige betingelser for fravalget.",2011-01-05,2014-05-30,33381182.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2013 - 31-12-2013 for Resource2U ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen JÃ¦ger,Resource2U ApS,KS Administration A/S,"Middelfart, den 30-05-2014",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Middelfart, 410",2013-12-31,2013-01-01,2014-05-14,Kolding,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:13946620,indberetninger-20180424,2.5118437,33381182,,2018-04-01T06:17:30.581Z,2014-06-18T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-145.843,2014-06-18T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
