entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,DescriptionOfAuditor,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,EmailOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfAuditor,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprises,OtherFinanceExpenses,OtherFinanceIncomeFromGroupEnterprises,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTaxReceivablesFromGroupEnterprises,ShorttermTradePayables
25643380,2015-01-01,2015-12-31,c109,,http://regnskaber.virk.dk/08334652/ZG9rdW1lbnRsYWdlcjovLzAzLzNmL2RkLzczLzhlLzQxZGEtNDI3Zi1iMWY1LTEzNzkzNTgxZDU3OA.pdf,http://regnskaber.virk.dk/08334652/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzkzLzJlLzI1LzA2M2MtNDdjMC05NWY4LTRlMDliM2UxYmM5Mg.xml,Danmark,HillerÃ¸d,3400.0,11.0,Nordstensvej,Herlev,2730.0,42.0,Stadagervej,"3400, HillerÃ¸d","Nordstensvej, 11",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-03-17,2017-03-17,2017-03-17,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,info@dk.gt.com,34209936.0,25643380.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Pragmatic Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bo Lysen,SÃ¸ren Beyer Nielsen,SÃ¸ren Beyer Nielsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Pragmatic Holding ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Herlev,2015-01-01,2015-12-31,50600.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-03-17,HillerÃ¸d,+45 33 110 220,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23617275,indberetninger-20180424,2.5097342,25643380,,2018-03-28T01:51:47.006Z,2017-03-20T07:19:49.190Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-70-PN,2017-03-20T07:19:49.346Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25643380,2015-01-01,2015-12-31,c123,,http://regnskaber.virk.dk/08334652/ZG9rdW1lbnRsYWdlcjovLzAzLzNmL2RkLzczLzhlLzQxZGEtNDI3Zi1iMWY1LTEzNzkzNTgxZDU3OA.pdf,http://regnskaber.virk.dk/08334652/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzkzLzJlLzI1LzA2M2MtNDdjMC05NWY4LTRlMDliM2UxYmM5Mg.xml,Danmark,HillerÃ¸d,3400.0,11.0,Nordstensvej,Herlev,2730.0,42.0,Stadagervej,"3400, HillerÃ¸d","Nordstensvej, 11",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-03-17,2017-03-17,2017-03-17,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,info@dk.gt.com,34209936.0,25643380.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Pragmatic Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bo Lysen,SÃ¸ren Beyer Nielsen,SÃ¸ren Beyer Nielsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Pragmatic Holding ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Herlev,2015-01-01,2015-12-31,-101537.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-03-17,HillerÃ¸d,+45 33 110 220,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23617275,indberetninger-20180424,2.5097342,25643380,,2018-03-28T01:51:47.006Z,2017-03-20T07:19:49.190Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-70-PN,2017-03-20T07:19:49.346Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25643380,2015-01-01,2015-12-31,c3,,http://regnskaber.virk.dk/08334652/ZG9rdW1lbnRsYWdlcjovLzAzLzNmL2RkLzczLzhlLzQxZGEtNDI3Zi1iMWY1LTEzNzkzNTgxZDU3OA.pdf,http://regnskaber.virk.dk/08334652/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzkzLzJlLzI1LzA2M2MtNDdjMC05NWY4LTRlMDliM2UxYmM5Mg.xml,Danmark,HillerÃ¸d,3400.0,11.0,Nordstensvej,Herlev,2730.0,42.0,Stadagervej,"3400, HillerÃ¸d","Nordstensvej, 11",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-03-17,2017-03-17,2017-03-17,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,info@dk.gt.com,34209936.0,25643380.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Pragmatic Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bo Lysen,SÃ¸ren Beyer Nielsen,SÃ¸ren Beyer Nielsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Pragmatic Holding ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Herlev,2015-01-01,2015-12-31,574474.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-03-17,HillerÃ¸d,+45 33 110 220,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23617275,indberetninger-20180424,2.5097342,25643380,,2018-03-28T01:51:47.006Z,2017-03-20T07:19:49.190Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-70-PN,2017-03-20T07:19:49.346Z,-5300.0,625411.0,63211.0,0.0,556900.0,-5300.0,-17574.0,,,,,,,,,,,,,,,,,,,,,,,
25643380,2015-01-01,2015-12-31,c474,,http://regnskaber.virk.dk/08334652/ZG9rdW1lbnRsYWdlcjovLzAzLzNmL2RkLzczLzhlLzQxZGEtNDI3Zi1iMWY1LTEzNzkzNTgxZDU3OA.pdf,http://regnskaber.virk.dk/08334652/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzkzLzJlLzI1LzA2M2MtNDdjMC05NWY4LTRlMDliM2UxYmM5Mg.xml,Danmark,HillerÃ¸d,3400.0,11.0,Nordstensvej,Herlev,2730.0,42.0,Stadagervej,"3400, HillerÃ¸d","Nordstensvej, 11",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-03-17,2017-03-17,2017-03-17,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,info@dk.gt.com,34209936.0,25643380.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Pragmatic Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bo Lysen,SÃ¸ren Beyer Nielsen,SÃ¸ren Beyer Nielsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Pragmatic Holding ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Herlev,2015-01-01,2015-12-31,625411.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-03-17,HillerÃ¸d,+45 33 110 220,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23617275,indberetninger-20180424,2.5097342,25643380,,2018-03-28T01:51:47.006Z,2017-03-20T07:19:49.190Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-70-PN,2017-03-20T07:19:49.346Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25643380,2015-12-31,2015-12-31,c4,,http://regnskaber.virk.dk/08334652/ZG9rdW1lbnRsYWdlcjovLzAzLzNmL2RkLzczLzhlLzQxZGEtNDI3Zi1iMWY1LTEzNzkzNTgxZDU3OA.pdf,http://regnskaber.virk.dk/08334652/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzkzLzJlLzI1LzA2M2MtNDdjMC05NWY4LTRlMDliM2UxYmM5Mg.xml,Danmark,HillerÃ¸d,3400.0,11.0,Nordstensvej,Herlev,2730.0,42.0,Stadagervej,"3400, HillerÃ¸d","Nordstensvej, 11",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-03-17,2017-03-17,2017-03-17,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,info@dk.gt.com,34209936.0,25643380.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Pragmatic Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bo Lysen,SÃ¸ren Beyer Nielsen,SÃ¸ren Beyer Nielsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Pragmatic Holding ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Herlev,2015-01-01,2015-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-03-17,HillerÃ¸d,+45 33 110 220,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23617275,indberetninger-20180424,2.5097342,25643380,,2018-03-28T01:51:47.006Z,2017-03-20T07:19:49.190Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-70-PN,2017-03-20T07:19:49.346Z,,,,,,,,6404319.0,4159863.0,125000.0,4211902.0,5036209.0,6404319.0,1368110.0,2192417.0,1.0,2192416.0,2192417.0,13284.0,50600.0,2064916.0,2795693.0,1368110.0,1352326.0,52039.0,0.0,0.0,52039.0,0.0,2500.0
25643380,2016-01-01,2016-12-31,c1,,http://regnskaber.virk.dk/08334652/ZG9rdW1lbnRsYWdlcjovLzAzLzNmL2RkLzczLzhlLzQxZGEtNDI3Zi1iMWY1LTEzNzkzNTgxZDU3OA.pdf,http://regnskaber.virk.dk/08334652/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzkzLzJlLzI1LzA2M2MtNDdjMC05NWY4LTRlMDliM2UxYmM5Mg.xml,Danmark,HillerÃ¸d,3400.0,11.0,Nordstensvej,Herlev,2730.0,42.0,Stadagervej,"3400, HillerÃ¸d","Nordstensvej, 11",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-03-17,2017-03-17,2017-03-17,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,info@dk.gt.com,34209936.0,25643380.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Pragmatic Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bo Lysen,SÃ¸ren Beyer Nielsen,SÃ¸ren Beyer Nielsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Pragmatic Holding ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Herlev,2015-01-01,2015-12-31,668591.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-03-17,HillerÃ¸d,+45 33 110 220,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23617275,indberetninger-20180424,2.5097342,25643380,,2018-03-28T01:51:47.006Z,2017-03-20T07:19:49.190Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-70-PN,2017-03-20T07:19:49.346Z,-5551.0,659942.0,0.0,16713.0,671104.0,-5551.0,2513.0,,,,,,,,,,,,,,,,,,,,,,,
25643380,2016-01-01,2016-12-31,c108,,http://regnskaber.virk.dk/08334652/ZG9rdW1lbnRsYWdlcjovLzAzLzNmL2RkLzczLzhlLzQxZGEtNDI3Zi1iMWY1LTEzNzkzNTgxZDU3OA.pdf,http://regnskaber.virk.dk/08334652/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzkzLzJlLzI1LzA2M2MtNDdjMC05NWY4LTRlMDliM2UxYmM5Mg.xml,Danmark,HillerÃ¸d,3400.0,11.0,Nordstensvej,Herlev,2730.0,42.0,Stadagervej,"3400, HillerÃ¸d","Nordstensvej, 11",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-03-17,2017-03-17,2017-03-17,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,info@dk.gt.com,34209936.0,25643380.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Pragmatic Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bo Lysen,SÃ¸ren Beyer Nielsen,SÃ¸ren Beyer Nielsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Pragmatic Holding ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Herlev,2015-01-01,2015-12-31,51700.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-03-17,HillerÃ¸d,+45 33 110 220,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23617275,indberetninger-20180424,2.5097342,25643380,,2018-03-28T01:51:47.006Z,2017-03-20T07:19:49.190Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-70-PN,2017-03-20T07:19:49.346Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25643380,2016-01-01,2016-12-31,c114,,http://regnskaber.virk.dk/08334652/ZG9rdW1lbnRsYWdlcjovLzAzLzNmL2RkLzczLzhlLzQxZGEtNDI3Zi1iMWY1LTEzNzkzNTgxZDU3OA.pdf,http://regnskaber.virk.dk/08334652/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzkzLzJlLzI1LzA2M2MtNDdjMC05NWY4LTRlMDliM2UxYmM5Mg.xml,Danmark,HillerÃ¸d,3400.0,11.0,Nordstensvej,Herlev,2730.0,42.0,Stadagervej,"3400, HillerÃ¸d","Nordstensvej, 11",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-03-17,2017-03-17,2017-03-17,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,info@dk.gt.com,34209936.0,25643380.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Pragmatic Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bo Lysen,SÃ¸ren Beyer Nielsen,SÃ¸ren Beyer Nielsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Pragmatic Holding ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Herlev,2015-01-01,2015-12-31,-1032474.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-03-17,HillerÃ¸d,+45 33 110 220,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23617275,indberetninger-20180424,2.5097342,25643380,,2018-03-28T01:51:47.006Z,2017-03-20T07:19:49.190Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-70-PN,2017-03-20T07:19:49.346Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25643380,2016-01-01,2016-12-31,c122,,http://regnskaber.virk.dk/08334652/ZG9rdW1lbnRsYWdlcjovLzAzLzNmL2RkLzczLzhlLzQxZGEtNDI3Zi1iMWY1LTEzNzkzNTgxZDU3OA.pdf,http://regnskaber.virk.dk/08334652/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzkzLzJlLzI1LzA2M2MtNDdjMC05NWY4LTRlMDliM2UxYmM5Mg.xml,Danmark,HillerÃ¸d,3400.0,11.0,Nordstensvej,Herlev,2730.0,42.0,Stadagervej,"3400, HillerÃ¸d","Nordstensvej, 11",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-03-17,2017-03-17,2017-03-17,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,info@dk.gt.com,34209936.0,25643380.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Pragmatic Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bo Lysen,SÃ¸ren Beyer Nielsen,SÃ¸ren Beyer Nielsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Pragmatic Holding ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Herlev,2015-01-01,2015-12-31,1649365.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-03-17,HillerÃ¸d,+45 33 110 220,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23617275,indberetninger-20180424,2.5097342,25643380,,2018-03-28T01:51:47.006Z,2017-03-20T07:19:49.190Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-70-PN,2017-03-20T07:19:49.346Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25643380,2016-01-01,2016-12-31,c71,,http://regnskaber.virk.dk/08334652/ZG9rdW1lbnRsYWdlcjovLzAzLzNmL2RkLzczLzhlLzQxZGEtNDI3Zi1iMWY1LTEzNzkzNTgxZDU3OA.pdf,http://regnskaber.virk.dk/08334652/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzkzLzJlLzI1LzA2M2MtNDdjMC05NWY4LTRlMDliM2UxYmM5Mg.xml,Danmark,HillerÃ¸d,3400.0,11.0,Nordstensvej,Herlev,2730.0,42.0,Stadagervej,"3400, HillerÃ¸d","Nordstensvej, 11",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-03-17,2017-03-17,2017-03-17,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,info@dk.gt.com,34209936.0,25643380.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Pragmatic Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bo Lysen,SÃ¸ren Beyer Nielsen,SÃ¸ren Beyer Nielsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Pragmatic Holding ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Herlev,2015-01-01,2015-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-03-17,HillerÃ¸d,+45 33 110 220,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23617275,indberetninger-20180424,2.5097342,25643380,,2018-03-28T01:51:47.006Z,2017-03-20T07:19:49.190Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-70-PN,2017-03-20T07:19:49.346Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
