entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfLawFirmDistrictName,AddressOfLawFirmPostCodeIdentifier,AddressOfLawFirmStreetBuildingIdentifier,AddressOfLawFirmStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,ExternalExpenses,FairValueAdjustementsOfPropertyPlantAndEquipment,GainsLossesFromCurrentValueAdjustmentsOfInvestmentProperty,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,InformationOnTypeOfSubmittedReport,InterestExpenseAssignedToGroupEnterprises,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfSupervisoryBoard,NameOfFinancialInstitution,NameOfLawFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryOperatingActivities,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,ContributedCapitalInArrears,DeferredIncomeAssets,Equity,InvestmentProperty,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermDebtToBanks,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedFairValueAdjustmentsOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,NameOfAuditFirm,TypeOfAuditorAssistance
28283393,2017-01-01,2017-12-31,c174,,http://regnskaber.virk.dk/39338282/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzk3LzI0LzEwLzQ1MTAtNGRlZi1hOTAwLWM3MmUzYTc0ZmY5YQ.pdf,http://regnskaber.virk.dk/39338282/ZG9rdW1lbnRsYWdlcjovLzAzL2E5LzhkLzFjL2Q4LzU2MmQtNDU5My1hYjczLWZhMjViNjcxYmE5NQ.xml,true,Silkeborg,8600.0,34.0,Papirfabrikken,NORDEA,FI-00020,VV3275,Satamaradankatu 5,KÃ¸benhavn Ã,2100.0,41.0,Stockholmsgade,2100 KÃ¸benhavn Ã,Stockholmsgade 37 kl. th.,DK-8600 Silkeborg,Papirfabrikken 34,Regnskabsklasse B,2019-03-22,2004-11-26,2019-03-22,Statsautoriseret revisor,857619.0,-100000.0,-1165163.0,-275852.0,20222670.0,28283393.0,20222670.0,mne27705,Ãrsrapport,1088.0,0.0,Tommy Wulff Andreasen,Michael Gregersen,Michael Gregersen,Nordea Finland,Elmann Advokatpartnerselskab,"K/S Imatra, Finland",BDO Statsautoriseret revisionsaktieselskab,65610.0,25252.0,64522.0,KÃ¸benhavn,2017-01-01,2017-12-31,-1481373.0,-1441015.0,KÃ¸benhavn,2018-12-31,2018-01-01,581767.0,true,2019-03-22,Silkeborg,urn:ofk:oid:26873964,indberetninger-20180424,2.5124211,28283393.0,AWm0DH-1RYGX6_YTGMro,2019-03-25T08:51:57.220Z,2019-03-25T08:51:51.188Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AT-86-QR,2019-03-25T08:51:51.415Z,,,,,,,,,,,,,,,,,,,,,,,,,
28283393,2017-01-01,2017-12-31,c213,,http://regnskaber.virk.dk/39338282/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzk3LzI0LzEwLzQ1MTAtNGRlZi1hOTAwLWM3MmUzYTc0ZmY5YQ.pdf,http://regnskaber.virk.dk/39338282/ZG9rdW1lbnRsYWdlcjovLzAzL2E5LzhkLzFjL2Q4LzU2MmQtNDU5My1hYjczLWZhMjViNjcxYmE5NQ.xml,true,Silkeborg,8600.0,34.0,Papirfabrikken,NORDEA,FI-00020,VV3275,Satamaradankatu 5,KÃ¸benhavn Ã,2100.0,41.0,Stockholmsgade,2100 KÃ¸benhavn Ã,Stockholmsgade 37 kl. th.,DK-8600 Silkeborg,Papirfabrikken 34,Regnskabsklasse B,2019-03-22,2004-11-26,2019-03-22,Statsautoriseret revisor,,-100000.0,,,20222670.0,28283393.0,20222670.0,mne27705,Ãrsrapport,,0.0,Tommy Wulff Andreasen,Michael Gregersen,Michael Gregersen,Nordea Finland,Elmann Advokatpartnerselskab,"K/S Imatra, Finland",BDO Statsautoriseret revisionsaktieselskab,,,,KÃ¸benhavn,2017-01-01,2017-12-31,-1481373.0,,KÃ¸benhavn,2018-12-31,2018-01-01,,true,2019-03-22,Silkeborg,urn:ofk:oid:26873964,indberetninger-20180424,2.5124211,28283393.0,AWm0DH-1RYGX6_YTGMro,2019-03-25T08:51:57.220Z,2019-03-25T08:51:51.188Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AT-86-QR,2019-03-25T08:51:51.415Z,,,,,,,,,,,,,,,,,,,,,,,,,
28283393,2017-12-31,2017-12-31,c172,,http://regnskaber.virk.dk/39338282/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzk3LzI0LzEwLzQ1MTAtNGRlZi1hOTAwLWM3MmUzYTc0ZmY5YQ.pdf,http://regnskaber.virk.dk/39338282/ZG9rdW1lbnRsYWdlcjovLzAzL2E5LzhkLzFjL2Q4LzU2MmQtNDU5My1hYjczLWZhMjViNjcxYmE5NQ.xml,true,Silkeborg,8600.0,34.0,Papirfabrikken,NORDEA,FI-00020,VV3275,Satamaradankatu 5,KÃ¸benhavn Ã,2100.0,41.0,Stockholmsgade,2100 KÃ¸benhavn Ã,Stockholmsgade 37 kl. th.,DK-8600 Silkeborg,Papirfabrikken 34,Regnskabsklasse B,2019-03-22,2004-11-26,2019-03-22,Statsautoriseret revisor,,-100000.0,,,20222670.0,28283393.0,20222670.0,mne27705,Ãrsrapport,,0.0,Tommy Wulff Andreasen,Michael Gregersen,Michael Gregersen,Nordea Finland,Elmann Advokatpartnerselskab,"K/S Imatra, Finland",BDO Statsautoriseret revisionsaktieselskab,,,,KÃ¸benhavn,2017-01-01,2017-12-31,,,KÃ¸benhavn,2018-12-31,2018-01-01,,true,2019-03-22,Silkeborg,urn:ofk:oid:26873964,indberetninger-20180424,2.5124211,28283393.0,AWm0DH-1RYGX6_YTGMro,2019-03-25T08:51:57.220Z,2019-03-25T08:51:51.188Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AT-86-QR,2019-03-25T08:51:51.415Z,5434447.0,1772.0,271199.0,13635.0,0.0,1494315.0,5000000.0,5434447.0,3940132.0,5000000.0,293857.0,5000000.0,1223116.0,397614.0,25558.0,3940132.0,3275000.0,106736.0,432675.0,115175.0,125183.0,,,,
28283393,2018-01-01,2018-01-01,c230,,http://regnskaber.virk.dk/39338282/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzk3LzI0LzEwLzQ1MTAtNGRlZi1hOTAwLWM3MmUzYTc0ZmY5YQ.pdf,http://regnskaber.virk.dk/39338282/ZG9rdW1lbnRsYWdlcjovLzAzL2E5LzhkLzFjL2Q4LzU2MmQtNDU5My1hYjczLWZhMjViNjcxYmE5NQ.xml,true,Silkeborg,8600.0,34.0,Papirfabrikken,NORDEA,FI-00020,VV3275,Satamaradankatu 5,KÃ¸benhavn Ã,2100.0,41.0,Stockholmsgade,2100 KÃ¸benhavn Ã,Stockholmsgade 37 kl. th.,DK-8600 Silkeborg,Papirfabrikken 34,Regnskabsklasse B,2019-03-22,2004-11-26,2019-03-22,Statsautoriseret revisor,,-100000.0,,,20222670.0,28283393.0,20222670.0,mne27705,Ãrsrapport,,0.0,Tommy Wulff Andreasen,Michael Gregersen,Michael Gregersen,Nordea Finland,Elmann Advokatpartnerselskab,"K/S Imatra, Finland",BDO Statsautoriseret revisionsaktieselskab,,,,KÃ¸benhavn,2017-01-01,2017-12-31,,,KÃ¸benhavn,2018-12-31,2018-01-01,,true,2019-03-22,Silkeborg,urn:ofk:oid:26873964,indberetninger-20180424,2.5124211,28283393.0,AWm0DH-1RYGX6_YTGMro,2019-03-25T08:51:57.220Z,2019-03-25T08:51:51.188Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AT-86-QR,2019-03-25T08:51:51.415Z,,,,,,271199.0,,,,,,,,,,,,,,,,,,,
28283393,2018-01-01,2018-01-01,c248,,http://regnskaber.virk.dk/39338282/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzk3LzI0LzEwLzQ1MTAtNGRlZi1hOTAwLWM3MmUzYTc0ZmY5YQ.pdf,http://regnskaber.virk.dk/39338282/ZG9rdW1lbnRsYWdlcjovLzAzL2E5LzhkLzFjL2Q4LzU2MmQtNDU5My1hYjczLWZhMjViNjcxYmE5NQ.xml,true,Silkeborg,8600.0,34.0,Papirfabrikken,NORDEA,FI-00020,VV3275,Satamaradankatu 5,KÃ¸benhavn Ã,2100.0,41.0,Stockholmsgade,2100 KÃ¸benhavn Ã,Stockholmsgade 37 kl. th.,DK-8600 Silkeborg,Papirfabrikken 34,Regnskabsklasse B,2019-03-22,2004-11-26,2019-03-22,Statsautoriseret revisor,,-100000.0,,,20222670.0,28283393.0,20222670.0,mne27705,Ãrsrapport,,0.0,Tommy Wulff Andreasen,Michael Gregersen,Michael Gregersen,Nordea Finland,Elmann Advokatpartnerselskab,"K/S Imatra, Finland",BDO Statsautoriseret revisionsaktieselskab,,,,KÃ¸benhavn,2017-01-01,2017-12-31,,,KÃ¸benhavn,2018-12-31,2018-01-01,,true,2019-03-22,Silkeborg,urn:ofk:oid:26873964,indberetninger-20180424,2.5124211,28283393.0,AWm0DH-1RYGX6_YTGMro,2019-03-25T08:51:57.220Z,2019-03-25T08:51:51.188Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AT-86-QR,2019-03-25T08:51:51.415Z,,,,,,1223116.0,,,,,,,,,,,,,,,,,,,
28283393,2018-01-01,2018-01-01,c536,,http://regnskaber.virk.dk/39338282/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzk3LzI0LzEwLzQ1MTAtNGRlZi1hOTAwLWM3MmUzYTc0ZmY5YQ.pdf,http://regnskaber.virk.dk/39338282/ZG9rdW1lbnRsYWdlcjovLzAzL2E5LzhkLzFjL2Q4LzU2MmQtNDU5My1hYjczLWZhMjViNjcxYmE5NQ.xml,true,Silkeborg,8600.0,34.0,Papirfabrikken,NORDEA,FI-00020,VV3275,Satamaradankatu 5,KÃ¸benhavn Ã,2100.0,41.0,Stockholmsgade,2100 KÃ¸benhavn Ã,Stockholmsgade 37 kl. th.,DK-8600 Silkeborg,Papirfabrikken 34,Regnskabsklasse B,2019-03-22,2004-11-26,2019-03-22,Statsautoriseret revisor,,-100000.0,,,20222670.0,28283393.0,20222670.0,mne27705,Ãrsrapport,,0.0,Tommy Wulff Andreasen,Michael Gregersen,Michael Gregersen,Nordea Finland,Elmann Advokatpartnerselskab,"K/S Imatra, Finland",BDO Statsautoriseret revisionsaktieselskab,,,,KÃ¸benhavn,2017-01-01,2017-12-31,,,KÃ¸benhavn,2018-12-31,2018-01-01,,true,2019-03-22,Silkeborg,urn:ofk:oid:26873964,indberetninger-20180424,2.5124211,28283393.0,AWm0DH-1RYGX6_YTGMro,2019-03-25T08:51:57.220Z,2019-03-25T08:51:51.188Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AT-86-QR,2019-03-25T08:51:51.415Z,,,,,,,,,,,,,,,,,,,,,,-2024520.0,7024520.0,,
28283393,2018-01-01,2018-12-31,c173,,http://regnskaber.virk.dk/39338282/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzk3LzI0LzEwLzQ1MTAtNGRlZi1hOTAwLWM3MmUzYTc0ZmY5YQ.pdf,http://regnskaber.virk.dk/39338282/ZG9rdW1lbnRsYWdlcjovLzAzL2E5LzhkLzFjL2Q4LzU2MmQtNDU5My1hYjczLWZhMjViNjcxYmE5NQ.xml,true,Silkeborg,8600.0,34.0,Papirfabrikken,NORDEA,FI-00020,VV3275,Satamaradankatu 5,KÃ¸benhavn Ã,2100.0,41.0,Stockholmsgade,2100 KÃ¸benhavn Ã,Stockholmsgade 37 kl. th.,DK-8600 Silkeborg,Papirfabrikken 34,Regnskabsklasse B,2019-03-22,2004-11-26,2019-03-22,Statsautoriseret revisor,733286.0,-100000.0,-100000.0,10102.0,20222670.0,28283393.0,20222670.0,mne27705,Ãrsrapport,3385.0,0.0,Tommy Wulff Andreasen,Michael Gregersen,Michael Gregersen,Nordea Finland,Elmann Advokatpartnerselskab,"K/S Imatra, Finland",BDO Statsautoriseret revisionsaktieselskab,79027.0,59.0,75642.0,KÃ¸benhavn,2017-01-01,2017-12-31,-168866.0,-89898.0,KÃ¸benhavn,2018-12-31,2018-01-01,743388.0,true,2019-03-22,Silkeborg,urn:ofk:oid:26873964,indberetninger-20180424,2.5124211,28283393.0,AWm0DH-1RYGX6_YTGMro,2019-03-25T08:51:57.220Z,2019-03-25T08:51:51.188Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AT-86-QR,2019-03-25T08:51:51.415Z,,,,,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,RevisionspÃ¥tegning
28283393,2018-01-01,2018-12-31,c212,,http://regnskaber.virk.dk/39338282/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzk3LzI0LzEwLzQ1MTAtNGRlZi1hOTAwLWM3MmUzYTc0ZmY5YQ.pdf,http://regnskaber.virk.dk/39338282/ZG9rdW1lbnRsYWdlcjovLzAzL2E5LzhkLzFjL2Q4LzU2MmQtNDU5My1hYjczLWZhMjViNjcxYmE5NQ.xml,true,Silkeborg,8600.0,34.0,Papirfabrikken,NORDEA,FI-00020,VV3275,Satamaradankatu 5,KÃ¸benhavn Ã,2100.0,41.0,Stockholmsgade,2100 KÃ¸benhavn Ã,Stockholmsgade 37 kl. th.,DK-8600 Silkeborg,Papirfabrikken 34,Regnskabsklasse B,2019-03-22,2004-11-26,2019-03-22,Statsautoriseret revisor,,-100000.0,,,20222670.0,28283393.0,20222670.0,mne27705,Ãrsrapport,,0.0,Tommy Wulff Andreasen,Michael Gregersen,Michael Gregersen,Nordea Finland,Elmann Advokatpartnerselskab,"K/S Imatra, Finland",BDO Statsautoriseret revisionsaktieselskab,,,,KÃ¸benhavn,2017-01-01,2017-12-31,-168866.0,,KÃ¸benhavn,2018-12-31,2018-01-01,,true,2019-03-22,Silkeborg,urn:ofk:oid:26873964,indberetninger-20180424,2.5124211,28283393.0,AWm0DH-1RYGX6_YTGMro,2019-03-25T08:51:57.220Z,2019-03-25T08:51:51.188Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AT-86-QR,2019-03-25T08:51:51.415Z,,,,,,,,,,,,,,,,,,,,,,,,,
28283393,2018-01-01,2018-12-31,c247,,http://regnskaber.virk.dk/39338282/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzk3LzI0LzEwLzQ1MTAtNGRlZi1hOTAwLWM3MmUzYTc0ZmY5YQ.pdf,http://regnskaber.virk.dk/39338282/ZG9rdW1lbnRsYWdlcjovLzAzL2E5LzhkLzFjL2Q4LzU2MmQtNDU5My1hYjczLWZhMjViNjcxYmE5NQ.xml,true,Silkeborg,8600.0,34.0,Papirfabrikken,NORDEA,FI-00020,VV3275,Satamaradankatu 5,KÃ¸benhavn Ã,2100.0,41.0,Stockholmsgade,2100 KÃ¸benhavn Ã,Stockholmsgade 37 kl. th.,DK-8600 Silkeborg,Papirfabrikken 34,Regnskabsklasse B,2019-03-22,2004-11-26,2019-03-22,Statsautoriseret revisor,,-100000.0,,,20222670.0,28283393.0,20222670.0,mne27705,Ãrsrapport,,0.0,Tommy Wulff Andreasen,Michael Gregersen,Michael Gregersen,Nordea Finland,Elmann Advokatpartnerselskab,"K/S Imatra, Finland",BDO Statsautoriseret revisionsaktieselskab,,,,KÃ¸benhavn,2017-01-01,2017-12-31,-168866.0,,KÃ¸benhavn,2018-12-31,2018-01-01,,true,2019-03-22,Silkeborg,urn:ofk:oid:26873964,indberetninger-20180424,2.5124211,28283393.0,AWm0DH-1RYGX6_YTGMro,2019-03-25T08:51:57.220Z,2019-03-25T08:51:51.188Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AT-86-QR,2019-03-25T08:51:51.415Z,,,,,,,,,,,,,,,,,,,,,,,,,
28283393,2018-01-01,2018-12-31,c306,,http://regnskaber.virk.dk/39338282/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzk3LzI0LzEwLzQ1MTAtNGRlZi1hOTAwLWM3MmUzYTc0ZmY5YQ.pdf,http://regnskaber.virk.dk/39338282/ZG9rdW1lbnRsYWdlcjovLzAzL2E5LzhkLzFjL2Q4LzU2MmQtNDU5My1hYjczLWZhMjViNjcxYmE5NQ.xml,true,Silkeborg,8600.0,34.0,Papirfabrikken,NORDEA,FI-00020,VV3275,Satamaradankatu 5,KÃ¸benhavn Ã,2100.0,41.0,Stockholmsgade,2100 KÃ¸benhavn Ã,Stockholmsgade 37 kl. th.,DK-8600 Silkeborg,Papirfabrikken 34,Regnskabsklasse B,2019-03-22,2004-11-26,2019-03-22,Statsautoriseret revisor,,-100000.0,,,20222670.0,28283393.0,20222670.0,mne27705,Ãrsrapport,,0.0,Tommy Wulff Andreasen,Michael Gregersen,Michael Gregersen,Nordea Finland,Elmann Advokatpartnerselskab,"K/S Imatra, Finland",BDO Statsautoriseret revisionsaktieselskab,,,,KÃ¸benhavn,2017-01-01,2017-12-31,,,KÃ¸benhavn,2018-12-31,2018-01-01,,true,2019-03-22,Silkeborg,urn:ofk:oid:26873964,indberetninger-20180424,2.5124211,28283393.0,AWm0DH-1RYGX6_YTGMro,2019-03-25T08:51:57.220Z,2019-03-25T08:51:51.188Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AT-86-QR,2019-03-25T08:51:51.415Z,,,,,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,
