entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContractWorkInProgress,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard
26125359,2016-10-01,2017-09-30,ID_7,,http://regnskaber.virk.dk/95352162/ZG9rdW1lbnRsYWdlcjovLzAzLzc3Lzg5LzMzL2M0L2Y1MDEtNDAzZS04YTcyLTI4ZTZkYjY4ODg3OQ.pdf,http://regnskaber.virk.dk/95352162/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzM3LzFiLzQ0LzQ0ZmEtNDQ5Yy05OWRjLTdlMzAwYTY3NGZiOA.xml,true,"Vejle, 7100",Mylius Erichsensvej 3,Til kapitalejerne i Pro-Industrigulve & Facader ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-09-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2017 - 30-09-2018.",2019-01-24,2019-01-24,2001-07-01,2019-02-06,0.0,-9691.0,16368342.0,26125359.0,16368342.0,mne10726,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2017 - 30-09-2018 for Pro-Industrigulve & Facader ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Leon  Pinholt,Kim Lorentsen,LP Revision & rÃ¥dgivning,Pro-Industrigulve & Facader ApS,LP Revision & rÃ¥dgivning,374.0,Lund,2016-10-01,2017-09-30,-10065.0,-10065.0,-9691.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Horsens, 615",2018-09-30,2017-10-01,false,2019-01-24,Vejle,RevisionspÃ¥tegning,urn:ofk:oid:26649468,indberetninger-20180424,2.5097437,26125359.0,AWjCwcJdet7j816D3-ur,2019-02-06T12:21:57.923Z,2019-02-06T12:21:44.050Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AJ-48-NN,2019-02-06T12:21:44.242Z,,,,,,,,,,,,,,,,,,,
26125359,2016-10-01,2017-09-30,ID_9,,http://regnskaber.virk.dk/95352162/ZG9rdW1lbnRsYWdlcjovLzAzLzc3Lzg5LzMzL2M0L2Y1MDEtNDAzZS04YTcyLTI4ZTZkYjY4ODg3OQ.pdf,http://regnskaber.virk.dk/95352162/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzM3LzFiLzQ0LzQ0ZmEtNDQ5Yy05OWRjLTdlMzAwYTY3NGZiOA.xml,true,"Vejle, 7100",Mylius Erichsensvej 3,Til kapitalejerne i Pro-Industrigulve & Facader ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-09-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2017 - 30-09-2018.",2019-01-24,2019-01-24,2001-07-01,2019-02-06,,,16368342.0,26125359.0,16368342.0,mne10726,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2017 - 30-09-2018 for Pro-Industrigulve & Facader ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Leon  Pinholt,Kim Lorentsen,LP Revision & rÃ¥dgivning,Pro-Industrigulve & Facader ApS,LP Revision & rÃ¥dgivning,,Lund,2016-10-01,2017-09-30,10065.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Horsens, 615",2018-09-30,2017-10-01,false,2019-01-24,Vejle,RevisionspÃ¥tegning,urn:ofk:oid:26649468,indberetninger-20180424,2.5097437,26125359.0,AWjCwcJdet7j816D3-ur,2019-02-06T12:21:57.923Z,2019-02-06T12:21:44.050Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AJ-48-NN,2019-02-06T12:21:44.242Z,,,,,,,,,,,,,,,,,,,
26125359,2017-09-30,2017-09-30,ID_6,,http://regnskaber.virk.dk/95352162/ZG9rdW1lbnRsYWdlcjovLzAzLzc3Lzg5LzMzL2M0L2Y1MDEtNDAzZS04YTcyLTI4ZTZkYjY4ODg3OQ.pdf,http://regnskaber.virk.dk/95352162/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzM3LzFiLzQ0LzQ0ZmEtNDQ5Yy05OWRjLTdlMzAwYTY3NGZiOA.xml,true,"Vejle, 7100",Mylius Erichsensvej 3,Til kapitalejerne i Pro-Industrigulve & Facader ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-09-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2017 - 30-09-2018.",2019-01-24,2019-01-24,2001-07-01,2019-02-06,,,16368342.0,26125359.0,16368342.0,mne10726,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2017 - 30-09-2018 for Pro-Industrigulve & Facader ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Leon  Pinholt,Kim Lorentsen,LP Revision & rÃ¥dgivning,Pro-Industrigulve & Facader ApS,LP Revision & rÃ¥dgivning,,Lund,2016-10-01,2017-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Horsens, 615",2018-09-30,2017-10-01,false,2019-01-24,Vejle,RevisionspÃ¥tegning,urn:ofk:oid:26649468,indberetninger-20180424,2.5097437,26125359.0,AWjCwcJdet7j816D3-ur,2019-02-06T12:21:57.923Z,2019-02-06T12:21:44.050Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AJ-48-NN,2019-02-06T12:21:44.242Z,14066.0,1115.0,0.0,125000.0,9066.0,-254.0,5000.0,14066.0,14320.0,5000.0,6320.0,5000.0,-125254.0,14320.0,0.0,7951.0,7951.0,8000.0,
26125359,2017-10-01,2018-09-30,ID_0,,http://regnskaber.virk.dk/95352162/ZG9rdW1lbnRsYWdlcjovLzAzLzc3Lzg5LzMzL2M0L2Y1MDEtNDAzZS04YTcyLTI4ZTZkYjY4ODg3OQ.pdf,http://regnskaber.virk.dk/95352162/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzM3LzFiLzQ0LzQ0ZmEtNDQ5Yy05OWRjLTdlMzAwYTY3NGZiOA.xml,true,"Vejle, 7100",Mylius Erichsensvej 3,Til kapitalejerne i Pro-Industrigulve & Facader ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-09-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2017 - 30-09-2018.",2019-01-24,2019-01-24,2001-07-01,2019-02-06,5000.0,8408.0,16368342.0,26125359.0,16368342.0,mne10726,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2017 - 30-09-2018 for Pro-Industrigulve & Facader ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Leon  Pinholt,Kim Lorentsen,LP Revision & rÃ¥dgivning,Pro-Industrigulve & Facader ApS,LP Revision & rÃ¥dgivning,464.0,Lund,2016-10-01,2017-09-30,2944.0,2944.0,3408.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Horsens, 615",2018-09-30,2017-10-01,false,2019-01-24,Vejle,RevisionspÃ¥tegning,urn:ofk:oid:26649468,indberetninger-20180424,2.5097437,26125359.0,AWjCwcJdet7j816D3-ur,2019-02-06T12:21:57.923Z,2019-02-06T12:21:44.050Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AJ-48-NN,2019-02-06T12:21:44.242Z,,,,,,,,,,,,,,,,,,,
26125359,2017-10-01,2018-09-30,ID_1,,http://regnskaber.virk.dk/95352162/ZG9rdW1lbnRsYWdlcjovLzAzLzc3Lzg5LzMzL2M0L2Y1MDEtNDAzZS04YTcyLTI4ZTZkYjY4ODg3OQ.pdf,http://regnskaber.virk.dk/95352162/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzM3LzFiLzQ0LzQ0ZmEtNDQ5Yy05OWRjLTdlMzAwYTY3NGZiOA.xml,true,"Vejle, 7100",Mylius Erichsensvej 3,Til kapitalejerne i Pro-Industrigulve & Facader ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-09-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2017 - 30-09-2018.",2019-01-24,2019-01-24,2001-07-01,2019-02-06,,,16368342.0,26125359.0,16368342.0,mne10726,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2017 - 30-09-2018 for Pro-Industrigulve & Facader ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Leon  Pinholt,Kim Lorentsen,LP Revision & rÃ¥dgivning,Pro-Industrigulve & Facader ApS,LP Revision & rÃ¥dgivning,,Lund,2016-10-01,2017-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Horsens, 615",2018-09-30,2017-10-01,false,2019-01-24,Vejle,RevisionspÃ¥tegning,urn:ofk:oid:26649468,indberetninger-20180424,2.5097437,26125359.0,AWjCwcJdet7j816D3-ur,2019-02-06T12:21:57.923Z,2019-02-06T12:21:44.050Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AJ-48-NN,2019-02-06T12:21:44.242Z,,,,,,,,,,,,,,,,,,,
26125359,2017-10-01,2018-09-30,ID_2,,http://regnskaber.virk.dk/95352162/ZG9rdW1lbnRsYWdlcjovLzAzLzc3Lzg5LzMzL2M0L2Y1MDEtNDAzZS04YTcyLTI4ZTZkYjY4ODg3OQ.pdf,http://regnskaber.virk.dk/95352162/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzM3LzFiLzQ0LzQ0ZmEtNDQ5Yy05OWRjLTdlMzAwYTY3NGZiOA.xml,true,"Vejle, 7100",Mylius Erichsensvej 3,Til kapitalejerne i Pro-Industrigulve & Facader ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-09-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2017 - 30-09-2018.",2019-01-24,2019-01-24,2001-07-01,2019-02-06,,,16368342.0,26125359.0,16368342.0,mne10726,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2017 - 30-09-2018 for Pro-Industrigulve & Facader ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Leon  Pinholt,Kim Lorentsen,LP Revision & rÃ¥dgivning,Pro-Industrigulve & Facader ApS,LP Revision & rÃ¥dgivning,,Lund,2016-10-01,2017-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Horsens, 615",2018-09-30,2017-10-01,false,2019-01-24,Vejle,RevisionspÃ¥tegning,urn:ofk:oid:26649468,indberetninger-20180424,2.5097437,26125359.0,AWjCwcJdet7j816D3-ur,2019-02-06T12:21:57.923Z,2019-02-06T12:21:44.050Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AJ-48-NN,2019-02-06T12:21:44.242Z,,,,,,,,,,,,,,,,,,,
26125359,2017-10-01,2018-09-30,ID_3,,http://regnskaber.virk.dk/95352162/ZG9rdW1lbnRsYWdlcjovLzAzLzc3Lzg5LzMzL2M0L2Y1MDEtNDAzZS04YTcyLTI4ZTZkYjY4ODg3OQ.pdf,http://regnskaber.virk.dk/95352162/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzM3LzFiLzQ0LzQ0ZmEtNDQ5Yy05OWRjLTdlMzAwYTY3NGZiOA.xml,true,"Vejle, 7100",Mylius Erichsensvej 3,Til kapitalejerne i Pro-Industrigulve & Facader ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-09-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2017 - 30-09-2018.",2019-01-24,2019-01-24,2001-07-01,2019-02-06,,,16368342.0,26125359.0,16368342.0,mne10726,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2017 - 30-09-2018 for Pro-Industrigulve & Facader ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Leon  Pinholt,Kim Lorentsen,LP Revision & rÃ¥dgivning,Pro-Industrigulve & Facader ApS,LP Revision & rÃ¥dgivning,,Lund,2016-10-01,2017-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Horsens, 615",2018-09-30,2017-10-01,false,2019-01-24,Vejle,RevisionspÃ¥tegning,urn:ofk:oid:26649468,indberetninger-20180424,2.5097437,26125359.0,AWjCwcJdet7j816D3-ur,2019-02-06T12:21:57.923Z,2019-02-06T12:21:44.050Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AJ-48-NN,2019-02-06T12:21:44.242Z,,,,,,,,,,,,,,,,,,,Kim Lorentsen
26125359,2017-10-01,2018-09-30,ID_4,,http://regnskaber.virk.dk/95352162/ZG9rdW1lbnRsYWdlcjovLzAzLzc3Lzg5LzMzL2M0L2Y1MDEtNDAzZS04YTcyLTI4ZTZkYjY4ODg3OQ.pdf,http://regnskaber.virk.dk/95352162/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzM3LzFiLzQ0LzQ0ZmEtNDQ5Yy05OWRjLTdlMzAwYTY3NGZiOA.xml,true,"Vejle, 7100",Mylius Erichsensvej 3,Til kapitalejerne i Pro-Industrigulve & Facader ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-09-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2017 - 30-09-2018.",2019-01-24,2019-01-24,2001-07-01,2019-02-06,,,16368342.0,26125359.0,16368342.0,mne10726,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2017 - 30-09-2018 for Pro-Industrigulve & Facader ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Leon  Pinholt,Kim Lorentsen,LP Revision & rÃ¥dgivning,Pro-Industrigulve & Facader ApS,LP Revision & rÃ¥dgivning,,Lund,2016-10-01,2017-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Horsens, 615",2018-09-30,2017-10-01,false,2019-01-24,Vejle,RevisionspÃ¥tegning,urn:ofk:oid:26649468,indberetninger-20180424,2.5097437,26125359.0,AWjCwcJdet7j816D3-ur,2019-02-06T12:21:57.923Z,2019-02-06T12:21:44.050Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AJ-48-NN,2019-02-06T12:21:44.242Z,,,,,,,,,,,,,,,,,,,
26125359,2017-10-01,2018-09-30,ID_8,,http://regnskaber.virk.dk/95352162/ZG9rdW1lbnRsYWdlcjovLzAzLzc3Lzg5LzMzL2M0L2Y1MDEtNDAzZS04YTcyLTI4ZTZkYjY4ODg3OQ.pdf,http://regnskaber.virk.dk/95352162/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzM3LzFiLzQ0LzQ0ZmEtNDQ5Yy05OWRjLTdlMzAwYTY3NGZiOA.xml,true,"Vejle, 7100",Mylius Erichsensvej 3,Til kapitalejerne i Pro-Industrigulve & Facader ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-09-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2017 - 30-09-2018.",2019-01-24,2019-01-24,2001-07-01,2019-02-06,,,16368342.0,26125359.0,16368342.0,mne10726,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2017 - 30-09-2018 for Pro-Industrigulve & Facader ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Leon  Pinholt,Kim Lorentsen,LP Revision & rÃ¥dgivning,Pro-Industrigulve & Facader ApS,LP Revision & rÃ¥dgivning,,Lund,2016-10-01,2017-09-30,-2944.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Horsens, 615",2018-09-30,2017-10-01,false,2019-01-24,Vejle,RevisionspÃ¥tegning,urn:ofk:oid:26649468,indberetninger-20180424,2.5097437,26125359.0,AWjCwcJdet7j816D3-ur,2019-02-06T12:21:57.923Z,2019-02-06T12:21:44.050Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AJ-48-NN,2019-02-06T12:21:44.242Z,,,,,,,,,,,,,,,,,,,
26125359,2018-09-30,2018-09-30,ID_5,,http://regnskaber.virk.dk/95352162/ZG9rdW1lbnRsYWdlcjovLzAzLzc3Lzg5LzMzL2M0L2Y1MDEtNDAzZS04YTcyLTI4ZTZkYjY4ODg3OQ.pdf,http://regnskaber.virk.dk/95352162/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzM3LzFiLzQ0LzQ0ZmEtNDQ5Yy05OWRjLTdlMzAwYTY3NGZiOA.xml,true,"Vejle, 7100",Mylius Erichsensvej 3,Til kapitalejerne i Pro-Industrigulve & Facader ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-09-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2017 - 30-09-2018.",2019-01-24,2019-01-24,2001-07-01,2019-02-06,,,16368342.0,26125359.0,16368342.0,mne10726,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2017 - 30-09-2018 for Pro-Industrigulve & Facader ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Leon  Pinholt,Kim Lorentsen,LP Revision & rÃ¥dgivning,Pro-Industrigulve & Facader ApS,LP Revision & rÃ¥dgivning,,Lund,2016-10-01,2017-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Horsens, 615",2018-09-30,2017-10-01,false,2019-01-24,Vejle,RevisionspÃ¥tegning,urn:ofk:oid:26649468,indberetninger-20180424,2.5097437,26125359.0,AWjCwcJdet7j816D3-ur,2019-02-06T12:21:57.923Z,2019-02-06T12:21:44.050Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AJ-48-NN,2019-02-06T12:21:44.242Z,16548.0,381.0,16167.0,125000.0,16548.0,2691.0,0.0,16548.0,13857.0,0.0,4814.0,0.0,-122309.0,13857.0,1043.0,16167.0,0.0,8000.0,
