entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AuditorsReportOnFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GainsLossesFromCurrentValueAdjustmentsOfInvestmentAssets,GrossResult,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherExternalExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables
entity identifier,2010-07-01,2011-06-30,ID_11,http://regnskaber.virk.dk/65706852/Y3ZyLmRrOi8vcGRmcy8yNTg2MDc1NjtBcFMyODIyMTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/65706852/Y3ZyLmRrOi8veGJybHMvWC1DMDc0RTRERS0yMDEyMTIwNl8xNzM5MjFfNjgy.xml,"2880, BagsvÃ¦rd",Laurentsvej 32,"2800, Kongens Lyngby",Torsvang 119,Til kapitalejerne i Mollerup Holding ApS.,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",2001-01-16,2012-11-29,Registreret revisor,31541298.0,25860756.0,31541298.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Mollerup Holding ApS..,"Vi har revideret Ã¥rsregnskabet for Mollerup Holding ApS. for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Claus Fetterlein,Niels Hyllegaard Mollerup,Niels Hyllegaard Mollerup,Revisionsfirmaet C. Fetterlein,Mollerup Holding ApS.,Revisionsfirmaet C. Fetterlein,331083.0,2012-06-30,2011-07-01,2012-11-29,Kgs. Lyngby,Administrerende direktÃ¸r,urn:ofk:oid:16335795,indberetninger-20180424,2.5124211,25860756.0,,2018-04-02T11:48:31.736Z,2012-12-07T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-273.658,2012-12-07T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-07-01,2011-06-30,ID_13,http://regnskaber.virk.dk/65706852/Y3ZyLmRrOi8vcGRmcy8yNTg2MDc1NjtBcFMyODIyMTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/65706852/Y3ZyLmRrOi8veGJybHMvWC1DMDc0RTRERS0yMDEyMTIwNl8xNzM5MjFfNjgy.xml,"2880, BagsvÃ¦rd",Laurentsvej 32,"2800, Kongens Lyngby",Torsvang 119,Til kapitalejerne i Mollerup Holding ApS.,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",2001-01-16,2012-11-29,Registreret revisor,31541298.0,25860756.0,31541298.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Mollerup Holding ApS..,"Vi har revideret Ã¥rsregnskabet for Mollerup Holding ApS. for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Claus Fetterlein,Niels Hyllegaard Mollerup,Niels Hyllegaard Mollerup,Revisionsfirmaet C. Fetterlein,Mollerup Holding ApS.,Revisionsfirmaet C. Fetterlein,15415.0,2012-06-30,2011-07-01,2012-11-29,Kgs. Lyngby,Administrerende direktÃ¸r,urn:ofk:oid:16335795,indberetninger-20180424,2.5124211,25860756.0,,2018-04-02T11:48:31.736Z,2012-12-07T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-273.658,2012-12-07T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-07-01,2011-06-30,ID_15,http://regnskaber.virk.dk/65706852/Y3ZyLmRrOi8vcGRmcy8yNTg2MDc1NjtBcFMyODIyMTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/65706852/Y3ZyLmRrOi8veGJybHMvWC1DMDc0RTRERS0yMDEyMTIwNl8xNzM5MjFfNjgy.xml,"2880, BagsvÃ¦rd",Laurentsvej 32,"2800, Kongens Lyngby",Torsvang 119,Til kapitalejerne i Mollerup Holding ApS.,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",2001-01-16,2012-11-29,Registreret revisor,31541298.0,25860756.0,31541298.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Mollerup Holding ApS..,"Vi har revideret Ã¥rsregnskabet for Mollerup Holding ApS. for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Claus Fetterlein,Niels Hyllegaard Mollerup,Niels Hyllegaard Mollerup,Revisionsfirmaet C. Fetterlein,Mollerup Holding ApS.,Revisionsfirmaet C. Fetterlein,346498.0,2012-06-30,2011-07-01,2012-11-29,Kgs. Lyngby,Administrerende direktÃ¸r,urn:ofk:oid:16335795,indberetninger-20180424,2.5124211,25860756.0,,2018-04-02T11:48:31.736Z,2012-12-07T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-273.658,2012-12-07T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-07-01,2011-06-30,ID_9,http://regnskaber.virk.dk/65706852/Y3ZyLmRrOi8vcGRmcy8yNTg2MDc1NjtBcFMyODIyMTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/65706852/Y3ZyLmRrOi8veGJybHMvWC1DMDc0RTRERS0yMDEyMTIwNl8xNzM5MjFfNjgy.xml,"2880, BagsvÃ¦rd",Laurentsvej 32,"2800, Kongens Lyngby",Torsvang 119,Til kapitalejerne i Mollerup Holding ApS.,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",2001-01-16,2012-11-29,Registreret revisor,31541298.0,25860756.0,31541298.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Mollerup Holding ApS..,"Vi har revideret Ã¥rsregnskabet for Mollerup Holding ApS. for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Claus Fetterlein,Niels Hyllegaard Mollerup,Niels Hyllegaard Mollerup,Revisionsfirmaet C. Fetterlein,Mollerup Holding ApS.,Revisionsfirmaet C. Fetterlein,-346498.0,2012-06-30,2011-07-01,2012-11-29,Kgs. Lyngby,Administrerende direktÃ¸r,urn:ofk:oid:16335795,indberetninger-20180424,2.5124211,25860756.0,,2018-04-02T11:48:31.736Z,2012-12-07T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-273.658,2012-12-07T23:00:00.000Z,-42289.0,27196.0,-331083.0,27196.0,0.0,-346176.0,-15093.0,-322.0,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-06-30,2011-06-30,ID_17,http://regnskaber.virk.dk/65706852/Y3ZyLmRrOi8vcGRmcy8yNTg2MDc1NjtBcFMyODIyMTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/65706852/Y3ZyLmRrOi8veGJybHMvWC1DMDc0RTRERS0yMDEyMTIwNl8xNzM5MjFfNjgy.xml,"2880, BagsvÃ¦rd",Laurentsvej 32,"2800, Kongens Lyngby",Torsvang 119,Til kapitalejerne i Mollerup Holding ApS.,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",2001-01-16,2012-11-29,Registreret revisor,31541298.0,25860756.0,31541298.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Mollerup Holding ApS..,"Vi har revideret Ã¥rsregnskabet for Mollerup Holding ApS. for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Claus Fetterlein,Niels Hyllegaard Mollerup,Niels Hyllegaard Mollerup,Revisionsfirmaet C. Fetterlein,Mollerup Holding ApS.,Revisionsfirmaet C. Fetterlein,,2012-06-30,2011-07-01,2012-11-29,Kgs. Lyngby,Administrerende direktÃ¸r,urn:ofk:oid:16335795,indberetninger-20180424,2.5124211,25860756.0,,2018-04-02T11:48:31.736Z,2012-12-07T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-273.658,2012-12-07T23:00:00.000Z,,,,,,,,,1338797.0,30963.0,-200000.0,43283.0,10300.0,-1292810.0,-1338797.0,-45987.0,1295514.0,937936.0,1295514.0,357578.0,-29237.0,-1075435.0,-17375.0,-45987.0,0.0,12320.0,2020.0,-16750.0
entity identifier,2011-07-01,2012-06-30,ID_0,http://regnskaber.virk.dk/65706852/Y3ZyLmRrOi8vcGRmcy8yNTg2MDc1NjtBcFMyODIyMTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/65706852/Y3ZyLmRrOi8veGJybHMvWC1DMDc0RTRERS0yMDEyMTIwNl8xNzM5MjFfNjgy.xml,"2880, BagsvÃ¦rd",Laurentsvej 32,"2800, Kongens Lyngby",Torsvang 119,Til kapitalejerne i Mollerup Holding ApS.,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",2001-01-16,2012-11-29,Registreret revisor,31541298.0,25860756.0,31541298.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Mollerup Holding ApS..,"Vi har revideret Ã¥rsregnskabet for Mollerup Holding ApS. for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Claus Fetterlein,Niels Hyllegaard Mollerup,Niels Hyllegaard Mollerup,Revisionsfirmaet C. Fetterlein,Mollerup Holding ApS.,Revisionsfirmaet C. Fetterlein,,2012-06-30,2011-07-01,2012-11-29,Kgs. Lyngby,Administrerende direktÃ¸r,urn:ofk:oid:16335795,indberetninger-20180424,2.5124211,25860756.0,,2018-04-02T11:48:31.736Z,2012-12-07T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-273.658,2012-12-07T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_1,http://regnskaber.virk.dk/65706852/Y3ZyLmRrOi8vcGRmcy8yNTg2MDc1NjtBcFMyODIyMTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/65706852/Y3ZyLmRrOi8veGJybHMvWC1DMDc0RTRERS0yMDEyMTIwNl8xNzM5MjFfNjgy.xml,"2880, BagsvÃ¦rd",Laurentsvej 32,"2800, Kongens Lyngby",Torsvang 119,Til kapitalejerne i Mollerup Holding ApS.,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",2001-01-16,2012-11-29,Registreret revisor,31541298.0,25860756.0,31541298.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Mollerup Holding ApS..,"Vi har revideret Ã¥rsregnskabet for Mollerup Holding ApS. for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Claus Fetterlein,Niels Hyllegaard Mollerup,Niels Hyllegaard Mollerup,Revisionsfirmaet C. Fetterlein,Mollerup Holding ApS.,Revisionsfirmaet C. Fetterlein,,2012-06-30,2011-07-01,2012-11-29,Kgs. Lyngby,Administrerende direktÃ¸r,urn:ofk:oid:16335795,indberetninger-20180424,2.5124211,25860756.0,,2018-04-02T11:48:31.736Z,2012-12-07T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-273.658,2012-12-07T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_10,http://regnskaber.virk.dk/65706852/Y3ZyLmRrOi8vcGRmcy8yNTg2MDc1NjtBcFMyODIyMTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/65706852/Y3ZyLmRrOi8veGJybHMvWC1DMDc0RTRERS0yMDEyMTIwNl8xNzM5MjFfNjgy.xml,"2880, BagsvÃ¦rd",Laurentsvej 32,"2800, Kongens Lyngby",Torsvang 119,Til kapitalejerne i Mollerup Holding ApS.,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",2001-01-16,2012-11-29,Registreret revisor,31541298.0,25860756.0,31541298.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Mollerup Holding ApS..,"Vi har revideret Ã¥rsregnskabet for Mollerup Holding ApS. for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Claus Fetterlein,Niels Hyllegaard Mollerup,Niels Hyllegaard Mollerup,Revisionsfirmaet C. Fetterlein,Mollerup Holding ApS.,Revisionsfirmaet C. Fetterlein,-330193.0,2012-06-30,2011-07-01,2012-11-29,Kgs. Lyngby,Administrerende direktÃ¸r,urn:ofk:oid:16335795,indberetninger-20180424,2.5124211,25860756.0,,2018-04-02T11:48:31.736Z,2012-12-07T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-273.658,2012-12-07T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_12,http://regnskaber.virk.dk/65706852/Y3ZyLmRrOi8vcGRmcy8yNTg2MDc1NjtBcFMyODIyMTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/65706852/Y3ZyLmRrOi8veGJybHMvWC1DMDc0RTRERS0yMDEyMTIwNl8xNzM5MjFfNjgy.xml,"2880, BagsvÃ¦rd",Laurentsvej 32,"2800, Kongens Lyngby",Torsvang 119,Til kapitalejerne i Mollerup Holding ApS.,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",2001-01-16,2012-11-29,Registreret revisor,31541298.0,25860756.0,31541298.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Mollerup Holding ApS..,"Vi har revideret Ã¥rsregnskabet for Mollerup Holding ApS. for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Claus Fetterlein,Niels Hyllegaard Mollerup,Niels Hyllegaard Mollerup,Revisionsfirmaet C. Fetterlein,Mollerup Holding ApS.,Revisionsfirmaet C. Fetterlein,14013.0,2012-06-30,2011-07-01,2012-11-29,Kgs. Lyngby,Administrerende direktÃ¸r,urn:ofk:oid:16335795,indberetninger-20180424,2.5124211,25860756.0,,2018-04-02T11:48:31.736Z,2012-12-07T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-273.658,2012-12-07T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_14,http://regnskaber.virk.dk/65706852/Y3ZyLmRrOi8vcGRmcy8yNTg2MDc1NjtBcFMyODIyMTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/65706852/Y3ZyLmRrOi8veGJybHMvWC1DMDc0RTRERS0yMDEyMTIwNl8xNzM5MjFfNjgy.xml,"2880, BagsvÃ¦rd",Laurentsvej 32,"2800, Kongens Lyngby",Torsvang 119,Til kapitalejerne i Mollerup Holding ApS.,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",2001-01-16,2012-11-29,Registreret revisor,31541298.0,25860756.0,31541298.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Mollerup Holding ApS..,"Vi har revideret Ã¥rsregnskabet for Mollerup Holding ApS. for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Claus Fetterlein,Niels Hyllegaard Mollerup,Niels Hyllegaard Mollerup,Revisionsfirmaet C. Fetterlein,Mollerup Holding ApS.,Revisionsfirmaet C. Fetterlein,-316180.0,2012-06-30,2011-07-01,2012-11-29,Kgs. Lyngby,Administrerende direktÃ¸r,urn:ofk:oid:16335795,indberetninger-20180424,2.5124211,25860756.0,,2018-04-02T11:48:31.736Z,2012-12-07T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-273.658,2012-12-07T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
