entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,DateOfAuditorsReportOnAuditedFinancialStatements,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditorAppointedToPerformAudit,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,IdentificationNumberCvrOfAuditFirmAppointedToPerformAudit,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditorAppointedToPerformAudit,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirmAppointedToPerformAudit,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfCompilationOfAuditorsReportOnAuditedFinancialStatements,ProfitLoss,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossResult,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Revenue,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromOwnersAndManagement,ShorttermTaxPayables,ShorttermTradePayables
entity identifier,2010-09-15,2011-12-31,ID_11,http://regnskaber.virk.dk/17255133/Y3ZyLmRrOi8vcGRmcy8zMzE1NTI3MTtBcFM0ODAzNTU7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/17255133/Y3ZyLmRrOi8veGJybHMvWC0wOTgyQzcxNC0yMDEzMDUyOV8wODE5NDZfNzQ4.xml,"HvalsÃ¸, 4330","TÃ¸llÃ¸sevej 43, c/o Sonnerupgaard Gods","SorÃ¸, 4180",Fulbyvej 15,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-05-24,2010-09-15,2013-05-28,Statsautoriseret revisor,. Virksomhedens formÃ¥l,34351961.0,33155271.0,34351961.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Greentech Solutions ApS.,Ãrsrapport,Hakon Dahm Spliid,Anders Knudsen,Steven John Friberg,"Frej Revision, Statsautoriseret revisionsaktieselskab",Greentech Solutions ApS,"Frej Revision, Statsautoriseret revisionsaktieselskab",SorÃ¸,-4375.0,"Lejre, 350",2012-12-31,2012-01-01,DirektÃ¸r,urn:ofk:oid:13778567,indberetninger-20180424,2.5124211,33155271.0,,2018-04-01T22:51:56.025Z,2013-05-29T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-156.314,2013-05-29T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-09-15,2011-12-31,ID_13,http://regnskaber.virk.dk/17255133/Y3ZyLmRrOi8vcGRmcy8zMzE1NTI3MTtBcFM0ODAzNTU7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/17255133/Y3ZyLmRrOi8veGJybHMvWC0wOTgyQzcxNC0yMDEzMDUyOV8wODE5NDZfNzQ4.xml,"HvalsÃ¸, 4330","TÃ¸llÃ¸sevej 43, c/o Sonnerupgaard Gods","SorÃ¸, 4180",Fulbyvej 15,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-05-24,2010-09-15,2013-05-28,Statsautoriseret revisor,. Virksomhedens formÃ¥l,34351961.0,33155271.0,34351961.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Greentech Solutions ApS.,Ãrsrapport,Hakon Dahm Spliid,Anders Knudsen,Steven John Friberg,"Frej Revision, Statsautoriseret revisionsaktieselskab",Greentech Solutions ApS,"Frej Revision, Statsautoriseret revisionsaktieselskab",SorÃ¸,-4375.0,"Lejre, 350",2012-12-31,2012-01-01,DirektÃ¸r,urn:ofk:oid:13778567,indberetninger-20180424,2.5124211,33155271.0,,2018-04-01T22:51:56.025Z,2013-05-29T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-156.314,2013-05-29T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-09-15,2011-12-31,ID_9,http://regnskaber.virk.dk/17255133/Y3ZyLmRrOi8vcGRmcy8zMzE1NTI3MTtBcFM0ODAzNTU7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/17255133/Y3ZyLmRrOi8veGJybHMvWC0wOTgyQzcxNC0yMDEzMDUyOV8wODE5NDZfNzQ4.xml,"HvalsÃ¸, 4330","TÃ¸llÃ¸sevej 43, c/o Sonnerupgaard Gods","SorÃ¸, 4180",Fulbyvej 15,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-05-24,2010-09-15,2013-05-28,Statsautoriseret revisor,. Virksomhedens formÃ¥l,34351961.0,33155271.0,34351961.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Greentech Solutions ApS.,Ãrsrapport,Hakon Dahm Spliid,Anders Knudsen,Steven John Friberg,"Frej Revision, Statsautoriseret revisionsaktieselskab",Greentech Solutions ApS,"Frej Revision, Statsautoriseret revisionsaktieselskab",SorÃ¸,4375.0,"Lejre, 350",2012-12-31,2012-01-01,DirektÃ¸r,urn:ofk:oid:13778567,indberetninger-20180424,2.5124211,33155271.0,,2018-04-01T22:51:56.025Z,2013-05-29T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-156.314,2013-05-29T22:00:00.000Z,5000.0,5000.0,0.0,0.0,5000.0,5000.0,0.0,-625.0,,,,,,,,,,,,,,
entity identifier,2011-12-31,2011-12-31,ID_15,http://regnskaber.virk.dk/17255133/Y3ZyLmRrOi8vcGRmcy8zMzE1NTI3MTtBcFM0ODAzNTU7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/17255133/Y3ZyLmRrOi8veGJybHMvWC0wOTgyQzcxNC0yMDEzMDUyOV8wODE5NDZfNzQ4.xml,"HvalsÃ¸, 4330","TÃ¸llÃ¸sevej 43, c/o Sonnerupgaard Gods","SorÃ¸, 4180",Fulbyvej 15,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-05-24,2010-09-15,2013-05-28,Statsautoriseret revisor,. Virksomhedens formÃ¥l,34351961.0,33155271.0,34351961.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Greentech Solutions ApS.,Ãrsrapport,Hakon Dahm Spliid,Anders Knudsen,Steven John Friberg,"Frej Revision, Statsautoriseret revisionsaktieselskab",Greentech Solutions ApS,"Frej Revision, Statsautoriseret revisionsaktieselskab",SorÃ¸,,"Lejre, 350",2012-12-31,2012-01-01,DirektÃ¸r,urn:ofk:oid:13778567,indberetninger-20180424,2.5124211,33155271.0,,2018-04-01T22:51:56.025Z,2013-05-29T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-156.314,2013-05-29T22:00:00.000Z,,,,,,,,,80625.0,80000.0,-80000.0,80625.0,625.0,-75625.0,-80625.0,-5000.0,4375.0,-5000.0,625.0,0.0,0.0,-5000.0
entity identifier,2012-01-01,2012-12-31,ID_0,http://regnskaber.virk.dk/17255133/Y3ZyLmRrOi8vcGRmcy8zMzE1NTI3MTtBcFM0ODAzNTU7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/17255133/Y3ZyLmRrOi8veGJybHMvWC0wOTgyQzcxNC0yMDEzMDUyOV8wODE5NDZfNzQ4.xml,"HvalsÃ¸, 4330","TÃ¸llÃ¸sevej 43, c/o Sonnerupgaard Gods","SorÃ¸, 4180",Fulbyvej 15,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-05-24,2010-09-15,2013-05-28,Statsautoriseret revisor,. Virksomhedens formÃ¥l,34351961.0,33155271.0,34351961.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Greentech Solutions ApS.,Ãrsrapport,Hakon Dahm Spliid,Anders Knudsen,Steven John Friberg,"Frej Revision, Statsautoriseret revisionsaktieselskab",Greentech Solutions ApS,"Frej Revision, Statsautoriseret revisionsaktieselskab",SorÃ¸,,"Lejre, 350",2012-12-31,2012-01-01,DirektÃ¸r,urn:ofk:oid:13778567,indberetninger-20180424,2.5124211,33155271.0,,2018-04-01T22:51:56.025Z,2013-05-29T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-156.314,2013-05-29T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_1,http://regnskaber.virk.dk/17255133/Y3ZyLmRrOi8vcGRmcy8zMzE1NTI3MTtBcFM0ODAzNTU7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/17255133/Y3ZyLmRrOi8veGJybHMvWC0wOTgyQzcxNC0yMDEzMDUyOV8wODE5NDZfNzQ4.xml,"HvalsÃ¸, 4330","TÃ¸llÃ¸sevej 43, c/o Sonnerupgaard Gods","SorÃ¸, 4180",Fulbyvej 15,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-05-24,2010-09-15,2013-05-28,Statsautoriseret revisor,. Virksomhedens formÃ¥l,34351961.0,33155271.0,34351961.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Greentech Solutions ApS.,Ãrsrapport,Hakon Dahm Spliid,Anders Knudsen,Steven John Friberg,"Frej Revision, Statsautoriseret revisionsaktieselskab",Greentech Solutions ApS,"Frej Revision, Statsautoriseret revisionsaktieselskab",SorÃ¸,,"Lejre, 350",2012-12-31,2012-01-01,DirektÃ¸r,urn:ofk:oid:13778567,indberetninger-20180424,2.5124211,33155271.0,,2018-04-01T22:51:56.025Z,2013-05-29T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-156.314,2013-05-29T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_10,http://regnskaber.virk.dk/17255133/Y3ZyLmRrOi8vcGRmcy8zMzE1NTI3MTtBcFM0ODAzNTU7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/17255133/Y3ZyLmRrOi8veGJybHMvWC0wOTgyQzcxNC0yMDEzMDUyOV8wODE5NDZfNzQ4.xml,"HvalsÃ¸, 4330","TÃ¸llÃ¸sevej 43, c/o Sonnerupgaard Gods","SorÃ¸, 4180",Fulbyvej 15,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-05-24,2010-09-15,2013-05-28,Statsautoriseret revisor,. Virksomhedens formÃ¥l,34351961.0,33155271.0,34351961.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Greentech Solutions ApS.,Ãrsrapport,Hakon Dahm Spliid,Anders Knudsen,Steven John Friberg,"Frej Revision, Statsautoriseret revisionsaktieselskab",Greentech Solutions ApS,"Frej Revision, Statsautoriseret revisionsaktieselskab",SorÃ¸,8662.0,"Lejre, 350",2012-12-31,2012-01-01,DirektÃ¸r,urn:ofk:oid:13778567,indberetninger-20180424,2.5124211,33155271.0,,2018-04-01T22:51:56.025Z,2013-05-29T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-156.314,2013-05-29T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_12,http://regnskaber.virk.dk/17255133/Y3ZyLmRrOi8vcGRmcy8zMzE1NTI3MTtBcFM0ODAzNTU7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/17255133/Y3ZyLmRrOi8veGJybHMvWC0wOTgyQzcxNC0yMDEzMDUyOV8wODE5NDZfNzQ4.xml,"HvalsÃ¸, 4330","TÃ¸llÃ¸sevej 43, c/o Sonnerupgaard Gods","SorÃ¸, 4180",Fulbyvej 15,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-05-24,2010-09-15,2013-05-28,Statsautoriseret revisor,. Virksomhedens formÃ¥l,34351961.0,33155271.0,34351961.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Greentech Solutions ApS.,Ãrsrapport,Hakon Dahm Spliid,Anders Knudsen,Steven John Friberg,"Frej Revision, Statsautoriseret revisionsaktieselskab",Greentech Solutions ApS,"Frej Revision, Statsautoriseret revisionsaktieselskab",SorÃ¸,8662.0,"Lejre, 350",2012-12-31,2012-01-01,DirektÃ¸r,urn:ofk:oid:13778567,indberetninger-20180424,2.5124211,33155271.0,,2018-04-01T22:51:56.025Z,2013-05-29T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-156.314,2013-05-29T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_16,http://regnskaber.virk.dk/17255133/Y3ZyLmRrOi8vcGRmcy8zMzE1NTI3MTtBcFM0ODAzNTU7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/17255133/Y3ZyLmRrOi8veGJybHMvWC0wOTgyQzcxNC0yMDEzMDUyOV8wODE5NDZfNzQ4.xml,"HvalsÃ¸, 4330","TÃ¸llÃ¸sevej 43, c/o Sonnerupgaard Gods","SorÃ¸, 4180",Fulbyvej 15,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-05-24,2010-09-15,2013-05-28,Statsautoriseret revisor,. Virksomhedens formÃ¥l,34351961.0,33155271.0,34351961.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Greentech Solutions ApS.,Ãrsrapport,Hakon Dahm Spliid,Anders Knudsen,Steven John Friberg,"Frej Revision, Statsautoriseret revisionsaktieselskab",Greentech Solutions ApS,"Frej Revision, Statsautoriseret revisionsaktieselskab",SorÃ¸,,"Lejre, 350",2012-12-31,2012-01-01,DirektÃ¸r,urn:ofk:oid:13778567,indberetninger-20180424,2.5124211,33155271.0,,2018-04-01T22:51:56.025Z,2013-05-29T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-156.314,2013-05-29T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_17,http://regnskaber.virk.dk/17255133/Y3ZyLmRrOi8vcGRmcy8zMzE1NTI3MTtBcFM0ODAzNTU7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/17255133/Y3ZyLmRrOi8veGJybHMvWC0wOTgyQzcxNC0yMDEzMDUyOV8wODE5NDZfNzQ4.xml,"HvalsÃ¸, 4330","TÃ¸llÃ¸sevej 43, c/o Sonnerupgaard Gods","SorÃ¸, 4180",Fulbyvej 15,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-05-24,2010-09-15,2013-05-28,Statsautoriseret revisor,. Virksomhedens formÃ¥l,34351961.0,33155271.0,34351961.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Greentech Solutions ApS.,Ãrsrapport,Hakon Dahm Spliid,Anders Knudsen,Steven John Friberg,"Frej Revision, Statsautoriseret revisionsaktieselskab",Greentech Solutions ApS,"Frej Revision, Statsautoriseret revisionsaktieselskab",SorÃ¸,,"Lejre, 350",2012-12-31,2012-01-01,DirektÃ¸r,urn:ofk:oid:13778567,indberetninger-20180424,2.5124211,33155271.0,,2018-04-01T22:51:56.025Z,2013-05-29T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-156.314,2013-05-29T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
