entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,EmailOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,GrossProfitLoss,ImpairmentOfFinancialAssets,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard
27117333,2016-01-01,2016-12-31,ID_11,,http://regnskaber.virk.dk/33371172/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzlmLzQ2L2M2LzBiNDAtNDcwYy1iYTc0LWNlY2JmNTAwNjRkMg.pdf,http://regnskaber.virk.dk/33371172/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzIyLzFkL2EwL2Q4YmUtNGMzZS04MTU4LTY0NTgyOWYzOTgzMA.xml,true,"4300, HolbÃ¦k","Ahlgade52, 1. sal",Til kapitalejerne i Morten Bardrum Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-05-31,2018-05-31,2003-04-16,2018-05-31,mob@wolmergruppen.dk,33074441.0,27117333.0,33074441.0,mne15369,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Morten Bardrum Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",RenÃ© K. Damgaard,Morten Bardrum,Damgaard Revision,Morten Bardrum Holding ApS,Damgaard Revision,NykÃ¸bing Sj.,2016-01-01,2016-12-31,104221.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-05-31,HolbÃ¦k,59911522.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25810320,indberetninger-20180424,2.5124266,27117333.0,AWP5attW0wkEsASkts9D,2018-06-13T13:52:48.525Z,2018-06-13T13:51:58.209Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-74-ZH,2018-06-13T13:51:58.376Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27117333,2016-01-01,2016-12-31,ID_7,,http://regnskaber.virk.dk/33371172/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzlmLzQ2L2M2LzBiNDAtNDcwYy1iYTc0LWNlY2JmNTAwNjRkMg.pdf,http://regnskaber.virk.dk/33371172/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzIyLzFkL2EwL2Q4YmUtNGMzZS04MTU4LTY0NTgyOWYzOTgzMA.xml,true,"4300, HolbÃ¦k","Ahlgade52, 1. sal",Til kapitalejerne i Morten Bardrum Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-05-31,2018-05-31,2003-04-16,2018-05-31,mob@wolmergruppen.dk,33074441.0,27117333.0,33074441.0,mne15369,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Morten Bardrum Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",RenÃ© K. Damgaard,Morten Bardrum,Damgaard Revision,Morten Bardrum Holding ApS,Damgaard Revision,NykÃ¸bing Sj.,2016-01-01,2016-12-31,-20221.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-05-31,HolbÃ¦k,59911522.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25810320,indberetninger-20180424,2.5124266,27117333.0,AWP5attW0wkEsASkts9D,2018-06-13T13:52:48.525Z,2018-06-13T13:51:58.209Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-74-ZH,2018-06-13T13:51:58.376Z,67000.0,-11356.0,45059.0,157017.0,68294.0,-34692.0,-78356.0,-14471.0,,,,,,,,,,,,,,,,,,,,,,,
27117333,2016-01-01,2016-12-31,ID_9,,http://regnskaber.virk.dk/33371172/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzlmLzQ2L2M2LzBiNDAtNDcwYy1iYTc0LWNlY2JmNTAwNjRkMg.pdf,http://regnskaber.virk.dk/33371172/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzIyLzFkL2EwL2Q4YmUtNGMzZS04MTU4LTY0NTgyOWYzOTgzMA.xml,true,"4300, HolbÃ¦k","Ahlgade52, 1. sal",Til kapitalejerne i Morten Bardrum Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-05-31,2018-05-31,2003-04-16,2018-05-31,mob@wolmergruppen.dk,33074441.0,27117333.0,33074441.0,mne15369,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Morten Bardrum Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",RenÃ© K. Damgaard,Morten Bardrum,Damgaard Revision,Morten Bardrum Holding ApS,Damgaard Revision,NykÃ¸bing Sj.,2016-01-01,2016-12-31,-84000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-05-31,HolbÃ¦k,59911522.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25810320,indberetninger-20180424,2.5124266,27117333.0,AWP5attW0wkEsASkts9D,2018-06-13T13:52:48.525Z,2018-06-13T13:51:58.209Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-74-ZH,2018-06-13T13:51:58.376Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27117333,2016-12-31,2016-12-31,ID_5,,http://regnskaber.virk.dk/33371172/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzlmLzQ2L2M2LzBiNDAtNDcwYy1iYTc0LWNlY2JmNTAwNjRkMg.pdf,http://regnskaber.virk.dk/33371172/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzIyLzFkL2EwL2Q4YmUtNGMzZS04MTU4LTY0NTgyOWYzOTgzMA.xml,true,"4300, HolbÃ¦k","Ahlgade52, 1. sal",Til kapitalejerne i Morten Bardrum Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-05-31,2018-05-31,2003-04-16,2018-05-31,mob@wolmergruppen.dk,33074441.0,27117333.0,33074441.0,mne15369,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Morten Bardrum Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",RenÃ© K. Damgaard,Morten Bardrum,Damgaard Revision,Morten Bardrum Holding ApS,Damgaard Revision,NykÃ¸bing Sj.,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-05-31,HolbÃ¦k,59911522.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25810320,indberetninger-20180424,2.5124266,27117333.0,AWP5attW0wkEsASkts9D,2018-06-13T13:52:48.525Z,2018-06-13T13:51:58.209Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-74-ZH,2018-06-13T13:51:58.376Z,,,,,,,,,3583908.0,1.0,125000.0,2290033.0,137794.0,3583908.0,3446114.0,1293875.0,512501.0,766433.0,1293875.0,14941.0,425949.0,332455.0,12794.0,3446114.0,2989165.0,23000.0,2290032.0,1957577.0,0.0,8000.0,
27117333,2017-01-01,2017-12-31,ID_0,,http://regnskaber.virk.dk/33371172/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzlmLzQ2L2M2LzBiNDAtNDcwYy1iYTc0LWNlY2JmNTAwNjRkMg.pdf,http://regnskaber.virk.dk/33371172/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzIyLzFkL2EwL2Q4YmUtNGMzZS04MTU4LTY0NTgyOWYzOTgzMA.xml,true,"4300, HolbÃ¦k","Ahlgade52, 1. sal",Til kapitalejerne i Morten Bardrum Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-05-31,2018-05-31,2003-04-16,2018-05-31,mob@wolmergruppen.dk,33074441.0,27117333.0,33074441.0,mne15369,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Morten Bardrum Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",RenÃ© K. Damgaard,Morten Bardrum,Damgaard Revision,Morten Bardrum Holding ApS,Damgaard Revision,NykÃ¸bing Sj.,2016-01-01,2016-12-31,1855898.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-05-31,HolbÃ¦k,59911522.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25810320,indberetninger-20180424,2.5124266,27117333.0,AWP5attW0wkEsASkts9D,2018-06-13T13:52:48.525Z,2018-06-13T13:51:58.209Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-74-ZH,2018-06-13T13:51:58.376Z,0.0,-11998.0,844180.0,2674518.0,1577.0,1816763.0,-11998.0,-39135.0,,,,,,,,,,,,,,,,,,,,,,,
27117333,2017-01-01,2017-12-31,ID_1,,http://regnskaber.virk.dk/33371172/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzlmLzQ2L2M2LzBiNDAtNDcwYy1iYTc0LWNlY2JmNTAwNjRkMg.pdf,http://regnskaber.virk.dk/33371172/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzIyLzFkL2EwL2Q4YmUtNGMzZS04MTU4LTY0NTgyOWYzOTgzMA.xml,true,"4300, HolbÃ¦k","Ahlgade52, 1. sal",Til kapitalejerne i Morten Bardrum Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-05-31,2018-05-31,2003-04-16,2018-05-31,mob@wolmergruppen.dk,33074441.0,27117333.0,33074441.0,mne15369,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Morten Bardrum Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",RenÃ© K. Damgaard,Morten Bardrum,Damgaard Revision,Morten Bardrum Holding ApS,Damgaard Revision,NykÃ¸bing Sj.,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-05-31,HolbÃ¦k,59911522.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25810320,indberetninger-20180424,2.5124266,27117333.0,AWP5attW0wkEsASkts9D,2018-06-13T13:52:48.525Z,2018-06-13T13:51:58.209Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-74-ZH,2018-06-13T13:51:58.376Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27117333,2017-01-01,2017-12-31,ID_10,,http://regnskaber.virk.dk/33371172/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzlmLzQ2L2M2LzBiNDAtNDcwYy1iYTc0LWNlY2JmNTAwNjRkMg.pdf,http://regnskaber.virk.dk/33371172/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzIyLzFkL2EwL2Q4YmUtNGMzZS04MTU4LTY0NTgyOWYzOTgzMA.xml,true,"4300, HolbÃ¦k","Ahlgade52, 1. sal",Til kapitalejerne i Morten Bardrum Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-05-31,2018-05-31,2003-04-16,2018-05-31,mob@wolmergruppen.dk,33074441.0,27117333.0,33074441.0,mne15369,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Morten Bardrum Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",RenÃ© K. Damgaard,Morten Bardrum,Damgaard Revision,Morten Bardrum Holding ApS,Damgaard Revision,NykÃ¸bing Sj.,2016-01-01,2016-12-31,-1505898.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-05-31,HolbÃ¦k,59911522.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25810320,indberetninger-20180424,2.5124266,27117333.0,AWP5attW0wkEsASkts9D,2018-06-13T13:52:48.525Z,2018-06-13T13:51:58.209Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-74-ZH,2018-06-13T13:51:58.376Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27117333,2017-01-01,2017-12-31,ID_2,,http://regnskaber.virk.dk/33371172/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzlmLzQ2L2M2LzBiNDAtNDcwYy1iYTc0LWNlY2JmNTAwNjRkMg.pdf,http://regnskaber.virk.dk/33371172/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzIyLzFkL2EwL2Q4YmUtNGMzZS04MTU4LTY0NTgyOWYzOTgzMA.xml,true,"4300, HolbÃ¦k","Ahlgade52, 1. sal",Til kapitalejerne i Morten Bardrum Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-05-31,2018-05-31,2003-04-16,2018-05-31,mob@wolmergruppen.dk,33074441.0,27117333.0,33074441.0,mne15369,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Morten Bardrum Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",RenÃ© K. Damgaard,Morten Bardrum,Damgaard Revision,Morten Bardrum Holding ApS,Damgaard Revision,NykÃ¸bing Sj.,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-05-31,HolbÃ¦k,59911522.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25810320,indberetninger-20180424,2.5124266,27117333.0,AWP5attW0wkEsASkts9D,2018-06-13T13:52:48.525Z,2018-06-13T13:51:58.209Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-74-ZH,2018-06-13T13:51:58.376Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27117333,2017-01-01,2017-12-31,ID_3,,http://regnskaber.virk.dk/33371172/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzlmLzQ2L2M2LzBiNDAtNDcwYy1iYTc0LWNlY2JmNTAwNjRkMg.pdf,http://regnskaber.virk.dk/33371172/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzIyLzFkL2EwL2Q4YmUtNGMzZS04MTU4LTY0NTgyOWYzOTgzMA.xml,true,"4300, HolbÃ¦k","Ahlgade52, 1. sal",Til kapitalejerne i Morten Bardrum Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-05-31,2018-05-31,2003-04-16,2018-05-31,mob@wolmergruppen.dk,33074441.0,27117333.0,33074441.0,mne15369,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Morten Bardrum Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",RenÃ© K. Damgaard,Morten Bardrum,Damgaard Revision,Morten Bardrum Holding ApS,Damgaard Revision,NykÃ¸bing Sj.,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-05-31,HolbÃ¦k,59911522.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25810320,indberetninger-20180424,2.5124266,27117333.0,AWP5attW0wkEsASkts9D,2018-06-13T13:52:48.525Z,2018-06-13T13:51:58.209Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-74-ZH,2018-06-13T13:51:58.376Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27117333,2017-01-01,2017-12-31,ID_4,,http://regnskaber.virk.dk/33371172/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzlmLzQ2L2M2LzBiNDAtNDcwYy1iYTc0LWNlY2JmNTAwNjRkMg.pdf,http://regnskaber.virk.dk/33371172/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzIyLzFkL2EwL2Q4YmUtNGMzZS04MTU4LTY0NTgyOWYzOTgzMA.xml,true,"4300, HolbÃ¦k","Ahlgade52, 1. sal",Til kapitalejerne i Morten Bardrum Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-05-31,2018-05-31,2003-04-16,2018-05-31,mob@wolmergruppen.dk,33074441.0,27117333.0,33074441.0,mne15369,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Morten Bardrum Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",RenÃ© K. Damgaard,Morten Bardrum,Damgaard Revision,Morten Bardrum Holding ApS,Damgaard Revision,NykÃ¸bing Sj.,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-05-31,HolbÃ¦k,59911522.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25810320,indberetninger-20180424,2.5124266,27117333.0,AWP5attW0wkEsASkts9D,2018-06-13T13:52:48.525Z,2018-06-13T13:51:58.209Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-74-ZH,2018-06-13T13:51:58.376Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morten Bardrum
