entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxPayables,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm
25595556,2015-01-01,2015-12-31,c3,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzljL2FiLzA0L2FlLzFhZDUtNGFkYy1iZTY1LTY5NmI4NjhiOTNkYg.xhtml,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzhkLzNhL2JlL2RmOGEtNGVjNC1hNTQ3LWZhZTU4YWQwMGZmYQ.pdf,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzEwLzJhL2U4Lzg2YjQtNDNjYS1hYjk2LTA4NWEwYTg1MTQ4MA.xml,true,Danmark,DK,Aalborg,9000.0,5.0,Thyboevej,Risskov,8240.0,65.0,BylÃ¸kken,9000 Aalborg,Thyboevej 5,Til anpartshaverne i FCBM Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-05-25,2017-05-26,-12781.0,25595556.0,1005189241.0,396114.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Verner Larsen,Verner Larsen,Sandra Dissing,FCBM HOLDING ApS,Verner Larsen,19518.0,Ãrhus,2015-01-01,2015-12-31,315727.0,363815.0,-12781.0,2016-12-31,2016-01-01,false,false,2017-05-25,Aalborg,"Selskabets ledelse har besluttet at fravÃ¦lge revision for det kommende regnskabsÃ¥r. Selskabets ledelse erklÃ¦rer, at betingelserne for fravalg af revision er opfyldt.",48088.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23954565,indberetninger-20180424,2.5949402000000004,25595556.0,,2018-03-28T09:16:11.671Z,2017-05-26T15:24:13.747Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-07-WT,2017-05-26T15:24:13.918Z,,,,,,,,,,,,,,,,,,,,,
25595556,2015-01-01,2015-12-31,c5,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzljL2FiLzA0L2FlLzFhZDUtNGFkYy1iZTY1LTY5NmI4NjhiOTNkYg.xhtml,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzhkLzNhL2JlL2RmOGEtNGVjNC1hNTQ3LWZhZTU4YWQwMGZmYQ.pdf,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzEwLzJhL2U4Lzg2YjQtNDNjYS1hYjk2LTA4NWEwYTg1MTQ4MA.xml,true,Danmark,DK,Aalborg,9000.0,5.0,Thyboevej,Risskov,8240.0,65.0,BylÃ¸kken,9000 Aalborg,Thyboevej 5,Til anpartshaverne i FCBM Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-05-25,2017-05-26,,25595556.0,1005189241.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Verner Larsen,Verner Larsen,Sandra Dissing,FCBM HOLDING ApS,Verner Larsen,,Ãrhus,2015-01-01,2015-12-31,315727.0,,,2016-12-31,2016-01-01,false,false,2017-05-25,Aalborg,"Selskabets ledelse har besluttet at fravÃ¦lge revision for det kommende regnskabsÃ¥r. Selskabets ledelse erklÃ¦rer, at betingelserne for fravalg af revision er opfyldt.",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23954565,indberetninger-20180424,2.5949402000000004,25595556.0,,2018-03-28T09:16:11.671Z,2017-05-26T15:24:13.747Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-07-WT,2017-05-26T15:24:13.918Z,,,,,,,,,,,,,,,,,,,,,
25595556,2015-12-31,2015-12-31,c7,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzljL2FiLzA0L2FlLzFhZDUtNGFkYy1iZTY1LTY5NmI4NjhiOTNkYg.xhtml,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzhkLzNhL2JlL2RmOGEtNGVjNC1hNTQ3LWZhZTU4YWQwMGZmYQ.pdf,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzEwLzJhL2U4Lzg2YjQtNDNjYS1hYjk2LTA4NWEwYTg1MTQ4MA.xml,true,Danmark,DK,Aalborg,9000.0,5.0,Thyboevej,Risskov,8240.0,65.0,BylÃ¸kken,9000 Aalborg,Thyboevej 5,Til anpartshaverne i FCBM Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-05-25,2017-05-26,,25595556.0,1005189241.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Verner Larsen,Verner Larsen,Sandra Dissing,FCBM HOLDING ApS,Verner Larsen,,Ãrhus,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,2017-05-25,Aalborg,"Selskabets ledelse har besluttet at fravÃ¦lge revision for det kommende regnskabsÃ¥r. Selskabets ledelse erklÃ¦rer, at betingelserne for fravalg af revision er opfyldt.",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23954565,indberetninger-20180424,2.5949402000000004,25595556.0,,2018-03-28T09:16:11.671Z,2017-05-26T15:24:13.747Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-07-WT,2017-05-26T15:24:13.918Z,1013482.0,104969.0,125000.0,104969.0,0.0,95138.0,1013482.0,918344.0,908513.0,908513.0,908513.0,5000.0,0.0,-29862.0,185188.0,918344.0,714162.0,0.0,13994.0,,
25595556,2016-01-01,2016-01-01,c10,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzljL2FiLzA0L2FlLzFhZDUtNGFkYy1iZTY1LTY5NmI4NjhiOTNkYg.xhtml,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzhkLzNhL2JlL2RmOGEtNGVjNC1hNTQ3LWZhZTU4YWQwMGZmYQ.pdf,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzEwLzJhL2U4Lzg2YjQtNDNjYS1hYjk2LTA4NWEwYTg1MTQ4MA.xml,true,Danmark,DK,Aalborg,9000.0,5.0,Thyboevej,Risskov,8240.0,65.0,BylÃ¸kken,9000 Aalborg,Thyboevej 5,Til anpartshaverne i FCBM Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-05-25,2017-05-26,,25595556.0,1005189241.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Verner Larsen,Verner Larsen,Sandra Dissing,FCBM HOLDING ApS,Verner Larsen,,Ãrhus,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,2017-05-25,Aalborg,"Selskabets ledelse har besluttet at fravÃ¦lge revision for det kommende regnskabsÃ¥r. Selskabets ledelse erklÃ¦rer, at betingelserne for fravalg af revision er opfyldt.",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23954565,indberetninger-20180424,2.5949402000000004,25595556.0,,2018-03-28T09:16:11.671Z,2017-05-26T15:24:13.747Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-07-WT,2017-05-26T15:24:13.918Z,,,,,,95138.0,,,,,,,,,,,,,,,
25595556,2016-01-01,2016-01-01,c8,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzljL2FiLzA0L2FlLzFhZDUtNGFkYy1iZTY1LTY5NmI4NjhiOTNkYg.xhtml,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzhkLzNhL2JlL2RmOGEtNGVjNC1hNTQ3LWZhZTU4YWQwMGZmYQ.pdf,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzEwLzJhL2U4Lzg2YjQtNDNjYS1hYjk2LTA4NWEwYTg1MTQ4MA.xml,true,Danmark,DK,Aalborg,9000.0,5.0,Thyboevej,Risskov,8240.0,65.0,BylÃ¸kken,9000 Aalborg,Thyboevej 5,Til anpartshaverne i FCBM Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-05-25,2017-05-26,,25595556.0,1005189241.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Verner Larsen,Verner Larsen,Sandra Dissing,FCBM HOLDING ApS,Verner Larsen,,Ãrhus,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,2017-05-25,Aalborg,"Selskabets ledelse har besluttet at fravÃ¦lge revision for det kommende regnskabsÃ¥r. Selskabets ledelse erklÃ¦rer, at betingelserne for fravalg af revision er opfyldt.",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23954565,indberetninger-20180424,2.5949402000000004,25595556.0,,2018-03-28T09:16:11.671Z,2017-05-26T15:24:13.747Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-07-WT,2017-05-26T15:24:13.918Z,,,,,,125000.0,,,,,,,,,,,,,,,
25595556,2016-01-01,2016-01-01,c9,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzljL2FiLzA0L2FlLzFhZDUtNGFkYy1iZTY1LTY5NmI4NjhiOTNkYg.xhtml,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzhkLzNhL2JlL2RmOGEtNGVjNC1hNTQ3LWZhZTU4YWQwMGZmYQ.pdf,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzEwLzJhL2U4Lzg2YjQtNDNjYS1hYjk2LTA4NWEwYTg1MTQ4MA.xml,true,Danmark,DK,Aalborg,9000.0,5.0,Thyboevej,Risskov,8240.0,65.0,BylÃ¸kken,9000 Aalborg,Thyboevej 5,Til anpartshaverne i FCBM Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-05-25,2017-05-26,,25595556.0,1005189241.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Verner Larsen,Verner Larsen,Sandra Dissing,FCBM HOLDING ApS,Verner Larsen,,Ãrhus,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,2017-05-25,Aalborg,"Selskabets ledelse har besluttet at fravÃ¦lge revision for det kommende regnskabsÃ¥r. Selskabets ledelse erklÃ¦rer, at betingelserne for fravalg af revision er opfyldt.",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23954565,indberetninger-20180424,2.5949402000000004,25595556.0,,2018-03-28T09:16:11.671Z,2017-05-26T15:24:13.747Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-07-WT,2017-05-26T15:24:13.918Z,,,,,,-29862.0,,,,,,,,,,,,,,,
25595556,2016-01-01,2016-12-31,c0,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzljL2FiLzA0L2FlLzFhZDUtNGFkYy1iZTY1LTY5NmI4NjhiOTNkYg.xhtml,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzhkLzNhL2JlL2RmOGEtNGVjNC1hNTQ3LWZhZTU4YWQwMGZmYQ.pdf,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzEwLzJhL2U4Lzg2YjQtNDNjYS1hYjk2LTA4NWEwYTg1MTQ4MA.xml,true,Danmark,DK,Aalborg,9000.0,5.0,Thyboevej,Risskov,8240.0,65.0,BylÃ¸kken,9000 Aalborg,Thyboevej 5,Til anpartshaverne i FCBM Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-05-25,2017-05-26,-16260.0,25595556.0,1005189241.0,189318.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Verner Larsen,Verner Larsen,Sandra Dissing,FCBM HOLDING ApS,Verner Larsen,191789.0,Ãrhus,2015-01-01,2015-12-31,-14761.0,-18731.0,-16260.0,2016-12-31,2016-01-01,false,false,2017-05-25,Aalborg,"Selskabets ledelse har besluttet at fravÃ¦lge revision for det kommende regnskabsÃ¥r. Selskabets ledelse erklÃ¦rer, at betingelserne for fravalg af revision er opfyldt.",-3970.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23954565,indberetninger-20180424,2.5949402000000004,25595556.0,,2018-03-28T09:16:11.671Z,2017-05-26T15:24:13.747Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-07-WT,2017-05-26T15:24:13.918Z,,,,,,,,,,,,,,,,,,,,,
25595556,2016-01-01,2016-12-31,c1,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzljL2FiLzA0L2FlLzFhZDUtNGFkYy1iZTY1LTY5NmI4NjhiOTNkYg.xhtml,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzhkLzNhL2JlL2RmOGEtNGVjNC1hNTQ3LWZhZTU4YWQwMGZmYQ.pdf,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzEwLzJhL2U4Lzg2YjQtNDNjYS1hYjk2LTA4NWEwYTg1MTQ4MA.xml,true,Danmark,DK,Aalborg,9000.0,5.0,Thyboevej,Risskov,8240.0,65.0,BylÃ¸kken,9000 Aalborg,Thyboevej 5,Til anpartshaverne i FCBM Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-05-25,2017-05-26,,25595556.0,1005189241.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Verner Larsen,Verner Larsen,Sandra Dissing,FCBM HOLDING ApS,Verner Larsen,,Ãrhus,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,2017-05-25,Aalborg,"Selskabets ledelse har besluttet at fravÃ¦lge revision for det kommende regnskabsÃ¥r. Selskabets ledelse erklÃ¦rer, at betingelserne for fravalg af revision er opfyldt.",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23954565,indberetninger-20180424,2.5949402000000004,25595556.0,,2018-03-28T09:16:11.671Z,2017-05-26T15:24:13.747Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-07-WT,2017-05-26T15:24:13.918Z,,,,,,,,,,,,,,,,,,,,91778750.0,Registreret Revisor Verner Freundlich Larsen
25595556,2016-01-01,2016-12-31,c11,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzljL2FiLzA0L2FlLzFhZDUtNGFkYy1iZTY1LTY5NmI4NjhiOTNkYg.xhtml,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzhkLzNhL2JlL2RmOGEtNGVjNC1hNTQ3LWZhZTU4YWQwMGZmYQ.pdf,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzEwLzJhL2U4Lzg2YjQtNDNjYS1hYjk2LTA4NWEwYTg1MTQ4MA.xml,true,Danmark,DK,Aalborg,9000.0,5.0,Thyboevej,Risskov,8240.0,65.0,BylÃ¸kken,9000 Aalborg,Thyboevej 5,Til anpartshaverne i FCBM Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-05-25,2017-05-26,,25595556.0,1005189241.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Verner Larsen,Verner Larsen,Sandra Dissing,FCBM HOLDING ApS,Verner Larsen,,Ãrhus,2015-01-01,2015-12-31,-14761.0,,,2016-12-31,2016-01-01,false,false,2017-05-25,Aalborg,"Selskabets ledelse har besluttet at fravÃ¦lge revision for det kommende regnskabsÃ¥r. Selskabets ledelse erklÃ¦rer, at betingelserne for fravalg af revision er opfyldt.",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23954565,indberetninger-20180424,2.5949402000000004,25595556.0,,2018-03-28T09:16:11.671Z,2017-05-26T15:24:13.747Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-07-WT,2017-05-26T15:24:13.918Z,,,,,,,,,,,,,,,,,,,,,
25595556,2016-01-01,2016-12-31,c2,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzljL2FiLzA0L2FlLzFhZDUtNGFkYy1iZTY1LTY5NmI4NjhiOTNkYg.xhtml,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzhkLzNhL2JlL2RmOGEtNGVjNC1hNTQ3LWZhZTU4YWQwMGZmYQ.pdf,http://regnskaber.virk.dk/65559552/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzEwLzJhL2U4Lzg2YjQtNDNjYS1hYjk2LTA4NWEwYTg1MTQ4MA.xml,true,Danmark,DK,Aalborg,9000.0,5.0,Thyboevej,Risskov,8240.0,65.0,BylÃ¸kken,9000 Aalborg,Thyboevej 5,Til anpartshaverne i FCBM Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-05-25,2017-05-26,,25595556.0,1005189241.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Verner Larsen,Verner Larsen,Sandra Dissing,FCBM HOLDING ApS,Verner Larsen,,Ãrhus,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,2017-05-25,Aalborg,"Selskabets ledelse har besluttet at fravÃ¦lge revision for det kommende regnskabsÃ¥r. Selskabets ledelse erklÃ¦rer, at betingelserne for fravalg af revision er opfyldt.",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23954565,indberetninger-20180424,2.5949402000000004,25595556.0,,2018-03-28T09:16:11.671Z,2017-05-26T15:24:13.747Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-07-WT,2017-05-26T15:24:13.918Z,,,,,,,,,,,,,,,,,,,,,
