entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AuditorsReportOnFinancialStatements,AuditorsReportsAccordingToOtherLegislationAndRegulation,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,DateOfGeneralMeeting,DescriptionOfAuditor,DisclosureOfEmployeeBenefitsExpense,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,OtherShorttermPayables,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDebtToBanks,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises
entity identifier,2010-10-01,2011-09-30,ID_11,http://regnskaber.virk.dk/93660603/Y3ZyLmRrOi8vcGRmcy8zMDYwNjYzOTtBcFM0MDM0NTU7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/93660603/Y3ZyLmRrOi8veGJybHMvWC1BMEI5MkE1MC0yMDEzMDMxOV8xMzA1MzhfMzUw.xml,"5491, Blommenslyst",Ravnebjerggyden 43,"5400, Bogense",Vestre Engvej 3,Til kapitalejerne i Ejendomsselskabet Over Holluf III ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,ErklÃ¦ringer i henhold til anden lovgivning og Ã¸vrig regulering,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-03-19,Statsautoriseret revisor,. Personaleomkostninger,27619096.0,30606639.0,27619096.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for Ejendomsselskabet Over Holluf III ApS.,"Vi har revideret Ã¥rsregnskabet for Ejendomsselskabet Over Holluf III ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jan Christiansen,Jacob Juul Madsen,Jacob Juul  Madsen,"Revisionsfirmaet Jan Christiansen, Statsautoriseret Revisionsanpartsselskab",Ejendomsselskabet Over Holluf III ApS,"Revisionsfirmaet Jan Christiansen, Statsautoriseret Revisionsanpartsselskab",-22909.0,"Odense, 461",2012-09-30,2011-10-01,2013-03-19,Bogense,DirektÃ¸r,urn:ofk:oid:18551771,indberetninger-20180424,2.5097403999999996,30606639.0,,2018-04-01T22:59:18.771Z,2013-03-22T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-354.857,2013-03-22T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-10-01,2011-09-30,ID_13,http://regnskaber.virk.dk/93660603/Y3ZyLmRrOi8vcGRmcy8zMDYwNjYzOTtBcFM0MDM0NTU7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/93660603/Y3ZyLmRrOi8veGJybHMvWC1BMEI5MkE1MC0yMDEzMDMxOV8xMzA1MzhfMzUw.xml,"5491, Blommenslyst",Ravnebjerggyden 43,"5400, Bogense",Vestre Engvej 3,Til kapitalejerne i Ejendomsselskabet Over Holluf III ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,ErklÃ¦ringer i henhold til anden lovgivning og Ã¸vrig regulering,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-03-19,Statsautoriseret revisor,. Personaleomkostninger,27619096.0,30606639.0,27619096.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for Ejendomsselskabet Over Holluf III ApS.,"Vi har revideret Ã¥rsregnskabet for Ejendomsselskabet Over Holluf III ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jan Christiansen,Jacob Juul Madsen,Jacob Juul  Madsen,"Revisionsfirmaet Jan Christiansen, Statsautoriseret Revisionsanpartsselskab",Ejendomsselskabet Over Holluf III ApS,"Revisionsfirmaet Jan Christiansen, Statsautoriseret Revisionsanpartsselskab",-22909.0,"Odense, 461",2012-09-30,2011-10-01,2013-03-19,Bogense,DirektÃ¸r,urn:ofk:oid:18551771,indberetninger-20180424,2.5097403999999996,30606639.0,,2018-04-01T22:59:18.771Z,2013-03-22T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-354.857,2013-03-22T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-10-01,2011-09-30,ID_9,http://regnskaber.virk.dk/93660603/Y3ZyLmRrOi8vcGRmcy8zMDYwNjYzOTtBcFM0MDM0NTU7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/93660603/Y3ZyLmRrOi8veGJybHMvWC1BMEI5MkE1MC0yMDEzMDMxOV8xMzA1MzhfMzUw.xml,"5491, Blommenslyst",Ravnebjerggyden 43,"5400, Bogense",Vestre Engvej 3,Til kapitalejerne i Ejendomsselskabet Over Holluf III ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,ErklÃ¦ringer i henhold til anden lovgivning og Ã¸vrig regulering,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-03-19,Statsautoriseret revisor,. Personaleomkostninger,27619096.0,30606639.0,27619096.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for Ejendomsselskabet Over Holluf III ApS.,"Vi har revideret Ã¥rsregnskabet for Ejendomsselskabet Over Holluf III ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jan Christiansen,Jacob Juul Madsen,Jacob Juul  Madsen,"Revisionsfirmaet Jan Christiansen, Statsautoriseret Revisionsanpartsselskab",Ejendomsselskabet Over Holluf III ApS,"Revisionsfirmaet Jan Christiansen, Statsautoriseret Revisionsanpartsselskab",22909.0,"Odense, 461",2012-09-30,2011-10-01,2013-03-19,Bogense,DirektÃ¸r,urn:ofk:oid:18551771,indberetninger-20180424,2.5097403999999996,30606639.0,,2018-04-01T22:59:18.771Z,2013-03-22T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-354.857,2013-03-22T23:00:00.000Z,-919175.0,958159.0,-16075.0,22909.0,0.0,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-09-30,2011-09-30,ID_15,http://regnskaber.virk.dk/93660603/Y3ZyLmRrOi8vcGRmcy8zMDYwNjYzOTtBcFM0MDM0NTU7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/93660603/Y3ZyLmRrOi8veGJybHMvWC1BMEI5MkE1MC0yMDEzMDMxOV8xMzA1MzhfMzUw.xml,"5491, Blommenslyst",Ravnebjerggyden 43,"5400, Bogense",Vestre Engvej 3,Til kapitalejerne i Ejendomsselskabet Over Holluf III ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,ErklÃ¦ringer i henhold til anden lovgivning og Ã¸vrig regulering,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-03-19,Statsautoriseret revisor,. Personaleomkostninger,27619096.0,30606639.0,27619096.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for Ejendomsselskabet Over Holluf III ApS.,"Vi har revideret Ã¥rsregnskabet for Ejendomsselskabet Over Holluf III ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jan Christiansen,Jacob Juul Madsen,Jacob Juul  Madsen,"Revisionsfirmaet Jan Christiansen, Statsautoriseret Revisionsanpartsselskab",Ejendomsselskabet Over Holluf III ApS,"Revisionsfirmaet Jan Christiansen, Statsautoriseret Revisionsanpartsselskab",,"Odense, 461",2012-09-30,2011-10-01,2013-03-19,Bogense,DirektÃ¸r,urn:ofk:oid:18551771,indberetninger-20180424,2.5097403999999996,30606639.0,,2018-04-01T22:59:18.771Z,2013-03-22T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-354.857,2013-03-22T23:00:00.000Z,,,,,,21233568.0,1.0,-125000.0,21233568.0,0.0,13410.0,530675.0,20846860.0,-21233568.0,-21764243.0,-14259237.0,-14259237.0,-2478934.0,20846860.0,655675.0,-5005527.0,-1010.0,-7505006.0,-19535.0,386707.0,373297.0
entity identifier,2011-10-01,2012-09-30,ID_0,http://regnskaber.virk.dk/93660603/Y3ZyLmRrOi8vcGRmcy8zMDYwNjYzOTtBcFM0MDM0NTU7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/93660603/Y3ZyLmRrOi8veGJybHMvWC1BMEI5MkE1MC0yMDEzMDMxOV8xMzA1MzhfMzUw.xml,"5491, Blommenslyst",Ravnebjerggyden 43,"5400, Bogense",Vestre Engvej 3,Til kapitalejerne i Ejendomsselskabet Over Holluf III ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,ErklÃ¦ringer i henhold til anden lovgivning og Ã¸vrig regulering,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-03-19,Statsautoriseret revisor,. Personaleomkostninger,27619096.0,30606639.0,27619096.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for Ejendomsselskabet Over Holluf III ApS.,"Vi har revideret Ã¥rsregnskabet for Ejendomsselskabet Over Holluf III ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jan Christiansen,Jacob Juul Madsen,Jacob Juul  Madsen,"Revisionsfirmaet Jan Christiansen, Statsautoriseret Revisionsanpartsselskab",Ejendomsselskabet Over Holluf III ApS,"Revisionsfirmaet Jan Christiansen, Statsautoriseret Revisionsanpartsselskab",,"Odense, 461",2012-09-30,2011-10-01,2013-03-19,Bogense,DirektÃ¸r,urn:ofk:oid:18551771,indberetninger-20180424,2.5097403999999996,30606639.0,,2018-04-01T22:59:18.771Z,2013-03-22T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-354.857,2013-03-22T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-09-30,ID_1,http://regnskaber.virk.dk/93660603/Y3ZyLmRrOi8vcGRmcy8zMDYwNjYzOTtBcFM0MDM0NTU7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/93660603/Y3ZyLmRrOi8veGJybHMvWC1BMEI5MkE1MC0yMDEzMDMxOV8xMzA1MzhfMzUw.xml,"5491, Blommenslyst",Ravnebjerggyden 43,"5400, Bogense",Vestre Engvej 3,Til kapitalejerne i Ejendomsselskabet Over Holluf III ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,ErklÃ¦ringer i henhold til anden lovgivning og Ã¸vrig regulering,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-03-19,Statsautoriseret revisor,. Personaleomkostninger,27619096.0,30606639.0,27619096.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for Ejendomsselskabet Over Holluf III ApS.,"Vi har revideret Ã¥rsregnskabet for Ejendomsselskabet Over Holluf III ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jan Christiansen,Jacob Juul Madsen,Jacob Juul  Madsen,"Revisionsfirmaet Jan Christiansen, Statsautoriseret Revisionsanpartsselskab",Ejendomsselskabet Over Holluf III ApS,"Revisionsfirmaet Jan Christiansen, Statsautoriseret Revisionsanpartsselskab",,"Odense, 461",2012-09-30,2011-10-01,2013-03-19,Bogense,DirektÃ¸r,urn:ofk:oid:18551771,indberetninger-20180424,2.5097403999999996,30606639.0,,2018-04-01T22:59:18.771Z,2013-03-22T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-354.857,2013-03-22T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-09-30,ID_10,http://regnskaber.virk.dk/93660603/Y3ZyLmRrOi8vcGRmcy8zMDYwNjYzOTtBcFM0MDM0NTU7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/93660603/Y3ZyLmRrOi8veGJybHMvWC1BMEI5MkE1MC0yMDEzMDMxOV8xMzA1MzhfMzUw.xml,"5491, Blommenslyst",Ravnebjerggyden 43,"5400, Bogense",Vestre Engvej 3,Til kapitalejerne i Ejendomsselskabet Over Holluf III ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,ErklÃ¦ringer i henhold til anden lovgivning og Ã¸vrig regulering,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-03-19,Statsautoriseret revisor,. Personaleomkostninger,27619096.0,30606639.0,27619096.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for Ejendomsselskabet Over Holluf III ApS.,"Vi har revideret Ã¥rsregnskabet for Ejendomsselskabet Over Holluf III ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jan Christiansen,Jacob Juul Madsen,Jacob Juul  Madsen,"Revisionsfirmaet Jan Christiansen, Statsautoriseret Revisionsanpartsselskab",Ejendomsselskabet Over Holluf III ApS,"Revisionsfirmaet Jan Christiansen, Statsautoriseret Revisionsanpartsselskab",96244.0,"Odense, 461",2012-09-30,2011-10-01,2013-03-19,Bogense,DirektÃ¸r,urn:ofk:oid:18551771,indberetninger-20180424,2.5097403999999996,30606639.0,,2018-04-01T22:59:18.771Z,2013-03-22T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-354.857,2013-03-22T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-09-30,ID_12,http://regnskaber.virk.dk/93660603/Y3ZyLmRrOi8vcGRmcy8zMDYwNjYzOTtBcFM0MDM0NTU7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/93660603/Y3ZyLmRrOi8veGJybHMvWC1BMEI5MkE1MC0yMDEzMDMxOV8xMzA1MzhfMzUw.xml,"5491, Blommenslyst",Ravnebjerggyden 43,"5400, Bogense",Vestre Engvej 3,Til kapitalejerne i Ejendomsselskabet Over Holluf III ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,ErklÃ¦ringer i henhold til anden lovgivning og Ã¸vrig regulering,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-03-19,Statsautoriseret revisor,. Personaleomkostninger,27619096.0,30606639.0,27619096.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for Ejendomsselskabet Over Holluf III ApS.,"Vi har revideret Ã¥rsregnskabet for Ejendomsselskabet Over Holluf III ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jan Christiansen,Jacob Juul Madsen,Jacob Juul  Madsen,"Revisionsfirmaet Jan Christiansen, Statsautoriseret Revisionsanpartsselskab",Ejendomsselskabet Over Holluf III ApS,"Revisionsfirmaet Jan Christiansen, Statsautoriseret Revisionsanpartsselskab",96244.0,"Odense, 461",2012-09-30,2011-10-01,2013-03-19,Bogense,DirektÃ¸r,urn:ofk:oid:18551771,indberetninger-20180424,2.5097403999999996,30606639.0,,2018-04-01T22:59:18.771Z,2013-03-22T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-354.857,2013-03-22T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-09-30,ID_16,http://regnskaber.virk.dk/93660603/Y3ZyLmRrOi8vcGRmcy8zMDYwNjYzOTtBcFM0MDM0NTU7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/93660603/Y3ZyLmRrOi8veGJybHMvWC1BMEI5MkE1MC0yMDEzMDMxOV8xMzA1MzhfMzUw.xml,"5491, Blommenslyst",Ravnebjerggyden 43,"5400, Bogense",Vestre Engvej 3,Til kapitalejerne i Ejendomsselskabet Over Holluf III ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,ErklÃ¦ringer i henhold til anden lovgivning og Ã¸vrig regulering,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-03-19,Statsautoriseret revisor,. Personaleomkostninger,27619096.0,30606639.0,27619096.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for Ejendomsselskabet Over Holluf III ApS.,"Vi har revideret Ã¥rsregnskabet for Ejendomsselskabet Over Holluf III ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jan Christiansen,Jacob Juul Madsen,Jacob Juul  Madsen,"Revisionsfirmaet Jan Christiansen, Statsautoriseret Revisionsanpartsselskab",Ejendomsselskabet Over Holluf III ApS,"Revisionsfirmaet Jan Christiansen, Statsautoriseret Revisionsanpartsselskab",,"Odense, 461",2012-09-30,2011-10-01,2013-03-19,Bogense,DirektÃ¸r,urn:ofk:oid:18551771,indberetninger-20180424,2.5097403999999996,30606639.0,,2018-04-01T22:59:18.771Z,2013-03-22T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-354.857,2013-03-22T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-09-30,ID_17,http://regnskaber.virk.dk/93660603/Y3ZyLmRrOi8vcGRmcy8zMDYwNjYzOTtBcFM0MDM0NTU7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/93660603/Y3ZyLmRrOi8veGJybHMvWC1BMEI5MkE1MC0yMDEzMDMxOV8xMzA1MzhfMzUw.xml,"5491, Blommenslyst",Ravnebjerggyden 43,"5400, Bogense",Vestre Engvej 3,Til kapitalejerne i Ejendomsselskabet Over Holluf III ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,ErklÃ¦ringer i henhold til anden lovgivning og Ã¸vrig regulering,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-03-19,Statsautoriseret revisor,. Personaleomkostninger,27619096.0,30606639.0,27619096.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for Ejendomsselskabet Over Holluf III ApS.,"Vi har revideret Ã¥rsregnskabet for Ejendomsselskabet Over Holluf III ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jan Christiansen,Jacob Juul Madsen,Jacob Juul  Madsen,"Revisionsfirmaet Jan Christiansen, Statsautoriseret Revisionsanpartsselskab",Ejendomsselskabet Over Holluf III ApS,"Revisionsfirmaet Jan Christiansen, Statsautoriseret Revisionsanpartsselskab",,"Odense, 461",2012-09-30,2011-10-01,2013-03-19,Bogense,DirektÃ¸r,urn:ofk:oid:18551771,indberetninger-20180424,2.5097403999999996,30606639.0,,2018-04-01T22:59:18.771Z,2013-03-22T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-354.857,2013-03-22T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
