entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,EmailOfReportingEntity,ExternalExpenses,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,TaxExpense,TelephoneNumberOfReportingEntity,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,TransferredToFromReservesAvailable
34732930,2017-04-01,2018-03-31,c2,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzLzA1LzRhL2VjL2JhLzU5ODktNDFkMC1hNTBiLWM1MzViYzkwMDgxMA.xhtml,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzE1L2RkL2FiL2RjZDUtNGJlYS05ZWI4LWRlMDVjNjI0NWIzMw.pdf,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzUzLzliLzE5L2Q5MWUtNGYzYi04YmNlLWNjZGIzNGYwYzQ1Zg.xml,true,Aabenraa,6200.0,256.0,Rugkobbel,6000 Kolding,Centervej 2,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-08-30,2019-08-30,info@optimize.dk,1120.0,-1120.0,34732930.0,45766.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Julie Harriet Rettig Petersen,Julie Harriet Rettig Petersen,CASJU HOLDING ApS,Talxperten ApS,ÃbenrÃ¥,2017-04-01,2018-03-31,52659.0,44646.0,-1120.0,2019-03-31,2018-04-01,false,-8013.0,29991865.0,false,Ingen bistand,urn:ofk:oid:27790289,indberetninger-20180424,2.5955422,34732930.0,AWz4iGPFIXJRhhXBNU9Q,2019-09-03T19:10:34.166Z,2019-09-03T19:09:43.055Z,regnskab,0.0,,2019-03-31,2018-04-01,X19-CC-71-NA,2019-09-03T19:09:43.249Z,,,,,,,,,,,,,,,,,,,,,,
34732930,2017-04-01,2018-03-31,c4,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzLzA1LzRhL2VjL2JhLzU5ODktNDFkMC1hNTBiLWM1MzViYzkwMDgxMA.xhtml,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzE1L2RkL2FiL2RjZDUtNGJlYS05ZWI4LWRlMDVjNjI0NWIzMw.pdf,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzUzLzliLzE5L2Q5MWUtNGYzYi04YmNlLWNjZGIzNGYwYzQ1Zg.xml,true,Aabenraa,6200.0,256.0,Rugkobbel,6000 Kolding,Centervej 2,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-08-30,2019-08-30,info@optimize.dk,,,34732930.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Julie Harriet Rettig Petersen,Julie Harriet Rettig Petersen,CASJU HOLDING ApS,Talxperten ApS,ÃbenrÃ¥,2017-04-01,2018-03-31,0.0,,,2019-03-31,2018-04-01,false,,29991865.0,false,Ingen bistand,urn:ofk:oid:27790289,indberetninger-20180424,2.5955422,34732930.0,AWz4iGPFIXJRhhXBNU9Q,2019-09-03T19:10:34.166Z,2019-09-03T19:09:43.055Z,regnskab,0.0,,2019-03-31,2018-04-01,X19-CC-71-NA,2019-09-03T19:09:43.249Z,,,,,,,,,,,,,,,,,,,,,,
34732930,2017-04-01,2018-03-31,c6,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzLzA1LzRhL2VjL2JhLzU5ODktNDFkMC1hNTBiLWM1MzViYzkwMDgxMA.xhtml,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzE1L2RkL2FiL2RjZDUtNGJlYS05ZWI4LWRlMDVjNjI0NWIzMw.pdf,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzUzLzliLzE5L2Q5MWUtNGYzYi04YmNlLWNjZGIzNGYwYzQ1Zg.xml,true,Aabenraa,6200.0,256.0,Rugkobbel,6000 Kolding,Centervej 2,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-08-30,2019-08-30,info@optimize.dk,,,34732930.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Julie Harriet Rettig Petersen,Julie Harriet Rettig Petersen,CASJU HOLDING ApS,Talxperten ApS,ÃbenrÃ¥,2017-04-01,2018-03-31,45766.0,,,2019-03-31,2018-04-01,false,,29991865.0,false,Ingen bistand,urn:ofk:oid:27790289,indberetninger-20180424,2.5955422,34732930.0,AWz4iGPFIXJRhhXBNU9Q,2019-09-03T19:10:34.166Z,2019-09-03T19:09:43.055Z,regnskab,0.0,,2019-03-31,2018-04-01,X19-CC-71-NA,2019-09-03T19:09:43.249Z,,,,,,,,,,,,,,,,,,,,,,
34732930,2017-04-01,2018-03-31,c8,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzLzA1LzRhL2VjL2JhLzU5ODktNDFkMC1hNTBiLWM1MzViYzkwMDgxMA.xhtml,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzE1L2RkL2FiL2RjZDUtNGJlYS05ZWI4LWRlMDVjNjI0NWIzMw.pdf,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzUzLzliLzE5L2Q5MWUtNGYzYi04YmNlLWNjZGIzNGYwYzQ1Zg.xml,true,Aabenraa,6200.0,256.0,Rugkobbel,6000 Kolding,Centervej 2,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-08-30,2019-08-30,info@optimize.dk,,,34732930.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Julie Harriet Rettig Petersen,Julie Harriet Rettig Petersen,CASJU HOLDING ApS,Talxperten ApS,ÃbenrÃ¥,2017-04-01,2018-03-31,6893.0,,,2019-03-31,2018-04-01,false,,29991865.0,false,Ingen bistand,urn:ofk:oid:27790289,indberetninger-20180424,2.5955422,34732930.0,AWz4iGPFIXJRhhXBNU9Q,2019-09-03T19:10:34.166Z,2019-09-03T19:09:43.055Z,regnskab,0.0,,2019-03-31,2018-04-01,X19-CC-71-NA,2019-09-03T19:09:43.249Z,,,,,,,,,,,,,,,,,,,,,,
34732930,2018-03-31,2018-03-31,c10,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzLzA1LzRhL2VjL2JhLzU5ODktNDFkMC1hNTBiLWM1MzViYzkwMDgxMA.xhtml,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzE1L2RkL2FiL2RjZDUtNGJlYS05ZWI4LWRlMDVjNjI0NWIzMw.pdf,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzUzLzliLzE5L2Q5MWUtNGYzYi04YmNlLWNjZGIzNGYwYzQ1Zg.xml,true,Aabenraa,6200.0,256.0,Rugkobbel,6000 Kolding,Centervej 2,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-08-30,2019-08-30,info@optimize.dk,,,34732930.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Julie Harriet Rettig Petersen,Julie Harriet Rettig Petersen,CASJU HOLDING ApS,Talxperten ApS,ÃbenrÃ¥,2017-04-01,2018-03-31,,,,2019-03-31,2018-04-01,false,,29991865.0,false,Ingen bistand,urn:ofk:oid:27790289,indberetninger-20180424,2.5955422,34732930.0,AWz4iGPFIXJRhhXBNU9Q,2019-09-03T19:10:34.166Z,2019-09-03T19:09:43.055Z,regnskab,0.0,,2019-03-31,2018-04-01,X19-CC-71-NA,2019-09-03T19:09:43.249Z,214743.0,45.0,125000.0,7593.0,6188.0,147054.0,214743.0,67689.0,207150.0,207150.0,207150.0,6000.0,1360.0,0.0,147150.0,-125096.0,67689.0,1689.0,60000.0,7548.0,0.0,0.0
34732930,2018-04-01,2019-03-31,c0,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzLzA1LzRhL2VjL2JhLzU5ODktNDFkMC1hNTBiLWM1MzViYzkwMDgxMA.xhtml,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzE1L2RkL2FiL2RjZDUtNGJlYS05ZWI4LWRlMDVjNjI0NWIzMw.pdf,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzUzLzliLzE5L2Q5MWUtNGYzYi04YmNlLWNjZGIzNGYwYzQ1Zg.xml,true,Aabenraa,6200.0,256.0,Rugkobbel,6000 Kolding,Centervej 2,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-08-30,2019-08-30,info@optimize.dk,10402.0,-10402.0,34732930.0,-124562.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Julie Harriet Rettig Petersen,Julie Harriet Rettig Petersen,CASJU HOLDING ApS,Talxperten ApS,ÃbenrÃ¥,2017-04-01,2018-03-31,-134964.0,-134964.0,-10402.0,2019-03-31,2018-04-01,false,0.0,29991865.0,false,Ingen bistand,urn:ofk:oid:27790289,indberetninger-20180424,2.5955422,34732930.0,AWz4iGPFIXJRhhXBNU9Q,2019-09-03T19:10:34.166Z,2019-09-03T19:09:43.055Z,regnskab,0.0,,2019-03-31,2018-04-01,X19-CC-71-NA,2019-09-03T19:09:43.249Z,,,,,,,,,,,,,,,,,,,,,,
34732930,2018-04-01,2019-03-31,c1,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzLzA1LzRhL2VjL2JhLzU5ODktNDFkMC1hNTBiLWM1MzViYzkwMDgxMA.xhtml,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzE1L2RkL2FiL2RjZDUtNGJlYS05ZWI4LWRlMDVjNjI0NWIzMw.pdf,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzUzLzliLzE5L2Q5MWUtNGYzYi04YmNlLWNjZGIzNGYwYzQ1Zg.xml,true,Aabenraa,6200.0,256.0,Rugkobbel,6000 Kolding,Centervej 2,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-08-30,2019-08-30,info@optimize.dk,,,34732930.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Julie Harriet Rettig Petersen,Julie Harriet Rettig Petersen,CASJU HOLDING ApS,Talxperten ApS,ÃbenrÃ¥,2017-04-01,2018-03-31,,,,2019-03-31,2018-04-01,false,,29991865.0,false,Ingen bistand,urn:ofk:oid:27790289,indberetninger-20180424,2.5955422,34732930.0,AWz4iGPFIXJRhhXBNU9Q,2019-09-03T19:10:34.166Z,2019-09-03T19:09:43.055Z,regnskab,0.0,,2019-03-31,2018-04-01,X19-CC-71-NA,2019-09-03T19:09:43.249Z,,,,,,,,,,,,,,,,,,,,,,
34732930,2018-04-01,2019-03-31,c3,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzLzA1LzRhL2VjL2JhLzU5ODktNDFkMC1hNTBiLWM1MzViYzkwMDgxMA.xhtml,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzE1L2RkL2FiL2RjZDUtNGJlYS05ZWI4LWRlMDVjNjI0NWIzMw.pdf,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzUzLzliLzE5L2Q5MWUtNGYzYi04YmNlLWNjZGIzNGYwYzQ1Zg.xml,true,Aabenraa,6200.0,256.0,Rugkobbel,6000 Kolding,Centervej 2,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-08-30,2019-08-30,info@optimize.dk,,,34732930.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Julie Harriet Rettig Petersen,Julie Harriet Rettig Petersen,CASJU HOLDING ApS,Talxperten ApS,ÃbenrÃ¥,2017-04-01,2018-03-31,54000.0,,,2019-03-31,2018-04-01,false,,29991865.0,false,Ingen bistand,urn:ofk:oid:27790289,indberetninger-20180424,2.5955422,34732930.0,AWz4iGPFIXJRhhXBNU9Q,2019-09-03T19:10:34.166Z,2019-09-03T19:09:43.055Z,regnskab,0.0,,2019-03-31,2018-04-01,X19-CC-71-NA,2019-09-03T19:09:43.249Z,,,,,,,,,,,,,,,,,,,,,,
34732930,2018-04-01,2019-03-31,c5,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzLzA1LzRhL2VjL2JhLzU5ODktNDFkMC1hNTBiLWM1MzViYzkwMDgxMA.xhtml,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzE1L2RkL2FiL2RjZDUtNGJlYS05ZWI4LWRlMDVjNjI0NWIzMw.pdf,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzUzLzliLzE5L2Q5MWUtNGYzYi04YmNlLWNjZGIzNGYwYzQ1Zg.xml,true,Aabenraa,6200.0,256.0,Rugkobbel,6000 Kolding,Centervej 2,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-08-30,2019-08-30,info@optimize.dk,,,34732930.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Julie Harriet Rettig Petersen,Julie Harriet Rettig Petersen,CASJU HOLDING ApS,Talxperten ApS,ÃbenrÃ¥,2017-04-01,2018-03-31,-124562.0,,,2019-03-31,2018-04-01,false,,29991865.0,false,Ingen bistand,urn:ofk:oid:27790289,indberetninger-20180424,2.5955422,34732930.0,AWz4iGPFIXJRhhXBNU9Q,2019-09-03T19:10:34.166Z,2019-09-03T19:09:43.055Z,regnskab,0.0,,2019-03-31,2018-04-01,X19-CC-71-NA,2019-09-03T19:09:43.249Z,,,,,,,,,,,,,,,,,,,,,,
34732930,2018-04-01,2019-03-31,c7,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzLzA1LzRhL2VjL2JhLzU5ODktNDFkMC1hNTBiLWM1MzViYzkwMDgxMA.xhtml,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzE1L2RkL2FiL2RjZDUtNGJlYS05ZWI4LWRlMDVjNjI0NWIzMw.pdf,http://regnskaber.virk.dk/03923743/ZG9rdW1lbnRsYWdlcjovLzAzL2VlLzUzLzliLzE5L2Q5MWUtNGYzYi04YmNlLWNjZGIzNGYwYzQ1Zg.xml,true,Aabenraa,6200.0,256.0,Rugkobbel,6000 Kolding,Centervej 2,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-08-30,2019-08-30,info@optimize.dk,,,34732930.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Julie Harriet Rettig Petersen,Julie Harriet Rettig Petersen,CASJU HOLDING ApS,Talxperten ApS,ÃbenrÃ¥,2017-04-01,2018-03-31,-64402.0,,,2019-03-31,2018-04-01,false,,29991865.0,false,Ingen bistand,urn:ofk:oid:27790289,indberetninger-20180424,2.5955422,34732930.0,AWz4iGPFIXJRhhXBNU9Q,2019-09-03T19:10:34.166Z,2019-09-03T19:09:43.055Z,regnskab,0.0,,2019-03-31,2018-04-01,X19-CC-71-NA,2019-09-03T19:09:43.249Z,,,,,,,,,,,,,,,,,,,,,,
