entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AmortisationOfIntangibleAssets,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,CostOfSales,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherExternalExpenses,OtherFinanceExpenses,PlaceOfSignatureOfStatement,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfSupervisoryBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,Goodwill,IntangibleAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromOwnersAndManagement,ShorttermTaxPayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndAmortisationOfIntangibleAssets,IntangibleAssetsGross,NameOfAuditFirm,NameAndSurnameOfMemberOfSupervisoryBoard
34688443,2006-01-01,2006-12-31,c1,http://regnskaber.virk.dk/34488643/Y3ZyLmRrOi8vcGRmcy8zNDY4ODQ0MztFUkY1MTY5MDQ7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/34488643/Y3ZyLmRrOi8veGJybHMvWC03RERGRDM2Mi0yMDE0MTIyMl8xMzExNTRfMDEz.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1814  Frederiksberg C,Caril Etlars Vej 3,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til bestyrelsen i Fonden Filmmagasinet Ekko,14000.0,Regnskabsklasse A,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",-2580000.0,2014-05-27,2012-07-04,2014-05-27,-14000.0,Statsautoriseret revisor,1040000.0,34688443.0,20222670.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2013 for Fonden Filmmagasinet Ekko.,"Vi har revideret Ã¥rsregnskabet for Fonden Filmmagasinet Ekko for regnskabsÃ¥ret 1. januar - 31. december 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jens Haugbyrd,SÃ¸ren K. Lauridsen,Danske Bank,Fonden Filmmagasinet Ekko,BDO Statsautoriseret revisionsaktieselskab,-1075000.0,0.0,Frederiksberg,-49000.0,-49000.0,-49000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederiksberg,2013-12-31,2013-01-01,3620000.0,2014-05-27,KÃ¸benhavn,0.0,Formand,RevisionspÃ¥tegning,urn:ofk:oid:19878935,indberetninger-20180424,2.5097417999999996,34688443.0,,2018-04-01T07:24:38.139Z,2014-12-23T23:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-162.413,2014-12-23T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
34688443,2006-01-01,2006-12-31,c30,http://regnskaber.virk.dk/34488643/Y3ZyLmRrOi8vcGRmcy8zNDY4ODQ0MztFUkY1MTY5MDQ7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/34488643/Y3ZyLmRrOi8veGJybHMvWC03RERGRDM2Mi0yMDE0MTIyMl8xMzExNTRfMDEz.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1814  Frederiksberg C,Caril Etlars Vej 3,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til bestyrelsen i Fonden Filmmagasinet Ekko,14000.0,Regnskabsklasse A,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",,2014-05-27,2012-07-04,2014-05-27,,Statsautoriseret revisor,,34688443.0,20222670.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2013 for Fonden Filmmagasinet Ekko.,"Vi har revideret Ã¥rsregnskabet for Fonden Filmmagasinet Ekko for regnskabsÃ¥ret 1. januar - 31. december 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jens Haugbyrd,SÃ¸ren K. Lauridsen,Danske Bank,Fonden Filmmagasinet Ekko,BDO Statsautoriseret revisionsaktieselskab,,,Frederiksberg,-49000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederiksberg,2013-12-31,2013-01-01,,2014-05-27,KÃ¸benhavn,,Formand,RevisionspÃ¥tegning,urn:ofk:oid:19878935,indberetninger-20180424,2.5097417999999996,34688443.0,,2018-04-01T07:24:38.139Z,2014-12-23T23:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-162.413,2014-12-23T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
34688443,2006-12-31,2006-12-31,c4,http://regnskaber.virk.dk/34488643/Y3ZyLmRrOi8vcGRmcy8zNDY4ODQ0MztFUkY1MTY5MDQ7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/34488643/Y3ZyLmRrOi8veGJybHMvWC03RERGRDM2Mi0yMDE0MTIyMl8xMzExNTRfMDEz.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1814  Frederiksberg C,Caril Etlars Vej 3,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til bestyrelsen i Fonden Filmmagasinet Ekko,14000.0,Regnskabsklasse A,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",,2014-05-27,2012-07-04,2014-05-27,,Statsautoriseret revisor,,34688443.0,20222670.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2013 for Fonden Filmmagasinet Ekko.,"Vi har revideret Ã¥rsregnskabet for Fonden Filmmagasinet Ekko for regnskabsÃ¥ret 1. januar - 31. december 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jens Haugbyrd,SÃ¸ren K. Lauridsen,Danske Bank,Fonden Filmmagasinet Ekko,BDO Statsautoriseret revisionsaktieselskab,,,Frederiksberg,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederiksberg,2013-12-31,2013-01-01,,2014-05-27,KÃ¸benhavn,,Formand,RevisionspÃ¥tegning,urn:ofk:oid:19878935,indberetninger-20180424,2.5097417999999996,34688443.0,,2018-04-01T07:24:38.139Z,2014-12-23T23:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-162.413,2014-12-23T23:00:00.000Z,1550000.0,152000.0,632000.0,1284000.0,583000.0,266000.0,266000.0,1550000.0,967000.0,266000.0,967000.0,31000.0,-49000.0,967000.0,1132000.0,10000.0,0.0,1091000.0,,,,
34688443,2013-01-01,2013-01-01,c137,http://regnskaber.virk.dk/34488643/Y3ZyLmRrOi8vcGRmcy8zNDY4ODQ0MztFUkY1MTY5MDQ7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/34488643/Y3ZyLmRrOi8veGJybHMvWC03RERGRDM2Mi0yMDE0MTIyMl8xMzExNTRfMDEz.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1814  Frederiksberg C,Caril Etlars Vej 3,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til bestyrelsen i Fonden Filmmagasinet Ekko,14000.0,Regnskabsklasse A,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",,2014-05-27,2012-07-04,2014-05-27,,Statsautoriseret revisor,,34688443.0,20222670.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2013 for Fonden Filmmagasinet Ekko.,"Vi har revideret Ã¥rsregnskabet for Fonden Filmmagasinet Ekko for regnskabsÃ¥ret 1. januar - 31. december 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jens Haugbyrd,SÃ¸ren K. Lauridsen,Danske Bank,Fonden Filmmagasinet Ekko,BDO Statsautoriseret revisionsaktieselskab,,,Frederiksberg,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederiksberg,2013-12-31,2013-01-01,,2014-05-27,KÃ¸benhavn,,Formand,RevisionspÃ¥tegning,urn:ofk:oid:19878935,indberetninger-20180424,2.5097417999999996,34688443.0,,2018-04-01T07:24:38.139Z,2014-12-23T23:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-162.413,2014-12-23T23:00:00.000Z,,,,,631591.0,,,,,,,,,,,,,,,,,
34688443,2013-01-01,2013-01-01,c158,http://regnskaber.virk.dk/34488643/Y3ZyLmRrOi8vcGRmcy8zNDY4ODQ0MztFUkY1MTY5MDQ7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/34488643/Y3ZyLmRrOi8veGJybHMvWC03RERGRDM2Mi0yMDE0MTIyMl8xMzExNTRfMDEz.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1814  Frederiksberg C,Caril Etlars Vej 3,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til bestyrelsen i Fonden Filmmagasinet Ekko,14000.0,Regnskabsklasse A,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",,2014-05-27,2012-07-04,2014-05-27,,Statsautoriseret revisor,,34688443.0,20222670.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2013 for Fonden Filmmagasinet Ekko.,"Vi har revideret Ã¥rsregnskabet for Fonden Filmmagasinet Ekko for regnskabsÃ¥ret 1. januar - 31. december 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jens Haugbyrd,SÃ¸ren K. Lauridsen,Danske Bank,Fonden Filmmagasinet Ekko,BDO Statsautoriseret revisionsaktieselskab,,,Frederiksberg,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederiksberg,2013-12-31,2013-01-01,,2014-05-27,KÃ¸benhavn,,Formand,RevisionspÃ¥tegning,urn:ofk:oid:19878935,indberetninger-20180424,2.5097417999999996,34688443.0,,2018-04-01T07:24:38.139Z,2014-12-23T23:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-162.413,2014-12-23T23:00:00.000Z,,,,,-49265.0,,,,,,,,,,,,,,,,,
34688443,2013-01-01,2013-01-01,c65,http://regnskaber.virk.dk/34488643/Y3ZyLmRrOi8vcGRmcy8zNDY4ODQ0MztFUkY1MTY5MDQ7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/34488643/Y3ZyLmRrOi8veGJybHMvWC03RERGRDM2Mi0yMDE0MTIyMl8xMzExNTRfMDEz.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1814  Frederiksberg C,Caril Etlars Vej 3,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til bestyrelsen i Fonden Filmmagasinet Ekko,14000.0,Regnskabsklasse A,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",,2014-05-27,2012-07-04,2014-05-27,,Statsautoriseret revisor,,34688443.0,20222670.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2013 for Fonden Filmmagasinet Ekko.,"Vi har revideret Ã¥rsregnskabet for Fonden Filmmagasinet Ekko for regnskabsÃ¥ret 1. januar - 31. december 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jens Haugbyrd,SÃ¸ren K. Lauridsen,Danske Bank,Fonden Filmmagasinet Ekko,BDO Statsautoriseret revisionsaktieselskab,,,Frederiksberg,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederiksberg,2013-12-31,2013-01-01,,2014-05-27,KÃ¸benhavn,,Formand,RevisionspÃ¥tegning,urn:ofk:oid:19878935,indberetninger-20180424,2.5097417999999996,34688443.0,,2018-04-01T07:24:38.139Z,2014-12-23T23:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-162.413,2014-12-23T23:00:00.000Z,,,,,,,,,,,,,,,,,,,14000.0,280000.0,,
34688443,2013-01-01,2013-12-31,c0,http://regnskaber.virk.dk/34488643/Y3ZyLmRrOi8vcGRmcy8zNDY4ODQ0MztFUkY1MTY5MDQ7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/34488643/Y3ZyLmRrOi8veGJybHMvWC03RERGRDM2Mi0yMDE0MTIyMl8xMzExNTRfMDEz.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1814  Frederiksberg C,Caril Etlars Vej 3,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til bestyrelsen i Fonden Filmmagasinet Ekko,14000.0,Regnskabsklasse A,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",-2715431.0,2014-05-27,2012-07-04,2014-05-27,-14000.0,Statsautoriseret revisor,842742.0,34688443.0,20222670.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2013 for Fonden Filmmagasinet Ekko.,"Vi har revideret Ã¥rsregnskabet for Fonden Filmmagasinet Ekko for regnskabsÃ¥ret 1. januar - 31. december 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jens Haugbyrd,SÃ¸ren K. Lauridsen,Danske Bank,Fonden Filmmagasinet Ekko,BDO Statsautoriseret revisionsaktieselskab,-928158.0,-4465.0,Frederiksberg,-103881.0,-103881.0,-99416.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederiksberg,2013-12-31,2013-01-01,3558173.0,2014-05-27,KÃ¸benhavn,0.0,Formand,RevisionspÃ¥tegning,urn:ofk:oid:19878935,indberetninger-20180424,2.5097417999999996,34688443.0,,2018-04-01T07:24:38.139Z,2014-12-23T23:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-162.413,2014-12-23T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,
34688443,2013-01-01,2013-12-31,c159,http://regnskaber.virk.dk/34488643/Y3ZyLmRrOi8vcGRmcy8zNDY4ODQ0MztFUkY1MTY5MDQ7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/34488643/Y3ZyLmRrOi8veGJybHMvWC03RERGRDM2Mi0yMDE0MTIyMl8xMzExNTRfMDEz.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1814  Frederiksberg C,Caril Etlars Vej 3,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til bestyrelsen i Fonden Filmmagasinet Ekko,14000.0,Regnskabsklasse A,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",,2014-05-27,2012-07-04,2014-05-27,,Statsautoriseret revisor,,34688443.0,20222670.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2013 for Fonden Filmmagasinet Ekko.,"Vi har revideret Ã¥rsregnskabet for Fonden Filmmagasinet Ekko for regnskabsÃ¥ret 1. januar - 31. december 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jens Haugbyrd,SÃ¸ren K. Lauridsen,Danske Bank,Fonden Filmmagasinet Ekko,BDO Statsautoriseret revisionsaktieselskab,,,Frederiksberg,-103881.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederiksberg,2013-12-31,2013-01-01,,2014-05-27,KÃ¸benhavn,,Formand,RevisionspÃ¥tegning,urn:ofk:oid:19878935,indberetninger-20180424,2.5097417999999996,34688443.0,,2018-04-01T07:24:38.139Z,2014-12-23T23:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-162.413,2014-12-23T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
34688443,2013-01-01,2013-12-31,c208,http://regnskaber.virk.dk/34488643/Y3ZyLmRrOi8vcGRmcy8zNDY4ODQ0MztFUkY1MTY5MDQ7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/34488643/Y3ZyLmRrOi8veGJybHMvWC03RERGRDM2Mi0yMDE0MTIyMl8xMzExNTRfMDEz.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1814  Frederiksberg C,Caril Etlars Vej 3,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til bestyrelsen i Fonden Filmmagasinet Ekko,14000.0,Regnskabsklasse A,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",,2014-05-27,2012-07-04,2014-05-27,,Statsautoriseret revisor,,34688443.0,20222670.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2013 for Fonden Filmmagasinet Ekko.,"Vi har revideret Ã¥rsregnskabet for Fonden Filmmagasinet Ekko for regnskabsÃ¥ret 1. januar - 31. december 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jens Haugbyrd,SÃ¸ren K. Lauridsen,Danske Bank,Fonden Filmmagasinet Ekko,BDO Statsautoriseret revisionsaktieselskab,,,Frederiksberg,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederiksberg,2013-12-31,2013-01-01,,2014-05-27,KÃ¸benhavn,,Formand,RevisionspÃ¥tegning,urn:ofk:oid:19878935,indberetninger-20180424,2.5097417999999996,34688443.0,,2018-04-01T07:24:38.139Z,2014-12-23T23:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-162.413,2014-12-23T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,SÃ¸ren K. Lauridsen
34688443,2013-01-01,2013-12-31,c209,http://regnskaber.virk.dk/34488643/Y3ZyLmRrOi8vcGRmcy8zNDY4ODQ0MztFUkY1MTY5MDQ7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/34488643/Y3ZyLmRrOi8veGJybHMvWC03RERGRDM2Mi0yMDE0MTIyMl8xMzExNTRfMDEz.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1814  Frederiksberg C,Caril Etlars Vej 3,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til bestyrelsen i Fonden Filmmagasinet Ekko,14000.0,Regnskabsklasse A,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",,2014-05-27,2012-07-04,2014-05-27,,Statsautoriseret revisor,,34688443.0,20222670.0,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2013 for Fonden Filmmagasinet Ekko.,"Vi har revideret Ã¥rsregnskabet for Fonden Filmmagasinet Ekko for regnskabsÃ¥ret 1. januar - 31. december 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jens Haugbyrd,SÃ¸ren K. Lauridsen,Danske Bank,Fonden Filmmagasinet Ekko,BDO Statsautoriseret revisionsaktieselskab,,,Frederiksberg,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederiksberg,2013-12-31,2013-01-01,,2014-05-27,KÃ¸benhavn,,Formand,RevisionspÃ¥tegning,urn:ofk:oid:19878935,indberetninger-20180424,2.5097417999999996,34688443.0,,2018-04-01T07:24:38.139Z,2014-12-23T23:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-162.413,2014-12-23T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,Jens Bidstrup
