entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfGeneralMeeting,DescriptionOfAuditor,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnReceivablesFromOwnersAndManagement,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromOwnersAndManagement,ShorttermTradePayables,ShorttermTradeReceivables
entity identifier,2011-01-01,2011-12-31,ID_11,http://regnskaber.virk.dk/71176192/Y3ZyLmRrOi8vcGRmcy8yOTE2NzExNztBcFMzNTk3MTE7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71176192/Y3ZyLmRrOi8veGJybHMvWC1COTVGM0I1Qy0yMDEzMDYxMV8xMzU5MTRfMTkz.xml,"9400, NÃ¸rresundby","Strubjerg 26, 3.th.","Struer, 7600",Ved Fjorden 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-06-10,Registreret revisor,. Virksomhedens formÃ¥l,28839200.0,29167117.0,28839200.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Companatico ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Karsten  Jensen,Carlo Liberati,Carlo Liberati,"Revision Limfjord, Registreret Revisionsaktieselskab",Companatico ApS,"Revision Limfjord, Registreret Revisionsaktieselskab",-15695.0,2012-12-31,2012-01-01,2013-05-31,Struer,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:17190328,indberetninger-20180424,2.5097342,29167117.0,,2018-04-02T01:34:23.222Z,2013-06-11T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-83.818,2013-06-11T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_13,http://regnskaber.virk.dk/71176192/Y3ZyLmRrOi8vcGRmcy8yOTE2NzExNztBcFMzNTk3MTE7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71176192/Y3ZyLmRrOi8veGJybHMvWC1COTVGM0I1Qy0yMDEzMDYxMV8xMzU5MTRfMTkz.xml,"9400, NÃ¸rresundby","Strubjerg 26, 3.th.","Struer, 7600",Ved Fjorden 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-06-10,Registreret revisor,. Virksomhedens formÃ¥l,28839200.0,29167117.0,28839200.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Companatico ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Karsten  Jensen,Carlo Liberati,Carlo Liberati,"Revision Limfjord, Registreret Revisionsaktieselskab",Companatico ApS,"Revision Limfjord, Registreret Revisionsaktieselskab",-15695.0,2012-12-31,2012-01-01,2013-05-31,Struer,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:17190328,indberetninger-20180424,2.5097342,29167117.0,,2018-04-02T01:34:23.222Z,2013-06-11T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-83.818,2013-06-11T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_9,http://regnskaber.virk.dk/71176192/Y3ZyLmRrOi8vcGRmcy8yOTE2NzExNztBcFMzNTk3MTE7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71176192/Y3ZyLmRrOi8veGJybHMvWC1COTVGM0I1Qy0yMDEzMDYxMV8xMzU5MTRfMTkz.xml,"9400, NÃ¸rresundby","Strubjerg 26, 3.th.","Struer, 7600",Ved Fjorden 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-06-10,Registreret revisor,. Virksomhedens formÃ¥l,28839200.0,29167117.0,28839200.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Companatico ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Karsten  Jensen,Carlo Liberati,Carlo Liberati,"Revision Limfjord, Registreret Revisionsaktieselskab",Companatico ApS,"Revision Limfjord, Registreret Revisionsaktieselskab",15695.0,2012-12-31,2012-01-01,2013-05-31,Struer,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:17190328,indberetninger-20180424,2.5097342,29167117.0,,2018-04-02T01:34:23.222Z,2013-06-11T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-83.818,2013-06-11T22:00:00.000Z,14763.0,0.0,-4008.0,5025.0,-85.0,15695.0,10755.0,,,,,,,,,,,,,,,,
entity identifier,2011-12-31,2011-12-31,ID_15,http://regnskaber.virk.dk/71176192/Y3ZyLmRrOi8vcGRmcy8yOTE2NzExNztBcFMzNTk3MTE7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71176192/Y3ZyLmRrOi8veGJybHMvWC1COTVGM0I1Qy0yMDEzMDYxMV8xMzU5MTRfMTkz.xml,"9400, NÃ¸rresundby","Strubjerg 26, 3.th.","Struer, 7600",Ved Fjorden 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-06-10,Registreret revisor,. Virksomhedens formÃ¥l,28839200.0,29167117.0,28839200.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Companatico ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Karsten  Jensen,Carlo Liberati,Carlo Liberati,"Revision Limfjord, Registreret Revisionsaktieselskab",Companatico ApS,"Revision Limfjord, Registreret Revisionsaktieselskab",,2012-12-31,2012-01-01,2013-05-31,Struer,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:17190328,indberetninger-20180424,2.5097342,29167117.0,,2018-04-02T01:34:23.222Z,2013-06-11T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-83.818,2013-06-11T22:00:00.000Z,,,,,,,,53402.0,41926.0,-125000.0,53402.0,-57372.0,6505.0,-53402.0,3970.0,6505.0,3970.0,67628.0,3970.0,4971.0,3654.0,0.0,1317.0
entity identifier,2012-01-01,2012-12-31,ID_0,http://regnskaber.virk.dk/71176192/Y3ZyLmRrOi8vcGRmcy8yOTE2NzExNztBcFMzNTk3MTE7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71176192/Y3ZyLmRrOi8veGJybHMvWC1COTVGM0I1Qy0yMDEzMDYxMV8xMzU5MTRfMTkz.xml,"9400, NÃ¸rresundby","Strubjerg 26, 3.th.","Struer, 7600",Ved Fjorden 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-06-10,Registreret revisor,. Virksomhedens formÃ¥l,28839200.0,29167117.0,28839200.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Companatico ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Karsten  Jensen,Carlo Liberati,Carlo Liberati,"Revision Limfjord, Registreret Revisionsaktieselskab",Companatico ApS,"Revision Limfjord, Registreret Revisionsaktieselskab",,2012-12-31,2012-01-01,2013-05-31,Struer,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:17190328,indberetninger-20180424,2.5097342,29167117.0,,2018-04-02T01:34:23.222Z,2013-06-11T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-83.818,2013-06-11T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_1,http://regnskaber.virk.dk/71176192/Y3ZyLmRrOi8vcGRmcy8yOTE2NzExNztBcFMzNTk3MTE7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71176192/Y3ZyLmRrOi8veGJybHMvWC1COTVGM0I1Qy0yMDEzMDYxMV8xMzU5MTRfMTkz.xml,"9400, NÃ¸rresundby","Strubjerg 26, 3.th.","Struer, 7600",Ved Fjorden 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-06-10,Registreret revisor,. Virksomhedens formÃ¥l,28839200.0,29167117.0,28839200.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Companatico ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Karsten  Jensen,Carlo Liberati,Carlo Liberati,"Revision Limfjord, Registreret Revisionsaktieselskab",Companatico ApS,"Revision Limfjord, Registreret Revisionsaktieselskab",,2012-12-31,2012-01-01,2013-05-31,Struer,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:17190328,indberetninger-20180424,2.5097342,29167117.0,,2018-04-02T01:34:23.222Z,2013-06-11T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-83.818,2013-06-11T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_10,http://regnskaber.virk.dk/71176192/Y3ZyLmRrOi8vcGRmcy8yOTE2NzExNztBcFMzNTk3MTE7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71176192/Y3ZyLmRrOi8veGJybHMvWC1COTVGM0I1Qy0yMDEzMDYxMV8xMzU5MTRfMTkz.xml,"9400, NÃ¸rresundby","Strubjerg 26, 3.th.","Struer, 7600",Ved Fjorden 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-06-10,Registreret revisor,. Virksomhedens formÃ¥l,28839200.0,29167117.0,28839200.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Companatico ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Karsten  Jensen,Carlo Liberati,Carlo Liberati,"Revision Limfjord, Registreret Revisionsaktieselskab",Companatico ApS,"Revision Limfjord, Registreret Revisionsaktieselskab",24722.0,2012-12-31,2012-01-01,2013-05-31,Struer,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:17190328,indberetninger-20180424,2.5097342,29167117.0,,2018-04-02T01:34:23.222Z,2013-06-11T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-83.818,2013-06-11T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_12,http://regnskaber.virk.dk/71176192/Y3ZyLmRrOi8vcGRmcy8yOTE2NzExNztBcFMzNTk3MTE7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71176192/Y3ZyLmRrOi8veGJybHMvWC1COTVGM0I1Qy0yMDEzMDYxMV8xMzU5MTRfMTkz.xml,"9400, NÃ¸rresundby","Strubjerg 26, 3.th.","Struer, 7600",Ved Fjorden 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-06-10,Registreret revisor,. Virksomhedens formÃ¥l,28839200.0,29167117.0,28839200.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Companatico ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Karsten  Jensen,Carlo Liberati,Carlo Liberati,"Revision Limfjord, Registreret Revisionsaktieselskab",Companatico ApS,"Revision Limfjord, Registreret Revisionsaktieselskab",24722.0,2012-12-31,2012-01-01,2013-05-31,Struer,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:17190328,indberetninger-20180424,2.5097342,29167117.0,,2018-04-02T01:34:23.222Z,2013-06-11T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-83.818,2013-06-11T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_16,http://regnskaber.virk.dk/71176192/Y3ZyLmRrOi8vcGRmcy8yOTE2NzExNztBcFMzNTk3MTE7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71176192/Y3ZyLmRrOi8veGJybHMvWC1COTVGM0I1Qy0yMDEzMDYxMV8xMzU5MTRfMTkz.xml,"9400, NÃ¸rresundby","Strubjerg 26, 3.th.","Struer, 7600",Ved Fjorden 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-06-10,Registreret revisor,. Virksomhedens formÃ¥l,28839200.0,29167117.0,28839200.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Companatico ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Karsten  Jensen,Carlo Liberati,Carlo Liberati,"Revision Limfjord, Registreret Revisionsaktieselskab",Companatico ApS,"Revision Limfjord, Registreret Revisionsaktieselskab",,2012-12-31,2012-01-01,2013-05-31,Struer,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:17190328,indberetninger-20180424,2.5097342,29167117.0,,2018-04-02T01:34:23.222Z,2013-06-11T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-83.818,2013-06-11T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_17,http://regnskaber.virk.dk/71176192/Y3ZyLmRrOi8vcGRmcy8yOTE2NzExNztBcFMzNTk3MTE7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71176192/Y3ZyLmRrOi8veGJybHMvWC1COTVGM0I1Qy0yMDEzMDYxMV8xMzU5MTRfMTkz.xml,"9400, NÃ¸rresundby","Strubjerg 26, 3.th.","Struer, 7600",Ved Fjorden 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-06-10,Registreret revisor,. Virksomhedens formÃ¥l,28839200.0,29167117.0,28839200.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Companatico ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Karsten  Jensen,Carlo Liberati,Carlo Liberati,"Revision Limfjord, Registreret Revisionsaktieselskab",Companatico ApS,"Revision Limfjord, Registreret Revisionsaktieselskab",,2012-12-31,2012-01-01,2013-05-31,Struer,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:17190328,indberetninger-20180424,2.5097342,29167117.0,,2018-04-02T01:34:23.222Z,2013-06-11T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-83.818,2013-06-11T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
