entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AverageNumberOfEmployees,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmailOfReportingEntity,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradeReceivables,DividendPaid,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
33036078,2016-10-01,2017-09-30,c4,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzLzQ2LzRhL2U3LzMwLzQ0ZDYtNDVjZi1hZmZmLTEwZDdhZWE4MzA1Nw.xhtml,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzZiLzJkLzU2LzM0NzMtNGQwNy1iNTgyLTVjZDUwYzJiZTI1Nw.pdf,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2LzA0Lzk1LzBjL2UyNDAtNGUzOC04NzMxLWZmODZmNjYzN2JiNw.xml,true,Danmark,DK,Frederikshavn,9900.0,4-8,Jernbanegade,Gistrup,9260.0,2.0,Roden,9260 Gistrup,Roden 2,2.0,Regnskabsklasse B,2019-01-11,2019-01-11,23070.0,info@gistrupfodterapi.dk,622379.0,708387.0,33036078.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Brixen Egeberg,Anne KjÃ¦rgaard Madsen,Nordjyske Bank,KLINIK FOR FODTERAPI GISTRUP ApS,Mette Brixen Egeberg,4288.0,Gistrup,2016-10-01,2017-09-30,45681.0,58650.0,62938.0,2018-09-30,2017-10-01,false,false,12969.0,96366070.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26645600,indberetninger-20180424,2.5955422,33036078.0,AWi-VxL3et7j816D395e,2019-02-05T15:47:42.008Z,2019-02-05T15:46:42.975Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-AY-57-TT,2019-02-05T15:46:43.641Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
33036078,2016-10-01,2017-09-30,c6,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzLzQ2LzRhL2U3LzMwLzQ0ZDYtNDVjZi1hZmZmLTEwZDdhZWE4MzA1Nw.xhtml,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzZiLzJkLzU2LzM0NzMtNGQwNy1iNTgyLTVjZDUwYzJiZTI1Nw.pdf,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2LzA0Lzk1LzBjL2UyNDAtNGUzOC04NzMxLWZmODZmNjYzN2JiNw.xml,true,Danmark,DK,Frederikshavn,9900.0,4-8,Jernbanegade,Gistrup,9260.0,2.0,Roden,9260 Gistrup,Roden 2,,Regnskabsklasse B,2019-01-11,2019-01-11,,info@gistrupfodterapi.dk,,,33036078.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Brixen Egeberg,Anne KjÃ¦rgaard Madsen,Nordjyske Bank,KLINIK FOR FODTERAPI GISTRUP ApS,Mette Brixen Egeberg,,Gistrup,2016-10-01,2017-09-30,40000.0,,,2018-09-30,2017-10-01,false,false,,96366070.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26645600,indberetninger-20180424,2.5955422,33036078.0,AWi-VxL3et7j816D395e,2019-02-05T15:47:42.008Z,2019-02-05T15:46:42.975Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-AY-57-TT,2019-02-05T15:46:43.641Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
33036078,2016-10-01,2017-09-30,c8,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzLzQ2LzRhL2U3LzMwLzQ0ZDYtNDVjZi1hZmZmLTEwZDdhZWE4MzA1Nw.xhtml,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzZiLzJkLzU2LzM0NzMtNGQwNy1iNTgyLTVjZDUwYzJiZTI1Nw.pdf,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2LzA0Lzk1LzBjL2UyNDAtNGUzOC04NzMxLWZmODZmNjYzN2JiNw.xml,true,Danmark,DK,Frederikshavn,9900.0,4-8,Jernbanegade,Gistrup,9260.0,2.0,Roden,9260 Gistrup,Roden 2,,Regnskabsklasse B,2019-01-11,2019-01-11,,info@gistrupfodterapi.dk,,,33036078.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Brixen Egeberg,Anne KjÃ¦rgaard Madsen,Nordjyske Bank,KLINIK FOR FODTERAPI GISTRUP ApS,Mette Brixen Egeberg,,Gistrup,2016-10-01,2017-09-30,5681.0,,,2018-09-30,2017-10-01,false,false,,96366070.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26645600,indberetninger-20180424,2.5955422,33036078.0,AWi-VxL3et7j816D395e,2019-02-05T15:47:42.008Z,2019-02-05T15:46:42.975Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-AY-57-TT,2019-02-05T15:46:43.641Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
33036078,2017-09-30,2017-09-30,c10,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzLzQ2LzRhL2U3LzMwLzQ0ZDYtNDVjZi1hZmZmLTEwZDdhZWE4MzA1Nw.xhtml,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzZiLzJkLzU2LzM0NzMtNGQwNy1iNTgyLTVjZDUwYzJiZTI1Nw.pdf,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2LzA0Lzk1LzBjL2UyNDAtNGUzOC04NzMxLWZmODZmNjYzN2JiNw.xml,true,Danmark,DK,Frederikshavn,9900.0,4-8,Jernbanegade,Gistrup,9260.0,2.0,Roden,9260 Gistrup,Roden 2,,Regnskabsklasse B,2019-01-11,2019-01-11,,info@gistrupfodterapi.dk,,,33036078.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Brixen Egeberg,Anne KjÃ¦rgaard Madsen,Nordjyske Bank,KLINIK FOR FODTERAPI GISTRUP ApS,Mette Brixen Egeberg,,Gistrup,2016-10-01,2017-09-30,,,,2018-09-30,2017-10-01,false,false,,96366070.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26645600,indberetninger-20180424,2.5955422,33036078.0,AWi-VxL3et7j816D395e,2019-02-05T15:47:42.008Z,2019-02-05T15:46:42.975Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-AY-57-TT,2019-02-05T15:46:43.641Z,168377.0,14391.0,80000.0,108242.0,14511.0,124036.0,60135.0,19577.0,168377.0,35044.0,19577.0,60135.0,28642.0,36000.0,60135.0,40000.0,9297.0,9297.0,4036.0,2311.0,35044.0,74274.0,4091.0,23763.0,,,
33036078,2017-10-01,2017-10-01,c11,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzLzQ2LzRhL2U3LzMwLzQ0ZDYtNDVjZi1hZmZmLTEwZDdhZWE4MzA1Nw.xhtml,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzZiLzJkLzU2LzM0NzMtNGQwNy1iNTgyLTVjZDUwYzJiZTI1Nw.pdf,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2LzA0Lzk1LzBjL2UyNDAtNGUzOC04NzMxLWZmODZmNjYzN2JiNw.xml,true,Danmark,DK,Frederikshavn,9900.0,4-8,Jernbanegade,Gistrup,9260.0,2.0,Roden,9260 Gistrup,Roden 2,,Regnskabsklasse B,2019-01-11,2019-01-11,,info@gistrupfodterapi.dk,,,33036078.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Brixen Egeberg,Anne KjÃ¦rgaard Madsen,Nordjyske Bank,KLINIK FOR FODTERAPI GISTRUP ApS,Mette Brixen Egeberg,,Gistrup,2016-10-01,2017-09-30,,,,2018-09-30,2017-10-01,false,false,,96366070.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26645600,indberetninger-20180424,2.5955422,33036078.0,AWi-VxL3et7j816D395e,2019-02-05T15:47:42.008Z,2019-02-05T15:46:42.975Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-AY-57-TT,2019-02-05T15:46:43.641Z,,,,,,80000.0,,,,,,,,,,,,,,,,,,,,,
33036078,2017-10-01,2017-10-01,c12,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzLzQ2LzRhL2U3LzMwLzQ0ZDYtNDVjZi1hZmZmLTEwZDdhZWE4MzA1Nw.xhtml,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzZiLzJkLzU2LzM0NzMtNGQwNy1iNTgyLTVjZDUwYzJiZTI1Nw.pdf,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2LzA0Lzk1LzBjL2UyNDAtNGUzOC04NzMxLWZmODZmNjYzN2JiNw.xml,true,Danmark,DK,Frederikshavn,9900.0,4-8,Jernbanegade,Gistrup,9260.0,2.0,Roden,9260 Gistrup,Roden 2,,Regnskabsklasse B,2019-01-11,2019-01-11,,info@gistrupfodterapi.dk,,,33036078.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Brixen Egeberg,Anne KjÃ¦rgaard Madsen,Nordjyske Bank,KLINIK FOR FODTERAPI GISTRUP ApS,Mette Brixen Egeberg,,Gistrup,2016-10-01,2017-09-30,,,,2018-09-30,2017-10-01,false,false,,96366070.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26645600,indberetninger-20180424,2.5955422,33036078.0,AWi-VxL3et7j816D395e,2019-02-05T15:47:42.008Z,2019-02-05T15:46:42.975Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-AY-57-TT,2019-02-05T15:46:43.641Z,,,,,,4036.0,,,,,,,,,,,,,,,,,,,,,
33036078,2017-10-01,2017-10-01,c13,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzLzQ2LzRhL2U3LzMwLzQ0ZDYtNDVjZi1hZmZmLTEwZDdhZWE4MzA1Nw.xhtml,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzZiLzJkLzU2LzM0NzMtNGQwNy1iNTgyLTVjZDUwYzJiZTI1Nw.pdf,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2LzA0Lzk1LzBjL2UyNDAtNGUzOC04NzMxLWZmODZmNjYzN2JiNw.xml,true,Danmark,DK,Frederikshavn,9900.0,4-8,Jernbanegade,Gistrup,9260.0,2.0,Roden,9260 Gistrup,Roden 2,,Regnskabsklasse B,2019-01-11,2019-01-11,,info@gistrupfodterapi.dk,,,33036078.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Brixen Egeberg,Anne KjÃ¦rgaard Madsen,Nordjyske Bank,KLINIK FOR FODTERAPI GISTRUP ApS,Mette Brixen Egeberg,,Gistrup,2016-10-01,2017-09-30,,,,2018-09-30,2017-10-01,false,false,,96366070.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26645600,indberetninger-20180424,2.5955422,33036078.0,AWi-VxL3et7j816D395e,2019-02-05T15:47:42.008Z,2019-02-05T15:46:42.975Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-AY-57-TT,2019-02-05T15:46:43.641Z,,,,,,40000.0,,,,,,,,,,,,,,,,,,,,,
33036078,2017-10-01,2017-10-01,c14,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzLzQ2LzRhL2U3LzMwLzQ0ZDYtNDVjZi1hZmZmLTEwZDdhZWE4MzA1Nw.xhtml,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzZiLzJkLzU2LzM0NzMtNGQwNy1iNTgyLTVjZDUwYzJiZTI1Nw.pdf,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2LzA0Lzk1LzBjL2UyNDAtNGUzOC04NzMxLWZmODZmNjYzN2JiNw.xml,true,Danmark,DK,Frederikshavn,9900.0,4-8,Jernbanegade,Gistrup,9260.0,2.0,Roden,9260 Gistrup,Roden 2,,Regnskabsklasse B,2019-01-11,2019-01-11,,info@gistrupfodterapi.dk,,,33036078.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Brixen Egeberg,Anne KjÃ¦rgaard Madsen,Nordjyske Bank,KLINIK FOR FODTERAPI GISTRUP ApS,Mette Brixen Egeberg,,Gistrup,2016-10-01,2017-09-30,,,,2018-09-30,2017-10-01,false,false,,96366070.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26645600,indberetninger-20180424,2.5955422,33036078.0,AWi-VxL3et7j816D395e,2019-02-05T15:47:42.008Z,2019-02-05T15:46:42.975Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-AY-57-TT,2019-02-05T15:46:43.641Z,,,,,,124036.0,,,,,,,,,,,,,,,,,,,,,
33036078,2017-10-01,2018-09-30,c0,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzLzQ2LzRhL2U3LzMwLzQ0ZDYtNDVjZi1hZmZmLTEwZDdhZWE4MzA1Nw.xhtml,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzZiLzJkLzU2LzM0NzMtNGQwNy1iNTgyLTVjZDUwYzJiZTI1Nw.pdf,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2LzA0Lzk1LzBjL2UyNDAtNGUzOC04NzMxLWZmODZmNjYzN2JiNw.xml,true,Danmark,DK,Frederikshavn,9900.0,4-8,Jernbanegade,Gistrup,9260.0,2.0,Roden,9260 Gistrup,Roden 2,2.0,Regnskabsklasse B,2019-01-11,2019-01-11,23070.0,info@gistrupfodterapi.dk,627060.0,837967.0,33036078.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Brixen Egeberg,Anne KjÃ¦rgaard Madsen,Nordjyske Bank,KLINIK FOR FODTERAPI GISTRUP ApS,Mette Brixen Egeberg,58.0,Gistrup,2016-10-01,2017-09-30,146611.0,187779.0,187837.0,2018-09-30,2017-10-01,false,false,41168.0,96366070.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26645600,indberetninger-20180424,2.5955422,33036078.0,AWi-VxL3et7j816D395e,2019-02-05T15:47:42.008Z,2019-02-05T15:46:42.975Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-AY-57-TT,2019-02-05T15:46:43.641Z,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,,
33036078,2017-10-01,2018-09-30,c1,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzLzQ2LzRhL2U3LzMwLzQ0ZDYtNDVjZi1hZmZmLTEwZDdhZWE4MzA1Nw.xhtml,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzZiLzJkLzU2LzM0NzMtNGQwNy1iNTgyLTVjZDUwYzJiZTI1Nw.pdf,http://regnskaber.virk.dk/87063033/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2LzA0Lzk1LzBjL2UyNDAtNGUzOC04NzMxLWZmODZmNjYzN2JiNw.xml,true,Danmark,DK,Frederikshavn,9900.0,4-8,Jernbanegade,Gistrup,9260.0,2.0,Roden,9260 Gistrup,Roden 2,,Regnskabsklasse B,2019-01-11,2019-01-11,,info@gistrupfodterapi.dk,,,33036078.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Brixen Egeberg,Anne KjÃ¦rgaard Madsen,Nordjyske Bank,KLINIK FOR FODTERAPI GISTRUP ApS,Mette Brixen Egeberg,,Gistrup,2016-10-01,2017-09-30,,,,2018-09-30,2017-10-01,false,false,,96366070.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26645600,indberetninger-20180424,2.5955422,33036078.0,AWi-VxL3et7j816D395e,2019-02-05T15:47:42.008Z,2019-02-05T15:46:42.975Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-AY-57-TT,2019-02-05T15:46:43.641Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
