entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AuditorsReportOnFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables
entity identifier,2011-01-01,2011-12-31,ID_10,http://regnskaber.virk.dk/57380112/Y3ZyLmRrOi8vcGRmcy8yMTEwODM3NTtBcFMyNTA4NDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/57380112/Y3ZyLmRrOi8veGJybHMvWC01M0UyNEY3RC0yMDEzMDYwM18wOTExNDlfNTA2.xml,"8800, Viborg",Dannebrogsgade 5,"8240, Risskov",Flakvej 25,Til kapitalejerne i Hestia Administration ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1998-09-01,2013-05-31,Registreret revisor,16968137.0,21108375.0,16968137.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Hestia Administration ApS.,"Vi har revideret Ã¥rsregnskabet for Hestia Administration ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Knud-Erik Nielsen,Knud-Erik Nielsen,Ejler Ejlersen,Revision 2 A/S,Hestia Administration ApS,Erik Dybdahl,-96309.0,"791, Viborg",2012-12-31,2012-01-01,2013-05-31,Viby J,DirektÃ¸r,urn:ofk:oid:13927035,indberetninger-20180424,2.5124327999999996,21108375.0,,2018-04-01T21:16:00.159Z,2013-06-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-41.993,2013-06-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_12,http://regnskaber.virk.dk/57380112/Y3ZyLmRrOi8vcGRmcy8yMTEwODM3NTtBcFMyNTA4NDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/57380112/Y3ZyLmRrOi8veGJybHMvWC01M0UyNEY3RC0yMDEzMDYwM18wOTExNDlfNTA2.xml,"8800, Viborg",Dannebrogsgade 5,"8240, Risskov",Flakvej 25,Til kapitalejerne i Hestia Administration ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1998-09-01,2013-05-31,Registreret revisor,16968137.0,21108375.0,16968137.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Hestia Administration ApS.,"Vi har revideret Ã¥rsregnskabet for Hestia Administration ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Knud-Erik Nielsen,Knud-Erik Nielsen,Ejler Ejlersen,Revision 2 A/S,Hestia Administration ApS,Erik Dybdahl,-96309.0,"791, Viborg",2012-12-31,2012-01-01,2013-05-31,Viby J,DirektÃ¸r,urn:ofk:oid:13927035,indberetninger-20180424,2.5124327999999996,21108375.0,,2018-04-01T21:16:00.159Z,2013-06-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-41.993,2013-06-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_8,http://regnskaber.virk.dk/57380112/Y3ZyLmRrOi8vcGRmcy8yMTEwODM3NTtBcFMyNTA4NDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/57380112/Y3ZyLmRrOi8veGJybHMvWC01M0UyNEY3RC0yMDEzMDYwM18wOTExNDlfNTA2.xml,"8800, Viborg",Dannebrogsgade 5,"8240, Risskov",Flakvej 25,Til kapitalejerne i Hestia Administration ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1998-09-01,2013-05-31,Registreret revisor,16968137.0,21108375.0,16968137.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Hestia Administration ApS.,"Vi har revideret Ã¥rsregnskabet for Hestia Administration ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Knud-Erik Nielsen,Knud-Erik Nielsen,Ejler Ejlersen,Revision 2 A/S,Hestia Administration ApS,Erik Dybdahl,96309.0,"791, Viborg",2012-12-31,2012-01-01,2013-05-31,Viby J,DirektÃ¸r,urn:ofk:oid:13927035,indberetninger-20180424,2.5124327999999996,21108375.0,,2018-04-01T21:16:00.159Z,2013-06-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-41.993,2013-06-07T22:00:00.000Z,65957.0,2533678.0,-2451207.0,2473.0,-22489.0,128412.0,148428.0,-32103.0,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-12-31,2011-12-31,ID_14,http://regnskaber.virk.dk/57380112/Y3ZyLmRrOi8vcGRmcy8yMTEwODM3NTtBcFMyNTA4NDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/57380112/Y3ZyLmRrOi8veGJybHMvWC01M0UyNEY3RC0yMDEzMDYwM18wOTExNDlfNTA2.xml,"8800, Viborg",Dannebrogsgade 5,"8240, Risskov",Flakvej 25,Til kapitalejerne i Hestia Administration ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1998-09-01,2013-05-31,Registreret revisor,16968137.0,21108375.0,16968137.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Hestia Administration ApS.,"Vi har revideret Ã¥rsregnskabet for Hestia Administration ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Knud-Erik Nielsen,Knud-Erik Nielsen,Ejler Ejlersen,Revision 2 A/S,Hestia Administration ApS,Erik Dybdahl,,"791, Viborg",2012-12-31,2012-01-01,2013-05-31,Viby J,DirektÃ¸r,urn:ofk:oid:13927035,indberetninger-20180424,2.5124327999999996,21108375.0,,2018-04-01T21:16:00.159Z,2013-06-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-41.993,2013-06-07T22:00:00.000Z,,,,,,,,,969848.0,235879.0,-125000.0,789152.0,31319.0,-401683.0,180696.0,-969848.0,-563942.0,180696.0,-547966.0,180696.0,-4223.0,-4223.0,-276683.0,-563942.0,553273.0,425119.0,0.0,34164.0,-15976.0,62671.0
entity identifier,2012-01-01,2012-12-31,ID_0,http://regnskaber.virk.dk/57380112/Y3ZyLmRrOi8vcGRmcy8yMTEwODM3NTtBcFMyNTA4NDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/57380112/Y3ZyLmRrOi8veGJybHMvWC01M0UyNEY3RC0yMDEzMDYwM18wOTExNDlfNTA2.xml,"8800, Viborg",Dannebrogsgade 5,"8240, Risskov",Flakvej 25,Til kapitalejerne i Hestia Administration ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1998-09-01,2013-05-31,Registreret revisor,16968137.0,21108375.0,16968137.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Hestia Administration ApS.,"Vi har revideret Ã¥rsregnskabet for Hestia Administration ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Knud-Erik Nielsen,Knud-Erik Nielsen,Ejler Ejlersen,Revision 2 A/S,Hestia Administration ApS,Erik Dybdahl,,"791, Viborg",2012-12-31,2012-01-01,2013-05-31,Viby J,DirektÃ¸r,urn:ofk:oid:13927035,indberetninger-20180424,2.5124327999999996,21108375.0,,2018-04-01T21:16:00.159Z,2013-06-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-41.993,2013-06-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_1,http://regnskaber.virk.dk/57380112/Y3ZyLmRrOi8vcGRmcy8yMTEwODM3NTtBcFMyNTA4NDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/57380112/Y3ZyLmRrOi8veGJybHMvWC01M0UyNEY3RC0yMDEzMDYwM18wOTExNDlfNTA2.xml,"8800, Viborg",Dannebrogsgade 5,"8240, Risskov",Flakvej 25,Til kapitalejerne i Hestia Administration ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1998-09-01,2013-05-31,Registreret revisor,16968137.0,21108375.0,16968137.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Hestia Administration ApS.,"Vi har revideret Ã¥rsregnskabet for Hestia Administration ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Knud-Erik Nielsen,Knud-Erik Nielsen,Ejler Ejlersen,Revision 2 A/S,Hestia Administration ApS,Erik Dybdahl,,"791, Viborg",2012-12-31,2012-01-01,2013-05-31,Viby J,DirektÃ¸r,urn:ofk:oid:13927035,indberetninger-20180424,2.5124327999999996,21108375.0,,2018-04-01T21:16:00.159Z,2013-06-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-41.993,2013-06-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_11,http://regnskaber.virk.dk/57380112/Y3ZyLmRrOi8vcGRmcy8yMTEwODM3NTtBcFMyNTA4NDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/57380112/Y3ZyLmRrOi8veGJybHMvWC01M0UyNEY3RC0yMDEzMDYwM18wOTExNDlfNTA2.xml,"8800, Viborg",Dannebrogsgade 5,"8240, Risskov",Flakvej 25,Til kapitalejerne i Hestia Administration ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1998-09-01,2013-05-31,Registreret revisor,16968137.0,21108375.0,16968137.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Hestia Administration ApS.,"Vi har revideret Ã¥rsregnskabet for Hestia Administration ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Knud-Erik Nielsen,Knud-Erik Nielsen,Ejler Ejlersen,Revision 2 A/S,Hestia Administration ApS,Erik Dybdahl,85820.0,"791, Viborg",2012-12-31,2012-01-01,2013-05-31,Viby J,DirektÃ¸r,urn:ofk:oid:13927035,indberetninger-20180424,2.5124327999999996,21108375.0,,2018-04-01T21:16:00.159Z,2013-06-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-41.993,2013-06-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_15,http://regnskaber.virk.dk/57380112/Y3ZyLmRrOi8vcGRmcy8yMTEwODM3NTtBcFMyNTA4NDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/57380112/Y3ZyLmRrOi8veGJybHMvWC01M0UyNEY3RC0yMDEzMDYwM18wOTExNDlfNTA2.xml,"8800, Viborg",Dannebrogsgade 5,"8240, Risskov",Flakvej 25,Til kapitalejerne i Hestia Administration ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1998-09-01,2013-05-31,Registreret revisor,16968137.0,21108375.0,16968137.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Hestia Administration ApS.,"Vi har revideret Ã¥rsregnskabet for Hestia Administration ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Knud-Erik Nielsen,Knud-Erik Nielsen,Ejler Ejlersen,Revision 2 A/S,Hestia Administration ApS,Erik Dybdahl,,"791, Viborg",2012-12-31,2012-01-01,2013-05-31,Viby J,DirektÃ¸r,urn:ofk:oid:13927035,indberetninger-20180424,2.5124327999999996,21108375.0,,2018-04-01T21:16:00.159Z,2013-06-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-41.993,2013-06-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_16,http://regnskaber.virk.dk/57380112/Y3ZyLmRrOi8vcGRmcy8yMTEwODM3NTtBcFMyNTA4NDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/57380112/Y3ZyLmRrOi8veGJybHMvWC01M0UyNEY3RC0yMDEzMDYwM18wOTExNDlfNTA2.xml,"8800, Viborg",Dannebrogsgade 5,"8240, Risskov",Flakvej 25,Til kapitalejerne i Hestia Administration ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1998-09-01,2013-05-31,Registreret revisor,16968137.0,21108375.0,16968137.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Hestia Administration ApS.,"Vi har revideret Ã¥rsregnskabet for Hestia Administration ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Knud-Erik Nielsen,Knud-Erik Nielsen,Ejler Ejlersen,Revision 2 A/S,Hestia Administration ApS,Erik Dybdahl,,"791, Viborg",2012-12-31,2012-01-01,2013-05-31,Viby J,DirektÃ¸r,urn:ofk:oid:13927035,indberetninger-20180424,2.5124327999999996,21108375.0,,2018-04-01T21:16:00.159Z,2013-06-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-41.993,2013-06-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_2,http://regnskaber.virk.dk/57380112/Y3ZyLmRrOi8vcGRmcy8yMTEwODM3NTtBcFMyNTA4NDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/57380112/Y3ZyLmRrOi8veGJybHMvWC01M0UyNEY3RC0yMDEzMDYwM18wOTExNDlfNTA2.xml,"8800, Viborg",Dannebrogsgade 5,"8240, Risskov",Flakvej 25,Til kapitalejerne i Hestia Administration ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1998-09-01,2013-05-31,Registreret revisor,16968137.0,21108375.0,16968137.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Hestia Administration ApS.,"Vi har revideret Ã¥rsregnskabet for Hestia Administration ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Knud-Erik Nielsen,Knud-Erik Nielsen,Ejler Ejlersen,Revision 2 A/S,Hestia Administration ApS,Erik Dybdahl,,"791, Viborg",2012-12-31,2012-01-01,2013-05-31,Viby J,DirektÃ¸r,urn:ofk:oid:13927035,indberetninger-20180424,2.5124327999999996,21108375.0,,2018-04-01T21:16:00.159Z,2013-06-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-41.993,2013-06-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
