entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorPostcodeAndTown,AddressOfAuditorStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationOfPropertyPlantAndEquipment,DescriptionOfAuditor,DescriptionOfClassOfIssuedShares,DividendPaid,EmailOfReportingEntity,FaxNumberOfReportingEntity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,ProfitLoss,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AdjustmentsForDeferredTax,CurrentTaxExpense,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryOperatingActivities,TaxExpense,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PaidContributedCapital,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,NameAndSurnameOfAuditor,NameOfAuditFirm,Dividend
26527651,2011-01-01,2011-12-31,c259,http://regnskaber.virk.dk/15672562/Y3ZyLmRrOi8vcGRmcy8yNjUyNzY1MTtBcFMyOTc2MzA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/15672562/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDUxN18wNzUxMzBfNTU3.xml,Danmark,2900  Hellerup,Strandvejen 44,2730  Herlev,"Generatorvej 8C, 1. tv.",2900  Hellerup,Strandvejen 44,Regnskabsklasse B,2013-04-24,2013-04-24,51081.0,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 1.250 anparter Ã  nominelt DKK 100. Ingen anparter er tillagt sÃ¦rlige rettigheder.,-96600.0,info@pharmadvice.dk,39 40 48 61,26527651.0,33771231.0,Ãrsrapport,Janne Fehrn-Christensen,Janne Fehrn-Christensen,PharmAdvice ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Herlev,96600.0,Gladsaxe,2012-12-31,2012-01-01,2013-04-24,Hellerup,39 40 48 60,urn:ofk:oid:13422405,indberetninger-20180424,2.5124402000000003,26527651.0,,2018-04-01T17:19:26.130Z,2013-05-17T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-60.093,2013-05-17T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26527651,2011-01-01,2011-12-31,c279,http://regnskaber.virk.dk/15672562/Y3ZyLmRrOi8vcGRmcy8yNjUyNzY1MTtBcFMyOTc2MzA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/15672562/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDUxN18wNzUxMzBfNTU3.xml,Danmark,2900  Hellerup,Strandvejen 44,2730  Herlev,"Generatorvej 8C, 1. tv.",2900  Hellerup,Strandvejen 44,Regnskabsklasse B,2013-04-24,2013-04-24,51081.0,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 1.250 anparter Ã  nominelt DKK 100. Ingen anparter er tillagt sÃ¦rlige rettigheder.,-96600.0,info@pharmadvice.dk,39 40 48 61,26527651.0,33771231.0,Ãrsrapport,Janne Fehrn-Christensen,Janne Fehrn-Christensen,PharmAdvice ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Herlev,-60136.0,Gladsaxe,2012-12-31,2012-01-01,2013-04-24,Hellerup,39 40 48 60,urn:ofk:oid:13422405,indberetninger-20180424,2.5124402000000003,26527651.0,,2018-04-01T17:19:26.130Z,2013-05-17T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-60.093,2013-05-17T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26527651,2011-01-01,2011-12-31,c68,http://regnskaber.virk.dk/15672562/Y3ZyLmRrOi8vcGRmcy8yNjUyNzY1MTtBcFMyOTc2MzA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/15672562/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDUxN18wNzUxMzBfNTU3.xml,Danmark,2900  Hellerup,Strandvejen 44,2730  Herlev,"Generatorvej 8C, 1. tv.",2900  Hellerup,Strandvejen 44,Regnskabsklasse B,2013-04-24,2013-04-24,51081.0,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 1.250 anparter Ã  nominelt DKK 100. Ingen anparter er tillagt sÃ¦rlige rettigheder.,-96600.0,info@pharmadvice.dk,39 40 48 61,26527651.0,33771231.0,Ãrsrapport,Janne Fehrn-Christensen,Janne Fehrn-Christensen,PharmAdvice ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Herlev,36464.0,Gladsaxe,2012-12-31,2012-01-01,2013-04-24,Hellerup,39 40 48 60,urn:ofk:oid:13422405,indberetninger-20180424,2.5124402000000003,26527651.0,,2018-04-01T17:19:26.130Z,2013-05-17T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-60.093,2013-05-17T22:00:00.000Z,17300.0,0.0,16500.0,3402631.0,3470339.0,0.0,2556.0,51208.0,17300.0,17300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26527651,2011-12-31,2011-12-31,c69,http://regnskaber.virk.dk/15672562/Y3ZyLmRrOi8vcGRmcy8yNjUyNzY1MTtBcFMyOTc2MzA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/15672562/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDUxN18wNzUxMzBfNTU3.xml,Danmark,2900  Hellerup,Strandvejen 44,2730  Herlev,"Generatorvej 8C, 1. tv.",2900  Hellerup,Strandvejen 44,Regnskabsklasse B,2013-04-24,2013-04-24,51081.0,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 1.250 anparter Ã  nominelt DKK 100. Ingen anparter er tillagt sÃ¦rlige rettigheder.,-96600.0,info@pharmadvice.dk,39 40 48 61,26527651.0,33771231.0,Ãrsrapport,Janne Fehrn-Christensen,Janne Fehrn-Christensen,PharmAdvice ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Herlev,,Gladsaxe,2012-12-31,2012-01-01,2013-04-24,Hellerup,39 40 48 60,urn:ofk:oid:13422405,indberetninger-20180424,2.5124402000000003,26527651.0,,2018-04-01T17:19:26.130Z,2013-05-17T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-60.093,2013-05-17T22:00:00.000Z,,,,,,,,,,,2136667.0,507413.0,125000.0,2071719.0,0.0,71522.0,1280085.0,64948.0,2136667.0,840682.0,64948.0,646295.0,134058.0,125000.0,64948.0,96600.0,15900.0,15900.0,1058485.0,840682.0,1564306.0,71120.0,194387.0,1287606.0,,,,,
26527651,2012-01-01,2012-01-01,c0,http://regnskaber.virk.dk/15672562/Y3ZyLmRrOi8vcGRmcy8yNjUyNzY1MTtBcFMyOTc2MzA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/15672562/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDUxN18wNzUxMzBfNTU3.xml,Danmark,2900  Hellerup,Strandvejen 44,2730  Herlev,"Generatorvej 8C, 1. tv.",2900  Hellerup,Strandvejen 44,Regnskabsklasse B,2013-04-24,2013-04-24,51081.0,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 1.250 anparter Ã  nominelt DKK 100. Ingen anparter er tillagt sÃ¦rlige rettigheder.,-96600.0,info@pharmadvice.dk,39 40 48 61,26527651.0,33771231.0,Ãrsrapport,Janne Fehrn-Christensen,Janne Fehrn-Christensen,PharmAdvice ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Herlev,,Gladsaxe,2012-12-31,2012-01-01,2013-04-24,Hellerup,39 40 48 60,urn:ofk:oid:13422405,indberetninger-20180424,2.5124402000000003,26527651.0,,2018-04-01T17:19:26.130Z,2013-05-17T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-60.093,2013-05-17T22:00:00.000Z,,,,,,,,,,,,,,,,,125000.0,,,,,,,,,,,,,,,,,,,,,,
26527651,2012-01-01,2012-01-01,c20,http://regnskaber.virk.dk/15672562/Y3ZyLmRrOi8vcGRmcy8yNjUyNzY1MTtBcFMyOTc2MzA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/15672562/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDUxN18wNzUxMzBfNTU3.xml,Danmark,2900  Hellerup,Strandvejen 44,2730  Herlev,"Generatorvej 8C, 1. tv.",2900  Hellerup,Strandvejen 44,Regnskabsklasse B,2013-04-24,2013-04-24,51081.0,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 1.250 anparter Ã  nominelt DKK 100. Ingen anparter er tillagt sÃ¦rlige rettigheder.,-96600.0,info@pharmadvice.dk,39 40 48 61,26527651.0,33771231.0,Ãrsrapport,Janne Fehrn-Christensen,Janne Fehrn-Christensen,PharmAdvice ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Herlev,,Gladsaxe,2012-12-31,2012-01-01,2013-04-24,Hellerup,39 40 48 60,urn:ofk:oid:13422405,indberetninger-20180424,2.5124402000000003,26527651.0,,2018-04-01T17:19:26.130Z,2013-05-17T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-60.093,2013-05-17T22:00:00.000Z,,,,,,,,,,,,,,,,,1058485.0,,,,,,,,,,,,,,,,,,,,,,
26527651,2012-01-01,2012-01-01,c23,http://regnskaber.virk.dk/15672562/Y3ZyLmRrOi8vcGRmcy8yNjUyNzY1MTtBcFMyOTc2MzA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/15672562/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDUxN18wNzUxMzBfNTU3.xml,Danmark,2900  Hellerup,Strandvejen 44,2730  Herlev,"Generatorvej 8C, 1. tv.",2900  Hellerup,Strandvejen 44,Regnskabsklasse B,2013-04-24,2013-04-24,51081.0,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 1.250 anparter Ã  nominelt DKK 100. Ingen anparter er tillagt sÃ¦rlige rettigheder.,-96600.0,info@pharmadvice.dk,39 40 48 61,26527651.0,33771231.0,Ãrsrapport,Janne Fehrn-Christensen,Janne Fehrn-Christensen,PharmAdvice ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Herlev,,Gladsaxe,2012-12-31,2012-01-01,2013-04-24,Hellerup,39 40 48 60,urn:ofk:oid:13422405,indberetninger-20180424,2.5124402000000003,26527651.0,,2018-04-01T17:19:26.130Z,2013-05-17T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-60.093,2013-05-17T22:00:00.000Z,,,,,,,,,,,,,,,,,96600.0,,,,,,,,,,,,,,,,,,,,,,
26527651,2012-01-01,2012-01-01,c320,http://regnskaber.virk.dk/15672562/Y3ZyLmRrOi8vcGRmcy8yNjUyNzY1MTtBcFMyOTc2MzA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/15672562/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDUxN18wNzUxMzBfNTU3.xml,Danmark,2900  Hellerup,Strandvejen 44,2730  Herlev,"Generatorvej 8C, 1. tv.",2900  Hellerup,Strandvejen 44,Regnskabsklasse B,2013-04-24,2013-04-24,51081.0,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 1.250 anparter Ã  nominelt DKK 100. Ingen anparter er tillagt sÃ¦rlige rettigheder.,-96600.0,info@pharmadvice.dk,39 40 48 61,26527651.0,33771231.0,Ãrsrapport,Janne Fehrn-Christensen,Janne Fehrn-Christensen,PharmAdvice ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Herlev,,Gladsaxe,2012-12-31,2012-01-01,2013-04-24,Hellerup,39 40 48 60,urn:ofk:oid:13422405,indberetninger-20180424,2.5124402000000003,26527651.0,,2018-04-01T17:19:26.130Z,2013-05-17T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-60.093,2013-05-17T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252768.0,317715.0,,,
26527651,2012-01-01,2012-12-31,c156,http://regnskaber.virk.dk/15672562/Y3ZyLmRrOi8vcGRmcy8yNjUyNzY1MTtBcFMyOTc2MzA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/15672562/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDUxN18wNzUxMzBfNTU3.xml,Danmark,2900  Hellerup,Strandvejen 44,2730  Herlev,"Generatorvej 8C, 1. tv.",2900  Hellerup,Strandvejen 44,Regnskabsklasse B,2013-04-24,2013-04-24,51081.0,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 1.250 anparter Ã  nominelt DKK 100. Ingen anparter er tillagt sÃ¦rlige rettigheder.,-96600.0,info@pharmadvice.dk,39 40 48 61,26527651.0,33771231.0,Ãrsrapport,Janne Fehrn-Christensen,Janne Fehrn-Christensen,PharmAdvice ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Herlev,,Gladsaxe,2012-12-31,2012-01-01,2013-04-24,Hellerup,39 40 48 60,urn:ofk:oid:13422405,indberetninger-20180424,2.5124402000000003,26527651.0,,2018-04-01T17:19:26.130Z,2013-05-17T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-60.093,2013-05-17T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26527651,2012-01-01,2012-12-31,c160,http://regnskaber.virk.dk/15672562/Y3ZyLmRrOi8vcGRmcy8yNjUyNzY1MTtBcFMyOTc2MzA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/15672562/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDUxN18wNzUxMzBfNTU3.xml,Danmark,2900  Hellerup,Strandvejen 44,2730  Herlev,"Generatorvej 8C, 1. tv.",2900  Hellerup,Strandvejen 44,Regnskabsklasse B,2013-04-24,2013-04-24,51081.0,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 1.250 anparter Ã  nominelt DKK 100. Ingen anparter er tillagt sÃ¦rlige rettigheder.,-96600.0,info@pharmadvice.dk,39 40 48 61,26527651.0,33771231.0,Ãrsrapport,Janne Fehrn-Christensen,Janne Fehrn-Christensen,PharmAdvice ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Herlev,,Gladsaxe,2012-12-31,2012-01-01,2013-04-24,Hellerup,39 40 48 60,urn:ofk:oid:13422405,indberetninger-20180424,2.5124402000000003,26527651.0,,2018-04-01T17:19:26.130Z,2013-05-17T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-60.093,2013-05-17T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
