entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfReportingEntity,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossResult,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermInvestments,ProposedDividend,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermTaxPayables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard
49651910,2013-01-01,2013-12-31,ID_10,http://regnskaber.virk.dk/01915694/Y3ZyLmRrOi8vcGRmcy80OTY1MTkxMDtBcFM2MDg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/01915694/Y3ZyLmRrOi8veGJybHMvWC04OUQyRjcyNC0yMDE1MDMxN18xMTQ5NDJfNTg3.xml,"Vojens, 6500",Billundvej 3,Til den daglige ledelse i MotorgÃ¥rden Christiansfeld ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-03-17,1974-06-01,2015-03-17,49651910.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for MotorgÃ¥rden Christiansfeld ApS.,Ãrsrapport,Hans Bonde Jessen,Danske Bank,MotorgÃ¥rden Christiansfeld ApS,"ViaCount ApS, Registreret Revisionsselskab","Christiansfeld, den 17. marts 2015",-36948.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-03-17,Vojens,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15931666,indberetninger-20180424,2.5124211,49651910.0,,2018-03-30T17:58:18.929Z,2015-03-18T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-14.769,2015-03-18T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
49651910,2013-01-01,2013-12-31,ID_4,http://regnskaber.virk.dk/01915694/Y3ZyLmRrOi8vcGRmcy80OTY1MTkxMDtBcFM2MDg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/01915694/Y3ZyLmRrOi8veGJybHMvWC04OUQyRjcyNC0yMDE1MDMxN18xMTQ5NDJfNTg3.xml,"Vojens, 6500",Billundvej 3,Til den daglige ledelse i MotorgÃ¥rden Christiansfeld ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-03-17,1974-06-01,2015-03-17,49651910.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for MotorgÃ¥rden Christiansfeld ApS.,Ãrsrapport,Hans Bonde Jessen,Danske Bank,MotorgÃ¥rden Christiansfeld ApS,"ViaCount ApS, Registreret Revisionsselskab","Christiansfeld, den 17. marts 2015",36948.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-03-17,Vojens,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15931666,indberetninger-20180424,2.5124211,49651910.0,,2018-03-30T17:58:18.929Z,2015-03-18T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-14.769,2015-03-18T23:00:00.000Z,-12486.0,12486.0,0.0,61761.0,49275.0,12327.0,,,,,,,,,,,,,,,
49651910,2013-01-01,2013-12-31,ID_6,http://regnskaber.virk.dk/01915694/Y3ZyLmRrOi8vcGRmcy80OTY1MTkxMDtBcFM2MDg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/01915694/Y3ZyLmRrOi8veGJybHMvWC04OUQyRjcyNC0yMDE1MDMxN18xMTQ5NDJfNTg3.xml,"Vojens, 6500",Billundvej 3,Til den daglige ledelse i MotorgÃ¥rden Christiansfeld ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-03-17,1974-06-01,2015-03-17,49651910.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for MotorgÃ¥rden Christiansfeld ApS.,Ãrsrapport,Hans Bonde Jessen,Danske Bank,MotorgÃ¥rden Christiansfeld ApS,"ViaCount ApS, Registreret Revisionsselskab","Christiansfeld, den 17. marts 2015",-98400.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-03-17,Vojens,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15931666,indberetninger-20180424,2.5124211,49651910.0,,2018-03-30T17:58:18.929Z,2015-03-18T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-14.769,2015-03-18T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
49651910,2013-01-01,2013-12-31,ID_8,http://regnskaber.virk.dk/01915694/Y3ZyLmRrOi8vcGRmcy80OTY1MTkxMDtBcFM2MDg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/01915694/Y3ZyLmRrOi8veGJybHMvWC04OUQyRjcyNC0yMDE1MDMxN18xMTQ5NDJfNTg3.xml,"Vojens, 6500",Billundvej 3,Til den daglige ledelse i MotorgÃ¥rden Christiansfeld ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-03-17,1974-06-01,2015-03-17,49651910.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for MotorgÃ¥rden Christiansfeld ApS.,Ãrsrapport,Hans Bonde Jessen,Danske Bank,MotorgÃ¥rden Christiansfeld ApS,"ViaCount ApS, Registreret Revisionsselskab","Christiansfeld, den 17. marts 2015",61452.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-03-17,Vojens,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15931666,indberetninger-20180424,2.5124211,49651910.0,,2018-03-30T17:58:18.929Z,2015-03-18T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-14.769,2015-03-18T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
49651910,2013-12-31,2013-12-31,ID_12,http://regnskaber.virk.dk/01915694/Y3ZyLmRrOi8vcGRmcy80OTY1MTkxMDtBcFM2MDg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/01915694/Y3ZyLmRrOi8veGJybHMvWC04OUQyRjcyNC0yMDE1MDMxN18xMTQ5NDJfNTg3.xml,"Vojens, 6500",Billundvej 3,Til den daglige ledelse i MotorgÃ¥rden Christiansfeld ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-03-17,1974-06-01,2015-03-17,49651910.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for MotorgÃ¥rden Christiansfeld ApS.,Ãrsrapport,Hans Bonde Jessen,Danske Bank,MotorgÃ¥rden Christiansfeld ApS,"ViaCount ApS, Registreret Revisionsselskab","Christiansfeld, den 17. marts 2015",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-03-17,Vojens,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15931666,indberetninger-20180424,2.5124211,49651910.0,,2018-03-30T17:58:18.929Z,2015-03-18T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-14.769,2015-03-18T23:00:00.000Z,,,,,,,1917912.0,99771.0,200000.0,1917912.0,1802093.0,1917912.0,115819.0,1818141.0,98400.0,1602093.0,1818141.0,115819.0,11232.0,6187.0,
49651910,2014-01-01,2014-12-31,ID_0,http://regnskaber.virk.dk/01915694/Y3ZyLmRrOi8vcGRmcy80OTY1MTkxMDtBcFM2MDg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/01915694/Y3ZyLmRrOi8veGJybHMvWC04OUQyRjcyNC0yMDE1MDMxN18xMTQ5NDJfNTg3.xml,"Vojens, 6500",Billundvej 3,Til den daglige ledelse i MotorgÃ¥rden Christiansfeld ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-03-17,1974-06-01,2015-03-17,49651910.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for MotorgÃ¥rden Christiansfeld ApS.,Ãrsrapport,Hans Bonde Jessen,Danske Bank,MotorgÃ¥rden Christiansfeld ApS,"ViaCount ApS, Registreret Revisionsselskab","Christiansfeld, den 17. marts 2015",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-03-17,Vojens,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15931666,indberetninger-20180424,2.5124211,49651910.0,,2018-03-30T17:58:18.929Z,2015-03-18T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-14.769,2015-03-18T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
49651910,2014-01-01,2014-12-31,ID_1,http://regnskaber.virk.dk/01915694/Y3ZyLmRrOi8vcGRmcy80OTY1MTkxMDtBcFM2MDg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/01915694/Y3ZyLmRrOi8veGJybHMvWC04OUQyRjcyNC0yMDE1MDMxN18xMTQ5NDJfNTg3.xml,"Vojens, 6500",Billundvej 3,Til den daglige ledelse i MotorgÃ¥rden Christiansfeld ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-03-17,1974-06-01,2015-03-17,49651910.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for MotorgÃ¥rden Christiansfeld ApS.,Ãrsrapport,Hans Bonde Jessen,Danske Bank,MotorgÃ¥rden Christiansfeld ApS,"ViaCount ApS, Registreret Revisionsselskab","Christiansfeld, den 17. marts 2015",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-03-17,Vojens,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15931666,indberetninger-20180424,2.5124211,49651910.0,,2018-03-30T17:58:18.929Z,2015-03-18T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-14.769,2015-03-18T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
49651910,2014-01-01,2014-12-31,ID_13,http://regnskaber.virk.dk/01915694/Y3ZyLmRrOi8vcGRmcy80OTY1MTkxMDtBcFM2MDg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/01915694/Y3ZyLmRrOi8veGJybHMvWC04OUQyRjcyNC0yMDE1MDMxN18xMTQ5NDJfNTg3.xml,"Vojens, 6500",Billundvej 3,Til den daglige ledelse i MotorgÃ¥rden Christiansfeld ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-03-17,1974-06-01,2015-03-17,49651910.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for MotorgÃ¥rden Christiansfeld ApS.,Ãrsrapport,Hans Bonde Jessen,Danske Bank,MotorgÃ¥rden Christiansfeld ApS,"ViaCount ApS, Registreret Revisionsselskab","Christiansfeld, den 17. marts 2015",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-03-17,Vojens,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15931666,indberetninger-20180424,2.5124211,49651910.0,,2018-03-30T17:58:18.929Z,2015-03-18T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-14.769,2015-03-18T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
49651910,2014-01-01,2014-12-31,ID_14,http://regnskaber.virk.dk/01915694/Y3ZyLmRrOi8vcGRmcy80OTY1MTkxMDtBcFM2MDg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/01915694/Y3ZyLmRrOi8veGJybHMvWC04OUQyRjcyNC0yMDE1MDMxN18xMTQ5NDJfNTg3.xml,"Vojens, 6500",Billundvej 3,Til den daglige ledelse i MotorgÃ¥rden Christiansfeld ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-03-17,1974-06-01,2015-03-17,49651910.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for MotorgÃ¥rden Christiansfeld ApS.,Ãrsrapport,Hans Bonde Jessen,Danske Bank,MotorgÃ¥rden Christiansfeld ApS,"ViaCount ApS, Registreret Revisionsselskab","Christiansfeld, den 17. marts 2015",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-03-17,Vojens,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15931666,indberetninger-20180424,2.5124211,49651910.0,,2018-03-30T17:58:18.929Z,2015-03-18T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-14.769,2015-03-18T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
49651910,2014-01-01,2014-12-31,ID_15,http://regnskaber.virk.dk/01915694/Y3ZyLmRrOi8vcGRmcy80OTY1MTkxMDtBcFM2MDg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/01915694/Y3ZyLmRrOi8veGJybHMvWC04OUQyRjcyNC0yMDE1MDMxN18xMTQ5NDJfNTg3.xml,"Vojens, 6500",Billundvej 3,Til den daglige ledelse i MotorgÃ¥rden Christiansfeld ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-03-17,1974-06-01,2015-03-17,49651910.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for MotorgÃ¥rden Christiansfeld ApS.,Ãrsrapport,Hans Bonde Jessen,Danske Bank,MotorgÃ¥rden Christiansfeld ApS,"ViaCount ApS, Registreret Revisionsselskab","Christiansfeld, den 17. marts 2015",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-03-17,Vojens,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15931666,indberetninger-20180424,2.5124211,49651910.0,,2018-03-30T17:58:18.929Z,2015-03-18T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-14.769,2015-03-18T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
