entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,AdjustmentsForCurrentTaxOfPriorPeriod,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,DividendPaid,ExternalExpenses,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,InterestExpenseAssignedToGroupEnterprises,InterestIncomeFromGroupEnterprises,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,OtherOperatingExpenses,OtherOperatingIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,RevaluationsOfInvestmentsOfTheYear,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AcquiredIntangibleAssets,Assets,CashAndCashEquivalents,ContributedCapital,DevelopmentProjectsInProgressAndPrepaymentsForIntangibleAssets,Equity,IntangibleAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherProvisions,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,ReserveForDevelopmentExpenditure,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,AccumulatedImpairmentLossesAndAmortisationOfIntangibleAssets,IntangibleAssetsGross,AccumulatedRevaluationsOfInvestments,InvestmentsGross,NameOfAuditFirm,TypeOfAuditorAssistance,AdditionsToIntangibleAssets,AmortisationOfIntangibleAssets,NameAndSurnameOfMemberOfExecutiveBoard
33509758,2017-01-01,2017-12-31,c175,,http://regnskaber.virk.dk/85790533/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzAwLzkwL2VjL2EzM2MtNGRmNS1hMzhiLTAzODI2MWVhNzk0YQ.pdf,http://regnskaber.virk.dk/85790533/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzY5LzU5LzM4LzIwMDYtNDg0YS05ZGYzLTU5MjBjMDkxY2QyNA.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,8700 Horsens,Silkeborgvej 140,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i SoftLogic ApS,-6600.0,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",220572.0,2019-07-09,2011-02-23,2019-07-09,30000.0,Statsautoriseret revisor,-600000.0,13748.0,1045978.0,20222670.0,33509758.0,20222670.0,mne35388,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for SoftLogic ApS.,133218.0,Ãrsrapport,3236.0,93100.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Rathleff Algren,Justin Gress Howson,SoftLogic ApS,BDO Statsautoriseret revisionsaktieselskab,10889.0,93100.0,7653.0,0.0,926508.0,Horsens,2017-01-01,2017-12-31,884217.0,1098189.0,1015978.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Horsens,2018-12-31,2018-01-01,-966553.0,true,2019-07-09,Vejle,213972.0,urn:ofk:oid:27670972,indberetninger-20180424,2.5118406,33509758.0,AWvbo6WmIXJRhhXBL4gp,2019-07-10T11:28:26.995Z,2019-07-10T11:27:42.938Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BU-49-GB,2019-07-10T11:27:43.071Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33509758,2017-01-01,2017-12-31,c214,,http://regnskaber.virk.dk/85790533/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzAwLzkwL2VjL2EzM2MtNGRmNS1hMzhiLTAzODI2MWVhNzk0YQ.pdf,http://regnskaber.virk.dk/85790533/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzY5LzU5LzM4LzIwMDYtNDg0YS05ZGYzLTU5MjBjMDkxY2QyNA.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,8700 Horsens,Silkeborgvej 140,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i SoftLogic ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-07-09,2011-02-23,2019-07-09,,Statsautoriseret revisor,-600000.0,,,20222670.0,33509758.0,20222670.0,mne35388,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for SoftLogic ApS.,,Ãrsrapport,,,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Rathleff Algren,Justin Gress Howson,SoftLogic ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,,Horsens,2017-01-01,2017-12-31,150999.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Horsens,2018-12-31,2018-01-01,-966553.0,true,2019-07-09,Vejle,,urn:ofk:oid:27670972,indberetninger-20180424,2.5118406,33509758.0,AWvbo6WmIXJRhhXBL4gp,2019-07-10T11:28:26.995Z,2019-07-10T11:27:42.938Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BU-49-GB,2019-07-10T11:27:43.071Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33509758,2017-01-01,2017-12-31,c216,,http://regnskaber.virk.dk/85790533/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzAwLzkwL2VjL2EzM2MtNGRmNS1hMzhiLTAzODI2MWVhNzk0YQ.pdf,http://regnskaber.virk.dk/85790533/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzY5LzU5LzM4LzIwMDYtNDg0YS05ZGYzLTU5MjBjMDkxY2QyNA.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,8700 Horsens,Silkeborgvej 140,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i SoftLogic ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-07-09,2011-02-23,2019-07-09,,Statsautoriseret revisor,-600000.0,,,20222670.0,33509758.0,20222670.0,mne35388,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for SoftLogic ApS.,,Ãrsrapport,,,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Rathleff Algren,Justin Gress Howson,SoftLogic ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,,Horsens,2017-01-01,2017-12-31,133218.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Horsens,2018-12-31,2018-01-01,-966553.0,true,2019-07-09,Vejle,,urn:ofk:oid:27670972,indberetninger-20180424,2.5118406,33509758.0,AWvbo6WmIXJRhhXBL4gp,2019-07-10T11:28:26.995Z,2019-07-10T11:27:42.938Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BU-49-GB,2019-07-10T11:27:43.071Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33509758,2017-01-01,2017-12-31,c219,,http://regnskaber.virk.dk/85790533/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzAwLzkwL2VjL2EzM2MtNGRmNS1hMzhiLTAzODI2MWVhNzk0YQ.pdf,http://regnskaber.virk.dk/85790533/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzY5LzU5LzM4LzIwMDYtNDg0YS05ZGYzLTU5MjBjMDkxY2QyNA.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,8700 Horsens,Silkeborgvej 140,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i SoftLogic ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-07-09,2011-02-23,2019-07-09,,Statsautoriseret revisor,-600000.0,,,20222670.0,33509758.0,20222670.0,mne35388,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for SoftLogic ApS.,,Ãrsrapport,,,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Rathleff Algren,Justin Gress Howson,SoftLogic ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,,Horsens,2017-01-01,2017-12-31,600000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Horsens,2018-12-31,2018-01-01,-966553.0,true,2019-07-09,Vejle,,urn:ofk:oid:27670972,indberetninger-20180424,2.5118406,33509758.0,AWvbo6WmIXJRhhXBL4gp,2019-07-10T11:28:26.995Z,2019-07-10T11:27:42.938Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BU-49-GB,2019-07-10T11:27:43.071Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33509758,2017-12-31,2017-12-31,c173,,http://regnskaber.virk.dk/85790533/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzAwLzkwL2VjL2EzM2MtNGRmNS1hMzhiLTAzODI2MWVhNzk0YQ.pdf,http://regnskaber.virk.dk/85790533/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzY5LzU5LzM4LzIwMDYtNDg0YS05ZGYzLTU5MjBjMDkxY2QyNA.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,8700 Horsens,Silkeborgvej 140,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i SoftLogic ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-07-09,2011-02-23,2019-07-09,,Statsautoriseret revisor,-600000.0,,,20222670.0,33509758.0,20222670.0,mne35388,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for SoftLogic ApS.,,Ãrsrapport,,,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Rathleff Algren,Justin Gress Howson,SoftLogic ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,,Horsens,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Horsens,2018-12-31,2018-01-01,-966553.0,true,2019-07-09,Vejle,,urn:ofk:oid:27670972,indberetninger-20180424,2.5118406,33509758.0,AWvbo6WmIXJRhhXBL4gp,2019-07-10T11:28:26.995Z,2019-07-10T11:27:42.938Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BU-49-GB,2019-07-10T11:27:43.071Z,90000.0,5662227.0,48973.0,80000.0,0.0,5415542.0,90000.0,5662227.0,225573.0,1831508.0,1831508.0,1921508.0,1312.0,600000.0,21112.0,19800.0,0.0,1711862.0,3023680.0,225573.0,0.0,3691746.0,3691746.0,220572.0,5001.0,,,,,,,,,
33509758,2018-01-01,2018-01-01,c231,,http://regnskaber.virk.dk/85790533/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzAwLzkwL2VjL2EzM2MtNGRmNS1hMzhiLTAzODI2MWVhNzk0YQ.pdf,http://regnskaber.virk.dk/85790533/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzY5LzU5LzM4LzIwMDYtNDg0YS05ZGYzLTU5MjBjMDkxY2QyNA.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,8700 Horsens,Silkeborgvej 140,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i SoftLogic ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-07-09,2011-02-23,2019-07-09,,Statsautoriseret revisor,-600000.0,,,20222670.0,33509758.0,20222670.0,mne35388,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for SoftLogic ApS.,,Ãrsrapport,,,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Rathleff Algren,Justin Gress Howson,SoftLogic ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,,Horsens,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Horsens,2018-12-31,2018-01-01,-966553.0,true,2019-07-09,Vejle,,urn:ofk:oid:27670972,indberetninger-20180424,2.5118406,33509758.0,AWvbo6WmIXJRhhXBL4gp,2019-07-10T11:28:26.995Z,2019-07-10T11:27:42.938Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BU-49-GB,2019-07-10T11:27:43.071Z,,,,,,80000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33509758,2018-01-01,2018-01-01,c234,,http://regnskaber.virk.dk/85790533/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzAwLzkwL2VjL2EzM2MtNGRmNS1hMzhiLTAzODI2MWVhNzk0YQ.pdf,http://regnskaber.virk.dk/85790533/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzY5LzU5LzM4LzIwMDYtNDg0YS05ZGYzLTU5MjBjMDkxY2QyNA.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,8700 Horsens,Silkeborgvej 140,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i SoftLogic ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-07-09,2011-02-23,2019-07-09,,Statsautoriseret revisor,-600000.0,,,20222670.0,33509758.0,20222670.0,mne35388,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for SoftLogic ApS.,,Ãrsrapport,,,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Rathleff Algren,Justin Gress Howson,SoftLogic ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,,Horsens,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Horsens,2018-12-31,2018-01-01,-966553.0,true,2019-07-09,Vejle,,urn:ofk:oid:27670972,indberetninger-20180424,2.5118406,33509758.0,AWvbo6WmIXJRhhXBL4gp,2019-07-10T11:28:26.995Z,2019-07-10T11:27:42.938Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BU-49-GB,2019-07-10T11:27:43.071Z,,,,,,1711862.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33509758,2018-01-01,2018-01-01,c249,,http://regnskaber.virk.dk/85790533/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzAwLzkwL2VjL2EzM2MtNGRmNS1hMzhiLTAzODI2MWVhNzk0YQ.pdf,http://regnskaber.virk.dk/85790533/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzY5LzU5LzM4LzIwMDYtNDg0YS05ZGYzLTU5MjBjMDkxY2QyNA.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,8700 Horsens,Silkeborgvej 140,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i SoftLogic ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-07-09,2011-02-23,2019-07-09,,Statsautoriseret revisor,-600000.0,,,20222670.0,33509758.0,20222670.0,mne35388,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for SoftLogic ApS.,,Ãrsrapport,,,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Rathleff Algren,Justin Gress Howson,SoftLogic ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,,Horsens,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Horsens,2018-12-31,2018-01-01,-966553.0,true,2019-07-09,Vejle,,urn:ofk:oid:27670972,indberetninger-20180424,2.5118406,33509758.0,AWvbo6WmIXJRhhXBL4gp,2019-07-10T11:28:26.995Z,2019-07-10T11:27:42.938Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BU-49-GB,2019-07-10T11:27:43.071Z,,,,,,3023680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33509758,2018-01-01,2018-01-01,c255,,http://regnskaber.virk.dk/85790533/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzAwLzkwL2VjL2EzM2MtNGRmNS1hMzhiLTAzODI2MWVhNzk0YQ.pdf,http://regnskaber.virk.dk/85790533/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzY5LzU5LzM4LzIwMDYtNDg0YS05ZGYzLTU5MjBjMDkxY2QyNA.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,8700 Horsens,Silkeborgvej 140,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i SoftLogic ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-07-09,2011-02-23,2019-07-09,,Statsautoriseret revisor,-600000.0,,,20222670.0,33509758.0,20222670.0,mne35388,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for SoftLogic ApS.,,Ãrsrapport,,,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Rathleff Algren,Justin Gress Howson,SoftLogic ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,,Horsens,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Horsens,2018-12-31,2018-01-01,-966553.0,true,2019-07-09,Vejle,,urn:ofk:oid:27670972,indberetninger-20180424,2.5118406,33509758.0,AWvbo6WmIXJRhhXBL4gp,2019-07-10T11:28:26.995Z,2019-07-10T11:27:42.938Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BU-49-GB,2019-07-10T11:27:43.071Z,,,,,,600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33509758,2018-01-01,2018-01-01,c261,,http://regnskaber.virk.dk/85790533/ZG9rdW1lbnRsYWdlcjovLzAzLzcwLzAwLzkwL2VjL2EzM2MtNGRmNS1hMzhiLTAzODI2MWVhNzk0YQ.pdf,http://regnskaber.virk.dk/85790533/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzY5LzU5LzM4LzIwMDYtNDg0YS05ZGYzLTU5MjBjMDkxY2QyNA.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,8700 Horsens,Silkeborgvej 140,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i SoftLogic ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-07-09,2011-02-23,2019-07-09,,Statsautoriseret revisor,-600000.0,,,20222670.0,33509758.0,20222670.0,mne35388,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for SoftLogic ApS.,,Ãrsrapport,,,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Rathleff Algren,Justin Gress Howson,SoftLogic ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,,Horsens,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Horsens,2018-12-31,2018-01-01,-966553.0,true,2019-07-09,Vejle,,urn:ofk:oid:27670972,indberetninger-20180424,2.5118406,33509758.0,AWvbo6WmIXJRhhXBL4gp,2019-07-10T11:28:26.995Z,2019-07-10T11:27:42.938Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BU-49-GB,2019-07-10T11:27:43.071Z,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
