entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialInstitutionPostcodeAndTown,AddressOfFinancialInstitutionStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfAuditorsReportOnAuditedFinancialStatements,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditorAppointedToPerformAudit,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherOperatingExpenses,PlaceOfCompilationOfAuditorsReportOnAuditedFinancialStatements,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,TaxExpenseOnOrdinaryActivities,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LandAndBuildings,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,LongtermReceivablesFromAssociates,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PayablesToShareholdersAndManagement,PlantAndMachinery,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,RevaluationReserve,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard,IdentificationNumberCvrOfAuditFirmAppointedToPerformAudit,NameAndSurnameOfAuditorAppointedToPerformAudit,NameOfAuditFirmAppointedToPerformAudit
84967351,2011-07-01,2012-06-30,ID_14,http://regnskaber.virk.dk/15376948/Y3ZyLmRrOi8vcGRmcy84NDk2NzM1MTtBL1MxMTE0NDI7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15376948/Y3ZyLmRrOi8veGJybHMvWC1BRjJBRTc1RS0yMDEzMTIxMF8xMTMwMzdfODM1.xml,"Padborg, 6330",Kilen 1,"Padborg, 6330","FrÃ¸slev, Lejrvej 8","6200, Aabenraa",NÃ¦stmark 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-09-06,1974-12-30,2013-11-30,179391.0,Registreret revisor,289580.0,728156.0,84967351.0,26632315.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013 for Nikosped A/S, International Spedition og Transport.",Ãrsrapport,Henrik Eddau Kock,Vibeke Kock,Jyske Bank,"Nikosped A/S, International Spedition og Transport","Intension, registreret revisionsaktieselskab",396733.0,-34021.0,0.0,Aabenraa,1169839.0,1559839.0,1197127.0,"0, Padborg",2013-06-30,2012-07-01,-390000.0,74 67 36 90,Administrerende direktÃ¸r/Bestyrelsesmedlem,urn:ofk:oid:17197895,indberetninger-20180424,2.5124211,84967351.0,,2018-04-01T23:57:50.979Z,2013-12-10T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-278.239,2013-12-10T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84967351,2011-07-01,2012-06-30,ID_16,http://regnskaber.virk.dk/15376948/Y3ZyLmRrOi8vcGRmcy84NDk2NzM1MTtBL1MxMTE0NDI7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15376948/Y3ZyLmRrOi8veGJybHMvWC1BRjJBRTc1RS0yMDEzMTIxMF8xMTMwMzdfODM1.xml,"Padborg, 6330",Kilen 1,"Padborg, 6330","FrÃ¸slev, Lejrvej 8","6200, Aabenraa",NÃ¦stmark 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-09-06,1974-12-30,2013-11-30,,Registreret revisor,,,84967351.0,26632315.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013 for Nikosped A/S, International Spedition og Transport.",Ãrsrapport,Henrik Eddau Kock,Vibeke Kock,Jyske Bank,"Nikosped A/S, International Spedition og Transport","Intension, registreret revisionsaktieselskab",,,,Aabenraa,-1169839.0,,,"0, Padborg",2013-06-30,2012-07-01,,74 67 36 90,Administrerende direktÃ¸r/Bestyrelsesmedlem,urn:ofk:oid:17197895,indberetninger-20180424,2.5124211,84967351.0,,2018-04-01T23:57:50.979Z,2013-12-10T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-278.239,2013-12-10T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84967351,2011-07-01,2012-06-30,ID_18,http://regnskaber.virk.dk/15376948/Y3ZyLmRrOi8vcGRmcy84NDk2NzM1MTtBL1MxMTE0NDI7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15376948/Y3ZyLmRrOi8veGJybHMvWC1BRjJBRTc1RS0yMDEzMTIxMF8xMTMwMzdfODM1.xml,"Padborg, 6330",Kilen 1,"Padborg, 6330","FrÃ¸slev, Lejrvej 8","6200, Aabenraa",NÃ¦stmark 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-09-06,1974-12-30,2013-11-30,,Registreret revisor,,,84967351.0,26632315.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013 for Nikosped A/S, International Spedition og Transport.",Ãrsrapport,Henrik Eddau Kock,Vibeke Kock,Jyske Bank,"Nikosped A/S, International Spedition og Transport","Intension, registreret revisionsaktieselskab",,,,Aabenraa,-1169839.0,,,"0, Padborg",2013-06-30,2012-07-01,,74 67 36 90,Administrerende direktÃ¸r/Bestyrelsesmedlem,urn:ofk:oid:17197895,indberetninger-20180424,2.5124211,84967351.0,,2018-04-01T23:57:50.979Z,2013-12-10T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-278.239,2013-12-10T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84967351,2012-06-30,2012-06-30,ID_20,http://regnskaber.virk.dk/15376948/Y3ZyLmRrOi8vcGRmcy84NDk2NzM1MTtBL1MxMTE0NDI7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15376948/Y3ZyLmRrOi8veGJybHMvWC1BRjJBRTc1RS0yMDEzMTIxMF8xMTMwMzdfODM1.xml,"Padborg, 6330",Kilen 1,"Padborg, 6330","FrÃ¸slev, Lejrvej 8","6200, Aabenraa",NÃ¦stmark 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-09-06,1974-12-30,2013-11-30,,Registreret revisor,,,84967351.0,26632315.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013 for Nikosped A/S, International Spedition og Transport.",Ãrsrapport,Henrik Eddau Kock,Vibeke Kock,Jyske Bank,"Nikosped A/S, International Spedition og Transport","Intension, registreret revisionsaktieselskab",,,,Aabenraa,,,,"0, Padborg",2013-06-30,2012-07-01,,74 67 36 90,Administrerende direktÃ¸r/Bestyrelsesmedlem,urn:ofk:oid:17197895,indberetninger-20180424,2.5124211,84967351.0,,2018-04-01T23:57:50.979Z,2013-12-10T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-278.239,2013-12-10T23:00:00.000Z,10130907.0,114159.0,-1000000.0,690024.0,-6068942.0,7838623.0,75845.0,-10130905.0,-3420963.0,1045888.0,104000.0,-3136498.0,-1206137.0,670000.0,9440883.0,271888.0,-151300.0,529950.0,-1930361.0,480527.0,8394995.0,-641000.0,-641000.0,3441558.0,-8510500.0,-14095.0,-284465.0,575865.0,-119070.0,45915.0,,,,,
84967351,2012-07-01,2013-06-30,ID_0,http://regnskaber.virk.dk/15376948/Y3ZyLmRrOi8vcGRmcy84NDk2NzM1MTtBL1MxMTE0NDI7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15376948/Y3ZyLmRrOi8veGJybHMvWC1BRjJBRTc1RS0yMDEzMTIxMF8xMTMwMzdfODM1.xml,"Padborg, 6330",Kilen 1,"Padborg, 6330","FrÃ¸slev, Lejrvej 8","6200, Aabenraa",NÃ¦stmark 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-09-06,1974-12-30,2013-11-30,,Registreret revisor,,,84967351.0,26632315.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013 for Nikosped A/S, International Spedition og Transport.",Ãrsrapport,Henrik Eddau Kock,Vibeke Kock,Jyske Bank,"Nikosped A/S, International Spedition og Transport","Intension, registreret revisionsaktieselskab",,,,Aabenraa,,,,"0, Padborg",2013-06-30,2012-07-01,,74 67 36 90,Administrerende direktÃ¸r/Bestyrelsesmedlem,urn:ofk:oid:17197895,indberetninger-20180424,2.5124211,84967351.0,,2018-04-01T23:57:50.979Z,2013-12-10T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-278.239,2013-12-10T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84967351,2012-07-01,2013-06-30,ID_1,http://regnskaber.virk.dk/15376948/Y3ZyLmRrOi8vcGRmcy84NDk2NzM1MTtBL1MxMTE0NDI7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15376948/Y3ZyLmRrOi8veGJybHMvWC1BRjJBRTc1RS0yMDEzMTIxMF8xMTMwMzdfODM1.xml,"Padborg, 6330",Kilen 1,"Padborg, 6330","FrÃ¸slev, Lejrvej 8","6200, Aabenraa",NÃ¦stmark 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-09-06,1974-12-30,2013-11-30,,Registreret revisor,,,84967351.0,26632315.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013 for Nikosped A/S, International Spedition og Transport.",Ãrsrapport,Henrik Eddau Kock,Vibeke Kock,Jyske Bank,"Nikosped A/S, International Spedition og Transport","Intension, registreret revisionsaktieselskab",,,,Aabenraa,,,,"0, Padborg",2013-06-30,2012-07-01,,74 67 36 90,Administrerende direktÃ¸r/Bestyrelsesmedlem,urn:ofk:oid:17197895,indberetninger-20180424,2.5124211,84967351.0,,2018-04-01T23:57:50.979Z,2013-12-10T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-278.239,2013-12-10T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84967351,2012-07-01,2013-06-30,ID_10,http://regnskaber.virk.dk/15376948/Y3ZyLmRrOi8vcGRmcy84NDk2NzM1MTtBL1MxMTE0NDI7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15376948/Y3ZyLmRrOi8veGJybHMvWC1BRjJBRTc1RS0yMDEzMTIxMF8xMTMwMzdfODM1.xml,"Padborg, 6330",Kilen 1,"Padborg, 6330","FrÃ¸slev, Lejrvej 8","6200, Aabenraa",NÃ¦stmark 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-09-06,1974-12-30,2013-11-30,,Registreret revisor,,,84967351.0,26632315.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013 for Nikosped A/S, International Spedition og Transport.",Ãrsrapport,Henrik Eddau Kock,Vibeke Kock,Jyske Bank,"Nikosped A/S, International Spedition og Transport","Intension, registreret revisionsaktieselskab",,,,Aabenraa,,,,"0, Padborg",2013-06-30,2012-07-01,,74 67 36 90,Administrerende direktÃ¸r/Bestyrelsesmedlem,urn:ofk:oid:17197895,indberetninger-20180424,2.5124211,84967351.0,,2018-04-01T23:57:50.979Z,2013-12-10T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-278.239,2013-12-10T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84967351,2012-07-01,2013-06-30,ID_11,http://regnskaber.virk.dk/15376948/Y3ZyLmRrOi8vcGRmcy84NDk2NzM1MTtBL1MxMTE0NDI7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15376948/Y3ZyLmRrOi8veGJybHMvWC1BRjJBRTc1RS0yMDEzMTIxMF8xMTMwMzdfODM1.xml,"Padborg, 6330",Kilen 1,"Padborg, 6330","FrÃ¸slev, Lejrvej 8","6200, Aabenraa",NÃ¦stmark 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-09-06,1974-12-30,2013-11-30,,Registreret revisor,,,84967351.0,26632315.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013 for Nikosped A/S, International Spedition og Transport.",Ãrsrapport,Henrik Eddau Kock,Vibeke Kock,Jyske Bank,"Nikosped A/S, International Spedition og Transport","Intension, registreret revisionsaktieselskab",,,,Aabenraa,,,,"0, Padborg",2013-06-30,2012-07-01,,74 67 36 90,Administrerende direktÃ¸r/Bestyrelsesmedlem,urn:ofk:oid:17197895,indberetninger-20180424,2.5124211,84967351.0,,2018-04-01T23:57:50.979Z,2013-12-10T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-278.239,2013-12-10T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84967351,2012-07-01,2013-06-30,ID_12,http://regnskaber.virk.dk/15376948/Y3ZyLmRrOi8vcGRmcy84NDk2NzM1MTtBL1MxMTE0NDI7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15376948/Y3ZyLmRrOi8veGJybHMvWC1BRjJBRTc1RS0yMDEzMTIxMF8xMTMwMzdfODM1.xml,"Padborg, 6330",Kilen 1,"Padborg, 6330","FrÃ¸slev, Lejrvej 8","6200, Aabenraa",NÃ¦stmark 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-09-06,1974-12-30,2013-11-30,,Registreret revisor,,,84967351.0,26632315.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013 for Nikosped A/S, International Spedition og Transport.",Ãrsrapport,Henrik Eddau Kock,Vibeke Kock,Jyske Bank,"Nikosped A/S, International Spedition og Transport","Intension, registreret revisionsaktieselskab",,,,Aabenraa,,,,"0, Padborg",2013-06-30,2012-07-01,,74 67 36 90,Administrerende direktÃ¸r/Bestyrelsesmedlem,urn:ofk:oid:17197895,indberetninger-20180424,2.5124211,84967351.0,,2018-04-01T23:57:50.979Z,2013-12-10T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-278.239,2013-12-10T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84967351,2012-07-01,2013-06-30,ID_13,http://regnskaber.virk.dk/15376948/Y3ZyLmRrOi8vcGRmcy84NDk2NzM1MTtBL1MxMTE0NDI7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15376948/Y3ZyLmRrOi8veGJybHMvWC1BRjJBRTc1RS0yMDEzMTIxMF8xMTMwMzdfODM1.xml,"Padborg, 6330",Kilen 1,"Padborg, 6330","FrÃ¸slev, Lejrvej 8","6200, Aabenraa",NÃ¦stmark 25,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-09-06,1974-12-30,2013-11-30,172816.0,Registreret revisor,209039.0,459336.0,84967351.0,26632315.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013 for Nikosped A/S, International Spedition og Transport.",Ãrsrapport,Henrik Eddau Kock,Vibeke Kock,Jyske Bank,"Nikosped A/S, International Spedition og Transport","Intension, registreret revisionsaktieselskab",281840.0,-119894.0,8221.0,Aabenraa,788267.0,1011358.0,849412.0,"0, Padborg",2013-06-30,2012-07-01,-223091.0,74 67 36 90,Administrerende direktÃ¸r/Bestyrelsesmedlem,urn:ofk:oid:17197895,indberetninger-20180424,2.5124211,84967351.0,,2018-04-01T23:57:50.979Z,2013-12-10T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-278.239,2013-12-10T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
