entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialInstitutionPostcodeAndTown,AddressOfFinancialInstitutionStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherShorttermPayables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement
entity identifier,2011-01-01,2011-12-31,ID_10,http://regnskaber.virk.dk/88500323/Y3ZyLmRrOi8vcGRmcy8zMjMwMDU4ODtBcFM0NjgyNDg7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/88500323/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDUxM18xNzAxMjJfMzY5.xml,"5250, Odense SV",Dalumvej 16,"Odense SV, 5250",HvidkÃ¦rvej 41,"5250, Odense SV",Lindholmvej 1A,Til kapitalejerne i PT Bangkok Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-08,10092159.0,32300588.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for PT Bangkok Holding ApS.,"Vi har revideret Ã¥rsregnskabet for PT Bangkok Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,John Hansen,Peter Thygesen,Peter Thygesen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Nordea,PT Bangkok Holding ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",96600.0,2012-12-31,2012-01-01,2013-05-08,Bellinge,DirektÃ¸r,urn:ofk:oid:20582625,indberetninger-20180424,2.5124277999999998,32300588.0,,2018-04-01T15:48:09.797Z,2013-05-13T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-144.827,2013-05-13T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_12,http://regnskaber.virk.dk/88500323/Y3ZyLmRrOi8vcGRmcy8zMjMwMDU4ODtBcFM0NjgyNDg7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/88500323/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDUxM18xNzAxMjJfMzY5.xml,"5250, Odense SV",Dalumvej 16,"Odense SV, 5250",HvidkÃ¦rvej 41,"5250, Odense SV",Lindholmvej 1A,Til kapitalejerne i PT Bangkok Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-08,10092159.0,32300588.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for PT Bangkok Holding ApS.,"Vi har revideret Ã¥rsregnskabet for PT Bangkok Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,John Hansen,Peter Thygesen,Peter Thygesen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Nordea,PT Bangkok Holding ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",-103850.0,2012-12-31,2012-01-01,2013-05-08,Bellinge,DirektÃ¸r,urn:ofk:oid:20582625,indberetninger-20180424,2.5124277999999998,32300588.0,,2018-04-01T15:48:09.797Z,2013-05-13T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-144.827,2013-05-13T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_14,http://regnskaber.virk.dk/88500323/Y3ZyLmRrOi8vcGRmcy8zMjMwMDU4ODtBcFM0NjgyNDg7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/88500323/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDUxM18xNzAxMjJfMzY5.xml,"5250, Odense SV",Dalumvej 16,"Odense SV, 5250",HvidkÃ¦rvej 41,"5250, Odense SV",Lindholmvej 1A,Til kapitalejerne i PT Bangkok Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-08,10092159.0,32300588.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for PT Bangkok Holding ApS.,"Vi har revideret Ã¥rsregnskabet for PT Bangkok Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,John Hansen,Peter Thygesen,Peter Thygesen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Nordea,PT Bangkok Holding ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",-7250.0,2012-12-31,2012-01-01,2013-05-08,Bellinge,DirektÃ¸r,urn:ofk:oid:20582625,indberetninger-20180424,2.5124277999999998,32300588.0,,2018-04-01T15:48:09.797Z,2013-05-13T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-144.827,2013-05-13T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_8,http://regnskaber.virk.dk/88500323/Y3ZyLmRrOi8vcGRmcy8zMjMwMDU4ODtBcFM0NjgyNDg7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/88500323/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDUxM18xNzAxMjJfMzY5.xml,"5250, Odense SV",Dalumvej 16,"Odense SV, 5250",HvidkÃ¦rvej 41,"5250, Odense SV",Lindholmvej 1A,Til kapitalejerne i PT Bangkok Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-08,10092159.0,32300588.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for PT Bangkok Holding ApS.,"Vi har revideret Ã¥rsregnskabet for PT Bangkok Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,John Hansen,Peter Thygesen,Peter Thygesen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Nordea,PT Bangkok Holding ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",7250.0,2012-12-31,2012-01-01,2013-05-08,Bellinge,DirektÃ¸r,urn:ofk:oid:20582625,indberetninger-20180424,2.5124277999999998,32300588.0,,2018-04-01T15:48:09.797Z,2013-05-13T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-144.827,2013-05-13T22:00:00.000Z,7250.0,0.0,7250.0,7250.0,,,,,,,,,,,,,,,
entity identifier,2011-12-31,2011-12-31,ID_16,http://regnskaber.virk.dk/88500323/Y3ZyLmRrOi8vcGRmcy8zMjMwMDU4ODtBcFM0NjgyNDg7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/88500323/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDUxM18xNzAxMjJfMzY5.xml,"5250, Odense SV",Dalumvej 16,"Odense SV, 5250",HvidkÃ¦rvej 41,"5250, Odense SV",Lindholmvej 1A,Til kapitalejerne i PT Bangkok Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-08,10092159.0,32300588.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for PT Bangkok Holding ApS.,"Vi har revideret Ã¥rsregnskabet for PT Bangkok Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,John Hansen,Peter Thygesen,Peter Thygesen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Nordea,PT Bangkok Holding ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",,2012-12-31,2012-01-01,2013-05-08,Bellinge,DirektÃ¸r,urn:ofk:oid:20582625,indberetninger-20180424,2.5124277999999998,32300588.0,,2018-04-01T15:48:09.797Z,2013-05-13T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-144.827,2013-05-13T22:00:00.000Z,,,,,267500.0,0.0,-125000.0,0.0,-255250.0,-267500.0,-12250.0,267500.0,267500.0,267500.0,-5000.0,-96600.0,-33650.0,-12250.0,-7250.0
entity identifier,2012-01-01,2012-12-31,ID_0,http://regnskaber.virk.dk/88500323/Y3ZyLmRrOi8vcGRmcy8zMjMwMDU4ODtBcFM0NjgyNDg7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/88500323/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDUxM18xNzAxMjJfMzY5.xml,"5250, Odense SV",Dalumvej 16,"Odense SV, 5250",HvidkÃ¦rvej 41,"5250, Odense SV",Lindholmvej 1A,Til kapitalejerne i PT Bangkok Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-08,10092159.0,32300588.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for PT Bangkok Holding ApS.,"Vi har revideret Ã¥rsregnskabet for PT Bangkok Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,John Hansen,Peter Thygesen,Peter Thygesen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Nordea,PT Bangkok Holding ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",,2012-12-31,2012-01-01,2013-05-08,Bellinge,DirektÃ¸r,urn:ofk:oid:20582625,indberetninger-20180424,2.5124277999999998,32300588.0,,2018-04-01T15:48:09.797Z,2013-05-13T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-144.827,2013-05-13T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_1,http://regnskaber.virk.dk/88500323/Y3ZyLmRrOi8vcGRmcy8zMjMwMDU4ODtBcFM0NjgyNDg7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/88500323/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDUxM18xNzAxMjJfMzY5.xml,"5250, Odense SV",Dalumvej 16,"Odense SV, 5250",HvidkÃ¦rvej 41,"5250, Odense SV",Lindholmvej 1A,Til kapitalejerne i PT Bangkok Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-08,10092159.0,32300588.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for PT Bangkok Holding ApS.,"Vi har revideret Ã¥rsregnskabet for PT Bangkok Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,John Hansen,Peter Thygesen,Peter Thygesen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Nordea,PT Bangkok Holding ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",,2012-12-31,2012-01-01,2013-05-08,Bellinge,DirektÃ¸r,urn:ofk:oid:20582625,indberetninger-20180424,2.5124277999999998,32300588.0,,2018-04-01T15:48:09.797Z,2013-05-13T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-144.827,2013-05-13T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_11,http://regnskaber.virk.dk/88500323/Y3ZyLmRrOi8vcGRmcy8zMjMwMDU4ODtBcFM0NjgyNDg7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/88500323/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDUxM18xNzAxMjJfMzY5.xml,"5250, Odense SV",Dalumvej 16,"Odense SV, 5250",HvidkÃ¦rvej 41,"5250, Odense SV",Lindholmvej 1A,Til kapitalejerne i PT Bangkok Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-08,10092159.0,32300588.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for PT Bangkok Holding ApS.,"Vi har revideret Ã¥rsregnskabet for PT Bangkok Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,John Hansen,Peter Thygesen,Peter Thygesen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Nordea,PT Bangkok Holding ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",91600.0,2012-12-31,2012-01-01,2013-05-08,Bellinge,DirektÃ¸r,urn:ofk:oid:20582625,indberetninger-20180424,2.5124277999999998,32300588.0,,2018-04-01T15:48:09.797Z,2013-05-13T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-144.827,2013-05-13T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_13,http://regnskaber.virk.dk/88500323/Y3ZyLmRrOi8vcGRmcy8zMjMwMDU4ODtBcFM0NjgyNDg7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/88500323/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDUxM18xNzAxMjJfMzY5.xml,"5250, Odense SV",Dalumvej 16,"Odense SV, 5250",HvidkÃ¦rvej 41,"5250, Odense SV",Lindholmvej 1A,Til kapitalejerne i PT Bangkok Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-08,10092159.0,32300588.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for PT Bangkok Holding ApS.,"Vi har revideret Ã¥rsregnskabet for PT Bangkok Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,John Hansen,Peter Thygesen,Peter Thygesen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Nordea,PT Bangkok Holding ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",91600.0,2012-12-31,2012-01-01,2013-05-08,Bellinge,DirektÃ¸r,urn:ofk:oid:20582625,indberetninger-20180424,2.5124277999999998,32300588.0,,2018-04-01T15:48:09.797Z,2013-05-13T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-144.827,2013-05-13T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_17,http://regnskaber.virk.dk/88500323/Y3ZyLmRrOi8vcGRmcy8zMjMwMDU4ODtBcFM0NjgyNDg7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/88500323/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDUxM18xNzAxMjJfMzY5.xml,"5250, Odense SV",Dalumvej 16,"Odense SV, 5250",HvidkÃ¦rvej 41,"5250, Odense SV",Lindholmvej 1A,Til kapitalejerne i PT Bangkok Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-08,10092159.0,32300588.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for PT Bangkok Holding ApS.,"Vi har revideret Ã¥rsregnskabet for PT Bangkok Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,John Hansen,Peter Thygesen,Peter Thygesen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Nordea,PT Bangkok Holding ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",,2012-12-31,2012-01-01,2013-05-08,Bellinge,DirektÃ¸r,urn:ofk:oid:20582625,indberetninger-20180424,2.5124277999999998,32300588.0,,2018-04-01T15:48:09.797Z,2013-05-13T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-144.827,2013-05-13T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
