entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,EmployeeBenefitsExpense,ExternalExpenses,ExtraordinaryProfitLossBeforeTax,GrossResult,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherShorttermInvestments,OtherShorttermPayables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermDebtToBanks,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameOfAuditFirm
26339820,2013-01-01,2013-12-31,c3,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzL2I4LzBlLzY1LzRlL2JjYTQtNDlkMy05MzA0LTU5OWM0OTY3OTE1Ng.xhtml,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzLzc3L2ZjLzA4LzVlLzRmYTEtNDM1Yi1hNjBiLTZhMjk2NTE5OGY0ZQ.pdf,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzMzLzQzL2E2L2ZjYjItNGMyZC05MDU1LTkxNjBhOGY2YjkyOQ.xml,Danmark,DK,Kgs.Lyngby,2800.0,18.0,TjÃ¸rnevej,Virum,2830.0,112.0,Frederiksdalsvej,2800 Lyngby,TjÃ¸rnevej 18,Til kapitalejerne i Mesterringen Anders Larsen ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-22,2015-05-31,41955.0,Registreret revisor,1628384.0,297322.0,832741.0,2482734.0,10741092.0,26339820.0,1010579046.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,SÃ¸ren Askly,Anders Larsen,Anders BjÃ¸rn Larsen,MESTERRINGEN ANDERS LARSEN ApS,SÃ¸ren Askly,2330.0,22676.0,Virum,2013-01-01,2013-12-31,610973.0,832741.0,812395.0,2014-12-31,2014-01-01,2015-05-22,Kongens Lyngby,"Selskabet opfylder betingelserne i Ã¥rsregnskabsloven, hvorfor revision er fravalgt for indevÃ¦rende regnskabsÃ¥r samt for det kommende Ã¥r.",221768.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5432958,indberetninger-20180424,2.59279,26339820.0,,2018-03-30T11:49:07.447Z,2015-06-03T10:41:23.232Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-14-LW,2015-06-03T10:41:23.532Z,,,,,,,,,,,,,,,,,,,,,,,,,
26339820,2013-01-01,2013-12-31,c5,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzL2I4LzBlLzY1LzRlL2JjYTQtNDlkMy05MzA0LTU5OWM0OTY3OTE1Ng.xhtml,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzLzc3L2ZjLzA4LzVlLzRmYTEtNDM1Yi1hNjBiLTZhMjk2NTE5OGY0ZQ.pdf,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzMzLzQzL2E2L2ZjYjItNGMyZC05MDU1LTkxNjBhOGY2YjkyOQ.xml,Danmark,DK,Kgs.Lyngby,2800.0,18.0,TjÃ¸rnevej,Virum,2830.0,112.0,Frederiksdalsvej,2800 Lyngby,TjÃ¸rnevej 18,Til kapitalejerne i Mesterringen Anders Larsen ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-22,2015-05-31,,Registreret revisor,,,,,10741092.0,26339820.0,1010579046.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,SÃ¸ren Askly,Anders Larsen,Anders BjÃ¸rn Larsen,MESTERRINGEN ANDERS LARSEN ApS,SÃ¸ren Askly,,,Virum,2013-01-01,2013-12-31,600000.0,,,2014-12-31,2014-01-01,2015-05-22,Kongens Lyngby,"Selskabet opfylder betingelserne i Ã¥rsregnskabsloven, hvorfor revision er fravalgt for indevÃ¦rende regnskabsÃ¥r samt for det kommende Ã¥r.",,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5432958,indberetninger-20180424,2.59279,26339820.0,,2018-03-30T11:49:07.447Z,2015-06-03T10:41:23.232Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-14-LW,2015-06-03T10:41:23.532Z,,,,,,,,,,,,,,,,,,,,,,,,,
26339820,2013-01-01,2013-12-31,c7,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzL2I4LzBlLzY1LzRlL2JjYTQtNDlkMy05MzA0LTU5OWM0OTY3OTE1Ng.xhtml,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzLzc3L2ZjLzA4LzVlLzRmYTEtNDM1Yi1hNjBiLTZhMjk2NTE5OGY0ZQ.pdf,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzMzLzQzL2E2L2ZjYjItNGMyZC05MDU1LTkxNjBhOGY2YjkyOQ.xml,Danmark,DK,Kgs.Lyngby,2800.0,18.0,TjÃ¸rnevej,Virum,2830.0,112.0,Frederiksdalsvej,2800 Lyngby,TjÃ¸rnevej 18,Til kapitalejerne i Mesterringen Anders Larsen ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-22,2015-05-31,,Registreret revisor,,,,,10741092.0,26339820.0,1010579046.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,SÃ¸ren Askly,Anders Larsen,Anders BjÃ¸rn Larsen,MESTERRINGEN ANDERS LARSEN ApS,SÃ¸ren Askly,,,Virum,2013-01-01,2013-12-31,10973.0,,,2014-12-31,2014-01-01,2015-05-22,Kongens Lyngby,"Selskabet opfylder betingelserne i Ã¥rsregnskabsloven, hvorfor revision er fravalgt for indevÃ¦rende regnskabsÃ¥r samt for det kommende Ã¥r.",,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5432958,indberetninger-20180424,2.59279,26339820.0,,2018-03-30T11:49:07.447Z,2015-06-03T10:41:23.232Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-14-LW,2015-06-03T10:41:23.532Z,,,,,,,,,,,,,,,,,,,,,,,,,
26339820,2013-12-31,2013-12-31,c9,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzL2I4LzBlLzY1LzRlL2JjYTQtNDlkMy05MzA0LTU5OWM0OTY3OTE1Ng.xhtml,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzLzc3L2ZjLzA4LzVlLzRmYTEtNDM1Yi1hNjBiLTZhMjk2NTE5OGY0ZQ.pdf,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzMzLzQzL2E2L2ZjYjItNGMyZC05MDU1LTkxNjBhOGY2YjkyOQ.xml,Danmark,DK,Kgs.Lyngby,2800.0,18.0,TjÃ¸rnevej,Virum,2830.0,112.0,Frederiksdalsvej,2800 Lyngby,TjÃ¸rnevej 18,Til kapitalejerne i Mesterringen Anders Larsen ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-22,2015-05-31,,Registreret revisor,,,,,10741092.0,26339820.0,1010579046.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,SÃ¸ren Askly,Anders Larsen,Anders BjÃ¸rn Larsen,MESTERRINGEN ANDERS LARSEN ApS,SÃ¸ren Askly,,,Virum,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,2015-05-22,Kongens Lyngby,"Selskabet opfylder betingelserne i Ã¥rsregnskabsloven, hvorfor revision er fravalgt for indevÃ¦rende regnskabsÃ¥r samt for det kommende Ã¥r.",,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5432958,indberetninger-20180424,2.59279,26339820.0,,2018-03-30T11:49:07.447Z,2015-06-03T10:41:23.232Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-14-LW,2015-06-03T10:41:23.532Z,2282118.0,1097454.0,125000.0,2277401.0,852836.0,4717.0,20000.0,2282118.0,1429282.0,20000.0,4717.0,602669.0,417195.0,4717.0,600000.0,127836.0,87738.0,602669.0,1429282.0,699068.0,557278.0,221547.0,3734.0,557278.0,
26339820,2014-01-01,2014-12-31,c0,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzL2I4LzBlLzY1LzRlL2JjYTQtNDlkMy05MzA0LTU5OWM0OTY3OTE1Ng.xhtml,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzLzc3L2ZjLzA4LzVlLzRmYTEtNDM1Yi1hNjBiLTZhMjk2NTE5OGY0ZQ.pdf,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzMzLzQzL2E2L2ZjYjItNGMyZC05MDU1LTkxNjBhOGY2YjkyOQ.xml,Danmark,DK,Kgs.Lyngby,2800.0,18.0,TjÃ¸rnevej,Virum,2830.0,112.0,Frederiksdalsvej,2800 Lyngby,TjÃ¸rnevej 18,Til kapitalejerne i Mesterringen Anders Larsen ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-22,2015-05-31,1808.0,Registreret revisor,1462223.0,240289.0,657023.0,2070378.0,10741092.0,26339820.0,1010579046.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,SÃ¸ren Askly,Anders Larsen,Anders BjÃ¸rn Larsen,MESTERRINGEN ANDERS LARSEN ApS,SÃ¸ren Askly,14917.0,65593.0,Virum,2013-01-01,2013-12-31,495300.0,657023.0,606347.0,2014-12-31,2014-01-01,2015-05-22,Kongens Lyngby,"Selskabet opfylder betingelserne i Ã¥rsregnskabsloven, hvorfor revision er fravalgt for indevÃ¦rende regnskabsÃ¥r samt for det kommende Ã¥r.",161723.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5432958,indberetninger-20180424,2.59279,26339820.0,,2018-03-30T11:49:07.447Z,2015-06-03T10:41:23.232Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-14-LW,2015-06-03T10:41:23.532Z,,,,,,,,,,,,,,,,,,,,,,,,,
26339820,2014-01-01,2014-12-31,c1,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzL2I4LzBlLzY1LzRlL2JjYTQtNDlkMy05MzA0LTU5OWM0OTY3OTE1Ng.xhtml,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzLzc3L2ZjLzA4LzVlLzRmYTEtNDM1Yi1hNjBiLTZhMjk2NTE5OGY0ZQ.pdf,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzMzLzQzL2E2L2ZjYjItNGMyZC05MDU1LTkxNjBhOGY2YjkyOQ.xml,Danmark,DK,Kgs.Lyngby,2800.0,18.0,TjÃ¸rnevej,Virum,2830.0,112.0,Frederiksdalsvej,2800 Lyngby,TjÃ¸rnevej 18,Til kapitalejerne i Mesterringen Anders Larsen ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-22,2015-05-31,,Registreret revisor,,,,,10741092.0,26339820.0,1010579046.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,SÃ¸ren Askly,Anders Larsen,Anders BjÃ¸rn Larsen,MESTERRINGEN ANDERS LARSEN ApS,SÃ¸ren Askly,,,Virum,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,2015-05-22,Kongens Lyngby,"Selskabet opfylder betingelserne i Ã¥rsregnskabsloven, hvorfor revision er fravalgt for indevÃ¦rende regnskabsÃ¥r samt for det kommende Ã¥r.",,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5432958,indberetninger-20180424,2.59279,26339820.0,,2018-03-30T11:49:07.447Z,2015-06-03T10:41:23.232Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-14-LW,2015-06-03T10:41:23.532Z,,,,,,,,,,,,,,,,,,,,,,,,,"REVISIONSFIRMAET SÃREN ASKLY, REGISTRERET REVISIONSANPARTSSELSKAB"
26339820,2014-01-01,2014-12-31,c2,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzL2I4LzBlLzY1LzRlL2JjYTQtNDlkMy05MzA0LTU5OWM0OTY3OTE1Ng.xhtml,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzLzc3L2ZjLzA4LzVlLzRmYTEtNDM1Yi1hNjBiLTZhMjk2NTE5OGY0ZQ.pdf,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzMzLzQzL2E2L2ZjYjItNGMyZC05MDU1LTkxNjBhOGY2YjkyOQ.xml,Danmark,DK,Kgs.Lyngby,2800.0,18.0,TjÃ¸rnevej,Virum,2830.0,112.0,Frederiksdalsvej,2800 Lyngby,TjÃ¸rnevej 18,Til kapitalejerne i Mesterringen Anders Larsen ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-22,2015-05-31,,Registreret revisor,,,,,10741092.0,26339820.0,1010579046.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,SÃ¸ren Askly,Anders Larsen,Anders BjÃ¸rn Larsen,MESTERRINGEN ANDERS LARSEN ApS,SÃ¸ren Askly,,,Virum,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,2015-05-22,Kongens Lyngby,"Selskabet opfylder betingelserne i Ã¥rsregnskabsloven, hvorfor revision er fravalgt for indevÃ¦rende regnskabsÃ¥r samt for det kommende Ã¥r.",,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5432958,indberetninger-20180424,2.59279,26339820.0,,2018-03-30T11:49:07.447Z,2015-06-03T10:41:23.232Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-14-LW,2015-06-03T10:41:23.532Z,,,,,,,,,,,,,,,,,,,,,,,,,
26339820,2014-01-01,2014-12-31,c4,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzL2I4LzBlLzY1LzRlL2JjYTQtNDlkMy05MzA0LTU5OWM0OTY3OTE1Ng.xhtml,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzLzc3L2ZjLzA4LzVlLzRmYTEtNDM1Yi1hNjBiLTZhMjk2NTE5OGY0ZQ.pdf,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzMzLzQzL2E2L2ZjYjItNGMyZC05MDU1LTkxNjBhOGY2YjkyOQ.xml,Danmark,DK,Kgs.Lyngby,2800.0,18.0,TjÃ¸rnevej,Virum,2830.0,112.0,Frederiksdalsvej,2800 Lyngby,TjÃ¸rnevej 18,Til kapitalejerne i Mesterringen Anders Larsen ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-22,2015-05-31,,Registreret revisor,,,,,10741092.0,26339820.0,1010579046.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,SÃ¸ren Askly,Anders Larsen,Anders BjÃ¸rn Larsen,MESTERRINGEN ANDERS LARSEN ApS,SÃ¸ren Askly,,,Virum,2013-01-01,2013-12-31,500000.0,,,2014-12-31,2014-01-01,2015-05-22,Kongens Lyngby,"Selskabet opfylder betingelserne i Ã¥rsregnskabsloven, hvorfor revision er fravalgt for indevÃ¦rende regnskabsÃ¥r samt for det kommende Ã¥r.",,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5432958,indberetninger-20180424,2.59279,26339820.0,,2018-03-30T11:49:07.447Z,2015-06-03T10:41:23.232Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-14-LW,2015-06-03T10:41:23.532Z,,,,,,,,,,,,,,,,,,,,,,,,,
26339820,2014-01-01,2014-12-31,c6,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzL2I4LzBlLzY1LzRlL2JjYTQtNDlkMy05MzA0LTU5OWM0OTY3OTE1Ng.xhtml,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzLzc3L2ZjLzA4LzVlLzRmYTEtNDM1Yi1hNjBiLTZhMjk2NTE5OGY0ZQ.pdf,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzMzLzQzL2E2L2ZjYjItNGMyZC05MDU1LTkxNjBhOGY2YjkyOQ.xml,Danmark,DK,Kgs.Lyngby,2800.0,18.0,TjÃ¸rnevej,Virum,2830.0,112.0,Frederiksdalsvej,2800 Lyngby,TjÃ¸rnevej 18,Til kapitalejerne i Mesterringen Anders Larsen ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-22,2015-05-31,,Registreret revisor,,,,,10741092.0,26339820.0,1010579046.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,SÃ¸ren Askly,Anders Larsen,Anders BjÃ¸rn Larsen,MESTERRINGEN ANDERS LARSEN ApS,SÃ¸ren Askly,,,Virum,2013-01-01,2013-12-31,-4700.0,,,2014-12-31,2014-01-01,2015-05-22,Kongens Lyngby,"Selskabet opfylder betingelserne i Ã¥rsregnskabsloven, hvorfor revision er fravalgt for indevÃ¦rende regnskabsÃ¥r samt for det kommende Ã¥r.",,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5432958,indberetninger-20180424,2.59279,26339820.0,,2018-03-30T11:49:07.447Z,2015-06-03T10:41:23.232Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-14-LW,2015-06-03T10:41:23.532Z,,,,,,,,,,,,,,,,,,,,,,,,,
26339820,2014-12-31,2014-12-31,c8,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzL2I4LzBlLzY1LzRlL2JjYTQtNDlkMy05MzA0LTU5OWM0OTY3OTE1Ng.xhtml,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzLzc3L2ZjLzA4LzVlLzRmYTEtNDM1Yi1hNjBiLTZhMjk2NTE5OGY0ZQ.pdf,http://regnskaber.virk.dk/02893362/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzMzLzQzL2E2L2ZjYjItNGMyZC05MDU1LTkxNjBhOGY2YjkyOQ.xml,Danmark,DK,Kgs.Lyngby,2800.0,18.0,TjÃ¸rnevej,Virum,2830.0,112.0,Frederiksdalsvej,2800 Lyngby,TjÃ¸rnevej 18,Til kapitalejerne i Mesterringen Anders Larsen ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-22,2015-05-31,,Registreret revisor,,,,,10741092.0,26339820.0,1010579046.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,SÃ¸ren Askly,Anders Larsen,Anders BjÃ¸rn Larsen,MESTERRINGEN ANDERS LARSEN ApS,SÃ¸ren Askly,,,Virum,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,2015-05-22,Kongens Lyngby,"Selskabet opfylder betingelserne i Ã¥rsregnskabsloven, hvorfor revision er fravalgt for indevÃ¦rende regnskabsÃ¥r samt for det kommende Ã¥r.",,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5432958,indberetninger-20180424,2.59279,26339820.0,,2018-03-30T11:49:07.447Z,2015-06-03T10:41:23.232Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-14-LW,2015-06-03T10:41:23.532Z,2810504.0,1176825.0,125000.0,2742139.0,748136.0,68365.0,20000.0,2810504.0,2062368.0,20000.0,68365.0,633977.0,357847.0,68365.0,500000.0,123136.0,0.0,633977.0,2062368.0,1272986.0,911337.0,382790.0,48745.0,911337.0,
