entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfLawFirmDistrictName,AddressOfLawFirmPostCodeIdentifier,AddressOfLawFirmStreetBuildingIdentifier,AddressOfLawFirmStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,AdjustmentsForCurrentTaxOfPriorPeriod,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfLawFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherEmployeeExpense,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PostemploymentBenefitExpense,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContractWorkInProgress,ContributedCapital,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherLongtermReceivables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,InvestmentsGross,NameOfAuditFirm,TypeOfAuditorAssistance,DepreciationOfPropertyPlantAndEquipment
30809106,2017-01-01,2017-12-31,c175,,http://regnskaber.virk.dk/60190803/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzgwLzFkL2JhL2ZkNzItNDZlMC1hYmEwLTI1ZjAzMWZjNzgzNA.pdf,http://regnskaber.virk.dk/60190803/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzJmL2YxLzYzL2Q3NTUtNDZkYy1hZjQ4LWZjYmQ5ODkzZWY0ZA.xml,true,Kolding,6000.0,"8A, 7. sal",Kolding Ãpark,Kolding,6000.0,8A,Kolding Ãpark,Kolding,6000.0,"1, 1.",Kolding Ãpark,7000 Fredericia,ErritsÃ¸ MÃ¸llebanke 10,DK-6000 Kolding,"Kolding Ãpark 8A, 7. sal",Til kapitalejerne i Winoto ApS,16000.0,2.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",0.0,2019-05-20,2007-08-27,2019-05-20,53000.0,Statsautoriseret revisor,716000.0,823000.0,20222670.0,30809106.0,20222670.0,mne31367,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Winoto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Steensbjerre,Torben Jensen,Birger Karel Witalis,Sydbank,Szocska,Winoto ApS,BDO Statsautoriseret revisionsaktieselskab,59000.0,0.0,3000.0,Fredericia,7000.0,2017-01-01,2017-12-31,41000.0,57000.0,54000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Fredericia,2018-12-31,2018-01-01,true,2019-05-20,Kolding,5000.0,16000.0,645000.0,urn:ofk:oid:27178384,indberetninger-20180424,2.5097403999999996,30809106.0,AWrVtbBZRYGX6_YTH1p4,2019-05-20T14:47:34.970Z,2019-05-20T14:46:54.853Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BF-10-NG,2019-05-20T14:46:55.010Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30809106,2017-01-01,2017-12-31,c214,,http://regnskaber.virk.dk/60190803/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzgwLzFkL2JhL2ZkNzItNDZlMC1hYmEwLTI1ZjAzMWZjNzgzNA.pdf,http://regnskaber.virk.dk/60190803/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzJmL2YxLzYzL2Q3NTUtNDZkYy1hZjQ4LWZjYmQ5ODkzZWY0ZA.xml,true,Kolding,6000.0,"8A, 7. sal",Kolding Ãpark,Kolding,6000.0,8A,Kolding Ãpark,Kolding,6000.0,"1, 1.",Kolding Ãpark,7000 Fredericia,ErritsÃ¸ MÃ¸llebanke 10,DK-6000 Kolding,"Kolding Ãpark 8A, 7. sal",Til kapitalejerne i Winoto ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-05-20,2007-08-27,2019-05-20,,Statsautoriseret revisor,,,20222670.0,30809106.0,20222670.0,mne31367,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Winoto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Steensbjerre,Torben Jensen,Birger Karel Witalis,Sydbank,Szocska,Winoto ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Fredericia,,2017-01-01,2017-12-31,41000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Fredericia,2018-12-31,2018-01-01,true,2019-05-20,Kolding,,,,urn:ofk:oid:27178384,indberetninger-20180424,2.5097403999999996,30809106.0,AWrVtbBZRYGX6_YTH1p4,2019-05-20T14:47:34.970Z,2019-05-20T14:46:54.853Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BF-10-NG,2019-05-20T14:46:55.010Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30809106,2017-01-01,2017-12-31,c219,,http://regnskaber.virk.dk/60190803/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzgwLzFkL2JhL2ZkNzItNDZlMC1hYmEwLTI1ZjAzMWZjNzgzNA.pdf,http://regnskaber.virk.dk/60190803/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzJmL2YxLzYzL2Q3NTUtNDZkYy1hZjQ4LWZjYmQ5ODkzZWY0ZA.xml,true,Kolding,6000.0,"8A, 7. sal",Kolding Ãpark,Kolding,6000.0,8A,Kolding Ãpark,Kolding,6000.0,"1, 1.",Kolding Ãpark,7000 Fredericia,ErritsÃ¸ MÃ¸llebanke 10,DK-6000 Kolding,"Kolding Ãpark 8A, 7. sal",Til kapitalejerne i Winoto ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-05-20,2007-08-27,2019-05-20,,Statsautoriseret revisor,,,20222670.0,30809106.0,20222670.0,mne31367,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Winoto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Steensbjerre,Torben Jensen,Birger Karel Witalis,Sydbank,Szocska,Winoto ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Fredericia,,2017-01-01,2017-12-31,0.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Fredericia,2018-12-31,2018-01-01,true,2019-05-20,Kolding,,,,urn:ofk:oid:27178384,indberetninger-20180424,2.5097403999999996,30809106.0,AWrVtbBZRYGX6_YTH1p4,2019-05-20T14:47:34.970Z,2019-05-20T14:46:54.853Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BF-10-NG,2019-05-20T14:46:55.010Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30809106,2017-12-31,2017-12-31,c173,,http://regnskaber.virk.dk/60190803/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzgwLzFkL2JhL2ZkNzItNDZlMC1hYmEwLTI1ZjAzMWZjNzgzNA.pdf,http://regnskaber.virk.dk/60190803/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzJmL2YxLzYzL2Q3NTUtNDZkYy1hZjQ4LWZjYmQ5ODkzZWY0ZA.xml,true,Kolding,6000.0,"8A, 7. sal",Kolding Ãpark,Kolding,6000.0,8A,Kolding Ãpark,Kolding,6000.0,"1, 1.",Kolding Ãpark,7000 Fredericia,ErritsÃ¸ MÃ¸llebanke 10,DK-6000 Kolding,"Kolding Ãpark 8A, 7. sal",Til kapitalejerne i Winoto ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-05-20,2007-08-27,2019-05-20,,Statsautoriseret revisor,,,20222670.0,30809106.0,20222670.0,mne31367,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Winoto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Steensbjerre,Torben Jensen,Birger Karel Witalis,Sydbank,Szocska,Winoto ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Fredericia,,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Fredericia,2018-12-31,2018-01-01,true,2019-05-20,Kolding,,,,urn:ofk:oid:27178384,indberetninger-20180424,2.5097403999999996,30809106.0,AWrVtbBZRYGX6_YTH1p4,2019-05-20T14:47:34.970Z,2019-05-20T14:46:54.853Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BF-10-NG,2019-05-20T14:46:55.010Z,417000.0,128000.0,7000.0,225000.0,25000.0,150000.0,20000.0,8000.0,25000.0,417000.0,265000.0,23000.0,8000.0,68000.0,23000.0,1000.0,45000.0,0.0,2000.0,2000.0,-75000.0,265000.0,213000.0,0.0,54000.0,180000.0,,,,,,
30809106,2018-01-01,2018-01-01,c231,,http://regnskaber.virk.dk/60190803/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzgwLzFkL2JhL2ZkNzItNDZlMC1hYmEwLTI1ZjAzMWZjNzgzNA.pdf,http://regnskaber.virk.dk/60190803/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzJmL2YxLzYzL2Q3NTUtNDZkYy1hZjQ4LWZjYmQ5ODkzZWY0ZA.xml,true,Kolding,6000.0,"8A, 7. sal",Kolding Ãpark,Kolding,6000.0,8A,Kolding Ãpark,Kolding,6000.0,"1, 1.",Kolding Ãpark,7000 Fredericia,ErritsÃ¸ MÃ¸llebanke 10,DK-6000 Kolding,"Kolding Ãpark 8A, 7. sal",Til kapitalejerne i Winoto ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-05-20,2007-08-27,2019-05-20,,Statsautoriseret revisor,,,20222670.0,30809106.0,20222670.0,mne31367,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Winoto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Steensbjerre,Torben Jensen,Birger Karel Witalis,Sydbank,Szocska,Winoto ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Fredericia,,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Fredericia,2018-12-31,2018-01-01,true,2019-05-20,Kolding,,,,urn:ofk:oid:27178384,indberetninger-20180424,2.5097403999999996,30809106.0,AWrVtbBZRYGX6_YTH1p4,2019-05-20T14:47:34.970Z,2019-05-20T14:46:54.853Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BF-10-NG,2019-05-20T14:46:55.010Z,,,,,,225000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30809106,2018-01-01,2018-01-01,c249,,http://regnskaber.virk.dk/60190803/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzgwLzFkL2JhL2ZkNzItNDZlMC1hYmEwLTI1ZjAzMWZjNzgzNA.pdf,http://regnskaber.virk.dk/60190803/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzJmL2YxLzYzL2Q3NTUtNDZkYy1hZjQ4LWZjYmQ5ODkzZWY0ZA.xml,true,Kolding,6000.0,"8A, 7. sal",Kolding Ãpark,Kolding,6000.0,8A,Kolding Ãpark,Kolding,6000.0,"1, 1.",Kolding Ãpark,7000 Fredericia,ErritsÃ¸ MÃ¸llebanke 10,DK-6000 Kolding,"Kolding Ãpark 8A, 7. sal",Til kapitalejerne i Winoto ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-05-20,2007-08-27,2019-05-20,,Statsautoriseret revisor,,,20222670.0,30809106.0,20222670.0,mne31367,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Winoto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Steensbjerre,Torben Jensen,Birger Karel Witalis,Sydbank,Szocska,Winoto ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Fredericia,,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Fredericia,2018-12-31,2018-01-01,true,2019-05-20,Kolding,,,,urn:ofk:oid:27178384,indberetninger-20180424,2.5097403999999996,30809106.0,AWrVtbBZRYGX6_YTH1p4,2019-05-20T14:47:34.970Z,2019-05-20T14:46:54.853Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BF-10-NG,2019-05-20T14:46:55.010Z,,,,,,-74440.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30809106,2018-01-01,2018-01-01,c255,,http://regnskaber.virk.dk/60190803/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzgwLzFkL2JhL2ZkNzItNDZlMC1hYmEwLTI1ZjAzMWZjNzgzNA.pdf,http://regnskaber.virk.dk/60190803/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzJmL2YxLzYzL2Q3NTUtNDZkYy1hZjQ4LWZjYmQ5ODkzZWY0ZA.xml,true,Kolding,6000.0,"8A, 7. sal",Kolding Ãpark,Kolding,6000.0,8A,Kolding Ãpark,Kolding,6000.0,"1, 1.",Kolding Ãpark,7000 Fredericia,ErritsÃ¸ MÃ¸llebanke 10,DK-6000 Kolding,"Kolding Ãpark 8A, 7. sal",Til kapitalejerne i Winoto ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-05-20,2007-08-27,2019-05-20,,Statsautoriseret revisor,,,20222670.0,30809106.0,20222670.0,mne31367,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Winoto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Steensbjerre,Torben Jensen,Birger Karel Witalis,Sydbank,Szocska,Winoto ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Fredericia,,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Fredericia,2018-12-31,2018-01-01,true,2019-05-20,Kolding,,,,urn:ofk:oid:27178384,indberetninger-20180424,2.5097403999999996,30809106.0,AWrVtbBZRYGX6_YTH1p4,2019-05-20T14:47:34.970Z,2019-05-20T14:46:54.853Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BF-10-NG,2019-05-20T14:46:55.010Z,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30809106,2018-01-01,2018-01-01,c507,,http://regnskaber.virk.dk/60190803/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzgwLzFkL2JhL2ZkNzItNDZlMC1hYmEwLTI1ZjAzMWZjNzgzNA.pdf,http://regnskaber.virk.dk/60190803/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzJmL2YxLzYzL2Q3NTUtNDZkYy1hZjQ4LWZjYmQ5ODkzZWY0ZA.xml,true,Kolding,6000.0,"8A, 7. sal",Kolding Ãpark,Kolding,6000.0,8A,Kolding Ãpark,Kolding,6000.0,"1, 1.",Kolding Ãpark,7000 Fredericia,ErritsÃ¸ MÃ¸llebanke 10,DK-6000 Kolding,"Kolding Ãpark 8A, 7. sal",Til kapitalejerne i Winoto ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-05-20,2007-08-27,2019-05-20,,Statsautoriseret revisor,,,20222670.0,30809106.0,20222670.0,mne31367,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Winoto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Steensbjerre,Torben Jensen,Birger Karel Witalis,Sydbank,Szocska,Winoto ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Fredericia,,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Fredericia,2018-12-31,2018-01-01,true,2019-05-20,Kolding,,,,urn:ofk:oid:27178384,indberetninger-20180424,2.5097403999999996,30809106.0,AWrVtbBZRYGX6_YTH1p4,2019-05-20T14:47:34.970Z,2019-05-20T14:46:54.853Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BF-10-NG,2019-05-20T14:46:55.010Z,,,,,,,,,,,,,,,,,,,,,,,,,,,19801.0,40002.0,,,,
30809106,2018-01-01,2018-01-01,c542,,http://regnskaber.virk.dk/60190803/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzgwLzFkL2JhL2ZkNzItNDZlMC1hYmEwLTI1ZjAzMWZjNzgzNA.pdf,http://regnskaber.virk.dk/60190803/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzJmL2YxLzYzL2Q3NTUtNDZkYy1hZjQ4LWZjYmQ5ODkzZWY0ZA.xml,true,Kolding,6000.0,"8A, 7. sal",Kolding Ãpark,Kolding,6000.0,8A,Kolding Ãpark,Kolding,6000.0,"1, 1.",Kolding Ãpark,7000 Fredericia,ErritsÃ¸ MÃ¸llebanke 10,DK-6000 Kolding,"Kolding Ãpark 8A, 7. sal",Til kapitalejerne i Winoto ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-05-20,2007-08-27,2019-05-20,,Statsautoriseret revisor,,,20222670.0,30809106.0,20222670.0,mne31367,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Winoto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Steensbjerre,Torben Jensen,Birger Karel Witalis,Sydbank,Szocska,Winoto ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Fredericia,,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Fredericia,2018-12-31,2018-01-01,true,2019-05-20,Kolding,,,,urn:ofk:oid:27178384,indberetninger-20180424,2.5097403999999996,30809106.0,AWrVtbBZRYGX6_YTH1p4,2019-05-20T14:47:34.970Z,2019-05-20T14:46:54.853Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BF-10-NG,2019-05-20T14:46:55.010Z,,,,,,,,,,,,,,,,,,,,,,,,,,,20112.0,44595.0,,,,
30809106,2018-01-01,2018-01-01,c566,,http://regnskaber.virk.dk/60190803/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzgwLzFkL2JhL2ZkNzItNDZlMC1hYmEwLTI1ZjAzMWZjNzgzNA.pdf,http://regnskaber.virk.dk/60190803/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzJmL2YxLzYzL2Q3NTUtNDZkYy1hZjQ4LWZjYmQ5ODkzZWY0ZA.xml,true,Kolding,6000.0,"8A, 7. sal",Kolding Ãpark,Kolding,6000.0,8A,Kolding Ãpark,Kolding,6000.0,"1, 1.",Kolding Ãpark,7000 Fredericia,ErritsÃ¸ MÃ¸llebanke 10,DK-6000 Kolding,"Kolding Ãpark 8A, 7. sal",Til kapitalejerne i Winoto ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-05-20,2007-08-27,2019-05-20,,Statsautoriseret revisor,,,20222670.0,30809106.0,20222670.0,mne31367,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Winoto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Steensbjerre,Torben Jensen,Birger Karel Witalis,Sydbank,Szocska,Winoto ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Fredericia,,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Fredericia,2018-12-31,2018-01-01,true,2019-05-20,Kolding,,,,urn:ofk:oid:27178384,indberetninger-20180424,2.5097403999999996,30809106.0,AWrVtbBZRYGX6_YTH1p4,2019-05-20T14:47:34.970Z,2019-05-20T14:46:54.853Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BF-10-NG,2019-05-20T14:46:55.010Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23400.0,,,
