entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,GrossResult,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividend,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables
58511412,2017-01-01,2017-12-31,c3,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzVhLzhlLzc1Lzc1NTktNGRjZS04NGQ0LTE3NGJmZTFjYzdjNw.xhtml,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzA2LzI4L2FmLzIxLzdkZTEtNGVmMS1iMDgyLTg3MzE0OGZjN2E1ZA.pdf,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzE1Lzc5L2I5L2NhL2VjYWQtNDVmNi1hOTEzLTVlNjljN2VhYjM0YQ.xml,true,NykÃ¸bing F,4800.0,15.0,SÃ¸vej,4840 NÃ¸rre alslev,"SÃ¸lvgade 5, Ãster Kippinge",Til den daglige ledelse i IMW Holding Aps,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2019-01-09,2019-01-14,revisor,-3294.0,35951555.0,58511412.0,6108.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Torben Johansen,Inge Warming,Inge Merete Warming,Revisionsfirmaet Torben Johansen,IMW HOLDING ApS,Torben Johansen,164.0,1744.0,NykÃ¸bing F,2017-01-01,2017-12-31,3428.0,4394.0,-3294.0,2018-12-31,2018-01-01,false,false,2019-01-09,Ãster Kippinge,"Selskabet opfylder bestemmelserne i Ã¥rsregnskabslovens Â§ 135 og har derved mulighed for at aflÃ¦gge et ikke revideret Ã¥rsregnskab. Selskabets ledelse indstiller til generalforsamlingens godkendelse, at selskabets Ã¥rsregnskab fremover ikke revideres.",966.0,40186206.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26568534,indberetninger-20180424,2.5925844,58511412.0,AWhV3d1Ket7j816DxweA,2019-01-16T08:54:46.934Z,2019-01-16T08:53:48.785Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AC-56-FB,2019-01-16T08:53:49.013Z,,,,,,,,,,,,,,,,,,,
58511412,2017-01-01,2017-12-31,c5,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzVhLzhlLzc1Lzc1NTktNGRjZS04NGQ0LTE3NGJmZTFjYzdjNw.xhtml,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzA2LzI4L2FmLzIxLzdkZTEtNGVmMS1iMDgyLTg3MzE0OGZjN2E1ZA.pdf,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzE1Lzc5L2I5L2NhL2VjYWQtNDVmNi1hOTEzLTVlNjljN2VhYjM0YQ.xml,true,NykÃ¸bing F,4800.0,15.0,SÃ¸vej,4840 NÃ¸rre alslev,"SÃ¸lvgade 5, Ãster Kippinge",Til den daglige ledelse i IMW Holding Aps,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2019-01-09,2019-01-14,revisor,,35951555.0,58511412.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Torben Johansen,Inge Warming,Inge Merete Warming,Revisionsfirmaet Torben Johansen,IMW HOLDING ApS,Torben Johansen,,,NykÃ¸bing F,2017-01-01,2017-12-31,52900.0,,,2018-12-31,2018-01-01,false,false,2019-01-09,Ãster Kippinge,"Selskabet opfylder bestemmelserne i Ã¥rsregnskabslovens Â§ 135 og har derved mulighed for at aflÃ¦gge et ikke revideret Ã¥rsregnskab. Selskabets ledelse indstiller til generalforsamlingens godkendelse, at selskabets Ã¥rsregnskab fremover ikke revideres.",,40186206.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26568534,indberetninger-20180424,2.5925844,58511412.0,AWhV3d1Ket7j816DxweA,2019-01-16T08:54:46.934Z,2019-01-16T08:53:48.785Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AC-56-FB,2019-01-16T08:53:49.013Z,,,,,,,,,,,,,,,,,,,
58511412,2017-01-01,2017-12-31,c7,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzVhLzhlLzc1Lzc1NTktNGRjZS04NGQ0LTE3NGJmZTFjYzdjNw.xhtml,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzA2LzI4L2FmLzIxLzdkZTEtNGVmMS1iMDgyLTg3MzE0OGZjN2E1ZA.pdf,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzE1Lzc5L2I5L2NhL2VjYWQtNDVmNi1hOTEzLTVlNjljN2VhYjM0YQ.xml,true,NykÃ¸bing F,4800.0,15.0,SÃ¸vej,4840 NÃ¸rre alslev,"SÃ¸lvgade 5, Ãster Kippinge",Til den daglige ledelse i IMW Holding Aps,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2019-01-09,2019-01-14,revisor,,35951555.0,58511412.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Torben Johansen,Inge Warming,Inge Merete Warming,Revisionsfirmaet Torben Johansen,IMW HOLDING ApS,Torben Johansen,,,NykÃ¸bing F,2017-01-01,2017-12-31,-49472.0,,,2018-12-31,2018-01-01,false,false,2019-01-09,Ãster Kippinge,"Selskabet opfylder bestemmelserne i Ã¥rsregnskabslovens Â§ 135 og har derved mulighed for at aflÃ¦gge et ikke revideret Ã¥rsregnskab. Selskabets ledelse indstiller til generalforsamlingens godkendelse, at selskabets Ã¥rsregnskab fremover ikke revideres.",,40186206.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26568534,indberetninger-20180424,2.5925844,58511412.0,AWhV3d1Ket7j816DxweA,2019-01-16T08:54:46.934Z,2019-01-16T08:53:48.785Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AC-56-FB,2019-01-16T08:53:49.013Z,,,,,,,,,,,,,,,,,,,
58511412,2017-12-31,2017-12-31,c9,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzVhLzhlLzc1Lzc1NTktNGRjZS04NGQ0LTE3NGJmZTFjYzdjNw.xhtml,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzA2LzI4L2FmLzIxLzdkZTEtNGVmMS1iMDgyLTg3MzE0OGZjN2E1ZA.pdf,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzE1Lzc5L2I5L2NhL2VjYWQtNDVmNi1hOTEzLTVlNjljN2VhYjM0YQ.xml,true,NykÃ¸bing F,4800.0,15.0,SÃ¸vej,4840 NÃ¸rre alslev,"SÃ¸lvgade 5, Ãster Kippinge",Til den daglige ledelse i IMW Holding Aps,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2019-01-09,2019-01-14,revisor,,35951555.0,58511412.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Torben Johansen,Inge Warming,Inge Merete Warming,Revisionsfirmaet Torben Johansen,IMW HOLDING ApS,Torben Johansen,,,NykÃ¸bing F,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,false,2019-01-09,Ãster Kippinge,"Selskabet opfylder bestemmelserne i Ã¥rsregnskabslovens Â§ 135 og har derved mulighed for at aflÃ¦gge et ikke revideret Ã¥rsregnskab. Selskabets ledelse indstiller til generalforsamlingens godkendelse, at selskabets Ã¥rsregnskab fremover ikke revideres.",,40186206.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26568534,indberetninger-20180424,2.5925844,58511412.0,AWhV3d1Ket7j816DxweA,2019-01-16T08:54:46.934Z,2019-01-16T08:53:48.785Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AC-56-FB,2019-01-16T08:53:49.013Z,1025183.0,991089.0,200000.0,995423.0,968902.0,1025183.0,56281.0,29760.0,29760.0,29760.0,227.0,4334.0,52900.0,768902.0,56281.0,4334.0,966.0,0.0,2188.0
58511412,2018-01-01,2018-12-31,c0,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzVhLzhlLzc1Lzc1NTktNGRjZS04NGQ0LTE3NGJmZTFjYzdjNw.xhtml,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzA2LzI4L2FmLzIxLzdkZTEtNGVmMS1iMDgyLTg3MzE0OGZjN2E1ZA.pdf,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzE1Lzc5L2I5L2NhL2VjYWQtNDVmNi1hOTEzLTVlNjljN2VhYjM0YQ.xml,true,NykÃ¸bing F,4800.0,15.0,SÃ¸vej,4840 NÃ¸rre alslev,"SÃ¸lvgade 5, Ãster Kippinge",Til den daglige ledelse i IMW Holding Aps,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2019-01-09,2019-01-14,revisor,-2668.0,35951555.0,58511412.0,-11143.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Torben Johansen,Inge Warming,Inge Merete Warming,Revisionsfirmaet Torben Johansen,IMW HOLDING ApS,Torben Johansen,4.0,581.0,NykÃ¸bing F,2017-01-01,2017-12-31,-9942.0,-13234.0,-2668.0,2018-12-31,2018-01-01,false,false,2019-01-09,Ãster Kippinge,"Selskabet opfylder bestemmelserne i Ã¥rsregnskabslovens Â§ 135 og har derved mulighed for at aflÃ¦gge et ikke revideret Ã¥rsregnskab. Selskabets ledelse indstiller til generalforsamlingens godkendelse, at selskabets Ã¥rsregnskab fremover ikke revideres.",-3292.0,40186206.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26568534,indberetninger-20180424,2.5925844,58511412.0,AWhV3d1Ket7j816DxweA,2019-01-16T08:54:46.934Z,2019-01-16T08:53:48.785Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AC-56-FB,2019-01-16T08:53:49.013Z,,,,,,,,,,,,,,,,,,,
58511412,2018-01-01,2018-12-31,c1,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzVhLzhlLzc1Lzc1NTktNGRjZS04NGQ0LTE3NGJmZTFjYzdjNw.xhtml,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzA2LzI4L2FmLzIxLzdkZTEtNGVmMS1iMDgyLTg3MzE0OGZjN2E1ZA.pdf,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzE1Lzc5L2I5L2NhL2VjYWQtNDVmNi1hOTEzLTVlNjljN2VhYjM0YQ.xml,true,NykÃ¸bing F,4800.0,15.0,SÃ¸vej,4840 NÃ¸rre alslev,"SÃ¸lvgade 5, Ãster Kippinge",Til den daglige ledelse i IMW Holding Aps,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2019-01-09,2019-01-14,revisor,,35951555.0,58511412.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Torben Johansen,Inge Warming,Inge Merete Warming,Revisionsfirmaet Torben Johansen,IMW HOLDING ApS,Torben Johansen,,,NykÃ¸bing F,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,false,2019-01-09,Ãster Kippinge,"Selskabet opfylder bestemmelserne i Ã¥rsregnskabslovens Â§ 135 og har derved mulighed for at aflÃ¦gge et ikke revideret Ã¥rsregnskab. Selskabets ledelse indstiller til generalforsamlingens godkendelse, at selskabets Ã¥rsregnskab fremover ikke revideres.",,40186206.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26568534,indberetninger-20180424,2.5925844,58511412.0,AWhV3d1Ket7j816DxweA,2019-01-16T08:54:46.934Z,2019-01-16T08:53:48.785Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AC-56-FB,2019-01-16T08:53:49.013Z,,,,,,,,,,,,,,,,,,,
58511412,2018-01-01,2018-12-31,c2,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzVhLzhlLzc1Lzc1NTktNGRjZS04NGQ0LTE3NGJmZTFjYzdjNw.xhtml,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzA2LzI4L2FmLzIxLzdkZTEtNGVmMS1iMDgyLTg3MzE0OGZjN2E1ZA.pdf,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzE1Lzc5L2I5L2NhL2VjYWQtNDVmNi1hOTEzLTVlNjljN2VhYjM0YQ.xml,true,NykÃ¸bing F,4800.0,15.0,SÃ¸vej,4840 NÃ¸rre alslev,"SÃ¸lvgade 5, Ãster Kippinge",Til den daglige ledelse i IMW Holding Aps,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2019-01-09,2019-01-14,revisor,,35951555.0,58511412.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Torben Johansen,Inge Warming,Inge Merete Warming,Revisionsfirmaet Torben Johansen,IMW HOLDING ApS,Torben Johansen,,,NykÃ¸bing F,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,false,2019-01-09,Ãster Kippinge,"Selskabet opfylder bestemmelserne i Ã¥rsregnskabslovens Â§ 135 og har derved mulighed for at aflÃ¦gge et ikke revideret Ã¥rsregnskab. Selskabets ledelse indstiller til generalforsamlingens godkendelse, at selskabets Ã¥rsregnskab fremover ikke revideres.",,40186206.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26568534,indberetninger-20180424,2.5925844,58511412.0,AWhV3d1Ket7j816DxweA,2019-01-16T08:54:46.934Z,2019-01-16T08:53:48.785Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AC-56-FB,2019-01-16T08:53:49.013Z,,,,,,,,,,,,,,,,,,,
58511412,2018-01-01,2018-12-31,c4,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzVhLzhlLzc1Lzc1NTktNGRjZS04NGQ0LTE3NGJmZTFjYzdjNw.xhtml,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzA2LzI4L2FmLzIxLzdkZTEtNGVmMS1iMDgyLTg3MzE0OGZjN2E1ZA.pdf,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzE1Lzc5L2I5L2NhL2VjYWQtNDVmNi1hOTEzLTVlNjljN2VhYjM0YQ.xml,true,NykÃ¸bing F,4800.0,15.0,SÃ¸vej,4840 NÃ¸rre alslev,"SÃ¸lvgade 5, Ãster Kippinge",Til den daglige ledelse i IMW Holding Aps,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2019-01-09,2019-01-14,revisor,,35951555.0,58511412.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Torben Johansen,Inge Warming,Inge Merete Warming,Revisionsfirmaet Torben Johansen,IMW HOLDING ApS,Torben Johansen,,,NykÃ¸bing F,2017-01-01,2017-12-31,54000.0,,,2018-12-31,2018-01-01,false,false,2019-01-09,Ãster Kippinge,"Selskabet opfylder bestemmelserne i Ã¥rsregnskabslovens Â§ 135 og har derved mulighed for at aflÃ¦gge et ikke revideret Ã¥rsregnskab. Selskabets ledelse indstiller til generalforsamlingens godkendelse, at selskabets Ã¥rsregnskab fremover ikke revideres.",,40186206.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26568534,indberetninger-20180424,2.5925844,58511412.0,AWhV3d1Ket7j816DxweA,2019-01-16T08:54:46.934Z,2019-01-16T08:53:48.785Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AC-56-FB,2019-01-16T08:53:49.013Z,,,,,,,,,,,,,,,,,,,
58511412,2018-01-01,2018-12-31,c6,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzVhLzhlLzc1Lzc1NTktNGRjZS04NGQ0LTE3NGJmZTFjYzdjNw.xhtml,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzA2LzI4L2FmLzIxLzdkZTEtNGVmMS1iMDgyLTg3MzE0OGZjN2E1ZA.pdf,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzE1Lzc5L2I5L2NhL2VjYWQtNDVmNi1hOTEzLTVlNjljN2VhYjM0YQ.xml,true,NykÃ¸bing F,4800.0,15.0,SÃ¸vej,4840 NÃ¸rre alslev,"SÃ¸lvgade 5, Ãster Kippinge",Til den daglige ledelse i IMW Holding Aps,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2019-01-09,2019-01-14,revisor,,35951555.0,58511412.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Torben Johansen,Inge Warming,Inge Merete Warming,Revisionsfirmaet Torben Johansen,IMW HOLDING ApS,Torben Johansen,,,NykÃ¸bing F,2017-01-01,2017-12-31,-63942.0,,,2018-12-31,2018-01-01,false,false,2019-01-09,Ãster Kippinge,"Selskabet opfylder bestemmelserne i Ã¥rsregnskabslovens Â§ 135 og har derved mulighed for at aflÃ¦gge et ikke revideret Ã¥rsregnskab. Selskabets ledelse indstiller til generalforsamlingens godkendelse, at selskabets Ã¥rsregnskab fremover ikke revideres.",,40186206.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26568534,indberetninger-20180424,2.5925844,58511412.0,AWhV3d1Ket7j816DxweA,2019-01-16T08:54:46.934Z,2019-01-16T08:53:48.785Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AC-56-FB,2019-01-16T08:53:49.013Z,,,,,,,,,,,,,,,,,,,
58511412,2018-12-31,2018-12-31,c8,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzVhLzhlLzc1Lzc1NTktNGRjZS04NGQ0LTE3NGJmZTFjYzdjNw.xhtml,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzA2LzI4L2FmLzIxLzdkZTEtNGVmMS1iMDgyLTg3MzE0OGZjN2E1ZA.pdf,http://regnskaber.virk.dk/21411585/ZG9rdW1lbnRsYWdlcjovLzAzLzE1Lzc5L2I5L2NhL2VjYWQtNDVmNi1hOTEzLTVlNjljN2VhYjM0YQ.xml,true,NykÃ¸bing F,4800.0,15.0,SÃ¸vej,4840 NÃ¸rre alslev,"SÃ¸lvgade 5, Ãster Kippinge",Til den daglige ledelse i IMW Holding Aps,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2019-01-09,2019-01-14,revisor,,35951555.0,58511412.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Torben Johansen,Inge Warming,Inge Merete Warming,Revisionsfirmaet Torben Johansen,IMW HOLDING ApS,Torben Johansen,,,NykÃ¸bing F,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,false,2019-01-09,Ãster Kippinge,"Selskabet opfylder bestemmelserne i Ã¥rsregnskabslovens Â§ 135 og har derved mulighed for at aflÃ¦gge et ikke revideret Ã¥rsregnskab. Selskabets ledelse indstiller til generalforsamlingens godkendelse, at selskabets Ã¥rsregnskab fremover ikke revideres.",,40186206.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26568534,indberetninger-20180424,2.5925844,58511412.0,AWhV3d1Ket7j816DxweA,2019-01-16T08:54:46.934Z,2019-01-16T08:53:48.785Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AC-56-FB,2019-01-16T08:53:49.013Z,961178.0,937255.0,200000.0,944150.0,904960.0,961178.0,56218.0,17028.0,17028.0,17028.0,0.0,3746.0,54000.0,704960.0,56218.0,6895.0,0.0,3149.0,2218.0
