entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialDistrictName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DebtRepaidByManagementCategory,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfOtherOperatingIncome,Equity,ExtraordinaryDividendPaid,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecognisedButNotOwnedAssets,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,Dividend,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprises,OtherFinanceExpenses,OtherFinanceIncome,OtherFinanceIncomeFromGroupEnterprises,OtherInterestExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,DividendPaid,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermReceivablesFromOwnersAndManagement,ShorttermTaxReceivables,ShorttermTradePayables,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberOfAuditor,NameAndSurnameOfAuditor,NameOfAuditFirm,TelephoneNumberOfAuditor
20356332,2017-01-01,2017-01-01,c720,,http://regnskaber.virk.dk/23365302/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzdlLzM1LzU3L2YyMjktNDJiZC04NjRjLTYzN2VjZDM2OWQyMw.pdf,http://regnskaber.virk.dk/23365302/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzNlLzc1L2JlLzQzY2ItNDNmOC1hZmRhLWRmMTgwNjE5ODY1NA.xml,Horsens,Juelsminde,7130.0,27.0,Sverrigsvej,"7160, TÃ¸rring","Bredgade, 29",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-05-16,2019-05-16,1997-09-01,2019-05-27,10763.0,Andre eksterne omkostninger omfatter omkostninger til administration og lokaler.,"Andre driftsindtÃ¦gter indeholder regnskabsposter af sekundÃ¦r karakter i forhold til virksomhedens hovedaktiviteter, herunder fortjeneste ved salg af materielle anlÃ¦gsaktiver.",150000.0,0.0,20356332.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for Per Kristensen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per Kristensen,Per Kristensen,Jyske Bank,Per Kristensen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Juelsminde,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hedensted,2018-12-31,2018-01-01,2019-05-16,TÃ¸rring,75673061.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27258200,indberetninger-20180424,2.5124266,20356332.0,AWr8zh5oRYGX6_YTIGGO,2019-05-28T04:59:07.456Z,2019-05-28T04:58:47.387Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BH-30-LZ,2019-05-28T04:58:47.536Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20356332,2017-01-01,2017-01-01,c741,,http://regnskaber.virk.dk/23365302/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzdlLzM1LzU3L2YyMjktNDJiZC04NjRjLTYzN2VjZDM2OWQyMw.pdf,http://regnskaber.virk.dk/23365302/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzNlLzc1L2JlLzQzY2ItNDNmOC1hZmRhLWRmMTgwNjE5ODY1NA.xml,Horsens,Juelsminde,7130.0,27.0,Sverrigsvej,"7160, TÃ¸rring","Bredgade, 29",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-05-16,2019-05-16,1997-09-01,2019-05-27,10763.0,Andre eksterne omkostninger omfatter omkostninger til administration og lokaler.,"Andre driftsindtÃ¦gter indeholder regnskabsposter af sekundÃ¦r karakter i forhold til virksomhedens hovedaktiviteter, herunder fortjeneste ved salg af materielle anlÃ¦gsaktiver.",1870381.0,0.0,20356332.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for Per Kristensen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per Kristensen,Per Kristensen,Jyske Bank,Per Kristensen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Juelsminde,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hedensted,2018-12-31,2018-01-01,2019-05-16,TÃ¸rring,75673061.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27258200,indberetninger-20180424,2.5124266,20356332.0,AWr8zh5oRYGX6_YTIGGO,2019-05-28T04:59:07.456Z,2019-05-28T04:58:47.387Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BH-30-LZ,2019-05-28T04:58:47.536Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20356332,2017-01-01,2017-01-01,c744,,http://regnskaber.virk.dk/23365302/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzdlLzM1LzU3L2YyMjktNDJiZC04NjRjLTYzN2VjZDM2OWQyMw.pdf,http://regnskaber.virk.dk/23365302/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzNlLzc1L2JlLzQzY2ItNDNmOC1hZmRhLWRmMTgwNjE5ODY1NA.xml,Horsens,Juelsminde,7130.0,27.0,Sverrigsvej,"7160, TÃ¸rring","Bredgade, 29",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-05-16,2019-05-16,1997-09-01,2019-05-27,10763.0,Andre eksterne omkostninger omfatter omkostninger til administration og lokaler.,"Andre driftsindtÃ¦gter indeholder regnskabsposter af sekundÃ¦r karakter i forhold til virksomhedens hovedaktiviteter, herunder fortjeneste ved salg af materielle anlÃ¦gsaktiver.",0.0,0.0,20356332.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for Per Kristensen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per Kristensen,Per Kristensen,Jyske Bank,Per Kristensen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Juelsminde,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hedensted,2018-12-31,2018-01-01,2019-05-16,TÃ¸rring,75673061.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27258200,indberetninger-20180424,2.5124266,20356332.0,AWr8zh5oRYGX6_YTIGGO,2019-05-28T04:59:07.456Z,2019-05-28T04:58:47.387Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BH-30-LZ,2019-05-28T04:58:47.536Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20356332,2017-01-01,2017-12-31,c109,,http://regnskaber.virk.dk/23365302/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzdlLzM1LzU3L2YyMjktNDJiZC04NjRjLTYzN2VjZDM2OWQyMw.pdf,http://regnskaber.virk.dk/23365302/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzNlLzc1L2JlLzQzY2ItNDNmOC1hZmRhLWRmMTgwNjE5ODY1NA.xml,Horsens,Juelsminde,7130.0,27.0,Sverrigsvej,"7160, TÃ¸rring","Bredgade, 29",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-05-16,2019-05-16,1997-09-01,2019-05-27,10763.0,Andre eksterne omkostninger omfatter omkostninger til administration og lokaler.,"Andre driftsindtÃ¦gter indeholder regnskabsposter af sekundÃ¦r karakter i forhold til virksomhedens hovedaktiviteter, herunder fortjeneste ved salg af materielle anlÃ¦gsaktiver.",,0.0,20356332.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for Per Kristensen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per Kristensen,Per Kristensen,Jyske Bank,Per Kristensen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Juelsminde,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hedensted,2018-12-31,2018-01-01,2019-05-16,TÃ¸rring,75673061.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27258200,indberetninger-20180424,2.5124266,20356332.0,AWr8zh5oRYGX6_YTIGGO,2019-05-28T04:59:07.456Z,2019-05-28T04:58:47.387Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BH-30-LZ,2019-05-28T04:58:47.536Z,200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20356332,2017-01-01,2017-12-31,c123,,http://regnskaber.virk.dk/23365302/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzdlLzM1LzU3L2YyMjktNDJiZC04NjRjLTYzN2VjZDM2OWQyMw.pdf,http://regnskaber.virk.dk/23365302/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzNlLzc1L2JlLzQzY2ItNDNmOC1hZmRhLWRmMTgwNjE5ODY1NA.xml,Horsens,Juelsminde,7130.0,27.0,Sverrigsvej,"7160, TÃ¸rring","Bredgade, 29",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-05-16,2019-05-16,1997-09-01,2019-05-27,10763.0,Andre eksterne omkostninger omfatter omkostninger til administration og lokaler.,"Andre driftsindtÃ¦gter indeholder regnskabsposter af sekundÃ¦r karakter i forhold til virksomhedens hovedaktiviteter, herunder fortjeneste ved salg af materielle anlÃ¦gsaktiver.",,0.0,20356332.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for Per Kristensen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per Kristensen,Per Kristensen,Jyske Bank,Per Kristensen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Juelsminde,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hedensted,2018-12-31,2018-01-01,2019-05-16,TÃ¸rring,75673061.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27258200,indberetninger-20180424,2.5124266,20356332.0,AWr8zh5oRYGX6_YTIGGO,2019-05-28T04:59:07.456Z,2019-05-28T04:58:47.387Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BH-30-LZ,2019-05-28T04:58:47.536Z,-490525.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20356332,2017-01-01,2017-12-31,c2019,,http://regnskaber.virk.dk/23365302/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzdlLzM1LzU3L2YyMjktNDJiZC04NjRjLTYzN2VjZDM2OWQyMw.pdf,http://regnskaber.virk.dk/23365302/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzNlLzc1L2JlLzQzY2ItNDNmOC1hZmRhLWRmMTgwNjE5ODY1NA.xml,Horsens,Juelsminde,7130.0,27.0,Sverrigsvej,"7160, TÃ¸rring","Bredgade, 29",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-05-16,2019-05-16,1997-09-01,2019-05-27,10763.0,Andre eksterne omkostninger omfatter omkostninger til administration og lokaler.,"Andre driftsindtÃ¦gter indeholder regnskabsposter af sekundÃ¦r karakter i forhold til virksomhedens hovedaktiviteter, herunder fortjeneste ved salg af materielle anlÃ¦gsaktiver.",,0.0,20356332.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for Per Kristensen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per Kristensen,Per Kristensen,Jyske Bank,Per Kristensen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Juelsminde,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hedensted,2018-12-31,2018-01-01,2019-05-16,TÃ¸rring,75673061.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27258200,indberetninger-20180424,2.5124266,20356332.0,AWr8zh5oRYGX6_YTIGGO,2019-05-28T04:59:07.456Z,2019-05-28T04:58:47.387Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BH-30-LZ,2019-05-28T04:58:47.536Z,,200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20356332,2017-01-01,2017-12-31,c3,,http://regnskaber.virk.dk/23365302/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzdlLzM1LzU3L2YyMjktNDJiZC04NjRjLTYzN2VjZDM2OWQyMw.pdf,http://regnskaber.virk.dk/23365302/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzNlLzc1L2JlLzQzY2ItNDNmOC1hZmRhLWRmMTgwNjE5ODY1NA.xml,Horsens,Juelsminde,7130.0,27.0,Sverrigsvej,"7160, TÃ¸rring","Bredgade, 29",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-05-16,2019-05-16,1997-09-01,2019-05-27,10763.0,Andre eksterne omkostninger omfatter omkostninger til administration og lokaler.,"Andre driftsindtÃ¦gter indeholder regnskabsposter af sekundÃ¦r karakter i forhold til virksomhedens hovedaktiviteter, herunder fortjeneste ved salg af materielle anlÃ¦gsaktiver.",,0.0,20356332.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for Per Kristensen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per Kristensen,Per Kristensen,Jyske Bank,Per Kristensen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Juelsminde,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hedensted,2018-12-31,2018-01-01,2019-05-16,TÃ¸rring,75673061.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27258200,indberetninger-20180424,2.5124266,20356332.0,AWr8zh5oRYGX6_YTIGGO,2019-05-28T04:59:07.456Z,2019-05-28T04:58:47.387Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BH-30-LZ,2019-05-28T04:58:47.536Z,-90525.0,,120024.0,-6702.0,-74044.0,1664.0,62124.0,45284.0,1664.0,-95026.0,-126726.0,-4501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20356332,2017-01-01,2017-12-31,c426,,http://regnskaber.virk.dk/23365302/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzdlLzM1LzU3L2YyMjktNDJiZC04NjRjLTYzN2VjZDM2OWQyMw.pdf,http://regnskaber.virk.dk/23365302/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzNlLzc1L2JlLzQzY2ItNDNmOC1hZmRhLWRmMTgwNjE5ODY1NA.xml,Horsens,Juelsminde,7130.0,27.0,Sverrigsvej,"7160, TÃ¸rring","Bredgade, 29",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-05-16,2019-05-16,1997-09-01,2019-05-27,10763.0,Andre eksterne omkostninger omfatter omkostninger til administration og lokaler.,"Andre driftsindtÃ¦gter indeholder regnskabsposter af sekundÃ¦r karakter i forhold til virksomhedens hovedaktiviteter, herunder fortjeneste ved salg af materielle anlÃ¦gsaktiver.",,0.0,20356332.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for Per Kristensen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per Kristensen,Per Kristensen,Jyske Bank,Per Kristensen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Juelsminde,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hedensted,2018-12-31,2018-01-01,2019-05-16,TÃ¸rring,75673061.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27258200,indberetninger-20180424,2.5124266,20356332.0,AWr8zh5oRYGX6_YTIGGO,2019-05-28T04:59:07.456Z,2019-05-28T04:58:47.387Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BH-30-LZ,2019-05-28T04:58:47.536Z,200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20356332,2017-01-01,2017-12-31,c742,,http://regnskaber.virk.dk/23365302/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzdlLzM1LzU3L2YyMjktNDJiZC04NjRjLTYzN2VjZDM2OWQyMw.pdf,http://regnskaber.virk.dk/23365302/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzNlLzc1L2JlLzQzY2ItNDNmOC1hZmRhLWRmMTgwNjE5ODY1NA.xml,Horsens,Juelsminde,7130.0,27.0,Sverrigsvej,"7160, TÃ¸rring","Bredgade, 29",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-05-16,2019-05-16,1997-09-01,2019-05-27,10763.0,Andre eksterne omkostninger omfatter omkostninger til administration og lokaler.,"Andre driftsindtÃ¦gter indeholder regnskabsposter af sekundÃ¦r karakter i forhold til virksomhedens hovedaktiviteter, herunder fortjeneste ved salg af materielle anlÃ¦gsaktiver.",,0.0,20356332.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for Per Kristensen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per Kristensen,Per Kristensen,Jyske Bank,Per Kristensen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Juelsminde,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hedensted,2018-12-31,2018-01-01,2019-05-16,TÃ¸rring,75673061.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27258200,indberetninger-20180424,2.5124266,20356332.0,AWr8zh5oRYGX6_YTIGGO,2019-05-28T04:59:07.456Z,2019-05-28T04:58:47.387Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BH-30-LZ,2019-05-28T04:58:47.536Z,-490525.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20356332,2017-01-01,2017-12-31,c745,,http://regnskaber.virk.dk/23365302/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzdlLzM1LzU3L2YyMjktNDJiZC04NjRjLTYzN2VjZDM2OWQyMw.pdf,http://regnskaber.virk.dk/23365302/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzNlLzc1L2JlLzQzY2ItNDNmOC1hZmRhLWRmMTgwNjE5ODY1NA.xml,Horsens,Juelsminde,7130.0,27.0,Sverrigsvej,"7160, TÃ¸rring","Bredgade, 29",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-05-16,2019-05-16,1997-09-01,2019-05-27,10763.0,Andre eksterne omkostninger omfatter omkostninger til administration og lokaler.,"Andre driftsindtÃ¦gter indeholder regnskabsposter af sekundÃ¦r karakter i forhold til virksomhedens hovedaktiviteter, herunder fortjeneste ved salg af materielle anlÃ¦gsaktiver.",,0.0,20356332.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for Per Kristensen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per Kristensen,Per Kristensen,Jyske Bank,Per Kristensen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Juelsminde,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hedensted,2018-12-31,2018-01-01,2019-05-16,TÃ¸rring,75673061.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27258200,indberetninger-20180424,2.5124266,20356332.0,AWr8zh5oRYGX6_YTIGGO,2019-05-28T04:59:07.456Z,2019-05-28T04:58:47.387Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BH-30-LZ,2019-05-28T04:58:47.536Z,,200000.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
