entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfLawFirmDistrictName,AddressOfLawFirmPostCodeIdentifier,AddressOfLawFirmStreetBuildingIdentifier,AddressOfLawFirmStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AdjustmentsForDeferredTax,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,InterestExpenseAssignedToGroupEnterprises,InterestIncomeFromGroupEnterprises,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfLawFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,AccumulatedRevaluationsOfInvestments,InvestmentsGross,NameOfAuditFirm,TypeOfAuditorAssistance
30486730,2017-01-01,2017-12-31,c174,,http://regnskaber.virk.dk/03768403/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2LzI0L2U4L2I0LzgxZGEtNGNlOC1hOTZjLTg3ZjI1Mjc0ZjU0YQ.pdf,http://regnskaber.virk.dk/03768403/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzcxL2NkL2NjL2U3ZDAtNGFiMi1hN2NkLTJkYjZlMDA2NjBmOQ.xml,true,Aalborg,9000.0,51.0,Visionsvej,LÃ¸gstÃ¸r,9670.0,8.0,Ãsterbrogade,Aalborg,9000.0,3.0,Skibbrogade,9670 LÃ¸gstÃ¸r,c/o Hans Welling,DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i BizzCorp Holding ApS,-27655.0,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,52272.0,2019-05-23,2007-03-16,2019-05-23,Statsautoriseret revisor,77109.0,20222670.0,30486730.0,20222670.0,mne41302,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for BizzCorp Holding ApS.,Ãrsrapport,20933.0,29158.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Mads Madsen,Birgitte Welling,Birgitte Welling,Spar Nord Bank A/S,Haugaard Braad,BizzCorp Holding ApS,BDO Statsautoriseret revisionsaktieselskab,22493.0,29158.0,1560.0,LÃ¸gstÃ¸r,2017-01-01,2017-12-31,59157.0,83774.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Vesthimmerland,2018-12-31,2018-01-01,true,2019-05-23,Aalborg,24617.0,urn:ofk:oid:27233369,indberetninger-20180424,2.5118406,30486730.0,AWrvM2WmRYGX6_YTIBAD,2019-05-25T13:35:00.100Z,2019-05-25T13:34:43.516Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BG-87-FC,2019-05-25T13:34:43.652Z,,,,,,,,,,,,,,,,,,,,
30486730,2017-01-01,2017-12-31,c195,,http://regnskaber.virk.dk/03768403/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2LzI0L2U4L2I0LzgxZGEtNGNlOC1hOTZjLTg3ZjI1Mjc0ZjU0YQ.pdf,http://regnskaber.virk.dk/03768403/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzcxL2NkL2NjL2U3ZDAtNGFiMi1hN2NkLTJkYjZlMDA2NjBmOQ.xml,true,Aalborg,9000.0,51.0,Visionsvej,LÃ¸gstÃ¸r,9670.0,8.0,Ãsterbrogade,Aalborg,9000.0,3.0,Skibbrogade,9670 LÃ¸gstÃ¸r,c/o Hans Welling,DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i BizzCorp Holding ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2019-05-23,2007-03-16,2019-05-23,Statsautoriseret revisor,,20222670.0,30486730.0,20222670.0,mne41302,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for BizzCorp Holding ApS.,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Mads Madsen,Birgitte Welling,Birgitte Welling,Spar Nord Bank A/S,Haugaard Braad,BizzCorp Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,LÃ¸gstÃ¸r,2017-01-01,2017-12-31,59157.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Vesthimmerland,2018-12-31,2018-01-01,true,2019-05-23,Aalborg,,urn:ofk:oid:27233369,indberetninger-20180424,2.5118406,30486730.0,AWrvM2WmRYGX6_YTIBAD,2019-05-25T13:35:00.100Z,2019-05-25T13:34:43.516Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BG-87-FC,2019-05-25T13:34:43.652Z,,,,,,,,,,,,,,,,,,,,
30486730,2017-12-31,2017-12-31,c172,,http://regnskaber.virk.dk/03768403/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2LzI0L2U4L2I0LzgxZGEtNGNlOC1hOTZjLTg3ZjI1Mjc0ZjU0YQ.pdf,http://regnskaber.virk.dk/03768403/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzcxL2NkL2NjL2U3ZDAtNGFiMi1hN2NkLTJkYjZlMDA2NjBmOQ.xml,true,Aalborg,9000.0,51.0,Visionsvej,LÃ¸gstÃ¸r,9670.0,8.0,Ãsterbrogade,Aalborg,9000.0,3.0,Skibbrogade,9670 LÃ¸gstÃ¸r,c/o Hans Welling,DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i BizzCorp Holding ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2019-05-23,2007-03-16,2019-05-23,Statsautoriseret revisor,,20222670.0,30486730.0,20222670.0,mne41302,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for BizzCorp Holding ApS.,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Mads Madsen,Birgitte Welling,Birgitte Welling,Spar Nord Bank A/S,Haugaard Braad,BizzCorp Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,LÃ¸gstÃ¸r,2017-01-01,2017-12-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Vesthimmerland,2018-12-31,2018-01-01,true,2019-05-23,Aalborg,,urn:ofk:oid:27233369,indberetninger-20180424,2.5118406,30486730.0,AWrvM2WmRYGX6_YTIBAD,2019-05-25T13:35:00.100Z,2019-05-25T13:34:43.516Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BG-87-FC,2019-05-25T13:34:43.652Z,7818.0,7818.0,900000.0,-332299.0,7818.0,340117.0,0.0,0.0,0.0,-1232299.0,340117.0,258325.0,0.0,0.0,52271.0,17045.0,,,,
30486730,2018-01-01,2018-01-01,c226,,http://regnskaber.virk.dk/03768403/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2LzI0L2U4L2I0LzgxZGEtNGNlOC1hOTZjLTg3ZjI1Mjc0ZjU0YQ.pdf,http://regnskaber.virk.dk/03768403/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzcxL2NkL2NjL2U3ZDAtNGFiMi1hN2NkLTJkYjZlMDA2NjBmOQ.xml,true,Aalborg,9000.0,51.0,Visionsvej,LÃ¸gstÃ¸r,9670.0,8.0,Ãsterbrogade,Aalborg,9000.0,3.0,Skibbrogade,9670 LÃ¸gstÃ¸r,c/o Hans Welling,DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i BizzCorp Holding ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2019-05-23,2007-03-16,2019-05-23,Statsautoriseret revisor,,20222670.0,30486730.0,20222670.0,mne41302,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for BizzCorp Holding ApS.,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Mads Madsen,Birgitte Welling,Birgitte Welling,Spar Nord Bank A/S,Haugaard Braad,BizzCorp Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,LÃ¸gstÃ¸r,2017-01-01,2017-12-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Vesthimmerland,2018-12-31,2018-01-01,true,2019-05-23,Aalborg,,urn:ofk:oid:27233369,indberetninger-20180424,2.5118406,30486730.0,AWrvM2WmRYGX6_YTIBAD,2019-05-25T13:35:00.100Z,2019-05-25T13:34:43.516Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BG-87-FC,2019-05-25T13:34:43.652Z,,,,900000.0,,,,,,,,,,,,,,,,
30486730,2018-01-01,2018-01-01,c253,,http://regnskaber.virk.dk/03768403/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2LzI0L2U4L2I0LzgxZGEtNGNlOC1hOTZjLTg3ZjI1Mjc0ZjU0YQ.pdf,http://regnskaber.virk.dk/03768403/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzcxL2NkL2NjL2U3ZDAtNGFiMi1hN2NkLTJkYjZlMDA2NjBmOQ.xml,true,Aalborg,9000.0,51.0,Visionsvej,LÃ¸gstÃ¸r,9670.0,8.0,Ãsterbrogade,Aalborg,9000.0,3.0,Skibbrogade,9670 LÃ¸gstÃ¸r,c/o Hans Welling,DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i BizzCorp Holding ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2019-05-23,2007-03-16,2019-05-23,Statsautoriseret revisor,,20222670.0,30486730.0,20222670.0,mne41302,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for BizzCorp Holding ApS.,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Mads Madsen,Birgitte Welling,Birgitte Welling,Spar Nord Bank A/S,Haugaard Braad,BizzCorp Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,LÃ¸gstÃ¸r,2017-01-01,2017-12-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Vesthimmerland,2018-12-31,2018-01-01,true,2019-05-23,Aalborg,,urn:ofk:oid:27233369,indberetninger-20180424,2.5118406,30486730.0,AWrvM2WmRYGX6_YTIBAD,2019-05-25T13:35:00.100Z,2019-05-25T13:34:43.516Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BG-87-FC,2019-05-25T13:34:43.652Z,,,,-1232299.0,,,,,,,,,,,,,,,,
30486730,2018-01-01,2018-01-01,c548,,http://regnskaber.virk.dk/03768403/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2LzI0L2U4L2I0LzgxZGEtNGNlOC1hOTZjLTg3ZjI1Mjc0ZjU0YQ.pdf,http://regnskaber.virk.dk/03768403/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzcxL2NkL2NjL2U3ZDAtNGFiMi1hN2NkLTJkYjZlMDA2NjBmOQ.xml,true,Aalborg,9000.0,51.0,Visionsvej,LÃ¸gstÃ¸r,9670.0,8.0,Ãsterbrogade,Aalborg,9000.0,3.0,Skibbrogade,9670 LÃ¸gstÃ¸r,c/o Hans Welling,DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i BizzCorp Holding ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2019-05-23,2007-03-16,2019-05-23,Statsautoriseret revisor,,20222670.0,30486730.0,20222670.0,mne41302,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for BizzCorp Holding ApS.,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Mads Madsen,Birgitte Welling,Birgitte Welling,Spar Nord Bank A/S,Haugaard Braad,BizzCorp Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,LÃ¸gstÃ¸r,2017-01-01,2017-12-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Vesthimmerland,2018-12-31,2018-01-01,true,2019-05-23,Aalborg,,urn:ofk:oid:27233369,indberetninger-20180424,2.5118406,30486730.0,AWrvM2WmRYGX6_YTIBAD,2019-05-25T13:35:00.100Z,2019-05-25T13:34:43.516Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BG-87-FC,2019-05-25T13:34:43.652Z,,,,,,,,,,,,,,,,,-5757125.0,5757125.0,,
30486730,2018-01-01,2018-12-31,c173,,http://regnskaber.virk.dk/03768403/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2LzI0L2U4L2I0LzgxZGEtNGNlOC1hOTZjLTg3ZjI1Mjc0ZjU0YQ.pdf,http://regnskaber.virk.dk/03768403/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzcxL2NkL2NjL2U3ZDAtNGFiMi1hN2NkLTJkYjZlMDA2NjBmOQ.xml,true,Aalborg,9000.0,51.0,Visionsvej,LÃ¸gstÃ¸r,9670.0,8.0,Ãsterbrogade,Aalborg,9000.0,3.0,Skibbrogade,9670 LÃ¸gstÃ¸r,c/o Hans Welling,DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i BizzCorp Holding ApS,0.0,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,34718.0,2019-05-23,2007-03-16,2019-05-23,Statsautoriseret revisor,215998.0,20222670.0,30486730.0,20222670.0,mne41302,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for BizzCorp Holding ApS.,Ãrsrapport,15250.0,32102.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Mads Madsen,Birgitte Welling,Birgitte Welling,Spar Nord Bank A/S,Haugaard Braad,BizzCorp Holding ApS,BDO Statsautoriseret revisionsaktieselskab,15275.0,32102.0,25.0,LÃ¸gstÃ¸r,2017-01-01,2017-12-31,198107.0,232825.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Vesthimmerland,2018-12-31,2018-01-01,true,2019-05-23,Aalborg,34718.0,urn:ofk:oid:27233369,indberetninger-20180424,2.5118406,30486730.0,AWrvM2WmRYGX6_YTIBAD,2019-05-25T13:35:00.100Z,2019-05-25T13:34:43.516Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BG-87-FC,2019-05-25T13:34:43.652Z,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,Andre erklÃ¦ringer uden sikkerhed
30486730,2018-01-01,2018-12-31,c194,,http://regnskaber.virk.dk/03768403/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2LzI0L2U4L2I0LzgxZGEtNGNlOC1hOTZjLTg3ZjI1Mjc0ZjU0YQ.pdf,http://regnskaber.virk.dk/03768403/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzcxL2NkL2NjL2U3ZDAtNGFiMi1hN2NkLTJkYjZlMDA2NjBmOQ.xml,true,Aalborg,9000.0,51.0,Visionsvej,LÃ¸gstÃ¸r,9670.0,8.0,Ãsterbrogade,Aalborg,9000.0,3.0,Skibbrogade,9670 LÃ¸gstÃ¸r,c/o Hans Welling,DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i BizzCorp Holding ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2019-05-23,2007-03-16,2019-05-23,Statsautoriseret revisor,,20222670.0,30486730.0,20222670.0,mne41302,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for BizzCorp Holding ApS.,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Mads Madsen,Birgitte Welling,Birgitte Welling,Spar Nord Bank A/S,Haugaard Braad,BizzCorp Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,LÃ¸gstÃ¸r,2017-01-01,2017-12-31,198107.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Vesthimmerland,2018-12-31,2018-01-01,true,2019-05-23,Aalborg,,urn:ofk:oid:27233369,indberetninger-20180424,2.5118406,30486730.0,AWrvM2WmRYGX6_YTIBAD,2019-05-25T13:35:00.100Z,2019-05-25T13:34:43.516Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BG-87-FC,2019-05-25T13:34:43.652Z,,,,,,,,,,,,,,,,,,,,
30486730,2018-01-01,2018-12-31,c254,,http://regnskaber.virk.dk/03768403/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2LzI0L2U4L2I0LzgxZGEtNGNlOC1hOTZjLTg3ZjI1Mjc0ZjU0YQ.pdf,http://regnskaber.virk.dk/03768403/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzcxL2NkL2NjL2U3ZDAtNGFiMi1hN2NkLTJkYjZlMDA2NjBmOQ.xml,true,Aalborg,9000.0,51.0,Visionsvej,LÃ¸gstÃ¸r,9670.0,8.0,Ãsterbrogade,Aalborg,9000.0,3.0,Skibbrogade,9670 LÃ¸gstÃ¸r,c/o Hans Welling,DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i BizzCorp Holding ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2019-05-23,2007-03-16,2019-05-23,Statsautoriseret revisor,,20222670.0,30486730.0,20222670.0,mne41302,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for BizzCorp Holding ApS.,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Mads Madsen,Birgitte Welling,Birgitte Welling,Spar Nord Bank A/S,Haugaard Braad,BizzCorp Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,LÃ¸gstÃ¸r,2017-01-01,2017-12-31,198107.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Vesthimmerland,2018-12-31,2018-01-01,true,2019-05-23,Aalborg,,urn:ofk:oid:27233369,indberetninger-20180424,2.5118406,30486730.0,AWrvM2WmRYGX6_YTIBAD,2019-05-25T13:35:00.100Z,2019-05-25T13:34:43.516Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BG-87-FC,2019-05-25T13:34:43.652Z,,,,,,,,,,,,,,,,,,,,
30486730,2018-01-01,2018-12-31,c305,,http://regnskaber.virk.dk/03768403/ZG9rdW1lbnRsYWdlcjovLzAzL2Y2LzI0L2U4L2I0LzgxZGEtNGNlOC1hOTZjLTg3ZjI1Mjc0ZjU0YQ.pdf,http://regnskaber.virk.dk/03768403/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzcxL2NkL2NjL2U3ZDAtNGFiMi1hN2NkLTJkYjZlMDA2NjBmOQ.xml,true,Aalborg,9000.0,51.0,Visionsvej,LÃ¸gstÃ¸r,9670.0,8.0,Ãsterbrogade,Aalborg,9000.0,3.0,Skibbrogade,9670 LÃ¸gstÃ¸r,c/o Hans Welling,DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i BizzCorp Holding ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2019-05-23,2007-03-16,2019-05-23,Statsautoriseret revisor,,20222670.0,30486730.0,20222670.0,mne41302,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for BizzCorp Holding ApS.,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Mads Madsen,Birgitte Welling,Birgitte Welling,Spar Nord Bank A/S,Haugaard Braad,BizzCorp Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,LÃ¸gstÃ¸r,2017-01-01,2017-12-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Vesthimmerland,2018-12-31,2018-01-01,true,2019-05-23,Aalborg,,urn:ofk:oid:27233369,indberetninger-20180424,2.5118406,30486730.0,AWrvM2WmRYGX6_YTIBAD,2019-05-25T13:35:00.100Z,2019-05-25T13:34:43.516Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BG-87-FC,2019-05-25T13:34:43.652Z,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,
