entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfAuditorsReportOnAuditedFinancialStatements,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditorAppointedToPerformAudit,IdentificationNumberCvrOfAuditFirmAppointedToPerformAudit,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditorAppointedToPerformAudit,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirmAppointedToPerformAudit,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfCompilationOfAuditorsReportOnAuditedFinancialStatements,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,ShorttermTradePayables
entity identifier,2010-07-01,2011-06-30,ID_11,http://regnskaber.virk.dk/15501582/Y3ZyLmRrOi8vcGRmcy8yODUxMDU1MTtBcFMzNDYwNTY7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15501582/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMTAwMV8xMjI3MzlfOTU4.xml,"2665, VallensbÃ¦k Strand",VallÃ¸vej 9,"Frederiksberg, 2000",Lindevangs Alle 4,Regnskabsklasse B,2012-09-25,2005-03-15,2012-09-28,Statsautoriseret revisor,77926410.0,28510551.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,Arne Nielsen,Allan Stenbryggen Nielsen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",A.S. Nielsen Holding ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Frederiksberg,96600.0,2012-06-30,2011-07-01,DirektÃ¸r,urn:ofk:oid:16587968,indberetninger-20180424,2.5124211,28510551.0,,2018-04-02T02:30:02.245Z,2012-10-04T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-291.689,2012-10-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-07-01,2011-06-30,ID_13,http://regnskaber.virk.dk/15501582/Y3ZyLmRrOi8vcGRmcy8yODUxMDU1MTtBcFMzNDYwNTY7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15501582/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMTAwMV8xMjI3MzlfOTU4.xml,"2665, VallensbÃ¦k Strand",VallÃ¸vej 9,"Frederiksberg, 2000",Lindevangs Alle 4,Regnskabsklasse B,2012-09-25,2005-03-15,2012-09-28,Statsautoriseret revisor,77926410.0,28510551.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,Arne Nielsen,Allan Stenbryggen Nielsen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",A.S. Nielsen Holding ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Frederiksberg,22919.0,2012-06-30,2011-07-01,DirektÃ¸r,urn:ofk:oid:16587968,indberetninger-20180424,2.5124211,28510551.0,,2018-04-02T02:30:02.245Z,2012-10-04T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-291.689,2012-10-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-07-01,2011-06-30,ID_15,http://regnskaber.virk.dk/15501582/Y3ZyLmRrOi8vcGRmcy8yODUxMDU1MTtBcFMzNDYwNTY7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15501582/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMTAwMV8xMjI3MzlfOTU4.xml,"2665, VallensbÃ¦k Strand",VallÃ¸vej 9,"Frederiksberg, 2000",Lindevangs Alle 4,Regnskabsklasse B,2012-09-25,2005-03-15,2012-09-28,Statsautoriseret revisor,77926410.0,28510551.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,Arne Nielsen,Allan Stenbryggen Nielsen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",A.S. Nielsen Holding ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Frederiksberg,-85364.0,2012-06-30,2011-07-01,DirektÃ¸r,urn:ofk:oid:16587968,indberetninger-20180424,2.5124211,28510551.0,,2018-04-02T02:30:02.245Z,2012-10-04T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-291.689,2012-10-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-07-01,2011-06-30,ID_17,http://regnskaber.virk.dk/15501582/Y3ZyLmRrOi8vcGRmcy8yODUxMDU1MTtBcFMzNDYwNTY7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15501582/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMTAwMV8xMjI3MzlfOTU4.xml,"2665, VallensbÃ¦k Strand",VallÃ¸vej 9,"Frederiksberg, 2000",Lindevangs Alle 4,Regnskabsklasse B,2012-09-25,2005-03-15,2012-09-28,Statsautoriseret revisor,77926410.0,28510551.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,Arne Nielsen,Allan Stenbryggen Nielsen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",A.S. Nielsen Holding ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Frederiksberg,34155.0,2012-06-30,2011-07-01,DirektÃ¸r,urn:ofk:oid:16587968,indberetninger-20180424,2.5124211,28510551.0,,2018-04-02T02:30:02.245Z,2012-10-04T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-291.689,2012-10-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-07-01,2011-06-30,ID_9,http://regnskaber.virk.dk/15501582/Y3ZyLmRrOi8vcGRmcy8yODUxMDU1MTtBcFMzNDYwNTY7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15501582/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMTAwMV8xMjI3MzlfOTU4.xml,"2665, VallensbÃ¦k Strand",VallÃ¸vej 9,"Frederiksberg, 2000",Lindevangs Alle 4,Regnskabsklasse B,2012-09-25,2005-03-15,2012-09-28,Statsautoriseret revisor,77926410.0,28510551.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,Arne Nielsen,Allan Stenbryggen Nielsen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",A.S. Nielsen Holding ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Frederiksberg,-34155.0,2012-06-30,2011-07-01,DirektÃ¸r,urn:ofk:oid:16587968,indberetninger-20180424,2.5124211,28510551.0,,2018-04-02T02:30:02.245Z,2012-10-04T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-291.689,2012-10-04T22:00:00.000Z,5000.0,-22919.0,0.0,-19986.0,-37905.0,5000.0,3750.0,,,,,,,,,,,,,,,,,,
entity identifier,2011-06-30,2011-06-30,ID_19,http://regnskaber.virk.dk/15501582/Y3ZyLmRrOi8vcGRmcy8yODUxMDU1MTtBcFMzNDYwNTY7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15501582/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMTAwMV8xMjI3MzlfOTU4.xml,"2665, VallensbÃ¦k Strand",VallÃ¸vej 9,"Frederiksberg, 2000",Lindevangs Alle 4,Regnskabsklasse B,2012-09-25,2005-03-15,2012-09-28,Statsautoriseret revisor,77926410.0,28510551.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,Arne Nielsen,Allan Stenbryggen Nielsen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",A.S. Nielsen Holding ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Frederiksberg,,2012-06-30,2011-07-01,DirektÃ¸r,urn:ofk:oid:16587968,indberetninger-20180424,2.5124211,28510551.0,,2018-04-02T02:30:02.245Z,2012-10-04T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-291.689,2012-10-04T22:00:00.000Z,,,,,,,,1279774.0,-125000.0,390042.0,-1260094.0,-1279774.0,-19680.0,889732.0,889732.0,889732.0,-96600.0,-389732.0,-648762.0,-19680.0,-14680.0,390042.0,366734.0,23308.0,-5000.0
entity identifier,2011-07-01,2012-06-30,ID_0,http://regnskaber.virk.dk/15501582/Y3ZyLmRrOi8vcGRmcy8yODUxMDU1MTtBcFMzNDYwNTY7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15501582/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMTAwMV8xMjI3MzlfOTU4.xml,"2665, VallensbÃ¦k Strand",VallÃ¸vej 9,"Frederiksberg, 2000",Lindevangs Alle 4,Regnskabsklasse B,2012-09-25,2005-03-15,2012-09-28,Statsautoriseret revisor,77926410.0,28510551.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,Arne Nielsen,Allan Stenbryggen Nielsen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",A.S. Nielsen Holding ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Frederiksberg,,2012-06-30,2011-07-01,DirektÃ¸r,urn:ofk:oid:16587968,indberetninger-20180424,2.5124211,28510551.0,,2018-04-02T02:30:02.245Z,2012-10-04T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-291.689,2012-10-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_1,http://regnskaber.virk.dk/15501582/Y3ZyLmRrOi8vcGRmcy8yODUxMDU1MTtBcFMzNDYwNTY7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15501582/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMTAwMV8xMjI3MzlfOTU4.xml,"2665, VallensbÃ¦k Strand",VallÃ¸vej 9,"Frederiksberg, 2000",Lindevangs Alle 4,Regnskabsklasse B,2012-09-25,2005-03-15,2012-09-28,Statsautoriseret revisor,77926410.0,28510551.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,Arne Nielsen,Allan Stenbryggen Nielsen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",A.S. Nielsen Holding ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Frederiksberg,,2012-06-30,2011-07-01,DirektÃ¸r,urn:ofk:oid:16587968,indberetninger-20180424,2.5124211,28510551.0,,2018-04-02T02:30:02.245Z,2012-10-04T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-291.689,2012-10-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_10,http://regnskaber.virk.dk/15501582/Y3ZyLmRrOi8vcGRmcy8yODUxMDU1MTtBcFMzNDYwNTY7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15501582/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMTAwMV8xMjI3MzlfOTU4.xml,"2665, VallensbÃ¦k Strand",VallÃ¸vej 9,"Frederiksberg, 2000",Lindevangs Alle 4,Regnskabsklasse B,2012-09-25,2005-03-15,2012-09-28,Statsautoriseret revisor,77926410.0,28510551.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,Arne Nielsen,Allan Stenbryggen Nielsen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",A.S. Nielsen Holding ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Frederiksberg,96600.0,2012-06-30,2011-07-01,DirektÃ¸r,urn:ofk:oid:16587968,indberetninger-20180424,2.5124211,28510551.0,,2018-04-02T02:30:02.245Z,2012-10-04T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-291.689,2012-10-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_12,http://regnskaber.virk.dk/15501582/Y3ZyLmRrOi8vcGRmcy8yODUxMDU1MTtBcFMzNDYwNTY7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15501582/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMTAwMV8xMjI3MzlfOTU4.xml,"2665, VallensbÃ¦k Strand",VallÃ¸vej 9,"Frederiksberg, 2000",Lindevangs Alle 4,Regnskabsklasse B,2012-09-25,2005-03-15,2012-09-28,Statsautoriseret revisor,77926410.0,28510551.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,Arne Nielsen,Allan Stenbryggen Nielsen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",A.S. Nielsen Holding ApS,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Frederiksberg,65640.0,2012-06-30,2011-07-01,DirektÃ¸r,urn:ofk:oid:16587968,indberetninger-20180424,2.5124211,28510551.0,,2018-04-02T02:30:02.245Z,2012-10-04T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-291.689,2012-10-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
