entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,ProfitLoss,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfSupervisoryBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,NameOfAuditFirm,NameAndSurnameOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard
33759878,2013-01-01,2013-12-31,c1,http://regnskaber.virk.dk/87895733/Y3ZyLmRrOi8vcGRmcy8zMzc1OTg3ODtBcFM0OTQ4MjY7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/87895733/Y3ZyLmRrOi8veGJybHMvWC03MDIxNDNCMy0yMDE1MDMyNF8xNDMwMjZfMTg0.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,DK-0900 KÃ¸benhavn C,Postboks 850,Strandgade 3,2630 Taastrup,"c/o Disa Holding A/S, HÃ¸jager 8",DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2015-03-19,2011-06-07,2015-03-19,Statsautoriseret revisor,33759878.0,20222670.0,Ãrsrapport,Ole C. K. Nielsen,Dagmar MÃ¸ller,Nordea Bank,Disa Management Services ApS,BDO Statsautoriseret revisionsaktieselskab,Taastrup,0.0,Taastrup,2014-12-31,2014-01-01,2015-03-19,KÃ¸benhavn,0.0,Formand,RevisionspÃ¥tegning,urn:ofk:oid:14197762,indberetninger-20180424,2.5122786,33759878.0,,2018-03-30T19:23:05.340Z,2015-03-24T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-144.360,2015-03-24T23:00:00.000Z,,,,,,,,,,,,,
33759878,2013-01-01,2013-12-31,c30,http://regnskaber.virk.dk/87895733/Y3ZyLmRrOi8vcGRmcy8zMzc1OTg3ODtBcFM0OTQ4MjY7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/87895733/Y3ZyLmRrOi8veGJybHMvWC03MDIxNDNCMy0yMDE1MDMyNF8xNDMwMjZfMTg0.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,DK-0900 KÃ¸benhavn C,Postboks 850,Strandgade 3,2630 Taastrup,"c/o Disa Holding A/S, HÃ¸jager 8",DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2015-03-19,2011-06-07,2015-03-19,Statsautoriseret revisor,33759878.0,20222670.0,Ãrsrapport,Ole C. K. Nielsen,Dagmar MÃ¸ller,Nordea Bank,Disa Management Services ApS,BDO Statsautoriseret revisionsaktieselskab,Taastrup,0.0,Taastrup,2014-12-31,2014-01-01,2015-03-19,KÃ¸benhavn,,Formand,RevisionspÃ¥tegning,urn:ofk:oid:14197762,indberetninger-20180424,2.5122786,33759878.0,,2018-03-30T19:23:05.340Z,2015-03-24T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-144.360,2015-03-24T23:00:00.000Z,,,,,,,,,,,,,
33759878,2013-12-31,2013-12-31,c4,http://regnskaber.virk.dk/87895733/Y3ZyLmRrOi8vcGRmcy8zMzc1OTg3ODtBcFM0OTQ4MjY7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/87895733/Y3ZyLmRrOi8veGJybHMvWC03MDIxNDNCMy0yMDE1MDMyNF8xNDMwMjZfMTg0.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,DK-0900 KÃ¸benhavn C,Postboks 850,Strandgade 3,2630 Taastrup,"c/o Disa Holding A/S, HÃ¸jager 8",DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2015-03-19,2011-06-07,2015-03-19,Statsautoriseret revisor,33759878.0,20222670.0,Ãrsrapport,Ole C. K. Nielsen,Dagmar MÃ¸ller,Nordea Bank,Disa Management Services ApS,BDO Statsautoriseret revisionsaktieselskab,Taastrup,,Taastrup,2014-12-31,2014-01-01,2015-03-19,KÃ¸benhavn,,Formand,RevisionspÃ¥tegning,urn:ofk:oid:14197762,indberetninger-20180424,2.5122786,33759878.0,,2018-03-30T19:23:05.340Z,2015-03-24T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-144.360,2015-03-24T23:00:00.000Z,157000.0,157000.0,80000.0,157000.0,103000.0,157000.0,54000.0,54000.0,23000.0,54000.0,,,
33759878,2014-01-01,2014-01-01,c137,http://regnskaber.virk.dk/87895733/Y3ZyLmRrOi8vcGRmcy8zMzc1OTg3ODtBcFM0OTQ4MjY7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/87895733/Y3ZyLmRrOi8veGJybHMvWC03MDIxNDNCMy0yMDE1MDMyNF8xNDMwMjZfMTg0.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,DK-0900 KÃ¸benhavn C,Postboks 850,Strandgade 3,2630 Taastrup,"c/o Disa Holding A/S, HÃ¸jager 8",DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2015-03-19,2011-06-07,2015-03-19,Statsautoriseret revisor,33759878.0,20222670.0,Ãrsrapport,Ole C. K. Nielsen,Dagmar MÃ¸ller,Nordea Bank,Disa Management Services ApS,BDO Statsautoriseret revisionsaktieselskab,Taastrup,,Taastrup,2014-12-31,2014-01-01,2015-03-19,KÃ¸benhavn,,Formand,RevisionspÃ¥tegning,urn:ofk:oid:14197762,indberetninger-20180424,2.5122786,33759878.0,,2018-03-30T19:23:05.340Z,2015-03-24T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-144.360,2015-03-24T23:00:00.000Z,,,,,80000.0,,,,,,,,
33759878,2014-01-01,2014-01-01,c158,http://regnskaber.virk.dk/87895733/Y3ZyLmRrOi8vcGRmcy8zMzc1OTg3ODtBcFM0OTQ4MjY7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/87895733/Y3ZyLmRrOi8veGJybHMvWC03MDIxNDNCMy0yMDE1MDMyNF8xNDMwMjZfMTg0.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,DK-0900 KÃ¸benhavn C,Postboks 850,Strandgade 3,2630 Taastrup,"c/o Disa Holding A/S, HÃ¸jager 8",DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2015-03-19,2011-06-07,2015-03-19,Statsautoriseret revisor,33759878.0,20222670.0,Ãrsrapport,Ole C. K. Nielsen,Dagmar MÃ¸ller,Nordea Bank,Disa Management Services ApS,BDO Statsautoriseret revisionsaktieselskab,Taastrup,,Taastrup,2014-12-31,2014-01-01,2015-03-19,KÃ¸benhavn,,Formand,RevisionspÃ¥tegning,urn:ofk:oid:14197762,indberetninger-20180424,2.5122786,33759878.0,,2018-03-30T19:23:05.340Z,2015-03-24T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-144.360,2015-03-24T23:00:00.000Z,,,,,23000.0,,,,,,,,
33759878,2014-01-01,2014-12-31,c0,http://regnskaber.virk.dk/87895733/Y3ZyLmRrOi8vcGRmcy8zMzc1OTg3ODtBcFM0OTQ4MjY7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/87895733/Y3ZyLmRrOi8veGJybHMvWC03MDIxNDNCMy0yMDE1MDMyNF8xNDMwMjZfMTg0.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,DK-0900 KÃ¸benhavn C,Postboks 850,Strandgade 3,2630 Taastrup,"c/o Disa Holding A/S, HÃ¸jager 8",DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2015-03-19,2011-06-07,2015-03-19,Statsautoriseret revisor,33759878.0,20222670.0,Ãrsrapport,Ole C. K. Nielsen,Dagmar MÃ¸ller,Nordea Bank,Disa Management Services ApS,BDO Statsautoriseret revisionsaktieselskab,Taastrup,0.0,Taastrup,2014-12-31,2014-01-01,2015-03-19,KÃ¸benhavn,0.0,Formand,RevisionspÃ¥tegning,urn:ofk:oid:14197762,indberetninger-20180424,2.5122786,33759878.0,,2018-03-30T19:23:05.340Z,2015-03-24T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-144.360,2015-03-24T23:00:00.000Z,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,,
33759878,2014-01-01,2014-12-31,c199,http://regnskaber.virk.dk/87895733/Y3ZyLmRrOi8vcGRmcy8zMzc1OTg3ODtBcFM0OTQ4MjY7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/87895733/Y3ZyLmRrOi8veGJybHMvWC03MDIxNDNCMy0yMDE1MDMyNF8xNDMwMjZfMTg0.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,DK-0900 KÃ¸benhavn C,Postboks 850,Strandgade 3,2630 Taastrup,"c/o Disa Holding A/S, HÃ¸jager 8",DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2015-03-19,2011-06-07,2015-03-19,Statsautoriseret revisor,33759878.0,20222670.0,Ãrsrapport,Ole C. K. Nielsen,Dagmar MÃ¸ller,Nordea Bank,Disa Management Services ApS,BDO Statsautoriseret revisionsaktieselskab,Taastrup,,Taastrup,2014-12-31,2014-01-01,2015-03-19,KÃ¸benhavn,,Formand,RevisionspÃ¥tegning,urn:ofk:oid:14197762,indberetninger-20180424,2.5122786,33759878.0,,2018-03-30T19:23:05.340Z,2015-03-24T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-144.360,2015-03-24T23:00:00.000Z,,,,,,,,,,,,Morten Milert Bechlund,
33759878,2014-01-01,2014-12-31,c200,http://regnskaber.virk.dk/87895733/Y3ZyLmRrOi8vcGRmcy8zMzc1OTg3ODtBcFM0OTQ4MjY7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/87895733/Y3ZyLmRrOi8veGJybHMvWC03MDIxNDNCMy0yMDE1MDMyNF8xNDMwMjZfMTg0.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,DK-0900 KÃ¸benhavn C,Postboks 850,Strandgade 3,2630 Taastrup,"c/o Disa Holding A/S, HÃ¸jager 8",DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2015-03-19,2011-06-07,2015-03-19,Statsautoriseret revisor,33759878.0,20222670.0,Ãrsrapport,Ole C. K. Nielsen,Dagmar MÃ¸ller,Nordea Bank,Disa Management Services ApS,BDO Statsautoriseret revisionsaktieselskab,Taastrup,,Taastrup,2014-12-31,2014-01-01,2015-03-19,KÃ¸benhavn,,Formand,RevisionspÃ¥tegning,urn:ofk:oid:14197762,indberetninger-20180424,2.5122786,33759878.0,,2018-03-30T19:23:05.340Z,2015-03-24T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-144.360,2015-03-24T23:00:00.000Z,,,,,,,,,,,,Ian Bruce Bird,
33759878,2014-01-01,2014-12-31,c208,http://regnskaber.virk.dk/87895733/Y3ZyLmRrOi8vcGRmcy8zMzc1OTg3ODtBcFM0OTQ4MjY7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/87895733/Y3ZyLmRrOi8veGJybHMvWC03MDIxNDNCMy0yMDE1MDMyNF8xNDMwMjZfMTg0.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,DK-0900 KÃ¸benhavn C,Postboks 850,Strandgade 3,2630 Taastrup,"c/o Disa Holding A/S, HÃ¸jager 8",DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2015-03-19,2011-06-07,2015-03-19,Statsautoriseret revisor,33759878.0,20222670.0,Ãrsrapport,Ole C. K. Nielsen,Dagmar MÃ¸ller,Nordea Bank,Disa Management Services ApS,BDO Statsautoriseret revisionsaktieselskab,Taastrup,,Taastrup,2014-12-31,2014-01-01,2015-03-19,KÃ¸benhavn,,Formand,RevisionspÃ¥tegning,urn:ofk:oid:14197762,indberetninger-20180424,2.5122786,33759878.0,,2018-03-30T19:23:05.340Z,2015-03-24T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-144.360,2015-03-24T23:00:00.000Z,,,,,,,,,,,,,Peter Holm Larsen
33759878,2014-01-01,2014-12-31,c209,http://regnskaber.virk.dk/87895733/Y3ZyLmRrOi8vcGRmcy8zMzc1OTg3ODtBcFM0OTQ4MjY7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/87895733/Y3ZyLmRrOi8veGJybHMvWC03MDIxNDNCMy0yMDE1MDMyNF8xNDMwMjZfMTg0.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,DK-0900 KÃ¸benhavn C,Postboks 850,Strandgade 3,2630 Taastrup,"c/o Disa Holding A/S, HÃ¸jager 8",DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2015-03-19,2011-06-07,2015-03-19,Statsautoriseret revisor,33759878.0,20222670.0,Ãrsrapport,Ole C. K. Nielsen,Dagmar MÃ¸ller,Nordea Bank,Disa Management Services ApS,BDO Statsautoriseret revisionsaktieselskab,Taastrup,,Taastrup,2014-12-31,2014-01-01,2015-03-19,KÃ¸benhavn,,Formand,RevisionspÃ¥tegning,urn:ofk:oid:14197762,indberetninger-20180424,2.5122786,33759878.0,,2018-03-30T19:23:05.340Z,2015-03-24T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-144.360,2015-03-24T23:00:00.000Z,,,,,,,,,,,,,Morten Milert Bechlund
